O=C(C1CCCO1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641671	pIC50=7.53
CC1CCCN1c2cccc(Nc3cc(nn4ccnc34)c5cccc(CN)c5)n2	CHEMBL2177735	pIC50=7.8
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6CC=CC6)ccn5)ccc3[nH]2	CHEMBL3641606	pIC50=7.8
COC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3668808	pIC50=7.8
COC(=O)c1ccc2c(CCC2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4)c1	CHEMBL3698419	pIC50=7.8
COc1ccc(cc1OC)c2cc3ncccc3c(NCC4=CNC(=O)C=C4)n2	CHEMBL3696032	pIC50=7.8
COc1cncc(c1)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653793	pIC50=7.8
C[C@@H](Oc1cc(cc2nscc12)c3cnn(C)c3)[C@H]4CNC(=O)O4	CHEMBL3622209	pIC50=7.8
C[C@@H](Oc1cc(cc2nscc12)c3cnn(c3)C(F)F)[C@H]4CNC(=O)O4	CHEMBL3622697	pIC50=7.8
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCc6cnn(C)c6C5	CHEMBL3668813	pIC50=7.8
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5Cc6nc(C)sc6C5	CHEMBL3668851	pIC50=7.8
Cc1nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)ccc1Cl	CHEMBL3237562	pIC50=7.8
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)ccc2s1	CHEMBL3641554	pIC50=7.81
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(OCC5CNC(=O)C5)ccn4)cc2n1C	CHEMBL3643798	pIC50=7.81
CN(Cc1ccccn1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641611	pIC50=7.81
COc1ccnc(c1)c2ccnc(Nc3ccc4sc(cc4c3)C(=O)N(C)C)n2	CHEMBL3641563	pIC50=7.81
CS(=O)(=O)c1ccc(cc1F)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653761	pIC50=7.81
CC1(C)Oc2c(NC1=O)cc(Nc3nccc(n3)C(F)(F)F)cc2c4cnc(s4)C(O)C(F)F	CHEMBL3685817	pIC50=7.82
CC1(O)CCN(CC1)c2ccc(Nc3nc(cn4ccnc34)c5ccc6cn[nH]c6c5)cc2	CHEMBL3265031	pEC50=7.82
CCOP(=O)(OCC)c1ccc2c(CCC[C@]2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4)c1	CHEMBL3698434	pIC50=7.82
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(SCc5cccs5)c2[nH]1	CHEMBL3664159	pIC50=7.82
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(C)ccn5)ccc3[nH]2	CHEMBL3641505	pIC50=7.82
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCCO)ccn5)ccc3[nH]2	CHEMBL3641544	pIC50=7.82
COC(=O)c1ccc(NC(=O)c2cccc(c2)c3cn4ccnc4c(Nc5ccc(OC)c(OC)c5)n3)cc1	CHEMBL3264996	pIC50=7.82
CS(=O)(=O)N1CCN(CC1)c2ccc(Nc3ncc(C(=O)N)c(NC4CC4)n3)cc2	CHEMBL3645121	pIC50=7.82
C[C@@H](O)[C@@H](C)Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641511	pIC50=7.82
Cc1ccc2cc(ccc2n1)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653803	pIC50=7.82
NC(=O)c1ccccc1c2ccnc(c2)c3ccnc(Nc4ccc5COCc5c4)n3	CHEMBL3641500	pIC50=7.82
O=C1C[C@@H](COc2nc(cc3ncccc23)c4ccc5OCOc5c4)CN1	CHEMBL3696000	pIC50=7.82
CN(Cc1cc(C)nn1C)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668816	pIC50=7.83
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCCC(C)(C)O)ccn5)ccc3[nH]2	CHEMBL3641590	pIC50=7.83
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCN(CCN6CCOCC6)CC5	CHEMBL3668863	pIC50=7.83
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6CC6)ccn5)ccc3[nH]2	CHEMBL3643732	pIC50=7.84
COc1cc(ccc1Cl)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695962	pIC50=7.84
Cc1cn(cc1CN2CC[C@@H](O)C2)c3ccnc(Nc4cc(C)c(OCC(=O)N5CCCC5)c(C)c4)n3	CHEMBL3622941	pIC50=7.84
CC(=O)Nc1ccc(cn1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653755	pIC50=7.85
CC(C)N1CCCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3664176	pIC50=7.85
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.85
COc1cc(Nc2nccc(n2)c3nccs3)cc(OC)c1	CHEMBL472478	pKi=7.85
COc1cc(cc(OC)c1OC)c2cnc3[nH]cc(C(=O)NC(C)C)c3n2	CHEMBL2348850	pIC50=7.85
COc1cc(ccc1F)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695993	pIC50=7.85
COc1ccc2c(c1)c(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)cn2CCCC(=O)O	CHEMBL319613	pIC50=7.85
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCCCN5CCOCC5	CHEMBL3664179	pIC50=7.85
Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(Oc4ccnc(Nc5ccccc5)n4)c6ccccc36)C(C)(C)C	CHEMBL3701217	pKd=7.85
Cn1cc(\C=C\2/C(=O)Nc3ccc(cc23)S(=O)(=O)N)c4ccccc14	CHEMBL104279	pIC50=7.85
N[C@H]1CCCC[C@H]1Nc2nnc(C(=O)N)c(Nc3cccc4[nH]ccc34)n2	CHEMBL3416027	pIC50=7.85
O=C1Nc2ccccc2/C/1=C\c3ccc[nH]3	CHEMBL101797	pIC50=7.85
CC(C)(C)c1cc2cc(Nc3nccc(n3)c4cc(ccn4)c5cc[nH]c5)ccc2[nH]1	CHEMBL3641503	pIC50=7.86
CN(CC1CCOCC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641645	pIC50=7.86
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccc(Cl)cc5	CHEMBL3668814	pIC50=7.86
O=C(CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2)N6CCOCC6	CHEMBL3643724	pIC50=7.86
CC(C)n1ccnc1CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668850	pIC50=7.87
CN(CCCN1CCN(C)CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664215	pIC50=7.87
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6COCC6O)ccn5)ccc3[nH]2	CHEMBL3641586	pIC50=7.87
COc1cc(C)cc(OC)c1OCCN2CCOCC2	CHEMBL3695963	pIC50=7.87
C[C@@H](Oc1nc(cc2ncccc12)c3ccccc3F)[C@H]4CNC(=O)C4	CHEMBL3696048	pIC50=7.87
CC1CN(CC(C)N1C)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668861	pIC50=7.88
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(cn4)C5CC5)cc(Cl)c2[nH]1	CHEMBL3664161	pIC50=7.88
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC=C)ccn5)ccc3[nH]2	CHEMBL3643746	pIC50=7.88
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(N[C@H](C)[C@H]4CNC(=O)C4)n2	CHEMBL3695983	pIC50=7.88
C[C@@H](Oc1nc(cc2ncccc12)c3ccc(OC(F)(F)F)c(F)c3)[C@H]4CNC(=O)C4	CHEMBL3695946	pIC50=7.88
Cc1cc(C)cc(Nc2nccc(n2)n3cc(C)c(CN4CC[C@@H](N)C4)c3)c1	CHEMBL3622936	pIC50=7.88
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4ncn(C)c4C)cc(C)c2[nH]1	CHEMBL3664142	pIC50=7.89
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4ccccn4)cc2[nH]1	CHEMBL3641550	pIC50=7.89
CN(C1CCN(C)CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664211	pIC50=7.89
CN1C=Nc2cc(nc(NC3CC3)c2C1=O)c4ccc(NCCN5CCCC5)c(c4)S(=O)(=O)C	CHEMBL3698027	pIC50=7.89
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6CCCC[C@@H]6O)ccn5)ccc3[nH]2	CHEMBL3641600	pIC50=7.89
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(Nc4ccc5nc(C)cc(N)c5c4)n3)cc2	CHEMBL3409422	pIC50=7.89
CN1[C@@H]2CC[C@H]1CN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641655	pIC50=7.89
COC(=O)c1cc2CCCC(O)(c2cc1F)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4	CHEMBL3698393	pIC50=7.89
C[C@@H](CO)NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(Cl)ccc34	CHEMBL2348855	pIC50=7.89
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)[C@]4(O)CC[C@@H](CO)C(C)(C)C4	CHEMBL3685826	pIC50=7.89
Cc1nn(cc1CN2C[C@H](O)C[C@H]2C(=O)O)c3ccnc(Nc4ccc5c(c4)c(Cl)c(C)n5C)n3	CHEMBL3657553	pIC50=7.89
N[C@H]1CCCC[C@H]1Nc2ncc(C(=O)N)c(Nc3cccc(c3)n4nccn4)n2	CHEMBL2177736	pIC50=7.89
OC1(CCC1)c2ncc(s2)c3cc(Nc4nccc(n4)C(F)(F)F)cc(c3)N5CCOCC5	CHEMBL3685818	pIC50=7.89
CC(C)n1nc(Cl)c2cc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)ccc12	CHEMBL3657545	pIC50=7.9
CN(C)CCN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3668801	pIC50=7.9
COC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(C)c2[nH]1	CHEMBL3668804	pIC50=7.9
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5nn[nH]c5c4)cc1OC	CHEMBL3265019	pIC50=7.9
Cc1cccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(=O)N)c1	CHEMBL1835065	pIC50=7.9
OCCCOc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCCOCC5)n2	CHEMBL3643806	pIC50=7.9
CN1CCN(CC1)C2CN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641677	pIC50=7.91
COCC[C@@H](Oc1nc(cc2ncccc12)c3cc(OC)c(OC)c(OC)c3)[C@H]4CNC(=O)C4	CHEMBL3695978	pIC50=7.91
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5cnn(C)c5c4)cc1OC	CHEMBL3265022	pIC50=7.91
COc1ccc(cn1)c2cc(OC[C@H]3CNC(=O)O3)c4cccnc4c2	CHEMBL3653749	pIC50=7.91
C[C@@H](Oc1nc(cc2ncccc12)c3cc(F)c(Cl)c(F)c3)[C@H]4CNC(=O)C4	CHEMBL3695947	pIC50=7.91
Cc1cc(Nc2nccc(n2)c3ccccn3)cc4cc([nH]c14)C(=O)N5CCC(CC5)N6CCCC6=O	CHEMBL3643796	pIC50=7.91
O=C(NCC1CCOCC1)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641637	pIC50=7.91
CN(C)C1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664199	pIC50=7.92
COC1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668854	pIC50=7.92
COc1ccc(cc1C(F)(F)F)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695950	pIC50=7.92
COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2	CHEMBL1190711	pEC50=7.92
COc1ccc2c(c1)c(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)cn2CCCC(=O)N	CHEMBL431645	pIC50=7.92
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(CNC4(CCC4)C(=O)O)s3	CHEMBL3685814	pIC50=7.92
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccc(F)cc5	CHEMBL3668875	pIC50=7.92
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC(C)(C)C)ccn5)ccc3[nH]2	CHEMBL3641541	pIC50=7.93
COCCn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N(C)C)n2	CHEMBL3668811	pIC50=7.93
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4(C)C)n2	CHEMBL3695986	pIC50=7.93
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)c6cc[nH]n6)cc1OC	CHEMBL3265003	pIC50=7.93
COc1ccc(cc1OC)c2cc3ncccc3c(NC[C@H]4CNC(=O)C4)n2	CHEMBL3696021	pIC50=7.93
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@]4(O)CCCCc5ccc(cc45)C(=O)O	CHEMBL3698414	pIC50=7.93
Cc1nc2ccc(cc2s1)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653812	pIC50=7.93
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc(cc4)S(=O)(=O)C(F)(F)F	CHEMBL3653765	pIC50=7.93
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641542	pIC50=7.94
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664144	pIC50=7.94
COCc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCCOCC5)n2	CHEMBL3643787	pIC50=7.94
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCc6oncc6C5	CHEMBL3668872	pIC50=7.94
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NC[C@@H]5CCCO5	CHEMBL3668815	pIC50=7.94
Cc1cc(Nc2nccc(n2)n3cc(C)c(CN4CC(O)C4)c3)cc(C)c1OCCN5CCCC5	CHEMBL3622942	pIC50=7.94
CN1C(=O)COCC12CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6cn(C)cn6)ccc4[nH]3	CHEMBL3668858	pIC50=7.95
COc1cc(Nc2nc(NC3CCCC[C@H]3N)n4nc(C)nc4c2C(=O)N)cc(OC)c1	CHEMBL475780	pIC50=7.95
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCCN5CCOCC5	CHEMBL3664180	pIC50=7.95
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N[C@@H]5CC[C@H](CC5)N6CCOCC6)n2	CHEMBL3664213	pIC50=7.95
CC1CN(CCO1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668859	pIC50=7.96
CCn1cc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)c(C)n1	CHEMBL3668825	pIC50=7.96
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(OCCCO)ccn4)cc2n1C	CHEMBL3643802	pIC50=7.96
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(OCCO)ccn4)cc2[nH]1	CHEMBL3643791	pIC50=7.96
CN1CCC(CC1)Nc2ccc(cc2S(=O)(=O)C)c3cc4N=CN(C)C(=O)c4c(N[C@@H]5CCOC5)n3	CHEMBL3698113	pIC50=7.96
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6CCCC(O)C6)ccn5)ccc3[nH]2	CHEMBL3641574	pIC50=7.96
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)c6cn[nH]c6)cc1OC	CHEMBL3265004	pIC50=7.96
COc1ccc2c(c1)c(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)cn2CCCCC(=O)O	CHEMBL105438	pIC50=7.96
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCC(CC5)N6CCCC6=O	CHEMBL3664178	pIC50=7.96
Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(c4)c(Cl)nn5C)n3	CHEMBL3622961	pIC50=7.96
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NC5CCCNC5)n2	CHEMBL3664200	pIC50=7.96
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N[C@H]5[C@@H]6CNC[C@H]56)n2	CHEMBL3664201	pIC50=7.96
NC(=O)N1CCC(O)(C1)c2ncc(s2)c3cccc(Nc4nccc(n4)C(F)(F)F)c3	CHEMBL3685790	pIC50=7.96
O=C(N1CCC(CC1)N2CCCC2=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3643726	pIC50=7.96
COc1ccc(cc1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695991	pIC50=7.97
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCC(CC5)N6CC(O)C6)n2	CHEMBL3668786	pIC50=7.97
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(OC5CCC(O)C5)ccn4)cc2[nH]1	CHEMBL3643778	pIC50=7.98
CN(C)CC[C@@H]1CC[C@@H](CC1)NC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668796	pIC50=7.98
CN1CCC2(CCN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3)C1	CHEMBL3641615	pIC50=7.98
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5[nH]ncc5c4)cc1OC	CHEMBL3265021	pIC50=7.98
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(c5cnn(C)c5)c2[nH]1	CHEMBL3664160	pIC50=7.99
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(NCC4=NNC(=O)N4)n2	CHEMBL3695970	pIC50=7.99
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cnn(C)c5	CHEMBL3668867	pIC50=7.99
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NC5CCNCC5)n2	CHEMBL3664208	pIC50=7.99
FC(F)(F)c1cc(Nc2nccc(n2)c3ccccn3)cc4[nH]c(nc14)C(F)(F)F	CHEMBL3643818	pIC50=7.99
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3n[nH]c4c(cccc34)C(C)(C)O	CHEMBL2347407	pIC50=8.0
CC(C)COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3643731	pIC50=8.0
CC(C)Nc1nc(cc2N=CN(C)C(=O)c12)c3ccc(NCCN4CCCC4)c(c3)S(=O)(=O)C	CHEMBL3698028	pIC50=8.0
CN(Cc1cnn(C)c1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668877	pIC50=8.0
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6(CC#N)CC6)ccn5)ccc3[nH]2	CHEMBL3643738	pIC50=8.0
COc1ccc(Nc2cc(NCCN)nnc2C(=O)N)nc1C(C)C	CHEMBL3237578	pIC50=8.0
COc1ccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)nc1C(C)C	CHEMBL3237575	pIC50=8.0
COc1ccc(Nc2cc(N[C@@H]3CCOC[C@@H]3N)nnc2C(=O)N)nc1C(C)C	CHEMBL3237576	pIC50=8.0
COc1ccc(cc1OC)c2cc3ncccc3c(OCC4CC(=O)NO4)n2	CHEMBL3696015	pIC50=8.0
COc1ccc(cc1OC)c2cc3nccn3c(Nc4ccc5cn[nH]c5c4)n2	CHEMBL2170585	pKi=8.0
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(C)cc4c3)n2	CHEMBL3641528	pIC50=8.0
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)NCCN5CCOCC5)n2	CHEMBL3641516	pIC50=8.0
C[C@@H]1C[C@@H](O)CN1Cc2cn(nc2C)c3ccnc(Nc4ccc5c(c4)c(Cl)c(C)n5C)n3	CHEMBL3657557	pIC50=8.0
Cc1cc(C)cc(Nc2nccc(n2)c3nc(CO)cs3)c1	CHEMBL511811	pKi=8.0
Cc1cc(Nc2nccc(n2)c3nc(CO)cs3)cc(c1)C(F)(F)F	CHEMBL485731	pKi=8.0
Cc1ccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)ncc2C(=O)N)cc1	CHEMBL1835070	pIC50=8.0
Cc1ccc(OC2CCOCC2)c(c1)C(F)(F)F	CHEMBL3695960	pIC50=8.0
Cc1cccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)n1	CHEMBL3233058	pIC50=8.0
Cl.Cl.COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2	CHEMBL541400	pIC50=8.0
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CC5)c6nccn6C)n2	CHEMBL3664203	pIC50=8.0
Cn1nc(c2cnc3[nH]cc(C(=O)N[C@@]4(C)C[C@H](N)C4)c3n2)c5ccc(F)cc15	CHEMBL2347414	pIC50=8.0
N[C@H]1CCCC[C@H]1Nc2cc(Nc3ccc4CCCc4n3)c(nn2)C(=O)N	CHEMBL3237564	pIC50=8.0
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC(F)(F)F)ccn5)ccc3[nH]2	CHEMBL3643747	pIC50=8.01
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cccc(F)c5	CHEMBL3668841	pIC50=8.01
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCCCN5CCOCC5)n2	CHEMBL3668790	pIC50=8.01
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	CHEMBL603469	pKd=8.02
Cc1oc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)nn1	CHEMBL3668869	pIC50=8.02
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(ccn5)C(C)(C)C)ccc3[nH]2	CHEMBL3641548	pIC50=8.03
NC(=O)[C@@H]1CCCN(C1)c2ccc(Nc3ncc(C(=O)N)c(NC4CC4)n3)cc2	CHEMBL3645122	pKd=8.03
CCn1ccc2cc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(n4)C6CC6)ccc12	CHEMBL3622953	pIC50=8.04
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCC5CNC(=O)C5	CHEMBL3668844	pIC50=8.04
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cscn5	CHEMBL3668827	pIC50=8.04
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)O	CHEMBL3668806	pIC50=8.04
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CC5)c6ccccn6)n2	CHEMBL3664212	pIC50=8.04
COc1cc(Nc2nc(NCCN)n3cnnc3c2C(=O)N)cc(OC)c1	CHEMBL474582	pIC50=8.05
COc1cc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)n4cnnc4c2C(=O)N)cc(OC)c1	CHEMBL514012	pIC50=8.05
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4cnnc4c2C(=O)N)cc(OC)c1	CHEMBL475609	pIC50=8.05
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5cccc(c5)C(=O)O)cc1OC	CHEMBL3264997	pIC50=8.05
C[C@@H](CO)NC(=O)c1sc(nc1C)c2ccnc(Nc3cc(C)cc(C)c3)n2	CHEMBL512172	pKi=8.05
C[C@@H](Oc1cc(cc2ncsc12)c3cnn(c3)C(F)F)[C@H]4CNC(=O)O4	CHEMBL3622698	pIC50=8.05
C[C@H](CO)NC(=O)c1sc(nc1C)c2ccnc(Nc3cc(C)cc(C)c3)n2	CHEMBL473229	pIC50=8.05
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCCOCC5	CHEMBL3664173	pIC50=8.05
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5Cc6cnn(C)c6C5	CHEMBL3668817	pIC50=8.05
Cc1cc(Nc2nccc(n2)n3cc(CN4CC(O)C4)c(C)n3)cc(C)c1OCCN5CCCC5	CHEMBL3622943	pIC50=8.05
Cc1cc(cc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)cnc2C(=O)N)n1)C(C)(C)O	CHEMBL3415596	pIC50=8.05
