OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO	dipyridamole	pIC50=5.49	pIC50=5.49	pIC50=5.49
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12	CHEMBL50378	pKi=6.0
CNc1ncnn2c(C)nc(c3cnn(C)c3c4cnc(cn4)C(F)(F)F)c12	CHEMBL3639547	pIC50=7.57
COc1ccc2nc(C)c3c(C)nc(c4c(C)n[nH]c4C)n3c2n1	CHEMBL1915909	pIC50=7.57
Cc1ccc2nc(C)c3nnc(c4cc(OC5CCC(F)(F)CC5)ccc4Cl)n3c2n1	CHEMBL3693287	pIC50=7.57
Cc1ccc2nc(C)c3nnc(c4cc(OC5CCOCC5)ccc4Cl)n3c2n1	CHEMBL3693289	pIC50=7.59
COc1ccc2nc(C)c3c(C)nc(c4c(C)nn(C)c4C)n3c2n1	CHEMBL1915910	pIC50=7.61
CCNCc1ccc2nc(C)c3nnc(c4ccccc4Cl)n3c2c1	CHEMBL2313232	pIC50=7.62
COc1cc(Br)cc2c1nc(C)c3c(C)nc(c4cccnc4F)n23	CHEMBL3741950	pIC50=7.62
COc1ccc2nc(C)c3c(C)nc(c4cnccc4Cl)n3c2n1	CHEMBL1916093	pIC50=7.62
Cc1nc2ccc(CN3CCCC(CO)C3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313243	pIC50=7.62
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCCC5O)ccc4F)C6CC6	CHEMBL3693372	pIC50=7.62
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(Cl)cc4)c12	CHEMBL3655810	pIC50=7.63
CCC(CC)c1nn(CCO)c2C(=O)NCC(=Nc12)c3ccc(OC)c(OC)c3	CHEMBL2387135	pIC50=7.64
COc1ccc2nnc3c(C)nc(c4sc(C)nc4C)n3c2n1	CHEMBL2070635	pIC50=7.64
Cc1cnccc1c2nc(C)c3c(C)nc4ccc(OC(F)(F)F)cc4n23	CHEMBL1916106	pIC50=7.64
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(Cl)cc4C#N)c12	CHEMBL3655835	pIC50=7.66
COc1cc(F)c2nc(C)c3c(C)nc(c4c(C)nn(C)c4C)n3c2c1	CHEMBL1916139	pIC50=7.66
COc1ccc2nc(C)c3c(C)nc(c4cnccc4OC)n3c2n1	CHEMBL1916097	pIC50=7.66
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCCOC5)C(F)(F)F	CHEMBL3693360	pIC50=7.66
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC(F)F)cc4)c12	CHEMBL3655843	pIC50=7.67
COc1cc(F)c2nc(C)c3c(C)nc(c4cccnc4C)n3c2c1	CHEMBL1916135	pIC50=7.67
CCCOCc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccncc4n23	CHEMBL3427724	pIC50=7.68
CCNC(=O)c1ccc2nc(C)c3nnc(c4cnccc4C)n3c2c1	CHEMBL2313255	pIC50=7.68
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C(C)(C)O)C5CC5	CHEMBL3693333	pIC50=7.68
Cc1nc2ccccc2n3c(nnc13)c4ccccc4Cl	CHEMBL1915969	pIC50=7.68
CN(C)Cc1ccc2nc(C)c3nnc(c4ccccc4Cl)n3c2c1	CHEMBL2313233	pIC50=7.7
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(Cl)cc4F)c12	CHEMBL3655808	pIC50=7.7
Cc1ccc2nc(C)c3nnc(c4cc(OCCO)ccc4Cl)n3c2n1	CHEMBL3693285	pIC50=7.7
COc1ccc2nc(C)c3c(nc(c4ccccc4C)n3c2n1)C(F)(F)F	CHEMBL1915897	pIC50=7.71
CN(Cc1ccccc1)C(=O)c2ccc3nc(C)c4nnc(c5ccccc5Cl)n4c3c2	CHEMBL2313259	pIC50=7.72
Cc1ccc2nc(C)c3nnc(c4cc(CO)ccc4Cl)n3c2n1	CHEMBL3693317	pIC50=7.72
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC)cc4F)c12	CHEMBL3655817	pIC50=7.74
COc1ccc2nc(C)c3c(C)nc(c4ccncc4Cl)n3c2n1	CHEMBL1916095	pIC50=7.74
COc1ccc(cc1c2cnc(cc2C)N(C)C)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387440	pIC50=7.75
Cc1ccc2nc(C)c3nnc(c4cc(OCCCO)ccc4Cl)n3c2n1	CHEMBL3693284	pIC50=7.75
Cc1ccc2nc(C)c3nnc(c4cc(ccc4Cl)C5(O)CCC5)n3c2n1	CHEMBL3693346	pIC50=7.75
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(C)cc4)c12	CHEMBL3655806	pIC50=7.76
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC)c(F)c4F)c12	CHEMBL3655818	pIC50=7.77
COc1ccc2nc(C)c3c(C)nc(c4cccnc4C)n3c2n1	CHEMBL1916090	pIC50=7.77
C[C@@H](O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693293	pIC50=7.77
C[C@H](O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693292	pIC50=7.77
Cc1ccc(cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5)C(C)(O)CO	CHEMBL3693362	pIC50=7.77
COc1ccc2nnc3c(C)nc(c4ccccc4C)n3c2n1	CHEMBL2070634	pIC50=7.8
Cc1nc(c2cnn(C)c2c3ccc(F)cc3)c4c(ncnn14)N5CCC5	CHEMBL3655830	pIC50=7.81
COC1CCN(Cc2ccc3nc(C)c4nnc(c5ccccc5Cl)n4c3c2)CC1	CHEMBL2313241	pIC50=7.82
COc1ccc2nnc3c(C)nc(c4ccc(Cl)cc4Cl)n3c2n1	CHEMBL2070640	pIC50=7.82
Cc1nc2ccc(CNCc3ccccc3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313235	pIC50=7.82
Cc1nc2cccnc2n3c(nnc13)c4ccccc4Cl	CHEMBL3425540	pIC50=7.82
Cc1ncccc1c2nc(C)c3c(C)nc4ccc(cc4n23)C(F)(F)F	CHEMBL1916109	pIC50=7.83
COc1ccc2nnc3c(C)nc(c4cncc(C)c4)n3c2n1	CHEMBL2070637	pIC50=7.84
COc1ccc(c(OC)c1)c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387436	pIC50=7.85
COc1cncc(c1)c2nc(C)c3nnc4ccc(OC)nc4n23	CHEMBL2070636	pIC50=7.85
Cc1cnccc1c2nc(C)c3c(C)nc4ccc(Cl)cc4n23	CHEMBL1916103	pIC50=7.85
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCCC5O)ccc4Cl)C6CC6	CHEMBL3693374	pIC50=7.85
Cc1cnc(c(F)c1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655811	pIC50=7.86
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC)cc4)c12	CHEMBL3655812	pIC50=7.87
Cc1cnccc1c2nc(C)c3c(C)nc4ccc(cc4n23)C(F)(F)F	CHEMBL1916108	pIC50=7.87
COc1ccc2nc(C)c3c(nc(c4ccccc4Cl)n3c2n1)C(F)(F)F	CHEMBL1915898	pIC50=7.88
COc1ccc2nnc3c(C)nc(c4ccc(F)cc4C)n3c2n1	CHEMBL2070633	pIC50=7.88
COc1cncc(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331518	pIC50=7.92
Cc1ccc(OC2COCC2O)cc1c3nnc4c(C)nc5ccc(nc5n34)C6CC6	CHEMBL3693315	pIC50=7.92
Cc1ccc(cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5)C(C)(C)O	CHEMBL3693332	pIC50=7.92
Cc1nc2ccc(N[C@@H]3CC[C@@H](O)CC3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313238	pIC50=7.92
COc1ccc2nnc3c(C)nc(c4ccc(F)cc4Cl)n3c2n1	CHEMBL2070631	pIC50=7.93
COc1ccc2nc(C)c3c(C)nc(c4ccccc4Cl)n3c2n1	CHEMBL1915890	pIC50=7.94
COc1ccc2nc(C)c3c(nc(c4cc(F)ccc4Cl)n3c2n1)C(F)(F)F	CHEMBL1915901	pIC50=7.94
Cc1ccc(nc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655791	pIC50=7.94
CC(C)c1ccc2nc(C)c3nnc(c4cc(OCC(C)(C)O)ccc4F)n3c2n1	CHEMBL3693310	pIC50=7.96
CCC(O)c1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693319	pIC50=7.96
COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4)n23)c5cccnc5	CHEMBL3742354	pIC50=7.96
COc1ccc2nc(C)c3c(C)nc(c4cc(Cl)ccc4Cl)n3c2n1	CHEMBL1915891	pIC50=7.96
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(cn4)C(F)(F)F)c12	CHEMBL3655782	pIC50=7.97
COc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331513	pIC50=7.98
COc1ccc(cc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)(F)C5)c34	CHEMBL3655798	pIC50=7.98
COc1ccc(cc1F)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655793	pIC50=7.98
CC(C)OCc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccncc4n23	CHEMBL3425534	pIC50=8.0
CC(C)c1ccc2nc(C)c3nnc(c4cc(ccc4C)C(C)(C)O)n3c2n1	CHEMBL3693335	pIC50=8.0
CCCCOc1cncc(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331521	pIC50=8.0
Cc1nc2ccc(nc2n3c(nnc13)c4cc(CC(C)(C)O)ccc4F)C5CC5	CHEMBL3693337	pIC50=8.0
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC[C@@H](C5)NC(=O)C)c34	CHEMBL3676191	pIC50=8.01
COC(=O)NC1CN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(C)cc5	CHEMBL3676190	pIC50=8.01
Cc1nc2ccc(CN3CCC(O)CC3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313240	pIC50=8.01
Cn1ncc(c2nn(C)c3ncnc(N4CCC(C4)S(=O)(=O)CC5CC5)c23)c1c6ccc(Cl)c(F)c6	CHEMBL3676197	pIC50=8.01
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(Cl)cc5Cl	CHEMBL3676224	pIC50=8.01
COc1ccc(cc1F)c2c(cnn2C)c3nn(C)c4ncnc(c5ccn(N)n5)c34	CHEMBL3676196	pIC50=8.02
COc1ccc2nc(C)c3c(nc(c4cc(Cl)ccc4Cl)n3c2n1)C(F)(F)F	CHEMBL1915899	pIC50=8.02
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(cn5)C(F)(F)F	CHEMBL3092561	pIC50=8.02
COc1ccc(F)c(c1)c2nc(C)c3nnc4c(F)cc(OC)cc4n23	CHEMBL2180773	pIC50=8.03
COc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(C5)NC(=O)OC(C)(C)C)c34	CHEMBL3676193	pIC50=8.03
COc1ncc(c(OC)n1)c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387424	pIC50=8.03
Cc1nc(c2cnn(C)c2c3ccc(Cl)cc3)c4c(ncnn14)N5CC(F)(F)C5	CHEMBL3655797	pIC50=8.04
Cc1nc(c2cnn(C)c2c3ncc(Cl)cc3F)c4c(ncnn14)N5CCC5	CHEMBL3655784	pIC50=8.04
CC(C)c1ccc2nc(C)c3nnc(c4cc(OCC(C)(C)O)ccc4C)n3c2n1	CHEMBL3693309	pIC50=8.05
CCNC(=O)c1ccc2nc(C)c3nnc(c4cncc(OC)c4)n3c2c1	CHEMBL2313257	pIC50=8.05
COc1ccc(c(F)c1F)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC5)c34	CHEMBL3676223	pIC50=8.05
Cc1nc2ccc(nc2n3c(nnc13)c4cc(O)ccc4Cl)C(F)(F)F	CHEMBL3693270	pIC50=8.05
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5CCOCC5O)ccc4Cl)C6CC6	CHEMBL3693375	pIC50=8.05
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(cn5)C6CC6	CHEMBL3676211	pIC50=8.05
COC1CN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(cc5)C(F)(F)F	CHEMBL3676216	pIC50=8.07
Cc1nc(c2cnn(C)c2c3ccc(Cl)cn3)c4c(ncnn14)N5CCC5	CHEMBL3655780	pIC50=8.09
CC(C)C(O)c1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693378	pIC50=8.1
COC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(cc5)C(F)(F)F)c23	CHEMBL3655805	pIC50=8.1
COCCCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693288	pIC50=8.1
Cc1ccc(OCC(C)(C)O)cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5	CHEMBL3693306	pIC50=8.1
Cc1nc(c2cnn(C)c2c3ncc(cc3Cl)C(F)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655814	pIC50=8.1
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OCC(C)(C)O)ccc4F)C5CC5	CHEMBL3693305	pIC50=8.1
Cn1ncc(c2nn(C)c3ncnc(N4CC(F)C4)c23)c1c5ccc(cc5)C(F)F	CHEMBL3676228	pIC50=8.1
CCCCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331517	pIC50=8.11
Cc1nc(c2cnn(C)c2c3ccc(F)cc3F)c4c(ncnn14)N5CCC5	CHEMBL3655825	pIC50=8.12
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(F)(F)C5)c34	CHEMBL3676217	pIC50=8.13
COc1ccc(Cl)c(c1)c2nc(c3c(C)nc4ccc(OC)nc4n23)C(F)(F)F	CHEMBL1915902	pIC50=8.13
Cc1ccc(c(C)c1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC5)c34	CHEMBL3676225	pIC50=8.14
Cc1nc2ccc(NC3CCOCC3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313237	pIC50=8.14
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC(C5)S(=O)(=O)C)c34	CHEMBL3676187	pIC50=8.15
CN1CCN(Cc2ccc3nc(C)c4nnc(c5ccccc5Cl)n4c3c2)CC1	CHEMBL2313236	pIC50=8.15
COc1ccc(cc1c2cnc(OC)nc2OC)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387441	pIC50=8.16
Cc1ccc(CC(C)(C)O)cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5	CHEMBL3693338	pIC50=8.16
Cc1nc(c2cnn(C)c2c3cnc(cn3)C(F)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655838	pIC50=8.16
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCC5O)ccc4F)C6CC6	CHEMBL3693370	pIC50=8.16
CC1CN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(cc5)C(F)(F)F	CHEMBL3676218	pIC50=8.17
COc1ccc(cc1c2cnn(C)c2)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387422	pIC50=8.17
CCCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331515	pIC50=8.19
Cn1ncc(c2nn(C)c3ncnc(N4CC(F)C4)c23)c1c5ccc(cc5)C(F)(F)F	CHEMBL3676213	pIC50=8.19
CCNC(=O)c1ccc2nc(C)c3nnc(c4cccnc4C)n3c2c1	CHEMBL2313254	pIC50=8.2
Cc1ccc(c(Cl)c1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC5)c34	CHEMBL3676220	pIC50=8.2
Cc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(C5)c6ccn(C)n6)c34	CHEMBL3676185	pIC50=8.2
Cc1nc(c2cnn(C)c2c3ccc(Br)cn3)c4c(ncnn14)N5CCC5	CHEMBL3655846	pIC50=8.2
Cc1nc2ccc(CN3CCCC(O)C3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313242	pIC50=8.2
CCNC(=O)c1ccc2nc(C)c3nnc(c4ccccc4)n3c2c1	CHEMBL2313246	pIC50=8.21
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(cc4)C(F)F)c12	CHEMBL3655781	pIC50=8.21
CCCCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccncc4n23	CHEMBL3427722	pIC50=8.22
CCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331514	pIC50=8.22
COc1cccc2nc(C)c3nnc(c4ccccc4Cl)n3c12	CHEMBL3092560	pIC50=8.22
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5CCOCC5)ccc4Cl)C6CC6	CHEMBL3693290	pIC50=8.22
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C(C)(C)O)C5CC5	CHEMBL3693342	pIC50=8.22
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C5(O)CCC5)C6CC6	CHEMBL3693341	pIC50=8.22
CCNC(=O)c1ccc2nc(C)c3nnc(c4ccccc4OC)n3c2c1	CHEMBL2313248	pIC50=8.23
Cc1ccc(cc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)(F)C5)c34	CHEMBL3655799	pIC50=8.23
Cn1ncc(c2nn(C)c3ncnc(N4CC(F)(F)C4)c23)c1c5ccc(cc5)C6CC6	CHEMBL3676219	pIC50=8.23
Cn1ncc(c2nn(C)c3ncnc(N4CCCC4)c23)c1c5ccc(cc5)C6CC6	CHEMBL3676205	pIC50=8.25
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(C5)NC(=O)OC)c34	CHEMBL3676192	pIC50=8.26
COC(=O)NC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(cn5)C(F)(F)F)c23	CHEMBL3655850	pIC50=8.26
Cn1ncc(c2nn(C)c3ncnc(N4CC(F)(F)C4)c23)c1c5ccc(cc5)C(F)(F)F	CHEMBL3676212	pIC50=8.26
CN(C)[C@@H]1CCN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(cc5)C6CC6	CHEMBL3676199	pIC50=8.27
COc1ccc(c(Cl)c1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC5)c34	CHEMBL3676222	pIC50=8.27
COc1ccc2nc(C(F)F)c3c(C)nc(c4ccccc4Cl)n3c2n1	CHEMBL1915904	pIC50=8.27
Cc1nc(c2cc(Cl)ccc2Cl)n3c4cc(Cl)ccc4nnc13	CHEMBL2180772	pIC50=8.28
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(cc5)C(F)F	CHEMBL3676181	pIC50=8.28
CN(C1CCN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(cc5)C6CC6)C(=O)C	CHEMBL3676201	pIC50=8.29
Cc1ccc2nc(C)c3nnc(c4cc(OCCCOC(F)(F)F)ccc4Cl)n3c2n1	CHEMBL3693291	pIC50=8.3
Cc1nc(c2cnn(C)c2c3ccc(cn3)C(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655832	pIC50=8.3
Cc1nc2ccc(CN3CCC(O)C3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313239	pIC50=8.3
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OCC(C)(C)O)ccc4Cl)C5CC5	CHEMBL3693303	pIC50=8.3
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C5(O)CCOCC5)C6CC6	CHEMBL3693352	pIC50=8.3
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(Br)cc4)c12	CHEMBL3655842	pIC50=8.31
CC(C)Oc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331516	pIC50=8.32
COc1ccc(CC2=Nn3c(nc(C)c3C(=O)N2)[C@@H](CCc4ccccc4)[C@@H](C)O)cc1OO	CHEMBL2387143	pIC50=8.33
COc1ccc(Cc2nc(O)c3c(C)nc([C@@H](CCCc4ccccc4)[C@@H](C)O)n3n2)cc1OC	CHEMBL370962	pIC50=8.33
COC(=O)NC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(C)cc5)c23	CHEMBL3655852	pIC50=8.34
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(C5)c6ccn(C)n6)c34	CHEMBL3676189	pIC50=8.35
CCOC(=O)c1ccc2nc(C)c3nnc(c4ccccc4Cl)n3c2c1	CHEMBL2311556	pIC50=8.36
CN(C)c1ncnc2c1c(nn2C)c3cnn(C)c3c4ccc(cc4C)C5CC5	CHEMBL3676226	pIC50=8.36
COc1cc(cc2c1nnc3c(C)nc(c4ccncc4C)n23)N5CCOCC5	CHEMBL2070656	pIC50=8.36
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(cc4C#N)C(F)(F)F)c12	CHEMBL3655829	pIC50=8.37
COc1ccc2nnc3c(C)nc(c4ccccc4Cl)n3c2n1	CHEMBL2070639	pIC50=8.37
Cc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC(C5)S(=O)(=O)C6CC6)c34	CHEMBL3676186	pIC50=8.37
Cn1ncc(c2nn(C)c3ncnc(N4CC(C4)c5oncc5)c23)c1c6ccc(cc6)C7CC7	CHEMBL3676203	pIC50=8.37
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(CBr)cc5	CHEMBL3676215	pIC50=8.38
CC(C)c1ccc2nc(C)c3nnc(c4cc(ccc4Cl)C(C)(C)O)n3c2n1	CHEMBL3693334	pIC50=8.4
CCCC(O)c1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693318	pIC50=8.4
Cc1ccc2nc(C)c3nnc(c4cc(O)ccc4Cl)n3c2n1	CHEMBL3693261	pIC50=8.4
Cc1nc2ccc(Cl)cc2n3c(nnc13)c4ccccc4Cl	CHEMBL3092557	pIC50=8.4
Cc1nc2ccc(nc2n3c(nnc13)c4cc(CC(C)(C)O)ccc4Cl)C5CC5	CHEMBL3693340	pIC50=8.4
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOC5)C6CC6	CHEMBL3693357	pIC50=8.4
Cc1nc(c2cnn(C)c2c3ccc(Cl)cc3C#N)c4c(ncnn14)N5CCC5	CHEMBL3655828	pIC50=8.42
CN(C)S(=O)(=O)C1CCN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(Cl)c(F)c5	CHEMBL3676195	pIC50=8.45
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(C5)OC)c34	CHEMBL3676214	pIC50=8.46
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC)cc4C)c12	CHEMBL3655816	pIC50=8.46
COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4F)n23)c5cccnc5	CHEMBL3741573	pIC50=8.46
COc1ccc(c(OC)c1)c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2385104	pIC50=8.47
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(cc5)C6CC6	CHEMBL3676208	pIC50=8.47
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC(F)(F)F)cc4)c12	CHEMBL3655819	pIC50=8.48
COc1ccc(cc1c2cnc(OC)nc2)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387430	pIC50=8.48
COc1ccc2nnc3c(C)nc(c4cc(Cl)ccc4Cl)n3c2c1	CHEMBL2180771	pIC50=8.48
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CC(F)C5)c34	CHEMBL3676183	pIC50=8.5
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC(C5)S(=O)(=O)N(C)C)c34	CHEMBL3676188	pIC50=8.51
CC(C)c1ccc2nc(C)c3nnc(c4cc(O)ccc4C)n3c2n1	CHEMBL3693266	pIC50=8.52
COc1ccc(F)c(c1)c2nc(C)c3nnc4ccc(OC)nc4n23	CHEMBL2070641	pIC50=8.52
C[C@H](O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(nc4n23)C5CC5	CHEMBL3693294	pIC50=8.52
Cc1ccc(O)cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5	CHEMBL3693265	pIC50=8.52
Cc1ccc(cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5)C6(O)CCOCC6	CHEMBL3693365	pIC50=8.52
Cc1ccc2nc(C)c3nnc(c4cc(OCCCC(F)(F)F)ccc4Cl)n3c2c1	CHEMBL3092558	pIC50=8.52
Cc1nc2ccc(nc2n3c(nnc13)c4cc(CCC(C)(C)O)ccc4F)C5CC5	CHEMBL3693323	pIC50=8.52
Cc1nc2ccc(nc2n3c(nnc13)c4cc(O)ccc4F)C5CC5	CHEMBL3693264	pIC50=8.52
Cc1nc2ccncc2n3c(nnc13)c4cc(COCC(F)(F)F)ccc4Cl	CHEMBL3427725	pIC50=8.52
Cn1ncc(c2nn(C)c3ncnc(N4CCC(C4)S(=O)(=O)C)c23)c1c5ccc(cc5)C6CC6	CHEMBL3676202	pIC50=8.53
COC(=O)NC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(Cl)cc5)c23	CHEMBL3655853	pIC50=8.54
CCNC(=O)c1ccc2nc(C)c3nnc(c4ccccc4F)n3c2c1	CHEMBL2313249	pIC50=8.55
Cc1nc2ccc(CN3CCOCC3)cc2n4c(nnc14)c5ccccc5Cl	CHEMBL2313234	pIC50=8.55
Cc1cc(ccc1c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)C5)c34)C(F)(F)F	CHEMBL3655848	pIC50=8.56
CN(C)S(=O)(=O)C1CCN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(cc5)C6CC6	CHEMBL3676200	pIC50=8.57
Cn1ncc(c2ncn3ncnc(N4CCC4)c23)c1c5ccc(cc5)C(F)(F)F	CHEMBL3655785	pIC50=8.57
Cn1ccc(n1)C2CN(C2)c3ncnc4c3c(nn4C)c5cnn(C)c5c6ccc(cc6)C7CC7	CHEMBL3676207	pIC50=8.59
COc1ccc(cc1c2cnc(nc2)N(C)C)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387428	pIC50=8.6
