CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	triptorelin	pEC50=9.025	pEC50=9.025	pEC50=9.025
CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	nafarelin	pKd=9.699	pKd=9.699	pKd=9.699
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	leuprorelin	pIC50=9.5229	pIC50=9.5229	pIC50=9.5229	pIC50=9.1
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	abarelix	pKi=9.30000019	pKi=9.30000019	pKi=9.30000019
[H][C@]1(CC(=O)NC(=O)N1)C(=O)NC1=CC=C(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CC2=CN=CC=C2)NC(=O)[C@@H](CC2=CC=C(Cl)C=C2)NC(=O)[C@@H](CC2=CC3=C(C=CC=C3)C=C2)NC(C)=O)C(=O)N[C@H](CC2=CC=C(NC(N)=O)C=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)C=C1	degarelix	pKi=8.77000046	pKi=8.77000046	pKi=8.77000046
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	buserelin
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	gonadorelin	pIC50=8.0	pIC50=8.0	pIC50=8.0
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	goserelin
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	histrelin
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	cetrorelix	pKi=8.8	pKi=8.8	pKi=8.8
CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	ganirelix
CCNC(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL435167	pIC50=7.22
CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(cc6)N(C)C	CHEMBL330835	pKi=7.22
COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](C)NC4CCCC4)C2=O)c1Cl	CHEMBL256109	pKi=7.22
Cc1cc(cc(C)c1C)C2=C(OCC[C@@H]3CCN3)c4cc(C(=O)Nc5ccncn5)c(Cl)cc4NC2=O	CHEMBL120432	pIC50=7.22
CCNC(=O)Nc1ccc(cc1)c2nc3N(Cc4c(F)cccc4F)C=C(C(=O)OCC)C(=O)n3c2CN(CC(=O)NCc5cn(CCOCCOCCn6cc(CNC(=O)CN(Cc7ccccc7)Cc8c(nc9N(Cc%10c(F)cccc%10F)C=C(C(=O)OCC)C(=O)n89)c%11ccc(NC(=O)NCC)cc%11)nn6)nn5)Cc%12ccccc%12	CHEMBL395825	pKi=7.23
COC(=O)C(C)(C)c1nc2N(Cc3ccccc3F)C(=C(C(=O)n2c1CN(C)Cc4ccccc4)c5cccc(OC)c5)C	CHEMBL50856	pKi=7.23
CC(C)(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(c(F)c4)C(F)(F)F	CHEMBL180167	pIC50=7.24
CC(C)C[C@H](N)C(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL120149	pKi=7.24
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL433302	pKi=7.24
CCCn1c(CC)nc(C)c1CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C	CHEMBL493932	pIC50=7.24
CCc1nc(CN2CCN(CC2)c3cncc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)[nH]1	CHEMBL1092626	pIC50=7.24
CN(CCc1ccccn1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(cc6)[N+](=O)[O-]	CHEMBL333518	pIC50=7.24
COCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)ccc13	CHEMBL197254	pIC50=7.24
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(NC(=O)Nc4cncnc4)cc3c2OCC[C@@H]5CCCCN5	CHEMBL417189	pIC50=7.24
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCCC(C4)Nc5nccc(NCC6CCCO6)n5)C(C)(C)CCC2(C)C	CHEMBL333461	pKi=7.24
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)CCc5ccccn5)c6cccc(S)c6)C	CHEMBL303621	pKi=7.25
C[C@H](CNC(=O)N1CCC(CC1)c2ccncc2)c3c([nH]c4sc(cc34)C(C)(C)C(=O)N5C6CCC5CC6)c7cc(C)cc(C)c7	CHEMBL399779	pIC50=7.25
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5nccc(NC[C@H]6CCCO6)n5)c4)C(C)(C)CCC2(C)C	CHEMBL120164	pKi=7.25
Cc1cnc(CNC(=O)c2oc(Cc3cc4c(cc3C)C(C)(C)CCC4(C)C)cc2)cn1	CHEMBL116246	pKi=7.25
CC(C)NC(=O)c1ccc2[nH]c(c(CCNCCCCc3cccnc3)c2c1)c4cc(C)cc(C)c4	CHEMBL430763	pIC50=7.26
CC(C)OC(=O)\N=C(\NC[C@@H](C)c1c([nH]c2sc(cc12)C(C)(C)C(=O)N3C4CCC3CC4)c5cc(C)cc(C)c5)/N6CCC(C6)c7ccncc7	CHEMBL399856	pIC50=7.26
CCOC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(OC)cc5	CHEMBL324375	pKi=7.26
COc1cccc(C2=CN(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@@H](N)c4ccccc4)C2=O)c1F	CHEMBL193089	pKi=7.26
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCN(CC4)C(=O)OC(C)(C)C)C(C)(C)CCC2(C)C	CHEMBL323863	pKi=7.27
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3C(F)(F)F)c4cccc(OCC(=O)O)c4F	CHEMBL447592	pKi=7.28
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3)c4ccccc4F	CHEMBL434906	pKi=7.28
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OC(CC)CC)C(=O)n3c2CN(C)Cc5cccnc5	CHEMBL304156	pKi=7.28
CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(NC(=O)C)cc6	CHEMBL332355	pIC50=7.28
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CC(C)NCc4ccccn4)C2=O	CHEMBL113059	pKi=7.28
CCOC(=O)[C@@H]1CC[C@@H](CNC(=O)c2oc(Cc3cc4c(cc3C)C(C)(C)CCC4(C)C)cc2)CC1	CHEMBL325843	pKi=7.29
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2CCOC2)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL12204	pKi=7.29
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](C)NCc4ccccc4)C2=O)c1F	CHEMBL23729	pKi=7.29
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)C(C)C)C2=O)c1F	CHEMBL330804	pKi=7.29
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(CCOc5cccc6nc([nH]c56)C(F)(F)F)CC4	CHEMBL444509	pIC50=7.3
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3cc(c(CN(C)Cc4ccccc4)cc3C1=O)c5ccc(NC(=O)CC)cc5	CHEMBL405449	pKi=7.3
CNC(CN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccc(C)cc4C)CC3)C1=O)c5ccccc5	CHEMBL260552	pKi=7.3
COc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL21373	pIC50=7.3
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](C)NC4CCCC4)C2=O)c1F	CHEMBL22653	pKi=7.3
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(Nc5ccc(C)cc5)n4	CHEMBL187217	pKi=7.31
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccc(C)c(F)c5	CHEMBL425178	pKi=7.31
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2[C@H](C)COC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL429949	pKi=7.31
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N(C)C)c4ccccc4)C2=O)c1F	CHEMBL179429	pIC50=7.31
CC(C)(C)c1ccc(cc1)c2cn3cccc(N4CCN(Cc5ccc6nccnc6c5)CC4)c3n2	CHEMBL1092245	pIC50=7.33
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccc(cc5)C(F)(F)F	CHEMBL187243	pKi=7.33
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)Cc5ccccc5)c6ccc7OCOc7c6)C	CHEMBL306431	pKi=7.33
COc1ccc(cc1CSc2nc3cc(NC(=O)NC(C)(C)C)ccc3n2Cc4ccncc4)[N+](=O)[O-]	CHEMBL193689	pIC50=7.33
CCCCn1cnc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c1C	CHEMBL493565	pIC50=7.34
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](N)C4CCCCC4)C2=O)c1F	CHEMBL180124	pKi=7.34
CCC(C)N(C(C)CC)C(=O)c1cc2c(OCCC3CCCCN3)c(c(O)nc2cc1Cl)c4cc(C)cc(C)c4.OC(=O)C(F)(F)F	CHEMBL138977	pIC50=7.35
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccc(Cl)cc4)CC3)C1=O)c5ccccc5	CHEMBL392709	pKi=7.35
COCCN(CCOC)C(=O)c1ccc2[nH]c(c(CCNCCCCc3cccnc3)c2c1)c4cc(C)cc(C)c4	CHEMBL299392	pIC50=7.35
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)c4ccccc4)C2=O	CHEMBL359894	pKi=7.35
CC(C)(C)c1ccc(cc1)c2cn3cccc(N4CCN(Cc5cnc6ccccc6n5)CC4)c3n2	CHEMBL1091580	pIC50=7.36
CCOC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)C(C)C)cc5	CHEMBL335610	pKi=7.36
COCCNc1nccc(NCc2cccc(CNC(=O)c3oc(Cc4cc5c(cc4C)C(C)(C)CCC5(C)C)cc3)c2)n1	CHEMBL121412	pKi=7.36
CCc1cc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)nn1C	CHEMBL493185	pIC50=7.37
COc1ccc(cc1CSc2nc3cc(NC(=O)NC(C)(C)C)ccc3n2Cc4ccccn4)[N+](=O)[O-]	CHEMBL196040	pIC50=7.37
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](C)NCc4ccccn4)C2=O)c1F	CHEMBL23969	pKi=7.37
C[C@H](N)C(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL333103	pKi=7.37
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccc5OCOc5c4	CHEMBL178457	pKi=7.38
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccc(F)cc5	CHEMBL438201	pKi=7.38
CCOC(=O)C1=CN(Cc2ccccc2F)c3c(F)c(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(OCC(C)C)cc5	CHEMBL117977	pKi=7.38
CCOC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)C)cc5	CHEMBL132616	pKi=7.38
CCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)ccc13	CHEMBL366236	pIC50=7.38
COc1ccc(F)c(F)c1OCc2cc(N3C(=O)Nc4csc(C(=O)O)c4C3=O)c(F)cc2OC	CHEMBL3668016	pIC50=7.38
COc1ccc(Nc2nc(cs2)C3=C(C)N(Cc4c(F)cccc4F)C(=O)N(C[C@H](N)c5ccccc5)C3=O)cc1	CHEMBL365001	pKi=7.38
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CN)CC4)C(C)(C)CCC2(C)C	CHEMBL115425	pKi=7.38
OC(=O)CCCN[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C=C(C1=O)c3ccccc3Cl)c4ccccc4	CHEMBL526887	pKi=7.38
CCC(CC)OC(=O)C1=CN(Cc2ccccc2F)c3nc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)C(C)C)cc5	CHEMBL273358	pKi=7.39
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)NC)c13	CHEMBL440212	pIC50=7.39
CCOC(=O)C1=CN(Cc2ccccc2)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(N)cc5	CHEMBL211808	pIC50=7.4
COc1cccc(C2=C3SCC(N3C(=O)N(CC(N)c4ccccc4)C2=O)c5ccccc5F)c1F	CHEMBL362237	pKi=7.4
COc1cccc(C2=C3SCC(N3C(=O)N(C[C@H](N)c4ccccc4)C2=O)c5ccccc5F)c1F	CHEMBL468552	pKi=7.4
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5cc(C)nc(C)n5.OC(=O)C(F)(F)F	CHEMBL335764	pIC50=7.4
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CNC(=N)N)CC4)C(C)(C)CCC2(C)C	CHEMBL261145	pKi=7.4
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NC[C@@H]4CC[C@H](CN=C(N)N)CC4)C(C)(C)CCC2(C)C	CHEMBL117736	pKi=7.4
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4ccc(CNc5nccc(NCC6CCCO6)n5)cc4)C(C)(C)CCC2(C)C	CHEMBL331855	pKi=7.4
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](N)CC(C)C)C2=O)c1F	CHEMBL116259	pKi=7.41
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2[C@@H](C)COC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C4CCCC4)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]5N(CCc6ccc(Cl)cc6)C(=O)O[C@]15C)OC	CHEMBL273275	pKi=7.42
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3ccc4OCOc4c3)C)CCc5ccccn5	CHEMBL23797	pKi=7.42
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCCOCC(=O)O)c3F)C)c4ccccc4	CHEMBL509347	pKi=7.42
Cc1nn(C)c(C)c1CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C	CHEMBL495190	pIC50=7.42
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)OC)c13	CHEMBL196079	pIC50=7.43
CCc1oc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)n1	CHEMBL494415	pIC50=7.43
COc1cccc(c1)N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL366701	pKi=7.43
CC(C)C[C@H](NC(=O)[C@@H](CCCCNC(=O)CCCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@@H]6CCC(=O)N6)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N7CCC[C@H]7C(=O)NCC(=O)N	CHEMBL2430900	pIC50=7.44
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OC(CC)CC)C(=O)n3c2CN(C)CCOC	CHEMBL303260	pKi=7.44
CCN(CC)C(=O)c1ccc2[nH]c(c(CCN(C)CCCCc3ccncc3)c2c1)c4cc(C)cc(C)c4	CHEMBL296199	pIC50=7.44
CCN(CCO)C(=O)c1ccc2[nH]c(c(CCNCCCCc3ccncc3)c2c1)c4cc(C)cc(C)c4	CHEMBL298497	pIC50=7.44
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2CC(C)OC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL267568	pKi=7.44
CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(N)cc6	CHEMBL332138	pKi=7.44
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4c(Cl)cccc4Cl)C2=O)c1F	CHEMBL369453	pKi=7.44
Cc1cc(C)cc(c1)c2[nH]c3ccc(cc3c2CCNCCCCc4ccncc4)C(=O)N(CC(F)(F)F)CC(F)(F)F	CHEMBL49366	pIC50=7.44
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(NCc5ccccc5)n4	CHEMBL186646	pKi=7.46
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3C)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL75954	pKi=7.46
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccc(C)cc4)CC3)C1=O)CCc5ccccn5	CHEMBL235520	pKi=7.46
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCCN(C)CC(=O)O)c3F)C)c4ccccc4	CHEMBL450414	pKi=7.46
COC(=O)\N=C(\NC[C@@H](C)c1c([nH]c2sc(cc12)C(C)(C)C(=O)N3C4CCC3CC4)c5cc(C)cc(C)c5)/N6CCC(C6)c7ccncc7	CHEMBL400739	pIC50=7.46
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5cc(Cl)nc(N)n5)c4)C(C)(C)CCC2(C)C	CHEMBL121551	pKi=7.46
CN(c1ccccc1)c2nc(cs2)C3=C(C)N(Cc4c(F)cccc4F)C(=O)N(C[C@H](N)c5ccccc5)C3=O	CHEMBL367812	pKi=7.47
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CCN(C)CCc4ccccn4)C2=O	CHEMBL23830	pKi=7.47
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CCNCCc4ccccn4)C2=O	CHEMBL64148	pKi=7.47
COc1cccc(c1)C2=C(F)N(Cc3c(F)cccc3F)C(=O)N(CCN(C)CCc4ccccn4)C2=O	CHEMBL468546	pKi=7.47
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3cccc(OCCCCC(=O)O)c3F)c4ccccc4	CHEMBL448656	pKi=7.47
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccc(F)cc3Cl)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL75439	pKi=7.48
CCN(CC)CCOC1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1	CHEMBL401081	pIC50=7.48
CN(CCc1ccccn1)Cc2c(c3ccc(OC4CCCC4)cc3)c(C#N)c5N(Cc6ccccc6F)C=C(C(=O)OC7CCCC7)C(=O)n25	CHEMBL131665	pKi=7.48
COc1ccc(Nc2nc(cs2)C3=C(C)N(Cc4c(F)cccc4F)C(=O)N(C[C@H](N)c5ccccc5)C3=O)cc1OC	CHEMBL363900	pKi=7.48
COc1ccc(cc1CSc2nc3cc(NC(=O)NC(C)(C)C)ccc3n2Cc4cccnc4)[N+](=O)[O-]	CHEMBL364933	pIC50=7.48
COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@@H](C)NC4CCCC4)C2=O)c1F	CHEMBL403081	pKi=7.48
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4c(F)cccc4Br)C2=O)c1F	CHEMBL368511	pIC50=7.48
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5nccc(NCC6CCCO6)n5)c4)C(C)(C)CCC2(C)C	CHEMBL119546	pKi=7.48
Cn1cnc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c1	CHEMBL492780	pIC50=7.48
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3cccc(OCCCCCC(=O)O)c3F)c4ccccc4	CHEMBL444989	pKi=7.48
CCCC(=O)Nc1ccc(cc1)c2cc3N(Cc4ccccc4F)C=C(C(=O)NC5CCCCC5)C(=O)n3c2CN(C)CCc6ccccn6	CHEMBL131127	pKi=7.5
COC(=O)CCCN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3cccc(OC)c3F)c4ccccc4	CHEMBL455769	pKi=7.5
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H]4CCCN4Cc5ccccn5)C2=O	CHEMBL325326	pKi=7.5
Cc1cc(C)cc(c1)c2[nH]c3ccc(cc3c2CCNCCCCc4cccnc4)C(C)(C)C(=O)N	CHEMBL47791	pIC50=7.5
Cc1cc(C)cc(c1)c2[nH]c3ccc(cc3c2CCNCCCCc4ccncc4)C(=O)N5C6CCC5CC6	CHEMBL50663	pIC50=7.5
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5cccnc5.OC(=O)C(F)(F)F	CHEMBL336039	pIC50=7.5
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5nncs5.OC(=O)C(F)(F)F	CHEMBL141221	pIC50=7.5
