CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1	levomilnacipran	pKi=7.03526926	pKi=7.03526926	pKi=7.03526926	pIC50=7.4
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=6.31875896	pKi=6.31875896	pKi=6.31875896
CC(N)CC1=CC=CC=C1	amfetamine
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1	pseudoephedrine
NC(=N)NCC1COC2(CCCCC2)O1	guanadrel
CNC(NC)=NCC1=CC=CC=C1	betanidine
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pKi=7.88605665	pKi=7.88605665	pKi=7.88605665	pIC50=7.89
[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	phendimetrazine
CCN(CC)C(C)C(=O)C1=CC=CC=C1	diethylpropion
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1	methylphenidate	pKi=6.18	pKi=6.18	pKi=6.18	pKi=6.18
CCOc1ccccc1OCC2CNCCO2	viloxazine	pKd=6.81	pKd=6.81	pKd=6.81	pKd=6.81
C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1	benzphetamine
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	bupropion	pKi=5.16	pKi=5.16	pKi=5.16	pIC50=6.35
CC[N+](C)(C)CC1=C(Br)C=CC=C1	bretylium
CNCC[C@@H](Oc1ccccc1C)c2ccccc2	atomoxetine	pKd=8.69	pKd=8.69	pKd=8.69	pIC50=8.29
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	mazindol	pKd=9.3	pKd=9.3	pKd=9.3	pKi=7.75
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	duloxetine	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=6.29
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	desvenlafaxine	pKi=6.2747	pKi=6.2747	pKi=6.2747
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	venlafaxine	pKd=5.9747	pKd=5.9747	pKd=5.9747	pIC50=6.17
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	trimipramine	pKi=5.61000013	pKi=5.61000013	pKi=5.61000013
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1	sibutramine	pKi=5.2635	pKi=5.2635	pKi=5.2635
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	protriptyline	pKi=8.39	pKi=8.39	pKi=8.39	pIC50=7.77
CC(C)(N)CC1=CC=CC=C1	phentermine
CC1NCCOC1C1=CC=CC=C1	phenmetrazine	pEC50=7.2976	pEC50=7.2976	pEC50=7.2976
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKd=8.3595	pKd=8.3595	pKd=8.3595	pKi=8.2
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	nefazodone	pKd=6.4437	pKd=6.4437	pKd=6.4437	pKd=6.44
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	milnacipran	pKi=7.6	pKi=7.6	pKi=7.6	pIC50=7.11
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKd=8.27	pKd=8.27	pKd=8.27	pIC50=7.52
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pKd=7.4318	pKd=7.4318	pKd=7.4318	pIC50=7.13
NC(=N)NCCN1CCCCCCC1	guanethidine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKd=7.53	pKd=7.53	pKd=7.53	pIC50=7.54
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1	dexmethylphenidate
CNCCCN1c2ccccc2CCc3ccccc13	desipramine	pKd=9.0809	pKd=9.0809	pKd=9.0809	pKi=6.24
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKd=7.4559	pKd=7.4559	pKd=7.4559	pKi=6.48
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pKd=7.4202	pKd=7.4202	pKd=7.4202	pIC50=7.15
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	nomifensine	pKi=7.67	pKi=7.67	pKi=7.67	pIC50=6.2
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1	lofepramine	pKi=8.2676	pKi=8.2676	pKi=8.2676
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12	dosulepin	pKd=7.3372	pKd=7.3372	pKd=7.3372
C[C@H](N)CC1=CC=CC=C1	dexamfetamine	pKi=7.0	pKi=7.0	pKi=7.0	pIC50=6.2
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	lisdexamfetamine
O[C@@H](CCc1ccccc1)CN2CCC(CCOC(c3ccc(F)cc3)c4ccc(F)cc4)CC2.OC(=O)C(=O)O	CHEMBL383464	pKi=6.13
CC(=O)N(Cc1ccc2ccccc2c1)[C@@H]3CCNC3	CHEMBL577497	pIC50=6.14
CC(C)(C)CC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL374769	pIC50=6.14
CN(C)Cc1cc(Br)ccc1Sc2ccc(CO)cc2N	CHEMBL253184	pKi=6.14
CN1C[C@@H]2CCCC[C@@]2(C1)c3ccc4ccccc4c3	CHEMBL1813313	pIC50=6.14
CNCc1cc(ccc1Oc2cccc(OC)c2)C(=O)N3CCN(CC3)C(C)C	CHEMBL403148	pKi=6.14
COc1cccc(c1)C(=O)C(C)N2CCCCC2	CHEMBL580143	pIC50=6.14
Cl.Cl.OC1(CCCCC1)C(CN2CCNCC2)c3ccc(Cl)cc3	CHEMBL459644	pKi=6.14
Clc1ccc(cc1)C(CC2CCCC2)C3CCCCN3	CHEMBL219653	pIC50=6.14
N[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642891	pIC50=6.14
OC1(CCCCC1)C(CN2CCNCC2)c3ccsc3Cl	CHEMBL1095524	pIC50=6.14
CC(N)Cc1ccc2OCOc2c1	CHEMBL6731	pKi=6.15
CN(C)CC1CC1c2ccc3ccc(cc3c2)C#N	CHEMBL248932	pIC50=6.15
CN1C2CCC1C3COC(=O)CCC(=O)CCC(=O)Nc4ccc(cc4)C3C2	CHEMBL379333	pKi=6.15
O=S(=O)(c1ccccc1)c2c[nH]c3cccc(CCCN4CCCCC4)c23	CHEMBL604685	pIC50=6.15
[11CH3]Oc1ccc2CN(CCCc3c[nH]c4ccc(I)cc34)CCc2c1	CHEMBL520970	pKi=6.15
CC(C)CN(Cc1cccc(c1)C#N)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL425589	pKi=6.16
CCN(CC)C(=O)[C@]1(C[C@H]1CNC(=O)CN)c2ccccc2	CHEMBL1169524	pIC50=6.16
CCNCC1(O)Cc2ccccc2C1Oc3ccccc3C	CHEMBL513618	pIC50=6.16
CCc1ccccc1O[C@H]2[C@@H](CNC)COc3ccccc23	CHEMBL498481	pIC50=6.16
CN(C)C[C@@H]1COc2ccccc2[C@@H]1Oc3ccccc3C	CHEMBL451105	pIC50=6.16
CN(C)Cc1ccccc1Sc2ccc(I)cc2N	CHEMBL23034	pKi=6.16
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc([S+](C)[O-])c(Br)c3)N2C	CHEMBL574020	pKi=6.16
Cl.OC[C@@]1(CCNCCO1)c2ccc(Cl)c(Cl)c2	CHEMBL3593391	pIC50=6.16
OC1(N2[C@H]3CCCC[C@@H]3N=C2c4ccccc14)c5ccc(Cl)cc5	CHEMBL337020	pKi=6.16
Oc1ccc2c(CN3CCC2(CC3)c4ccc(Cl)cc4)c1	CHEMBL3673139	pIC50=6.16
CCCC(N1CCCC1)C(=O)c2cccc(I)c2	CHEMBL426304	pKi=6.17
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(O)cc13	CHEMBL206649	pIC50=6.17
COc1ccc(Oc2ccccc2CN(C)C)cc1	CHEMBL474922	pIC50=6.17
COc1ccc2c(CN3CCC2(C3)c4ccc(Cl)cc4)c1	CHEMBL3673127	pIC50=6.17
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(Cc5ccc(Cl)cc5)c4	CHEMBL520035	pKi=6.17
Cl.Cl.OC1(CCCCC1)C(CN2CCNCC2)c3cccc(F)c3	CHEMBL470079	pIC50=6.17
Clc1ccc(cc1)C(CCc2ccccc2)C3CCCCN3	CHEMBL219281	pIC50=6.17
O=C(N(C1CCCC1)[C@@H]2CCNC2)c3ccc4ccccc4c3	CHEMBL567712	pIC50=6.17
Oc1ccc(nn1)c2ccc3c(CN4CCC3(C4)c5ccc(Cl)cc5)c2	CHEMBL3673133	pIC50=6.17
CC(C)CC(C1CCCCN1C)c2ccc(Cl)c(Cl)c2	CHEMBL387117	pKi=6.18
CN(C)Cc1cc(OCCF)ccc1Oc2ccc(C)cc2N	CHEMBL591514	pKi=6.18
CN(C)Cc1ccccc1Sc2ccc(CF)cc2N	CHEMBL143707	pKi=6.18
CN[C@@H]1C[C@H](Oc2ccccc2C)c3ccccc13	CHEMBL446570	pIC50=6.18
Cl.CC1CCNCC(=O)N1c2ccc(Cl)c(Cl)c2	CHEMBL3317697	pIC50=6.18
Fc1cccc(Cl)c1Oc2ncccc2N3CCNCC3	CHEMBL599798	pKi=6.18
CC(C)N(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL344110	pKi=6.19
CC(N)Cc1c[nH]c2ccccc12	CHEMBL30713	pKi=6.19
CCCN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL344116	pKi=6.19
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)n4ccnn4	CHEMBL439337	pIC50=6.19
COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1\C(=C\c4ccc(Cl)c(Cl)c4)\CN23	CHEMBL304656	pKi=6.19
CSc1ccc(Sc2ccccc2CN(C)C)cc1	CHEMBL493264	pIC50=6.19
Fc1ccc(N2CCS\C(=C/c3ccccc3N4CCNCC4)\C2=O)c(F)c1	CHEMBL575699	pKi=6.19
C(CN1CCC(=CC1)Cc2ccccc2)C(N3CCNCC3)c4csc5ccccc45	CHEMBL3334772	pIC50=6.2
C(CN1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4	CHEMBL26320	pKi=6.2
CCCN1C(=O)N([C@@H](CCNC)c2ccccc2)c3ccccc13	CHEMBL514193	pIC50=6.2
CCCN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL146615	pKi=6.2
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NC[C@@H]5CC[C@H](CC5)C(=O)NCCN6C7CCC6[C@H]([C@H](C7)c8ccc(Cl)c(Cl)c8)C(=O)OC	CHEMBL216773	pKi=6.2
CN(C)CCC(N1CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL3334798	pIC50=6.2
CN(C)Cc1cc(OCCCF)ccc1Oc2ccc(C)cc2N	CHEMBL589178	pKi=6.2
CN1C2CCC1[C@@H]([C@@H](C2)c3ccccc3)c4ccccc4	CHEMBL2096874	pKi=6.2
CN1CC(c2ccc(Cl)cc2)c3ccccc3C1	CHEMBL2206523	pKi=6.2
CNCCCN1Cc2ccccc2N(c3cccc(F)c3)S1(=O)=O	CHEMBL1086399	pIC50=6.2
COc1ccc(F)cc1CC[C@H]2CC[C@H](CN)O2	CHEMBL511500	pIC50=6.2
CSc1ccc(Oc2ccc(F)cc2CN(C)C)cc1	CHEMBL446481	pIC50=6.2
Cc1ccccc1O[C@H]2CC[C@@H](N)c3ccccc23	CHEMBL453061	pIC50=6.2
Clc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	CHEMBL3752900	pKi=6.2
NCC1CCC(CCc2c(F)c(F)c(F)c(F)c2F)O1	CHEMBL452928	pKi=6.2
CN(C)Cc1cc(F)ccc1Sc2ccc(CO)cc2N	CHEMBL253182	pKi=6.21
CN1C2CCC1[C@H]([C@H](C2)c3ccc(cc3)c4ccsc4)C(=O)NCc5ccc(CNC(=O)[C@H]6C7CCC(C[C@@H]6c8ccc(cc8)c9ccsc9)N7C)cc5	CHEMBL595767	pKi=6.21
Fc1ccc(cc1)N2c3ccccc3N(CC[C@@H]4CNCCO4)S2(=O)=O	CHEMBL1830887	pIC50=6.21
Fc1ccc(cc1)[C@H]2C[C@H]3CCC4C2C(=O)CN34	CHEMBL430840	pIC50=6.21
O=C(NCCCN1CCC(Cc2ccccc2)CC1)c3oc4ccccc4c3	CHEMBL3612827	pIC50=6.21
Brc1ccc(cc1)N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2	CHEMBL3775012	pIC50=6.22
C(CN1CCC(Cc2ccccc2)CC1)CN3CCN(CC3)c4ccccc4	CHEMBL3775177	pIC50=6.22
CNC[C@H](C)CN1c2ccccc2N(c3ccccc3F)S1(=O)=O	CHEMBL1083741	pIC50=6.22
CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL1643513	pIC50=6.22
CN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL146332	pKi=6.22
COc1cc(F)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3	CHEMBL259765	pKi=6.22
COc1ccc(CC(C)(C)NC[C@H](O)COc2cccc3NC(=O)Nc23)cc1	CHEMBL486278	pIC50=6.22
Cl.Cl.COc1cccc(c1)C(CN2CCN(C)CC2)C3(O)CCCCC3	CHEMBL469459	pIC50=6.22
Clc1ccc(cc1)C(CCCc2ccccc2)C3CCCCN3	CHEMBL441864	pIC50=6.22
Fc1ccc(cc1)C(OCCNCCNC(=O)Cc2ccccc2)c3ccc(F)cc3	CHEMBL333667	pKi=6.22
CC(N(C)C)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1684047	pIC50=6.24
CC(N1CCCCC1)C(=O)c2cccc(C)c2	CHEMBL589494	pIC50=6.24
CN1CCN(C[C@@H](c2cccc(Cl)c2)C3(N)CCCCC3)CC1	CHEMBL1099212	pIC50=6.24
CSc1ccccc1C(=O)N(CC2CCC2)[C@@H]3CCNC3	CHEMBL562802	pKi=6.24
Cl.C[C@H]1NCCCN(C1=O)c2ccc3ccccc3c2	CHEMBL3317705	pIC50=6.24
Cl.Cl.CN1CCN(CC(c2ccc(OC(F)(F)F)cc2)C3(O)CCCCC3)CC1	CHEMBL518195	pIC50=6.24
Cl.Cl.CN1CCN(C[C@@H](c2cccc(Cl)c2)C3(O)CCCCC3)CC1	CHEMBL459852	pIC50=6.24
Fc1ccc(cc1)C(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C(=O)\C=C\c4ccccc4)c5ccc(F)cc5	CHEMBL3084927	pKi=6.24
NCC1CC1(C(=O)Nc2ccccc2)c3ccccc3	CHEMBL272790	pIC50=6.24
CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2cc(Cl)c(Cl)s2	CHEMBL401804	pIC50=6.25
CN(C)CC1CC1c2ccc3cc(ccc3c2)C#N	CHEMBL249134	pIC50=6.25
CN(C)C[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642910	pIC50=6.25
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pIC50=6.25
CN1C[C@@H]2CCCC[C@@]2(C1)c3ccccc3	CHEMBL1813307	pIC50=6.25
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	CHEMBL41	pIC50=6.25
COC(=O)[C@H]1[C@H]2CCC(C[C@H]1c3ccc(Cl)cc3)N2C	CHEMBL374712	pIC50=6.25
C[C@H](CCN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)c4ccccc4.OC(=O)C(=O)O	CHEMBL424682	pKi=6.25
Clc1cccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)c1Cl	CHEMBL3775140	pIC50=6.25
C1CN(CCN1)c2ccccc2Oc3ccccc3	CHEMBL573532	pKi=6.26
CC1(C)NCC(c2ccc(Cl)c(Cl)c2)c3ccc(cc13)c4ccc(nn4)C(F)(F)F	CHEMBL3703729	pIC50=6.26
CN([C@H]([C@H](O)CN)c1cccc(F)c1)c2ccccc2	CHEMBL448897	pIC50=6.26
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2ccccc2	CHEMBL1173274	pIC50=6.26
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(c4)c5ccc(F)cc5	CHEMBL470903	pKi=6.26
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(c4)c5ccc(F)cc5	CHEMBL511466	pKi=6.26
Cl.COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c3ccccc3)N2C	CHEMBL494786	pKi=6.26
Cl.Cl.OC1(CCCCC1)[C@@H](CN2CCNCC2)c3cccc(OC(F)(F)F)c3	CHEMBL470481	pKi=6.26
Fc1ccc(cc1)C(OCCNCCNC(=O)CCc2ccccc2)c3ccc(F)cc3	CHEMBL2112594	pKi=6.26
OC1(CCCCC1)C(CN2CCNCC2)c3cc4ccccc4s3	CHEMBL1097470	pIC50=6.26
CCCN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL145810	pKi=6.27
CN1C[C@H]2CCCC[C@]2(C1)c3ccc4ccccc4c3	CHEMBL1813470	pIC50=6.27
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)S(=O)(=O)NCCO	CHEMBL381754	pIC50=6.27
COC(=O)[C@@H]1C2CCC(C[C@H]1c3ccccc3)N2C	CHEMBL376899	pIC50=6.27
COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23	carvedilol	pIC50=6.27
Cl.Cl.OC1(CCCCC1)[C@@H](CN2CCNCC2)c3cccc(Cl)c3	CHEMBL461706	pIC50=6.27
Fc1ccc(cc1Cl)C23CCN(CC2)Cc4cc(ccc34)c5ccc6ncnn6c5	CHEMBL3673175	pIC50=6.27
Fc1ccccc1Oc2ncccc2C3CCNCC3	CHEMBL597530	pKi=6.27
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC#C)cc(c1)C(=O)C	CHEMBL220765	pKi=6.28
CCCC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1	CHEMBL566050	pKi=6.28
CN(C)CC1(CCCCC1)c2ccc(cc2)C(F)(F)F	CHEMBL1681810	pIC50=6.28
CNC[C@@H](O)[C@H](c1ccc(Cl)cc1)n2ccc3ccccc23	CHEMBL577612	pIC50=6.28
CNCc1cc(ccc1Oc2ccc(SC)cc2)C(=O)N3CCN(CC3)C(C)C	CHEMBL270625	pKi=6.28
CN[C@@H]1CC[C@H](Oc2ccccc2C)c3ccccc13	CHEMBL447598	pIC50=6.28
CO[C@@]1(CCCC[C@@H]1CN(C)C)c2cccc(O)c2	CHEMBL270642	pIC50=6.28
CSc1ccc(Sc2ccc(NS(=O)(=O)C)cc2CN(C)C)cc1	CHEMBL449015	pIC50=6.28
C[C@@H]([C@@H](O)c1ccc(Cl)c(Cl)c1)N2CCC(=CC2)Cc3ccccc3	CHEMBL2047580	pIC50=6.28
C[C@@H]1N(C)C(C)(C)CO[C@@]1(O)c2ccc(Cl)cc2	CHEMBL1173598	pIC50=6.28
Clc1ccc(cc1)N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2	CHEMBL3774556	pIC50=6.28
Fc1ccccc1COc2ccccc2N3CCNCC3	CHEMBL575899	pKi=6.28
Fc1ccccc1Oc2ccccc2OC3CNC3	CHEMBL1645597	pKi=6.28
CN(C)Cc1cc(ccc1Oc2ccc(OC(F)(F)F)cc2)C(=O)N(C)C	CHEMBL502129	pIC50=6.29
CNC[C@H]1CCC[C@H]1c2ccc3[nH]cc(C#N)c3c2	CHEMBL2380972	pIC50=6.29
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(cc3)[S+](C)[O-])N2C	CHEMBL574317	pKi=6.29
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(C)c4c5ccc(Cl)cc5	CHEMBL469889	pKi=6.29
Cl.Cl.COc1ccc(cc1)C(CN2CCNCC2)C3(O)CCCCC3	CHEMBL469458	pKi=6.29
Clc1ccc(cc1Cl)C(=O)C(CC=C)N2CCCC2	CHEMBL202348	pKi=6.29
Clc1ccc(cc1Cl)C2CNC(=O)C2c3ccccc3Cl	CHEMBL2430688	pIC50=6.29
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pIC50=6.29
OC1(CC2CCC(C1)N2CCCSc3cccc(F)c3)c4ccc(Cl)cc4	CHEMBL3321791	pKi=6.29
CC#CNC(=O)[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1173753	pKi=6.3
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCCO)cc(c1)C(=O)C	CHEMBL384199	pKi=6.3
CN(C)Cc1ccc(F)cc1Oc2ccc(C)cc2N	CHEMBL592697	pKi=6.3
CN(C)Cc1ccccc1Sc2ccc(CCCF)cc2N	CHEMBL363396	pKi=6.3
CNc1ccc(cc1)N2CCNCC2Cc3ccccc3	CHEMBL1170585	pKi=6.3
CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCc2ccc(Cl)c(Cl)c2)cc1	CHEMBL492438	pIC50=6.3
Cc1cc(C)n(CC23CNCC[C@@]2(C3)c4ccc(Cl)c(Cl)c4)n1	CHEMBL1818455	pKi=6.3
Cl.CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c2ccccc2	CHEMBL1762472	pIC50=6.3
Fc1ccccc1Oc2cccc(F)c2OC3CNC3	CHEMBL1645598	pKi=6.3
NC(=O)c1cc2cc(ccc2[nH]1)N3CCNCC3Cc4ccccc4	CHEMBL1170017	pKi=6.3
CCCNCCc1cccc2[nH]cc(c12)S(=O)(=O)c3ccccc3	CHEMBL606150	pKi=6.31
CN(C)CCC(N1CCCC1)c2cc3ccccc3s2	CHEMBL3334794	pIC50=6.31
CN1CC(c2ccc(C)s2)c3ccccc3C1	CHEMBL3663908	pKi=6.31
CNCCCN1Cc2ccccc2N(c3ccc(F)cc3)S1(=O)=O	CHEMBL1085905	pIC50=6.31
Fc1ccccc1Oc2cccc(F)c2OC3CCNCC3	CHEMBL1645607	pKi=6.31
O[C@H](CN1CCC(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4.OC(=O)C(=O)O	CHEMBL204586	pKi=6.31
CN(C)CC(O)CCN1c2ccccc2N(c3ccccc3)S1(=O)=O	CHEMBL1086220	pIC50=6.32
CN(C)CCC(N1CCOCC1)c2ccc(Cl)c(Cl)c2	CHEMBL3334797	pIC50=6.32
CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4ccccc4	CHEMBL224771	pIC50=6.32
CNC[C@H]1OCc2ccccc2[C@@H]1Oc3ccccc3OC	CHEMBL524624	pIC50=6.32
CNCc1ccccc1Sc2ccc(CO)cc2N	CHEMBL362783	pKi=6.32
COc1ccc(F)cc1CCC2CCC(CCN)O2	CHEMBL464422	pIC50=6.32
COc1ccc(F)cc1CC[C@H]2CC[C@H](CCN)O2	CHEMBL462311	pIC50=6.32
Clc1ccc(cc1Cl)C2CNC(=O)C2c3ccc4ccccc4c3	CHEMBL2430699	pIC50=6.32
Fc1ccc(cc1)C(OCCNCCCNC(=O)Cc2ccccc2)c3ccc(F)cc3	CHEMBL420900	pKi=6.32
Fc1cccc(F)c1Oc2cccc(F)c2OC3CNC3	CHEMBL1645602	pKi=6.32
CC(N(C)C)C1(CCCCC1)c2ccc3ccccc3c2	CHEMBL1684055	pIC50=6.33
CCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	CHEMBL569465	pIC50=6.33
CCS(=O)(=O)N(Cc1ccccc1c2ccccc2)[C@H]3CCN(C)C3	CHEMBL478623	pKi=6.33
CN(C)Cc1cc(I)ccc1Sc2ccc(CO)cc2N	CHEMBL253387	pKi=6.33
CN1C[C@@H]2CCC[C@@]2(C1)c3ccc4ccccc4c3	CHEMBL1813483	pIC50=6.33
CNCC[C@@H](N1C(=O)N(C)c2ccccc12)c3ccccc3	CHEMBL461330	pIC50=6.33
CNCc1cc(ccc1Oc2ccc(SC)c(C)c2)C(=O)N3CCN(CC3)C(C)C	CHEMBL273157	pKi=6.33
CNCc1cc(ccc1Oc2ccccc2)C(=O)N3CCCN(CC3)C4CC4	CHEMBL401683	pKi=6.33
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(C)c4c5ccc(F)cc5	CHEMBL512189	pKi=6.33
O=C(NCCN1CCC(Cc2ccccc2)CC1)c3ccc(cc3)c4ccccc4	CHEMBL3613150	pIC50=6.33
C(COc1ccc2[C@@H](CN3CCC[C@@H]3c2c1)c4cccnc4)CN5CCCCC5	CHEMBL247933	pKi=6.34
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	ebastine	pIC50=6.34
CCOc1ccccc1Oc2cc(C)ncc2CNC	CHEMBL408329	pKi=6.34
COc1ccc(F)cc1C[C@@H]2CC[C@H](CCN)O2	CHEMBL450769	pKi=6.34
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(Cc5ccc(F)cc5)c4	CHEMBL486041	pKi=6.34
Cl.COc1ccc(cc1)c2cc(on2)[C@@H]3C4CCC(C[C@@H]3c5ccc(C)cc5)N4C	CHEMBL469888	pKi=6.34
Cl.COc1ccc(cc1)c2cc(on2)[C@@H]3C4CCC(C[C@@H]3c5ccc(Cl)cc5)N4C	CHEMBL469887	pKi=6.34
Clc1ccc(cc1Cl)[C@@H]2C[C@@H](NCc3ccccc3)c4ccccc24	CHEMBL145994	pKi=6.34
N1c2ccccc2Sc3ccccc13	CHEMBL828	pIC50=6.34
O=S(=O)(c1ccccc1)c2c[nH]c3cccc(CCNC4CCCC4)c23	CHEMBL605309	pIC50=6.34
OC1(CC2CCC(C1)N2CCCSc3ccccc3F)c4ccc(Cl)cc4	CHEMBL3321792	pKi=6.34
O[C@H](CCc1ccccc1)CN2CCC(CCOC(c3ccc(F)cc3)c4ccc(F)cc4)CC2.OC(=O)C(=O)O	CHEMBL202860	pKi=6.34
CCN(CC)C(=O)C1(CC1CNCc2occn2)c3ccccc3	CHEMBL256408	pIC50=6.35
CCc1ccc(Sc2ccccc2CNC)c(N)c1	CHEMBL189375	pKi=6.35
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(C[S+](C)[O-])cc13	CHEMBL202810	pIC50=6.35
COC(=O)C1C2CCC(CC1c3ccc(\C=C/I)cc3)N2C	CHEMBL275212	pKi=6.35
COC(=O)[C@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C	CHEMBL2096858	pIC50=6.35
Clc1ccc(cc1Cl)C23CCN(CC2)Cc4cc(ccc34)c5ccc6NC(=O)Oc6c5	CHEMBL3673160	pIC50=6.35
FC(F)(F)c1ccc(Oc2ccc3c(CN4CCC3(CC4)c5cccc(Cl)c5)c2)nn1	CHEMBL3673171	pIC50=6.35
