CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=8.7	pKd=8.7	pKd=8.7	pKd=8.6
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.1	pKd=8.1	pKd=8.1	pKd=8.1
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3C)c2cc1OC	CHEMBL481407	pIC50=7.54
CCc1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)n[nH]1	CHEMBL2023486	pIC50=8.3
CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)cn1	CHEMBL2023118	pIC50=8.3
CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3	CHEMBL1964441	pKi=8.3
CONC(=O)C1=CN(C2CCCCC2)c3nc(Nc4ccc(cc4)C5CCN(C)CC5)ncc3C1=O	CHEMBL489883	pIC50=8.3
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(cc5)C(F)(F)F	CHEMBL3673478	pIC50=8.3
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(nc5)C(C)C	CHEMBL3678285	pIC50=8.3
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(nc5)C(F)(F)F	CHEMBL3673477	pIC50=8.3
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5csc(C)n5	CHEMBL3673480	pIC50=8.3
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5c(C)nn(C)c5C)cc2OC)cn1	CHEMBL3673485	pIC50=8.3
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccccn5)cc2OC)cn1	CHEMBL3673488	pIC50=8.3
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccn(C)n5)cc2OC)cn1	CHEMBL3673483	pIC50=8.3
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCC(CC5)C(C)(C)N)cc2OC)cn1	CHEMBL3673455	pIC50=8.3
C[C@H](Nc1cncc(Br)c1)c2cccc(NC(=O)c3cncc(C)c3)c2	CHEMBL514619	pIC50=8.3
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cncc(C)c3)c2	CHEMBL472860	pIC50=8.3
Cc1ccc(cc1C)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL459471	pIC50=8.3
Clc1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cncs3	CHEMBL461572	pIC50=8.3
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)N6CCNCC6)ncc4C1=O	CHEMBL271461	pIC50=8.3
Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2Cl)cc1Cl	CHEMBL475817	pIC50=8.3
CN1CCN(Cc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3)CC1	CHEMBL2203428	pKd=8.31
COc1cc2c(ncnc2cc1OCCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5	CHEMBL124660	pKd=8.31
CC1(C)CCC(=CC1)c2cc(CCO)ccc2NC(=O)c3nc(c[nH]3)C#N	CHEMBL3086174	pIC50=8.34
CC1(C)CCC(=CC1)c2cc(CCS(=O)(=O)N3CCOCC3)ccc2NC(=O)c4nc(c[nH]4)C#N	CHEMBL3086314	pIC50=8.35
Nc1ccc(cn1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1172313	pIC50=8.35
O=C(Nc1ccc(cc1C2=CCCCC2)c3ccncc3)c4nc(c[nH]4)C#N	CHEMBL1172346	pIC50=8.35
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3ncccc3O)cc2)c1	CHEMBL1079545	pKd=8.36
CONC(=O)C1=CN(C2CCCCC2)c3nc(Nc4ccc(CCN5CCCC5)cc4)ncc3C1=O	CHEMBL490080	pIC50=8.39
CCc1onc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)c1	CHEMBL2023482	pIC50=8.4
CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(c3)c4ccc5ccncc5c4)CC1	CHEMBL521887	pIC50=8.4
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)c5cncnc5)cc2OC)cc1	CHEMBL3673437	pIC50=8.4
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)c5cnn(CCN6CCOCC6)c5)cc2OC)cc1	CHEMBL3673439	pIC50=8.4
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cncc(Br)c3)c2	CHEMBL515867	pIC50=8.4
Cc1cc(C)cc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cnc(C)s3	CHEMBL444671	pIC50=8.4
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(ccn4c3N)c5cnn(C)c5)c1	CHEMBL453057	pIC50=8.4
Cc1ncc(NC(=O)c2cc(NC(=O)c3cccc(Cl)c3)ccc2Cl)s1	CHEMBL462133	pIC50=8.4
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5cccc(c5)C(=O)N6CCCCC6)ncc4C1=O	CHEMBL402852	pIC50=8.4
O=C(CN1CCOCC1)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158299	pIC50=8.42
CC(C)(O)Cc1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3086171	pIC50=8.43
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)c4nnn[nH]4	CHEMBL3086170	pIC50=8.43
Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NC[C@H](O)CN4CCOCC4	CHEMBL1721885	pKd=8.44
NC(=O)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3086325	pIC50=8.44
CC(C)(CN1CCS(=O)(=O)CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085972	pIC50=8.46
CC(C)(N1CCS(=O)(=O)CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085829	pIC50=8.46
O=C(Nc1ccc(CCS(=O)(=O)N2CCOCC2)cc1C3=CCCCC3)c4nc(c[nH]4)C#N	CHEMBL3086179	pIC50=8.46
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3ccc(OC4CCN(CC(F)(F)F)CC4)cn3)cc2)c1	CHEMBL2203436	pKd=8.47
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1	CHEMBL223360	pKd=8.47
NC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158303	pIC50=8.48
CCNC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)CC6)cc5)ncc4C1=O	CHEMBL507619	pIC50=8.5
C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4	CHEMBL2022856	pKi=8.5
Cl.CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1908395	pKd=8.5
O=C(Nc1ccc(CN2CCOCC2)cc1C3=CCCCC3)c4nc(c[nH]4)C#N	CHEMBL3085983	pIC50=8.5
CCN1CCC(CC1)c2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2203426	pKd=8.51
CCN1CCC(CC1)Oc2ccnc(c2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2203432	pKd=8.52
CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN(C)C	CHEMBL480814	pIC50=8.52
CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)cn1	CHEMBL2023117	pIC50=8.52
CN(C)CCc1ccc(Nc2ncc3C(=O)C(=CN(c4ccc5CCCc5c4)c3n2)C(=O)N)cc1	CHEMBL256459	pIC50=8.52
CN1CCN(CC1)c2cc3c(Nc4cccc(Cl)c4Cl)c(cnc3cc2F)C(=O)N	CHEMBL481401	pIC50=8.52
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O	CHEMBL522892	pIC50=8.52
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(nc5)C6CC6	CHEMBL3673479	pIC50=8.52
COc1cc(Cn2cnc3cc(cnc23)c4cnn(c4)C5CCNCC5)ccc1OCc6ccc(C)nc6	CHEMBL3673463	pIC50=8.52
COc1cc2c(Nc3cccc(Cl)c3Cl)c(cnc2cc1NCCN(C)C)C(=O)N	CHEMBL521262	pIC50=8.52
COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)cc3Cl)c2cc1N4CCN(C)CC4	CHEMBL481223	pIC50=8.52
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5cnn(C)c5)cc2OC)cn1	CHEMBL3673476	pIC50=8.52
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)n5cc(nn5)C6CCCNC6)cc2OC)cn1	CHEMBL3673468	pIC50=8.52
Cc1cc(C)cc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cncs3	CHEMBL461573	pIC50=8.52
Cc1cccc(C)c1\C=C\n2cnc3c(Nc4ccc(cc4)P(=O)(C)C)ncnc23	CHEMBL488840	pIC50=8.52
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1	CHEMBL196363	pIC50=8.52
Clc1cc(Cl)cc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL459674	pIC50=8.52
Clc1ccc(cc1Cl)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL461365	pIC50=8.52
FC(F)(F)c1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cncs3	CHEMBL517437	pIC50=8.52
Nc1n[nH]c2nccc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12	CHEMBL255955	pIC50=8.52
O=C(Nc1ccc(cc1N2CCCCC2)n3ccnc3)c4oc(cc4)C#N	CHEMBL253027	pIC50=8.52
O=C(Nc1ccc(cc1C2=CCCCC2)C3CNS(=O)(=O)NC3)c4nc(c[nH]4)C#N	CHEMBL1171606	pIC50=8.54
CN(C)C(=O)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086163	pIC50=8.55
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1	CHEMBL1969102	pIC50=8.56
NC(=O)CCc1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3085980	pIC50=8.57
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(CC3)C(=O)c4cccnc4)c5nc(c[nH]5)C#N	CHEMBL2158231	pIC50=8.57
CC1(C)CCC(=CC1)c2cc(CCS(=O)(=O)NN)ccc2NC(=O)c3nc(c[nH]3)C#N	CHEMBL3086178	pIC50=8.59
CS(=O)(=O)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158290	pIC50=8.59
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)C4CNC(=NC#N)NC4	CHEMBL1170997	pIC50=8.6
CCc1ccc(cc1)C2=C(C(=O)Nc3ccc(cc23)C#N)c4cnc(C)[nH]4	CHEMBL273198	pIC50=8.6
O=C(Cc1ccccn1)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158295	pIC50=8.6
CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(c2)C4=CCCCC4	CHEMBL256712	pIC50=8.62
CC1(C)CCC(=CC1)c2cc(CC(=O)NCCCO)ccc2NC(=O)c3nc(c[nH]3)C#N	CHEMBL3086172	pIC50=8.62
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCS(=O)(=O)NC(=O)C)cc5)ncc4C1=O	CHEMBL444454	pIC50=8.62
NS(=O)(=O)CCc1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3085982	pIC50=8.62
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(Cc4ccccn4)CC3)c5nc(c[nH]5)C#N	CHEMBL2158224	pIC50=8.62
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)S(=O)(=O)C	CHEMBL3086166	pIC50=8.64
CN1CCN(CC1)C(C)(C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085830	pIC50=8.64
O=C(Nc1ccc(cc1C2=CCCCC2)C3CNC(=O)NC3)c4nc(c[nH]4)C#N	CHEMBL1170785	pIC50=8.64
O=C(Nc1ccc(cc1C2=CCCCC2)c3cccnc3)c4nc(c[nH]4)C#N	CHEMBL1172528	pIC50=8.64
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)C(=O)N	CHEMBL3086162	pIC50=8.66
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCN(CC(=O)O)CC6)ncc4C1=O	CHEMBL452965	pIC50=8.66
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1	CHEMBL261849	pKd=8.66
CCc1ccc(cc1)C2=C(C(=O)Nc3ccc(Cl)cc23)c4cnc(C)[nH]4	CHEMBL403661	pIC50=8.68
CN(C)CCOC(C)(C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086316	pIC50=8.68
COCCN(C)C(C)(C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086321	pIC50=8.68
CC(C)(CN1CCN(CCO)CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085975	pIC50=8.7
CC(C)(CO)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3085969	pIC50=8.7
CC1(C)CCC(=CC1)c2cc(Cc3nnn[nH]3)ccc2NC(=O)c4nc(c[nH]4)C#N	CHEMBL3086160	pIC50=8.7
CC1CCN(CC1)c2cc(\C=C\C(=O)O)ccc2NC(=O)c3oc(cc3)C#N	CHEMBL261699	pIC50=8.7
CN1CCN(CC1)c2ccc(NC(=O)c3cc(c[nH]3)C#N)c(c2)N4CCCCC4	CHEMBL399763	pIC50=8.7
COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N4CCN(C)CC4	CHEMBL481423	pIC50=8.7
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)c5ccncc5)cc2OC)cc1	CHEMBL3673438	pIC50=8.7
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)c5cnn(C)c5)cc2OC)cc1	CHEMBL3673436	pIC50=8.7
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccc(nc5)P(=O)(C)C)cc2OC)cc1	CHEMBL3673453	pIC50=8.7
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccncc5)cc2OC)cn1	CHEMBL3673486	pIC50=8.7
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5cnn(C)c5)cc2OC)cc1	CHEMBL3673452	pIC50=8.7
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)c5cnn(c5)C6CCNCC6)cc2OC)cn1	CHEMBL3673442	pIC50=8.7
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)c5cnn(c5)C6CCNCC6)cc2OC)cn1	CHEMBL3673462	pIC50=8.7
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cc(C)ccc3F)c2	CHEMBL474695	pIC50=8.7
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL504075	pIC50=8.7
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1	CHEMBL404367	pIC50=8.7
Cc1ccnc(c1)C(=O)Nc2ccc(NC(=O)Nc3cc(on3)C(C)(C)C)cc2	CHEMBL2203429	pKd=8.7
Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4	CHEMBL1970317	pKi=8.7
CC(C)(O)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086315	pIC50=8.72
CC(C)(OCCN1CCOCC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3086318	pIC50=8.72
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)S(=O)(=O)N	CHEMBL3086167	pIC50=8.72
CN1CC(CN(C)C1=NS(=O)(=O)C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL1169980	pIC50=8.72
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3cc(OC4CCNCC4)ccn3)cc2)c1	CHEMBL2203431	pKd=8.75
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3ccc(OC4CC(C)(C)NC(C)(C)C4)cn3)cc2)c1	CHEMBL2206279	pKd=8.75
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6	CHEMBL1230609	pKd=8.75
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(CCC#N)CC3)c4nc(c[nH]4)C#N	CHEMBL2158223	pIC50=8.75
CC(=O)N1CCN(CC1)C(C)(C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085832	pIC50=8.77
CC1(C)CCC(=CC1)c2cc(CCC(=O)N)ccc2NC(=O)c3nc(c[nH]3)C#N	CHEMBL3085981	pIC50=8.77
CN1CC(CN(C)S1(=O)=O)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1171607	pIC50=8.77
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCC(F)(F)CC6)cc5)ncc4C1=O	CHEMBL455591	pIC50=8.77
O=C(CCN1CCOCC1)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158298	pIC50=8.77
O=C(Cc1cccnc1)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158296	pIC50=8.77
CC1(C)CCC(=CC1)c2cc(CCS(=O)(=O)N)ccc2NC(=O)c3nc(c[nH]3)C#N	CHEMBL3086176	pIC50=8.8
Cc1ccc(nc1)C(=O)Nc2ccc(NC(=O)Nc3cc(on3)C(C)(C)C)cc2	CHEMBL2203430	pKd=8.8
Cn1cnc(CC(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5)c1	CHEMBL2158294	pIC50=8.8
OCC(CO)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158226	pIC50=8.8
CC(C)(CNCCS(=O)(=O)C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3085974	pIC50=8.82
CC(C)(NCCS(=O)(=O)C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086322	pIC50=8.82
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)C(=O)O	CHEMBL3086164	pIC50=8.82
CCN1CCN(CC1)C(C)(C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085831	pIC50=8.82
CS(=O)(=O)CCN1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158227	pIC50=8.82
[O-][n+]1ccc(cc1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1172345	pIC50=8.82
CC(O)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086165	pIC50=8.85
CNC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCOCC6)cc5)ncc4C1=O	CHEMBL472403	pIC50=8.85
NC(=O)CN1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158228	pIC50=8.85
O=C(Nc1ccc(CCN2CCOCC2)cc1C3=CCCCC3)c4nc(c[nH]4)C#N	CHEMBL3086175	pIC50=8.85
[O-][n+]1cccc(c1)C(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158291	pIC50=8.85
[O-][n+]1cccc(c1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1172347	pIC50=8.85
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1	CHEMBL3646211	pIC50=8.87
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3ccc(OC4CCN(CC4)C5CC5)cn3)cc2)c1	CHEMBL2203438	pKd=8.89
CC(C)(N)C(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158301	pIC50=8.89
COCCN1CCN(CC1)C(C)(C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085834	pIC50=8.89
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCOCC6)cc5)ncc4C1=O	CHEMBL522834	pIC50=8.89
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCN(CCO)CC6)ncc4C1=O	CHEMBL451931	pIC50=8.89
O=C(Cc1ccncc1)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158297	pIC50=8.89
OC(=O)CN1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158229	pIC50=8.89
[O-][n+]1ccc(cc1)C(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158292	pIC50=8.89
CC(C)(NCCN1CCOCC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085976	pIC50=8.92
CC(C)(OCCN1CCCC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3086317	pIC50=8.92
CC(C)N1CCC(CC1)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2203435	pKd=8.92
CNC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)CC6)cc5)ncc4C1=O	CHEMBL511484	pIC50=8.92
OC[C@@H](O)C(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158287	pIC50=8.92
CC(C)(C)N1CCC(CC1)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2203437	pKd=8.95
O=C(Cc1c[nH]cn1)N2CCC(CC2)c3ccc(NC(=O)c4nc(c[nH]4)C#N)c(c3)C5=CCCCC5	CHEMBL2158293	pIC50=8.96
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(CCN4CCOCC4)CC3)c5nc(c[nH]5)C#N	CHEMBL2158230	pIC50=8.96
OC(=O)C(F)(F)F.O=C(Nc1ccc(cc1C2=CCCCC2)C3CCNCC3)c4nc(c[nH]4)C#N	CHEMBL2158221	pIC50=8.96
OCCN1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158225	pIC50=8.96
CC1CCN(CC1)c2cc(ccc2NC(=O)c3cc(c[nH]3)C#N)N4CCNCC4	CHEMBL254908	pIC50=9.0
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)N4CCN(C)CC4	CHEMBL252436	pIC50=9.0
CCN1CCC(Cc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3)CC1	CHEMBL2203427	pKd=9.0
CN(CCO)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158289	pIC50=9.0
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)c5ccc(nc5)P(=O)(C)C)cc2OC)cc1	CHEMBL3673440	pIC50=9.0
O=C(Nc1ccc(cc1C2=CCCCC2)C3CC(=O)NC(=O)C3)c4nc(c[nH]4)C#N	CHEMBL1171777	pIC50=9.0
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCNCC3)c4nc(c[nH]4)C#N	CHEMBL257154	pIC50=9.0
CC(C)(N1CCOCC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085828	pIC50=9.05
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)N4CCN(CC4)S(=O)(=O)C	CHEMBL254910	pIC50=9.05
CN1CC(CN(C)C1=O)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCCC4	CHEMBL1171605	pIC50=9.05
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c4nccs4	CHEMBL1908396	pKd=9.08
OCCNCC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158288	pIC50=9.08
CC1(C)CCC(=CC1)c2cc(CCN3CCOCC3)ccc2NC(=O)c4nc(c[nH]4)C#N	CHEMBL3085978	pIC50=9.1
CC1(C)CCC(=CC1)c2cc(CN3CCN(CCO)CC3)ccc2NC(=O)c4nc(c[nH]4)C#N	CHEMBL3085984	pIC50=9.1
