Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C4CCC(F)(F)CC4)C(=O)O)c(C)c1	CHEMBL519796	pIC50=6.0
O[C@H]1c2cc(F)c(NC(=O)c3cc4cc(Cl)ccc4[nH]3)c(F)c2CCC1(F)F	CHEMBL457861	pIC50=6.8
CC(C)O[C@H](C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL473850	pIC50=6.81
CCCc1cc(C)c(NC(=O)Nc2cc(ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c3cccc(F)c3)c(C)c1	CHEMBL449986	pIC50=6.81
CC(C)(O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361555	pIC50=6.82
CCCCN(C)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL182239	pIC50=6.82
CCCN(CCO)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL178386	pIC50=6.82
CN(C1CCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL367799	pIC50=6.82
CNC(=O)CCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233033	pIC50=6.82
OC(=O)c1cc(Cl)c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1O	CHEMBL198381	pIC50=6.82
OC(=O)c1ccc(NC(=O)NC(=O)c2ccc(F)cc2Cl)c(OC(F)(F)F)c1	CHEMBL198394	pIC50=6.82
CCCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c(C)c1	CHEMBL473486	pIC50=6.83
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc2c(C)cc(CC3CC3)cc2C)c4cccc(F)c4)C(=O)O	CHEMBL458655	pIC50=6.84
CC(=O)Nc1ccc(Oc2ccc(C(=O)O)c(c2)C(=O)O)c(NC(=O)c3cccc(c3)[N+](=O)[O-])c1	CHEMBL118615	pIC50=6.85
COC(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL100872	pIC50=6.85
Cc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C3CCCCC3)C(=O)O)c(C)c1	CHEMBL474705	pIC50=6.85
Cc1n[nH]c(CN2C(=O)C(Cc3ccccc23)NC(=O)c4cc5cc(Cl)ccc5[nH]4)n1	CHEMBL136241	pIC50=6.85
Clc1ccc2[nH]c(cc2c1)C(=O)NCC(=O)N(CCC#N)C3CCCC3	CHEMBL181473	pIC50=6.85
Clc1ccc2[nH]c(cc2c1)C(=O)N[C@H]3Cc4ccccc4N(Cc5ccccn5)C3=O	CHEMBL137231	pIC50=6.85
O[C@@H]1CN(C[C@@H]1O)C(=O)CN2C(=O)C(Cc3ccccc23)NC(=O)c4cc5cc(Cl)sc5[nH]4	CHEMBL233239	pIC50=6.85
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL473851	pIC50=6.86
CCCc1cc(C)c(NC(=O)Nc2cc(ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c3ccc(OC)cc3)c(C)c1	CHEMBL506011	pIC50=6.87
NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL395955	pIC50=6.87
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(F)cc1NC(=O)Nc2c(C)cc(CC3CC3)cc2C)C(=O)O	CHEMBL459792	pIC50=6.88
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H]([C@H]4CCCC(=O)C4)C(=O)O)c(C)c1	CHEMBL473422	pIC50=6.88
Clc1sc2cc([nH]c2c1Cl)C(=O)NC3Cc4ccccc4NC3=O	CHEMBL373749	pIC50=6.88
Clc1ccc2[nH]c(cc2c1)C(=O)NC3Cc4ccccc4N(Cc5cccnc5)C3=O	CHEMBL136567	pIC50=6.89
OCCN(C1CCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL180757	pIC50=6.89
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc2c(C)cc(C)cc2C)c3ccccc3)C(=O)O	CHEMBL471469	pIC50=6.9
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(CCCC(F)(F)F)C(=O)O)c(C)c1	CHEMBL481335	pIC50=6.91
CCCCN(CCO)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL361133	pIC50=6.92
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(C)ccc4[nH]3	CHEMBL136572	pIC50=6.92
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3	CHEMBL136573	pIC50=6.92
Cc1cccc(C)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](C4CCCCC4)C(=O)O	CHEMBL459858	pIC50=6.92
Cc1cccc(C)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL511305	pIC50=6.92
Clc1ccc2[nH]c(cc2c1)C(=O)N[C@@H]3Cc4ccccc4N(Cc5ccccn5)C3=O	CHEMBL136506	pIC50=6.92
OC(=O)c1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2NC(=O)c4cccc(c4)[N+](=O)[O-])cc1C(=O)O	CHEMBL119755	pIC50=6.92
OCCN(C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1)c3ccccc3	CHEMBL181326	pIC50=6.92
OCCNC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233035	pIC50=6.92
Oc1ccc(NC(=O)NC(=O)c2ccc(F)cc2Cl)cc1O	CHEMBL383387	pIC50=6.92
CCCCCC(NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL481336	pIC50=6.94
CC(C)OC(=O)C1=C(C)N(Cc2cccc(Cl)c2Cl)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL115045	pIC50=6.96
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Br)ccc3[nH]2	CHEMBL318910	pIC50=6.96
CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL319136	pIC50=6.96
CNC(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL99379	pIC50=6.96
COc1cccc(c1)c2ccc(C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c(NC(=O)Nc3c(C)cc(C)cc3C)c2	CHEMBL479920	pIC50=6.96
Clc1ccc2[nH]c(cc2c1)C(=O)NC3Cc4ccccc4N(Cc5ccccn5)C3=O	CHEMBL136812	pIC50=6.96
CC(C)OC(=O)C1=C(C)N(Cc2ccc(Cl)cc2Cl)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL115395	pIC50=6.98
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc2c(C)cc(C)cc2C)c3cccc(F)c3)C(=O)O	CHEMBL479728	pIC50=6.98
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C4CCC5(CC4)OCCO5)C(=O)O)c(C)c1	CHEMBL475449	pIC50=6.98
Clc1ccc2[nH]c(cc2c1)C(=O)NC3CCc4ccccc4NC3=O	CHEMBL136327	pIC50=6.98
OCC(CO)NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233238	pIC50=6.98
ONC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233034	pIC50=6.99
CC(C)C[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL481493	pIC50=7.0
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4ccc(Cl)cc4[nH]3	CHEMBL422632	pIC50=7.0
COCC(O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181844	pIC50=7.0
Clc1ccc2[nH]c(cc2c1)C(=O)N[C@@H]3CCc4ccccc4NC3=O	CHEMBL134797	pIC50=7.0
OCCN(C1CCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL362806	pIC50=7.0
CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Br)ccc3[nH]2	CHEMBL329493	pIC50=7.01
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C4CCOCC4)C(=O)O)c(C)c1	CHEMBL480764	pIC50=7.01
CCCCOC[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL475834	pIC50=7.02
Clc1ccc2[nH]c(cc2c1)C(=O)NCC(=O)N(CC=C)C3CCCC3	CHEMBL181456	pIC50=7.02
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(Cc5ccccc5C4)C(=O)O)c(C)c1	CHEMBL481887	pIC50=7.04
Cc1ccc(NC(=O)c2cccc(c2)[N+](=O)[O-])c(Oc3ccc(C(=O)O)c(c3)C(=O)O)c1	CHEMBL119761	pIC50=7.05
OC(=O)c1cc(Cl)c(NC(=O)NC(=O)c2cc(F)c(F)cc2Cl)cc1O	CHEMBL370635	pIC50=7.05
OC(=O)c1ccc(Oc2ccc(NC(=O)c3ccc(I)cc3)cc2NC(=O)c4cccc(c4)[N+](=O)[O-])cc1C(=O)O	CHEMBL331752	pIC50=7.05
O[C@H]1[C@@H](Cc2ccc(Cl)cc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL374136	pIC50=7.05
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cccc(Cl)c4[nH]3	CHEMBL136168	pIC50=7.06
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc2c(C)cc(C)cc2C)c3ccc(F)cc3)C(=O)O	CHEMBL472292	pIC50=7.06
Clc1ccc2[nH]c(cc2c1)C(=O)NC3Cc4ccccc4NC3=O	CHEMBL139461	pIC50=7.07
CC(O)(CO)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL180985	pIC50=7.08
CCC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL395708	pIC50=7.08
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)cc(F)c4[nH]3	CHEMBL342880	pIC50=7.08
COC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233445	pIC50=7.08
CCCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179564	pIC50=7.09
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL430503	pIC50=7.09
OCCN(C1CCCCCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181893	pIC50=7.09
CC(C)OC(=O)C1=C(C)N(Cc2ccccc2Cl)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL326810	pIC50=7.1
CNC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL232829	pIC50=7.1
Fc1ccc(C(=O)NC(=O)Nc2ccc(cc2OC(F)(F)F)c3nn[nH]n3)c(Cl)c1	CHEMBL382726	pIC50=7.1
OC(=O)c1ccc(Oc2ccc(F)cc2NC(=O)c3cc(Cl)ccn3)cc1C(=O)O	CHEMBL130055	pIC50=7.11
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)c(F)cc4[nH]3	CHEMBL1084229	pIC50=7.12
N\C(=N/O)\CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL395732	pIC50=7.13
OC(=O)c1ccc(Oc2ccc(NC(=O)c3cccc(c3)[N+](=O)[O-])cc2NC(=O)c4cccc(c4)[N+](=O)[O-])cc1C(=O)O	CHEMBL331057	pIC50=7.13
OC1c2ccc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)cc2CCC1(F)F	CHEMBL444029	pIC50=7.17
OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL233658	pIC50=7.18
CC(C)OC(=O)C1=C(C)N(Cc2cc(Cl)ccc2Cl)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL117483	pIC50=7.19
COc1ccc(O)cc1NC(=O)NC(=O)c2ccccc2Cl	CHEMBL414851	pIC50=7.19
CS(=O)(=O)CCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL232626	pIC50=7.2
OC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL232627	pIC50=7.2
OC1c2cc(F)c(NC(=O)c3cc4cc(Cl)ccc4[nH]3)cc2CCC1(F)F	CHEMBL457643	pIC50=7.2
CC(=O)Nc1ccc(Cl)c(NC(=O)NC(=O)c2cc(F)c(F)cc2Cl)c1	CHEMBL370848	pIC50=7.22
CN1C(=O)[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL136182	pIC50=7.22
COc1ccc(NC(=O)C)cc1NC(=O)NC(=O)c2cc(F)c(F)cc2Cl	CHEMBL381870	pIC50=7.22
OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL397688	pIC50=7.22
OC(=O)CCO[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1083643	pIC50=7.23
CN1C(=O)[C@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL337012	pIC50=7.24
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL1083942	pIC50=7.24
CCOC[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL475807	pIC50=7.25
OC(=O)CC(=O)N[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1084327	pIC50=7.25
OC(=O)CC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1082704	pIC50=7.25
CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL359658	pIC50=7.26
OCCN(C1CCOC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181737	pIC50=7.26
OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1083017	pIC50=7.27
OCC(O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178524	pIC50=7.27
CNC(=O)Nc1ccc(OC)c(NC(=O)NC(=O)c2cc(F)c(F)cc2Cl)c1	CHEMBL198392	pIC50=7.28
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)cc(F)c4[nH]3	CHEMBL1086237	pIC50=7.28
COCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL232432	pIC50=7.3
COc1cc(C(=O)O)c(O)cc1NC(=O)NC(=O)c2cc(F)c(F)cc2Cl	CHEMBL197259	pIC50=7.3
OCCN(C1CCc2ccccc12)C(=O)CNC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL181876	pIC50=7.31
O[C@H]1[C@@H](Cc2ccc(F)cc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL374945	pIC50=7.31
C[S+]([O-])CCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL232433	pIC50=7.32
OC1c2ccc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)c(F)c2CCC1(F)F	CHEMBL457650	pIC50=7.32
Clc1ccc2[nH]c(cc2c1)C(=O)N[C@H]3Cc4ccccc4NC3=O	CHEMBL134854	pIC50=7.33
OC(=O)C1CN(C1)C(=O)[C@H](Cc2ccccc2)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL335954	pIC50=7.35
CCC(O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL398159	pIC50=7.36
OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL234952	pIC50=7.36
CC(C)OC(=O)C1=C(C)N(CC(F)(F)F)C(=C(C1c2ccccc2Cl)C(=O)O)C(=O)O	CHEMBL114271	pIC50=7.37
OC(=O)CCCS(=O)(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1085086	pIC50=7.38
OCCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL180652	pIC50=7.38
Clc1cc2cc([nH]c2s1)C(=O)NC3Cc4ccccc4NC3=O	CHEMBL218287	pIC50=7.39
OC(=O)CSC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1082392	pIC50=7.4
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL1084228	pIC50=7.4
OC[C@H](O)CN1C(=O)[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL394527	pIC50=7.4
CCC[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL475765	pIC50=7.41
CCN1C(=C(C(C(=C1C(=O)O)C(=O)O)c2ccccc2Cl)C(=O)OC(C)C)C	CHEMBL114950	pIC50=7.41
OC(=O)c1ccc(Oc2ccccc2NC(=O)c3cc(I)ccn3)cc1C(=O)O	CHEMBL132430	pIC50=7.41
OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL233657	pIC50=7.42
OC1c2cc(F)c(NC(=O)c3cc4cc(Cl)ccc4[nH]3)c(F)c2CCC1(F)F	CHEMBL457860	pIC50=7.44
COc1ccc(cc1)c2ccc(C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c(NC(=O)Nc3c(C)cc(C)cc3C)c2	CHEMBL471266	pIC50=7.47
OCCN(C1CCCCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181072	pIC50=7.5
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Br)sc3[nH]2	CHEMBL217903	pIC50=7.51
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Br)ccc4[nH]3	CHEMBL134793	pIC50=7.52
Clc1ccc2[nH]c(cc2c1)C(=O)NCC(=O)N(CC#N)C3CCCC3	CHEMBL433766	pIC50=7.52
OC(=O)CO[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1083642	pIC50=7.52
OCCN(C1CCCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL425526	pIC50=7.52
OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL234951	pIC50=7.54
Clc1cc2cc([nH]c2s1)C(=O)NC3Cc4ccccc4N(CC#N)C3=O	CHEMBL233446	pIC50=7.55
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CCc5ccccc5C4)C(=O)O)c(C)c1	CHEMBL520765	pIC50=7.57
OC[C@H](O)CN1C(=O)[C@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL231835	pIC50=7.57
OCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233447	pIC50=7.59
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL337332	pIC50=7.6
Clc1ccc2[nH]c(cc2c1)C(=O)N[C@@H]3Cc4ccccc4NC3=O	CHEMBL139472	pIC50=7.6
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3sc(Br)c(Br)c3[nH]2	CHEMBL217993	pIC50=7.64
COc1ccc(O)cc1NC(=O)NC(=O)c2ccc(F)cc2Cl	CHEMBL198408	pIC50=7.64
OC(=O)c1ccc(Oc2cc3ccccc3cc2NC(=O)c4cccc(c4)[N+](=O)[O-])cc1C(=O)O	CHEMBL442404	pIC50=7.64
OCCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL234950	pIC50=7.68
OC[C@@H](O)CN1C(=O)[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL231836	pIC50=7.68
COc1ccnc(c1)C(=O)Nc2ccccc2Oc3ccc(C(=O)O)c(c3)C(=O)O	CHEMBL131644	pIC50=7.7
O[C@@H]1c2cc(F)c(NC(=O)c3cc4cc(Cl)ccc4[nH]3)c(F)c2CCC1(F)F	CHEMBL458289	pIC50=7.7
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL1084762	pIC50=7.75
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)sc3[nH]2	CHEMBL218714	pIC50=7.77
OC(=O)c1ccc(Oc2ccccc2NC(=O)c3cc(Cl)ccn3)cc1C(=O)O	CHEMBL134152	pIC50=7.77
OCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL233656	pIC50=7.77
CC(O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL180776	pIC50=7.8
OC(=O)c1ccc(Oc2ccccc2NC(=O)c3cc(ccn3)C#N)cc1C(=O)O	CHEMBL132201	pIC50=7.8
CC(C)OC(=O)C1=C(C)N(Cc2cc(Cl)cc(Cl)c2)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL115441	pIC50=7.82
CC(C)OC(=O)C1=C(C)N(Cc2ccc(Cl)c(Cl)c2)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL334272	pIC50=7.89
OC(=O)c1ccc(Oc2ccc(F)cc2NC(=O)c3cc(ccn3)[N+](=O)[O-])cc1C(=O)O	CHEMBL133114	pIC50=7.89
CCNC(=O)C1=C(C)N(CC)C(=C(C1c2ccccc2Cl)C(=O)O)C(=O)O	CHEMBL114846	pIC50=7.91
OC(=O)c1ccc(Oc2cc3ccccc3cc2NC(=O)c4cc(ccn4)C(F)(F)F)cc1C(=O)O	CHEMBL337224	pIC50=7.92
OCCN(C1CCS(=O)(=O)CC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179485	pIC50=7.92
OC[C@@H](O)CN1C(=O)[C@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL396724	pIC50=7.92
CC(C)OC(=O)C1=C(C)N(Cc2ccccc2)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL114731	pIC50=7.96
CCN1C(=C(C(C(=C1C(=O)O)C(=O)O)c2ccccc2Cl)C(=O)NCc3ccccc3)C	CHEMBL326950	pIC50=7.96
COc1ccnc(c1)C(=O)Nc2c(F)cccc2Oc3ccc(C(=O)O)c(c3)C(=O)O	CHEMBL133603	pIC50=7.96
Cc1ccnc(c1)C(=O)Nc2cc3ccccc3cc2Oc4ccc(C(=O)O)c(c4)C(=O)O	CHEMBL133923	pIC50=8.0
OC(=O)c1ccc(Oc2cccc(F)c2NC(=O)c3cc(Cl)ccn3)cc1C(=O)O	CHEMBL132640	pIC50=8.0
CCN1C(=C(C(C(=C1C(=O)O)C(=O)O)c2ccccc2Cl)C(=O)NC(C)C)C	CHEMBL114226	pIC50=8.04
O[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL219059	pIC50=8.05
CC(C)OC(=O)C1=C(C)N(Cc2cccc(Cl)c2)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL113762	pIC50=8.1
CCN1C(=C(C(C(=C1C(=O)O)C(=O)O)c2ccccc2Cl)C(=O)NCC(C)C)C	CHEMBL113736	pIC50=8.1
OCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL395733	pIC50=8.16
Clc1ccc2[nH]c(cc2c1)C(=O)NCCOCCOCCNC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL434025	pIC50=8.22
CC(C)OC(=O)C1=C(C)N(Cc2cccc(c2)[N+](=O)[O-])C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL423509	pIC50=8.3
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3sc(Cl)c(Cl)c3[nH]2	CHEMBL217994	pIC50=8.3
CCc1ccnc(c1)C(=O)Nc2cc3ccccc3cc2Oc4ccc(C(=O)O)c(c4)C(=O)O	CHEMBL133274	pIC50=8.4
COc1ccc(CN2C(=C(C(C(=C2C(=O)O)C(=O)O)c3ccccc3Cl)C(=O)OC(C)C)C)cc1OC	CHEMBL115341	pIC50=8.4
OC(=O)c1ccc(Oc2ccccc2NC(=O)c3cc(ccn3)[N+](=O)[O-])cc1C(=O)O	CHEMBL132191	pIC50=8.52
CC(C)OC(=O)C1=C(C)N(Cc2ccc(Cl)cc2)C(=C(C1c3ccccc3Cl)C(=O)O)C(=O)O	CHEMBL115651	pIC50=8.7
COc1ccnc(c1)C(=O)Nc2cc3ccccc3cc2Oc4ccc(C(=O)O)c(c4)C(=O)O	CHEMBL440528	pIC50=8.7
OC(=O)c1ccc(Oc2cc3ccccc3cc2NC(=O)c4cc(Cl)ccn4)cc1C(=O)O	CHEMBL133832	pIC50=8.7
OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3	CHEMBL394526	pIC50=8.7
OC(=O)c1ccc(Oc2cc3ccccc3cc2NC(=O)c4cc(ccn4)[N+](=O)[O-])cc1C(=O)O	CHEMBL134802	pIC50=9.0
