NC1=CC(F)=CC=C1NC(=O)C1=CC=C(CNC(=O)\C=C\C2=CC=CN=C2)C=C1	chidamide	pIC50=7.0222764	pIC50=7.0222764	pIC50=7.0222764
[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2	romidepsin	pIC50=6.55
CCCCCCc1nc2ccc(\C=C\C(=O)NO)cn2c1NCCC(=O)NCC	CHEMBL3689778	pIC50=6.2
CCN1CCC[C@H](C1)n2c(nc(C)c2c3cccc(\C=C\C(=O)NO)c3)c4ccccc4	CHEMBL1099065	pIC50=6.2
COC(=O)c1ccc2cc(sc2c1)C(=O)NO	CHEMBL246759	pIC50=6.2
CS(=O)(=O)N1Cc2ccc(\C=C\C(=O)NO)cc2C1	CHEMBL1808626	pIC50=6.2
Cc1ccc(NC(=O)CCCCC(=O)NO)c(C)c1	CHEMBL1092032	pIC50=6.2
OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@@H]3CO)O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@@H]4CO)O[C@H]5[C@H](O)[C@@H](O)[C@H](O[C@@H]5CO)O[C@H]6[C@H](O)[C@@H](O)[C@H](O[C@@H]6CNC(=O)CCCCCCC(=O)NO)O[C@H]7[C@H](O)[C@@H](O)[C@H](O[C@@H]7CO)O[C@H]8[C@H](O)[C@@H](O)[C@H](O[C@@H]8CO)O[C@H]1[C@H](O)[C@H]2O	CHEMBL2387320	pIC50=6.2
ONC(=O)C1=CCCC1	CHEMBL2333346	pIC50=6.2
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(F)c(F)c2	CHEMBL3655953	pIC50=6.21
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccccc4c5cn(CCCCCC(=O)NO)nn5)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3734882	pIC50=6.21
Cc1ccc(NC(=O)c2ccc(nc2)C(=O)Nc3ccccc3N)cc1Nc4ncc(cn4)c5cccnc5	CHEMBL515258	pIC50=6.21
ONC(=O)c1cc2ccc(Nc3ccccc3)cc2s1	CHEMBL246336	pIC50=6.21
CC(C)(C)c1ccc(Cn2cc(CCCCC(=O)NO)nn2)cc1	CHEMBL2381753	pIC50=6.22
CC(C)[C@H]1NC(=O)C[C@@H](C\C=C/CCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O	CHEMBL3352996	pKi=6.22
CC(C)c1cc(C(C)C)c(cc1C(C)C)S(=O)(=O)Nc2ccc(\C=C\C(=O)NO)cc2	CHEMBL316457	pIC50=6.22
CC(CCCCCC(=O)c1ccc2ccccc2c1)C(=O)NO	CHEMBL95510	pIC50=6.22
CCCN(CC1CC1)Cc2c(nc3cc(\C=C\C(=O)NO)ccn23)c4ccccc4	CHEMBL3689811	pIC50=6.22
CCSC(=S)SCC(=O)c1ccc(CCNC(=O)C)cc1	CHEMBL490067	pIC50=6.22
CN(c1ccc(\C=C\C(=O)NO)cc1)S(=O)(=O)c2ccccc2	CHEMBL97387	pIC50=6.22
CNC(=O)CCCCC[C@H](NC(=O)c1cncs1)c2ncc([nH]2)c3ccc4ccncc4c3	CHEMBL3809171	pIC50=6.22
COc1ccc(NCc2ccc(cc2)C(=O)Nc3ccccc3N)cc1	CHEMBL211624	pIC50=6.22
COc1ccc(cn1)c2ccnc(NCc3ccc(cc3)C(=O)Nc4ccccc4N)n2	CHEMBL272841	pIC50=6.22
Cc1cc(ccc1F)C(C)(C)Nc2ncc(cn2)C(=O)NO	CHEMBL3655955	pIC50=6.22
Cc1sc(nc1C(=O)NCCCCC(=O)NO)c2nccs2	CHEMBL3287251	pIC50=6.22
ONC(=O)CCCc1ccccc1	CHEMBL55895	pIC50=6.22
ONC(=O)\C=C\c1ccc(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1	CHEMBL97384	pIC50=6.22
ONC(=O)\C=C\c1ccc(NS(=O)(=O)c2cccs2)cc1	CHEMBL3698498	pIC50=6.22
ONC(=O)\C=C\c1ccc(cc1)c2oc(Cc3c[nH]c4ccccc34)nn2	CHEMBL3314860	pIC50=6.22
ONC(=O)\C=C\c1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2	CHEMBL1630107	pIC50=6.22
ONC(=O)c1cc2cc(Nc3ccccc3)ccc2s1	CHEMBL245553	pIC50=6.22
ONC(=O)c1cnc(NCCc2ccccc2c3ccccc3)nc1	CHEMBL3655941	pIC50=6.22
Oc1ccc(cc1NC(=O)CCCc2ccccc2)c3ccccc3	CHEMBL273000	pIC50=6.22
CC(=O)CCCCC[C@H](NC(=O)c1cncs1)C(=O)NCCc2c([nH]c3ccccc23)c4ccccc4	CHEMBL217035	pIC50=6.23
CCCCCCc1nc2cc(\C=C\C(=O)NO)ccn2c1NCCC(=O)N(C)C(C)C	CHEMBL3689797	pIC50=6.23
CCSC(=S)SCC(=O)c1ccc(cc1)S(=O)(=O)Nc2ccc(Cl)cc2	CHEMBL517384	pIC50=6.23
CCSC(=S)SCC(=O)c1ccc(s1)C(=O)NCc2cc(C)cc(C)c2	CHEMBL479786	pIC50=6.23
CCSC(=S)SCC(=O)c1cccc(NC(=O)c2cnc3ccccc3c2)c1	CHEMBL482096	pIC50=6.23
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](Nc4ccc(NC(=O)CCCCCC(=O)NO)cc4)c5cc6OCOc6cc25	CHEMBL2442697	pIC50=6.23
COc1ccccc1C2(CC2)Nc3ncc(cn3)C(=O)NO	CHEMBL3656002	pIC50=6.23
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCN4CCCCC4C3	CHEMBL238211	pIC50=6.23
ONC(=O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(=C3c4ccc(O)cc4)c5ccc(O)cc5)cc1	CHEMBL3589351	pIC50=6.23
ONC(=O)c1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2	CHEMBL181459	pIC50=6.23
ONC(=O)c1cnc(NC2(CCCC2)c3ccc(F)cc3)nc1	CHEMBL3656017	pIC50=6.23
ONC(=O)c1cnc(NC2(CCCC2)c3cccc(F)c3)nc1	CHEMBL3656020	pIC50=6.23
ONC(=O)c1cnc(NC2(CCOCC2)c3ccccc3)nc1	CHEMBL3655972	pIC50=6.23
CCN(CC(C)C)Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)C(C)(C)C	CHEMBL3689843	pIC50=6.24
CCN(CC)CCc1nc2cc(\C=C\C(=O)NO)ccc2n1CCC(C)C	CHEMBL1830401	pIC50=6.24
CN(Cc1ccc2nccnc2c1)C(=O)c3ccc(s3)C(=O)C(F)(F)F	CHEMBL497332	pIC50=6.24
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](Nc4ccccc4OCCCC(=O)NO)c5cc6OCOc6cc25	CHEMBL2442793	pIC50=6.24
C[C@H]1CN([C@H](C)CN1)c2ccc(cn2)C(=O)Nc3ccccc3N	CHEMBL237326	pIC50=6.24
Cc1ccc(Nc2nccc3ccc(NCc4ccc(\C=C\C(=O)NO)cc4)cc23)c(Cl)c1	CHEMBL3601779	pIC50=6.24
Cc1ccccc1NC(=O)CCCCC(=O)NO	CHEMBL1076794	pIC50=6.24
Fc1ccc(cc1)c2cc([nH]n2)C(=O)NCCCCCCS	CHEMBL3758444	pIC50=6.24
NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccc(Cl)cc1)C(=O)Nc2nc(cs2)c3ccccc3	CHEMBL516218	pIC50=6.24
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNC(=O)O4	CHEMBL3286739	pIC50=6.24
OCCn1c(CCc2ccccc2)nc3cc(\C=C\C(=O)NO)ccc13	CHEMBL3648298	pIC50=6.24
ONC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2	CHEMBL227118	pIC50=6.24
ONC(=O)\C=C\c1ccc2C(=O)N(Cc3ccccc3)C(=O)c2c1	CHEMBL197774	pIC50=6.24
ONC(=O)c1cc2cc(ccc2s1)C(=O)Nc3ccccc3	CHEMBL271767	pIC50=6.24
ONC(=O)c1cnc(NC2CCCCC2)nc1	CHEMBL3655980	pIC50=6.24
CCn1c(CCNC(=O)COc2ccccc2)nc3cc(\C=C\C(=O)NO)ccc13	CHEMBL3648297	pIC50=6.25
COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)C)C(=O)NCc3c(C)[nH]c4ccccc34)c2c1	CHEMBL385626	pIC50=6.25
ONC(=O)CCCCCC1OCCCCCCOc2ccccc2NC1=O	CHEMBL1631911	pIC50=6.25
SCCCCC[C@H](NC(=O)c1ccccc1)C(=O)NC2CCCC2	CHEMBL235702	pIC50=6.25
CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)Nc2ccc(\C=C\C(=O)NO)cc2	CHEMBL3698504	pIC50=6.26
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2nc(cs2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)N1	CHEMBL3593406	pIC50=6.26
CCSC(=S)SCC(=O)c1ccc(s1)c2ccc(CNc3cnc4ccccc4c3)cn2	CHEMBL481703	pIC50=6.26
CN1C(=O)[C@@H](NC(=O)CCCCCCC(=O)NO)N=C(c2ccccc2)c3ccccc13	CHEMBL2408696	pIC50=6.26
FC(F)(F)C(=O)c1ccc(s1)C(=O)NCc2ccccc2Cl	CHEMBL519738	pIC50=6.26
Nc1ccccc1NC(=O)c2ccc(CNC3=NC[C@@H](S3)c4ccccc4)cc2	CHEMBL2407723	pIC50=6.26
ONC(=O)CCCCCCN(Cc1ccccn1)C(=O)NC(=O)c2ccccc2	CHEMBL1084796	pIC50=6.26
ONC(=O)c1cnc(NC23CC4CC(CC(C4)C2)C3)nc1	CHEMBL3655940	pIC50=6.26
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CCN(CC(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O	CHEMBL2170186	pIC50=6.27
CCCCCCCN(CC)Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)C(C)(C)C	CHEMBL3689851	pIC50=6.27
CCCN(CC)Cc1c(C)nc2cc(\C=C\C(=O)NO)ccn12	CHEMBL3689857	pIC50=6.27
CCOC(=S)SCC(=O)c1ccc(NC(=O)C)cc1	CHEMBL481136	pIC50=6.27
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCCCC(=O)NO)nn5)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	CHEMBL3736294	pIC50=6.27
CN1CCCCC1C(=O)N[C@@H](CCCCCC(=O)C)C(=O)NCCc2c([nH]c3ccccc23)c4ccccc4	CHEMBL218129	pIC50=6.27
COC(=O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(=C3c4ccc(O)cc4)c5ccc(O)cc5)cc1	CHEMBL3589347	pIC50=6.27
ONC(=O)CCCCc1ccn(Cc2ccc(F)cc2F)n1	CHEMBL3335308	pIC50=6.27
CC(C)(C)OC(=O)N1Cc2ccc(\C=C\C(=O)NO)cc2C1	CHEMBL1808617	pIC50=6.28
CC(C)c1ccc(cc1)c2csc(NC(=O)[C@H](CCCCNS(=O)(=O)N)NC(=O)OCc3ccccc3)n2	CHEMBL516399	pIC50=6.28
CC1(C)CN(CCN1)c2ccc(cn2)C(=O)Nc3ccccc3N	CHEMBL392644	pIC50=6.28
CCCCCCCCc1nc2cc(\C=C\C(=O)NO)ccc2n1CCCO	CHEMBL474151	pIC50=6.28
CCCN(C)Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)C(C)(C)C	CHEMBL3689808	pIC50=6.28
CCSC(=S)SCC(=O)c1ccc(CNC(=O)c2ccccc2)cc1	CHEMBL482271	pIC50=6.28
CCSC(=S)SCC(=O)c1cccc(c1)S(=O)(=O)Nc2ccc(OC)cc2	CHEMBL481148	pIC50=6.28
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(cc3)c4cn(CCCCC(=O)NO)nn4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735366	pIC50=6.28
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)Cc3ccc(cc3)c4cn(CCCCCC(=O)NO)nn4)cc2)\c5ccccc5	CHEMBL2401848	pIC50=6.28
CN1C2N(CCc3c2[nH]c4ccc(O)cc34)C(=O)c5cc(NC(=O)CCCC(=O)NO)ccc15	CHEMBL3577698	pIC50=6.28
NC1=Nc2ncc(CNc3ccc(cc3)C(=O)NCCCCCCCCC(=O)NO)nc2C(=O)N1	CHEMBL3415965	pIC50=6.28
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@H](CO3)c4ccccc4)cc2	CHEMBL3605494	pIC50=6.28
ONC(=O)\C=C\c1ccc(cc1)C(=O)c2oc3ccccc3c2	CHEMBL243809	pIC50=6.28
ONC(=O)c1cnc(NC2(CCCC2)c3cccc(Cl)c3)nc1	CHEMBL3656022	pIC50=6.28
ONC(=O)c1cnc(NCc2ccc(F)cc2C(F)(F)F)nc1	CHEMBL3655939	pIC50=6.28
SCCCCCCNC(=O)c1ccn[nH]1	CHEMBL3759941	pIC50=6.28
[Cl-].[I-].C=CCCCCCC[n+]1cccc(CCCCCCCCCCCC[n+]2cccc(CCCCC=C)c2)c1	CHEMBL226817	pIC50=6.28
Nc1ccc(F)cc1NC(=O)c2ccc(CNc3ncnc4ccccc34)cc2	CHEMBL3700346	pIC50=6.29
ONC(=O)\C=C\c1ccc2nc(CCc3cccnc3)[nH]c2c1	CHEMBL3648283	pIC50=6.29
ONC(=O)c1cnc(Nc2cc(Cl)cc(c2)C(F)(F)F)nc1	CHEMBL3655908	pIC50=6.29
CC(C)(C)OC(=O)N1C(Cc2c[nH]c3ccccc23)C(=O)N=C1NCc4ccc(cc4)C(=O)Nc5ccccc5N	CHEMBL2407731	pIC50=6.3
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccccc2F	CHEMBL3655948	pIC50=6.3
CC(C)[C@H]1NC(=O)C[C@H](NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](C)NC1=O)\C=C\CCCC(=O)O	CHEMBL3352992	pKi=6.3
CCN1CCC[C@H](C1)n2c(C)nc(C)c2c3cccc(\C=C\C(=O)NO)c3	CHEMBL1095085	pIC50=6.3
CCSC(=S)SCC(=O)c1ccc(s1)C(=O)N[C@@H](C)c2ccccc2	CHEMBL517997	pIC50=6.3
CCSC(=S)SCC(=O)c1cccc(c1)S(=O)(=O)Nc2ccc3OCOc3c2	CHEMBL482136	pIC50=6.3
CN1CCCCC1N[C@@H](CCCCCC(=O)C)C(=O)Nc2cccc(c2)c3ccccc3	CHEMBL272402	pIC50=6.3
CN1CCN(CC(=O)N[C@@H](CCCCCC(=O)C)c2ncc([nH]2)c3ccccc3)CC1	CHEMBL486976	pIC50=6.3
COc1ccc(cc1)c2nc(cs2)[C@H](CCCCNS(=O)(=O)N)NC(=O)OCc3ccccc3	CHEMBL523033	pIC50=6.3
Nc1ccccc1NC(=O)CCCCCN2C(=O)c3cccc4c(CN5CCOCC5)c(O)cc(C2=O)c34	CHEMBL97629	pIC50=6.3
Nc1ccccc1NC(=O)c2ccc(CSc3ncc[nH]3)cc2	CHEMBL252858	pIC50=6.3
ONC(=O)CCCCCC(=O)c1ccccc1	CHEMBL95916	pIC50=6.3
ONC(=O)Cc1ccc(CCCCc2cc(F)c(F)cc2F)cc1	CHEMBL3698520	pIC50=6.3
ONC(=O)\C=C\c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1	CHEMBL353839	pIC50=6.3
ONC(=O)\C=C\c1oc(CC(O)c2ccccc2)cc1	CHEMBL3698508	pIC50=6.3
SCCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)NCc2cccc(OCc3ccccc3)c2	CHEMBL3356935	pIC50=6.3
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4nc(NC(=O)CCCNC(=O)c5cc(NC(=O)c6cc(NC(=O)c7cc(NC(=O)c8nc(NC(=O)CCNC(=O)CCNC(=O)CCCCCCC(=O)NO)cn8C)cn7C)cn6C)cn5C)cn4C)cn3C)cn2C)cn1C	CHEMBL2396902	pIC50=6.31
C[C@@H]1N=C(c2ccccc2)c3cc(ccc3NC1=O)C#CCCCC(=O)NO	CHEMBL2408693	pIC50=6.31
Cc1ccc(cc1)c2noc(CCCCCCC(=O)NO)n2	CHEMBL3585959	pIC50=6.31
Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2cccc(c2)c3ccccc3	CHEMBL515285	pIC50=6.31
ONC(=O)CCCCNC(=O)c1nc(sc1c2ccc(F)cc2Cl)c3nccs3	CHEMBL3287259	pIC50=6.31
ONC(=O)\C=C\c1ccc2C(=O)N(CCc3ccccc3)C=Nc2c1	CHEMBL2425960	pIC50=6.31
CC(=O)CCCCC[C@H](NC(=O)c1cnns1)C(=O)NCCc2c([nH]c3ccccc23)c4ccccc4	CHEMBL272840	pIC50=6.32
CC(=O)CCCCC[C@H](NC(=O)c1snnc1C)C(=O)NCCc2c([nH]c3ccccc23)c4ccccc4	CHEMBL425629	pIC50=6.32
CN1C(=O)C(NC(=O)CCCCCCCC(=O)NO)N=C(c2ccccc2)c3ccccc13	CHEMBL2408818	pIC50=6.32
CN1CCC(CC1)C(=O)N[C@@H](CCCCCC(=O)C)c2ncc([nH]2)c3cccc(c3)C#N	CHEMBL487578	pIC50=6.32
COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NC(C)C)c3ncc([nH]3)c4ccc5ccccc5c4)c2c1	CHEMBL500254	pIC50=6.32
COc1cccc(CNCc2ccc(cc2)C(=O)NO)c1	CHEMBL472664	pIC50=6.32
ONC(=O)\C=C\c1ccc2CN(Cc2c1)S(=O)(=O)c3ccncc3	CHEMBL1808632	pIC50=6.32
ONC(=O)\C=C\c1ccc2N(CCC3=CCCC=N3)CNc2c1	CHEMBL3648319	pIC50=6.32
CCCC(C)CN(CC)Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)C(C)(C)C	CHEMBL3689848	pIC50=6.33
FC(F)(F)C(=O)c1ccc(s1)C(=O)NCc2ccccc2	CHEMBL455455	pIC50=6.33
Nc1ccc(F)cc1NC(=O)c2cnc3c(C4CC4)c(ccc3c2)N5CCNCC5	CHEMBL3664022	pIC50=6.33
Nc1ccc(cc1NC(=O)[C@H]2CCCCO2)c3ccc(F)cc3	CHEMBL3827766	pIC50=6.33
Nc1ccccc1NC(=O)c2ccc(s2)C(=O)Nc3cccc(Nc4ncc(s4)c5cccnc5)c3	CHEMBL474208	pIC50=6.33
OCc1cccc(CO)c1CNc2ncc(cn2)C(=O)NO	CHEMBL3655934	pIC50=6.33
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccsc3)c4ccc(O)cc4)cc1	CHEMBL3670665	pIC50=6.33
ONC(=O)c1cnc(NCc2ccccc2C(F)(F)F)nc1	CHEMBL3655921	pIC50=6.33
ONC(=O)c1cnc(Nc2cccc(c2)N3CCOCC3)nc1	CHEMBL3655912	pIC50=6.33
CC(C)(C)NC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1	CHEMBL391395	pIC50=6.34
CCSC(=S)SCC(=O)c1ccc(CC(=O)NCCOc2ccccc2)s1	CHEMBL479602	pKi=6.34
COc1cc(NC(=O)[C@H](CCCCNS(=O)(=O)N)NC(=O)OCc2ccccc2)c3ncccc3c1	CHEMBL473082	pIC50=6.34
COc1cccc(c1)c2csc(NC(=O)[C@H](CCCCNS(=O)(=O)N)NC(=O)OCc3ccccc3)n2	CHEMBL474051	pIC50=6.34
Cc1ccc(nc1)N(CCCCCCC(=O)NO)c2ccccn2	CHEMBL3675761	pIC50=6.34
Nc1cc(F)ccc1NC(=O)c2cc3ccc(N4CCNCC4)c(C5CC5)c3cn2	CHEMBL3664033	pIC50=6.34
OC(=O)CCCCC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)C[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5cccc6ccccc56)NC1=O	CHEMBL565289	pIC50=6.34
ONC(=O)CCCCCCN(c1ccccn1)c2ccccn2	CHEMBL3675757	pIC50=6.34
ONC(=O)c1cnc(NCc2ccccc2c3ccccc3)nc1	CHEMBL3655938	pIC50=6.34
[O-][N+](=O)c1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccc(Cl)cc3)c4ccccc4	CHEMBL2047618	pIC50=6.34
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N2CC3(C[C@H]2C(=O)NCCCCCC(=O)NO)SCCS3	CHEMBL1835418	pIC50=6.35
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(Cl)cc2F	CHEMBL3655960	pIC50=6.35
COc1ccc(cc1)C(=O)CCCCCC(=O)NO	CHEMBL95990	pIC50=6.35
Cl.N[C@@H](Cc1ccc(O)cc1)C(=O)N2CC3(C[C@H]2C(=O)NCCCCCC(=O)NO)SCCS3	CHEMBL1835419	pIC50=6.35
Nc1ccccc1NC(=O)c2ccc(cn2)C(=O)Nc3cccc(Nc4ncc(s4)c5cccnc5)c3	CHEMBL474863	pIC50=6.35
ONC(=O)CCCCNC(=O)c1csc(n1)c2cscn2	CHEMBL3287021	pIC50=6.35
ONC(=O)\C=C\c1ccc2c(c1)nc(CCc3ccccc3)n2Cc4ccccc4	CHEMBL491687	pIC50=6.35
Oc1ccc(cc1NC(=O)c2ccc(CNCCCc3ccccc3)cc2)c4ccccc4	CHEMBL3664103	pIC50=6.35
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C#C\C=C\C(=O)NO	CHEMBL2408692	pIC50=6.36
COc1ccc(NCc2ccc(cc2)C(=O)Nc3ccccc3N)cc1OC	CHEMBL211625	pIC50=6.36
C[C@H]1CN(CCN1)c2ccc(cn2)C(=O)Nc3ccccc3N	CHEMBL236892	pIC50=6.36
Cc1ccc(Cn2cc(CCCCC(=O)NO)nn2)cc1	CHEMBL2381754	pIC50=6.36
Cc1ccc(Nc2nccc3ccc(NCc4ccc(\C=C\C(=O)NO)cc4)cc23)c(Br)c1	CHEMBL3601780	pIC50=6.36
NC1=Nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)NCCCCCCC(=O)Nc4cc(ccc4N)c5cccs5)C(=O)O)nc2C(=O)N1	CHEMBL3415972	pIC50=6.36
Nc1cccc(c1)C(=O)Nc2cc(ccc2O)c3ccccc3	CHEMBL255737	pIC50=6.36
OCCCCn1nc(cc1c2ccc(F)cc2)C(=O)NCCCCCCS	CHEMBL3758445	pIC50=6.36
ONC(=O)CCCCCC1OCCCCCCCOc2ccccc2NC1=O	CHEMBL1631912	pIC50=6.36
ONC(=O)CCCCc1cn(Cc2ccc(cc2)C(F)(F)F)nn1	CHEMBL2381755	pIC50=6.36
ONC(=O)\C=C\c1ccc2C(=O)N(CCc3ccccc3)C(=Nc2c1)C4CC4	CHEMBL2425963	pIC50=6.36
ONC(=O)\C=C\c1ccc2c(c1)nc(CCc3ccccc3)n2CCc4ccccn4	CHEMBL3648264	pIC50=6.36
CN1CCCCC1N[C@@H](CCCCCC(=O)C)C(=O)Nc2nc(cs2)c3ccccc3	CHEMBL272401	pIC50=6.37
CN1CCc2c(C1)c3cc(Br)ccc3n2Cc4ccc(cc4)C(=O)NO	CHEMBL2018301	pIC50=6.37
SCCCCCCNC(=O)c1cc(n[nH]1)c2cccc3ccccc23	CHEMBL3758595	pIC50=6.37
CC(C)(C)C(=O)N1Cc2ccc(\C=C\C(=O)NO)cc2C1	CHEMBL1808618	pIC50=6.38
CCCC(=S)SCC(=O)c1ccc(OC)cc1	CHEMBL445518	pIC50=6.38
CN(C)C(=O)c1ccc(cn1)c2ccnc(NCc3ccc(cc3)C(=O)Nc4ccccc4N)n2	CHEMBL519625	pIC50=6.38
CN(C)CC(C)(C)Cn1c(nc2cc(\C=C\C(=O)NO)ccc12)C3CCCCC3	CHEMBL1830410	pIC50=6.38
CN1C(=O)C(NC(=O)CCCCC(=O)NO)N=C(c2ccccc2)c3ccccc13	CHEMBL2408819	pIC50=6.38
COc1cc(cc(OC)c1OC)c2cc([nH]n2)C(=O)NCCCCCCS	CHEMBL3759998	pIC50=6.38
COc1ccc(cc1OCCCC(=O)NO)N(C)c2nc(C)nc3ccccc23	CHEMBL3774414	pIC50=6.38
ONC(=O)\C=C\c1ccc2CN(Cc2c1)C(=O)C3CC3	CHEMBL1808619	pIC50=6.38
ONC(=O)c1cnc(Nc2cc(Cl)cc(OC(F)(F)F)c2)nc1	CHEMBL3655910	pIC50=6.38
ONC(=O)c1cnc(Nc2ccccc2Cl)nc1	CHEMBL3652231	pIC50=6.38
Oc1ccc(CC(=C)C(=O)NCCS)cc1Br	CHEMBL2047683	pIC50=6.38
[O-][N+](=O)c1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccc(Br)cc3)c4ccccc4	CHEMBL2047619	pIC50=6.38
CCC(CC)CN(C)Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)C(C)(C)C	CHEMBL3689864	pIC50=6.39
Nc1ccc(cc1NC(=O)c2ccccc2)c3ccccc3	CHEMBL271741	pIC50=6.39
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@H](Cc4ccccc4)CS3)cc2	CHEMBL2407721	pIC50=6.39
Nc1ccccc1NC(=O)c2ccc(nc2)N3CC4CCC3CN4	CHEMBL237558	pIC50=6.39
ONC(=O)\C=C\c1ccc(cc1)C(=O)c2cc3ccccc3[nH]2	CHEMBL390908	pIC50=6.39
CC(C)(C)NC(=S)N[C@@H](CCCCCS)C(=O)NC1CCCC1	CHEMBL235918	pIC50=6.4
CN(C)CC(C)(C)Cn1c(CCc2cccnc2)nc3cc(\C=C\C(=O)NO)ccc13	CHEMBL3648282	pIC50=6.4
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)c5cn(CCCCC(=O)NO)nn5	CHEMBL2401844	pIC50=6.4
Nc1ccc(cc1)C(=O)Nc2cc(ccc2O)c3ccccc3	CHEMBL403694	pIC50=6.4
Nc1ccccc1NC(=O)\C=C\c2ccc(NS(=O)(=O)c3cccc4oc5ccccc5c34)cc2	CHEMBL168221	pIC50=6.4
Nc1ccccc1NC(=O)c2ccc(CN3C(=O)N(CCN4CCOCC4)c5ccccc5C3=O)cc2	CHEMBL241550	pIC50=6.4
Nc1ccccc1NC(=O)c2ccc(CNc3ncc(Br)s3)cc2	CHEMBL415091	pIC50=6.4
ONC(=O)CCCCc1cn(Cc2cccc(Br)c2)nn1	CHEMBL2381732	pIC50=6.4
