CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O	alprostadil	pEC50=6.8	pEC50=6.8	pEC50=6.8
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O	epoprostenol	pKi=4.80000019	pKi=4.80000019	pKi=4.80000019
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	dinoprostone	pKi=8.04	pKi=8.04	pKi=8.04	pKi=7.75
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O	limaprost
CS(=O)(=O)c1ccc(OCc2ccc(F)cc2F)c(c1)C3=C(CCC3)c4cccc(c4)C(=O)O	CHEMBL234710	pIC50=7.8
CSc1ccc(OCc2ccc(F)cc2F)c(c1)C3=C(CCC3)c4cccc(c4)C(=O)O	CHEMBL234709	pIC50=7.8
Cc1cc(NC(=O)c2ccccc2)nn1Cc3cc(Cl)ccc3OCc4ccccc4	CHEMBL254990	pIC50=7.8
Cc1ccc(OCc2ccc(F)cc2)c(c1)c3ccc(C)n3c4cc(N)c(C)c(c4)C(=O)O	CHEMBL388510	pIC50=7.8
Cc1ccc(OCc2ccc(F)cc2)c(c1)c3ccc(C)n3c4ccc(F)c(c4)C(=O)O	CHEMBL230873	pIC50=7.8
Cc1ccc(c2cc(Br)ccc2OCC3CCCC3)n1c4cccc(c4)C(=O)O	CHEMBL208684	pIC50=7.8
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3Cl)n1c4cccc(c4)C(=O)O	CHEMBL208882	pIC50=7.8
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4ccc(cc4)C(=O)NC(C)(C)C	CHEMBL439381	pIC50=7.8
Cc1ccc(c2cc(Br)ccc2OCc3ccc(OC(F)(F)F)cc3)n1c4cccc(c4)C(=O)O	CHEMBL377910	pIC50=7.8
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(cc2C)C(=O)Nc3ccc(CN(CCO)CCO)cc3	CHEMBL523216	pIC50=7.8
OC(=O)c1csc(n1)n2nc(N3CCCCC3)c4ccccc24	CHEMBL3127173	pIC50=7.8
OC(=O)c1csc(n1)n2nc(c3CCCCc23)c4ccccc4	CHEMBL3127177	pIC50=7.8
[Na+].CC(C)COc1ccc(Cl)cc1c2ccccc2c3cccc(n3)C(=O)[O-]	CHEMBL467510	pIC50=7.8
OC(=O)Cc1cccc(c1)c2sccc2c3cc(Cl)ccc3OCc4ccccc4	CHEMBL184779	pKi=7.82
Cc1cc(nn1Cc2cc(Br)ccc2OCc3c(F)cccc3F)C(=O)O	CHEMBL215573	pIC50=7.83
OC(=O)c1csc(n1)n2nc(c3ccccc3)c4ccc(cc24)C(F)(F)F	CHEMBL3127163	pIC50=7.85
CN(C)c1ccc(Cc2oc(CN(c3cccc(Cl)c3C)S(=O)(=O)c4ccc(C)cc4)nn2)cc1	CHEMBL439559	pIC50=7.9
Cc1ccc(c2cc(Br)ccc2OCc3c(F)cccc3Cl)n1c4cccc(c4)C(=O)O	CHEMBL379753	pIC50=7.9
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cc(cc(c4)C(F)(F)F)C(=O)O	CHEMBL388243	pIC50=7.9
Cc1ccc(c2cc(Br)ccc2OCc3ccc(cc3F)C(F)(F)F)n1c4cccc(c4)C(=O)O	CHEMBL212471	pIC50=7.9
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3)n1c4cc(C(=O)O)c5ccccc5c4	CHEMBL390081	pIC50=7.9
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3Cl)n1c4cccc(c4)C(=O)O	CHEMBL380046	pIC50=7.9
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4ccc(cc4)C(=O)NCc5cccnc5	CHEMBL401023	pIC50=7.9
Cc1ccc(c2cc(F)ccc2OCc3ccc(F)cc3)n1c4ccc(F)c(c4)C(=O)O	CHEMBL230874	pIC50=7.9
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(NC(=O)c3ccc(CO)cc3)cc2C	CHEMBL447709	pIC50=7.9
Cl.CCNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCc4ccccc4)n2)cc1	CHEMBL480790	pIC50=7.9
Cl.CNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCc4ccccc4)n2)cc1	CHEMBL480789	pIC50=7.9
Cl.Cc1cc(nn1Cc2cc(Cl)ccc2OCc3ccccc3)C(=O)Nc4ccc(CN5CCCC5)cc4	CHEMBL479989	pIC50=7.9
Cl.Cc1cc(nn1Cc2cc(Cl)ccc2OCc3ccccc3)C(=O)Nc4ccc(CN5CCCCC5)cc4	CHEMBL480181	pIC50=7.9
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(Br)ccc3OCc4ccc(Cl)cc4	CHEMBL428370	pIC50=7.9
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(Br)ccc3OCc4ccccc4	CHEMBL397687	pIC50=7.9
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(Cl)ccc3OCc4ccccc4	CHEMBL207577	pIC50=7.9
[Na+].CC(C)Cc1cn(c2nc(cs2)C(=O)[O-])c3cc(ccc13)C(F)(F)F	CHEMBL402392	pIC50=7.9
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(Cl)cc3F)n1	CHEMBL467114	pIC50=7.9
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(F)cc3Cl)n1	CHEMBL513491	pIC50=7.9
[Na+].[O-]C(=O)c1cccc(n1)c2ccccc2c3cc(Cl)ccc3OCc4c(F)cc(F)cc4F	CHEMBL466549	pIC50=7.9
CO[C@](C(=O)NS(=O)(=O)c1ccccc1c2ccc(CN3C(=O)c4ccccc4CCc5ccccc35)cc2)(c6ccccc6)C(F)(F)F	CHEMBL415310	pKi=7.92
OC(=O)c1csc(n1)n2nc(c3ccc(Cl)cc3)c4ccccc24	CHEMBL3127166	pIC50=7.92
CC(=O)Nc1cc(cc(c1)c2ccccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL456495	pIC50=8.0
CC(C)(C(=O)NS(=O)(=O)c1ccccc1c2ccc(CN3C(=O)c4ccccc4CCc5ccccc35)cc2)c6ccccc6	CHEMBL314533	pKi=8.0
CC(C)C(=O)Nc1cc(cc(c1)c2ccccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL458448	pIC50=8.0
CC(C)NC(=O)c1cc(C)n(Cc2cc(Cl)cc3cc(oc23)c4ccccc4)n1	CHEMBL1915253	pIC50=8.0
CCc1ccccc1N(CC(=O)NCc2ccc(Cl)cc2)S(=O)(=O)c3ccc(C)cc3	CHEMBL240436	pKi=8.0
CN(C)C(=O)c1cccc(c1)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F	CHEMBL231723	pIC50=8.0
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)NC(C)(C)C	CHEMBL1915255	pIC50=8.0
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)NN5CCOCC5	CHEMBL1915264	pIC50=8.0
Cc1ccc(c2cc(Br)ccc2OCc3ccc(Cl)cc3)n1c4cccc(c4)C(=O)O	CHEMBL211700	pIC50=8.0
Cc1ccc(c2cc(Br)ccc2OCc3cccc(Cl)c3)n1c4cccc(c4)C(=O)O	CHEMBL210261	pIC50=8.0
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3F)n1c4cc(cc(c4)C(F)(F)F)C(=O)O	CHEMBL429259	pIC50=8.0
Cl.Cc1cc(nn1Cc2cc(Cl)ccc2OCc3ccccc3)C(=O)Nc4ccc(CN5CCOCC5)cc4	CHEMBL479591	pIC50=8.0
OC(=O)c1cccc(c1)n2cccc2c3cc(Cl)ccc3OCc4ccccc4	CHEMBL383090	pIC50=8.0
OC(=O)c1cccc(n1)c2ccccc2c3cc(Cl)ccc3OCc4ccccc4	CHEMBL515981	pIC50=8.0
OC(=O)c1cncc(c1)C2=C(CCC2)c3cc(ccc3OCc4ccccc4)C(F)(F)F	CHEMBL233043	pIC50=8.0
[Na+].CC(C)COc1ccc(Cl)cc1Cn2nc(cc2C)C(=O)[O-]	CHEMBL270208	pIC50=8.0
[Na+].CC(C)Cc1cn(c2nc(cs2)C(=O)[O-])c3cc(C)ccc13	CHEMBL402656	pIC50=8.0
[Na+].Cc1cc(nn1Cc2cc(Cl)ccc2OCc3ccccc3)C(=O)[O-]	CHEMBL404525	pIC50=8.0
[Na+].Cc1cc(oc1Cc2cc(Cl)ccc2OCc3ccccc3)C(=O)[O-]	CHEMBL407175	pIC50=8.0
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(Cl)cc3Cl)n1	CHEMBL467720	pIC50=8.0
OC(=O)c1ccn(Cc2cc(Br)ccc2OCc3ccccc3)n1	CHEMBL213412	pIC50=8.01
Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccc(Cl)cc3)C(=O)O	CHEMBL215400	pIC50=8.06
CCc1ccccc1N(CC(=O)NCCc2ccc(OC)c(OC)c2)S(=O)(=O)c3ccc(C)cc3	CHEMBL234399	pIC50=8.1
COc1ccc(Cc2oc(CN(c3cccc(Cl)c3Cl)S(=O)(=O)c4ccc(C)cc4)nn2)cc1	CHEMBL399614	pIC50=8.1
COc1ccc(Nc2oc(CN(c3cccc(Cl)c3Cl)S(=O)(=O)c4ccc(cc4)C(F)(F)F)nn2)cc1	CHEMBL232950	pIC50=8.1
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)N[C@@H]5CC[C@@H](O)CC5	CHEMBL1915261	pIC50=8.1
Cc1ccc(c2cc(Br)ccc2OCc3cc(F)ccc3F)n1c4cccc(c4)C(=O)O	CHEMBL209078	pIC50=8.1
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4ccc(cc4)C(=O)N	CHEMBL232932	pIC50=8.1
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3)n1c4cccc(c4)C(=O)O	CHEMBL377649	pIC50=8.1
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4ccc(cc4)S(=O)(=O)NC(=O)c5ccccc5	CHEMBL232543	pIC50=8.1
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cccc(c4)C(=O)O	CHEMBL377852	pIC50=8.1
Cc1ccc(c2cc(ccc2OCc3ccc(F)cc3)C(F)(F)F)n1c4cc(cc(c4)C(=O)O)N5CCCS5(=O)=O	CHEMBL388038	pIC50=8.1
Cc1ccc(c2cc(ccc2OCc3ccc(F)cc3)C(F)(F)F)n1c4ccc(F)c(c4)C(=O)O	CHEMBL388478	pIC50=8.1
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(cc2C)C(=O)Nc3ccc(CN4CCOCC4)cc3	CHEMBL523679	pIC50=8.1
Cl.CCNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCC(C)C)n2)cc1	CHEMBL523158	pIC50=8.1
Cl.CN(C)Cc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCc4ccccc4)n2)cc1	CHEMBL480950	pIC50=8.1
Cl.CNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCC(C)C)n2)cc1	CHEMBL492237	pIC50=8.1
[Na+].CC(C)COc1ccc(Cl)cc1Cc2nc(cs2)C(=O)[O-]	CHEMBL255009	pIC50=8.1
[Na+].CC(C)Cc1cn(c2occ(n2)C(=O)[O-])c3cc(Cl)ccc13	CHEMBL402338	pIC50=8.1
Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccc(F)cc3)C(=O)O	CHEMBL215453	pIC50=8.13
Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccccc3)C(=O)O	CHEMBL213221	pIC50=8.19
CCC(=O)Nc1cc(cc(c1)c2ccccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL456496	pIC50=8.2
CCOc1ccc(Cc2oc(CN(c3cccc(Cl)c3Cl)S(=O)(=O)c4ccc(C)cc4)nn2)cc1	CHEMBL441126	pIC50=8.2
COc1ccc(Cc2oc(CN(c3cccc(Cl)c3C)S(=O)(=O)c4ccc(C)cc4)nn2)cc1	CHEMBL399613	pIC50=8.2
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)NC[C@H]5CCCO5	CHEMBL1915262	pIC50=8.2
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4cc(ccc4F)C(=O)O	CHEMBL395310	pIC50=8.2
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4cccc(c4)C(=O)O	CHEMBL208791	pIC50=8.2
Cc1ccc(c2cc(Br)ccc2OCc3cccc(F)c3F)n1c4cccc(c4)C(=O)O	CHEMBL378641	pIC50=8.2
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3)n1c4cccc(c4)C(=O)O	CHEMBL208912	pIC50=8.2
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3F)n1c4cc(ccc4F)C(=O)O	CHEMBL266258	pIC50=8.2
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cc(C(=O)O)c5ccccc5c4	CHEMBL228695	pIC50=8.2
Cc1ccc(c2cc(ccc2OCc3ccccc3)C(F)(F)F)n1c4cc(ccc4F)C(=O)O	CHEMBL395523	pIC50=8.2
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(cc2C)C(=O)Nc3ccc(CN4CCCC4)cc3	CHEMBL494282	pIC50=8.2
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(cc2C)C(=O)Nc3ccc(CN4CCCCC4)cc3	CHEMBL493065	pIC50=8.2
Cl.Cc1cc(nn1Cc2cc(Cl)ccc2OCc3ccccc3)C(=O)Nc4ccc(CO)cc4	CHEMBL520438	pIC50=8.2
OC(=O)c1cccc(c1)C2=C(CCC2)c3ccccc3OCc4ccccc4	CHEMBL395582	pIC50=8.2
OC(=O)c1cnnc(c1)C2=C(CCC2)c3cc(Cl)ccc3OCc4ccc(F)cc4F	CHEMBL233245	pIC50=8.2
[Na+].CC(C)(C)CCc1cn(c2nc(cs2)C(=O)[O-])c3cc(Cl)ccc13	CHEMBL255675	pIC50=8.2
[Na+].CC(C)Cc1cn(Cc2nc(cs2)C(=O)[O-])c3cc(Cl)ccc13	CHEMBL403892	pIC50=8.2
[Na+].CC(C)Cc1cn(c2nc(cs2)C(=O)[O-])c3cc(Cl)ccc13	CHEMBL257997	pIC50=8.2
[Na+].Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccccc3)C(=O)[O-]	CHEMBL258184	pIC50=8.2
[Na+].[O-]C(=O)c1csc(Cc2cc(Cl)ccc2OCc3ccccc3)n1	CHEMBL255652	pIC50=8.2
[Na+].[O-]C(=O)c1oc(Cc2cc(Cl)ccc2OCc3ccccc3)cc1	CHEMBL272793	pIC50=8.2
OC(=O)c1cccc(n1)c2sccc2c3cc(Cl)ccc3OCc4ccccc4	CHEMBL362851	pKi=8.22
OC(c1cncc(c1)c2sccc2c3cc(Cl)ccc3OCc4ccccc4)C(F)(F)F	CHEMBL182368	pKi=8.22
CC(C)COc1ccc(Br)cc1c2ccc(C)n2c3cccc(c3)C(=O)O	CHEMBL378120	pIC50=8.3
CC(C)COc1ccc(Cl)cc1c2ccc(C)n2c3cccc(c3)C(=O)O	CHEMBL209800	pIC50=8.3
CC(C)c1oc2c(Cn3nc(cc3C)C(=O)O)cc(Cl)cc2c1	CHEMBL1915012	pIC50=8.3
COC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL234728	pIC50=8.3
C[C@H](NC(=O)c1ccc(cc1)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccccc4)c5ccccc5	CHEMBL391026	pIC50=8.3
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)N	CHEMBL1915254	pIC50=8.3
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)NC5CC5	CHEMBL1914467	pIC50=8.3
Cc1ccc(c2cc(Br)ccc2OCc3ccc(Cl)cc3Cl)n1c4cccc(c4)C(=O)O	CHEMBL211059	pIC50=8.3
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)c(F)c3)n1c4cccc(c4)C(=O)O	CHEMBL208934	pIC50=8.3
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4cc(C(=O)O)c5ccccc5c4	CHEMBL228746	pIC50=8.3
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3)n1c4ccc(OC(F)F)c(c4)C(=O)O	CHEMBL374824	pIC50=8.3
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3F)n1c4cc(Br)cc(c4)C(=O)O	CHEMBL388242	pIC50=8.3
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cc(Br)cc(c4)C(=O)O	CHEMBL234722	pIC50=8.3
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cc(cc(c4)C(=O)O)N5CCCS5(=O)=O	CHEMBL390660	pIC50=8.3
Cc1ccc(c2cc(ccc2OCc3ccccc3)C(F)(F)F)n1c4cccc(c4)C(=O)O	CHEMBL212688	pIC50=8.3
Cc1ccc(cc1C(=O)O)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccc(F)cc4	CHEMBL231184	pIC50=8.3
Cc1onc(C)c1S(=O)(=O)NC(=O)c2cccc(c2)n3c(C)ccc3c4ccccc4OCc5ccccc5	CHEMBL391287	pIC50=8.3
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(cc2C)C(=O)Nc3ccc(CN(C)C)cc3	CHEMBL492238	pIC50=8.3
Clc1ccc(OCc2ccccc2)c(c1)c3ccsc3c4cccc(NC(=O)Cc5ccccc5)c4	CHEMBL180046	pKi=8.3
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(Br)ccc3OCc4ccc(F)cc4F	CHEMBL387605	pIC50=8.3
OC(=O)c1cccc(n1)c2ccccc2c3cc(Cl)ccc3OCc4ccc(F)cc4	CHEMBL457142	pIC50=8.3
OC(O)(c1cncc(c1)c2sccc2c3cc(Cl)ccc3OCc4ccccc4)C(F)(F)F	CHEMBL185346	pKi=8.3
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)N1C\C=C\CCCC(=O)O	CHEMBL413509	pKi=8.35
OC(=O)c1csc(n1)n2nc(c3ccc(F)cc3)c4ccccc24	CHEMBL3127164	pIC50=8.35
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(F)ccc3OCc4ccc(F)cc4)C(=O)O	CHEMBL234303	pIC50=8.4
CCOc1ccc(Cc2oc(CN(c3cccc(Cl)c3C)S(=O)(=O)c4ccc(C)cc4)nn2)cc1	CHEMBL231759	pIC50=8.4
CNC(=O)c1ccc(cc1)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F	CHEMBL233137	pIC50=8.4
COCC(=O)Nc1cc(cc(c1)c2ccccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL458452	pIC50=8.4
COc1ccc(cc1)c2nn(c3nc(cs3)C(=O)O)c4ccccc24	CHEMBL3127167	pIC50=8.4
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)C4CCCCC4)C(=O)O	CHEMBL1915015	pIC50=8.4
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cc(Cl)cc(c4)C(=O)O	CHEMBL389995	pIC50=8.4
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cccc(c4)C(=O)NS(=O)(=O)C	CHEMBL391286	pIC50=8.4
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3F)n1c4cc(Cl)cc(c4)C(=O)O	CHEMBL234721	pIC50=8.4
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3F)n1c4cccc(c4)C(=O)O	CHEMBL211088	pIC50=8.4
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cc(N)cc(c4)C(=O)O	CHEMBL234301	pIC50=8.4
Cc1ccc(c2cc(ccc2OCc3ccc(F)cc3)C(F)(F)F)n1c4cc(N)c(C)c(c4)C(=O)O	CHEMBL228644	pIC50=8.4
Cc1ccc(c2cc(ccc2OCc3ccccc3)C(F)(F)F)n1c4cc(N)c(C)c(c4)C(=O)O	CHEMBL228592	pIC50=8.4
OC(=O)c1cccc(n1)c2ccccc2c3cc(Cl)ccc3OCc4ccc(F)cc4F	CHEMBL514574	pIC50=8.4
OC(=O)c1csc(n1)n2nc(C3=CCCCC3)c4ccccc24	CHEMBL3127170	pIC50=8.4
[Na+].CC(C)Cc1cn(c2nc(cs2)C(=O)[O-])c3cc(Br)ccc13	CHEMBL257134	pIC50=8.4
Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccccc3Cl)C(=O)O	CHEMBL402880	pIC50=8.5
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3)n1c4cc(N)c(C)c(c4)C(=O)O	CHEMBL388294	pIC50=8.5
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3)n1c4cc(N)cc(c4)C(=O)O	CHEMBL234302	pIC50=8.5
Cc1ccc(c2cc(Br)ccc2OCc3ccccc3F)n1c4cccc(c4)C(=O)O	CHEMBL212672	pIC50=8.5
OC(=O)c1ccnc(c1)C2=C(CCC2)c3cc(Br)ccc3OCc4ccc(F)cc4	CHEMBL395542	pIC50=8.5
[Na+].CC(C)COc1ccc(Cl)cc1Cc2oc(cc2)C(=O)[O-]	CHEMBL403330	pIC50=8.5
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccc(F)cc4)C(=O)O	CHEMBL390190	pIC50=8.6
CCOc1ccc(Cc2oc(CN(c3cccc(Cl)c3Cl)S(=O)(=O)c4ccc(cc4)C(F)(F)F)nn2)cc1	CHEMBL233335	pIC50=8.6
Cc1ccc(COc2ccc(Br)cc2c3ccc(C)n3c4cccc(c4)C(=O)O)cc1	CHEMBL209685	pIC50=8.6
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4ccc(Cl)c(c4)C(=O)O	CHEMBL230875	pIC50=8.6
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cc(C(=O)O)c5ccccc5c4	CHEMBL414978	pIC50=8.6
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4ccc(cc4)C(=O)NCc5ccccn5	CHEMBL232117	pIC50=8.6
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cccc(c4)C(=O)NS(=O)(=O)c5ccccc5	CHEMBL232340	pIC50=8.6
Cc1ccc(c2ccccc2OCc3ccccc3)n1c4cccc(c4)C(=O)NS(=O)(=O)c5ccccc5	CHEMBL232341	pIC50=8.6
Cc1ccc(cc1C(=O)O)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccc(F)cc4F	CHEMBL397655	pIC50=8.6
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(Br)ccc3OCc4ccc(Cl)cc4F	CHEMBL390188	pIC50=8.6
OC(=O)c1cccc(n1)C2=C(CCC2)c3cc(Cl)ccc3OCc4ccc(F)cc4F	CHEMBL234940	pIC50=8.6
OC(=O)c1csc(n1)n2nc(c3ccccc3)c4ccccc24	CHEMBL3127175	pIC50=8.62
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL234518	pIC50=8.7
CCCC(=O)Nc1cc(cc(c1)c2ccccc2c3cc(Cl)ccc3OCc4ccccc4)C(=O)O	CHEMBL516324	pIC50=8.7
Cc1cc(nn1Cc2cc(Cl)cc3cc(oc23)c4ccccc4)C(=O)O	CHEMBL1915252	pIC50=8.7
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4ccc(OC(F)F)c(c4)C(=O)O	CHEMBL228638	pIC50=8.7
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cc(cc(c4)C(=O)O)N5CCCC5=O	CHEMBL234946	pIC50=8.7
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4ccc(O)c(c4)C(=O)O	CHEMBL395488	pIC50=8.7
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cc(N)c(C)c(c4)C(=O)O	CHEMBL426913	pIC50=8.7
Cc1ccc(c2cc(ccc2OCc3ccccc3)C(F)(F)F)n1c4ccc(F)c(c4)C(=O)O	CHEMBL230766	pIC50=8.7
OC(=O)c1cncc(n1)C2=C(CCC2)c3cc(Cl)ccc3OCc4ccc(F)cc4F	CHEMBL389996	pIC50=8.7
OC(=O)c1csc(n1)n2nc(c3ccccc3)c4ccc(F)cc24	CHEMBL3127156	pIC50=8.7
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(I)ccc3OCc4ccc(F)cc4F)C(=O)O	CHEMBL390038	pIC50=8.8
C[C@@H](NC(=O)c1ccc(cc1)n2c(C)ccc2c3cc(Cl)ccc3OCc4ccccc4)c5ccccc5	CHEMBL233768	pIC50=8.8
Cc1ccc(c2cc(Br)ccc2OCc3c(F)cc(F)cc3F)n1c4cccc(c4)C(=O)O	CHEMBL210394	pIC50=8.8
Cc1ccc(c2cc(Cl)ccc2OCc3ccc(F)cc3)n1c4cc(NS(=O)(=O)C)cc(c4)C(=O)O	CHEMBL234945	pIC50=8.8
Cc1ncc(cc1C(=O)O)C2=C(CCC2)c3cc(Cl)ccc3OCc4ccc(F)cc4	CHEMBL389796	pIC50=8.8
O[C@@H](COc1ccccc1)\C=C\[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O	CHEMBL3804978	pEC50=8.85
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(Br)ccc3OCc4ccccc4)C(=O)O	CHEMBL234519	pIC50=8.9
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(ccc3OCc4ccccc4)C(F)(F)F)C(=O)O	CHEMBL234727	pIC50=8.9
CN(C(=O)C)c1cc(cc(c1)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F)C(=O)O	CHEMBL390238	pIC50=8.9
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4ccc(F)c(c4)C(=O)O	CHEMBL230765	pIC50=8.9
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cc(cc(c4)C(=O)O)N5CCCCC5=O	CHEMBL428367	pIC50=8.9
Cc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cc(C(=O)O)c5cc[nH]c5c4	CHEMBL228963	pIC50=8.9
Cc1ccc(cc1C(=O)O)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F	CHEMBL395248	pIC50=8.9
COc1ccc2c(nn(c3nc(cs3)C(=O)O)c2c1)c4ccccc4	CHEMBL3127159	pIC50=8.96
Cc1ccc(c2cc(Br)ccc2OCc3c(F)cccc3F)n1c4cccc(c4)C(=O)O	CHEMBL211534	pIC50=9.0
Cc1ccc2c(nn(c3nc(cs3)C(=O)O)c2c1)c4ccccc4	CHEMBL3127157	pIC50=9.0
