N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	levothyroxine	pIC50=8.52000046	pIC50=8.52000046	pIC50=8.52000046
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	liothyronine	pKi=10.1	pKi=10.1	pKi=10.1	pEC50=7.82
N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	dextrothyroxine
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)NC4CCCCC4	CHEMBL413699	pIC50=9.71
CC(C)c1cc(Cn2cc(C)c3cc(OCC(=O)O)cc(C)c23)ccc1O	CHEMBL3397340	pKi=9.75
CC1(C)C2CCC(NC(=O)c3cc(Oc4c(Cl)cc(cc4Cl)N5N=CC(=O)NC5=O)ccc3O)C1C2	CHEMBL124205	pIC50=9.78
CC(C)c1cc(Cn2c(C)cc3cc(OCC(=O)O)cc(C)c23)ccc1O	CHEMBL3397338	pKi=9.85
CC(C)c1cc(Oc2c(I)cc(CC(N)C(=O)O)cc2I)ccc1O	CHEMBL235173	pIC50=9.96
CC(C)c1cc(Oc2c(I)cc(C[C@@H](N)C(=O)O)cc2I)ccc1O	CHEMBL41314	pIC50=9.96
CC(C)c1cc(Cn2cc(C)c3cc(OCC(=O)O)cc(Cl)c23)ccc1O	CHEMBL3397341	pKi=10.05
CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)cc(Cl)c23)ccc1O	CHEMBL3397337	pKi=10.15
CC(C)c1cc(Oc2c(Cl)cc3[nH]c(cc3c2Cl)C(=O)O)ccc1O	CHEMBL203777	pIC50=10.22
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)N4CCCCC4	CHEMBL124126	pIC50=10.25
OC(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1	CHEMBL41632	pIC50=10.32
CC(C)c1cc(Cn2c(C)cc3cc(OCC(=O)O)cc(Cl)c23)ccc1O	CHEMBL3397339	pKi=10.4
CC(C)c1cc(Oc2c(C)cc(cc2C)N3N=CC(=O)NC3=O)ccc1O	CHEMBL125381	pKi=10.52
CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)ccc1O	CHEMBL289343	pIC50=10.6
OC(=O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1	CHEMBL291053	pIC50=10.72
