NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1	pemetrexed	pIC50=6.4685	pIC50=6.4685	pIC50=6.4685	pKi=6.47
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O	capecitabine
FC1=CNC(=O)NC1=O	fluorouracil
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O	floxuridine
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c3)cc2C(=O)N1	CHEMBL323375	pIC50=7.13
Cc1nc(O)c2cc(CN(CC#C)c3ccc(c(F)c3)S(=O)(=O)c4ccccc4)ccc2n1	CHEMBL158542	pKi=7.13
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)S(=O)(=O)c4ccccc4Cl)ccc2n1	CHEMBL159213	pKi=7.16
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)S(=O)(=O)n4ccc5ccccc45)ccc2n1	CHEMBL299928	pKi=7.16
CCCN(Cc1ccc2nc(N)nc(O)c2c1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O	CHEMBL1160054	pIC50=7.17
COC1=Nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL265098	pIC50=7.17
COc1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)N(CC#C)Cc2ccc3N=C(C)NC(=O)c3c2	CHEMBL323363	pIC50=7.17
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)S(=O)(=O)c4ccccc4)ccc2n1	CHEMBL417222	pKi=7.17
NC1=Nc2sc3cccc(CNc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c3c2C(=O)N1	CHEMBL1738741	pIC50=7.17
Cc1cc(Sc2c(C)ccc3nc(C)nc(O)c23)ccn1	CHEMBL350130	pKi=7.18
Nc1nc2cc3CCCN(Cc4ccc(cc4)S(=O)(=O)N5CCNCC5)c3cc2[nH]1	CHEMBL56662	pKi=7.19
CN1CCN(CC2=CN([C@H]3C[C@H](O)[C@@H](COP(=O)(O)O)O3)C(=O)NC2=O)c4ccccc14	CHEMBL3392217	pKi=7.22
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1	CHEMBL25889	pIC50=7.22
Nc1nc(O)c2c(CCc3cc(ccc23)S(=O)(=O)Nc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)n1	CHEMBL116589	pKi=7.24
OC(=O)CC[C@H](NC(=O)c1ccc(cc1F)N(CC#C)Cc2ccc3N=CNC(=O)c3c2)C(=O)O	CHEMBL420280	pIC50=7.24
OCC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL104410	pIC50=7.24
Cc1nc(O)c2cc(CN(CC#C)c3ccc(c(Cl)c3)S(=O)(=O)c4ccccc4)ccc2n1	CHEMBL162076	pKi=7.26
CCc1sc2N=C(N)NC(=O)c2c1Sc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL551049	pIC50=7.27
Cc1[nH]c2N=C(N)NC(=O)c2c1Sc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3	CHEMBL388340	pIC50=7.27
Cc1[nH]c2N=C(N)NC(=O)c2c1Sc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL225180	pIC50=7.27
CN(Cc1ccnc(Sc2ccccc2)c1)c3ccc4N=C(N)c5cccc3c45	CHEMBL56637	pKi=7.28
COc1ccc(cc1)S(=O)(=O)c2ccc(CN3CCCc4cc5c(cc34)nc(N)n5C)cc2	CHEMBL171057	pKi=7.29
Cc1[nH]c2N=C(N)NC(=O)c2c1Sc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c3	CHEMBL224868	pIC50=7.29
CN(C)c1cc(Sc2c(C)ccc3nc(N)nc(O)c23)ccn1	CHEMBL351606	pKi=7.3
Cc1nc(O)c2cc(CN(CC#C)c3ccc(c(c3)C(F)(F)F)S(=O)(=O)c4ccccc4)ccc2n1	CHEMBL291548	pKi=7.3
COc1cc(Sc2c(C)ccc3nc(C)nc(O)c23)ccn1	CHEMBL163411	pKi=7.34
Cc1cc2N=C(N)NC(=O)c2n1Cc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL252132	pIC50=7.34
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3	CHEMBL104856	pIC50=7.35
CN(Cc1ccnc(c1)C(F)(F)F)c2ccc3N=C(N)c4cccc2c34	CHEMBL301218	pKi=7.35
CC1=Nc2ccc(CN(CCF)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL104358	pIC50=7.37
CC1=C(Sc2ccc(cc2)C(=O)NC(CCC(=O)O)C(=O)O)C3C(N1)N=C(N)NC3=O	CHEMBL336487	pIC50=7.38
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O	CHEMBL306149	pIC50=7.38
CC1=Nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL434209	pIC50=7.4
CC1=Nc2ccc(CN(CC#C)c3ccc(nc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL291075	pIC50=7.4
Cc1sc2N=C(N)NC(=O)c2c1Sc3ccc(cc3)C(=O)N(CCC(=O)O)C(=O)O	CHEMBL522363	pIC50=7.4
Nc1nc2cc3CCCN(Cc4ccc5cc(CO)ccc5c4)c3cc2[nH]1	CHEMBL353813	pKi=7.42
COC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL105026	pIC50=7.44
CN(Cc1ccc(cc1)S(=O)(=O)c2ccccc2)c3ccc4N=C(N)c5cccc3c45	CHEMBL275685	pKi=7.47
NC1=Nc2sc3cccc(CNc4ccc5C(=O)N(Cc5c4)[C@@H](CCC(=O)O)C(=O)O)c3c2C(=O)N1	CHEMBL1738740	pIC50=7.47
CC1=Nc2ccc3ccc(CNc4ccc5C(=O)N(Cc5c4)[C@@H](CCC(=O)O)C(=O)O)cc3c2C(=O)N1	CHEMBL169896	pIC50=7.5
Nc1nc2cc3CCCN(Cc4ccc(cc4)S(=O)(=O)c5ccccc5)c3cc2[nH]1	CHEMBL301256	pKi=7.51
CNC1=Nc2ccc(N(C)Cc3ccnnc3)c4c(C)ccc1c24	CHEMBL293810	pKi=7.52
NC1=NC(=O)C2N(CC3=CN([C@H]4C[C@H](O)[C@@H](COP(=O)(O)O)O4)C(=O)NC3=O)C(CNc5ccc(cc5)C(=O)NC(CCC(=O)O)C(=O)O)CCC2=N1	CHEMBL3392216	pKi=7.52
NC1=Nc2[nH]c3cccc(Sc4ccc5ccccc5c4)c3c2C(=O)N1	CHEMBL3099582	pIC50=7.54
Cc1ccc2nc(N)nc(O)c2c1Sc3ccnc(c3)C(F)(F)F	CHEMBL351885	pKi=7.55
OC(=O)CCC(NC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3ncnc(O)c3c2)C(=O)O	CHEMBL171480	pKi=7.59
CCc1cc(CN(C)c2ccc3N=C(N)c4cccc2c34)ccn1	CHEMBL56611	pKi=7.6
COc1ccc(cc1)S(=O)(=O)c2ccc(CN3CCCc4cc5[nH]c(N)nc5cc34)cc2	CHEMBL171314	pKi=7.62
CN(Cc1ccc2ccc3nc(C)nc(O)c3c2c1)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL168367	pKi=7.66
Nc1nc(O)c2c(ccc3ccc(I)cc23)n1	CHEMBL306597	pIC50=7.66
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL169981	pIC50=7.7
Cc1cc2nc(N)nc(O)c2c3cc(Cl)ccc13	CHEMBL310936	pIC50=7.7
Nc1nc(O)c2c(Sc3ccncc3)c(Cl)ccc2n1	CHEMBL162145	pKi=7.7
Nc1nc2cc3CCCN(Cc4ccc(cc4)S(=O)(=O)c5ccc(O)cc5)c3cc2[nH]1	CHEMBL169921	pKi=7.7
CN(Cc1ccnc(CO)c1)c2ccc3N=C(N)c4cccc2c34	CHEMBL294871	pKi=7.75
Cc1nc(O)c2c(CCc3ccc(cc23)S(=O)(=O)Nc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)n1	CHEMBL324932	pKi=7.75
CN(Cc1ccncc1)c2ccc3N=C(N)c4cccc2c34	CHEMBL55884	pKi=7.77
Cc1ccc2N=C(N)NC(=O)c2c1Sc3ccncc3	CHEMBL320775	pKi=7.8
CN(Cc1ccc(cc1)S(=O)(=O)N2CCOCC2)c3ccc4N=C(N)c5cccc3c45	CHEMBL9440	pKi=7.82
CN(Cc1ccnnc1)c2ccc3N=C(N)c4cccc2c34	CHEMBL293823	pKi=7.82
CN(Cc1ccnc(C)c1)c2ccc3N=C(N)c4cccc2c34	CHEMBL434980	pKi=7.85
CNC1=Nc2ccc(N(C)Cc3ccncc3)c4c(C)ccc1c24	CHEMBL59203	pKi=7.85
O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)N2C=C(F)C(=O)NC2=O	CHEMBL886	pKi=7.85
CN(C)c1cccc2c(cccc12)S(=O)(=O)Oc3ccc(C[C@H](NS(=O)(=O)c4cccc5c(NC(=O)OCc6ccccc6)cccc45)C(=O)O)cc3	CHEMBL360758	pKi=7.89
Cc1ccc2nc(N)nc(O)c2c1Sc3ccnnc3	CHEMBL349723	pKi=7.89
CN(C)c1cccc2c(cccc12)S(=O)(=O)Oc3ccc(C[C@H](NS(=O)(=O)c4ccc(NC(=O)OCc5ccccc5)c6ccccc46)C(=O)O)cc3	CHEMBL425692	pKi=7.96
Nc1nc2cc3CCCN(Cc4ccc(cc4)C(=O)NC(CCC(=O)O)C(=O)O)c3cc2[nH]1	CHEMBL169411	pKi=7.96
CN(Cc1ccnnc1)c2ccc3N=C(N)c4ccc(C)c2c34	CHEMBL57420	pKi=8.0
Nc1nc(O)c2cc(CN(C#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1	CHEMBL1160189	pIC50=8.0
Nc1nc(O)c2cc(CN(C#C)c3ccc(cc3)C(=O)NC(CCC=O)C(=O)O)ccc2n1	CHEMBL1160200	pIC50=8.0
NC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL104230	pIC50=8.05
CN(C)c1cccc2c(cccc12)S(=O)(=O)Oc3ccc(C[C@H](NS(=O)(=O)c4cccc5cc(N)ccc45)C(=O)O)cc3	CHEMBL360335	pKi=8.07
Nc1nc(O)c2cc(CN(CC#N)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1	CHEMBL34918	pKi=8.15
Nc1nc(O)c2cc(CN(C#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL1160181	pIC50=8.2
CN(Cc1ccncc1)c2ccc3N=C(N)c4ccc(C)c2c34	CHEMBL56523	pKi=8.22
Nc1nc2cc3CCCN(Cc4ccc(cc4)S(=O)(=O)N5CCOCC5)c3cc2[nH]1	CHEMBL168524	pKi=8.22
Cc1nc(O)c2c(ccc3ccc(cc23)S(=O)(=O)Nc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)n1	CHEMBL324739	pKi=8.26
Nc1nc(O)c2cc(CN(C#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL1160188	pIC50=8.26
O[C@H]1[C@H](F)[C@@H](O[C@@H]1COP(=O)(O)O)N2C=C(F)C(=O)NC2=O	CHEMBL253954	pKi=8.32
Nc1nc(O)c2cc(CN(C#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL1160192	pIC50=8.33
CN(C)c1cccc2c(cccc12)S(=O)(=O)Oc3ccc(C[C@H](NS(=O)(=O)c4cccc5cc(ccc45)[N+](=O)[O-])C(=O)O)cc3	CHEMBL362606	pKi=8.39
CN(Cc1ccnc(C)c1)c2ccc3N=C(N)c4ccc(C)c2c34	CHEMBL55263	pKi=8.4
Cc1nc(O)c2c(ccc3ccc(CNc4ccc5C(=O)N(Sc5c4)[C@@H](CCC(=O)O)C(=O)O)cc23)n1	CHEMBL167164	pKi=8.4
CN(Cc1ccc2ccc3nc(C)nc(O)c3c2c1)c4ccc5C(=O)N(Cc5c4)[C@@H](CCC(=O)O)C(=O)O	CHEMBL355616	pKi=8.6
Nc1nc(O)c2c(CCc3ccc(cc23)S(=O)(=O)Nc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)n1	CHEMBL325972	pKi=8.6
CNC1=Nc2ccc(N(C)Cc3ccc(cc3)S(=O)(=O)N4CCOCC4)c5c(C)ccc1c25	CHEMBL9671	pKi=8.7
CN(C)c1cccc2c(cccc12)S(=O)(=O)Oc3ccc(C[C@H](NS(=O)(=O)c4cc5nnoc5c6ccccc46)C(=O)O)cc3	CHEMBL179448	pKi=8.82
Cc1ccc2nc(C)nc(O)c2c1Sc3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O	CHEMBL166369	pKi=8.88
Nc1nc(O)c2c(ccc3ccc(CNc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc23)n1	CHEMBL355662	pKi=8.92
OCC1=Nc2cc3CCC(N(CC#C)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c3cc2C(=O)N1	CHEMBL1253498	pIC50=8.92
Cc1nc(O)c2c(ccc3ccc(CNc4ccc(s4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc23)n1	CHEMBL169506	pKi=8.96
Cc1nc(O)c2c(ccc3ccc(CNc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc23)n1	CHEMBL168907	pKi=9.36
Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL295681	pKi=9.65
Cc1ccc2nc(N)nc(O)c2c1Sc3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O	CHEMBL166027	pKi=9.91
Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c4)cc23)n1	CHEMBL355323	pKi=10.05
Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL295708	pKi=10.14
Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL406575	pKi=10.38
Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)ccc2n1	CHEMBL290277	pKi=10.39
