NC(N)=N	guanidine
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
COC(=O)C12O[C@@H]1C(=C)C[C@@]3(O)[C@@H]4CC[C@@]5(C)[C@@H]6C=CC(=O)OC[C@]6(C(C)OC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]5[C@@]4(C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@]23C	CHEMBL311283	pKd=7.0
CC(C)(CNC(=O)C1(CCC1)C(F)(F)F)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289530	pIC50=7.05
CCCCCC\N=C\1/C=CN(Cc2ccc(OC)cc2)c3cc(Cl)ccc13	CHEMBL55202	pIC50=7.06
COC(=O)[C@@]12O[C@@H]1C(=C)CC3[C@@H]4CC[C@@]5(C)[C@@H]6C=CC(=O)OC[C@]6([C@@H](C)OC(=O)C)[C@@H](OC(=C)C)[C@@H](OC(=O)C)[C@@H]5[C@@]4(C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@]23C	CHEMBL290227	pIC50=7.07
CC(C)(CNC(=O)C1(CC1)C(F)(F)F)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289186	pIC50=7.1
CCCNC(=O)O[C@@H]1CC[C@](CNC(=O)c2ccccc2OC)(CC1)c3ccccc3	CHEMBL279606	pIC50=7.1
COc1ccccc1C(=O)NC[C@@]2(CC[C@@H](CC2)NC(=O)NCC=C)c3ccccc3	CHEMBL16683	pIC50=7.1
CCCCC\N=C\1/C=CN(c2ccc3ccccc3c2)c4cc(Cl)ccc14	CHEMBL56589	pIC50=7.13
COc1ccccc1C(=O)NC[C@@]2(CC[C@@H](CC2)NC(=O)OCC=C)c3ccccc3	CHEMBL277598	pIC50=7.14
CCCCC\N=C\1/C=CN(Cc2ccccc2)c3cc(Cl)ccc13	CHEMBL299668	pIC50=7.19
CCCCCC\N=C\1/C=CN(Cc2ccccc2)c3ccc(OC)cc13	CHEMBL293721	pIC50=7.33
CCCCCC\N=C\1/C=CN(Cc2ccccc2)c3cc(Cl)ccc13	CHEMBL53841	pIC50=7.5
COc1ccccc1C(=O)NC[C@@]2(CC[C@H](CC2)NC(=O)NCC=C)c3ccccc3	CHEMBL16255	pIC50=7.54
COc1ccccc1C(=O)NC[C@@]2(CC[C@H](CC2)OC(=O)NCC=C)c3ccccc3	CHEMBL278660	pIC50=7.75
S=C1Oc2cc3occc3c(OCCCCOc4ccccc4)c2C=C1	CHEMBL540249	pIC50=7.77
CCCNC(=O)O[C@@H]1CC[C@@](CNC(=O)c2ccccc2OC)(CC1)c3ccccc3	CHEMBL16804	pIC50=8.3
CNC(=O)O[C@@H]1CC[C@@](CNC(=O)c2ccccc2OC)(CC1)c3ccccc3	CHEMBL16806	pIC50=8.3
CC[C@H](C)[C@@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]2CSSC[C@@H]3NC(=O)C(CCN)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc6ccc(O)cc6)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](Cc7cnc[nH]7)NC(=O)[C@H](CCCCN)NC3=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]8CCCN8C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC1=O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O)[C@@H](C)O)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCCNC(=N)N	CHEMBL3609086	pIC50=9.65
CC[C@H](C)[C@@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc6ccc(O)cc6)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](Cc7cnc[nH]7)NC(=O)[C@H](CCCCN)NC3=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]8CCCN8C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC1=O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O)[C@@H](C)O)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)COCCOCCNC(=O)[C@@H](N)Cc9ccc(OP(=O)(O)O)cc9	CHEMBL3609095	pIC50=9.66
