CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)[C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O	ceruletide
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N(C)[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL269016	pIC50=9.3
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4COC(=O)C)c5cnc6ccccc6c5	CHEMBL504707	pIC50=9.33
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL453083	pIC50=9.35
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4CNS(=O)(=O)C)c5cnc6ccccc6c5	CHEMBL449725	pIC50=9.37
Cc1ccc(cc1)c2nc(cn2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6ccc7ccccc7c6	CHEMBL478398	pIC50=9.38
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4CNC(=O)C)c5cnc6ccccc6c5	CHEMBL503331	pIC50=9.41
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3F)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1774033	pIC50=9.59
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4CNC(=O)C)c5cnc6ccccc6c5	CHEMBL450443	pIC50=9.6
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4COC(=O)C)c5cnc6ccccc6c5	CHEMBL502924	pIC50=9.62
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4C(=O)NC(C)C)c5cnc6ccccc6c5	CHEMBL505432	pIC50=9.62
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL474067	pIC50=9.62
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3F)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL1774043	pIC50=9.66
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4C(=O)NC(C)C)c5cnc6ccccc6c5	CHEMBL449681	pIC50=9.68
Cc1ccc(cc1)c2nc(cn2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6cnc7ccccc7c6	CHEMBL514953	pIC50=9.7
Cc1ccc(cc1)c2nc(ncc2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6cnc7ccccc7c6	CHEMBL1773891	pIC50=9.75
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4COCC(=O)O)c5cc(C(=O)O)c6ccccc6c5	CHEMBL508772	pIC50=9.85
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL448221	pIC50=9.85
Cc1ccc(cc1)c2nc(cn2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6cc(C(=O)O)c7ccccc7c6	CHEMBL451644	pIC50=9.85
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL505727	pIC50=9.92
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4CNS(=O)(=O)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL446324	pIC50=9.92
Fc1ccc(cc1)c2nc(cn2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6cnc7ccccc7c6	CHEMBL475679	pIC50=9.92
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4C(=O)NC(C)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL503107	pIC50=9.96
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(C[C@H]4CNC(=O)NC)c5cc(C(=O)O)c6ccccc6c5	CHEMBL507094	pIC50=10.01
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4CNC(=O)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL502974	pIC50=10.1
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4CNC(=O)NC)c5cc(C(=O)O)c6ccccc6c5	CHEMBL507051	pIC50=10.1
CCOc1cccc(c1)n2cc(nc2c3ccc(F)cc3)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL498942	pIC50=10.1
CCOc1cccc(c1)n2cc(nc2c3ccc(F)cc3F)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL510690	pIC50=10.15
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(C[C@H]4CNS(=O)(=O)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL451342	pIC50=10.17
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL504861	pIC50=10.22
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(C[C@H]4CNC(=O)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL504406	pIC50=10.24
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4COCC(=O)O)c5cnc6ccccc6c5	CHEMBL468372	pIC50=10.28
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(C[C@H]4COCC(=O)O)c5cc(C(=O)O)c6ccccc6c5	CHEMBL498958	pIC50=10.39
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4COCC(=O)O)c5cnc6ccccc6c5	CHEMBL508004	pIC50=10.41
Cc1ccc(c(F)c1)c2nc(ncc2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6cc(C(=O)O)c7ccccc7c6	CHEMBL1773877	pIC50=10.47
Cc1ccc(c(F)c1)c2nc(cn2c3ccc4OCCOc4c3)C(=O)N5CCN(CC5)c6cc(C(=O)O)c7ccccc7c6	CHEMBL509519	pIC50=10.52
OC(=O)c1cc(cc2ccccc12)N3CCN(CC3)C(=O)c4cn(c5ccc6OCCOc6c5)c(n4)c7ccc(F)cc7	CHEMBL505225	pIC50=10.52
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4C(=O)NCC(=O)O)c5cnc6ccccc6c5	CHEMBL450105	pIC50=10.74
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4C(=O)NC(C)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL509464	pIC50=10.8
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(C[C@H]4C(=O)NC(C)C)c5cc(C(=O)O)c6ccccc6c5	CHEMBL504114	pIC50=11.0
