CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1	proglumide
O=C(NC1C(=O)N(CCC23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7ccccc7	CHEMBL332601	pKi=7.47
CCOC(=O)c1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4ccc(Cl)cc4)c1	CHEMBL9524	pIC50=7.48
CN1C(=O)[C@H](NC(=O)Nc2cccc(N)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL2112749	pIC50=7.48
COC(=O)Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(C)C2=O)c1	CHEMBL135166	pIC50=7.49
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccc(F)cc5	CHEMBL345786	pIC50=7.5
CC1CCCCN1C(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL216320	pKi=7.5
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](CCCC)NC(=O)c3ccc4cc(OS(=O)(=O)O)ccc4c3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL408286	pIC50=7.5
CN(Cc1ccccc1)C(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL216124	pKi=7.5
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccc(OCC(=O)NCCCCCC(=O)NCCCOc4cccc(CN5CCCCC5)c4)c3)c6ccccc16	CHEMBL30701	pIC50=7.5
CN1C(=O)C(NC(=O)Nc2ccccc2)N=C(c3ccccc3)c4ccccc14	CHEMBL136408	pIC50=7.5
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)c7ccc(Cl)cc7	CHEMBL129070	pKi=7.5
Cc1ccc2N(CC(=O)NC(C)(C)C)C(=O)[C@@H](C[C@H](c3ccccc3)c2c1)NC(=O)Nc4cccc(Cl)c4	CHEMBL126002	pIC50=7.5
Ic1ccc(C(=O)N2CCOCC2)c(NS(=O)(=O)c3cccc4nccnc34)c1	CHEMBL216483	pKi=7.5
Ic1ccc(C(=O)N2CCOCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL217225	pKi=7.5
O=C(CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)Nc5ccccc5	CHEMBL156605	pIC50=7.5
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)Nc3ccc(cc3)[N+](=O)[O-])C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3143025	pIC50=7.51
CCCN1C(=O)C(NC(=O)Nc2cccc(OC)c2)N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL103791	pIC50=7.51
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC(C)(C)C)C2=O)c3cccc(F)c3)c4ccccc4)c1	CHEMBL319986	pIC50=7.51
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)COCCOCCOCCOCCOCCCCc3cn(CCCCCCOc4cc(OCCCCCCn5cc(CCCCOCCOCCOCCOCCOCC(=O)N[C@@H](Cc6c[nH]c7ccccc67)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc8ccccc8)C(=O)N)nn5)cc(OCCCCCCn9cc(CCCCOCCOCCOCCOCCOCC(=O)N[C@@H](Cc%10c[nH]c%11ccccc%10%11)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc%12ccccc%12)C(=O)N)nn9)c4)nn3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc%13ccccc%13)C(=O)N	CHEMBL3400297	pKi=7.52
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(C3CCC3)c4ccccc14	CHEMBL293786	pIC50=7.52
COc1cccc(NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccccc4N(CC(=O)NC(C)(C)C)C2=O)c1	CHEMBL125863	pIC50=7.52
CNCCN(C)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL381805	pKi=7.53
CC(C)CCN1C(=O)C(NC(=O)Oc2cccc(c2)N(C)C)C(=O)N(CCC(C)C)c3ccccc13	CHEMBL101208	pKi=7.54
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)CC[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc4ccc(OS(=O)(=O)O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL266990	pKi=7.54
CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL9387	pIC50=7.54
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4F)c5ccccc15	CHEMBL1907855	pIC50=7.55
COc1ccccc1[C@H]2C[C@@H](NC(=O)Nc3cccc(C)c3)C(=O)N(CC(=O)NC(C)(C)C)[C@H](C2)c4ccccc4	CHEMBL99289	pIC50=7.55
C[C@@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccccc7	CHEMBL341045	pKi=7.55
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)Nc3ccccc3Cl)C2=O)c4ccccc4)c5ccccc5C)c1	CHEMBL320821	pIC50=7.55
Cc1ccccc1[C@H]2C[C@@H](NC(=O)Nc3cccc(c3)C(F)(F)F)C(=O)N(CC(=O)NC(C)(C)C)[C@H](C2)c4ccccc4	CHEMBL319748	pIC50=7.55
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc4ccc(O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL384731	pKi=7.56
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(N)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL202680	pKi=7.57
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NCCc6ccc(Cl)cc6Cl	CHEMBL319120	pKi=7.57
CN1C(=O)C(NC(=O)Nc2cccc(c2)C#N)N=C(c3ccccc3)c4ccccc14	CHEMBL137520	pIC50=7.57
CN1C(=O)[C@H](NC(=O)Nc2cccc(CCOC(=O)NCCC(=O)NCCCOc3cccc(CN4CCCCC4)c3)c2)N=C(c5ccccc5)c6ccccc16	CHEMBL284975	pIC50=7.57
Cl.CN1C(=O)[C@@H](NC(=O)Nc2cccc(C)c2)N=C(N3CC4CCC(CC4)C3)c5ccccc15	CHEMBL540596	pIC50=7.57
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccc(F)cc7	CHEMBL337934	pKi=7.58
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@H]3CCC(C)(C)CCN3C)c4ccccc14	CHEMBL83591	pIC50=7.59
CN(C)CCN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL135447	pIC50=7.59
CN1C(=O)C(NC(=O)Nc2ccc3OCOc3c2)N=C(c4ccccc4)c5ccccc15	CHEMBL337733	pIC50=7.59
CN1C(=O)C(NC(=O)Nc2ccc3ccccc3n2)N=C(c4ccccc4)c5ccccc15	CHEMBL135289	pIC50=7.59
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCCCC(=O)NCCCOc3cccc(CN4CCCCC4)c3)c2)N=C(c5ccccc5)c6ccccc16	CHEMBL33698	pIC50=7.59
COc1ccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(C)C2=O)cc1	CHEMBL137684	pIC50=7.59
COc1cccc(NC(=O)NC2CCc3ccccc3N(CC(=O)OC(C)(C)C)C2=O)c1	CHEMBL423278	pIC50=7.59
Brc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL217453	pKi=7.6
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccccc5	CHEMBL321761	pKi=7.6
CCc1ccccc1[C@H]2C[C@@H](NC(=O)Nc3cccc(C)c3)C(=O)N(CC(=O)NC(C)(C)C)[C@H](C2)c4ccccc4	CHEMBL97133	pIC50=7.6
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccc(OCC(=O)NCCC(=O)NCCSCc4csc(N=C(N)N)n4)c3)c5ccccc15	CHEMBL285586	pIC50=7.6
CSCC[C@H](NC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C(=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C	CHEMBL3142902	pIC50=7.6
O=C(CN1C(=O)C(Cc2n[nH]c3ccccc23)C(=O)N(c4ccccc4)c5ccccc15)N(C6CC6)c7ccccc7	CHEMBL330566	pIC50=7.6
OC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)c2ccc(I)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL583344	pKi=7.6
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C(=O)O)N=C(C3CCCC3)c4ccccc14	CHEMBL227097	pKi=7.62
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C(=O)O)N=C(c3ccccc13)C45CC6CC(CC(C6)C4)C5	CHEMBL227369	pKi=7.62
CC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3cc(Cl)ccc13)NC(=O)Nc4cccc(Cl)c4	CHEMBL339515	pIC50=7.62
CC(C)CN1C(=O)[C@H](NC(=O)Nc2ccc(cc2)c3nn[nH]n3)N=C(c4ccccc4)c5ccccc15	CHEMBL352264	pIC50=7.62
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL414793	pIC50=7.62
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)OCc7ccccc7	CHEMBL340327	pKi=7.62
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccc(Cl)cc7	CHEMBL435404	pKi=7.62
Cc1cccc(NC(=O)CN2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C5CCCCCC5)C2=O)c1	CHEMBL408915	pKi=7.63
CN1C(=O)[C@H](NC(=O)Nc2cccc(CCOC(=O)NCCCC(=O)NCCCOc3cccc(CN4CCCCC4)c3)c2)N=C(c5ccccc5)c6ccccc16	CHEMBL290122	pIC50=7.64
CCN(CC)C(=O)C(C)N1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL136436	pIC50=7.66
CCOC(=O)c1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(OC(C)C)c4)c1	CHEMBL9188	pIC50=7.66
CN1C(=O)C(NC(=O)Nc2ccc(C)c(C)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL135433	pIC50=7.66
CN1C(=O)C(NC(=O)Nc2cccc(c2)C#C)N=C(c3ccccc3)c4ccccc14	CHEMBL424076	pIC50=7.66
CC(C)(C)C(=O)CN1C(=O)N(CCCC(=O)Nc2cccc(c2)C3=NC(=O)ON3)C(=O)N(C4CCCCC4)c5ccccc15	CHEMBL258782	pKi=7.68
CC(C)CCN1C(=O)N(CC(=O)Nc2cccc(c2)C(=O)O)N=C(C3CCCCC3)c4ccccc14	CHEMBL269790	pKi=7.69
CN(c1cc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(C)C2=O)ccc1C)c5nn[nH]n5	CHEMBL353509	pIC50=7.7
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)c7ccccc7	CHEMBL338382	pKi=7.7
Cc1ccccc1NC(=O)NCCCC[C@H](CNC(=O)[C@@](C)(Cc2c[nH]c3ccccc23)NC(=O)OC4C5CC6CC(CC4C6)C5)NC(=O)CCC(=O)O	CHEMBL432256	pIC50=7.7
OC(=O)CC[C@H](NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2CCC3(CCCC3)CC2)C(=O)Nc4cccc5ccccc45	CHEMBL281206	pIC50=7.7
CN1C(=O)[C@H](NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL169661	pIC50=7.71
OC(=O)c1cccc(NC(=O)c2nc([nH]c2COC34CC5CC(CC(C5)C3)C4)C6CCCCC6)c1	CHEMBL390519	pKi=7.71
CN1C(=O)[C@H](NC(=O)NCc2cccc(O)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL2112751	pIC50=7.72
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCCNC(=O)CC(=O)NCCCOc3cccc(CN4CCCCC4)c3)c2)N=C(c5ccccc5)c6ccccc16	CHEMBL33398	pIC50=7.72
CCCN1C(=O)C(NC(=O)Nc2cccc(CCC)c2)N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL100502	pIC50=7.74
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccc(F)cc7F	CHEMBL338300	pKi=7.75
Cc1cccc(NC(=O)NC2CCc3ccccc3N(CC(=O)OC(C)(C)C)C2=O)c1	CHEMBL34335	pIC50=7.75
[I-].CCN(CC)C(=O)CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(c3ccccc13)c4cccc[n+]4C	CHEMBL314846	pIC50=7.75
CC(CC1CCCC1)N2C(=O)C(NC(=O)Nc3ccccc3)C(=O)N(C(C)CC4CCCC4)c5ccccc25	CHEMBL420459	pKi=7.77
Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(CCOC(=O)NCCCC(=O)NCCSCc5csc(C=C(N)N)n5)C2=O)c1	CHEMBL282175	pIC50=7.77
Cl.CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2ccc3ncn(CC(=O)O)c3c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL541904	pKi=7.77
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)N3CCOCC3)N=C(C4CCCCC4)c5ccccc15	CHEMBL380193	pKi=7.78
OC(=O)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)N5CCCC5)C2=O)c1	CHEMBL390275	pKi=7.79
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)N3CCCC3)N=C(C4CCCCC4)c5ccccc15	CHEMBL380907	pKi=7.8
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccc(O)cc5	CHEMBL443825	pIC50=7.8
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL2386888	pIC50=7.8
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@@H](Cc5ccccc5)C(=O)N	CHEMBL316709	pIC50=7.8
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(C3CCCC3)c4ccccc14	CHEMBL56944	pIC50=7.8
CN1C(=O)[C@@H](C[C@H](N2CCCCCC2)c3ccccc13)NC(=O)Nc4cccc(C)c4	CHEMBL282294	pIC50=7.8
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)NCCCCCC(=O)NCCCOc5cccc(CN6CCCCC6)c5)C2=O)c1	CHEMBL29331	pIC50=7.8
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC(C)(C)C)C2=O)c3ccccc3)c4ccccc4)c1	CHEMBL327526	pIC50=7.8
Clc1cc(NS(=O)(=O)c2cccc3nsnc23)c(cc1Cl)C(=O)N4CCCCC4	CHEMBL385153	pKi=7.8
OC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL585914	pKi=7.8
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(CO)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL205198	pKi=7.82
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CN3CC[C@H](NC(=O)CCc4ccc(OS(=O)(=O)O)cc4)C3=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL98720	pIC50=7.82
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@H]3CCC(C)(C)CCN3)c4ccccc14	CHEMBL84433	pIC50=7.82
C[C@@]1(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC[C@H](NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL177799	pKi=7.82
C[C@]1(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCCC[C@@H](NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL2371221	pKi=7.82
C[C@]1(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC[C@@H](NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL2371222	pKi=7.82
CN1C(=O)[C@H](NC(=O)Nc2cccc(O)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL2112753	pIC50=7.83
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N(CCc6ccccc6)CC(=O)O	CHEMBL317999	pKi=7.85
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccc(OCC(=O)NCCCC(=O)NCCSCc4csc(N=C(N)N)n4)c3)c5ccccc15	CHEMBL31726	pIC50=7.85
CN1CC[C@]23[C@H]4Oc5cc(O)cc(C[C@@H]1[C@]2(O)CC[C@@H]4NC(=O)COCC(=O)NCCOc6cccc(NC(=O)N[C@@H]7N=C(c8ccccc8)c9ccccc9N(C)C7=O)c6)c35	CHEMBL442943	pKi=7.85
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6CC(C[C@@H]6C(=O)O)c7ccccc7	CHEMBL338072	pKi=7.85
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(O)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL378388	pKi=7.88
CN(C)c1cccc(NC(=O)NC2C(=O)N(CCC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL332128	pKi=7.88
CNc1cccc(NC(=O)C[C@H]2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL379902	pKi=7.88
CCCC[C@H](NC(=O)[C@H](Cc1ccc(cc1)S(=O)(=O)O)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)NCCc4ccccc4	CHEMBL441165	pIC50=7.89
Clc1ccc(NC(=O)N[C@H]2N=C(c3ccccc3)c4ccccc4N(CC(=O)N5CCCC5)C2=O)cc1	CHEMBL1907927	pIC50=7.89
Fc1ccc(NC(=O)NC2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C2=O)c5ccccc5F)cc1	CHEMBL421575	pKi=7.9
OC(=O)[C@H](Cc1ccc(Cl)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL570520	pKi=7.9
CC(Cc1c[nH]c2ccccc12)(C(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N(CCc6ccc(Cl)cc6Cl)CC(=O)O	CHEMBL318852	pKi=7.91
CC(=O)c1ccc(NC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N)cc1	CHEMBL3142898	pIC50=7.92
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc4cn(CC(=O)NCCCC(CCCNC(=O)Cn5cc(NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc7c[nH]c8ccccc78)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn5)(NC(=O)CNC(=O)Cn9cc(NC(=O)[C@H](Cc%10ccccc%10)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc%11c[nH]c%12ccccc%11%12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn9)C(=O)NCCC(=O)N)nn4	CHEMBL2386884	pIC50=7.92
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccc(OCC(=O)NCC(=O)NCCSCc4csc(N=C(N)N)n4)c3)c5ccccc15	CHEMBL30656	pIC50=7.92
CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@H]3CCC(C)(C)CCN3)c4ccccc14	CHEMBL419663	pIC50=7.92
CCCN1C(=O)C(NC(=O)Nc2cccc(c2)C(F)(F)F)N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL105273	pIC50=7.93
O=C(NC1C(=O)N(C2[C@@H]3C[C@H]4C[C@H](C[C@@H]2C4)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7ccccc7	CHEMBL120793	pKi=7.94
CCNC(=O)CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL337065	pIC50=7.96
CN1C(=O)C(NC(=O)Nc2cccc(c2)[N+](=O)[O-])N=C(c3ccccc3)c4ccccc14	CHEMBL334592	pIC50=7.96
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCC(=O)NCCCOc3cccc(CN4CCCCC4)c3)c2)N=C(c5ccccc5)c6ccccc16	CHEMBL284976	pIC50=7.96
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)NCCO	CHEMBL38874	pKi=7.96
Clc1cccc(NC(=O)NC2C(=O)N(CC34CC5CC(CC(C5)C3)C4)c6ccccc6N(C7CCCCC7)C2=O)c1	CHEMBL317108	pKi=7.97
CC(C)(NC(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3ccccc13)NC(=O)Nc4cccc(Cl)c4)c5ccccc5	CHEMBL446682	pIC50=7.98
Brc1cc(NS(=O)(=O)c2cccc3nsnc23)c(cc1Br)C(=O)N4CCCCC4	CHEMBL214836	pKi=8.0
CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL103750	pKi=8.0
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2cccc(c2)C(=O)O)C(=O)N(c3ccccc3)c4ccccc14)c5ccccc5	CHEMBL147186	pKi=8.0
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@@H](Cc4ccccc4)C(=O)N	CHEMBL263742	pIC50=8.0
Cc1cccc(NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccccc4N(CC(=O)NC(C)(C)C)C2=O)c1	CHEMBL127397	pIC50=8.0
Cc1ccccc1[C@H]2C[C@@H](NC(=O)Nc3cccc(c3)[N+](=O)[O-])C(=O)N(CC(=O)NC(C)(C)C)[C@H](C2)c4ccccc4	CHEMBL319882	pIC50=8.0
OC(=O)[C@H](Cc1ccc(Cl)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nccnc34	CHEMBL584525	pKi=8.0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2cc(Cl)c(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL565324	pKi=8.0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nccnc34	CHEMBL569391	pKi=8.0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL565298	pKi=8.0
CCCN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL101528	pIC50=8.01
CN1C(=O)C(NC(=O)Nc2cccc(Cl)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL137066	pIC50=8.01
CN1C(=O)C(NC(=O)Nc2cccc(c2)C(=O)O)N=C(c3ccccc3)c4ccccc14	CHEMBL136412	pIC50=8.01
COC(=O)[C@H]1CCCN1OC(=O)CN2C(=O)C(NC(=O)Nc3cccc(OC)c3)N=C(c4ccccc4)c5ccccc25	CHEMBL137779	pIC50=8.01
