CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	distigmine
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pKi=7.14	pKi=7.14	pKi=7.14	pIC50=6.03
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	neostigmine	pIC50=7.59	pIC50=7.59	pIC50=7.59	pIC50=7.38
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	donepezil	pKi=7.8	pKi=7.8	pKi=7.8	pIC50=6.8
C[N+]1=CC=CC=C1C=NO	pralidoxime	pKd=4.59	pKd=4.59	pKd=4.59
CC[N+](C)(C)C1=CC=CC(O)=C1	edrophonium	pKi=8.79	pKi=8.79	pKi=8.79	pKi=6.1
CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	demecarium
CN(C)C(=O)OC1=C[N+](C)=CC=C1	pyridostigmine	pIC50=6.44	pIC50=6.44	pIC50=6.44	pIC50=6.44
CC(C)OP(F)(=O)OC(C)C	fluostigmine	pKi=5.22	pKi=5.22	pKi=5.22	pIC50=6.92
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C	rivastigmine	pIC50=7.43	pIC50=7.43	pIC50=7.43	pIC50=6.04
CCOP(=O)(OCC)SCC[N+](C)(C)C	echothiophate
[H][C@]12N(C)CC[C@@]1(C)C1=CC(OC(=O)NC)=CC=C1N2C	physostigmine	pIC50=9.37	pIC50=9.37	pIC50=9.37	pIC50=6.3
[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=CC=C(OC)C(O2)=C13	galantamine	pKi=7.21	pKi=7.21	pKi=7.21	pIC50=6.0
COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C	acotiamide	pIC50=5.52287865	pIC50=5.52287865	pIC50=5.52287865
C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=C1C=CC=C2)C1C2=CC=CC=C2C2=C1C=CC=C2	hexafluronium
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1	ambenonium
CCN(CC)CCCOc1ccc2N=C3N(CCc4ccccc34)C(=O)c2c1	CHEMBL3323043	pIC50=6.17
CN(C)Cc1oc(CSCCNc2cc(Nc3ccc(F)cc3)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL107254	pIC50=6.17
CNC(=O)Oc1cc2c3CC\C(=N\C)\c3n(C)c2cc1Cl	CHEMBL157182	pIC50=6.17
COc1cccc(CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2cccc(OC)c2)c1	CHEMBL176773	pIC50=6.17
Cc1ccc(cc1)C2C3=C(CC(C)(C)CC3=O)Nc4nc5CCCCc5c(N)c24	CHEMBL513161	pIC50=6.17
Nc1c2Cc3ccccc3c2nc4ccccc14	CHEMBL60167	pIC50=6.17
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6conc6	CHEMBL3582226	pIC50=6.18
CC(=O)Oc1cc(ccc1C)[N+](C)(C)C	CHEMBL139330	pIC50=6.18
CCC1=CC2CC(C1)c3c(N)c4ccncc4nc3C2	CHEMBL575614	pIC50=6.18
CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)C	CHEMBL125578	pIC50=6.18
Nc1c2CCCc2nc3CCCCc13	CHEMBL130880	pIC50=6.18
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3	CHEMBL315013	pIC50=6.18
CN(C)Cc1oc(CSCCNc2cc(Nc3ccccc3)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL108163	pIC50=6.19
CN(C)Cc1oc(CSCCNc2cc(Nc3ncccc3[N+](=O)[O-])c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL104334	pIC50=6.19
CN(C)Cc1oc(CSCCNc2ccc(F)cc2[N+](=O)[O-])cc1	CHEMBL104355	pIC50=6.19
CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O	ranitidine	pIC50=6.19
COc1ccc2nc3CCCCc3c(NCCNC4=CC(=O)c5c(O)cccc5C4=O)c2c1	CHEMBL3356538	pIC50=6.19
Cl.CN(CCCCCCCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3F	CHEMBL3402715	pIC50=6.19
Clc1cccc(CNCCCCCCCN2C(=O)c3ccccc3C2=O)c1	CHEMBL3415580	pIC50=6.19
Nc1c2CN(CC#C)CCc2nc3nc(N4CCCC4)c(cc13)C#N	CHEMBL2022933	pIC50=6.19
CCCCCCCNC(=O)Oc1ccc2CC3C(CCN3CCC)c2c1	CHEMBL1085630	pIC50=6.2
CCCCCCCNC(=O)Oc1ccc2CC3[C@@H](CCN3CCC)c2c1	CHEMBL33098	pIC50=6.2
CN(C)Cc1oc(CSCCNc2cc(Nc3ccccc3C#N)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL106082	pIC50=6.2
CNC(=C(C#N)C#N)NCCNCc1oc(CN(C)C)cc1	CHEMBL155392	pIC50=6.2
COP(=O)(OC)OC=C(Cl)Cl	CHEMBL167911	pIC50=6.2
COc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1	CHEMBL610779	pIC50=6.2
Cl.CN(CCCCCCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3F	CHEMBL3402714	pIC50=6.2
Oc1cccc2C\C(=C/C3CCN(Cc4ccccc4)CC3)\C(=O)c12	CHEMBL3818616	pIC50=6.2
CC(C)C1=N[C@H]2CC[C@]34C[C@@]35[C@@H](CC[C@H]4[C@]2(C)CC1)[C@]6(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]6(C)CC5=O	CHEMBL1783535	pIC50=6.21
CC(Cc1ccc(O)cc1)C2CCC(C)C(C2)c3ccc(O)cc3	CHEMBL185896	pIC50=6.21
COc1cc2C\C(=C/c3ccc(CN(C)C)cc3)\C(=O)c2cc1OC	CHEMBL462873	pKi=6.21
COc1cccc2nc3CCCCc3c(N)c12	CHEMBL132365	pIC50=6.21
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410953	pIC50=6.21
O=C(NCCN1CCCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL589563	pKi=6.21
[Br-].[Br-].C(c1cccc(c1)c2cccc(C[N+]34CCC(CC3)CC4)c2)[N+]56CCC(CC5)CC6	CHEMBL1771549	pIC50=6.21
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCNCCCNC2=CC(=O)C(=CC2=O)NCCCNCCCNC(=O)C(C)c3ccc(CC(C)C)cc3	CHEMBL3087674	pIC50=6.22
CC1(C)CC(=O)C2=C(C1)Nc3nc4CCCCc4c(N)c3[C@H]2c5ccncc5	CHEMBL2234537	pIC50=6.22
CCNC(=O)Oc1ccc2O[C@H]3C[C@](C)(CO3)c2c1	CHEMBL380830	pIC50=6.22
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2[C@H]1c4ccc(cc4)[N+](=O)[O-]	CHEMBL2234529	pIC50=6.22
CN(C)Cc1oc(CSCCCCCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL13426	pIC50=6.22
COc1ccc2CN(C)CC[C@@]34CCC(O)C[C@@H]3Oc1c24	CHEMBL3764305	pIC50=6.22
COc1cccc2nc3OCCCc3c(N)c12	CHEMBL134154	pIC50=6.22
C\C=C\1/[C@@H]2CC3=C(C=CC(=O)N3)[C@@]1(N)CC(=C2)C	CHEMBL395280	pIC50=6.22
Cl.CCN(CC)Cc1oc(CNCCN2CCNC2=C(C#N)C#N)cc1	CHEMBL1203539	pIC50=6.22
Clc1cccc(Cl)c1Nc2ccccc2CC(=O)NCCCNCCCNC3=CC(=O)C(=CC3=O)NCCCNCCCNC(=O)Cc4ccccc4Nc5c(Cl)cccc5Cl	CHEMBL3087676	pIC50=6.22
[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C	CHEMBL54126	pIC50=6.22
CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2ccccc2Cl)Cc3ccccc3Cl	CHEMBL243057	pIC50=6.23
CNC(=O)Oc1ccccc1OC(C)C	CHEMBL446060	pIC50=6.23
COc1ccc(cc1)C(=O)N(CCC2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL141873	pIC50=6.23
O=C(Nc1cccc(c1)C2=NCCN2)Nc3cccc(c3)C4=NCCN4	CHEMBL427342	pIC50=6.23
O\N=C\C(=O)NCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL3235218	pKi=6.23
CCN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(OC)c(OC)c3	CHEMBL470907	pIC50=6.24
CN(CCC(=O)NCCNc1c2CCCCc2nc3ccccc13)C4CCCCC4	CHEMBL3322155	pIC50=6.24
COc1cc(N)c(Cl)cc1C(=O)CCC2CCN(CC3CCC3)CC2	CHEMBL3416995	pIC50=6.24
Fc1ccc(CNCCCCCCCCN2C(=O)c3ccccc3C2=O)c(F)c1	CHEMBL3415576	pIC50=6.24
[Br-].COc1ccc2[nH]cc(CCNC(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)c2c1	CHEMBL3628186	pIC50=6.24
CSc1nc(nn1C(=O)N(C)C)c2ccc(cc2)c3ccccc3	CHEMBL338720	pIC50=6.25
O=C(NCCC1CCN(Cc2ccccc2)CC1)c3ccccc3	CHEMBL55014	pIC50=6.25
CCCCCCNC(=O)Oc1ccc2CC3C(CCN3CCC)c2c1	CHEMBL1085011	pIC50=6.26
CCCCCCNC(=O)Oc1ccc2CC3[C@@H](CCN3CCC)c2c1	CHEMBL32543	pIC50=6.26
CCN(Cc1ccccc1)Cc2ccc(cc2)C3=Cc4cc(OCCNC(=O)Cc5cc(F)cc(F)c5)ccc4OC3=O	CHEMBL272700	pIC50=6.26
CCNCc1ccc2nc(c3CCCNc3c2c1)c4ccc(Cl)cc4	CHEMBL3122168	pIC50=6.26
CCOC(=O)C1=C(C[C@H](N([C@@H]1c2ccc(Cl)cc2)c3ccc(F)cc3)c4ccc(Cl)cc4)Nc5ccc(F)cc5	CHEMBL3597056	pIC50=6.26
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(NC(=O)CN4CCCCC4)cc3	CHEMBL1773479	pIC50=6.26
CN1C2N(CCc3ccccc3)CC[C@@]2(C)c4cc(OC(=O)Nc5ccccc5C)ccc14	CHEMBL54956	pIC50=6.26
Cl.CN(C(=O)Oc1ccc2CCC(NCC#C)c2c1)c3ccccc3	CHEMBL543216	pIC50=6.26
Fc1ccccc1CNCCCCCCCCN2C(=O)c3ccccc3C2=O	CHEMBL3415566	pIC50=6.26
O=C(NCCCCCCNc1c2CCCc2nc3ccccc13)c4oc5ccccc5c4	CHEMBL3752555	pIC50=6.26
CC(Cc1cccc(OC(=O)N(C)C)c1)NCC#C	CHEMBL358026	pIC50=6.27
CC1(C)CC(=O)C2=C(C1)Nc3nc4CCCCc4c(N)c3[C@H]2c5ccc(F)cc5	CHEMBL2234534	pIC50=6.27
CC1CCCCN1Cc2oc(CNCCN3CCNC3=C(C#N)C#N)cc2	CHEMBL155322	pIC50=6.27
CCN(CC)c1ccc(\C=C\2/Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1	CHEMBL3343708	pIC50=6.27
COc1cc2CC(Oc3ccc(cc3)C(C)N(C)C)C(=O)c2cc1OC	CHEMBL178152	pKi=6.27
COc1ccc2C(=O)Oc3c(OC)cc(CCN(C)C)c4C(=O)Oc1c2c34	CHEMBL470867	pIC50=6.27
Cl.CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc3cccc(Cl)c3	CHEMBL3402717	pIC50=6.27
O=C1N2CCCc3ccccc3C2=Nc4ccc(OCCCN5CCCCC5)cc14	CHEMBL3323046	pIC50=6.27
O[C@H]1C=C2CCN3Cc4cc5OCOc5cc4[C@H]([C@@H]1OC(=O)c6ccccc6)[C@@H]23	CHEMBL1222025	pKi=6.27
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CCc3cc[n+](CC=C)cc3	CHEMBL87980	pIC50=6.27
[Br-].[Br-].C(CCC[n+]1ccccc1)CCC[n+]2cccc3ccccc23	CHEMBL3093799	pIC50=6.27
CC(C)(C)c1ccc(cc1)\C(=N\OC(=O)c2cnn(c3ccc(cc3)[N+](=O)[O-])c2C(F)(F)F)\N	CHEMBL2297975	pKi=6.28
CC1N([C@@H](Cc2c1[nH]c3ccccc23)C(=O)NCCCCCCNc4c5CCCCc5nc6ccccc46)C(=O)OC(C)(C)C	CHEMBL3343928	pIC50=6.28
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3ccccc3	CHEMBL1080631	pIC50=6.28
CN(C)CCNc1cc(NCCSCc2oc(CN(C)C)cc2)c(cc1[N+](=O)[O-])[N+](=O)[O-]	CHEMBL106348	pIC50=6.28
CN(CC#C)Cc1ccc(OC(=O)N(C)C)c2ncccc12	CHEMBL3407591	pIC50=6.28
CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3C(=O)\C(=C\c4cc(OC)c(OC)c(OC)c4)\Oc3c2)c1	CHEMBL190528	pIC50=6.28
COc1cc2CC(Cc3cccc(CN(C)C)c3)C(=O)c2cc1OC	CHEMBL474577	pKi=6.28
COc1cc2cc(sc2cc1OC)C(=O)C3=CC[N+](C)(Cc4ccccc4)CC3	CHEMBL188325	pIC50=6.28
COc1ccc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1OC	CHEMBL3818689	pIC50=6.28
Cl.CCCCCCN(C)C(=O)Oc1ccc2CCC(N)c2c1	CHEMBL555773	pIC50=6.28
Cl.CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3F	CHEMBL3402712	pIC50=6.28
Nc1c2CCCC(O)c2nc3ccccc13	CHEMBL319451	pIC50=6.28
Nc1cc(nc2nc(cc(c12)C(F)(F)F)c3ccccc3)c4ccc(Cl)cc4	CHEMBL2237994	pIC50=6.28
[Br-].COc1cc2cc(sc2cc1OC)C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3	CHEMBL313809	pIC50=6.28
[Br-].COc1ccc2[nH]cc(CCNC(=O)CCc3cc[n+](Cc4ccccc4F)cc3)c2c1	CHEMBL3628184	pIC50=6.28
CC1CCc2nc3nc(cc(c3c(N)c2C1)C(F)(F)F)c4ccccc4	CHEMBL2238005	pIC50=6.29
CCN(CC)CCCCCCCOc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1	CHEMBL598824	pIC50=6.29
CN[C@@H](C)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC[C@@H]5N=C(OC[C@@]45C)C(C)C)C[C@H]3C(=O)C[C@]12C	CHEMBL237870	pIC50=6.29
COC(=O)C1=C(C[C@H](N([C@@H]1c2ccc3OCOc3c2)c4ccccc4)c5ccc6OCOc6c5)Nc7ccccc7	CHEMBL3597068	pIC50=6.29
COc1cc2CC(Oc3ccc(CN4CCOCC4)cc3)C(=O)c2cc1OC	CHEMBL179824	pKi=6.29
Cl.CNC1CCc2cccc(OC(=O)N(C)C)c12	CHEMBL556147	pIC50=6.29
Cl.C[C@@H](Cc1ccccc1)NC(=O)Oc2cccc(c2)[C@H](C)N(C)C	CHEMBL1784957	pIC50=6.29
CC(C)(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)C#N	CHEMBL3582206	pIC50=6.3
CCCCCCCNC(=O)Oc1ccc2CC3N(Cc4ccccc4)CC[C@@]3(C)c2c1	CHEMBL288549	pIC50=6.3
CCCCCCCNC(=O)Oc1ccc2C[C@H]3N(Cc4ccccc4)CC[C@@]3(C)c2c1	CHEMBL1084882	pIC50=6.3
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3cccs3	CHEMBL1080813	pIC50=6.3
CCN(C)Cc1cccc(CC2Cc3cc(OC)c(OC)cc3C2=O)c1	CHEMBL515891	pKi=6.3
CN(C)Cc1oc(CSCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL13308	pIC50=6.3
COc1cc2CC(Oc3cccc(CN4CCCC4)c3)C(=O)c2cc1OC	CHEMBL362583	pKi=6.3
COc1cc2CC[N+](C)(CCCCCc3cccc(OC)[n+]3C)Cc2cc1OC.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441671	pIC50=6.3
COc1ccccc1CN(C)CCCCOc2ccc(cc2)C3=CC(=O)c4c(O3)cc(OC)c(OC)c4OC	CHEMBL3577510	pIC50=6.3
CSc1nc(nn1C(=O)N(C)C)c2ccc(cc2)C(F)(F)F	CHEMBL337714	pIC50=6.3
Cl.CN(Cc1ccccc1)Cc2ccc(COc3ccc4C=C(C)C(=O)Oc4c3)cc2	CHEMBL3586593	pIC50=6.3
Cl.Nc1c2CCCCc2nc3ccccc13	CHEMBL1677	pIC50=6.3
Clc1ccc2N=C3CCCCCN3C(=C)c2c1	CHEMBL1161718	pIC50=6.3
Clc1ccc2N=C3CCCCCN3Cc2c1	CHEMBL165726	pIC50=6.3
O=C(CCCN1C(=O)c2ccccc2C1=O)N3CCCCCC3	CHEMBL1213295	pIC50=6.3
[Br-].[Br-].C(CCC[n+]1ccc2ccccc2c1)CCC[n+]3ccc4ccccc4c3	CHEMBL1669485	pIC50=6.3
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6cccnc6	CHEMBL3582228	pIC50=6.31
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6cncs6	CHEMBL3582224	pIC50=6.31
CC1=C[C@H]2CC3=C(C=CC(=O)N3)[C@@](N)(C1)[C@@H]2C=C	CHEMBL2409142	pIC50=6.31
CCNC(=O)Oc1ccc2O[C@@H]3OCC[C@]3(C)c2c1	CHEMBL377283	pIC50=6.31
O=C1N(CCCCCCCCNCc2ccccc2)C(=O)c3ccccc13	CHEMBL3415561	pIC50=6.31
CC1CCN(CC2Cc3ccccc3C2=O)CC1	CHEMBL156763	pIC50=6.32
COc1c(F)c[n+](CCCCCOc2ccc3C(=CC(=O)Oc3c2)C)cc1F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441684	pIC50=6.32
Nc1c2CCCCc2nc3cc(Cl)c(Cl)cc13	CHEMBL61930	pIC50=6.32
CCCCCCCNc1c2CCCCc2nc3cc(OC)ccc13	CHEMBL61986	pIC50=6.33
CN(C)Cc1oc(CSCCCCCCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL418714	pIC50=6.33
CN(C)Cc1oc(CSCCNc2nnccc2[N+](=O)[O-])cc1	CHEMBL321808	pIC50=6.33
Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Sc3ccc(nn3)c4ccccc4	CHEMBL1202874	pIC50=6.33
C(CCCNc1c2Cc3ccccc3c2nc4ccccc14)CCCNc5c6Cc7ccccc7c6nc8ccccc58	CHEMBL1819180	pIC50=6.34
CCN(CC)Cc1ccc(\C=C\2/Cc3cc(OC)c(OC)cc3C2=O)cc1	CHEMBL464427	pKi=6.34
CN(C)Cc1oc(CSCCCCCCCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL418712	pIC50=6.34
CN1CC[C@]2(C)C1N(C)c3ccc(OC(=O)NCc4ccccc4)cc23	CHEMBL612100	pIC50=6.34
COc1ccc(cc1OC)C(=O)c2ccc(CN(C)Cc3ccccc3)cc2	CHEMBL490507	pIC50=6.34
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2ccc(cc2)C(C)(C)C	CHEMBL575621	pIC50=6.34
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410957	pIC50=6.34
Cl.CN(C)C(=O)Oc1cccc2CCC(N)c12	CHEMBL538071	pIC50=6.34
Nc1c2CCCCc2nc3OCCCc13	CHEMBL436367	pIC50=6.34
[Br-].CCCCCCCCCC(C)C1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1	CHEMBL3828679	pIC50=6.34
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6ocnn6	CHEMBL3582225	pIC50=6.35
COc1cc2[Se]N(C(=O)c2cc1OC)c3ccc(OCCN4CCCCC4)cc3	CHEMBL3115025	pIC50=6.35
Cl.CN(Cc1ccccc1)Cc2ccc(COc3ccc4C(=C(C)C(=O)Oc4c3)C)cc2	CHEMBL3586595	pIC50=6.35
C(CC1CCN(Cc2ccccc2)CC1)N=C3NN=C(c4ccccc4)c5ccccc35	CHEMBL91774	pIC50=6.36
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3cc4cccnc4s3	CHEMBL1076260	pIC50=6.36
CN(C)Cc1oc(CSCCNc2cc(NN=C(C)C)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL106932	pIC50=6.36
COc1ccc(CN2CCC(CCN3C(=O)c4ccc(cc4C3=O)[N+](=O)[O-])CC2)cc1	CHEMBL336686	pIC50=6.36
Cl.CC1=CC2CC(C1)Cc3nc4ccccc4c(N)c23	CHEMBL539072	pIC50=6.36
Cl.CCN(CCCCCCOc1ccc2C(=C(C)C(=O)Oc2c1)C)Cc3ccccc3	CHEMBL3586583	pIC50=6.36
Fc1ccc(CNCCCCCCCN2C(=O)c3ccccc3C2=O)cc1	CHEMBL3415570	pIC50=6.36
Nc1c2Cc3cc(F)ccc3c2nc4ccccc14	CHEMBL292121	pIC50=6.36
[Br-].COc1ccc2[nH]cc(CCNC(=O)CCc3cc[n+](Cc4cccc(F)c4)cc3)c2c1	CHEMBL3628185	pIC50=6.36
CC(C)C1=CC(=NNC1=NCCC2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL90241	pIC50=6.37
CC1=C[C@@H]2C[C@H](C1)c3c(C2)nc4cc(Cl)ccc4c3NCCCCCCCCCCCCNc5c6[C@@H]7C[C@H](Cc6nc8cc(Cl)ccc58)C=C(C)C7	CHEMBL3353042	pIC50=6.37
CCC1=CC2CC(C1)c3c(N)c4cc(Cl)ccc4nc3C2	CHEMBL142816	pIC50=6.37
CCN(C)Cc1oc(CNCCN2CCNC2=C(C#N)C#N)cc1	CHEMBL346733	pIC50=6.37
CCN(C)c1ccc(\C=C\2/Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1	CHEMBL3343712	pIC50=6.37
CCN(CCCCCCOc1ccc(cc1)C2=CC(=O)c3c(OC)c(OC)c(OC)cc3O2)Cc4ccccc4OC	CHEMBL3577517	pIC50=6.37
Nc1c2CCCCc2nc3ncccc13	CHEMBL133448	pIC50=6.37
O=C(NCCCCCCNc1c2CCCCc2nc3ccccc13)c4oc5ccccc5c4	CHEMBL3752451	pIC50=6.37
CCNC(=O)Oc1cccc2C3C(CCN3C)COc12	CHEMBL187385	pIC50=6.38
COC1=CC(=O)[C@@]2(C)[C@](O)(CC[C@@]3(C)OC4=C(C[C@@]23O)C(=O)OC(=C4)c5cc(OC)c(OC)c(OC)c5)C1(C)C	CHEMBL367571	pIC50=6.38
COc1cccc2cc(oc12)C(=O)NCCCCCCCNc3c4CCCCCc4nc5ccccc35	CHEMBL3754146	pIC50=6.38
NC1=C(C#N)C2(C(=O)Nc3ccc(F)cc23)C(=C4NCCCN14)[N+](=O)[O-]	CHEMBL3764376	pIC50=6.38
Cl.C[C@H](Cc1ccccc1)NC(=O)Oc2cccc(c2)[C@H](C)N(C)C	CHEMBL1784956	pIC50=6.39
O=C(NCCC1CCN(Cc2ccccc2)CC1)\C=C\c3ccccc3	CHEMBL3819548	pIC50=6.39
CCCCCCNC(=O)Oc1cccc(CN(CCC)CCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL1083976	pIC50=6.4
CCCCN1CCC(CCC(=O)c2cc(Cl)c(N)cc2OC)CC1	CHEMBL85251	pIC50=6.4
CN(CCC(=O)NCCCNc1c2CCCCc2nc3ccccc13)C4CCCCC4	CHEMBL3322156	pIC50=6.4
COc1cc2CC(Oc3ccc(CN4CCCCC4)cc3)C(=O)c2cc1OC	CHEMBL180145	pKi=6.4
COc1cc2CC(Oc3ccc(cc3)C(C)N4CCCC4)C(=O)c2cc1OC	CHEMBL180442	pKi=6.4
COc1cc2CC(Oc3cccc(c3)C(C)N(C)C)C(=O)c2cc1OC	CHEMBL541980	pKi=6.4
C\C=C\1/C2Cc3nc(O)ccc3C1(N)CC(=C2)C(F)(F)F	CHEMBL294891	pIC50=6.4
Cc1ccc(cc1)C2c3ccc4ccccc4c3Oc5nc6CCCCc6c(N)c25	CHEMBL2206892	pIC50=6.4
Cc1ccc2[nH]c(nc2c1)c3ccc(OCCN4CCCC4)cc3	CHEMBL2413735	pIC50=6.4
OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2	raloxifene	pIC50=6.4
[Br-].[Br-].C(CCCCC[n+]1cccc2ccccc12)CCCC[n+]3ccccc3	CHEMBL3093802	pKi=6.4
[Br-].[Br-].C(CCCCC[n+]1ccccc1)CCCC[n+]2ccccc2	CHEMBL225689	pIC50=6.4
CC(C)(C)[Si](C)(C)O[C@H]1C=C2CCN3Cc4cc5OCOc5cc4[C@H]([C@@H]1OC(=O)c6ccccc6)[C@@H]23	CHEMBL1221975	pKi=6.41
CCCCCCCNc1c2CCCCc2nc3ccc(C)cc13	CHEMBL61849	pIC50=6.41
CCCN(C)c1ccc(\C=C\2/Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1	CHEMBL3343713	pIC50=6.41
CCNC(=O)Oc1ccc2OC3OCC(C)(O3)c2c1	CHEMBL1241457	pIC50=6.41
CCNC(=O)Oc1cccc2C3C(CCN3C)CCc12	CHEMBL363557	pIC50=6.41
CCOC(=O)C1=C(C[C@H](N([C@@H]1c2ccc(F)cc2)c3ccccc3)c4ccc(F)cc4)Nc5ccccc5	CHEMBL3597057	pIC50=6.41
CN(C)Cc1oc(CNCCN2CCNC2=C(C#N)C#N)cc1	CHEMBL154689	pIC50=6.41
CN(CCCOc1ccc2c(OC(=O)c3ccccc23)c1)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4	CHEMBL3827064	pIC50=6.41
CNC(=O)Oc1ccc2N(C=O)C3N(C)CC[C@@]3(C)c2c1	CHEMBL99581	pIC50=6.41
COc1cc(cc(OC)c1OC)C(=O)NNc2c3CCCCc3nc4ccccc24	CHEMBL219262	pIC50=6.41
COc1cc2cc(sc2cc1OC)C(=O)C3CCC[N+](C)(CCOc4ccccc4)CC3	CHEMBL188917	pIC50=6.41
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2ccccc2	CHEMBL575619	pIC50=6.41
Cc1ccc2[nH]c(nc2c1)c3ccc(OCCN4CCCCC4)cc3	CHEMBL2413736	pIC50=6.41
Fc1ccc(CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2)cc1	CHEMBL76384	pIC50=6.41
