CC(C)c1nn(c2ccc(cc2Cl)C(=O)N)c3nccc(c13)n4cnc(c4)c5ccc(cc5)C(=O)N	CHEMBL3661160	pIC50=6.0
CO[C@H]1C[C@H](C)CC2=C(NCCCCCCNC(=O)\C=C\c3cc(OC)c(OC)c(OC)c3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL3354646	pIC50=6.54
Cc1c2CCCNCC(C)(C)CNc3cc(ccc3C(=O)N)n2c4CC(C)(C)CC(=O)c14	CHEMBL1760600	pIC50=6.54
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3ccnc4c(cccc34)c5cnc6ccccc6c5	CHEMBL3653943	pIC50=6.54
Nc1nccc(n1)c2ccccc2	CHEMBL1834385	pKd=6.54
CC(C)Cn1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC6CCC(O)CC6)c5	CHEMBL3653882	pIC50=6.55
CC(C)c1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cccnc5)C(=O)N	CHEMBL3661145	pIC50=6.55
CCCNc1cc(ccc1c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3653914	pIC50=6.55
CCc1cc(c(O)cc1O)c2[nH]nc(C)c2c3ccc4OCCOc4c3	CHEMBL399530	pIC50=6.55
CCc1cc(c(O)cc1O)c2n[nH]cc2c3c[nH]cn3	CHEMBL360563	pKd=6.55
CC(C)c1cc(c(O)cc1O)n2nnc(C(=O)N3CCOCC3)c2c4ccc(CN5CCOCC5)cc4	CHEMBL3235116	pIC50=6.57
Cc1ccc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(NC(C)(C)C)c5	CHEMBL3653926	pIC50=6.57
Cc1ccc2ncc(cc2c1)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC6CCC(O)CC6)c5	CHEMBL3653857	pIC50=6.57
Cc1cn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656950	pIC50=6.57
Cn1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC6CCCCCC6)c5	CHEMBL3653891	pIC50=6.57
NC(=O)c1ccc(c(N)c1)n2nc(c3c(ccnc23)n4cnc(c4)c5cccnc5)C(F)(F)F	CHEMBL3661185	pIC50=6.57
CC(C)(C)Nc1cc(ccc1C(=O)N)c2ccnc3c(cccc23)n4cnc(c4)c5cccnc5	CHEMBL3653957	pIC50=6.59
CC(C)c1nn(c2ccc(C(=O)N)c(NCC(F)F)c2)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661125	pIC50=6.59
CCc1cn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](N)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656966	pIC50=6.59
CC(C)c1nn(c2ccc(C(=O)N)c(NC(C)(C)C)c2)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661124	pIC50=6.6
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCN(CC3)C(=O)CN)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656973	pIC50=6.6
CC(C)c1nn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c14)n5cnc(c5)c6ccccc6	CHEMBL3656948	pIC50=6.6
CCNCCOc1cc(Cl)cc(Cl)c1c2nc(N)nc3CN(Cc23)C(=O)NC4CCC4	CHEMBL1774917	pKi=6.6
CCc1cn(c2ccc(C(=O)N)c(NC3CCN(C)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656965	pIC50=6.6
CNc1cc(ccc1C(=O)N)c2nccc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653886	pIC50=6.6
COc1c(C)cnc(Cn2cc(c3ccccc3)c4c(Cl)nc(N)nc24)c1C	CHEMBL2205244	pEC50=6.6
Cc1cc(c2ccc(cc2C)C(=O)N)c3cccc(c3n1)n4cnc(c4)c5cnn(C)c5	CHEMBL3653929	pIC50=6.6
Cc1ccc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(N)c5	CHEMBL3653944	pIC50=6.6
Oc1cc(O)c(cc1C(=O)N2Cc3ccccc3C2)n4ccc5cnccc45	CHEMBL3260482	pIC50=6.6
CC(C)c1nn(c2ccc(C(=O)N)c(NCCN(C)C)c2)c3nccc(c4cnc5ccccc5c4)c13	CHEMBL3656940	pIC50=6.62
CC(C)c1nn(c2ccc(C(=O)N)c(c2)N(O)C3CCCCC3)c4nccc(c14)n5cnc(c5)c6cncnc6	CHEMBL3661102	pIC50=6.62
COC(=O)c1c(O)cc(O)c(Cl)c1CCc2nccn2Cc3ccccc3OC(C)C	CHEMBL3805415	pKd=6.62
Cc1cn(c2ccc(C(=O)N)c(NC3CCC(O)CC3)c2)c4nccc(c14)n5cnc(c5)c6ccccc6	CHEMBL3661111	pIC50=6.62
CN(Cc1nc(oc1C)c2ccc(cc2)c3ccccc3)C4CCOC4	CHEMBL1535899	pIC50=6.63
Cc1cn(c2CC(C)(C)CC(=O)c12)c3ccc(cc3)C(=O)N	CHEMBL3401158	pKi=6.63
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCC(O)CC3)c2)c4nccc(c14)n5cnc(c5)c6cocc6	CHEMBL3661106	pIC50=6.64
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCN(C)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656938	pIC50=6.64
CC(C)c1nn(c2ccc(cc2CN(C)C)C(=O)N)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661134	pIC50=6.64
CC(C)c1nn(c2ccc(cc2CN3CCOCC3)C(=O)N)c4nccc(c14)n5cnc(c5)c6cnn(C)c6	CHEMBL3661135	pIC50=6.64
CCNc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(c5)C(F)F)C(F)(F)F	CHEMBL3653918	pIC50=6.64
CCc1cn(c2ccc(C(=O)N)c(NC3CCCCC3N)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656964	pIC50=6.64
CCn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5N)C(=O)N)C(F)(F)F	CHEMBL3661192	pIC50=6.64
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)[C@H]5CCCN5	CHEMBL1807811	pIC50=6.64
Cc1cc(nc(N)n1)c2ccc3COCc4cccc2c34	CHEMBL1834093	pKd=6.64
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5C#N)C(=O)N)C(F)(F)F	CHEMBL3661177	pIC50=6.64
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cncc(NC(=O)CO)c5	CHEMBL3653867	pIC50=6.64
CC(C)c1nn(c2ccc(cc2C=C)C(=O)N)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661114	pIC50=6.66
CCNc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(CC)c5)C(F)(F)F	CHEMBL3653916	pIC50=6.66
Cc1cc(ccc1c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3653911	pIC50=6.66
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(NCC6CC6)c5	CHEMBL3653893	pIC50=6.66
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cnc6cc(C=O)ccc6c5	CHEMBL3653879	pIC50=6.66
Oc1ccc(N2C(=O)Nc3ccccc23)c(O)c1	CHEMBL1802335	pIC50=6.66
CCN1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc14)C(=O)N	CHEMBL3401149	pKi=6.67
CC(C)(C)Nc1cc(ccc1C(=O)N)c2nccc3c(cccc23)n4cnc(c4)c5cccnc5	CHEMBL3653953	pIC50=6.68
CC(C)Nc1cc(ccc1C(=O)N)c2nc(C)cc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653895	pIC50=6.68
CC(C)c1nn(c2cnc(cc2C)C(=O)N)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661128	pIC50=6.68
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CCNC(=O)c3ccc(cc3)C(F)(F)F	CHEMBL3600507	pIC50=6.68
CCc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661115	pIC50=6.68
CN(C)c1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661167	pIC50=6.68
COCCNc1cc(ccc1C(=O)N)c2nccc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653890	pIC50=6.68
C[C@H]1CCNCCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N1)c4	CHEMBL1760603	pIC50=6.68
Cc1[nH]nc(c2cc(Cl)c(O)cc2O)c1c3ccc4OCCOc4c3	CHEMBL191074	pIC50=6.68
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(F)c5	CHEMBL3653898	pIC50=6.68
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(nc5)C(=O)N	CHEMBL3653910	pIC50=6.68
Cn1cc(cn1)c2cn(cn2)c3cccc4c(nc(nc34)C(F)(F)F)c5ccc(cc5N)C(=O)N	CHEMBL3653903	pIC50=6.68
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5Br)C(=O)N)C(F)(F)F	CHEMBL3661178	pIC50=6.68
CC(C)(C)Nc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cccnc5)C(F)(F)F	CHEMBL3653904	pIC50=6.7
CC(C)Nc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661129	pIC50=6.7
CC(C)c1nn(c2ccc(cc2N)C(=O)N)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661120	pIC50=6.7
CCc1c(N)c(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661142	pIC50=6.7
Cc1c2CCCN3CC[C@H](CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15)C3	CHEMBL1779536	pIC50=6.7
NC(=O)c1ccc(c(NC2CCC2)c1)n3nc(c4c(ccnc34)n5cnc(c5)c6cccnc6)C(F)(F)F	CHEMBL3661190	pIC50=6.7
CC(C)Nc1cc(ccc1C(=O)N)c2nccc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653889	pIC50=6.72
CC(C)Nc1cc(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3661123	pIC50=6.72
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCNCC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656970	pIC50=6.72
CC(C)c1nn(c2ccc(cc2C3CC3)C(=O)N)c4nccc(c14)n5cnc(c5)c6cccnc6	CHEMBL3661146	pIC50=6.72
CC(C)c1nn(c2ccc(cc2NCC(F)F)C(=O)N)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661132	pIC50=6.72
CCCCCN1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc14)C(=O)N	CHEMBL3401154	pKi=6.72
CCNc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F	CHEMBL3653851	pIC50=6.72
CCNc1cc(ccc1C(=O)N)c2nccc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653849	pIC50=6.72
CCNc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cccnc5)C(F)(F)F)C(=O)N	CHEMBL3661188	pIC50=6.72
CCNc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(CC)c5)C(F)(F)F)C(=O)N	CHEMBL3639600	pIC50=6.72
CCc1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c4cnc5ccccc5c4)c3n1	CHEMBL3653946	pIC50=6.72
Cc1cc2c(cccc2c(n1)c3ccc(C(=O)N)c(NCC4CC4)c3)n5cnc(c5)c6cnn(C)c6	CHEMBL3653896	pIC50=6.72
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(cc5N)C(=O)N	CHEMBL3653901	pIC50=6.72
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCCO)C(=O)NC4CCC4	CHEMBL1774914	pKi=6.72
Oc1cc(O)c(cc1Nc2ccc(Cl)cc2Cl)C(=O)N3Cc4ccccc4C3	CHEMBL3260494	pIC50=6.72
Oc1ccc2c(noc2c1)c3cc(Br)c(O)cc3O	CHEMBL361078	pIC50=6.72
Cc1c2CCC(=O)N3CCC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779544	pIC50=6.73
CC(C)[C@H](NC(=O)c1nnn(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3)C(=O)O	CHEMBL3235117	pIC50=6.74
CCNC(=O)c1noc(c1C#CC(C)(C)NC(=O)C2CCCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600387	pIC50=6.74
C[C@H](O)C(=O)N1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@H](C)C1)c4	CHEMBL1807812	pIC50=6.74
CC(C)c1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c4cnc5ccccc5c4)c3n1	CHEMBL3653947	pIC50=6.75
CC(C)c1nn(c2ccc(C(=O)N)c(NCCN3CCCC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656936	pIC50=6.75
CC(C)c1nn(c2ccc(C(=O)N)c(c2)N(C3CCNCC3)C(=O)C)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656971	pIC50=6.75
CCCNc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661131	pIC50=6.75
CCNc1cc(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3661121	pIC50=6.75
CCNc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661130	pIC50=6.75
COc1ccc(cc1)c2c(NC(=O)C3CCCCC3)onc2c4cc(Cl)c(O)cc4O	CHEMBL3342591	pIC50=6.75
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc4CCNC(=O)c4c(c3)C(C)(C)C	CHEMBL3235358	pKi=6.75
NC(=O)c1ccc(cc1N)c2cc(nc3c(cccc23)n4cnc(c4)c5cccnc5)C(F)(F)F	CHEMBL3653906	pIC50=6.75
CC(C)Nc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F	CHEMBL3653892	pIC50=6.77
CC(C)Nc1cc(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cn[nH]c5	CHEMBL3661151	pIC50=6.77
CCNc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cccnc5)C(F)(F)F	CHEMBL3653905	pIC50=6.77
CCNc1cc(ccc1C(=O)N)n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F	CHEMBL3661169	pIC50=6.77
CCc1nn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656926	pIC50=6.77
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCN4CCCC[C@H]14)c(C)c5C(=O)CC(C)(C)Cc35	CHEMBL1779545	pIC50=6.77
Cc1cc2c(cccc2c(n1)c3ccc(C(=O)N)c(N)c3)n4cnc(c4)c5cnn(C)c5	CHEMBL3653899	pIC50=6.77
Cn1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NCCc6ccccn6)c5	CHEMBL3653888	pIC50=6.77
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cnc6ccccc6c5	CHEMBL3653854	pIC50=6.77
CC(C)Nc1cc(ccc1C(=O)N)n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F	CHEMBL3661168	pIC50=6.8
CC(C)c1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5ccc(C)nc5	CHEMBL3653951	pIC50=6.8
CC(C)c1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5cccnc5	CHEMBL3653949	pIC50=6.8
CC(C)c1nn(c2ccc(C(=O)N)c(NCCN3CCCC3)c2)c4nccc(c14)n5cnc(c5)c6cnn(C)c6	CHEMBL3661127	pIC50=6.8
CC(C)c1nn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4cncc(c5cnc6ccccc6c5)c14	CHEMBL3656928	pIC50=6.8
CCNc1c(CC)c(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3661141	pIC50=6.8
CCOC(=O)c1noc2CCN(Cc12)C(=O)c3cc(Cl)c(O)cc3O	CHEMBL3233483	pIC50=6.8
Cc1cc(c2ccc(C(=O)N)c(NC(C)(C)C)c2)c3cccc(c3n1)n4cnc(c4)c5cnn(C)c5	CHEMBL3653924	pIC50=6.8
CC(=O)Nc1cncc(c1)c2cccc3c(nccc23)c4ccc(C(=O)N)c(NC5CCC(O)CC5)c4	CHEMBL3639527	pIC50=6.82
CC(C)c1nn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656929	pIC50=6.82
CC(C)c1nn(c2ccc(cc2C)C(=O)N)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661113	pIC50=6.82
CCNC(=O)c1noc(c1C#CC2CCCCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600497	pIC50=6.82
CCNc1cc(ccc1C(=O)N)c2nc(C)cc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653894	pIC50=6.82
COc1ccc(cc1)c2c(C)n[nH]c2c3cc(Cl)c(O)cc3O	CHEMBL371380	pIC50=6.82
C[C@H]1CN(C)CCCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N1)c4	CHEMBL1760613	pIC50=6.82
Cc1c2CCCN3C[C@H](O)C[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779538	pIC50=6.82
Cc1c2CCNc3cc(C(=O)N)c(Cl)cc3n2c4CC(C)(C)CC(=O)c14	CHEMBL3401147	pKi=6.82
Cc1cc2c(cccc2c(n1)c3ccc(C(=O)N)c(NC4CCC(O)CC4)c3)c5cnc6ccccc6c5	CHEMBL3653855	pIC50=6.82
Cc1nc2ncc(cc2[nH]1)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC6CCC(O)CC6)c5	CHEMBL3653876	pIC50=6.82
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(N)c5	CHEMBL3653897	pIC50=6.82
NC(=O)c1ccc(cc1N[C@@H]2CC[C@@H](O)CC2)n3cc(C=C)c4c(ccnc34)c5cnc6ccccc6c5	CHEMBL3656954	pIC50=6.82
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CN3CCC(CC3)NC(=O)c4ccc(nc4)C(F)(F)F	CHEMBL3600505	pIC50=6.84
C[C@H](N)C(=O)N1CC[C@H](C)Nc2cc(ccc2C(=O)N)n3c(CC1)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1778194	pIC50=6.84
CC(C)Nc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cccnc5)C(F)(F)F)C(=O)N	CHEMBL3661189	pIC50=6.85
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN(C)CCc5ccccc5)cc4	CHEMBL3342726	pIC50=6.85
CC(C)c1nn(c2ccc(C(=O)N)c(c2)N(O)C3CCCCC3)c4nccc(c14)n5cnc(c5C)c6cccnc6	CHEMBL3661103	pIC50=6.85
CC(C)c1nn(c2ccc(cc2C3CC3)C(=O)N)c4nccc(c14)n5cnc(c5)c6cnn(C)c6	CHEMBL3661118	pIC50=6.85
CCNc1cc(ccc1C(=O)N)c2nc(nc3c(cccc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F	CHEMBL3653908	pIC50=6.85
CNc1cncc(c1)c2cccc3c(nccc23)c4ccc(C(=O)N)c(NC5CCC(O)CC5)c4	CHEMBL3653871	pIC50=6.85
COc1ccc(cc1)c2c(NC(=O)C)onc2c3ccc(O)cc3O	CHEMBL3342594	pIC50=6.85
COc1ncc(s1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360316	pIC50=6.85
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCN(CCO)[C@H]1C)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1807794	pIC50=6.85
Cc1c2CCCNC(C)(C)CNc3cc(ccc3C(=O)N)n2c4CC(C)(C)CC(=O)c14	CHEMBL1760601	pIC50=6.85
Cc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661162	pIC50=6.85
Cn1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC(C)(C)C)c5	CHEMBL3653923	pIC50=6.85
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5NC6CCCC6)C(=O)N)C(F)(F)F	CHEMBL3661174	pIC50=6.85
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nc(nc4c(cccc34)c5cnc6ccccc6c5)C7CC7	CHEMBL3653942	pIC50=6.85
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cccnc5	CHEMBL3653862	pIC50=6.85
OC[C@]1(O)C[C@@H](OC(=O)c2ccc(O)cc2)[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](COC(=O)c5ccc(O)cc5)[C@@H](O)[C@H](O)[C@H]4O)[C@H]13	CHEMBL2332366	pKd=6.86
COCCC(=O)N1CCCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@@H]1C)c4	CHEMBL1807802	pIC50=6.88
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCC(O)CC3)c2)c4nccc(c14)n5cnc(c5)n6ccnc6	CHEMBL3661107	pIC50=6.89
CCc1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5ccc(C)nc5	CHEMBL3653950	pIC50=6.89
CCc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cccnc5)C(=O)N	CHEMBL3661144	pIC50=6.89
COC(=O)c1cccc2c1ccn2c3cc(C(=O)N4Cc5ccccc5C4)c(O)cc3O	CHEMBL3260488	pIC50=6.89
Cc1cc(nc(N)n1)c2c(Cl)cccc2OCCCC(F)(F)F	CHEMBL1738804	pKi=6.89
Cc1nn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656925	pIC50=6.89
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(C(=O)N)c(N)c5)C(F)(F)F	CHEMBL3661165	pIC50=6.89
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5Cl)C(=O)N)C(F)(F)F	CHEMBL3661161	pIC50=6.89
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cnc6cc[nH]c6c5	CHEMBL3653875	pIC50=6.89
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)n5cnc(c5)c6ccncc6	CHEMBL3653866	pIC50=6.89
Oc1cc(O)c(cc1C(=O)N2CCc3ccccc3C2)n4ccc5ccccc45	CHEMBL3260478	pIC50=6.89
Oc1cc(O)c(cc1C(=O)N2Cc3ccccc3C2)n4ccc5ncccc45	CHEMBL3260481	pIC50=6.89
CC1(C)CC(=O)c2ccn(c2C1)c3cc(F)c(C(=O)N)c(N[C@H]4CCOC4)c3	CHEMBL3104860	pKi=6.9
CCNC(=O)c1noc(c1C#CC(C)(C)NC(=O)C2CC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600514	pIC50=6.9
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#Cc3ccccc3	CHEMBL3600496	pIC50=6.9
Cc1c2CCCN3CCCC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779532	pIC50=6.9
CC(C)c1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661117	pIC50=6.92
CC(C)n1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC6CCC(O)CC6)c5	CHEMBL3653883	pIC50=6.92
CCCc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661116	pIC50=6.92
CCNC(=O)c1noc(c1C#CC(C)(C)NS(=O)(=O)C)c2cc(C(C)C)c(O)cc2O	CHEMBL3600511	pIC50=6.92
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CC(C)(C)NC(=O)c3ccc(nc3)C(F)(F)F	CHEMBL3600799	pIC50=6.92
CCNc1c(C)c(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3661140	pIC50=6.92
CCc1cc(c2ccc(C(=O)N)c(NC(C)(C)C)c2)c3cccc(c3n1)n4cnc(c4)c5cnn(C)c5	CHEMBL3653930	pIC50=6.92
CCc1cn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656951	pIC50=6.92
COCCOc1cc(Cl)cc(Cl)c1c2nc(N)nc3CN(Cc23)C(=O)NC4CCC4	CHEMBL1774915	pKi=6.92
COc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cccnc5)C(=O)N	CHEMBL3661150	pIC50=6.92
