COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCO)C2=O	CHEMBL2376093	pIC50=7.53
CNC(=O)Nc1ccc(CNc2c(cnn2C)C(=O)Nc3ccc(SC(F)(F)F)cc3)cn1	CHEMBL247797	pIC50=7.82
CSc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CNCCC(=O)c5ccccc5N)cc4	CHEMBL252456	pIC50=7.82
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4ccccc4)cnc3c5ccc[nH]5	CHEMBL594749	pIC50=7.82
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4ccccc4)cnc3c5ccccc5O	CHEMBL595476	pIC50=7.82
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4OC(F)(F)F)c3	CHEMBL226529	pIC50=7.82
NC1(CCC1)c2ccc(cc2)c3nc4c5ccc(cc5nn4cc3c6ccccc6)c7ccn[nH]7	CHEMBL3672554	pIC50=7.82
N[C@H](COc1cncc(c1)c2ccc3cnccc3c2N)Cc4c[nH]c5ccccc45	CHEMBL380196	pIC50=7.82
O=C(CC1=NC(=CC(=O)N1)N2CCOCC2)Nc3cccc4sccc34	CHEMBL3696307	pIC50=7.82
CC(C)Nc1c(c2ccccc2)c(nc3nc(nn13)c4ccccn4)c5ccc(CN6CC(C6)c7n[nH]c(n7)c8cccc(C)n8)cc5	CHEMBL3672082	pIC50=7.85
COC(=O)c1cnn2cc(c(nc12)c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c7c(F)cccc7F	CHEMBL3672029	pIC50=7.85
COc1ccc(cn1)C2=Nc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O	CHEMBL1257177	pIC50=7.85
COc1nn2cc(c(nc2c1CO)c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c7c(F)cccc7F	CHEMBL3672073	pIC50=7.85
C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5cccc(N)c5	CHEMBL3688934	pIC50=7.85
Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N	CHEMBL3699774	pIC50=7.85
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc5OC(F)(F)Oc45)c3	CHEMBL227326	pIC50=7.85
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4)c3	CHEMBL379218	pIC50=7.85
Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4ccc(F)c(F)c4)s3	CHEMBL1080913	pIC50=7.85
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4cccc5OC(F)(F)Oc45)c3	CHEMBL576135	pIC50=7.85
Fc1ccc(NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)cc1C#C	CHEMBL3696296	pIC50=7.85
NC1(CCC1)c2ccc(cc2)c3nc4c5ccc(cc5nn4cc3c6ccccc6)c7ccc(O)nc7	CHEMBL3672530	pIC50=7.85
NC1(CCC1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6	CHEMBL3701748	pIC50=7.85
N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34	CHEMBL383541	pIC50=7.85
Nc1ncccc1c2nc3cccnc3n2c4ccc(NC(=O)c5ccccc5)cc4	CHEMBL2177817	pIC50=7.85
Nc1ncnc2c1cnn2C3CCN(Cc4ccc(cc4)c5nc6ncnc(N)c6cc5c7ccccc7)CC3	CHEMBL253458	pIC50=7.85
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cc(F)cc(c4)C(F)(F)F)c3	CHEMBL375716	pIC50=7.88
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3	CHEMBL1822054	pIC50=7.89
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(F)c4)c3	CHEMBL1773736	pIC50=7.89
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(c4)C(C)(C)C)c3	CHEMBL1773733	pIC50=7.89
CC1CN(C(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)c4ccccc14	CHEMBL3112864	pIC50=7.89
CCn1c(nc2c(nc(OC[C@H](C)N)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1099281	pIC50=7.89
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O	CHEMBL1234354	pIC50=7.89
Cc1c(NCCN2CCCC2)cc(cc1N3CCN(CC3)c4ncnc5[nH]nc(Br)c45)C(=O)Nc6ccccc6	CHEMBL2016887	pIC50=7.89
Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7cccc(F)c7)CC3	CHEMBL3672052	pIC50=7.89
Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)cn6cc5c7ccccc7)C3	CHEMBL3672038	pIC50=7.89
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccncc45)cnc3c6cocc6	CHEMBL593142	pIC50=7.89
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc5OC(F)(F)C(F)(F)Oc5c4)c3	CHEMBL226744	pIC50=7.89
NC(=O)c1cccc(c1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	CHEMBL3672492	pIC50=7.89
NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6	CHEMBL3701729	pIC50=7.89
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4	CHEMBL598194	pIC50=7.89
N[C@H](COc1cncc(c1)c2cc3c(C=C)n[nH]c3cn2)Cc4ccccc4	CHEMBL226382	pIC50=7.89
OCCN1CCN(CC1)c2ccc3nc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL449989	pIC50=7.89
CN1CCC2(CC1)CN(c3ccccc23)c4ncnc5[nH]ccc45	CHEMBL258838	pIC50=7.9
COC(=O)c1ccccc1c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6cccc(c6)N7CCOCC7	CHEMBL3649665	pIC50=7.9
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(Cl)c4)c3	CHEMBL1773731	pIC50=7.92
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(c4)C(F)(F)F)c3	CHEMBL1773728	pIC50=7.92
CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4	CHEMBL2177382	pIC50=7.92
CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6	CHEMBL3701746	pIC50=7.92
CCOCCN(C[C@@H](O)CN1CCCC2(CCN(C2)c3ncnc(N)c3C4CC4)C1)S(=O)(=O)c5c(C)cccc5C	CHEMBL1760764	pIC50=7.92
CCOCCN(C[C@@H](O)CN1CCCC2(CCN(C2)c3ncncc3C4CC4)C1)S(=O)(=O)c5c(C)cccc5C	CHEMBL1760763	pIC50=7.92
CCn1c(nc2c(nc(OCCNC)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1098943	pIC50=7.92
CN1CC(C1)N2CCN(CC2)c3ncc4cc(c5ccccc5)c(nc4n3)c6ccc(CN7CCC(CC7)c8nnc([nH]8)c9ccccn9)cc6	CHEMBL448991	pIC50=7.92
COC(=O)c1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4	CHEMBL3672090	pIC50=7.92
COC(=O)c1cnn2cc(c(nc12)c3ccc(CN4CC(C4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c7c(F)cccc7F	CHEMBL3672028	pIC50=7.92
COc1cc(OC)c2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1	CHEMBL3701740	pIC50=7.92
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN)c4ccc(cc4)C(F)(F)F)c12	CHEMBL2177371	pIC50=7.92
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)c(F)c5)c12	CHEMBL2177362	pIC50=7.92
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCCF)c4ccc(Cl)cc4)c12	CHEMBL2177375	pIC50=7.92
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4COCCN4)c5ccc(Cl)cc5)c12	CHEMBL2177370	pIC50=7.92
C[C@@H]1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3112867	pIC50=7.92
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(F)c(F)c4F)c3	CHEMBL229798	pIC50=7.92
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(cc4F)C(F)(F)F)c3	CHEMBL227323	pIC50=7.92
Cc1n[nH]c2ccc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6	CHEMBL596073	pIC50=7.92
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(F)c(F)c4F)c3	CHEMBL574986	pIC50=7.92
NC(=O)c1cc(Cl)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	CHEMBL3703157	pIC50=7.92
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CS(=O)(=O)N)c4ccc(Cl)cc4	CHEMBL2325733	pIC50=7.92
N[C@H](COc1cc(cnc1Cl)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45	CHEMBL210089	pIC50=7.92
Cc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(Cl)cc4)C3)c12	CHEMBL1170263	pIC50=7.94
Cc1ccccc1c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6cccc(c6)N7CCOCC7	CHEMBL3649666	pIC50=7.94
N[C@H](CNc1ncc(s1)c2ccc3cnc(N)cc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081295	pIC50=7.94
Cc1nc(N)nc2N([C@@H]3CC[C@@H](CC3)OCO)C(=O)C(=Cc12)c4cn[nH]c4	CHEMBL2376092	pIC50=7.95
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6	CHEMBL3701743	pIC50=7.96
CNc1c(c2ccccc2)c(nc3nc(C)cn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4	CHEMBL3672072	pIC50=7.96
CNc1c(c2ccccc2)c(nc3nc(C)nn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4	CHEMBL3672048	pIC50=7.96
COCC1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3699783	pIC50=7.96
C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc4ccc(F)cc4)c12	CHEMBL1632376	pIC50=7.96
Cc1cc(C[C@H](N)COc2cncc(c2)c3ccc4[nH]nc(C)c4c3)ccc1F	CHEMBL427426	pIC50=7.96
Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6ncc(Br)n6cc5c7ccc(F)cc7)CC3	CHEMBL3672063	pIC50=7.96
Cc1cnc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1	CHEMBL3701764	pIC50=7.96
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(Cl)cc4)c3	CHEMBL229800	pIC50=7.96
Fc1ccc2N(CCc2c1F)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3696300	pIC50=7.96
NC(=O)c1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	CHEMBL3699768	pIC50=7.96
NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ncccc6OCn5c4c7ccccc7	CHEMBL3701742	pIC50=7.96
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccc7cn[nH]c7c6	CHEMBL3672497	pIC50=7.96
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccn[nH]6	CHEMBL3672496	pIC50=7.96
[O-][N+](=O)c1ccccc1c2n[nH]cc2\C=C\3/C(=O)Nc4ccccc34	CHEMBL2347053	pIC50=7.96
CC(C)(Cc1cccnc1)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL211690	pIC50=7.98
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(c4cccnc4)c3c2)Cc5c[nH]c6ccccc56	CHEMBL576386	pIC50=7.98
CC(C)(Cc1ccccn1)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL211774	pIC50=7.99
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(c4ccccn4)c3c2)Cc5c[nH]c6ccccc56	CHEMBL573334	pIC50=7.99
CC(C)NCC(Cc1ccc(F)c(F)c1)C(=O)N2CCN(CC2)c3ncnc4CS[C@@H](C)c34	CHEMBL1632383	pIC50=8.0
CC(C)NCC(Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34	CHEMBL470596	pIC50=8.0
CC(C)n1cc(C(=O)c2cncc(N[C@@H]3CNC[C@@H]3c4ccc(F)cc4)n2)c5c(N)ncnc15	CHEMBL1940249	pKi=8.0
CCOCCN(C[C@@H](O)CN1CCCC2(CCc3cc4C(=O)NCc4cc3O2)C1)S(=O)(=O)c5c(C)cccc5C	CHEMBL1761089	pIC50=8.0
CCn1c(nc2c(ncc(OCC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F	CHEMBL1794065	pIC50=8.0
CN(C)CC1CN(C(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)c4ccccc14	CHEMBL3699780	pIC50=8.0
CN(C)CCN1CCN(CC1)c2ccc3nc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL499554	pIC50=8.0
CN(C)CCN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL443661	pIC50=8.0
CN1CCN(Cc2nnc3c4cc(c5ccccc5)c(nc4ccn23)c6ccc(CN7CCC(CC7)c8n[nH]c(n8)c9ccccn9)cc6)CC1	CHEMBL446779	pIC50=8.0
COC(=O)\C=C\c1ccc2nn3cc(c4ccccc4)c(nc3c2c1)c5ccc(cc5)C6(N)CCC6	CHEMBL3672558	pIC50=8.0
COC(=O)c1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672091	pIC50=8.0
COCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	CHEMBL2325740	pIC50=8.0
COc1nn2cc(c(nc2c1CO)c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c7c(F)cccc7F	CHEMBL3672076	pIC50=8.0
Cc1cc([nH]n1)c2ccc3c(c2)nn4cc(c5ccccc5)c(nc34)c6ccc(cc6)C7(N)CCC7	CHEMBL3672555	pIC50=8.0
Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)nn6c(C)c5c7ccccc7)C3	CHEMBL3672046	pIC50=8.0
Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8)C3	CHEMBL3672041	pIC50=8.0
Cc1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672067	pIC50=8.0
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5cccnc45)cnc3c6cocc6	CHEMBL605838	pIC50=8.0
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4ccccc4)cnc3c5cc(F)ccc5O	CHEMBL594517	pIC50=8.0
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4ccccc4)cnc3c5cocc5	CHEMBL595709	pIC50=8.0
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(Br)cc4F)c3	CHEMBL227366	pIC50=8.0
Cc1n[nH]c2ncc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c(nc3c6cocc6)C#N	CHEMBL606467	pIC50=8.0
Cc1oc(CC(C)(C)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc1C	CHEMBL211065	pIC50=8.0
Cc1oc(cc1C)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL577797	pIC50=8.0
Fc1ccc(NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)cc1I	CHEMBL3696287	pIC50=8.0
NC1(CC(F)(F)C1)c2ccc(cc2)c3nc4C=CC(=N)N(C(=N)c5ccccc5)c4cc3c6ccccc6	CHEMBL3679631	pIC50=8.0
NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6	CHEMBL1079175	pIC50=8.0
NC1(CCC1)c2ccc(cc2)c3nc4c5cc(ccc5nn4cc3c6ccccc6)c7ccc(F)c(CO)c7	CHEMBL3672541	pIC50=8.0
NC1(CCC1)c2ccc(cc2)c3nc4c5cc(ccc5nn4cc3c6ccccc6)c7ccn[nH]7	CHEMBL3672556	pIC50=8.0
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccsc6	CHEMBL3701722	pIC50=8.01
CSc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)C(=O)Nc6ccncc6)cc4	CHEMBL252856	pIC50=8.01
N[C@H](CNc1cncc(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34	CHEMBL203624	pIC50=8.01
N[C@H](COc1cncc(c1)c2ccc3[nH]nc(c4nccs4)c3c2)Cc5c[nH]c6ccccc56	CHEMBL574995	pIC50=8.01
CSc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6nnc([nH]6)c7ccccn7)cc4	CHEMBL254099	pIC50=8.03
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccccc4F)c3	CHEMBL1773735	pIC50=8.05
CC(C)COc1cc(NCCN2CCCC2)c(C)c(c1)N3CCN(CC3)c4ncnc5[nH]nc(Br)c45	CHEMBL2016886	pIC50=8.05
CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4	CHEMBL2325987	pIC50=8.05
CCOCCN(C[C@@H](O)CN1CCCC2(CCc3c(O2)ccc4[nH]ncc34)C1)S(=O)(=O)c5c(C)cccc5C	CHEMBL1761090	pIC50=8.05
CCn1c(nc2c(ncc(OCCCCN)c12)C#CC(C)(C)O)c3nonc3N	CHEMBL493269	pIC50=8.05
CN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL504251	pIC50=8.05
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCCCC4)c5ccc(Cl)cc5)c12	CHEMBL2177364	pIC50=8.05
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]4CCCCN4)c5ccc(Cl)cc5)c12	CHEMBL2177369	pIC50=8.05
Cc1cccc(C)c1S(=O)(=O)N2CCC[C@H]2[C@@H](O)CN3CCC[C@@]4(CCN(C4)c5ncnc(N)c5C6CC6)C3	CHEMBL1760765	pIC50=8.05
Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nccn6cc5c7ccc(F)cc7)CC3	CHEMBL3672060	pIC50=8.05
Cc1ccccc1S(=O)(=O)NC[C@@H](O)CN2CCC[C@@]3(CCN(C3)c4ncnc(N)c4C5CC5)C2	CHEMBL1760769	pIC50=8.05
Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4)s3	CHEMBL1080740	pIC50=8.05
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccc(F)c(CO)c6	CHEMBL3672490	pIC50=8.05
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6cn[nH]c6	CHEMBL3672493	pIC50=8.05
Nc1ncnc(N2CC[C@@]3(CCCN(C[C@H](O)CNS(=O)(=O)c4ccccc4Cl)C3)C2)c1C5CC5	CHEMBL1760771	pIC50=8.05
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4)c3	CHEMBL1773732	pIC50=8.06
Nc1ncccc1c2nc3ccc(Nc4ccc(cc4)N5CCOCC5)nc3n2c6ccc(cc6)C7(N)CCC7	CHEMBL3640749	pIC50=8.06
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(CO)cc5OCn4c3c6ccccc6	CHEMBL3701759	pIC50=8.07
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(F)cc5OCn4c3c6ccccc6	CHEMBL3701725	pIC50=8.07
CSc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6nnc(N)s6)cc4	CHEMBL403356	pIC50=8.07
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(F)c4F)c3	CHEMBL438483	pIC50=8.07
NC(=O)Nc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL509747	pIC50=8.07
N[C@H](CNc1ncc(s1)c2ccc3[nH]ncc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081829	pIC50=8.07
Cc1n[nH]c2ccc(cc12)c3cncc(NC[C@@H](N)Cc4ccccc4)c3	CHEMBL207338	pKi=8.08
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(F)c4)c3	CHEMBL229314	pIC50=8.08
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc5ccccc45)c3	CHEMBL210349	pKi=8.08
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(F)c4)c3	CHEMBL573592	pIC50=8.08
N[C@H](COc1cncc(c1)c2cc3c(n[nH]c3cn2)c4ccccc4)Cc5ccccc5	CHEMBL226383	pIC50=8.08
CC(=N)N1C(=N)C=Cc2nc(c3ccc(cc3)C4(N)CCC4)c(cc12)c5ccccc5	CHEMBL3679630	pIC50=8.09
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCC(=O)N)C2=O	CHEMBL2375963	pIC50=8.09
Cn1cccc1C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL583705	pIC50=8.09
Cn1cccc1CC(C)(C)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL379963	pIC50=8.09
NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(Cl)cccc6OCn5c4c7ccccc7	CHEMBL3701737	pIC50=8.09
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccccc4C(F)(F)F)c3	CHEMBL1773606	pIC50=8.1
CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	CHEMBL2325997	pIC50=8.1
CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6	CHEMBL3701757	pIC50=8.1
CCn1c(nc2c(nc(OC[C@@H](C)N)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1098944	pIC50=8.1
CCn1c(nc2c(ncc(OC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F	CHEMBL1794066	pIC50=8.1
CCn1c(nc2c(ncc(OCC3CCNC3)c12)C#CC(C)(C)O)c4nonc4N	CHEMBL494088	pIC50=8.1
COCCNC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4	CHEMBL2177377	pIC50=8.1
COc1nn2cc(c(nc2c1CO)c3ccc(CN4CC(C4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c7c(F)cccc7F	CHEMBL3672074	pIC50=8.1
C[C@@H]1CN(CCN1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL503980	pIC50=8.1
Cc1c(NCCN2CCCC2)cc(COCC(F)(F)F)cc1N3CCN(CC3)c4ncnc5[nH]nc(Br)c45	CHEMBL2016888	pIC50=8.1
Cc1cc(F)ccc1S(=O)(=O)NC[C@@H](O)CN2CCC[C@@]3(CCN(C3)c4ncnc(N)c4C5CC5)C2	CHEMBL1760773	pIC50=8.1
Cc1cc(sc1c2ccnc3[nH]ccc23)C(=O)NC(CN)c4ccccc4	CHEMBL469781	pIC50=8.1
Cc1n[nH]c2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ncccc45)cnc3c6cocc6	CHEMBL594310	pIC50=8.1
Fc1ccc(cc1)c2cn3ccnc3nc2c4ccc(CN5CCC(CC5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672061	pIC50=8.1
NCCC(NC(=O)c1cc(Br)c(s1)c2ccnc3[nH]ccc23)c4ccccc4	CHEMBL469802	pIC50=8.1
N[C@H](CNc1ncc(s1)c2ccc3NC(=O)Oc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081852	pIC50=8.1
N[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ccnc4[nH]ccc34	CHEMBL1258331	pIC50=8.1
Nc1ncccc1c2nc3cc(cnc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6cccnc6	CHEMBL2177831	pIC50=8.1
COc1ccc(F)cc1C[C@H](N)COc2cncc(c2)c3ccc4[nH]nc(C)c4c3	CHEMBL226577	pIC50=8.11
NC(Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc(N)c3Br	CHEMBL3127379	pIC50=8.11
