CS(=O)(=O)N1C=C2CN(CC2=N1)[C@H]1CO[C@@H]([C@@H](N)C1)C1=C(F)C=CC(F)=C1	omarigliptin	pKi=9.09691048	pKi=9.09691048	pKi=9.09691048	pIC50=8.59
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC(F)=CC=C2C#N)C1=O	trelagliptin	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.4
[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	teneligliptin	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43
CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	anagliptin	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42
N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCC2=C(N=C(N=C2C1)C(F)(F)F)C(F)(F)F	gemigliptin	pIC50=7.79587984	pIC50=7.79587984	pIC50=7.79587984
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1	sitagliptin	pKi=7.774	pKi=7.774	pKi=7.774	pIC50=6.96
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	vildagliptin	pKi=8.52	pKi=8.52	pKi=8.52	pIC50=6.92
[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	saxagliptin	pKi=9.22	pKi=9.22	pKi=9.22	pIC50=7.3
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	linagliptin	pIC50=10.0	pIC50=10.0	pIC50=10.0	pIC50=8.7
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	alogliptin	pIC50=9.0	pIC50=9.0	pIC50=9.0	pIC50=7.62
CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL395184	pKi=6.0
N[C@@H]([C@@H]1CC[C@H](C1)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3CCCC3	CHEMBL168866	pIC50=6.77
OB(O)[C@@H]1CCCN1C(=S)CNCc2ccccc2	CHEMBL3686742	pIC50=6.77
COc1cc(cc(OC)c1OC)N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O.OC(=O)C(=O)O	CHEMBL1202085	pIC50=6.78
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(cc4)C#N	CHEMBL479380	pIC50=6.78
N[C@@H](CC(=O)N1CCNC[C@H]1Cc2ccc(F)cc2)Cc3ccccc3F	CHEMBL184902	pIC50=6.78
N[C@@H](Cc1ccc(cc1)c2cccc(c2)C(=O)O)C(=O)N3CCSC3	CHEMBL199315	pKi=6.78
Cc1nc2cc(nn2c(c1CN)c3ccc(Cl)cc3Cl)c4cccc(Cl)c4	CHEMBL1209680	pKi=6.79
NC(CC(=O)N1CSC[C@H]1C(=O)NCc2ccc(CC(=O)O)cc2)Cc3ccccc3.OC(=O)C(F)(F)F	CHEMBL451492	pIC50=6.79
O=C(CNC1(CCC1)c2ccccc2)N3[C@H](CC[C@H]3C#N)C#N	CHEMBL208673	pIC50=6.79
O=C(CNCCNc1ncccn1)N2CCC[C@H]2C#N	CHEMBL329909	pIC50=6.79
CC(=O)c1ccc(cc1)c2cc(ncn2)N3C[C@H](N)[C@H](C3)c4cc(F)c(F)cc4F	CHEMBL391837	pIC50=6.8
CC(C)(CC(=O)N1CCCCCC1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL1085598	pIC50=6.8
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(NC(=O)C)cc2.OC(=O)C(F)(F)F	CHEMBL245970	pIC50=6.8
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)N(C)C(=O)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL245969	pIC50=6.8
COCCN1Cc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)c2C1=O	CHEMBL2441836	pKi=6.8
COCCc1nc2CN(CCc2c(n1)C(F)(F)F)C(=O)C[C@H](N)CN3[C@H](O)C(F)(F)CCC3=O	CHEMBL3644791	pIC50=6.8
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(Br)cc3Cl	CHEMBL374703	pIC50=6.8
C[C@H]1N(CNC1=O)C(=O)C[C@H](N)Cc2cc(F)ccc2F	CHEMBL384816	pIC50=6.8
Cc1c2CN(CCc2nn1c3ccc(F)cc3)C(=O)C[C@H](N)Cc4cc(F)ccc4F	CHEMBL196114	pIC50=6.8
Cc1ccccc1C[C@@H](N)CC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL3330051	pIC50=6.8
Cc1nc2ccc(c(CN)c2n1C)c3ccccc3Cl	CHEMBL257636	pIC50=6.8
Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4F)c5cc(ccc15)C(=O)O	CHEMBL2147060	pIC50=6.8
Cn1cc(nc1C2(CCS(=O)(=O)CC2)NC(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)c4ccccc4	CHEMBL2206486	pIC50=6.8
NC[C@H]1CN(CCc2ccncc2)C(=O)C[C@@H]1c3cc(F)c(F)cc3F	CHEMBL3236122	pIC50=6.8
N[C@@H](CC(=O)N1CCc2c(C1)[nH]nc2C3CC3)Cc4cc(F)ccc4F	CHEMBL425905	pIC50=6.8
N[C@@H](CC(=O)N1CCc2n[nH]c(c2C1)C(F)(F)C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL370269	pIC50=6.8
N[C@@H](Cc1ccc(cc1)c2ccc(cc2)C#N)C(=O)N3CCSC3	CHEMBL199735	pKi=6.8
N[C@H](CN1C(O)C(F)CCC1=O)CC(=O)N2CCc3c(C2)nc(nc3C(F)(F)F)c4cccs4	CHEMBL3644798	pIC50=6.8
OB(O)[C@@H]1CCCN1C(=S)CNC23CC4CC(CC(O)(C4)C2)C3	CHEMBL3686740	pIC50=6.8
CC(C)([C@H](N)C(=O)N1C[C@@H](F)C[C@H]1C#N)S(=O)(=O)O	CHEMBL199891	pKi=6.81
CN1C(=O)CN2C(=O)c3c(N=C12)nc(N4CCC[C@@H](N)C4)n3Cc5cc(F)ccc5F	CHEMBL3687979	pIC50=6.81
Cc1ccn2nc3CN(Cc3c2n1)[C@H]4CC[C@@H]([C@@H](N)C4)c5cc(F)c(F)cc5F	CHEMBL3806239	pIC50=6.81
N[C@@H](CC(=O)N1CCNC[C@H]1Cc2cccnc2)Cc3ccccc3F	CHEMBL184808	pIC50=6.81
O=C(N[C@@H]1CN[C@@H](C1)C(=O)N2CCSC2)Nc3ccccc3	CHEMBL376562	pIC50=6.81
CC(C)c1nsc(n1)N2CCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL402645	pIC50=6.82
CC1(C)CC(CC(C)(C)C1)[C@H](N)C(=O)N2CC[C@@H]3C[C@H]23	CHEMBL238232	pKi=6.82
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)[C@@H]2CC[C@@H](CC2)c3ccc(F)cc3	CHEMBL237972	pIC50=6.82
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)N(C)C(=O)C.OC(=O)C(F)(F)F	CHEMBL246168	pIC50=6.82
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)S(=O)(=O)c3ccc(F)cc3F	CHEMBL1682983	pIC50=6.82
CS(=O)(=O)c1ccccc1S(=O)(=O)N[C@H]2CC[C@@H](C2)[C@H](N)C(=O)N3CCCC3	CHEMBL355248	pIC50=6.82
C[C@@H]1N(CCCNC1=O)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL217005	pIC50=6.82
C[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)C2CCC(CC2)c3cccnc3	CHEMBL237151	pIC50=6.82
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cc(F)ccc3F.OC(=O)C(F)(F)F	CHEMBL278729	pIC50=6.82
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cccc(NS(=O)(=O)C)c3.OC(=O)C(F)(F)F	CHEMBL263326	pIC50=6.82
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccccc3C.OC(=O)C(F)(F)F	CHEMBL372472	pIC50=6.82
Cc1csc(n1)N2CCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL273206	pIC50=6.82
Cl.CN1C=Nc2cc(N3CCC[C@@](C)(N)C3)n(Cc4ccccc4C#N)c2C1=O	CHEMBL1287902	pIC50=6.82
Cl.COc1cccc(Cn2c(nc3c4cc(ccc4N(C)C(=O)c23)C(=O)O)N5CCC[C@@H](N)C5)c1	CHEMBL2147062	pIC50=6.82
Cl.N[C@@H](CC(=O)N1CCCN(CC1)C(=O)c2ccc(nc2)C(=O)O)Cc3cc(F)c(F)cc3F	CHEMBL474813	pIC50=6.82
Cl.N[C@@]1(C[C@@H]2SC[C@@H](C#N)N2C1=O)c3ccc(F)cc3	CHEMBL552403	pIC50=6.82
Cn1c2CCN(Cc2nc1C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)ccc3F	CHEMBL251205	pIC50=6.82
Cn1nc2CCN(Cc2c1C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)ccc3F	CHEMBL191805	pIC50=6.82
Cn1nc2CCN(Cc2c1c3ccc(F)cc3)C(=O)C[C@H](N)Cc4cc(F)ccc4F	CHEMBL197301	pIC50=6.82
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(C#N)c(Cl)c4	CHEMBL481290	pIC50=6.82
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(cc4F)C#N	CHEMBL479381	pIC50=6.82
N[C@@H](CC(=O)N1CCc2nn(CC(F)(F)F)c(c2C1)C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL194979	pIC50=6.82
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3c(F)ccc(F)c3F	CHEMBL394833	pIC50=6.82
N[C@H]1CN(C[C@@H]1N2CCCC2=O)c3cc(ncn3)N4CCc5nocc5C4	CHEMBL1683561	pIC50=6.82
N[C@H]1CN(C[C@H]1c2ccccc2)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)C5CC5	CHEMBL237568	pIC50=6.82
COc1ccc(NC(=O)O[C@@]23C[C@@H]4C[C@@H](C[C@](C4)(C2)NCC(=O)N5CCC[C@H]5C#N)C3)cc1	CHEMBL3084824	pIC50=6.83
Cc1cc2ncc(N3C[C@H](CN)[C@H](CC3=O)c4ccc(Cl)cc4Cl)c(C)n2n1	CHEMBL3236128	pIC50=6.83
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(cn4)C#N	CHEMBL519265	pIC50=6.83
N[C@@H](CC(=O)N1CC(=O)Nc2cccnc2C1)[C@H]3CCc4cc(F)c(F)cc34	CHEMBL3580777	pIC50=6.83
O=C([C@@H]1C[C@@H](CN1)Nc2ccccc2)N3CCSC3	CHEMBL223114	pIC50=6.83
CC(C)(CC(=O)NCCc1ccccc1)NCC(=O)N2CCC[C@H]2C#N	CHEMBL274770	pIC50=6.84
Clc1cc2CN(Cc2cc1Cl)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL377776	pIC50=6.84
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4nccs4	CHEMBL479983	pIC50=6.84
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3ccccc3Cl	CHEMBL388431	pIC50=6.84
N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)N3CCC[C@H]3C#N	CHEMBL200347	pIC50=6.84
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3cccnc3.OC(=O)C(F)(F)F	CHEMBL230341	pIC50=6.84
C=C[C@@H]1CC[C@H](N1)C(=O)N2CCC[C@H]2C#N	CHEMBL210485	pKi=6.85
CC(C)(C)[C@H](N)C(=O)N(CC#N)C1CCC1	CHEMBL382666	pKi=6.85
CCC(NC(=O)C[C@H](N)C(=O)N1CCC[C@H]1C#N)c2ccccc2	CHEMBL189258	pIC50=6.85
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)CCC(=O)O	CHEMBL1683103	pIC50=6.85
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)c3c(C)onc3C	CHEMBL1683108	pIC50=6.85
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)c3cccnc3	CHEMBL1683104	pIC50=6.85
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)c3ccn(C)n3	CHEMBL1683109	pIC50=6.85
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)S(=O)(=O)c3ccc(N)cc3	CHEMBL1682979	pIC50=6.85
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)S(=O)(=O)c3ccccc3	CHEMBL1682975	pIC50=6.85
COc1cc2CCN3CC(C(N)CC3c2cc1OC)N4CCCC[S+]4[O-]	CHEMBL589598	pIC50=6.85
COc1cc2CCN3CC(C(N)CC3c2cc1OC)N4CCCOC4=O	CHEMBL600045	pIC50=6.85
C[C@@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C1)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL230495	pIC50=6.85
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cccc(c3)S(=O)(=O)N.OC(=O)C(F)(F)F	CHEMBL366031	pIC50=6.85
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cccc(c3)c4noc(n4)C5CC5.OC(=O)C(F)(F)F	CHEMBL370033	pIC50=6.85
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cccc(c3)n4cnnn4.OC(=O)C(F)(F)F	CHEMBL195739	pIC50=6.85
C[C@H]1N(CC(C)(C)CNC1=O)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL394594	pIC50=6.85
Cc1ccc(cc1)S(=O)(=O)NC[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F	CHEMBL3357780	pIC50=6.85
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc3ccccc3)Cc4cc(F)c(F)cc4F	CHEMBL539350	pIC50=6.85
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(cc4C#N)C(F)(F)F	CHEMBL480781	pIC50=6.85
NC1CN(CC1c2ccc(Cl)cc2Cl)c3nccc(n3)c4ccccc4	CHEMBL392431	pKi=6.85
N[C@@H](CC(=O)N1CCCNC(=O)C1)Cc2cc(F)c(F)cc2F	CHEMBL216643	pIC50=6.85
N[C@@H](CC(=O)N1CCNC[C@H]1Cc2cscn2)Cc3ccccc3F	CHEMBL185482	pIC50=6.85
N[C@@H](CC(=O)N1CCc2[nH]c(nc2C1)C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL402496	pIC50=6.85
N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C3(CCCC3)C(O)CO	CHEMBL3350929	pKi=6.85
N[C@H]1CN(C(=O)Nc2ccccc2)C(=O)C[C@@H]1c3cc(F)c(F)cc3F	CHEMBL221557	pKi=6.85
N[C@H]1CN(C[C@H]1c2ccc(F)cc2)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)C5CC5	CHEMBL236507	pIC50=6.85
N[C@H]1C[C@@H](CCC1c2cc(F)c(F)cc2F)N3CCn4c(C3)nnc4C(F)(F)F	CHEMBL232191	pIC50=6.85
N[C@H]1C[C@H](CO[C@@H]1c2cc(F)c(F)cc2F)n3cc4cnc(nc4c3)C5CC5	CHEMBL2425062	pIC50=6.85
O=C(CNCCNc1ccc(cn1)C#N)N2N=CCC2C#N	CHEMBL184651	pIC50=6.85
CC#CCN1C(=O)c2c(ccn2Cc3ccc4cc(Br)ccc4n3)N=C1N5CCC[C@@H](N)C5	CHEMBL2346927	pIC50=6.86
COC(=O)c1nc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)n2n1	CHEMBL1209683	pKi=6.86
C[C@H]1N(CC[C@H](NC1=O)C(F)(F)F)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL230603	pIC50=6.86
NC[C@H]1CN(C(=O)C[C@@H]1c2ccc(Cl)cc2Cl)c3ccc4nc(nn4n3)C(F)(F)F	CHEMBL3236130	pIC50=6.86
N[C@@H](CC(=O)N1CCNC[C@H]1Cc2ccccc2)Cc3ccccc3F	CHEMBL175872	pIC50=6.86
CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(Cc3ccccc3)C2)C(=O)C[C@H](N)Cc4ccccc4)c1	CHEMBL184040	pIC50=6.87
FC1(F)CN(C1)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4ncccn4	CHEMBL514935	pIC50=6.87
NC[C@H]1CN(C(=O)C[C@@H]1c2ccc(Cl)cc2Cl)c3ccc4nnc(n4n3)C(F)(F)F	CHEMBL3236129	pIC50=6.87
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cccc(F)c3	CHEMBL232262	pIC50=6.87
OC(=O)C(=O)O.Fc1ccccc1N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O	CHEMBL1202084	pIC50=6.87
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc4nccn4c3.OC(=O)C(F)(F)F	CHEMBL378673	pIC50=6.88
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc3ccccc3F)Cc4cc(F)c(F)cc4F	CHEMBL540888	pIC50=6.88
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc3ccccn3)Cc4cc(F)c(F)cc4F	CHEMBL557176	pIC50=6.88
O=C(CCNCC(=O)N1CCC[C@H]1C#N)N2Cc3ccccc3C2	CHEMBL381530	pIC50=6.88
O=C(CNC1Cc2ccccc2C1)N3CCC[C@H]3C#N	CHEMBL328994	pIC50=6.88
CC(C)C(=O)N(C)[C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F	CHEMBL1683100	pIC50=6.89
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)[C@@H]2CC[C@@H](CC2)c3ccc4ncnn4c3	CHEMBL238191	pIC50=6.89
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)[C@@H]2CC[C@H](CC2)c3ccc4ncnn4c3	CHEMBL437557	pIC50=6.89
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)S(=O)(=O)c3ccc(cc3)c4ocnc4	CHEMBL1682984	pIC50=6.89
CN1C(=O)N(C)c2nc(N)c(CN)c(c3ccc(Br)cc3)c2C1=O	CHEMBL2159177	pIC50=6.89
COc1ccc(cc1)c2ccc(cc2)[C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3.OC(=O)C(F)(F)F	CHEMBL195443	pIC50=6.89
CS(=O)(=O)N1CCC(CC1)[C@H](N)Cc2cc(F)ccc2F	CHEMBL1683130	pIC50=6.89
CS(=O)(=O)c1ccc(cc1)S(=O)(=O)N[C@H]2CC[C@@H](C2)[C@H](N)C(=O)N3CCCC3	CHEMBL168986	pIC50=6.89
CS(=O)(=O)c1ccc(cc1)c2nc3CCN(Cc3s2)C(=O)C[C@H](N)Cc4cc(F)ccc4F	CHEMBL372078	pIC50=6.89
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccccc3C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL425375	pIC50=6.89
Cl.N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3ccc(F)c(F)c3	CHEMBL558196	pIC50=6.89
Cn1c2CN(CCc2nc1C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)ccc3F	CHEMBL251404	pIC50=6.89
Cn1nc(c2CN(CCc12)C(=O)C[C@H](N)Cc3cc(F)ccc3F)C(F)(F)F	CHEMBL195721	pIC50=6.89
Cn1nc2CN(CCc2c1C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)ccc3F	CHEMBL371521	pIC50=6.89
FC1(F)CCN(C1)C(=O)[C@@H]2C[C@@H](CN2)C(=O)N3Cc4ccccc4C3	CHEMBL427219	pIC50=6.89
N[C@@H](CC(=O)N1CCc2[nH]c(nc2C1)c3ccccc3)Cc4cc(F)ccc4F	CHEMBL248997	pIC50=6.89
N[C@@H](CC(=O)N1CCc2noc(c2C1)C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL363606	pIC50=6.89
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3ccc(F)c(F)c3	CHEMBL242813	pIC50=6.89
N[C@@H](CC(=O)N1[C@@H](C[C@@H]2CCC[C@H]12)C#N)Cc3cccc(F)c3	CHEMBL3330065	pIC50=6.89
N[C@@H](CC(=O)NC1(CCS(=O)(=O)CC1)c2nc3c(Cl)cccc3s2)Cc4ccccc4F	CHEMBL469521	pIC50=6.89
N[C@@H](CCN1CCC[C@H]1c2cn(nn2)c3ccccc3)Cc4ccccc4F	CHEMBL566854	pIC50=6.89
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3cnc4cccnc4n3.OC(=O)C(F)(F)F	CHEMBL231194	pIC50=6.89
N[C@H]1CN(C[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4ccc(cc4)C#N	CHEMBL236922	pIC50=6.89
OB(O)[C@@H]1CCCN1C(=O)CNC2CC2	CHEMBL381200	pIC50=6.89
CC(C)(C)c1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1	CHEMBL3093909	pIC50=6.9
COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)c(OC)c1OC	CHEMBL217059	pIC50=6.9
C[C@H]1N(CC[C@@H](Cc2ccccc2F)NC1=O)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL439394	pIC50=6.9
NC[C@H]1CN(C(=O)C[C@@H]1c2cc(F)c(F)cc2F)c3ccc4nnc(n4n3)C(F)(F)F	CHEMBL3236124	pIC50=6.9
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccncc3.OC(=O)C(F)(F)F	CHEMBL390194	pIC50=6.9
N[C@H]1C[C@H](CO[C@@H]1c2cc(F)ccc2F)N3Cc4ccccc4O3	CHEMBL2425067	pIC50=6.9
O=C([C@@H]1C[C@@H](CN1)N2CCCC2)N3CCSC3	CHEMBL241673	pIC50=6.9
CC#CCn1c(nc2N=C3N(C)C(=O)CN3C(=O)c12)N4CCC[C@@H](N)C4	CHEMBL3687980	pIC50=6.91
CC(C)(C)CC(C)(C)NCC(=O)N1CCC[C@H]1C#N	CHEMBL94630	pIC50=6.91
CCCOCC1(CCCC1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL208657	pIC50=6.91
COc1cccc(CN2CC3CN(CCN3C2=O)C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)c1.OC(=O)\C=C\C(=O)O	CHEMBL1275853	pIC50=6.91
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(cc3)S(=O)(=O)C	CHEMBL374936	pIC50=6.91
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(cc3)S(=O)(=O)C.OC(=O)C(F)(F)F	CHEMBL403415	pIC50=6.91
Cc1nnc2ccc(nn12)N3C[C@H](CN)[C@H](CC3=O)c4cc(F)ccc4F	CHEMBL3236118	pIC50=6.91
Cl.CCOCCCN1C(=O)N(C)C(=O)c2c1cc(N3CCC[C@@](C)(N)C3)n2Cc4cc(F)ccc4Cl	CHEMBL1287845	pIC50=6.91
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1CC(F)(F)F)Cc3cc(F)c(F)cc3F	CHEMBL536999	pIC50=6.91
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccc(cn4)C(F)(F)F	CHEMBL480324	pIC50=6.91
N[C@@H](CC(=O)N1CCN(CC1)C(=O)c2ccccc2)C(=O)N3CCC[C@H]3C#N	CHEMBL190029	pIC50=6.91
CC(C)(NC(=O)CCNCC(=O)N1CCC[C@H]1C#N)c2ccccc2	CHEMBL201158	pIC50=6.92
CC(C)NC(=O)N1C[C@H]2C[C@H](C[C@H]2C1)NCC(=O)N3CCC[C@H]3C#N	CHEMBL1085522	pIC50=6.92
CCOC(=O)NC1=C(F)C(=O)N(C)C=C1c2ccc(cc2)[C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3.OC(=O)C(F)(F)F	CHEMBL438265	pIC50=6.92
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)[C@@H]2CC[C@H](CC2)C3CCc4ncnn4C3	CHEMBL235199	pIC50=6.92
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)C	CHEMBL1683098	pIC50=6.92
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)c3csnn3	CHEMBL1683105	pIC50=6.92
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)c3oncc3	CHEMBL1683106	pIC50=6.92
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(OCC(C)(C)CN)n3CC=C(C)C	CHEMBL2408638	pIC50=6.92
COc1ccc(cc1)c2cc(ncn2)N3C[C@H](N)[C@H](C3)c4cc(F)c(F)cc4F	CHEMBL391251	pIC50=6.92
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccccc3.OC(=O)C(F)(F)F	CHEMBL191933	pIC50=6.92
Cc1cc2ncc(N3C[C@H](CN)[C@H](CC3=O)c4cc(F)c(F)cc4F)c(C)n2n1	CHEMBL3236123	pIC50=6.92
Cl.O=C(Nc1ccccc1)O[C@@H]2C[C@H]3C[C@@H](C[C@H]3C2)NCC(=O)N4CCC[C@H]4C#N	CHEMBL1082345	pIC50=6.92
NC[C@H]1CN(CCc2ccccc2)C(=O)C[C@@H]1c3cc(F)ccc3F	CHEMBL3236115	pIC50=6.92
N[C@@H](CC(=O)N1CCSC1)Cc2cc(F)c(F)cc2F	CHEMBL363319	pIC50=6.92
