CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=5.92	pKd=5.92	pKd=5.92
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.7	pKd=9.7	pKd=9.7	pIC50=8.4
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5c(Cl)cccc5Cl	CHEMBL230686	pKi=7.53
CN(C\C=C\c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C)Cc5ccccc5	CHEMBL26214	pIC50=8.0
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4c(Cl)cccc4Cl)cn3)cc2	CHEMBL541726	pIC50=8.0
CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(c5c(Cl)cccc5Cl)c6nc7ccccc7n6c4n3)cc2	CHEMBL406661	pIC50=8.0
CN1CCN(CC1)c2ccc(Nc3nccc(n3)N(C(=O)Oc4c(C)cccc4C)c5ccc6ccccc6c5)cc2	CHEMBL377481	pIC50=8.0
CN1CCN(CC1CNc2nccc(n2)n3cnc4ccccc34)C(=O)c5ccc6ccccc6c5	CHEMBL567241	pIC50=8.0
CNc1ncc2cc(ccc2n1)c3cccc(c3)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL386842	pIC50=8.0
COC1CCN(CC1)C(=O)c2ccc(Nc3nc(C)cn4c(cnc34)c5cn[nH]c5)cc2Cl	CHEMBL1836813	pIC50=8.0
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)cc(OC)c1OCCN7CCOCC7	CHEMBL406804	pIC50=8.0
COc1cc2nc(Nc3c(C)cccc3Cl)c4cnc(C=O)n4c2cc1OC	CHEMBL85886	pIC50=8.0
COc1cc2nccc(Oc3ccc(NC(=O)C4=C(C)N(C)N(C4=O)c5ccccc5)cc3F)c2cc1OC	CHEMBL2031893	pIC50=8.0
COc1ccc2c(nc(Nc3c(C)cccc3Cl)c4cnc(C=O)n24)c1OC	CHEMBL28728	pIC50=8.0
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)nc(CN5CCOCC5)n1	CHEMBL423312	pIC50=8.0
Cc1ccc(NC(=O)c2ccncc2C(C)(C)C)cc1Nc3nc4ccccc4n3c5cc(N)ncn5	CHEMBL1080475	pIC50=8.0
Cc1cccc(Cl)c1Nc2nc3cc4OCCOc4cc3n5cncc25	CHEMBL421600	pIC50=8.0
NC(=O)c1c2Nc3ccc(OCc4ccncc4)cc3CCn2nc1c5ccc(Oc6ccccc6)cc5	CHEMBL596078	pIC50=8.0
CO[n+]1c(Nc2c(C)cccc2Cl)c3cncn3c4ccccc14	CHEMBL313798	pIC50=8.03
COc1cccc2nc(Nc3c(C)cccc3Cl)c4cncn4c12	CHEMBL106378	pIC50=8.03
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3ccncc3)s2	CHEMBL360810	pIC50=8.03
C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23	CHEMBL247468	pIC50=8.05
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pIC50=8.05
CCN(CC)c1ccc2c(c1)nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL84877	pIC50=8.05
CN(C(=O)Nc1c(C)cccc1Cl)c2cc(Nc3ccc(cc3)N4CCN(C)CC4)ncn2	CHEMBL211283	pIC50=8.05
CN(C)CCCNc1ccc2c(c1)nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL110394	pIC50=8.05
CN(C)Cc1ccnc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)c1	CHEMBL87917	pIC50=8.05
CN1CCCN(CC1)c2ccc3nc(Nc4c(C)cccc4Cl)c5cncn5c3c2	CHEMBL110783	pIC50=8.05
Cc1c(\C=C\O)nc(O)c2c1ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23	CHEMBL27485	pIC50=8.05
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(NC(=O)C4CC4)sc3c2	CHEMBL67758	pIC50=8.05
Cc1cccc(Cl)c1Nc2nc3ccc(cc3n4cncc24)N5CCN(CC5)C=O	CHEMBL110550	pIC50=8.05
Cc1cccc(Cl)c1Nc2nc3ccccc3n4cncc24	CHEMBL283212	pIC50=8.05
Cc1cccc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)n1	CHEMBL313912	pIC50=8.05
Clc1cccc(Cl)c1Nc2nc3ccccc3n4cncc24	CHEMBL29457	pIC50=8.05
COc1ccc2c(c1)nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL311309	pIC50=8.06
NC(=O)c1c2Nc3cc(OCc4cccnc4)ccc3CCn2nc1c5ccc(Oc6ccccc6)cc5	CHEMBL606459	pIC50=8.09
CN(C1CCCCC1)C(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cccc(c5)N6CCN(C)CC6	CHEMBL1084302	pIC50=8.1
CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(c5c(Cl)cc(Cl)cc5Cl)c6nc7ccccc7n6c4n3)cc2	CHEMBL254674	pIC50=8.1
CN1CCN(CC1)c2ccc(cc2)c3cnn4c(N)c(cnc34)c5cccc(O)c5	CHEMBL1083023	pIC50=8.1
CN1CCN(CC1)c2ccc3c(c2)nc(Nc4c(C)cccc4Cl)c5cncn35	CHEMBL108044	pIC50=8.1
CN1CCN(CC1)c2cccc(c2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)Nc6ccccc6Cl)cc5	CHEMBL1085061	pIC50=8.1
CNc1ncc2cc(ccc2n1)c3cc(NC(=O)Nc4cccc(c4)C(F)(F)F)ccc3C	CHEMBL424719	pIC50=8.1
COc1cc(ccc1OCCN2CCCCC2)c3oc4ncnc(NC[C@@H]5CCCO5)c4c3c6ccccc6	CHEMBL399212	pIC50=8.1
COc1cc2c(Oc3ccc(cc3F)C4=CN=C(Cc5ccccc5)N(C)C4=O)ccnc2cc1OCCCN6CCOCC6	CHEMBL505896	pIC50=8.1
Cc1cc(C)nc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)c1	CHEMBL86392	pIC50=8.1
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cc(N)ncn4)sc3c2	CHEMBL89562	pIC50=8.1
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cc(NCCO)ncn4)sc3c2	CHEMBL89247	pIC50=8.1
Cl.CN1CCCC(COc2ccc(cc2)c3cnc(Nc4c(C)cccc4C)c5cncn35)C1	CHEMBL534948	pIC50=8.1
Nc1ncnc2c1c(cn2C3CCCC3)c4ccc(Oc5ccccc5O)cc4	CHEMBL67268	pIC50=8.1
COc1ccc2c(nc(Nc3c(C)cccc3Cl)c4cnc(C)n24)c1OC	CHEMBL29858	pIC50=8.13
CC1=C(C(=O)N(C=C1)c2ccc(cc2)C(C)(C)C)c3ccc4nc(N)ncc4c3	CHEMBL496494	pIC50=8.14
CC(C)COC(=O)Nc1ccc(cc1)c2cnc3c(cnn3c2N)c4cccc(c4)N5CCN(CC5)C(=O)CN	CHEMBL1082404	pIC50=8.16
CC(C)COC(=O)Nc1ccc(cc1)c2cnc3c(cnn3c2N)c4cccc(c4)N5CCNCC5	CHEMBL1083644	pIC50=8.16
CC(C)c1cccc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3c5cc(N)ncn5)c2)c1	CHEMBL1087127	pIC50=8.16
CC1CC1C(=O)Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl	CHEMBL68882	pIC50=8.16
CCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1	CHEMBL3290124	pIC50=8.16
CN(C)CC1CC1C(=O)Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl	CHEMBL309103	pIC50=8.16
CN1CCC(CC1)Nc2ccc3NC(=O)\C(=C/c4cc5CN(CCc5[nH]4)C(=O)N6CCOCC6)\c3c2	CHEMBL2403373	pIC50=8.16
CN1CCCC1CCNC(=O)Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl	CHEMBL308432	pIC50=8.16
CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(c5c(C)cccc5C)c6nc7ccccc7n6c4n3)cc2	CHEMBL410295	pIC50=8.16
CNCc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)nc(C)n1	CHEMBL315778	pIC50=8.16
CNc1ncc(C(=O)Nc2cc(ccc2C)C(=O)Nc3cccc(c3F)C(F)(F)F)c(OC)n1	CHEMBL255533	pIC50=8.16
COc1cc(Nc2nn3c(N[C@H](CO)Cc4ccccc4)cc(nc3c2C(=O)N)C5CC5)cc(OC)c1	CHEMBL260861	pIC50=8.16
Cc1ccc(NC(=O)Nc2cccc(c2)C(F)(F)F)cc1c3ccc4nc(N)ncc4c3	CHEMBL409914	pIC50=8.16
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4ccccc4)nc3	CHEMBL3290118	pIC50=8.16
Cc1cccc(Cl)c1Nc2nc3c(N)cccc3n4cncc24	CHEMBL85974	pIC50=8.16
Cc1cccc(Cl)c1Nc2nc3ccc(N)cc3n4cncc24	CHEMBL319199	pIC50=8.16
Cc1cccc(Cl)c1Nc2nc3ccc(NCCN4CCOCC4)cc3n5cncc25	CHEMBL106654	pIC50=8.16
Clc1ccc2OCOc2c1Nc3ncnc4cc(OCCCN5CCCC5)cc(OC6CCOCC6)c34	CHEMBL217090	pIC50=8.16
Cn1cc(Nc2ncc(Br)c(N[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3C(=O)N)n2)cn1	CHEMBL2071201	pIC50=8.16
Cc1ccc(N)cc1Nc2nccc(n2)c3noc4ccccc34	CHEMBL220924	pIC50=8.17
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cccnc3)s2	CHEMBL189675	pIC50=8.17
CNc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)ncn1	CHEMBL90002	pKi=8.18
Cc1cnc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)c(C)n1	CHEMBL384545	pIC50=8.2
COc1cc2nc(Nc3c(C)cccc3Cl)c4cnc(CO)n4c2cc1OC	CHEMBL314819	pIC50=8.21
COc1ccc2c(nc(Nc3c(C)cccc3Cl)c4cnc(CO)n24)c1OC	CHEMBL280546	pIC50=8.21
CC(=O)NCCNc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)ncn1	CHEMBL89194	pIC50=8.22
CCc1ccc(NC(=O)c2ccc3OC(F)(F)Oc3c2)cc1C(=O)Nc4cnc(Nc5ccc(cc5)N6CCN(C)CC6)nc4	CHEMBL270765	pIC50=8.22
CN(C(=O)Nc1c(Cl)cccc1Cl)c2cc(Nc3ccc(cc3)N4CCN(C)CC4)ncn2	CHEMBL212632	pIC50=8.22
CN(C)CCNc1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL110654	pIC50=8.22
CN(C)CCOc1ccc(cc1)c2oc3ncnc(NC[C@@H]4CCCO4)c3c2c5ccccc5	CHEMBL247479	pIC50=8.22
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4c(C)ccc(NC(=O)c5cccc(c5)C(F)(F)F)c4C)cn3)cc2	CHEMBL438016	pIC50=8.22
CN1CCN(Cc2ccc(cc2)c3oc4ncnc(NC[C@@H]5CCCO5)c4c3c6ccccc6)CC1	CHEMBL247677	pIC50=8.22
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)cc(OC)c1OCCCN7CCN(C)CC7	CHEMBL260306	pIC50=8.22
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)cc(OC)c1OCCN7CCN(C)CC7	CHEMBL260956	pIC50=8.22
COc1cc(Nc2ncnc(n2)n3c(Nc4ccccc4)nc5ccccc35)cc(OC)c1OC	CHEMBL271131	pIC50=8.22
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6	CHEMBL1230609	pKd=8.22
COc1ccc(CN(C)C)cc1c2cc3c(Nc4ccc5[nH]ccc5c4C)c(cnc3s2)C#N	CHEMBL516913	pIC50=8.22
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)nc(NCC(C)(C)O)n1	CHEMBL87102	pIC50=8.22
Cc1ccc(cc1c2ccc3nc(NCCN4CCCC4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL214556	pIC50=8.22
Cc1ccc(cc1c2ccc3nc(NCCN4CCCCC4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL384942	pIC50=8.22
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cc(CN5CCOCC5)nc(C)n4)sc3c2	CHEMBL84846	pIC50=8.22
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cccc(NCC(C)(C)N)n4)sc3c2	CHEMBL87727	pIC50=8.22
Cc1cccc(Cl)c1Nc2nc3cc(ccc3n4cncc24)N5CCOCC5	CHEMBL84046	pIC50=8.22
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(NC(=O)NC(C)(C)C)sc3c2	CHEMBL67237	pKi=8.26
COc1cc2c(cc1NCCN3CCOCC3)nc(Nc4c(C)cccc4Cl)c5cncn25	CHEMBL322598	pIC50=8.27
NC(=O)c1c2Nc3ccc(OCc4ccccn4)cc3CCn2nc1c5ccc(Oc6ccccc6)cc5	CHEMBL591091	pIC50=8.27
C(Cc1ccccc1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23	CHEMBL247667	pIC50=8.3
CC(C)n1cc(c2ccc(Oc3ccccc3N)cc2)c4c(N)ncnc14	CHEMBL303195	pIC50=8.3
CCN1CCN(Cc2ccc(cc2Cl)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3)CC1	CHEMBL1076433	pIC50=8.3
CCc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)ncn1	CHEMBL313115	pIC50=8.3
CCc1ccnc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)c1	CHEMBL86338	pIC50=8.3
CN(C)CCCCNc1cc(ncn1)n2c(Nc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)nc5ccccc25	CHEMBL1076469	pIC50=8.3
CN(C)c1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL326476	pIC50=8.3
CN(C)c1cccc2c1nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL315066	pIC50=8.3
CN1C(=O)N(Cc2cnc(N)nc12)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C	CHEMBL459850	pEC50=8.3
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5ccccc5)ccc4C)cn3)cc2	CHEMBL271760	pIC50=8.3
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)ccc1N7CCN(C)CC7	CHEMBL403522	pIC50=8.3
COc1cc(ccc1NC(=O)OCc2ccccc2)c3nn([C@@H]4CC[C@H](CC4)N5CCN(C)CC5)c6ncnc(N)c36	CHEMBL47787	pIC50=8.3
COc1cc2c(cc1NCCN(C)C)nc(Nc3c(F)cccc3Cl)c4cncn24	CHEMBL321862	pIC50=8.3
COc1ccccc1C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc3	CHEMBL409734	pIC50=8.3
Cc1cc(C)c(NC(=O)c2cnc(Nc3ccccn3)s2)c(C)c1	CHEMBL386371	pIC50=8.3
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290123	pIC50=8.3
Cc1ccc(cc1)c2nn(c3ncnc(N)c23)C(C)(C)C	CHEMBL306380	pIC50=8.3
Nc1ncnc2c1c(cn2C3CCC(O)C3)c4ccc(Oc5ccccc5)cc4	CHEMBL69129	pIC50=8.3
Cc1cc(C)c(NC(=O)c2cnc(Nc3cnccn3)s2)c(C)c1	CHEMBL385172	pIC50=8.31
COc1ccc2CCn3nc(c4ccc(Oc5ccccc5)cc4)c(C(=O)N)c3Nc2c1	CHEMBL592026	pIC50=8.32
COc1ccc2c(nc(Nc3c(C)cccc3Cl)c4cnc(\C=N\O)n24)c1OC	CHEMBL29191	pIC50=8.37
Cc1ccc(O)cc1Nc2nccc(n2)c3noc4ccccc34	CHEMBL220551	pIC50=8.38
CC(C)(C)n1nc(c2ccc(Cl)cc2)c3c(N)ncnc13	CHEMBL406845	pIC50=8.4
CCN(CC)CCOc1ccc(Nc2cc(ncn2)N(C)C(=O)Nc3cc(ccc3C)C(=O)Nc4cc(on4)C(C)(C)C)cc1	CHEMBL378882	pIC50=8.4
CN(C(=O)Nc1cc(O)ccc1C)c2cc(Nc3ccc(cc3)N4CCOCC4)ncn2	CHEMBL383275	pIC50=8.4
CN1CCN(CC1)c2ccc(cc2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)CCC6CCCC6)cc5	CHEMBL1083001	pIC50=8.4
CN1CCN(CC1)c2cccc(c2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)CCC6CCCC6)cc5	CHEMBL1085316	pIC50=8.4
CN1CCN(CCOc2cc(OC3CCOCC3)c4c(Nc5c(Cl)ccc6OCOc56)ncnc4c2)CC1	CHEMBL217092	pIC50=8.4
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5cccc(Cl)c5)c2cc1OC	CHEMBL272878	pIC50=8.4
COc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1	CHEMBL3290120	pIC50=8.4
Cc1c(\C=C\CN2CCOCC2)nc(O)c3c1ccc4nc(Nc5c(Cl)cccc5Cl)n(C)c34	CHEMBL424220	pIC50=8.4
Cc1cc(C)nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)c1	CHEMBL188478	pIC50=8.4
Cc1ccc(NC(=O)c2ccc(s2)C(C)(C)C)cc1Nc3nc4ccccc4n3c5cc(N)ncn5	CHEMBL1086731	pIC50=8.4
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4ccc(N)cc4)nc3	CHEMBL3290122	pIC50=8.4
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(F)c4)nc3	CHEMBL3290121	pIC50=8.4
Cc1ccc(cc1C#Cc2cnc3ccccc3n2)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL221019	pIC50=8.4
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(NC(=O)NC4CC(C)(C)NC(C)(C)C4)sc3c2	CHEMBL68871	pIC50=8.4
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cccnn3)s2	CHEMBL407005	pIC50=8.4
Cc1cccc(Cl)c1Nc2nc3c(O)c(O)ccc3n4cncc24	CHEMBL86045	pIC50=8.4
Cc1cccc(Cl)c1Nc2nc3c(cccc3n4cncc24)N5CCOCC5	CHEMBL314049	pIC50=8.4
Cc1cccc(Cl)c1Nc2nc3cc(O)c(O)cc3n4cncc24	CHEMBL110220	pIC50=8.4
Cc1cccc(Cl)c1Nc2nc3cc4OCOc4cc3n5cncc25	CHEMBL320280	pIC50=8.4
Cc1cccc(Cl)c1Nc2nc3ccc(cc3n4cncc24)N5CCOCC5	CHEMBL320967	pIC50=8.4
Nc1ncnc2c1c(c3ccc(Oc4ccccc4)cc3)c(C#N)n2C5CCCC5	CHEMBL68888	pIC50=8.4
CC(=O)COc1ccc2CCn3nc(c4ccc(Oc5ccccc5)cc4)c(C(=O)N)c3Nc2c1	CHEMBL592507	pIC50=8.41
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(N)cc4	CHEMBL604694	pIC50=8.41
Cc1ccc(cc1Nc2ncccc2c3ccncn3)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL385956	pIC50=8.46
[O-][N+](=O)c1ccccc1c2n[nH]cc2\C=C\3/C(=O)Nc4ccccc34	CHEMBL2347053	pIC50=8.48
CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(C)(C)C)n3C)ccn1	CHEMBL3335371	pIC50=8.52
CC(=O)Nc1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL110732	pIC50=8.52
CC(=O)Nc1cccc2c1nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL85637	pIC50=8.52
CC1CN(CC(C)N1)c2ccc3nc(Nc4c(C)cccc4Cl)c5cncn5c3c2	CHEMBL109157	pIC50=8.52
CCN(CC)CCNc1cc(Nc2cc(O)ccc2C)nc(n1)n3cnc4ccccc34	CHEMBL434369	pIC50=8.52
CCN(CC)CCOc1ccc(Nc2cc(ncn2)N(C)C(=O)Nc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cc1	CHEMBL378410	pIC50=8.52
CCN(CC)CCOc1ccc(Nc2cc(ncn2)N(C)C(=O)Nc3cc(O)ccc3C)cc1	CHEMBL206873	pIC50=8.52
CN(C)C\C=C\c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C	CHEMBL287175	pIC50=8.52
CN1CCN(CC1)c2cc(Nc3cc(O)ccc3C)nc(n2)n4cnc5ccccc45	CHEMBL220643	pIC50=8.52
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4ccc(Cl)c(c4C)C(F)(F)F	CHEMBL212183	pIC50=8.52
COc1cc2c(cc1NCCN(C)C)nc(Nc3c(C)cccc3Cl)c4cnc(C)n24	CHEMBL106213	pIC50=8.52
COc1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL86230	pIC50=8.52
COc1cccc2c1nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL315272	pIC50=8.52
C[C@H](Nc1nccc(n1)n2cnc3cc(ccc23)c4ccncc4)c5ccccc5	CHEMBL584721	pIC50=8.52
Cc1cc(C)c(NC(=O)c2cnc(Nc3cc(C)nc(C)n3)s2)c(C)c1	CHEMBL384307	pIC50=8.52
Cc1ccc(O)cc1Nc2cc(OCCN3CCOCC3)nc(n2)n4cnc5ccccc45	CHEMBL220645	pIC50=8.52
Cc1ccc(cc1c2ccc3nc(NCCN4CCOCC4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL213290	pIC50=8.52
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(NC(=O)C4CC4CO)sc3c2	CHEMBL68261	pIC50=8.52
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4ccnc(NCCO)n4)sc3c2	CHEMBL431986	pIC50=8.52
Cc1cccc(Cl)c1Nc2nc3ccc(NCCCN4CCOCC4)cc3n5cncc25	CHEMBL325986	pIC50=8.52
Cc1cccc(Cl)c1Nc2nc3ccc(cc3n4cncc24)N5CCNCC5	CHEMBL110622	pIC50=8.52
Clc1cccc(Cl)c1C2=Cc3cnc(Nc4ccc(cc4)N5CCOCC5)nc3N6CCC(=O)N26	CHEMBL213745	pIC50=8.52
Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13	CHEMBL1980297	pIC50=8.52
NC(=O)c1c2Nc3ccc(OCc4cccnc4)cc3CCn2nc1c5ccc(Oc6ccccc6)cc5	CHEMBL600873	pIC50=8.55
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CN(CCN4Cc5ccccc5)C(=O)Nc6cccc7ccccc67	CHEMBL572199	pIC50=8.59
COc1cc2c(cc1OCCN3CCOCC3)nc(Nc4c(C)cccc4Cl)c5cncn25	CHEMBL106457	pIC50=8.62
COc1cc2nc(Nc3c(C)cccc3C)c4cncn4c2cc1OC	CHEMBL85920	pIC50=8.62
COc1ccc2c(nc(Nc3c(C)cccc3C)c4cncn24)c1OC	CHEMBL281035	pIC50=8.62
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(NC(=O)Nc5ccccc5)cc4	CHEMBL592267	pIC50=8.64
COc1ccc(C(=O)NC(=O)Nc2ccc3\C(=C\c4[nH]c(C)c(C(=O)NCCN5CCCC5)c4C)\C(=O)Nc3c2)c(F)c1	CHEMBL3329684	pIC50=8.64
COc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(Oc5ccccc5)cc4	CHEMBL592259	pIC50=8.64
CN[C@@H]1CC2OC([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL3683258	pIC50=8.66
CC(=O)NCCNc1cccc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)n1	CHEMBL86690	pIC50=8.7
CCN(CC)CCOc1ccc(Nc2ncc3C=C(N4N(CCC4=O)c3n2)c5c(Cl)cccc5Cl)cc1	CHEMBL379517	pIC50=8.7
CCN(CC)c1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL108686	pIC50=8.7
CCN(CC)c1cccc2c1nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL85835	pIC50=8.7
CCN1CCN(CC1)c2ccc3nc(Nc4c(C)cccc4Cl)c5cncn5c3c2	CHEMBL107048	pIC50=8.7
CCNC\C=C\c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C	CHEMBL27350	pIC50=8.7
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(NC(=O)OCc5ccccc5)cc4	CHEMBL595625	pIC50=8.7
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cc(ccc4N5CC(C)(C)C5=O)C(F)(F)F	CHEMBL385055	pIC50=8.7
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cc(ccc4N5CCN(C)C5=O)C(F)(F)F	CHEMBL385598	pIC50=8.7
COc1cc2nc(Nc3c(C)cccc3Cl)c4cncn4c2cc1OC	CHEMBL85629	pIC50=8.7
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C(F)(F)F)c3)c2cc1OC	CHEMBL2029988	pKd=8.7
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCCN5CCCCC5)c(F)c4)n3)c(OC)c1	CHEMBL215411	pIC50=8.7
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(cc4)N5CCN(C)CC5)n3)c(OC)c1	CHEMBL213100	pIC50=8.7
COc1ccc2c(nc(Nc3c(C)cccc3Cl)c4cncn24)c1OC	CHEMBL29320	pIC50=8.7
Cc1c(\C=C\CN)nc(O)c2c1ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23	CHEMBL30230	pIC50=8.7
