CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.25	pKi=9.25	pKi=9.25	pIC50=9.3	pIC50=9.8
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C	fesoterodine	pKi=6.401	pKi=6.401	pKi=6.401
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.3	pKi=9.3	pKi=9.3
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=8.97	pKi=8.97	pKi=8.97	pIC50=8.43
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.5	pKi=9.5	pKi=9.5
O=C1CC[C@@](C2CCN(CC3=CC=CC=C3)CC2)(C(=O)N1)C1=CC=CC=C1	dexetimide	pKi=8.89999962	pKi=8.89999962	pKi=8.89999962
CC(C[N+](C)(C)C)OC(N)=O	bethanechol	pKi=4.0	pKi=4.0	pKi=4.0
CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC	gallamine	pKi=6.1481304	pKi=6.1481304	pKi=6.1481304
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	tolterodine	pKi=8.57	pKi=8.57	pKi=8.57	pKi=8.4
O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1	solifenacin	pIC50=6.24	pIC50=6.24	pIC50=6.24
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1	trospium
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
C[C@H]1CCC[C@H](CC[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL355854	pKi=7.49
CC(C)S(=O)(=O)c1ccc(cc1)C(=C2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(C)c4N)C	CHEMBL150707	pKi=7.5
CC(C)c1nc(cs1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2	CHEMBL1289865	pIC50=7.5
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1)C(=O)c5ccc(F)cc5	CHEMBL353140	pKi=7.5
CO[C@@]1(CN2CCC1CC2)C#C[C@](O)(C3CCCCCCC3)c4ccccc4	CHEMBL260228	pKi=7.5
C[N+]1(CC(=O)c2ccccc2)CCC(C1)N3CC(NC3=O)(c4ccccc4)c5ccccc5	CHEMBL222636	pKi=7.5
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4ccc5occc5c4)cc1	CHEMBL1290752	pIC50=7.5
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4	CHEMBL569729	pKi=7.5
C1CN2CCC1C(=C2)c3oc4ccccc4c3	CHEMBL109405	pKi=7.51
CN1CCC(CC1)OC(=O)C(CO)c2cccc(c2)C(F)(F)F	CHEMBL2377268	pKi=7.51
CO\N=C(/C#N)\C12CCCN(CC1)C2	CHEMBL135645	pIC50=7.51
Cc1cccc(C)c1C(=O)N2CCC(CC2)N3CCN(Cc4ccc(cc4)S(=O)(=O)c5ccc6OCOc6c5)CC3	CHEMBL67172	pKi=7.51
C[C@@H](C1=C(CCN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL1493369	pKi=7.52
O=C(CCNC(=O)CNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112955	pKi=7.52
OC(C1CCCC1)(C(=O)NC2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL146464	pKi=7.52
CN1CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4	CHEMBL576663	pKi=7.53
[Br-].Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3C[N+]4(CCCc5ccccc5)CCC3CC4	CHEMBL1779138	pIC50=7.53
[Br-].O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C4c5ccccc5Oc6ccccc46	CHEMBL3401654	pIC50=7.53
CN1[C@H]2C[C@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	scopolamine	pKi=7.54
NCC1CCN(CC1)C(=O)[C@@](O)(C2CCCC2)c3ccccc3	CHEMBL66400	pKi=7.55
[Br-].Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3C[N+]4(CCOc5ccccc5)CCC3CC4	CHEMBL1779139	pIC50=7.55
C[N+]1(C[C@H]2O[C@@H]2c3ccccc3)CCC(C1)N4CC(NC4=O)(c5ccccc5)c6ccccc6	CHEMBL376900	pKi=7.56
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5[nH]cnc45)cc1	CHEMBL53965	pKi=7.57
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2	oxybutynin	pIC50=7.57
CN(C)CCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL286008	pKi=7.57
Fc1cccc(CN(C(=O)O[C@H]2CN3CCC2CC3)c4cccc(F)c4)c1	CHEMBL1779044	pIC50=7.57
CC(N1CCN(CCO)CC1)c2ccc(cc2)S(=O)(=O)c3ccccc3	CHEMBL70531	pKi=7.59
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCNC45CC6CC(CC(C6)C4)C5)[C@@H]12	CHEMBL353311	pKi=7.59
OCCSc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccccc45)cc1	CHEMBL275347	pKi=7.59
[Br-].CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c3ccccc3)CCCCC1	CHEMBL1909073	pIC50=7.59
Brc1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)C(=O)c4cccs4	CHEMBL82512	pKi=7.6
CC(C)c1nc(cs1)C(=O)N2CCOC3(CCN(Cc4ccccc4Cl)CC3)C2	CHEMBL1289982	pIC50=7.6
CCCCC(O)(C#CC1(CN2CCC1CC2)OC)c3ccccc3	CHEMBL200416	pKi=7.6
CO[C@@]1(CN2CCC1CC2)C#C[C@](O)(C3CCCCC3)c4ccccc4	CHEMBL371734	pKi=7.6
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4occc4)cc1	CHEMBL1289081	pIC50=7.6
CN1CCCC/C/1=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(Br)cc4)c3c2	CHEMBL3616504	pEC50=7.62
Cc1cc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)cs1	CHEMBL356305	pKi=7.62
CCN(CC)CCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL443780	pKi=7.63
CCCCN(C(=O)O[C@H]1CN2CCC1CC2)c3ccccc3	CHEMBL1779036	pIC50=7.64
O=C(O[C@H]1CN2CCC1CC2)N(Cc3cccs3)Cc4cccs4	CHEMBL1779040	pIC50=7.64
CCCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2	CHEMBL121059	pIC50=7.65
CC(C)Sc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(F)c5ccccc45)cc1	CHEMBL440601	pKi=7.66
CC(C)Sc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5cc(F)ccc45)cc1	CHEMBL11893	pKi=7.66
CCN(CC)CCOCOC(=O)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL75217	pKi=7.66
C[N+]1(CCc2ccccc2)CC[C@H](C1)N3CC(NC3=O)(c4ccc(F)cc4)c5ccc(F)cc5	CHEMBL223668	pKi=7.66
Cc1ccc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)cc1	CHEMBL149486	pKi=7.66
Cl.COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccccc2OC	CHEMBL373758	pIC50=7.66
CCCCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2	CHEMBL332320	pIC50=7.69
Brc1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)C(=O)C4CCC4	CHEMBL314831	pKi=7.7
CC(C)Sc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(C)c4N)cc1	CHEMBL12228	pKi=7.7
CC(C)Sc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccnc5ccccc45)cc1	CHEMBL11794	pKi=7.7
CCCCCCOc1nccnc1OC2CN3CCC2C3	CHEMBL300998	pKi=7.7
CO[C@@]1(CN2CCC1CC2)C#CC(O)(c3ccc(F)cc3)c4ccc(F)cc4	CHEMBL381878	pKi=7.7
CO[C@@]1(CN2CCC1CC2)C#C[C@](O)(C3CCCCCC3)c4ccccc4	CHEMBL264414	pKi=7.7
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL2111540	pKi=7.7
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4cccs4)cc1	CHEMBL1289082	pIC50=7.7
Clc1ccc(cc1)C(=O)N(C2CCN(Cc3ccccc3)CC2)c4ccc(Br)cc4	CHEMBL85996	pKi=7.7
Clc1ccc(cc1Cl)N(C2CCN(Cc3ccccc3)CC2)C(=O)c4ccccc4	CHEMBL310132	pKi=7.7
[I-].C[N+]1(C)CCC[C@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL568870	pKi=7.7
CCN(CC)CCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL284137	pKi=7.71
[Br-].[Br-].CC(C)(CN1C(=O)c2cccc3cccc(C1=O)c23)C[N+](C)(C)CCCCCC[N+](C)(C)CC#CCOC4=NOCC4	CHEMBL3323287	pKi=7.71
O=C1CCCN1CC#CCN2CCCC2	CHEMBL7634	pEC50=7.72
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CCCC7)CC6	CHEMBL214898	pKi=7.72
CC(C)(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(F)c5ccccc45)cc1	CHEMBL301354	pKi=7.75
CCOCC(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4	CHEMBL355299	pKi=7.75
NC(=O)CSc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccccc45)cc1	CHEMBL12085	pKi=7.75
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCCc3ccccc3)CCC1CC2)c4ccccc4	CHEMBL1779135	pIC50=7.75
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL2114066	pKi=7.76
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(C3CCCCC3)c4ccccc4	CHEMBL569712	pKi=7.76
CC(=O)OC1CC2CCCC1N2	CHEMBL64000	pIC50=7.77
CC(C)S(=O)(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(F)c5ccccc45)cc1	CHEMBL52203	pKi=7.77
CC(C)S(=O)(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccccc45)cc1	CHEMBL12150	pKi=7.77
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C3CCCCC3)N4CCN(CC4)C5CCCCC5	CHEMBL421304	pKi=7.77
O=C(CCCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCCC(=O)NCC4CCCN(CC5CCCCC5)C4	CHEMBL369062	pKi=7.77
CN(C)CC1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042552	pKi=7.78
[Br-].[Br-].CC(C)(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+]3(C)[C@@H]4CC[C@@H]3CC(C4)OC(=O)C(CO)c5ccccc5	CHEMBL3323280	pKi=7.78
CC(C)c1nc(cs1)C(=O)N2CCOC3(CCN(Cc4ccccc4)CC3)C2	CHEMBL1289866	pIC50=7.8
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(C#N)N3CCN(C[C@@H]3C)C4CCCCC4	CHEMBL352607	pKi=7.8
COc1nsnc1OCCCCCCCCCCCCOc2nsnc2C3=CCCN(C)C3	CHEMBL136027	pKi=7.8
C[C@H]1CCC[C@H](CC[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1	CHEMBL427145	pKi=7.8
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCO	CHEMBL545077	pKi=7.8
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCOC(=O)C	CHEMBL538793	pKi=7.8
O=C(N1CCC2(CCN(Cc3ccccc3)CC2)CC1)c4ccsc4	CHEMBL1290410	pIC50=7.8
CN(C)CCC1=C(c2ccccc2C1)C(C)(C)c3ccccn3	CHEMBL423831	pKi=7.81
CCN(CC)CCOC(=O)C(c1ccccc1)C2(O)CCCCC2	CHEMBL2377269	pKi=7.82
Cc1ccccc1C(=O)N2CCC(CC2)N3CCC(Cc4ccc(cc4)C(=O)NC5CCCCC5)CC3	CHEMBL51339	pKi=7.82
NC(=O)C(CCCN1CC[C@@H](C1)Oc2ccccc2)(c3ccccc3)c4ccccc4	CHEMBL1910845	pKi=7.82
O=S(=O)(Cc1ccccc1)N2CCC(CC2)N3CCC(CC3)Oc4ccc(cc4)S(=O)(=O)c5ccc6OCOc6c5	CHEMBL352660	pKi=7.82
Cl.O=C(Nc1ccccc1c2ccccc2)OC34CCN(CC3)CC4	CHEMBL1779047	pIC50=7.84
[Br-].Fc1cccc(c1)N(Cc2cc(F)c(F)c(F)c2)C(=O)O[C@H]3C[N+]4(CCOc5ccccc5)CCC3CC4	CHEMBL1779140	pIC50=7.84
CC(C)S(=O)(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4	CHEMBL169313	pKi=7.85
CCOC(=O)N1CCC(CC1)N2CCC(CC2)C3(SCCCS3)c4ccc(cc4)S(=O)(=O)c5ccc(OC)cc5	CHEMBL90199	pKi=7.85
CCOc1ccc2c(cccc2c1)C(=O)N3CCC(CC3)N4CCC(Cc5ccc(SC(C)C)cc5)CC4	CHEMBL12064	pKi=7.85
OC(CCN1CCCCC1)([C@H]2C[C@H]3C[C@@H]2C=C3)c4ccccc4	CHEMBL3085495	pKi=7.86
CCCCCN(C(=O)O[C@H]1CN2CCC1CC2)c3ccccc3	CHEMBL1779037	pIC50=7.87
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4	CHEMBL583027	pKi=7.87
C[C@H]1CCC[C@H](C\C=C/2\[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL182761	pKi=7.88
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3	CHEMBL2449003	pKi=7.89
COC1(CN2CCC1CC2)C#CC(O)(C3CCC3)c4ccccc4	CHEMBL200957	pKi=7.89
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN4CCCC5CCCCC45)[C@@H]12	CHEMBL354636	pKi=7.89
O=C(CNC(=O)[C@@H]1CCCN1C(=O)CC(c2ccccc2)(c3ccccc3)c4ccccc4)NC[C@H]5CCCN(CC6CCCCC6)C5	CHEMBL2112961	pKi=7.89
CCc1nc(cs1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2	CHEMBL1289758	pIC50=7.9
CN1[C@@H]2CC[C@H]1C[C@@H](CC(CO)(c3ccccc3)c4ccccc4)C2	CHEMBL3084679	pKi=7.9
CC(C1=C(CN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL434684	pKi=7.91
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3C(CCC4CCC(C)(C)N4C)[C@@H]12	CHEMBL183903	pKi=7.91
CC(C)(CCC(C(=O)N)(c1ccccc1)c2ccccc2)N3CC[C@H](C3)Oc4ccccc4	CHEMBL1910847	pKi=7.92
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccccc4Cl)cc1	CHEMBL50998	pKi=7.92
CC(C)[S+]([O-])c1ccc(cc1)C(=C2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(C)c4N)C	CHEMBL418446	pKi=7.92
CCCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C3(CCCO3)c4ccc(cc4)[S+]([O-])c5ccc6OCOc6c5	CHEMBL328120	pKi=7.92
CN(C)C(=O)CSc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccccc45)cc1	CHEMBL11816	pKi=7.92
CN(C)C1(CNCC2CCCCC2)COc3ccccc3OC1	CHEMBL234257	pKi=7.92
CN(C)C1(CNCCC2=CCSCC2)COc3ccccc3OC1	CHEMBL233202	pKi=7.92
O=C(CCNC(=O)[C@@H]1CCCN1C(=O)CC(c2ccccc2)(c3ccccc3)c4ccccc4)NC[C@H]5CCCN(CC6CCCCC6)C5	CHEMBL2112958	pKi=7.92
O=C(N1CCC(CC1)N2CCC(CC2)Oc3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4)c6cccc7cccnc67	CHEMBL355510	pKi=7.92
[Br-].OC(C(=O)O[C@H]1C[N+]2(Cc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL556634	pIC50=7.92
[Br-].[Br-].C=CC[N+]12CC[C@@]34[C@@H]1C[C@@H]5[C@H]6[C@@H](OCC=C5C2)N7[C@H]8[C@H]9[C@H]%10C[C@H]%11[C@@]8(CC[N+]%11(CC=C)CC%10=CCO[C@H]9N([C@H]36)c%12ccccc4%12)c%13ccccc7%13	CHEMBL607178	pEC50=7.95
CC(C)Sc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4nccc5ccccc45)cc1	CHEMBL12542	pKi=7.96
CN1CCC=C(C1)c2nsnc2OCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354067	pKi=7.96
C[N+]1(C)[C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3	CHEMBL1197177	pKi=7.96
NC1CCN(CC1)C(=O)[C@@](O)(C2CCCC2)c3ccccc3	CHEMBL71431	pKi=7.96
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)c4ccccc4	CHEMBL1779136	pIC50=7.96
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=O)C3CCN(CC3)C4CCCCC4	CHEMBL2115127	pKi=7.97
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	methscopolamine	pKi=7.98
Cl.COc1ccccc1NCCCCCCNCCCCCCCCNCCCCCCNc2ccccc2OC	CHEMBL1256938	pKi=7.98
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(O)(C3CCCCC3)c4ccccc4	CHEMBL569760	pKi=7.99
CC(C)c1nc(cs1)C(=O)N2CCOC3(CCN(Cc4cccc(Cl)c4)CC3)C2	CHEMBL1289983	pIC50=8.0
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pIC50=8.0
C[N+]1(CC(=O)Nc2ccccc2)CCC(C1)N3CC(NC3=O)(c4ccccc4)c5ccccc5	CHEMBL222634	pKi=8.0
[Br-].C[N+](C)(C)CC#CCOC1=NOCC1	CHEMBL3323286	pKi=8.0
CN(C)C[C@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042553	pKi=8.01
CC(C)S(=O)(=O)c1ccc(cc1)C(=C2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(F)c5ccccc45)C	CHEMBL150845	pKi=8.02
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c2ccccc2	CHEMBL26505	pKi=8.03
CCCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C3(O[C@H](C)[C@@H](C)O3)c4ccc(cc4)[S+]([O-])c5ccc6OCOc6c5	CHEMBL328550	pKi=8.04
COc1ccccc1CN2CCC(CC2)C3CCN(CC3)C(=O)CCCCCCC(=O)N4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5	CHEMBL130835	pKi=8.04
CC(C)N(CC[C@H](c1ccccc1)c2cc(CCNC(=O)CCCCCNC(=O)COc3ccc(\C=C\C4=[N+]5C(=Cc6ccc(c7cccs7)n6[B-]5(F)F)C=C4)cc3)ccc2O)C(C)C	CHEMBL271108	pKi=8.05
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(F)c5c(F)cccc45)cc1	CHEMBL51574	pKi=8.05
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(C)c4N)cc1	CHEMBL50618	pKi=8.05
CC(C)NC(=O)c1ccc(cc1)C2(OCCO2)C3CCN(CC3)C4CCN(CC4)C(=O)c5ccccc5C	CHEMBL300845	pKi=8.05
C[C@H](N1CCN(C[C@H]1C)C2CCNCC2)c3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4	CHEMBL164397	pKi=8.05
C[N+]1(CCCOc2ccccc2)CCC(C1)N3CC(NC3=O)(c4ccccc4)c5ccccc5	CHEMBL223028	pKi=8.05
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)c4ccccc4	CHEMBL1779137	pIC50=8.05
[Br-].[Br-].CC(C)(CN1C(=O)c2cccc3cccc(C1=O)c23)C[N+](C)(C)CCCCCC[N+]4(C)[C@@H]5C[C@@H](C[C@H]4[C@@H]6O[C@H]56)OC(=O)[C@H](CO)c7ccccc7	CHEMBL3323284	pKi=8.05
CN(C)C1(CNCC=C2CCOCC2)COc3ccccc3OC1	CHEMBL394255	pKi=8.06
CC(C)Sc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccc(F)cc45)cc1	CHEMBL12153	pKi=8.07
COc1ccccc1CN2CCC(CC2)C3CCN(CCCCCCCCN4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5)CC3	CHEMBL127273	pKi=8.07
[Br-].O=C(O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)N(Cc4ccsc4)c5ccccc5	CHEMBL1779132	pIC50=8.08
[Cl-].[Cl-].C[N+]12CC[C@@]34[C@@H]1C[C@@H]5[C@H]6[C@@H](OCC=C5C2)N7[C@H]8[C@H]9[C@H]%10C[C@H]%11[C@@]8(CC[N+]%11(C)CC%10=CCO[C@H]9N([C@H]36)c%12ccccc4%12)c%13ccccc7%13	CHEMBL607179	pEC50=8.09
CCN(CC)CCOC(=O)C(O)(C1CCCCC1)c2cccs2	CHEMBL2377267	pKi=8.1
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL73341	pKi=8.1
COc1nsnc1OCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL216927	pKi=8.1
Cl.COc1nsnc1OCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL553058	pKi=8.1
Clc1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)C(=O)c4ccccc4	CHEMBL84993	pKi=8.1
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)C3CCN(CC3)C4CCCCC4	CHEMBL2114064	pKi=8.12
[Br-].O=C(O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)N(Cc4ccccc4)c5ccccc5	CHEMBL1779128	pIC50=8.12
[I-].C[N+](C)(C)C[C@@H]1CS[C@](O1)(C2CCCCC2)c3ccccc3	CHEMBL45454	pKi=8.12
CN(C)C1(CNCCC2CCSCC2)COc3ccccc3OC1	CHEMBL233201	pKi=8.14
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL71971	pKi=8.14
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)C3CCN(CC3)C4CCCCC4	CHEMBL2115126	pKi=8.15
CC(=O)OCC[N+](C)(C)C	acetylcholine	pEC50=8.16
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccccc4C)cc1	CHEMBL49975	pKi=8.16
CCCCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4	CHEMBL426761	pKi=8.16
C#CCOc1noc2CCCNCc12	CHEMBL69306	pEC50=8.17
CN1CCCC1c2oc(cc2)C(O)(C3CCCCC3)c4ccccc4	CHEMBL583051	pKi=8.17
CN1[C@@H]2CC[C@H]1C[C@@H](CC(O)(c3ccccc3)c4ccccc4)C2	CHEMBL3084662	pKi=8.2
COC1(CN2CCC1CC2)C#CC(C#N)(c3ccccc3)c4ccccc4	CHEMBL258959	pKi=8.2
O=C(N1CCC2(CCN(Cc3ccccc3)CC2)CC1)c4ccccc4	CHEMBL1290294	pIC50=8.2
CN(C)C1(CNCCC2CCCCC2)COc3ccccc3OC1	CHEMBL234438	pKi=8.21
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4c[nH]c5ccccc45)cc1	CHEMBL50927	pKi=8.22
CC(C)Oc1ccc2c(cccc2c1)C(=O)N3CCC(CC3)N4CCC(Cc5ccc(SC(C)C)cc5)CC4	CHEMBL11527	pKi=8.22
CCCN(CCC)CC1CCCCN1CCNC(=O)N2c3ccccc3C(=O)Nc4cccnc24	CHEMBL279453	pKi=8.22
CCOC(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4	CHEMBL353465	pKi=8.22
CN(C)C1(CNCCC2CCOCC2)COc3ccccc3OC1	CHEMBL435353	pKi=8.22
COc1ccccc1CNCCCCCCN2CCC(CCC3CCN(CCCCCCNCc4ccccc4OC)CC3)CC2	CHEMBL242345	pKi=8.22
NC(CCCNC(=N)N)C(=O)CCCCCCCCNC(=N)N	CHEMBL477542	pIC50=8.22
CC(C)N(CCOC(=O)C(O)(c1ccccc1)c2ccccc2)C(C)C	CHEMBL2377261	pKi=8.23
[I-].C[N+](C)(C)CC1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042404	pKi=8.24
CCN(CC)CCSC(=O)C(O)(c1ccccc1)c2ccccc2	CHEMBL2377387	pKi=8.27
CN(C)[C@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021477	pKi=8.27
[Br-].C[N+]1(CCc2ccccc2)CCC(C1)N3CC(NC3=O)(c4ccccc4)c5ccccc5	CHEMBL223055	pKi=8.27
