COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=8.31	pKd=8.31	pKd=8.31	pKd=8.31
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H](N)C(C)(C)C)c4cc(F)c(O)c(Cl)c4	CHEMBL3684268	pIC50=7.55
NC1CCN(CC1)c2ncc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679202	pIC50=8.08
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(nc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3688383	pIC50=8.09
CN(C)CCc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3679243	pIC50=8.09
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)[S+](C)[O-])cc1	CHEMBL3674324	pIC50=8.09
CN(C)Cc1ccc(Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)S(=O)(=O)C)cc1	CHEMBL3688350	pIC50=8.09
CN1CCN(Cc2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)cc2)CC1	CHEMBL3679279	pIC50=8.09
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CN6CCOCC6)CC5)c3c2	CHEMBL3674221	pIC50=8.09
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(cc5)C(=O)N6CCN(C)CC6)c3c2	CHEMBL3674327	pIC50=8.09
COc1cc(cc(Cl)c1O)c2cc3c(N[C@@H]4CC[C@@H](CN5CCCC5)CC4)c(cnc3cc2F)C(=O)C	CHEMBL3684280	pIC50=8.1
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC5CCN(C)CC5)c3c2	CHEMBL3674185	pIC50=8.1
C[C@H](N)C(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684233	pIC50=8.1
CN1CCC(CC1)n2cc(Nc3c(cnc4ccc(nc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3688365	pIC50=8.11
CN1CCN(Cc2cccc(c2)c3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)CC1	CHEMBL3674329	pIC50=8.11
COc1cc(cc(F)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CC6CC5CN6C(=O)CN(C)C)c3c2	CHEMBL3674307	pIC50=8.11
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCCC6)nc5)c3c2	CHEMBL3679282	pIC50=8.11
CC(C)C(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679267	pIC50=8.12
CN1CCN(Cc2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cc2)CC1	CHEMBL3674252	pIC50=8.12
FC(F)(F)c1cc(OCC#Cc2ccc3ccncc3c2)ccc1CN4CCNCC4	CHEMBL3355064	pIC50=8.12
N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674162	pIC50=8.12
CC(N)C(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3692799	pIC50=8.13
C[S+]([O-])c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3674341	pIC50=8.13
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(NC5CCC(CC5)N6CC[C@@H](F)C6)c3c2	CHEMBL3679268	pIC50=8.13
CCCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3679227	pIC50=8.14
CN(C)C1CCN(Cc2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cc2)C1	CHEMBL3679317	pIC50=8.14
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cnc(nc4)C#N)C(=O)C	CHEMBL3674270	pIC50=8.14
CC(=O)c1cnc2cc(F)c(cc2c1N[C@@H]3CC[C@@H](CN4CCCC4)CC3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684277	pIC50=8.16
CC(=O)c1cnc2ccc(cc2c1N3CCC(CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3674223	pIC50=8.16
CC(C)C(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCNCC4)c5cc(F)c(O)c(Cl)c5	CHEMBL3679298	pIC50=8.16
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4ccc(O)c(OC)c4)C(=O)C5CC5	CHEMBL3674172	pIC50=8.16
CN(C)CC(=O)N1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3674335	pIC50=8.16
CN(C)CCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679332	pIC50=8.16
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C(C)C)c(N[C@@H]4CC[C@@H](N)CC4)c3c2	CHEMBL3674351	pIC50=8.16
COc1cc(ccc1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](N)CC5)c3c2	CHEMBL3674155	pIC50=8.16
OC1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679294	pIC50=8.16
CC(=O)c1cnc2ccc(cc2c1Nc3cncc(CCN4CCCC4)c3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684228	pIC50=8.17
CN(C)CC[C@H]1CCC[C@@H](C1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684218	pIC50=8.17
CN(C)C[C@@H]1CCC[C@H](C1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3679368	pIC50=8.17
COc1cc(cc(Cl)c1O)c2ccc3ncc(c(Nc4ccc(CN(C)C)cc4)c3c2)S(=O)(=O)C	CHEMBL3674263	pIC50=8.17
CC(C)C(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3679247	pIC50=8.18
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)cc1	CHEMBL3674236	pIC50=8.18
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCC[C@@H]4CO)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684167	pIC50=8.19
CC(C)C(=O)c1cnc2ccc(nc2c1Nc3ccc(nc3)N4CCC[C@@H](N)C4)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3692837	pIC50=8.19
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(cc5)C(O)CN(C)C)c3c2	CHEMBL3679330	pIC50=8.19
N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674166	pIC50=8.19
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cncc(CCN6CCCC6)c5)c3c2	CHEMBL3684236	pIC50=8.19
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)S(=O)(=O)C	CHEMBL3674274	pIC50=8.2
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C(C)C)c(N[C@@H]4CC[C@@H](CN(C)C)CC4)c3c2	CHEMBL3679235	pIC50=8.2
CCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)N(C)C)c4cc(F)c(O)c(Cl)c4	CHEMBL3679374	pIC50=8.21
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCC(C4)N(C)C)c5cc(F)c(O)c(Cl)c5	CHEMBL3684216	pIC50=8.21
CN1CCC(CC1)n2cc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C(C)(C)C)cn2	CHEMBL3684285	pIC50=8.21
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC5CCC(CC5)N6CC[C@@H](F)C6)c3c2	CHEMBL3679271	pIC50=8.21
Oc1ccc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCNCC6)c3c2	CHEMBL3674278	pIC50=8.21
C(Oc1cnccc1c2cnn(c2)c3ccc(cc3)N4CCOCC4)C5CCNCC5	CHEMBL3823302	pIC50=8.22
CC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCC(N)C4)c5cc(F)c(O)c(Cl)c5	CHEMBL3684137	pIC50=8.22
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C	CHEMBL3674205	pIC50=8.22
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3674237	pIC50=8.22
CN1CCC(CC1)Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3688378	pIC50=8.22
CN1CCN(CC1)c2ccc(cc2)n3cc(cn3)c4ccncc4OC5CCNCC5	CHEMBL3822465	pIC50=8.22
CN1CCN(Cc2ccc(Nc3c(cnc4ccc(nc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)cc2)CC1	CHEMBL3688366	pIC50=8.22
CN1CCN(Cc2ccc(cc2)c3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)CC1	CHEMBL3674333	pIC50=8.22
CN(C)CC(O)c1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3679329	pIC50=8.23
CN(C)CCc1ccc(Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)cc1	CHEMBL3688362	pIC50=8.23
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(CN5CCCC5)cc4)c3c2	CHEMBL3674271	pIC50=8.23
CN1CCC(CC1)Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3688377	pIC50=8.24
CN1CCN(C[C@@H]2CC[C@H](C2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)CC1	CHEMBL3679349	pIC50=8.24
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](CN5CCN(C)CC5)CC4)c3c2	CHEMBL3684150	pIC50=8.24
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCC(N)CC6)c3c2	CHEMBL3679187	pIC50=8.24
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(NC5CCNCC5)c3c2	CHEMBL3679347	pIC50=8.24
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N5CCN(CCN6CCCC6)CC5)c3c2	CHEMBL3674256	pIC50=8.24
CCN(CC)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684157	pIC50=8.25
CNC1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3684148	pIC50=8.25
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cccc(CCN(C)C)c5)c3c2	CHEMBL3679315	pIC50=8.25
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnc(nc5)N6CCC(N)CC6)c3c2	CHEMBL3679190	pIC50=8.25
NC1CCN(CC1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679186	pIC50=8.25
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cccc(CCN6CCCC6)c5)c3c2	CHEMBL3684160	pIC50=8.25
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(OCCN6CCCC6)cc5)c3c2	CHEMBL3674336	pIC50=8.25
CN(C)C[C@@H]1CC[C@H](C1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3679339	pIC50=8.26
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)S(=O)(=O)C)cc1	CHEMBL3674255	pIC50=8.26
CN(C)[C@@H]1CC[C@@H](CNc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)CC1	CHEMBL3674219	pIC50=8.26
CN1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)CC1	CHEMBL3684145	pIC50=8.26
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CCN(C)C)cc5)c3c2	CHEMBL3679241	pIC50=8.26
NCCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679345	pIC50=8.26
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3684135	pIC50=8.27
CN1CCN(CCc2cccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)c2)CC1	CHEMBL3684188	pIC50=8.27
CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679170	pIC50=8.28
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)S(=O)(=O)C	CHEMBL3674181	pIC50=8.28
CN(C)CCN1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684178	pIC50=8.28
CN(C)CCNC(=O)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684248	pIC50=8.28
CN(C)CCNc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3679375	pIC50=8.28
CN(C)CCOc1ccc(Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)S(=O)(=O)C)cn1	CHEMBL3688357	pIC50=8.28
CCCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(Cl)c(O)c(OC)c4	CHEMBL3679236	pIC50=8.29
CN(C)Cc1cccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)c1	CHEMBL3679256	pIC50=8.29
CN1CCN(CCc2cccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)c2)CC1	CHEMBL3684186	pIC50=8.29
COc1cc(cc(Cl)c1O)c2ccc3ncc([S+](C)[O-])c(N4CCC(CN(C)C)CC4)c3c2	CHEMBL3674319	pIC50=8.29
CS(=O)(=O)c1cnc2ccc(cc2c1N3CCC(CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3639731	pIC50=8.29
CN1CCN(CC1)C2CCN(CC2)c3c(cnc4ccc(cc34)c5ccc(O)c(Cl)c5)C(=O)C6CC6	CHEMBL3674231	pIC50=8.3
CN1CCN(CC1)c2ccc(cc2)n3cc(cn3)c4ccncc4OCC5CCNCC5	CHEMBL3824068	pIC50=8.3
COC1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(OC)c5)C(=O)C6CC6)C1	CHEMBL3679229	pIC50=8.3
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)CC(C)C)c(N[C@@H]4CC[C@@H](N)CC4)c3c2	CHEMBL3674191	pIC50=8.3
COc1cc(cc(Cl)c1O)c2ccc3ncc(c(Nc4ccc(CN(C)C)cc4)c3n2)S(=O)(=O)C	CHEMBL3688351	pIC50=8.3
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(Cl)c(O)c(OC)c4	CHEMBL3684133	pIC50=8.31
COc1cc(cc(Cl)c1O)c2ccc3ncc([S+](C)[O-])c(N[C@@H]4CC[C@@H](N)CC4)c3c2	CHEMBL3674349	pIC50=8.31
CC(=O)c1cnc2ccc(cc2c1Nc3cnc(nc3)N4CCNCC4)c5cc(F)c(O)c(Cl)c5	CHEMBL3679224	pIC50=8.32
CN(C)CC[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3679360	pIC50=8.32
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CCCC4)c(N[C@@H]5CC[C@@H](CN(C)C)CC5)c3c2	CHEMBL3684270	pIC50=8.32
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(cn5)N6CCNCC6)c3c2	CHEMBL3679165	pIC50=8.32
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnc(nc5)N6CCNCC6)c3c2	CHEMBL3674345	pIC50=8.32
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3679352	pIC50=8.33
CC(C)C(N)C(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684261	pIC50=8.33
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679313	pIC50=8.33
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cc(C)c(O)c(C)c4)C(=O)C	CHEMBL3692785	pIC50=8.33
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnc(nc5)N6CCNCC6)c3c2	CHEMBL3674352	pIC50=8.33
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCC[C@H]4CO)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684201	pIC50=8.34
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CCCC5	CHEMBL3674239	pIC50=8.34
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674199	pIC50=8.34
CN(C)CCOc1ccc(Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3688354	pIC50=8.34
CN1CCN(CC1)C2CCN(CC2)c3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6	CHEMBL3674230	pIC50=8.34
Oc1ccc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@H](CC5)N6CCCC6)c3c2	CHEMBL3674225	pIC50=8.34
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4ccc(O)cc4)C(=O)C	CHEMBL3692814	pIC50=8.35
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4ccc(nc4)C#N)C(=O)C	CHEMBL3692813	pIC50=8.35
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@H]5C[C@H]6CC[C@@H](C5)N6)c3c2	CHEMBL3679212	pIC50=8.35
CN1CCN(CC1)C(=O)[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C	CHEMBL3684253	pIC50=8.36
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4cnc(nc4)N5CCNCC5)c3c2	CHEMBL3679244	pIC50=8.36
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(C5=CCNCC5)c3c2	CHEMBL3674362	pIC50=8.36
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NCC5CCNCC5)c3c2	CHEMBL3674182	pIC50=8.36
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(cn5)N6CCNCC6)c3c2	CHEMBL3679168	pIC50=8.36
NC1CCCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679193	pIC50=8.36
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N5CCN(CCN6CCCC6)C(=O)C5)c3c2	CHEMBL3674291	pIC50=8.36
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCCC(N)C4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684176	pIC50=8.37
CC(=O)c1cnc2ccc(nc2c1Nc3ccc(CN4CCCC4)cc3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3692786	pIC50=8.37
CC(=O)c1cnc2ccc(nc2c1Nc3ccc(nc3)N4CCC[C@H](N)C4)c5cc(F)c(O)c(Cl)c5	CHEMBL3692798	pIC50=8.37
CN(C)CCNc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679365	pIC50=8.37
CN[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C	CHEMBL3679181	pIC50=8.37
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC[C@@H]5CC[C@H](CC5)N(C)C)c3c2	CHEMBL3674212	pIC50=8.37
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(OCCN)nc5)c3c2	CHEMBL3679343	pIC50=8.37
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)CC(C)C)c(N[C@@H]4CC[C@H](CC4)N(C)C)c3c2	CHEMBL3674229	pIC50=8.37
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CC[C@@H](F)C6)CC5)c3c2	CHEMBL3679206	pIC50=8.37
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H](N)C(C)(C)C)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3684276	pIC50=8.38
CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCNCC4)c5cc(Cl)c(O)c(OC)c5	CHEMBL3679245	pIC50=8.38
CN(C)C[C@@]1(O)CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679297	pIC50=8.38
CN1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)CC1	CHEMBL3679246	pIC50=8.38
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(CCN(C)C)cc4)c3c2	CHEMBL3679361	pIC50=8.38
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CC5)C6CCNCC6)c3c2	CHEMBL3679225	pIC50=8.38
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC5C[C@H]6CC[C@@H](C5)N6)c3c2	CHEMBL3679211	pIC50=8.38
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(CN(C)C)cc5)c3c2	CHEMBL3674234	pIC50=8.38
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3674188	pIC50=8.39
COc1cc(cc(Cl)c1O)c2ccc3ncc(c(N[C@@H]4CC[C@@H](CN(C)C)CC4)c3c2)S(=O)(=O)C	CHEMBL3674273	pIC50=8.39
COc1cc(cc(F)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CN6CCCC6)CC5)c3c2	CHEMBL3674207	pIC50=8.39
NC1CCN(CC1)c2cc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)ccn2	CHEMBL3679355	pIC50=8.39
CC(=O)c1cnc2ccc(cc2c1Nc3cccc(CCN4CCCC4)c3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684161	pIC50=8.4
CCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3679336	pIC50=8.4
CN(C)C1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)C1	CHEMBL3679286	pIC50=8.4
CN(C)CC(=O)N1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674292	pIC50=8.4
CN1CCN(CC1)c2ccc(cc2)n3cc(cn3)c4ccncc4OC5CCCCC5	CHEMBL3823874	pIC50=8.4
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC6(CCNC6)CC5)c3c2	CHEMBL3674161	pIC50=8.4
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN(C)C)cc5)c3c2	CHEMBL3674224	pIC50=8.4
NC1CCN(C1)c2ncc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679207	pIC50=8.4
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(NC5CCC(CC5)N6CC[C@@H](F)C6)c3c2	CHEMBL3679269	pIC50=8.4
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCC(C4)N(C)C)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684219	pIC50=8.41
