C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=7.67999983	pKi=7.67999983	pKi=7.67999983
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.55909092	pKi=6.55909092	pKi=6.55909092
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=7.82390874	pKi=7.82390874	pKi=7.82390874	pIC50=7.39
NC[C@H](O)c1ccc(O)c(O)c1	norepinephrine	pKi=7.18	pKi=7.18	pKi=7.18	pKi=7.18
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pEC50=8.82	pEC50=8.82	pEC50=8.82
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pKi=8.42	pKi=8.42	pKi=8.42	pKi=8.06
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=8.54	pKi=8.54	pKi=8.54	pKi=8.54
CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1	lofexidine	pKi=8.36	pKi=8.36	pKi=8.36	pKi=8.36
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.77	pKi=8.77	pKi=8.77	pKi=7.25
C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=6.64	pKi=6.64	pKi=6.64
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1	phenoxybenzamine	pIC50=6.28	pIC50=6.28	pIC50=6.28
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O	methyldopa
NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl	guanfacine	pEC50=7.1642	pEC50=7.1642	pEC50=7.1642	pKi=7.3
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=8.3872	pEC50=8.3872	pEC50=8.3872	pKi=8.17
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=9.38	pKi=9.38	pKi=9.38	pEC50=8.07
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
CC(Oc1ccccc1c2cccc(F)c2)C3=NCCN3	CHEMBL223836	pKi=7.83
C([C@H]1C2CCC(C2)[C@H]1NC3=NCCO3)c4ccccc4	CHEMBL295186	pKi=7.86
COc1cc2OCC3C(CN4CCN(CCC(=O)c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL328735	pKi=7.92
COc1cccc2CC3(CCc12)CN=CN3	CHEMBL336332	pKi=7.92
Fc1cccc2CCC3(CN=CN3)Cc12	CHEMBL131220	pKi=7.92
CC(Oc1c(C)cccc1C)C2=NCCN2	CHEMBL155866	pKi=7.93
CO[C@@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256502	pKi=7.93
COc1cc2N(C)C[C@H]3[C@H](CN4CCN(CCC\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL2112977	pKi=7.96
COc1ccccc1N2CCN(CCCCCNC(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221591	pKi=7.96
CC1=C(CCCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165776	pIC50=7.99
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1	risperidone	pKi=8.0
CN(C)C[C@H]1CC2[C@H](O1)c3cc(Cl)ccc3Oc4ccccc24	CHEMBL435301	pKi=8.0
CN(C)c1nc(NCC2CCC(CNC(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14	CHEMBL367355	pIC50=8.0
COc1ccc(Nc2ncc[nH]2)c(C)c1	CHEMBL77913	pKi=8.0
Cc1c(NC2=NCCN2)ccc3NCCNc13	CHEMBL49284	pKi=8.02
CN1CCc2cccc(Cl)c2CC1	CHEMBL123349	pKi=8.03
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccc(F)cc5F)CC4)ON=C3c2cc1OC	CHEMBL328631	pKi=8.03
COc1cc2NC[C@H]3[C@H](CN4CCN(CCOc5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL2112969	pKi=8.04
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL419894	pKi=8.05
COc1cc2OCC3C(CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL93489	pKi=8.06
Oc1cccc2C(CCCc12)c3c[nH]cn3	CHEMBL317912	pKi=8.06
COc1ccccc1N2CCN(CCCCCNS(=O)(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221592	pKi=8.07
C1CN=C(N1)C2COc3ccccc3O2	CHEMBL10316	pIC50=8.08
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL123325	pKi=8.09
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	CHEMBL1403281	pIC50=8.1
COc1cc2NC[C@H]3[C@H](CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL2112983	pKi=8.1
CN(C)c1nc(NCC2CCC(CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14	CHEMBL193438	pIC50=8.11
Cl.CN(C)c1nc(NC[C@@H]2CC[C@@H](CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14	CHEMBL537846	pIC50=8.11
CCC1(Cc2ccc(F)cc2C1)c3c[nH]cn3	CHEMBL1255582	pKi=8.14
Cc1c(NC2=NCCN2)ccc3nccnc13	CHEMBL49137	pKi=8.14
Cc1ccc2CCC3(CN=CN3)Cc2c1	CHEMBL98471	pKi=8.16
Ic1c(NC2=NCCN2)ccc3nccnc13	CHEMBL70676	pKi=8.17
Brc1c(NC2=NCCN2)ccc3NCCNc13	CHEMBL74283	pKi=8.19
COc1cc2NC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL2112971	pKi=8.19
CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	CHEMBL1385840	pIC50=8.2
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	CHEMBL41	pKi=8.2
COc1cccc(c1)N(NC2=NCCN2)c3ccc(C)cc3	CHEMBL362954	pKi=8.2
COc1ccccc1N2CCN(CCCCCCNC(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221593	pKi=8.21
Cc1c(Nc2ncc[nH]2)ccc3OCCNc13	CHEMBL432155	pKi=8.22
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5cccc(F)c5)CC4)ON=C3c2cc1OC	CHEMBL95218	pKi=8.23
Fc1ccc2CC(CC3CN=CN3)Cc2c1	CHEMBL90997	pKi=8.23
CN(C)c1nc(NCC2CCN(CC2)S(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)nc4ccccc14	CHEMBL194173	pIC50=8.25
C1CCCC(CC1)NC2=NCCO2	CHEMBL305928	pKi=8.27
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccccc5OC)CC4)ON=C3c2cc1OC	CHEMBL101361	pKi=8.28
COc1ccccc1N2CCN(CCNS(=O)(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221499	pKi=8.29
COc1cc2OCC3C(CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL94129	pKi=8.3
COc1c(C)c(Nc2ncc[nH]2)c(C)cc1C(C)(C)C	CHEMBL75257	pKi=8.31
COc1ccccc1N2CCN(CCCNS(=O)(=O)c3ccc4ccccc4c3)CC2	CHEMBL497749	pKi=8.33
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC(=O)C(C)(C)C)ccc45)CC2	CHEMBL178588	pKi=8.33
Cc1ccc(cc1)N(NC2=NCCO2)c3cccc(O)c3	CHEMBL370818	pKi=8.33
COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL10347	pKi=8.34
COc1ccccc1N2CCN(CCCNC(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221544	pKi=8.34
COc1ccccc1N2CCN(CCCCNS(=O)(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221545	pKi=8.39
C(C1Cc2ccccc2C1)C3CN=CN3	CHEMBL353843	pKi=8.4
C([C@@H]1ON=C2[C@H]1CNc3ccccc23)N4CCN(Cc5ccc6ccccc6c5)CC4	CHEMBL2112984	pKi=8.4
CCCO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256566	pKi=8.4
C1CC12c3ccccc3[C@H]4C[C@@]24c5c[nH]cn5	CHEMBL1255617	pKi=8.41
CC1=C(CCN2CCc3oc4ccc(Cl)cc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165677	pIC50=8.41
Cl.COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL537669	pIC50=8.44
COC1=CN2C(=O)C(=C(C)N=C2C=C1OC)CCN3CCc4oc5ccccc5c4C3	CHEMBL162058	pIC50=8.45
COc1cccc(OC)c1OCCNCC2COc3ccccc3O2	CHEMBL25554	pKi=8.46
CCO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256565	pKi=8.48
C1C[C@@]2(CC2[C@@H]3CN=CN3)Cc4ccccc14	CHEMBL354611	pKi=8.5
CCC1(Cc2ccccc2C1)c3cnc[nH]3	CHEMBL353972	pKi=8.5
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccc(F)c5F)\C)CC4)ON=C3c2cc1OC	CHEMBL419336	pKi=8.52
Clc1cc(Cl)c2CCC3(CN=CN3)Cc2c1	CHEMBL338683	pKi=8.52
CCC[C@H]1CCCCC1NC2=NCCO2	CHEMBL310335	pKi=8.53
CCC[C@H]1CCCC[C@@H]1NC2=NCCO2	CHEMBL297752	pKi=8.53
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL98541	pKi=8.54
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccccc5F)CC4)ON=C3c2cc1OC	CHEMBL319573	pKi=8.54
COc1ccccc1N2CCN(CCCCCCNS(=O)(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221594	pKi=8.54
COc1ccccc1N2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2	CHEMBL25236	pKi=8.56
COc1cccc2[C@H](CN(C)CCc3ccc4ccoc4c3)CCCc12	CHEMBL268258	pKi=8.6
COc1cc2NC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL2112985	pKi=8.62
C1CC(NC2=NCCO2)c3ccccc3C1	CHEMBL75030	pKi=8.63
O=C1N2C=CC=CC2=NC(=C1CCN3CCc4oc5ccccc5c4C3)Cc6ccccc6	CHEMBL162436	pIC50=8.66
CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	ergotamine	pIC50=8.67
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C1=O.CS(=O)(=O)O	CHEMBL1255837	pIC50=8.7
CN1CCc2c(C1)c3cc(C)ccc3n2CCc4ccccc4	CHEMBL592752	pKi=8.7
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccc(O)cc5)CC4)ON=C3c2cc1OC	CHEMBL329065	pKi=8.72
Cl.COC1(COc2ccccc2O1)C3=NCCN3	CHEMBL1256176	pKi=8.72
COc1ccc2C3=NO[C@@H](CN4CCN(C\C=C\c5ccccc5)CC4)[C@@H]3C=Cc2c1	CHEMBL2112982	pKi=8.75
COc1ccc2C3=NO[C@@H](CN4CCN(Cc5ccc6ccccc6c5)CC4)[C@@H]3C=Cc2c1	CHEMBL2112972	pKi=8.75
CC1=C(CCN2CCc3sc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165181	pIC50=8.76
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL555190	pKi=8.76
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccs5)\C)CC4)ON=C3c2cc1OC	CHEMBL98646	pKi=8.77
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5occc5)\C)CC4)ON=C3c2cc1OC	CHEMBL99916	pKi=8.77
COc1ccccc1N2CCN(CCNC(=O)c3ccc4ccccc4c3)CC2	CHEMBL1221498	pKi=8.77
Cc1c(Nc2ncc[nH]2)ccc3OCCOc13	CHEMBL308570	pKi=8.77
CN1CC2[C@H](CN3CCN(C\C=C\c4ccccc4)CC3)ON=C2c5ccccc15	CHEMBL1085510	pKi=8.8
CN1C[C@H]2[C@H](CN3CCN(C\C=C\c4ccccc4)CC3)ON=C2c5ccccc15	CHEMBL2112970	pKi=8.8
NC1=NC2(CCc3cccc(Cl)c3C2)CO1	CHEMBL133231	pKi=8.8
C(Cc1ccccc1)[C@H]2CCCC[C@@H]2NC3=NCCO3	CHEMBL47313	pKi=8.84
COc1cc2OCC3C(CN4CCN(C\C=C(/C)\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL327875	pKi=8.85
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccsc5)CC4)ON=C3c2cc1OC	CHEMBL328195	pKi=8.85
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL542527	pKi=8.87
CCOCCOCCOc1ccc2C3=NO[C@@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)[C@@H]3COc2c1	CHEMBL179237	pKi=8.89
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC6CCCC6)ccc45)CC2	CHEMBL369378	pKi=8.89
C1C[C@]2(CN=CN2)C[C@@H]3Cc4ccccc4C[C@@H]13	CHEMBL165529	pKi=8.9
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL539606	pKi=8.9
Cc1c(NC2=NCCN2)ccc3OCCNc13	CHEMBL298936	pKi=8.92
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(C=C(Cl)C5=N1)C(F)(F)F	CHEMBL162147	pIC50=8.93
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL551711	pKi=8.93
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccc(F)c5)\C)CC4)ON=C3c2cc1OC	CHEMBL263424	pKi=8.96
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccsc5)\C)CC4)ON=C3c2cc1OC	CHEMBL101596	pKi=8.96
CC1(C)[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255770	pKi=8.97
CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(NCCc4ccc(CCC(=O)Nc5ccc(OC(=O)C)c(c5)[N+](=O)[O-])cc4)nc23	CHEMBL3335523	pKd=8.99
CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	dihydroergotamine	pIC50=8.99
CNC(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	CHEMBL1627	pKi=9.0
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccccc5OC)\C)CC4)ON=C3c2cc1OC	CHEMBL99868	pKi=9.0
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC(=O)c6ccncc6)ccc45)CC2	CHEMBL425324	pKi=9.0
C(\C=C\c1ccccc1)N2CCN(CC3ON=C4C3COc5ccccc45)CC2	CHEMBL90943	pKi=9.05
C(\C=C\c1ccccc1)N2CCN(C[C@@H]3ON=C4[C@H]3COc5ccccc45)CC2	CHEMBL2112978	pKi=9.05
CC1=C(CCN2CCc3oc4c(Cl)cccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL164612	pIC50=9.05
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC(=O)C6CC6)ccc45)CC2	CHEMBL175911	pKi=9.05
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC(=O)C=C)ccc45)CC2	CHEMBL180322	pKi=9.05
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL543232	pKi=9.06
CCC[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1255616	pKi=9.07
CN1CCc2c(C1)c3cc(C)ccc3n2CCc4ccc(C)cc4	CHEMBL605081	pKi=9.09
COc1cc2OCC3C(CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL93171	pKi=9.1
COc1ccc2OCC3C(CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2c1	CHEMBL422597	pKi=9.1
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL538808	pKi=9.12
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=C(O)C5=N1	CHEMBL162826	pIC50=9.16
COCC(=O)Oc1ccc2C3=NO[C@@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)[C@@H]3COc2c1	CHEMBL175853	pKi=9.16
CC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3	CHEMBL351200	pIC50=9.22
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Cl)C=C(Cl)C5=N1	CHEMBL163247	pIC50=9.23
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL162501	pIC50=9.26
CC[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256610	pKi=9.29
CC(C)NC(C)C(O)COc1ccc(C)c2CCCc12	CHEMBL513389	pIC50=9.3
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5occc5)CC4)ON=C3c2cc1OC	CHEMBL319530	pKi=9.3
COc1ccc2C3=NOC(CN4CCN(C\C=C\c5ccccc5)CC4)C3COc2c1	CHEMBL90247	pKi=9.3
COc1ccc2C3=NO[C@@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)[C@@H]3COc2c1	CHEMBL176002	pKi=9.3
CC1=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N2C=C1)C	CHEMBL165796	pIC50=9.35
C[C@]12C[C@]1(Cc3ccccc23)c4c[nH]cn4	CHEMBL1255771	pKi=9.35
CCC[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255724	pKi=9.39
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC(=O)C)ccc45)CC2	CHEMBL176116	pKi=9.4
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL554019	pKi=9.41
COC1(COc2ccccc2O1)C3=NCCN3	CHEMBL10332	pKi=9.44
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Br)C=CC5=N1	CHEMBL165350	pIC50=9.45
CC1=CN2C(=O)C(=C(C)N=C2C=C1)CCN3CCc4oc5ccccc5c4C3	CHEMBL162370	pIC50=9.46
CC1=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N2C(=C1)C)C	CHEMBL162232	pIC50=9.47
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pIC50=9.51
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cc(F)ccc5F)\C)CC4)ON=C3c2cc1OC	CHEMBL319119	pKi=9.52
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5cccs5)CC4)ON=C3c2cc1OC	CHEMBL100879	pKi=9.52
COC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3	CHEMBL162490	pIC50=9.53
CC1=CC=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N12)C	CHEMBL163190	pIC50=9.54
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(I)C=CC5=N1	CHEMBL162682	pIC50=9.62
CN1CCc2c(C1)c3cc(C)ccc3n2\C=C/c4ccccc4	CHEMBL605405	pKi=9.62
C[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256609	pKi=9.66
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Cl)C=CC5=N1	CHEMBL351483	pIC50=9.67
C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(O)ccc45)CC2	CHEMBL180470	pKi=9.7
C[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1256378	pKi=9.76
CC[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255723	pKi=9.86
CN(C)CCOc1ccc2C3=NO[C@@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)[C@@H]3COc2c1	CHEMBL176261	pKi=10.0
COCCOc1ccc2C3=NO[C@@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)[C@@H]3COc2c1	CHEMBL435352	pKi=10.0
C1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1256414	pKi=10.1
