CC(C)Nc1cc(COc2cccc(F)c2)nc(n1)c3ccccn3	CHEMBL3741045	pIC50=7.0
Cc1c(Cl)c(OCCCS(=O)(=O)C)c(Cl)c(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047170	pKi=7.92
Cc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)onc3C	CHEMBL3800362	pEC50=7.92
Cc1cc(Cl)ccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nnnn4C)c2	CHEMBL3287571	pEC50=7.92
Cc1nc(C)c(COc2cc(C)c(c(C)c2)c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3)s1	CHEMBL2047162	pKi=7.92
Cl.Cc1cccc(Oc2cc(C)c(c(C)c2)c3cccc(COc4ccc(CCC(=O)O)c(F)c4)c3)n1	CHEMBL2048620	pKi=7.92
Cc1ccccc1c2cccc(CNc3ccc(CCC(=O)O)cc3)c2	CHEMBL1773261	pEC50=7.95
OC(=O)C[C@@H]1COc2cc3O[C@@H](COc3cc12)c4cccc(c4)C(F)(F)F	CHEMBL2381289	pEC50=7.95
CCc1cc(OCCCS(=O)(=O)C)cc(CC)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047164	pKi=7.96
Cc1onc(C)c1c2ccc(F)c(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL3798044	pEC50=7.96
CC(CC(=O)O)c1ccc(OCc2cccc(c2)c3c(C)cccc3C)nc1	CHEMBL3288358	pEC50=8.0
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(OC(F)(F)F)cccc23)cc1	CHEMBL3604065	pEC50=8.0
Cc1cccc(C)c1c2cccc(COc3cc(C)c(CCC(=O)O)cn3)c2	CHEMBL3288351	pEC50=8.03
Cc1onc(C)c1c2ccc(Cl)c(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL3799898	pEC50=8.03
Cl.CN1CCC(CC1)Oc2cc(C)c(c(C)c2)c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047161	pKi=8.06
Cc1cccc(C)c1c2cccc(COc3ccc(CC(F)C(=O)O)cn3)c2	CHEMBL3288354	pEC50=8.07
Fc1ccc(OCc2cc(OCC(F)(F)F)nc(n2)c3ccccn3)c(F)c1F	CHEMBL3741349	pIC50=8.1
CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(c(F)c2)C(F)(F)F)cc1	CHEMBL3604058	pEC50=8.13
Cc1cc(OCCOCCNc2ccc(c3nonc23)[N+](=O)[O-])ccc1c4cccc(COc5ccc(CCC(=O)O)c(F)c5)c4	CHEMBL3817889	pKd=8.13
CCOC(CC(=O)O)c1ccc(OCc2ccc(cc2)C(F)(F)F)cc1	CHEMBL3604048	pEC50=8.14
Cc1cccc(C)c1c2cc(COc3ccc4C(CC(=O)O)COc4c3)ccc2OCc5ccccc5	CHEMBL2022256	pKi=8.16
CO[C@@H](c1cc(COc2ccc3CC[C@](C)(CC(=O)O)c3c2)ccc1c4cc(OC)ncc4F)C(C)(C)C	CHEMBL3265150	pEC50=8.17
CCOC(CC(=O)O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1	CHEMBL3427702	pEC50=8.21
CC[C@H](CC(=O)O)c1ccnc(OCc2ccc(c(c2)[C@@H]3CCCC3(C)C)c4cc(OC)ncc4F)c1	CHEMBL3265145	pEC50=8.22
COc1ccc(F)c(c1)c2ccc(Cc3ccc(cc3)N4N=C(C(C)C4CC(=O)O)c5ccccc5)c(C)c2	CHEMBL3330550	pEC50=8.22
CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(cc2)C(F)(F)F)cc1	CHEMBL3425533	pEC50=8.28
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(Cl)cccc23)cc1	CHEMBL3427711	pEC50=8.3
CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1	CHEMBL3427703	pEC50=8.41
Cc1cccc(C)c1c2cccc(COc3cnc(CCC(=O)O)cn3)c2	CHEMBL3288348	pEC50=8.42
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c2cccc3C(F)(F)F)cc1	CHEMBL3427712	pEC50=8.43
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)cn3)c2	CHEMBL3288344	pEC50=8.46
COc1cc(c(F)cn1)c2ccc(COc3ccc4CC[C@](C)(CC(=O)O)c4c3)cc2[C@@H]5CCCC5(C)C	CHEMBL3265147	pEC50=8.47
COc1cc(c(F)cn1)c2ccc(COc3cc(ccn3)[C@@H](CC(=O)O)C4CC4)cc2[C@@H]5CCCC5(C)C	CHEMBL3265144	pEC50=8.77
CO[C@@H](c1cc(COc2cc(ccn2)[C@@H](CC(=O)O)C3CC3)ccc1c4cc(OC)ncc4F)C(C)(C)C	CHEMBL3265149	pEC50=9.22
