CC1=C(C=CC=C1)C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCCC(O)C2=CC(Cl)=CC=C12	tolvaptan	pKi=9.0	pKi=9.0	pKi=9.0	pKi=9.37
CC1=NC2=C(N1)C1=C(C=CC=C1)N(CC2)C(=O)C1=CC=C(NC(=O)C2=C(C=CC=C2)C2=CC=CC=C2)C=C1	conivaptan	pKi=9.44	pKi=9.44	pKi=9.44	pKi=9.44
CN(C)C1CCCN(C(=O)C2=CC=C(NC(=O)C3=C(C)C=CC=C3)C=C2)C2=CC=CC=C12	mozavaptan	pKi=8.03	pKi=8.03	pKi=8.03	pKi=8.01
NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N	desmopressin	pKi=8.3	pKi=8.3	pKi=8.3	pKi=8.3
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O	vasopressin	pKi=8.92	pKi=8.92	pKi=8.92
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O	lypressin
Cl.FC1(F)CCN(C(=O)c2ccc(cc2Cl)n3cc4ccccc4n3)c5ccccc5/C/1=C/C(=O)NCc6ccccn6	CHEMBL448195	pKi=7.7
O=C(Nc1ccc(cc1)C(=O)N2CCC(CCn3cnnn3)Sc4ccccc24)c5ccccc5c6ccccc6	CHEMBL131727	pIC50=7.7
O=C(Nc1ccc(cc1)C(=O)N2CCCc3c[nH]c4cccc2c34)c5ccccc5c6ccccc6	CHEMBL165670	pIC50=7.7
CCN(CC)c1ccc(C(=O)N2CCCCc3ccccc23)c(Cl)c1	CHEMBL334688	pIC50=7.72
Cc1cc(F)cc(c1)C(=O)Nc2ccc(C(=O)N3C[C@@H]4C5CCC(CC5)N4Cc6ccccc36)c(Cl)c2	CHEMBL318530	pIC50=7.72
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccc4)\c5ccccc35)c(Cl)c2	CHEMBL520040	pKi=7.72
Clc1ccc(C(=O)Nc2ccc(cc2)C(=O)N3Cc4sccc4Cc5ccccc35)c(Cl)c1	CHEMBL297293	pIC50=7.72
CCCCN(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C(=O)[C@@H]1CCSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N1	CHEMBL3354582	pEC50=7.75
CCCNC(=O)\C=C/1\c2ccccc2N(CCC1(F)F)C(=O)c3ccc(cc3Cl)n4ccc(C)n4	CHEMBL478083	pKi=7.75
CCCNc1ccc(C(=O)N2CCCCc3ccccc23)c(Cl)c1	CHEMBL136177	pIC50=7.75
CN(C)c1ccc(C(=O)N2CCCCc3ccccc23)c(Cl)c1	CHEMBL343935	pIC50=7.75
Cc1cc(N)ccc1C(=O)N2CCCCc3cc(Cl)ccc23	CHEMBL334376	pIC50=7.75
Cl.CC(C)c1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL500371	pKi=7.75
Fc1ccc2CN3CCSCC3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4)c2c1F	CHEMBL92187	pKi=7.75
OC(=O)CNC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL419183	pIC50=7.75
OCC1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL250346	pIC50=7.75
COc1ccc(c2ccccc2)c(c1)C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL328227	pKi=7.77
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCOCCOCCOCCC(=O)NC5CCCN(C(=O)c6ccc(NC(=O)c7ccccc7c8ccccc8)cc6)c9ccccc59	CHEMBL2172393	pKi=7.78
CN(C)CCCNC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL321656	pIC50=7.8
COc1cccc(CNC(=O)\C=C/2\c3ccccc3N(CCC2(F)F)C(=O)c4ccc(cc4Cl)n5ccc(C)n5)n1	CHEMBL509183	pKi=7.8
C[C@@H]1CCN(C1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCCO)\c4ccccc34)c(c2)C(F)(F)F	CHEMBL594488	pKi=7.8
Cl.CC1CCCN1c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL479919	pKi=7.8
Clc1ccc2N(CCCCc2c1)C(=O)c3ccc(cc3Cl)N4CCCC4	CHEMBL136628	pIC50=7.8
OC(=O)CC[C@@H]1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL334777	pIC50=7.8
COc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CC5CSCCN5Cc6ccccc46	CHEMBL93209	pKi=7.82
COc1cc(ccc1c2csc3ccccc23)C(=O)N4C[C@]5(C)C[C@H]4CC(C)(C)C5	CHEMBL1083703	pKi=7.82
Cl.Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4C[C@@H]5COCCN5Cc6ccccc46	CHEMBL2093899	pKi=7.82
Clc1cc(ccc1NC(=O)c2ccccc2c3ccccc3)C(=O)N4CCCc5c[nH]c6cccc4c56	CHEMBL165076	pIC50=7.82
OC(=O)CC[C@H]1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL128688	pIC50=7.82
CN(C)Cc1ccc2CN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3O)c6ccccc6Cn12	CHEMBL164226	pIC50=7.83
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)NCCOCCOCCOCCn5cc(CNC(=O)CCC(=O)NC6CCCN(C(=O)c7ccc(NC(=O)c8ccccc8c9ccccc9)cc7)c%10ccccc6%10)nn5)S(=O)(=O)[O-]	CHEMBL2172294	pKi=7.85
CCN1\C(=C\C=C\C=C\C2=[N+](CC)c3ccc(cc3C2(C)C)S(=O)(=O)[O-])\C(C)(CCCC(=O)NCCOCCOCCOCCOCCOCCOCCn4cc(CNC(=O)CCC(=O)NC5CCCN(C(=O)c6ccc(NC(=O)c7ccccc7c8ccccc8)cc6)c9ccccc59)nn4)c%10cc(ccc1%10)S(=O)(=O)O	CHEMBL2172291	pKi=7.85
C[C@H]1CCN(C1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCCO)\c4ccccc34)c(Cl)c2	CHEMBL594026	pKi=7.85
C[C@H]1CCN(C1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCCO)\c4ccccc34)c(c2)C(F)(F)F	CHEMBL593325	pKi=7.85
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3Cc4ccc(C(=O)O)n4Cc5ccccc35)c(Cl)c2	CHEMBL350408	pIC50=7.85
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4cnccn4)\c5ccccc35)c(Cl)c2	CHEMBL474274	pKi=7.85
Cl.CC1CCN(C1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL479918	pKi=7.85
Cl.FC1(F)CCN(C(=O)c2ccc(cc2Cl)N3CCCCC3)c4ccccc4/C/1=C/C(=O)NCc5ccccn5	CHEMBL480104	pKi=7.85
OC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL400266	pIC50=7.85
C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@@H]4C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N	CHEMBL411148	pKi=7.86
CN(C)c1ccc(C(=O)N2CCCCc3cc(Cl)ccc23)c(Cl)c1	CHEMBL335592	pIC50=7.89
C[C@@H]1CCN(C1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCCO)\c4ccccc34)c(Cl)c2	CHEMBL606464	pKi=7.89
Cc1ccc(cc1)c2ccccc2C(=O)Nc3ccc(cc3)C(=O)N4C[C@@H]5C6CCC(C6)N5Cc7cc(Cl)ccc47	CHEMBL430841	pKi=7.89
Cc1ccn(n1)c2ccc(C(=O)N3CCCCc4ccccc34)c(Cl)c2	CHEMBL136109	pIC50=7.89
Clc1ccc2N(C[C@@H]3C4CCC(CC4)N3Cc2c1)C(=O)c5ccc(NC(=O)c6ccccc6Cl)cc5	CHEMBL318392	pIC50=7.89
OS(=O)(=O)c1[nH]c2cccc3N(CCCc1c23)C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4	CHEMBL165554	pIC50=7.89
Oc1ccc(c2ccccc2)c(c1)C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL329141	pKi=7.89
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)N5CCN(CCC(=O)NC6CCCN(C(=O)c7ccc(NC(=O)c8ccccc8c9ccccc9)cc7)c%10ccccc6%10)CC5	CHEMBL2172392	pKi=7.9
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4nc5ccccc5[nH]4)\c6ccccc36)c(Cl)c2	CHEMBL510500	pKi=7.92
OS(=O)(=O)CCC1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL131439	pIC50=7.92
OS(=O)(=O)c1[nH]c2cccc3N(CCCc1c23)C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)c(Cl)c4	CHEMBL166135	pIC50=7.92
CN1CCN(CC1)C(=O)c2ccc3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4Cl)c7ccccc7Cn23.OC(=O)CC(O)(CC(=O)O)C(=O)O	CHEMBL164387	pIC50=7.94
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C3CCCC3	CHEMBL3353939	pEC50=7.96
CN(C)CCNC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL317243	pIC50=7.96
CN(C)c1cccc(CNC(=O)\C=C/2\c3ccccc3N(CCC2(F)F)C(=O)c4ccc(cc4Cl)n5ccc(C)n5)n1	CHEMBL455279	pKi=7.96
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3C=C4CCC(=O)N4Cc5ccccc35)c(Cl)c2	CHEMBL392363	pIC50=7.96
Cc1ccc(cc1)c2ccccc2C(=O)Nc3ccc(cc3)C(=O)N4CCCc5c[nH]c6cccc4c56	CHEMBL424183	pIC50=7.96
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCC(=O)N)\c4ccccc34)c(Cl)c2	CHEMBL521597	pKi=7.96
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccncn4)\c5ccccc35)c(Cl)c2	CHEMBL514772	pKi=7.96
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4nc5ccccc5s4)\c6ccccc36)c(Cl)c2	CHEMBL449517	pKi=7.96
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4nccs4)\c5ccccc35)c(Cl)c2	CHEMBL477868	pKi=7.96
Cl.FC1(F)CCN(C(=O)c2ccc(cc2Cl)N3CCCCCC3)c4ccccc4/C/1=C/C(=O)NCc5ccccn5	CHEMBL505517	pKi=7.96
Cl.FC1(F)CCN(C(=O)c2ccc(cc2Cl)n3ccc(n3)c4ccccc4)c5ccccc5/C/1=C/C(=O)NCc6ccccn6	CHEMBL455418	pKi=7.96
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CC5CSCCN5Cc6ccccc46	CHEMBL90657	pKi=7.96
Fc1ccc(c2ccccc2)c(c1)C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL94133	pKi=7.96
OCCNC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL421039	pIC50=7.96
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@@H]4C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N	CHEMBL1790575	pKi=8.0
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N(CC3CC3)CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N	CHEMBL3353930	pEC50=8.0
CN1CCCN(CC1)C(=O)CCCOc2cc(ccc2NC(=O)c3ccccc3c4ccccc4)C(=O)N5CCCCc6sccc56	CHEMBL368818	pIC50=8.0
COC(=O)CNC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4cc(F)ccc4C)cc3)c5ccccc5C2)CC1	CHEMBL319636	pIC50=8.0
Cc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CC5CSCCN5Cc6ccccc46	CHEMBL423868	pKi=8.0
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4cccc(N)n4)\c5ccccc35)c(Cl)c2	CHEMBL474072	pKi=8.0
Clc1cccc2CN3CCSCC3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4)c12	CHEMBL93195	pKi=8.0
Fc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CC5CSCCN5Cc6ccccc46	CHEMBL93205	pKi=8.0
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCCO)\c4ccccc34)c(Cl)c2	CHEMBL478283	pKi=8.01
CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c3ccc(cc3Cl)c4ccc(c(Cl)c4Cl)c5cccc6cccnc56)C1	CHEMBL1083479	pKi=8.04
Cl.Cc1cc(C)n(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL444956	pKi=8.04
Cl.FC1(F)CCN(C(=O)c2ccc(cc2Cl)n3cccn3)c4ccccc4/C/1=C/C(=O)NCc5ccccn5	CHEMBL485760	pKi=8.04
CCN(CC)C1CCN(CC1)C(=O)CCCOc2cc(ccc2NC(=O)c3ccccc3c4ccccc4)C(=O)N5CCCCc6sccc56	CHEMBL367323	pIC50=8.05
CCN1\C(=C\C=C\C=C\C2=[N+](CC)c3ccc(cc3C2(C)C)S(=O)(=O)[O-])\C(C)(CCCC(=O)NCCOCCOCCOCCn4cc(CNC(=O)CCC(=O)NC5CCCN(C(=O)c6ccc(NC(=O)c7ccccc7c8ccccc8)cc6)c9ccccc59)nn4)c%10cc(ccc1%10)S(=O)(=O)O	CHEMBL2172290	pKi=8.05
Cc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3Cc4ccsc4Cc5ccccc35	CHEMBL295014	pIC50=8.05
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4C[C@@H]5C6CCC(C6)N5Cc7ccccc47	CHEMBL443498	pKi=8.05
Clc1cc(ccc1C(=O)N2CCCCc3ccccc23)N4CCCC4	CHEMBL340893	pIC50=8.05
FC(F)(F)c1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3C[C@@H]4C5CCC(C5)N4Cc6cc(Cl)ccc36	CHEMBL320416	pKi=8.05
Fc1ccc2CN3CCSCC3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4)c2c1	CHEMBL92470	pKi=8.05
CN(C)C1CCN(CC1)C(=O)c2ccc3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4Cl)c7ccccc7Cn23	CHEMBL436241	pIC50=8.06
Clc1cc(ccc1C(=O)N2CCCCc3ccccc23)n4cccn4	CHEMBL139863	pIC50=8.06
Fc1c(cccc1C(F)(F)F)C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2	CHEMBL314344	pIC50=8.08
CN(C)C1CCN(CC1)C(=O)COc2cc(ccc2NC(=O)c3ccccc3c4ccccc4)C(=O)N5CCCCc6sccc56	CHEMBL177885	pIC50=8.1
CN(C)CCNC(=O)C1=C[C@@]2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL1788220	pIC50=8.1
CN(C)CCNC(=O)C1=C[C@]2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6C2)CC1	CHEMBL399888	pIC50=8.1
Cc1ccc2CN3CCSCC3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4)c2c1	CHEMBL93366	pKi=8.1
O=C(Nc1ccc(cc1)C(=O)N2CCCC3C(=O)Nc4cccc2c34)c5ccccc5c6ccccc6	CHEMBL350576	pIC50=8.1
OC(=O)C[C@@H]1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL336825	pIC50=8.1
OCCC1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL337725	pIC50=8.1
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCCCC(=O)NC5CCCN(C(=O)c6ccc(NC(=O)c7ccccc7c8ccccc8)cc6)c9ccccc59	CHEMBL2172391	pKi=8.12
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)NCCCCN)cc1	CHEMBL2370641	pKi=8.12
O=C(Nc1ccc(cc1)C(=O)N2CCCCc3ccccc23)c4ccccc4c5ccccc5	CHEMBL603708	pEC50=8.12
CN(C)Cc1ccc2CN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3Cl)c6ccccc6Cn12	CHEMBL424163	pIC50=8.13
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4cccc(n4)C#N)\c5ccccc35)c(Cl)c2	CHEMBL446566	pKi=8.13
Clc1cc(ccc1C(=O)N2CCCCc3ccccc23)n4cccc4	CHEMBL342250	pIC50=8.13
Cc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3CCCCc4ccccc34	CHEMBL119793	pKi=8.14
COc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4Cc5ccc(CN6CCN(C)CC6)n5Cc7ccccc47	CHEMBL351019	pIC50=8.16
OC(=O)CC1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL338901	pIC50=8.16
OC(=O)C[C@H]1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL341173	pIC50=8.16
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3Cc4sccc4Cc5ccccc35)c(Cl)c2	CHEMBL48867	pIC50=8.17
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)NCCCCCN)cc1	CHEMBL339532	pKi=8.18
Cc1cc(ccc1NC(=O)c2ccccc2c3ccccc3)C(=O)N4Cc5cnn(C)c5Nc6ccccc46	CHEMBL602872	pKi=8.19
CN1CCN(CC1)C(=O)CCCOc2cc(ccc2NC(=O)c3ccccc3c4ccccc4)C(=O)N5CCCCc6sccc56	CHEMBL413748	pIC50=8.22
Cl.Cc1ccnn1c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL485761	pKi=8.22
O=C(Nc1ccc(cc1)C(=O)N2CC3C4CCC(CC4)N3Cc5ccccc25)c6ccccc6c7ccccc7	CHEMBL317673	pIC50=8.22
Clc1cc(NCC=C)ccc1C(=O)N2CCCCc3ccccc23	CHEMBL136644	pIC50=8.23
CCN1\C(=C\C=C\C=C\C2=[N+](CC)c3ccc(cc3C2(C)C)S(=O)(=O)[O-])\C(C)(CCCC(=O)NCCn4cc(CNC(=O)CCC(=O)NC5CCCN(C(=O)c6ccc(NC(=O)c7ccccc7c8ccccc8)cc6)c9ccccc59)nn4)c%10cc(ccc1%10)S(=O)(=O)O	CHEMBL2172289	pKi=8.25
Cc1cccc(CNC(=O)\C=C/2\c3ccccc3N(CCC2(F)F)C(=O)c4ccc(cc4Cl)n5ccc(C)n5)n1	CHEMBL473872	pKi=8.25
COc1cc(ccc1NC(=O)c2ccccc2c3ccccc3)C(=O)N4Cc5ccc(CN(C)C)n5Cc6ccccc46	CHEMBL352150	pIC50=8.28
CCNc1ccc(C(=O)N2CCCCc3cc(Cl)ccc23)c(Cl)c1	CHEMBL343945	pIC50=8.3
O=C(Nc1ccc(cc1)C(=O)N2CC3CSCCN3Cc4ccccc24)c5ccccc5c6ccccc6	CHEMBL327365	pKi=8.3
O=C(Nc1ccc(cc1)C(=O)N2CCCCc3sccc23)c4ccccc4c5ccccc5	CHEMBL175813	pIC50=8.3
Oc1cccc(c1)c2ccccc2C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL330094	pKi=8.3
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCC(C)CC3)SSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)cc1	CHEMBL262482	pKi=8.31
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)NCCN)cc1	CHEMBL2370642	pKi=8.32
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL528996	pKi=8.32
Cl.Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4ccccn4)\c5ccccc35)c(Cl)c2	CHEMBL487164	pKi=8.32
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N)cc1	CHEMBL2370640	pKi=8.38
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C3CC3	CHEMBL3353929	pEC50=8.38
COc1ccc(C(=O)Nc2ccc(C(=O)N3C[C@H]4COCCN4Cc5ccccc35)c(Cl)c2)c(c1)c6ccccc6	CHEMBL314290	pKi=8.38
Cc1ccc(C)c(c1)C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2	CHEMBL420216	pIC50=8.38
Oc1ccc(cc1)c2ccccc2C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL330016	pKi=8.38
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCOCCOCCOCCn5cc(CNC(=O)CCC(=O)NC6CCCN(C(=O)c7ccc(NC(=O)c8ccccc8c9ccccc9)cc7)c%10ccccc6%10)nn5	CHEMBL2172295	pKi=8.4
Cc1ccc(F)cc1C(=O)Nc2ccc(cc2Cl)C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL81755	pIC50=8.4
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CC5C6CCC(CC6)N5Cc7ccccc47	CHEMBL104796	pIC50=8.4
Fc1ccc(C(=O)Nc2ccc(cc2)C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c1	CHEMBL306970	pIC50=8.4
OC(=O)c1ccc2CN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3Cl)c6ccccc6Cn12	CHEMBL349141	pIC50=8.4
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCCC5C(=O)NCCCCN=C(N)N)cc1	CHEMBL265591	pKi=8.43
COc1cccc(c1)c2ccccc2C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL432043	pKi=8.43
Cl.Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4C[C@H]5CSCCN5Cc6ccccc46	CHEMBL539285	pKi=8.43
