Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(Cl)cc5)ncc23	CHEMBL3654736	pIC50=7.53
CC1=CN(C(CO)c2ccc(Cl)c(F)c2)C(=O)C=C1c3ccnc(NC4CCOCC4)n3	CHEMBL3409592	pKi=8.17
CCOC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(C)on3)c2cn1)c4ccccc4	CHEMBL3663135	pIC50=8.17
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)C5CCCCC5	CHEMBL3654835	pIC50=8.17
COCC[C@H](C)Nc1nccc(n1)C2=CC(=O)N(C=C2)[C@H](CO)c3ccc(Cl)c(F)c3	CHEMBL3409607	pKi=8.17
Clc1cnc(NC2CCOCC2)nc1Nc3ccncc3NC(=O)C=C	CHEMBL3590120	pIC50=8.17
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ncccc4C	CHEMBL3658714	pIC50=8.18
CCc1c(NC(=O)N[C@H](C)c2ccccc2)ncc3c(n[nH]c13)c4ccnc(C)c4	CHEMBL3654803	pIC50=8.18
CN1CCC(O)(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)CC1	CHEMBL3658752	pIC50=8.18
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nncs4)ncc23	CHEMBL3658801	pIC50=8.18
COc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23	CHEMBL3658678	pIC50=8.19
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC(F)(F)CN3CCOCC3)c2cn1)c4ccccc4	CHEMBL3654756	pIC50=8.19
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(cc4)C(F)(F)F)ncc23	CHEMBL3654705	pIC50=8.19
COC[C@@H](CO)Nc1nccc(n1)C2=CC(=O)N(C=C2)[C@H](CO)c3ccc(Cl)c(F)c3	CHEMBL3409609	pIC50=8.2
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC3(O)CC3)c2cn1)c4ccccc4	CHEMBL3654755	pIC50=8.2
Cc1cc(ccn1)c2n[nH]c3c(Cl)c(NC(=O)NCc4ccccc4)ncc23	CHEMBL3654743	pIC50=8.2
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCc4nc5ccccc5n4C)ncc23	CHEMBL3658746	pIC50=8.2
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCOc5cc(F)ccc45)ncc23	CHEMBL3658637	pIC50=8.2
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(N[C@@H]3C[C@@H]4C[C@H]3CO4)n2)c5ccc(Cl)c(F)c5	CHEMBL3675707	pIC50=8.2
C[C@@H](NC(=O)Nc1cc2[nH]nc(CO)c2cn1)c3ccccc3	CHEMBL3663064	pIC50=8.21
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)C#N)c2cn1)c4cccc(Cl)c4	CHEMBL3654735	pIC50=8.21
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccc(F)cc4	CHEMBL3663081	pIC50=8.21
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCCC(O)C4)ncc23	CHEMBL3658744	pIC50=8.21
CC(C)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H]([C@H](C)O)c3ccc(F)c(Cl)c3	CHEMBL3297851	pIC50=8.22
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(C)cn4	CHEMBL3658705	pIC50=8.22
COCCNC(=O)Nc1cc2[nH]nc(c3ccccc3)c2cn1	CHEMBL3663075	pIC50=8.22
COCCOC[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccccc3	CHEMBL3663131	pIC50=8.22
COc1ccc(cc1OC)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671116	pIC50=8.22
COc1ccccc1c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2	CHEMBL3671117	pIC50=8.22
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4c(C)n[nH]c4C	CHEMBL3671115	pIC50=8.22
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4cccc(CO)c4	CHEMBL3671119	pIC50=8.22
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4cnn(C)c4	CHEMBL3671118	pIC50=8.22
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(Cl)cn4)ncc23	CHEMBL3658840	pIC50=8.22
Cn1cc(Nc2ncc3CCN(Cc3n2)C(=O)N[C@H](CO)c4ccc(F)c(Cl)c4)cn1	CHEMBL3298676	pIC50=8.22
NC1=N\C(=C\2/CCNC(=O)c3[nH]c(Br)cc23)\C(=O)N1	CHEMBL359106	pIC50=8.22
O=C(NCCCCc1ccccc1)Nc2ccc3ncc(nc3n2)N4CCOCC4	CHEMBL3671114	pIC50=8.22
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4ccc(F)c(Cl)c4	CHEMBL220054	pKi=8.22
OCc1cccc(c1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671113	pIC50=8.22
Oc1ccc(cc1F)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671112	pIC50=8.22
CC(CC1CCCO1)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3654865	pIC50=8.23
CN1CCOC(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)C1	CHEMBL3654825	pIC50=8.23
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CC(C)(C)Oc5ccccc45)ncc23	CHEMBL3658641	pIC50=8.23
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4csc5ccc(Cl)cc45)ncc23	CHEMBL3658850	pIC50=8.23
CCn1cc(Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(Cl)c(F)c4)c(C)n1	CHEMBL3675721	pIC50=8.24
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CC(=O)Nc5ccccc45)ncc23	CHEMBL3658771	pIC50=8.24
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CNC(C4)c5ccccc5)ncc23	CHEMBL3658773	pIC50=8.25
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnccn4)ncc23	CHEMBL3654699	pIC50=8.25
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nocn4)ncc23	CHEMBL3658789	pIC50=8.25
CC[C@@H](CO)Nc1nccc(n1)C2=CC(=O)N(C=C2)C(C)c3ccc(Cl)c(F)c3	CHEMBL3675715	pIC50=8.26
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCc3nc4ccncc4[nH]3)c2cn1)c5ccccc5	CHEMBL3654748	pIC50=8.26
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)n4ccnn4)c2cn1)c5ccc(F)cc5	CHEMBL3654868	pIC50=8.26
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(C)on3)c2cn1)c4ccc(F)cc4	CHEMBL3663126	pIC50=8.27
COc1cccc(NC(=O)COc2ccc(\C=C\3/N=C(N(C3=O)c4cccc(OC)c4)c5ccccc5)cc2)c1	CHEMBL3577631	pIC50=8.27
C[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3654804	pIC50=8.27
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCc5ccccc45)ncc23	CHEMBL3654729	pIC50=8.27
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCc5ccncc5C4)ncc23	CHEMBL3658764	pIC50=8.27
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncn[nH]4)ncc23	CHEMBL3658785	pIC50=8.27
Fc1ccc(CNC(=O)Nc2cc3[nH]nc(c4cccc(c4)C#N)c3cn2)cc1	CHEMBL3663111	pIC50=8.27
CCNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654768	pIC50=8.28
COc1cccc(c1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4Cl)cc3)\N=C2c5ccccc5	CHEMBL3577633	pIC50=8.28
COc1cncc(n1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23	CHEMBL3654877	pIC50=8.28
CNC(=O)c1cc(F)ccc1CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3662974	pIC50=8.29
Cc1onc(c1)c2n[nH]c3cc(NC(=O)NC4CCCOc5ccccc45)ncc23	CHEMBL3663127	pIC50=8.29
CCc1cnc(nc1)c2ccc(cc2)N3CCN(CC3)C(=O)CN4CC[C@H](C4)C(=O)Nc5ccc(O)c(Cl)c5	CHEMBL3398599	pIC50=8.3
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)N4CCCC4	CHEMBL3671111	pIC50=8.3
Cc1cc(Cl)ccc1Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4	CHEMBL568483	pKi=8.3
Cc1cnc(Nc2ccc(Cl)cc2F)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4	CHEMBL576048	pKi=8.3
N[C@@H](Cc1ccc(cc1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2)C(=O)O	CHEMBL3671124	pIC50=8.3
O=C(NCCCCc1ccccc1)Nc2ccc3ncc(nc3n2)N4CCCC4	CHEMBL3671110	pIC50=8.3
O=C(NCCCCc1ccccc1)Nc2ccc3ncc(nc3n2)c4cnn(CCN5CCOCC5)c4	CHEMBL3639699	pIC50=8.3
O=C1NC=CC(=C1)N2CCc3[nH]nc(c3C2)c4ccncc4	CHEMBL3604856	pIC50=8.3
Oc1ccc(NC(=O)[C@@H]2CCN(CC(=O)N3CCN(CC3)c4ccc(cc4)c5ncccn5)C2)cc1C(F)(F)F	CHEMBL3398605	pIC50=8.3
CN1CC[C@H](C1)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3663047	pIC50=8.31
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3(F)F)c2cn1)c4ccccc4	CHEMBL3654791	pIC50=8.31
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(N4CCCCC4)c5ccccc5)ncc23	CHEMBL3658750	pIC50=8.31
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCF)ncc23	CHEMBL3654826	pIC50=8.31
COc1cccc(c1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4OC)cc3)\N=C2c5ccccc5	CHEMBL3577567	pIC50=8.33
Brc1ccccc1CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5	CHEMBL3604855	pIC50=8.34
CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654767	pIC50=8.34
COc1cccc(c1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)\N=C2c5ccccc5	CHEMBL3577635	pIC50=8.34
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)C#N)c2cn1)c4ccc(F)cc4	CHEMBL3654880	pIC50=8.34
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CNC[C@@H]4c5ccccc5)ncc23	CHEMBL3654808	pIC50=8.34
Cc1onc(c1)c2n[nH]c3cc(NC(=O)N[C@H](COCC(F)F)c4ccccc4)ncc23	CHEMBL3663138	pIC50=8.34
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)\N=C2c5ccccc5	CHEMBL3577645	pIC50=8.35
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC(O)C(F)F)c2cn1)c3ccccc3	CHEMBL3654754	pIC50=8.35
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnc(nc3)n4cccn4)c2cn1)c5ccccc5	CHEMBL3658659	pIC50=8.35
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(C4CC4)C(F)(F)F)ncc23	CHEMBL3654692	pIC50=8.35
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCC4CCOC4)ncc23	CHEMBL3658751	pIC50=8.35
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4[C@@H]5CC[C@@H](O5)[C@H]4CO)ncc23	CHEMBL3658731	pIC50=8.35
Fc1ccc(cc1)c2n[nH]c3cc(NC(=O)NCc4occn4)ncc23	CHEMBL3654848	pIC50=8.35
COCCNC(=O)Nc1cc2[nH]nc(c3ccc(cc3)C#N)c2cn1	CHEMBL3663073	pIC50=8.36
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(C)on3)c2cn1)c4ccccc4	CHEMBL3663121	pIC50=8.36
COC[C@H](Cc1ccccc1)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3662950	pIC50=8.36
C[C@@H](NC(=O)Nc1cc2[nH]nc(C)c2cn1)c3ccccc3	CHEMBL3663085	pIC50=8.36
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnn(C)c4)ncc23	CHEMBL3658784	pIC50=8.36
COc1ccc(NC(=O)COc2ccc(\C=C\3/N=C(N(C3=O)c4cccc(OC)c4)c5ccccc5)cc2)cc1	CHEMBL3577632	pIC50=8.37
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CCCC3)c2cn1)c4ccccc4	CHEMBL3663095	pIC50=8.38
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(O)C4CCCCC4)ncc23	CHEMBL3658753	pIC50=8.39
Cc1onc(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)c1	CHEMBL3658832	pIC50=8.39
CC(C)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](CO)c3ccc(F)c(Cl)c3	CHEMBL3297849	pIC50=8.4
CCCn1cc(cn1)c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2	CHEMBL3671108	pIC50=8.4
CC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(C#N)c(Cl)c4	CHEMBL3298985	pIC50=8.4
CCn1cc(cn1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671092	pIC50=8.4
CNC[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c3ccc(F)c(Cl)c3	CHEMBL3297856	pIC50=8.4
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4cccc(c4)C(=O)O	CHEMBL3671123	pIC50=8.4
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4cn[nH]c4	CHEMBL3671109	pIC50=8.4
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCOC4)ncc23	CHEMBL3663031	pIC50=8.4
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CNC[C@H]4F)ncc23	CHEMBL3658693	pIC50=8.4
Cc1cnc(Nc2ccccc2C(F)(F)F)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4	CHEMBL571030	pKi=8.4
Cc1cnc(Nc2ccccc2O)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4	CHEMBL570366	pKi=8.4
Cn1cc(cn1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671093	pIC50=8.4
NC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3680616	pIC50=8.4
O=C(CN1CC[C@H](C1)C(=O)Nc2ccc3[nH]nc(c4ccncc4)c3c2)N5CCN(CC5)c6ccc(cc6)c7ncccn7	CHEMBL3590107	pIC50=8.4
OCCn1cc(cn1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671120	pIC50=8.4
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(N[C@@H]3CCOC[C@H]3F)n2)c4ccc(Cl)c(F)c4	CHEMBL3675702	pIC50=8.4
OC[C@@H](NC(=O)N1CCc2cnc(NC3CCCC3)nc2C1)c4ccc(F)c(Cl)c4	CHEMBL3298307	pIC50=8.4
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc5ccccc45)ncc23	CHEMBL3654683	pIC50=8.41
Cc1nc[nH]c1Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(Cl)c(F)c4	CHEMBL3675722	pIC50=8.41
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409588	pIC50=8.41
CCNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3663058	pIC50=8.42
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC3CCOC3)c2cn1)c4ccccc4	CHEMBL3654752	pIC50=8.42
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)C4CCCCC4	CHEMBL3663013	pIC50=8.42
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(F)(F)CO)ncc23	CHEMBL3654817	pIC50=8.42
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cc(F)cc(Cl)c4	CHEMBL3409585	pIC50=8.42
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(N[C@H]3CCOC[C@H]3F)n2)c4ccc(Cl)c(Cl)c4	CHEMBL3675703	pIC50=8.42
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(cc4)C#N)ncc23	CHEMBL3658808	pIC50=8.43
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cncnc4)ncc23	CHEMBL3658812	pIC50=8.43
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCc5ccc(F)cc45)ncc23	CHEMBL3658640	pIC50=8.43
CC(C)Oc1ccc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3654679	pIC50=8.44
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3(F)F)c2cn1)c4ccc(F)cc4	CHEMBL3654794	pIC50=8.44
COc1ccc(cc1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)cc4)ncc23	CHEMBL3663115	pIC50=8.44
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnc(nc3)N(C)S(=O)(=O)C)c2cn1)c4ccccc4	CHEMBL3658660	pIC50=8.44
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3conc3)c2cn1)c4ccccc4	CHEMBL3663088	pIC50=8.44
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnccc4C(F)(F)F)ncc23	CHEMBL3662966	pIC50=8.44
C[C@@H]1CN(C)C[C@H]1NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3654833	pIC50=8.45
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCOc5ccccc45)ncc23	CHEMBL3662987	pIC50=8.45
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4COCCO4)ncc23	CHEMBL3658826	pIC50=8.45
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCN(CC(F)(F)F)C4)ncc23	CHEMBL3658694	pIC50=8.45
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4Cl)cc3)\N=C2c5ccccc5	CHEMBL3577643	pIC50=8.46
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CCC3)c2cn1)c4ccc(F)cc4	CHEMBL3654774	pIC50=8.46
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)C4CCC4	CHEMBL3663046	pIC50=8.46
COc1cccc(c1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4cccc(Cl)c4)cc3)\N=C2c5ccccc5	CHEMBL3577634	pIC50=8.47
C[C@H](Cc1ccccc1)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3663056	pIC50=8.47
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc(c4)c5ccccc5)ncc23	CHEMBL3658700	pIC50=8.47
CC1=CC(=CC(=O)N1[C@H](CO)c2ccc(Cl)c(F)c2)c3ccnc(NC4CCOCC4)n3	CHEMBL3675711	pIC50=8.48
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)C#N)c2cn1)c4ccc(F)cc4	CHEMBL3654734	pIC50=8.48
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)C4CCCCC4	CHEMBL3663045	pIC50=8.48
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(Cl)cc4F)ncc23	CHEMBL3662976	pIC50=8.48
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccnn4)ncc23	CHEMBL3658809	pIC50=8.48
Cn1nccc1Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(Cl)c(F)c4	CHEMBL3544964	pIC50=8.48
OCC(N1C=C(F)C(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409591	pKi=8.48
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)C#N)c2cn1)c4ccc(F)cc4	CHEMBL3658671	pIC50=8.49
CCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(Cl)cc4	CHEMBL3658710	pIC50=8.5
COc1cccc(c1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)\N=C2c5ccccc5	CHEMBL3577566	pIC50=8.5
COc1cncc(c1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23	CHEMBL3654879	pIC50=8.5
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC3CCCC(O)C3)c2cn1)c4ccccc4	CHEMBL3654762	pIC50=8.5
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(N[C@H]3CCOC[C@H]3F)n2)c4ccc(Cl)c(F)c4	CHEMBL3675701	pIC50=8.5
COCCNC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(c3)C4CC4	CHEMBL3663060	pIC50=8.51
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cncc(OC)c3)c2cn1)c4ccc(F)cc4	CHEMBL3658670	pIC50=8.51
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnc(N)nc3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654731	pIC50=8.51
C[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1Cl)c3ccnc(C)c3)c4ccccc4	CHEMBL3663026	pIC50=8.51
Cc1cc(Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(Cl)c(F)c4)n(C)n1	CHEMBL3675719	pIC50=8.51
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(C(F)F)c4cccnc4)ncc23	CHEMBL3662965	pIC50=8.51
Fc1ccc(cc1)c2n[nH]c3cc(NC(=O)NCC4CCC4)ncc23	CHEMBL3663020	pIC50=8.51
CC(C)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H]([C@@H](C)O)c3ccc(F)c(Cl)c3	CHEMBL3297850	pIC50=8.52
CCNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3663053	pIC50=8.52
CC[C@@H](NC(=O)N1CCc2cnc(N[C@@H](C)CO)nc2C1)c3ccc(F)c(F)c3	CHEMBL3298309	pIC50=8.52
CCc1ccccc1Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4	CHEMBL572361	pKi=8.52
COc1cccc(Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4)c1OC	CHEMBL569181	pKi=8.52
C[C@@H](CO)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](C)c3ccc(c(F)c3)C(F)(F)F	CHEMBL3298311	pIC50=8.52
C[C@@H](CO)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](CO)c3ccc(F)c(Cl)c3	CHEMBL3357948	pIC50=8.52
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)N4CCOCC4	CHEMBL3671104	pIC50=8.52
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4ccc(CO)cc4	CHEMBL3671105	pIC50=8.52
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4cnn(CCN5CCOCC5)c4	CHEMBL3671106	pIC50=8.52
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccn4)ncc23	CHEMBL3658841	pIC50=8.52
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CN(CC(F)(F)F)C[C@H]4c5ccccc5)ncc23	CHEMBL3658698	pIC50=8.52
Cc1cccc(c1)C(CO)N2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3	CHEMBL3409576	pIC50=8.52
Cn1cc(cn1)c2cnc3ccc(NC(=O)NCCCC(C)(C)c4ccccc4)nc3n2	CHEMBL3671107	pIC50=8.52
O=C1C=C(C=CN1Cc2ccccc2)N3CCc4[nH]nc(c4C3)c5ccncc5	CHEMBL3604847	pIC50=8.52
OC(=O)c1cccc(c1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671125	pIC50=8.52
OC[C@@H](N1C=CC(=C(F)C1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3675706	pIC50=8.52
OC[C@@H](NC(=O)N1CCc2cnc(Nc3ccc(F)cc3)nc2C1)c4ccc(F)c(Cl)c4	CHEMBL3298566	pIC50=8.52
OP(=O)(O)Oc1ccc(cc1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671103	pIC50=8.52
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)cc4C(F)(F)F)ncc23	CHEMBL3662968	pIC50=8.53
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4occn4)ncc23	CHEMBL3658796	pIC50=8.53
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)Nc4n[nH]c5ccccc45)ncc23	CHEMBL3662988	pIC50=8.53
COCCNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3654691	pIC50=8.54
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(Cl)c(C)c4	CHEMBL3658707	pIC50=8.54
Cc1cc(Nc2nccc(n2)C3=CC(=O)N(C=C3)C(=C)c4ccc(Cl)c(F)c4)ccn1	CHEMBL3675720	pIC50=8.54
