CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34	pergolide	pKi=6.46999979	pKi=6.46999979	pKi=6.46999979
OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	flupentixol	pKi=7.77499962	pKi=7.77499962	pKi=7.77499962
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	methylergometrine	pKi=6.26841124	pKi=6.26841124	pKi=6.26841124
OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12	fenoldopam	pKd=7.55	pKd=7.55	pKd=7.55	pKi=7.4
OCCN1CCN(CC\C=C2\C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1	zuclopenthixol
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	levodopa
Oc1cc2[C@H](CN(CC=C)CCc2c(Cl)c1O)c3ccccc3	CHEMBL317741	pKi=7.7
CCCCCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC	CHEMBL3780140	pKi=7.72
CN(C)C[C@@H]1CC2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL363581	pKi=7.72
COc1ccc2Cc3[nH]c4ccccc4c3CCN(C)CCc2c1	CHEMBL396561	pKi=7.72
Cl.CCCN1C[C@H](CSC)O[C@@H]2Cc3c(O)cccc3C[C@@H]12	CHEMBL3099222	pEC50=7.72
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3OC(F)F)cc2C)C	CHEMBL3697578	pKi=7.73
CCCN1CCc2cccc3c2[C@H]1Cc4cccc(OC(=O)CC)c34	CHEMBL515187	pKi=7.75
CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	chlorprothixene	pKi=7.75
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc4n[nH]cc34)cc2)C	CHEMBL3671308	pKi=7.76
CN1C(=O)NC(=O)C(=C1c2ccc(Sc3ncccc3C(F)(F)F)cc2C)C	CHEMBL3697599	pKi=7.77
COc1cc2CCN3Cc4cc(CCCl)sc4C[C@H]3c2cc1O	CHEMBL3344467	pKi=7.78
CCN1CCc2ccccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL382850	pKi=7.79
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(F)c4F)c5ccccc25	CHEMBL384269	pKi=7.8
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Br)c5ccccc25	CHEMBL377877	pKi=7.8
CN1CCc2cc(Br)c(O)cc2C(C1)c3ccc(N\C(=N\c4ccc5c(c4)C(=O)OC56c7ccc(O)cc7Oc8cc(O)ccc68)\S)cc3	CHEMBL321223	pKi=7.8
COc1cc(cc(OC)c1OC)C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5cc(Cl)ccc25	CHEMBL213110	pKi=7.8
Cc1ncc2nccn2c1c3ccc(Oc4nccc5[nH]ccc45)cc3	CHEMBL3671287	pKi=7.8
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3cc(ccn3)C4CC4)cc2C)C	CHEMBL3697572	pKi=7.82
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C4CC4)cc2C)C	CHEMBL3697613	pKi=7.82
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4occc4)c5ccccc25	CHEMBL426868	pKi=7.82
COc1cc2CCN3Cc4c(CC3c2cc1O)ccc(OC)c4OC	CHEMBL3780481	pKi=7.82
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(Br)cc4)c5ccccc25	CHEMBL213775	pKi=7.85
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccs4)c5ccccc25	CHEMBL379874	pKi=7.85
COc1cc2C[C@@H]3N(CCc4cc(OC)cc(OC)c34)Cc2c(OC)c1	CHEMBL2057445	pIC50=7.85
CN1CCCc2cc(O)ccc2Cc3ccccc3CC1	CHEMBL389356	pKi=7.86
COc1ccnc(Oc2ccc(C3=C(C)C(=O)NN=C3C)c(C)c2)c1C(F)F	CHEMBL3697595	pKi=7.87
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C(F)(F)F)c4[nH]ccc24)C	CHEMBL3697624	pKi=7.89
COc1cccc(c1)C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL214016	pKi=7.89
COc1ccccc1C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL379560	pKi=7.89
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4c(C)ncnc4C	CHEMBL3671275	pKi=7.89
CCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC	CHEMBL3779928	pKi=7.91
COc1cc2CCN3Cc4c(C[C@H]3c2cc1O)ccc(O)c4OC	CHEMBL487387	pIC50=7.91
Br.Oc1cc2C(CNCCc2c(Br)c1O)c3ccccc3	CHEMBL541559	pKi=7.92
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc(C)c3C(F)(F)F)cc2C)C	CHEMBL3697594	pKi=7.92
CCCN1CCc2cccc3c2[C@H]1Cc4cccc(OC(=O)CCC)c34	CHEMBL478671	pKi=7.92
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(Cl)c(Cl)c4)c5ccccc25	CHEMBL212077	pKi=7.92
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4F)c5ccccc25	CHEMBL213477	pKi=7.92
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4I)c5ccc(Cl)cc25	CHEMBL212936	pKi=7.92
COc1cc2CCN3Cc4c(CC3c2cc1O)ccc(OCC5CC5)c4OC	CHEMBL3780184	pKi=7.92
Cl.Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O	CHEMBL552611	pKi=7.92
CCCCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC	CHEMBL3781840	pKi=7.96
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc(C)c3Cl)cc2)C	CHEMBL3697619	pKi=7.96
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccnc4Cl)c5ccccc25	CHEMBL384500	pKi=7.96
COc1cccc(OC)c1C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5cc(Cl)ccc25	CHEMBL212807	pKi=7.96
Cc1cc2CCN3CC[C@@](O)(C[C@@H]3c2cc1O)c4ccc(Cl)cc4	CHEMBL2335737	pEC50=7.96
CN1CCc2ccccc2Cc3ccsc3CC1	CHEMBL201093	pKi=7.97
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc4n[nH]cc34)cc2C)C	CHEMBL3671274	pKi=7.98
CN1C(=O)C=NC(=C1c2ccc(Oc3nccc4[nH]ccc34)cc2C)C	CHEMBL3671293	pKi=7.98
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc4n[nH]c(C)c34)cc2)C	CHEMBL3671269	pKi=7.99
CN1CCc2ccccc2Cc3[nH]c4ccccc4c3C[C@@H]1CO	CHEMBL1949728	pKi=7.99
CCCCCC(=O)Oc1cccc2C[C@H]3N(CCC)CCc4cccc(c34)c12	CHEMBL515342	pKi=8.0
CCOc1csc(c1)C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL437112	pKi=8.0
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc(C)c3OC(F)F)cc2C)C	CHEMBL3697583	pKi=8.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc5ccccc5n4)c6ccccc26	CHEMBL213443	pKi=8.0
Cc1ncnc(C)c1c2ccc(Oc3nccc4[nH]ccc34)cc2Cl	CHEMBL3671291	pKi=8.01
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3Br)cc2C)C	CHEMBL3697576	pKi=8.02
Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45	ziprasidone	pKi=8.02
CN1CCc2ccccc2Cc3cc(N)c(O)cc3CC1	CHEMBL204098	pKi=8.03
COc1ccc2Cc3ccc(OC)cc3CCN(C)CCc2c1	CHEMBL204065	pKi=8.03
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccsc4)c5ccccc25	CHEMBL212896	pKi=8.05
CN1CCc2ccccc2Cc3cc(O)ccc3CC1	CHEMBL382010	pKi=8.05
CN1C[C@H]2[C@H](C1)c3cc(Cl)ccc3Oc4ccccc24	CHEMBL504548	pKi=8.05
CN1CCc2ccccc2Cc3c(O)cccc3CC1	CHEMBL203689	pKi=8.06
Cc1ccc2CN[C@@H]3CCc4cc(O)c(O)cc4[C@H]3c2c1	CHEMBL319707	pKi=8.06
Cl.CN1CCc2cc(O)c(O)cc2C(C1)c3ccccc3	CHEMBL545000	pKi=8.06
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C(=C)C)cc2C)C	CHEMBL3697570	pKi=8.08
CCCN1CCc2cc(OC)cc3c2[C@H]1Cc4ccc(O)c(O)c34	CHEMBL53294	pKi=8.09
COc1cc2CCN3CC[C@@](O)(C[C@@H]3c2cc1O)c4ccc(Cl)cc4	CHEMBL2335740	pEC50=8.1
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4c(C)ncc5nccn45	CHEMBL3671282	pKi=8.1
CCCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC	CHEMBL3780506	pKi=8.11
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(C)cc4)c5ccccc25	CHEMBL213795	pKi=8.11
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4N5CCCCC5)c6ccccc26	CHEMBL212383	pKi=8.11
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3C4CC4)cc2C)C	CHEMBL3697579	pKi=8.12
COc1cccc2CCN(C)CCc3ccccc3Cc12	CHEMBL379662	pKi=8.12
CN(C)CCOc1cc(C)c2cc(NC(=O)COc3ccc(Cl)cc3Cl)ccc2n1	CHEMBL194837	pIC50=8.13
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc5ccccc5c4)c6ccccc26	CHEMBL213882	pKi=8.13
COc1c(O)ccc2C[C@@H]3N(CCc4cc5CCOc5cc34)Cc12	CHEMBL2334882	pKi=8.13
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(NC(=O)Nc5c(Cl)cccc5Cl)cccc34	CHEMBL604129	pKi=8.15
Br.Oc1cc2C(CNCCc2c(Cl)c1O)c3ccccc3	CHEMBL553503	pKi=8.16
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(N)cccc4C(F)(F)F)c5ccccc25	CHEMBL377756	pKi=8.16
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4ccccc4I)c5ccc(Cl)cc25	CHEMBL214503	pKi=8.16
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4cc(N)ccc34	CHEMBL598515	pKi=8.16
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1Cc4ccccc34	CHEMBL307790	pKi=8.16
Br.CN1CCc2c(cc(O)c(O)c2c3cccc(C)c3)C(C1)c4cccc(C)c4	CHEMBL484538	pKi=8.17
COc1cc2CCN3Cc4c(CC3c2cc1O)ccc(OCCCO)c4OC	CHEMBL3780268	pKi=8.17
CN1CCc2cc(Cl)c(O)cc2[C@@H]1c3ccccc3	CHEMBL303993	pKi=8.18
COc1cc2CCN3Cc4c(C[C@@H]3c2cc1O)ccc(OC)c4OC	CHEMBL2334892	pKi=8.18
COc1c(O)ccc2C[C@@H]3N(CCc4cc5OCOc5cc34)Cc12	CHEMBL1457510	pKi=8.2
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3cccc4ccoc34	CHEMBL71600	pKi=8.22
COc1cccc(OC)c1C(=O)NN2c3ccccc3N=C(N4CCN(C)CC4)c5cc(Cl)ccc25	CHEMBL215414	pKi=8.22
C[C@H]1Cc2c(Cc3ccccc3CCN1C)[nH]c4ccccc24	CHEMBL1949725	pKi=8.22
Cl.CN1CCc2ccc(O)cc2[C@H](C1)c3ccccc3	CHEMBL1744078	pKi=8.22
CCS(=O)(=O)Nc1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL602052	pKi=8.24
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(NC(=O)C5CC5)cccc34	CHEMBL602659	pKi=8.24
COc1cc2CCN3Cc4c(CC3c2cc1O)ccc(O)c4OC	CHEMBL595489	pKi=8.25
Br.Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c3ccccc3	CHEMBL544115	pKi=8.26
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc(C)c3Cl)cc2C)C	CHEMBL3697574	pKi=8.27
CN(C)C[C@H]1CC2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL193639	pKi=8.28
CN1CCc2cc(Br)c(O)cc2C(C1)c3ccc(Nc4ccc(c5nonc45)[N+](=O)[O-])cc3	CHEMBL322760	pKi=8.28
Cc1ncnc(N2CC(F)C2)c1c3ccc(Oc4nccc5[nH]ccc45)cc3F	CHEMBL3671292	pKi=8.29
Br.Oc1cc2C(CN(CC=C)CCc2c(Br)c1O)c3ccccc3	CHEMBL544114	pKi=8.3
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc4[nH]ccc34)cc2C)C	CHEMBL3671279	pKi=8.3
COc1cc2CCN3CC[C@@](O)(C[C@@H]3c2cc1O)c4ccc(OC(F)(F)F)cc4	CHEMBL2335736	pEC50=8.3
Br.CN1CCc2c(cc(O)c(O)c2c3ccc4ccccc4c3)C(C1)c5cccc(C)c5	CHEMBL520821	pKi=8.31
Br.Oc1cc2C(CNCCc2cc1Cl)c3ccccc3	CHEMBL540857	pKi=8.31
COc1cc2C[C@@H]3N(CCc4cc(OC)c(O)cc34)Cc2c(OC)c1	CHEMBL2057455	pIC50=8.31
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(NS(=O)(=O)C)cccc34	CHEMBL604135	pKi=8.33
Cc1cc(Oc2nccc3[nH]cc([N+]#[C-])c23)ccc1c4c(C)ncnc4C	CHEMBL3671268	pKi=8.34
CN1CCc2ccccc2Cc3ccccc3CC1	CHEMBL201525	pKi=8.35
COc1cc2CCN3Cc4c(C[C@H]3c2cc1O)ccc(OC)c4OC	CHEMBL2334891	pKi=8.35
CO\N=C\c1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL599134	pKi=8.36
CN1CCc2ccccc2Cc3c[nH]c4cccc(CC1)c34	CHEMBL1087300	pKi=8.38
COc1cc2CCN3Cc4cc5OCOc5cc4C[C@H]3c2cc1O	CHEMBL2334893	pKi=8.38
COc1ccnc(Oc2ccc(C3=C(C)C(=O)NN=C3C)c(C)c2)c1C(F)(F)F	CHEMBL3697596	pKi=8.38
Br.Oc1cc2C(CNCCc2cc1Br)c3ccccc3	CHEMBL557799	pKi=8.39
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc4[nH]ccc34)cc2)C	CHEMBL3671277	pKi=8.39
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Cl)c5ccccc25	CHEMBL212912	pKi=8.39
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(Cl)cc(Cl)cc4Cl)c5ccccc25	CHEMBL213881	pKi=8.4
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(Cl)c4)c5ccccc25	CHEMBL213084	pKi=8.4
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc5ccccc45)c6ccccc26	CHEMBL213834	pKi=8.42
CCN1CCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL508399	pKi=8.43
CN1CCc2cc(O)ccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL245571	pKi=8.43
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc(C)c3Cl)cc2C)C	CHEMBL3697564	pKi=8.44
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(I)c4)c5ccccc25	CHEMBL377584	pKi=8.44
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(Cl)cccc4Cl)c5ccccc25	CHEMBL386122	pKi=8.47
Fc1ccc2c(noc2c1)C3CCN(CCCCNS(=O)(=O)c4cc5ccccc5s4)CC3	CHEMBL3290012	pKi=8.48
CN1CCCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL231070	pKi=8.5
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(C)cccc4N)c5ccccc25	CHEMBL213424	pKi=8.5
CN1CCOc2cc(O)ccc2Cc3ccccc3CC1	CHEMBL184050	pKi=8.5
CN1CCc2ccccc2Cc3cc(Cl)c(O)c(Cl)c3CC1	CHEMBL383451	pKi=8.5
CN(C)C1CCC2(C=C1)c3ccccc3C=Cc4ccc(Cl)cc24	CHEMBL300647	pKi=8.51
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4N5CCCC5=O	CHEMBL598949	pKi=8.51
CN1CCc2ccccc2Cc3cc(O)c(Cl)cc3CC1	CHEMBL203047	pKi=8.51
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(C)cccc4C)c5ccccc25	CHEMBL213336	pKi=8.52
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(C)c4)c5ccccc25	CHEMBL213793	pKi=8.52
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(Br)cccc34	CHEMBL600083	pKi=8.52
Oc1cc2[C@H](CN(CC=C)CCc2c(Br)c1O)c3ccccc3	CHEMBL34095	pKi=8.52
CN1CCCc2ccccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL216258	pKi=8.55
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(N)cccc34	CHEMBL591685	pKi=8.55
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(cccc34)C#N	CHEMBL604127	pKi=8.55
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(N)cccc4Cl)c5ccccc25	CHEMBL378669	pKi=8.59
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(C=O)cccc34	CHEMBL604316	pKi=8.59
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(F)cccc4C(F)(F)F)c5ccccc25	CHEMBL213492	pKi=8.6
CCNC(=O)Nc1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL604132	pKi=8.62
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc5cccc([C@@H]2C1)c35	CHEMBL8514	pKi=8.64
CCC(=O)Nc1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL601634	pKi=8.64
CN1CCc2cc(Br)c(O)cc2C(C1)c3ccc(N)cc3	CHEMBL321042	pKi=8.64
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4cc(NC(=O)C5CC5)ccc34	CHEMBL598516	pKi=8.64
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@H]1CCc4c3cccc4c5cccc(OC(F)(F)F)c5	CHEMBL604383	pKi=8.64
COC(=O)c1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL598730	pKi=8.64
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4C)c5ccc(Cl)cc25	CHEMBL379942	pKi=8.7
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(CO)cccc34	CHEMBL599116	pKi=8.7
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CNc4ccccc4)cc3	CHEMBL604108	pKi=8.7
CN1CCc2cc(O)ccc2Cc3ccc(O)cc3CC1	CHEMBL381936	pKi=8.7
COc1ccc2c(c1)c3CCN(C)CCc4ccccc4Cc3n2C	CHEMBL245764	pKi=8.7
CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3	CHEMBL574558	pKi=8.71
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4ccccc34	CHEMBL298406	pKi=8.72
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc4n[nH]cc34)cc2C)C	CHEMBL3671278	pKi=8.74
CCO\N=C\c1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL604525	pKi=8.75
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(\C=N\O)cccc34	CHEMBL604732	pKi=8.8
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(C)cc3	CHEMBL303012	pKi=8.8
COc1cccc(OC)c1C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL425069	pKi=8.8
CCNC(=O)Nc1ccc2[C@H]3[C@H](CCc2c1)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL600987	pKi=8.82
CCOC(=O)Nc1ccc2[C@H]3[C@H](CCc2c1)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL603485	pKi=8.85
Br.CN1CCc2c(Br)c(O)c(O)cc2C(C1)c3ccccc3	CHEMBL554009	pKi=8.92
CN1CCc2cc(Cl)c(O)cc2C(C1)c3ccccc3	CHEMBL13668	pKi=8.92
Cl.Oc1cc2C(CN(CC=C)CCc2cc1Cl)c3ccccc3	CHEMBL543704	pKi=8.92
Br.CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3	CHEMBL520992	pKi=8.93
CCCN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34	CHEMBL225230	pKi=9.0
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(\C=N\Oc5ccccc5)cccc34	CHEMBL605354	pKi=9.0
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3.OC(=O)\C(=C(\O)/C(=O)O)\O	CHEMBL2158641	pKi=9.03
Br.CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3ccccc3	CHEMBL543398	pKi=9.05
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cc(F)cc(F)c5	CHEMBL597100	pKi=9.05
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccs5	CHEMBL597900	pKi=9.05
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CNC4CCC4)cc3	CHEMBL596622	pKi=9.05
Cl.Oc1cc2C(CN(CC=C)CCc2cc1Br)c3ccccc3	CHEMBL543473	pKi=9.05
CN1CCc2ccccc2Cc3ccc(O)c(Cl)c3CC1	CHEMBL203637	pKi=9.08
COc1ccc2[nH]c3Cc4ccccc4CCN(C)CCc3c2c1	CHEMBL396560	pKi=9.09
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3C	CHEMBL444321	pKi=9.1
CCS(=O)(=O)Nc1ccc2[C@H]3[C@H](CCc2c1)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL600986	pKi=9.16
CN(C)c1ccc(cc1)c2cccc3[C@H]4[C@H](CCc23)N(C)CCc5cc(Cl)c(O)cc45	CHEMBL597310	pKi=9.16
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5ccc(CO)cc5	CHEMBL604176	pKi=9.16
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4cc(NC(=O)Nc5c(Cl)cccc5Cl)ccc34	CHEMBL599977	pKi=9.16
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CN(Cc4ccccc4)c5ccc(F)cc5F)cc3	CHEMBL597702	pKi=9.16
COc1ccc(cc1)c2cccc3[C@H]4[C@H](CCc23)N(C)CCc5cc(Cl)c(O)cc45	CHEMBL603872	pKi=9.16
CN(Cc1ccc(cc1)[C@H]2CN(C)CCc3cc(Cl)c(O)cc23)S(=O)(=O)c4ccccc4	CHEMBL599487	pKi=9.22
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(O)cccc34	CHEMBL604314	pKi=9.22
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5ccc6[nH]ccc6c5	CHEMBL597503	pKi=9.22
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccc(c5)C#N	CHEMBL598105	pKi=9.22
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccc(c5)[N+](=O)[O-]	CHEMBL605339	pKi=9.22
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3I)cc2C)C	CHEMBL3697581	pKi=9.24
Cl.CN1CCc2cc(Br)c(O)cc2[C@H](C1)c3ccccc3	CHEMBL1744079	pKi=9.24
CN1CCc2ccccc2Cc3[nH]c4ccc(O)cc4c3CC1	CHEMBL245570	pKi=9.25
CN(Cc1ccc(cc1)[C@H]2CN(C)CCc3cc(Cl)c(O)cc23)S(=O)(=O)C	CHEMBL603901	pKi=9.3
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4cc(NS(=O)(=O)C)ccc34	CHEMBL597909	pKi=9.3
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CN(C4CCC4)S(=O)(=O)C)cc3	CHEMBL599282	pKi=9.3
CN1CCc2ccccc2Cc3c(CC1)ccc(O)c3Cl	CHEMBL380464	pKi=9.34
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccc(F)c5	CHEMBL598104	pKi=9.4
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3cccc(C)c3	CHEMBL304535	pKi=9.4
CN1CCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL201170	pKi=9.4
Br.CN1CCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL1204122	pKi=9.41
CN1CCc2cc(Br)c(O)cc2C(C1)c3ccccc3	CHEMBL324017	pKi=9.52
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5ccncc5	CHEMBL605127	pKi=9.52
CN1CCc2cc(I)c(O)cc2[C@@H](C1)c3ccc(cc3)N=[N+]=[N-]	CHEMBL150800	pKd=9.55
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3.OC(=O)\C=C/C(=O)O	CHEMBL1814790	pIC50=9.57
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(\C=N\OCc5ccccc5)cccc34	CHEMBL599135	pKi=9.7
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5ccccc5	CHEMBL599528	pKi=9.7
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CN(C4CCC4)C(=O)C)cc3	CHEMBL596824	pKi=9.7
