OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=4.33	pIC50=4.33	pIC50=4.33
Nc1ccc(O)c(c1)C(=O)O	mesalazine
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	zileuton	pIC50=6.52	pIC50=6.52	pIC50=6.52	pIC50=6.0
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	benoxaprofen
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(cc3)C(F)(F)F)n1)C(=O)O	CHEMBL3094420	pIC50=6.22
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(cc3)c4ccccc4)n1)C(=O)O	CHEMBL3094422	pIC50=6.22
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccccc3)n1)C(=O)O	CHEMBL3091498	pIC50=6.22
CCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL2228913	pIC50=6.22
CCOC(=O)c1c(Cc2ccc(Br)cc2)[nH]c3c4ccccc4c(O)cc13	CHEMBL484482	pIC50=6.22
CCOc1ccc(cc1)c2csc(Nc3ccc(O)cc3)n2	CHEMBL3318370	pIC50=6.22
CN(C)c1ccc(cc1)c2nc3ccc(C)cn3c2NC4CCCCC4	CHEMBL1957963	pIC50=6.22
CN(O)C(=O)C\C=C\c1ccc(cc1)n2c(C)ccc2C	CHEMBL85509	pIC50=6.22
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4nc(O)ccc4c3)c2	CHEMBL87747	pIC50=6.22
COC1(CCOCC1)c2cccc(OCc3ccc4ccccc4c3)c2C	CHEMBL87033	pIC50=6.22
COC1=CC(=O)C(=O)C(=C1OC)C\C=C(/C)\CCC=C(C)C	CHEMBL3416364	pIC50=6.22
COc1cc(\C=C\C(=C\C(=O)\C=C\c2ccc(O)c(OC)c2)\O)ccc1O	CHEMBL116438	pIC50=6.22
COc1cc(\C=C\C(=O)\C=C\c2cc(F)c(O)c(OC)c2)cc(F)c1O	CHEMBL3290186	pIC50=6.22
COc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)c(OC)c1	CHEMBL3318374	pIC50=6.22
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N3CCCC3)c4ccccc24	CHEMBL2336206	pIC50=6.22
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N3CCC[C@@H]3C(=O)O)c4ccccc24	CHEMBL3113621	pIC50=6.22
Cc1ccc2nc(c3ccc(O)cc3)c(NC4CCCCC4)n2c1	CHEMBL1957965	pIC50=6.22
FC(F)(F)c1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	CHEMBL3318377	pIC50=6.22
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(NC(=O)c3ccccc3)cc2)n1)c4cccc5ccccc45	CHEMBL1683866	pIC50=6.22
OC(=O)c1cccc2Oc3ccccc3Nc12	CHEMBL274905	pIC50=6.22
ON(CCCc1ccccc1)C(=O)Cc2ccc(OCc3ccccc3)cc2	CHEMBL52241	pIC50=6.22
Oc1ccc(cc1)c2csc(Nc3ccc(F)cc3)n2	CHEMBL3318384	pIC50=6.22
[O-][N+](=O)c1ccc2C(=NS(=O)(=O)c2c1)Nc3cccc4ccccc34	CHEMBL3288313	pIC50=6.22
CCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL3416172	pIC50=6.23
CCc1ccc(\C=C\c2cc(C)c(O)c(C)c2)cc1	CHEMBL56551	pIC50=6.23
COC1CCC(=Cc2sc(nc2O)c3ccc(C)cc3)CC1	CHEMBL3353721	pIC50=6.23
CC(=O)c1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)cc1	CHEMBL3353687	pIC50=6.24
CCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL3416180	pIC50=6.24
CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c3c4cccnc4c(O)cc13	CHEMBL523291	pIC50=6.24
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(N)cc3)\S2	CHEMBL3353690	pIC50=6.24
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3cccc(Cl)c3)\S2	CHEMBL1765884	pIC50=6.24
OC1=CC(=O)C(=C(CC2CCC3CCCCC3C2)C1=O)O	CHEMBL3109730	pIC50=6.24
COc1cc(ccc1OCCCNC(=O)Nc2ccc(OC(F)(F)F)cc2)c3nc4ccc(C)cn4c3NC(C)C	CHEMBL2336312	pIC50=6.25
CCCC\C(=C/c1cc(OCc2ccccc2)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL3397710	pIC50=6.26
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(F)cc3)cc1	CHEMBL2029835	pIC50=6.26
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(cc3)C(=O)C)cc1	CHEMBL1765906	pIC50=6.26
COc1cccc(\C=C\2/SC(=NC2=O)c3ccccc3)c1O	CHEMBL1765886	pIC50=6.27
CC(O)c1cc(c2ccccc2)c3ccc(OCc4cccc(c4)C5(O)CCOCC5)cc3c1	CHEMBL129669	pIC50=6.28
CCOC(=O)c1c(Cc2cccc(OC)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL520317	pIC50=6.28
CCOC(=O)c1c([nH]c2c3ccccc3c(O)cc12)c4cccc(Cl)c4	CHEMBL519337	pIC50=6.28
CC[C@@](COC)(OC)c1cc(F)cc(OCc2ccc3N(C)C(=O)C=Cc3c2)c1	CHEMBL418742	pIC50=6.28
CCc1oc(cc1)c2ccc(O)c(OC)c2	CHEMBL456234	pIC50=6.28
COc1ccc(\C=C\2/SC(=NC2=O)c3ccccc3)cc1	CHEMBL1765900	pIC50=6.28
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OCCN4CCOCC4)cc3)\S2	CHEMBL3353694	pIC50=6.28
Cl.Cc1cc(OCCCCCCN2CCN(CC2)C(c3ccccc3)c4ccccc4)c(C)c(C)c1O	CHEMBL544064	pIC50=6.28
O=C1N=C(S/C/1=C\c2ccc3ccccc3c2)c4ccc(Oc5ccccc5)cc4	CHEMBL2029854	pIC50=6.28
C1CCC(CC1)Nc2c(nc3ccccn23)c4ccc(cc4)N5CCOCC5	CHEMBL1957974	pIC50=6.29
CO[C@](C)(c1cccc(OCc2ccc3ccccc3c2)c1C)c4nccs4	CHEMBL434392	pIC50=6.29
COc1ccc(\C=C\2/SC(=NC2=O)c3ccccc3Cl)cc1	CHEMBL2029837	pIC50=6.29
NC(=O)N(O)CCC#C[C@H]1CC[C@H](CN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)O1	CHEMBL74688	pIC50=6.29
CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2	CHEMBL52	pIC50=6.3
CCCCC(Sc1nc(OCCc2ccc(C)cc2)cc(OCCc3ccc(C)cc3)n1)C(=O)O	CHEMBL1173376	pIC50=6.3
CCCCC(Sc1nc(OCCc2ccc(OC(F)(F)F)cc2)cc(OCCc3ccc(OC(F)(F)F)cc3)n1)C(=O)O	CHEMBL1170852	pIC50=6.3
CCCCC(Sc1nc(OCCc2ccc(cc2)C(F)(F)F)cc(OCCc3ccc(cc3)C(F)(F)F)n1)C(=O)O	CHEMBL1170264	pIC50=6.3
CCCCC(Sc1nc(OCCc2ccc(cc2)[N+](=O)[O-])cc(OCCc3ccc(cc3)[N+](=O)[O-])n1)C(=O)O	CHEMBL1171652	pIC50=6.3
CCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL65966	pIC50=6.3
CCCCCCC(Sc1nc(Cl)cc(Nc2cc(C)c(cc2OC)c3ccccc3)n1)C(=O)O	CHEMBL463776	pIC50=6.3
CCCCCCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69574	pIC50=6.3
CCCCCCCCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69525	pIC50=6.3
CCCC\C(=C/c1cc(OCCc2ccc(cc2)C(F)(F)F)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL3397728	pIC50=6.3
CCCC\C(=C/c1cc(OCc2ccc(F)cc2)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL3397715	pIC50=6.3
CCCOc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC)cc3)\S2	CHEMBL2029833	pIC50=6.3
CCOC(=O)CCCN(O)C(=O)CCCc1ccccc1	CHEMBL54438	pIC50=6.3
CCOC(=O)c1c(Cc2ccc(F)cc2)[nH]c3c4ccccc4c(O)cc13	CHEMBL484277	pIC50=6.3
CCOc1ccc(\C=C\2/SC(=NC2=O)c3ccccc3)cc1	CHEMBL1765883	pIC50=6.3
CN(C)c1ccc(cc1)c2nc3ccc(Cl)cc3n2CC4CCCCC4	CHEMBL1957982	pIC50=6.3
COC(C)(c1cccc(OCc2ccc3ccccc3c2)c1C)c4nccs4	CHEMBL86561	pIC50=6.3
COC1(CCc2ccc(OCc3ccc4ccccc4c3)cc12)c5cncs5	CHEMBL277035	pIC50=6.3
COc1cc(\C=C\C(=O)\C=C\c2cc(CC=C(C)C)c(O)c(OC)c2)cc(CC=C(C)C)c1O	CHEMBL2392188	pIC50=6.3
COc1ccc(cc1)c2nc3ccc(C)cn3c2NC4CCCCC4	CHEMBL1957967	pIC50=6.3
C[C@H](N(O)C(=O)N)c1cc2ccccc2s1	CHEMBL1164975	pIC50=6.3
Cc1ccc2nc(c(NC3CCCCC3)n2c1)c4cccc(Oc5ccccc5)c4	CHEMBL1958140	pIC50=6.3
Cc1cccc(OC(=O)c2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-])c1	CHEMBL3238207	pIC50=6.3
FC(F)(F)Oc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	CHEMBL3318378	pIC50=6.3
O=C1OCc2c1cc3cc4OCOc4cc3c2c5ccc6OCOc6c5	CHEMBL304236	pIC50=6.3
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc3CCCc3c2)n1)c4cccc5ccccc45	CHEMBL1089158	pIC50=6.3
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc3ccccc3c2)n1)c4cccc5ccccc45	CHEMBL1091523	pIC50=6.3
OC(=O)C(Sc1nc(Cl)cc(Nc2cccc(c2)c3ccccc3)n1)c4cccc5ccccc45	CHEMBL1683862	pIC50=6.3
O\N=C/1\C(=C/2\C(=O)Nc3cc(Br)ccc23)\Nc4ccccc14	CHEMBL409450	pIC50=6.3
Oc1ccc(cc1)c2csc(Nc3ccc(Cl)cc3)n2	CHEMBL3318383	pIC50=6.3
CCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL2228912	pIC50=6.31
CCOC(=O)c1c(CCc2cccc(Cl)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL482849	pIC50=6.31
NC(=O)N(O)CC1=Cc2cc(OCc3ccc(cc3)C(F)(F)F)ccc2OC1	CHEMBL333100	pIC50=6.31
CCCCCCOC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL67053	pIC50=6.32
CNC(=O)N(O)CC1COc2cc(Oc3ccccc3)ccc2O1	CHEMBL166145	pIC50=6.32
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(F)cn4c3NC5CCCC5	CHEMBL2336315	pIC50=6.32
COc1cc2OC(=C(C)C(=O)c2c(O)c1OC)c3ccc(O)c(O)c3	CHEMBL69224	pIC50=6.32
Cc1ccccc1COc2ccc(cc2)c3onc(C(=O)O)c3c4ccc(Cl)cc4	CHEMBL3781057	pIC50=6.32
O=C1N=C(S/C/1=C\c2ccc(Oc3ccccc3)cc2)c4ccc5ccccc5c4	CHEMBL2029857	pIC50=6.32
Oc1cc2c(C(=O)OCc3ccccc3)c(Cc4ccc(Cl)cc4)[nH]c2c5ccccc15	CHEMBL520474	pIC50=6.32
CC(=O)Oc1ccc(\C=C\C(=O)OCCCCCC#C)cc1OC(=O)C	CHEMBL3613025	pIC50=6.33
CC(C)(C)OC(=O)N1CCN(CC1)c2ccc(cc2)c3nc4ccc(Cl)cn4c3NC5CCCCC5	CHEMBL1957976	pIC50=6.33
COc1cc(ccc1OCCCNC(=O)Nc2ccc(OC(F)(F)F)cc2)c3nc4ccc(C)cn4c3NC5CCCC5	CHEMBL2336310	pIC50=6.33
Oc1nc(sc1c2ccccc2)c3ccc(F)cc3	CHEMBL68429	pIC50=6.33
[O-][N+](=O)c1ccc2c(c1)S(=NS2(=O)=O)c3ccc(Br)cc3	CHEMBL602247	pIC50=6.33
CCCCCC(=O)c1c(O)c(C(CC(C)C)C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O)c(O)c(C(CC(C)C)C3=C(O)C(C)(C)C(=O)C(C)(C)C3=O)c1O	CHEMBL3608359	pIC50=6.34
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(Cl)cn4c3NC5CCCC5	CHEMBL2336314	pIC50=6.34
CC(=O)Oc1nc(sc1c2ccccc2)c3ccccc3	CHEMBL308214	pIC50=6.35
CCOC(=O)c1c(Cc2cccc(Br)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL521164	pIC50=6.35
COC1=CC(=O)C(=C(C\C=C(/C)\CCC=C(C)C)C1=O)OC	CHEMBL3416352	pIC50=6.35
C\C(=C/Cc1cc(O)ccc1O)\CC\C=C(/C)\CCC2=C(C)CCCC2(C)C	CHEMBL425166	pIC50=6.35
NC(=O)N(O)CC1COc2cc(Oc3ccccc3)ccc2O1	CHEMBL162514	pIC50=6.35
CC1(C)Oc2ccc(Oc3ccccc3)cc2C=C1CN(O)C(=O)N	CHEMBL119499	pIC50=6.36
CCOC(=O)c1c(CCCc2ccccc2)[nH]c3c4ccccc4c(O)cc13	CHEMBL483056	pIC50=6.36
CN1C(=O)C=Cc2cc(COc3cccc(c3)C4(C)CCOCC4)ccc12	CHEMBL21908	pIC50=6.36
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(C)cn4c3NC5CCCCC5	CHEMBL2336304	pIC50=6.36
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(Cl)cn4c3NC(C)C	CHEMBL2336316	pIC50=6.36
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(cc3)C(=O)c4ccccc4)cc1	CHEMBL2029838	pIC50=6.36
COc1ccc(\C=C\2/SC(=NC2=O)c3ccncc3)cc1	CHEMBL3353705	pIC50=6.36
NC(=O)N(O)CC1=Cc2cc(OCc3ccccc3)ccc2OC1	CHEMBL120132	pIC50=6.36
ON(CC1=Cc2cc(Oc3ccccc3)ccc2OC1)C(=O)NCc4ccccc4	CHEMBL332015	pIC50=6.36
COc1ccc(cc1)c2sc(nc2O)c3ccc(C)cc3	CHEMBL3353723	pIC50=6.37
COc1cccc(c1)c2nc3ccc(C)cn3c2NC4CCCCC4	CHEMBL1958138	pIC50=6.37
C\C(=C/c1cc(C)c(O)c(C)c1)\c2ccc(F)cc2	CHEMBL56009	pIC50=6.37
Cc1ccc2nc(c(NC3CCCCC3)n2c1)c4cccc(OCc5ccccc5)c4	CHEMBL1958143	pIC50=6.37
Cl.Cc1cc(OCCCN2CCN(CC2)C(c3ccccc3)c4ccccc4)c(C)c(C)c1O	CHEMBL539525	pIC50=6.37
CC(=CCC\C(=C\Cc1c(O)cc(O)c(C(=O)C)c1O)\C)C	CHEMBL1242095	pIC50=6.38
CC(C)COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL181085	pIC50=6.38
COc1ccc2Oc3ccccc3Nc2c1C(=O)NO	CHEMBL12534	pIC50=6.38
NC(=O)N(O)CCC#Cc1oc(CN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL73135	pIC50=6.38
CC[C@](OC)(c1cc(F)cc(OCc2ccc3N(C)C(=O)C=Cc3c2)c1)c4nccs4	CHEMBL442334	pIC50=6.39
COc1ccc2C=C(COc2c1)C(=O)N(C)O	CHEMBL118377	pIC50=6.39
Cc1ccc(cc1)C2=NC(=O)\C(=C\C34CC5CC(CC(C5)C3)C4)\S2	CHEMBL3353719	pIC50=6.39
Clc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OCc4ccccc4)cc3)\S2	CHEMBL2029848	pIC50=6.39
CC(N(O)C(=O)Cc1ccc(OCc2ccccc2)cc1)c3ccccc3	CHEMBL444315	pIC50=6.4
CCC(OC)(c1cccc(OCc2ccc3ccccc3c2)c1)c4nccs4	CHEMBL423835	pIC50=6.4
CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(cc2)c3ccc(cc3)C#N)n1)C(=O)O	CHEMBL456792	pIC50=6.4
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc4CCCCc4c3)n1)C(=O)O	CHEMBL3094418	pIC50=6.4
CCCCCCC(Sc1nc(OCCc2ccccc2)cc(OCCc3ccccc3)n1)C(=O)O	CHEMBL1172003	pIC50=6.4
CCCCCC[C@@H](Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc4ccccc4c3)n1)C(=O)O	CHEMBL3094413	pIC50=6.4
CCCC\C(=C/c1cc(OCCC2CCCCC2)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL1819480	pIC50=6.4
CCCc1cc(Cl)c2oc(Cc3ccc(OC)cc3)c(C)c2c1O	CHEMBL17815	pIC50=6.4
COC1(CCOCC1)c2cc(F)cc(OCC3=Cc4ccccc4N(C)C3=O)c2	CHEMBL86445	pIC50=6.4
COC1(CCOCC1)c2cccc(OCC#Cc3ccccn3)c2	CHEMBL407499	pIC50=6.4
COC1(CCSCC1)c2cccc(OCc3ccc4ccccc4c3)c2	CHEMBL440318	pIC50=6.4
COc1cc(CCC(=O)CC(=O)CCc2cc(CCC(C)C)c(O)c(OC)c2)cc(CCC(C)C)c1O	CHEMBL2392186	pIC50=6.4
COc1cc(\C=C\C(=O)CC(=O)\C=C\c2cc(F)c(O)c(OC)c2)cc(F)c1O	CHEMBL3290185	pIC50=6.4
COc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	CHEMBL1080391	pIC50=6.4
COc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1OC	CHEMBL3318373	pIC50=6.4
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)c(OC)c1OC	CHEMBL1765890	pIC50=6.4
COc1ccc(cc1)c2csc(Nc3ccccc3)n2	CHEMBL1367191	pIC50=6.4
Cc1ccc(cc1)C2=NC(=O)\C(=C\C=C\c3ccccc3)\S2	CHEMBL1765896	pIC50=6.4
FC(F)(F)c1cc(Nc2nc(cs2)c3ccc(Cl)cc3)cc(c1)C(F)(F)F	CHEMBL3318379	pIC50=6.4
Nc1ccc(cc1)c2csc(Nc3ccc(O)cc3)n2	CHEMBL3318369	pIC50=6.4
O=C(Nc1ccc(cc1)c2nc3ccccn3c2NC4CCCCC4)c5cccs5	CHEMBL1957968	pIC50=6.4
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(Oc3ccccc3)cc2)n1)c4cccc5ccccc45	CHEMBL1683865	pIC50=6.4
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(cc2)C3CCCCC3)n1)c4cccc5ccccc45	CHEMBL1683864	pIC50=6.4
OC(c1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1)(C(F)(F)F)C(F)(F)F	CHEMBL3318380	pIC50=6.4
OC1(CC2OC(C1)C=C2)c3cccc(COc4ccc5c(c6COC(=O)c6cc5c4)c7ccccc7)c3	CHEMBL128094	pIC50=6.4
Oc1ccc(\C=C\2/SC(=NC2=O)c3ccc(Cl)cc3)cc1	CHEMBL1765909	pIC50=6.4
Oc1cccc(c1)c2ccc(cc2)c3cn(CSc4ccccc4)nn3	CHEMBL1688765	pIC50=6.4
CCC(O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(C)(C)O)nn1)C(F)(F)F	CHEMBL1289094	pIC50=6.41
OC1(CCOC(=O)C1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL129351	pIC50=6.41
CCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL221598	pIC50=6.42
COc1ccc(\C=C\2/SC(=NC2=O)c3cccc(c3)C(=O)C)cc1	CHEMBL1765907	pIC50=6.42
NC(=O)N(O)[C@@H]1C[C@H](C1)c2cc3ccccc3s2	CHEMBL405188	pIC50=6.42
OC(=O)c1noc(c2ccc(OCc3cccc(F)c3)cc2)c1c4ccc(Cl)cc4	CHEMBL3780876	pIC50=6.42
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6Cl)c2	CHEMBL340333	pIC50=6.42
CCCCCCCc1ccc2OCC(=Cc2c1)CN(O)C(=O)N	CHEMBL118956	pIC50=6.43
CCOC(=O)c1c(CSc2c(C)cc(C)cc2C)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759494	pIC50=6.43
Cc1cc(\C=C\c2cccnc2)cc(C)c1O	CHEMBL55217	pIC50=6.43
CC(=O)N(O)C\C=C\c1cccc(Oc2ccccc2)c1	CHEMBL314360	pIC50=6.44
CC(C)c1ccc(cc1)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917098	pIC50=6.44
CC(N(O)C(=O)N)c1ccc(OCc2ccccc2)cc1	CHEMBL2152123	pIC50=6.44
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL344636	pIC50=6.44
CCOC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL179590	pIC50=6.44
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6F)c2	CHEMBL129517	pIC50=6.44
Cl.Cc1cc(OCCCCN2CCN(CC2)C(c3ccccc3)c4ccccc4)c(C)c(C)c1O	CHEMBL538756	pIC50=6.45
CCCCCCOC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69412	pIC50=6.46
COc1ccc(OC)c(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)c1	CHEMBL1765889	pIC50=6.46
COc1ccc(\C=C\C=C\2/SC(=NC2=O)c3ccc(C)cc3)cc1	CHEMBL3353718	pIC50=6.46
COc1ccc(cc1)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917100	pIC50=6.46
Cl.Cc1cc(OCCCCCN2CCN(CC2)C(c3ccccc3)c4ccccc4)c(C)c(C)c1O	CHEMBL543356	pIC50=6.46
ON(CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1)C(=O)OCc5ccccc5	CHEMBL360666	pIC50=6.46
ON(CCc1ccccc1)C(=O)Cc2ccc(OCc3ccccc3)cc2	CHEMBL52748	pIC50=6.46
Oc1cc2c(C(=O)OCc3ccccc3)c(Cc4cccc(Cl)c4)[nH]c2c5ccccc15	CHEMBL485312	pIC50=6.46
CCCCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL65900	pIC50=6.47
CCCCCCOc1ccc2OCC(=Cc2c1)CN(O)C(=O)N	CHEMBL121846	pIC50=6.47
CCOC(=O)c1c(Cc2cccc(F)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL519508	pIC50=6.47
CC[C@@](OC)(C(=O)OC)c1cc(F)cc(OCc2ccc3N(C)C(=O)C=Cc3c2)c1	CHEMBL440461	pIC50=6.47
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(Cl)cn4c3NC5CCCCC5	CHEMBL2336307	pIC50=6.47
Cc1nccn1c2ccc(COc3cc(F)cc(c3)C4(CCOCC4)C(=O)N)cc2	CHEMBL163870	pIC50=6.47
OC1(CC2COC(C1)O2)c3cccc(COc4ccc5c(c6COC(=O)c6cc5c4)c7cocc7)c3	CHEMBL128238	pIC50=6.47
CC(C)OC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL180233	pIC50=6.48
CCOC(=O)c1c(CSc2ccccc2C)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759252	pIC50=6.48
CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c3cc(c(O)cc13)c4ccc(cc4)c5ccccc5	CHEMBL483884	pIC50=6.48
CC[C@@](OC)(C(=O)OC)c1cc(F)cc(OCc2ccc3ccccc3c2)c1	CHEMBL20599	pIC50=6.48
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2	CHEMBL20403	pIC50=6.48
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(O)cc3)\S2	CHEMBL3353686	pIC50=6.48
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccncc3)\S2	CHEMBL3353697	pIC50=6.48
CCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL3416179	pIC50=6.5
CCOC(=O)c1c([nH]c2c3ccccc3c(O)cc12)c4ccc(Cl)cc4	CHEMBL519150	pIC50=6.5
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(OC)cc3)cc1	CHEMBL1765904	pIC50=6.5
Clc1ccc(cc1)C2=NC(=O)\C(=C\c3cccc(Oc4ccccc4)c3)\S2	CHEMBL2029846	pIC50=6.5
NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1c4ccccc4	CHEMBL120362	pIC50=6.5
OC1(CC2CCC(C1)O2)c3cccc(COc4ccc5c(c6COC(=O)c6cc5c4)c7ccccc7)c3	CHEMBL128143	pIC50=6.5
CCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL3416348	pIC50=6.51
COC1=CC(=O)C(=C(C\C=C(/C)\CC\C=C(/C)\CCC=C(C)C)C1=O)OC	CHEMBL3416353	pIC50=6.51
NC(=O)N(O)CCC#C[C@@H]1CC[C@@H](CN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)O1	CHEMBL305662	pIC50=6.51
CC(C)(C)c1ccc(cc1)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917099	pIC50=6.52
CC(N(C)C(=O)Cc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)O	CHEMBL16590	pIC50=6.52
CCCCC(Sc1nc(OCCc2ccc(OC)cc2)cc(OCCc3ccc(OC)cc3)n1)C(=O)O	CHEMBL1173121	pIC50=6.52
