COC1=CC(CNC(=O)CCCC\C=C/C(C)C)=CC=C1O	zucapsaicin	pEC50=7.71000004	pEC50=7.71000004	pEC50=7.71000004
COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1	capsaicin	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=8.1
CC(=O)NC1=CC=C(O)C=C1	paracetamol
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(F)c(F)c3O1	CHEMBL3698481	pIC50=5.94
CC1CCN(CC1)c2nc(ccc2CNC(=O)N(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3822772	pKi=5.94
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3ccncc3	CHEMBL175151	pEC50=5.94
Cc1coc(n1)[C@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646662	pIC50=5.95
CC(=CCC\C(=C\CNC(=O)Cc1ccc(Cl)cc1)\C)C	CHEMBL3355283	pEC50=5.96
CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)CC(Br)P(=O)(O)O	CHEMBL3621357	pKd=5.96
CCN(Cc1ccccc1)C(=O)Nc2cccc3ccc(O)cc23	CHEMBL151378	pKi=5.96
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccccc34)cc2NC1=O	CHEMBL3682285	pIC50=5.96
COC(=O)CCSc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2442908	pIC50=5.96
C\C=C\C=C\C=C/CC\C=C\C(=O)NCC(C)(C)O	CHEMBL1084610	pEC50=5.96
FC(F)(F)Sc1cccc(NC(=O)Nc2cccc3ccncc23)c1	CHEMBL367774	pIC50=5.96
FC(F)(F)c1ccc(cc1)C2CCCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644086	pIC50=5.98
C[C@]1(C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccccc4O1)C(F)F	CHEMBL3682220	pIC50=6.0
Cc1oc(nc1)[C@@H]2CC[C@@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646665	pIC50=6.0
OB(O)c1ccc(CNC(=O)CCCCCCCc2ccccc2)cc1	CHEMBL3770115	pEC50=6.0
CCCCCCCCCc1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL261848	pKi=6.01
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccccc34)cc12	CHEMBL3682368	pIC50=6.02
CN1C(=O)CCc2ccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)cc12	CHEMBL3646644	pIC50=6.02
FC(F)(F)c1ccc(NC(=O)C2CCN(CC2)c3ncccc3C(F)(F)F)cc1	CHEMBL179688	pIC50=6.02
OCCN1Cc2ccc(NC(=O)N[C@@H]3CCOc4ccc(F)cc34)cc2NC1=O	CHEMBL3677350	pIC50=6.02
CN(CCO)c1ccc(NC(=O)COc2ccc(cc2N3CCCCC3)C(C)(C)C)cn1	CHEMBL2380572	pIC50=6.03
Fc1ccc2nc(NC(=O)N3CCC(=CC3)c4ncccc4Cl)sc2c1	CHEMBL3671854	pIC50=6.03
OCCN1Cc2ccc(NC(=O)N[C@H]3CC[C@H](C3)c4cccc(F)c4)cc2NC1=O	CHEMBL3646655	pIC50=6.03
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c(Cl)c(F)ccc34)cc12	CHEMBL3682363	pIC50=6.04
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CCOc3cc(ccc23)C(F)(F)F)cc1F	CHEMBL3698484	pIC50=6.04
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3ccc4ncccc4c3	CHEMBL175953	pIC50=6.04
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC(CF)(CF)Oc3cc(OC(F)(F)F)ccc23)cc1F	CHEMBL3698468	pIC50=6.06
O=C(N[C@@H]1CC[C@H](C1)c2ccccn2)Nc3cccc4[nH]ncc34	CHEMBL3644094	pIC50=6.06
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(F)c1N	CHEMBL2425544	pKi=6.08
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc34)cc2NC1=O	CHEMBL3682402	pIC50=6.08
OCCN1Cc2ccc(NC(=O)N[C@H]3CC[C@@H](C3)c4ccccc4)cc2NC1=O	CHEMBL3646653	pIC50=6.08
O[C@@H]1CC2(CCN(CC2)C(=O)Nc3ccc(OC(F)(F)F)cc3)Oc4c(F)cccc14	CHEMBL2443079	pIC50=6.08
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc34)cc12	CHEMBL3682369	pIC50=6.09
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)cccc34)cc2NC1=O	CHEMBL3682298	pIC50=6.09
CN(CCO)c1ccc(NC(=O)COc2ccccc2C(C)(C)C)cn1	CHEMBL2380565	pIC50=6.1
CN1C(=O)CCc2ccc(NC(=O)N[C@H]3CC[C@H](C3)c4cccc(F)c4)cc12	CHEMBL3646647	pIC50=6.1
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC(CF)(CF)Oc3c(F)c(Cl)ccc23)cc1F	CHEMBL3698473	pIC50=6.1
FC(F)(F)c1ccc(cc1)[C@H]2CCC[C@@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644088	pIC50=6.1
OCCN1Cc2ccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4F)cc2NC1=O	CHEMBL3646656	pIC50=6.1
CC(C)(C)c1ccc(cc1)C(=O)Nc2ccc(cc2)B(O)O	CHEMBL3771273	pIC50=6.11
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccc(C)cc3	CHEMBL3753476	pIC50=6.11
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3677411	pIC50=6.11
CC(C(=O)NCc1ccc(nc1SCc2ccc(C)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442922	pIC50=6.12
CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O	CHEMBL117021	pKd=6.12
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cc(F)cc34)cc2NC1=O	CHEMBL3682276	pIC50=6.12
CC(C)(C)c1ccc(NC(=O)N2CCc3c(C2)[nH]c4ccccc34)cc1	CHEMBL2312041	pIC50=6.13
CC(C)(C)c1ccc(NC(=O)c2ccc(cc2)B(O)O)cc1	CHEMBL3770207	pIC50=6.13
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(F)cc3O1	CHEMBL3698461	pIC50=6.13
CCCCCCSc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2442896	pIC50=6.14
Cc1csc(n1)[C@@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646658	pIC50=6.14
FC(F)(F)c1csc(n1)[C@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646669	pIC50=6.14
CC(C(=O)NCc1ccc(nc1N(C)S(=O)(=O)c2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3770156	pKi=6.16
CCCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL261036	pEC50=6.16
OCCN1Cc2ccc(NC(=O)N[C@H]3CC4(CCC4)Oc5ccc(F)cc35)cc2NC1=O	CHEMBL3677354	pIC50=6.16
CC(C(=O)NCc1ccc(nc1SCc2ccc(Cl)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442921	pIC50=6.17
CC(C)(C)c1ccc(NC(=O)N2CCN(CC2)c3cccnn3)cc1	CHEMBL186811	pIC50=6.17
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(ccc34)C(F)(F)F)cc12	CHEMBL3682353	pIC50=6.18
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(Br)c1N	CHEMBL2425546	pKi=6.18
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccccc3C	CHEMBL3753061	pIC50=6.19
COc1ccc(COc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F)cc1	CHEMBL2385232	pIC50=6.19
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC[C@H](C3)c4cccc(F)c4)cc2NC1=O	CHEMBL3646654	pIC50=6.19
CCCCCCCCC(=O)NCc1cc(Cl)c(O)c(OC)c1	CHEMBL191184	pIC50=6.2
CCCCC\C=C/C\C=C/CCCCCCCC(=O)NCCO	CHEMBL149859	pEC50=6.2
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO	CHEMBL15848	pEC50=6.2
CCCCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL259396	pKi=6.2
Cn1ncc2c(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)cccc12	CHEMBL3644081	pIC50=6.2
CC(C(=O)NCc1ccc(nc1SCc2ccccc2Cl)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442924	pIC50=6.21
CN1CCOc2ccc(NC(=O)N[C@@H]3CC[C@@H](C3)c4ccccc4)cc12	CHEMBL3646683	pIC50=6.21
C[C@@]1(CF)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(Cl)cc3O1	CHEMBL3698489	pIC50=6.21
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3cccnc3	CHEMBL360909	pEC50=6.21
OC[C@@H](O)Cc1cnc(c(Cl)c1)C2(F)CCN(CC2)C(=O)Nc3nc4ccc(cc4s3)C(F)(F)F	CHEMBL3671852	pIC50=6.21
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(Cl)cc3O1	CHEMBL3698477	pIC50=6.22
CC1(C)C[C@@H](NC(=O)Nc2ccc3CC(N4CCCOCC4)C(=O)Nc3c2)c5ccc(F)cc5O1	CHEMBL3682390	pIC50=6.22
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)NCc23)c4ccc(Cl)c(Cl)c4O1	CHEMBL3682236	pIC50=6.22
CCCCCCCCCCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL259102	pKi=6.22
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CCOc4cc(F)ccc34)cccc12	CHEMBL3682248	pIC50=6.22
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC4(CCCC4)Oc5ccccc35)cc2NC1=O	CHEMBL3682404	pIC50=6.22
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccccc3	CHEMBL3753679	pIC50=6.23
CCN(C)c1ccc(NC(=O)COc2ccc(cc2)C(C)(C)C)cn1	CHEMBL2380434	pIC50=6.23
C[C@@]1(C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccccc3O1)C(F)(F)F	CHEMBL3698486	pIC50=6.23
C[C@]1(C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccccc4O1)C(F)F	CHEMBL3682405	pIC50=6.23
Cc1cccc2CCC(NC(=O)Nc3cccc4[nH]ncc34)c12	CHEMBL253808	pIC50=6.23
CN(Cc1ccc(Cl)c(Cl)c1)C(=O)Nc2cccc3ccc(O)cc23	CHEMBL405658	pKi=6.24
COc1ccc(cc1)C(CNC(=O)Nc2cccc3cnccc23)Cc4cccnc4	CHEMBL250169	pKi=6.24
CC(C)(C)c1ccc(OC(=O)N2CCc3c(C2)[nH]c4ccc(O)cc34)cc1	CHEMBL2312045	pIC50=6.26
COc1ccccc1NC(=O)C2CCN(CC2)C(=O)C(C)c3ccc(CC(C)C)cc3	CHEMBL3753618	pIC50=6.26
O=C(N[C@H]1CC[C@H](C1)c2ccccc2)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3644082	pIC50=6.26
CC(C)(C)c1ccc(cc1)C(=O)N2CCc3c(C2)[nH]c4ccc(O)cc34	CHEMBL2312059	pEC50=6.27
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC4(CCC4)Oc5ccc(F)cc35)cc12	CHEMBL3682357	pIC50=6.27
CC(=CCC\C(=C/CNC(=O)Cc1ccc(Cl)cc1)\C)C	CHEMBL3355298	pIC50=6.28
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3cnc4ccccc4c3	CHEMBL367039	pIC50=6.28
CC(C)(C)c1ccc(OCC(=O)Nc2ccc(nc2)N3CCC(O)C3)cc1	CHEMBL2380432	pIC50=6.29
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3677340	pIC50=6.29
COCC1(COC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4cc(F)ccc4O1	CHEMBL3682367	pIC50=6.29
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(Br)c1O	CHEMBL2425549	pKi=6.29
FC(F)(F)c1cccc2[C@@H](CCOc12)NC(=O)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682326	pIC50=6.29
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(ccc34)C(F)(F)F)cc12	CHEMBL3682351	pIC50=6.3
Cc1csc(n1)[C@@H]2CC[C@H](C2)NC(=O)Nc3c(F)ccc4cnc(C)cc34	CHEMBL3646672	pIC50=6.3
O=C(N[C@@H]1CC[C@@H](C1)c2ccccn2)Nc3cccc4[nH]ncc34	CHEMBL3644093	pIC50=6.3
CC1N(CCc2c1[nH]c3ccc(O)cc23)C(=O)Nc4ccc(cc4)C(F)(F)F	CHEMBL2312056	pEC50=6.33
CCC1(CC)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(OC(F)(F)F)cc3O1	CHEMBL3698472	pIC50=6.33
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccc(F)cc34)cccc12	CHEMBL3682241	pIC50=6.33
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4ccc(Cl)cc4O1	CHEMBL3682350	pIC50=6.34
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(Cl)c(Cl)c4O1	CHEMBL3677403	pIC50=6.34
CCOCCCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385405	pIC50=6.34
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4ccc(OC(F)(F)F)cc4O1	CHEMBL3639811	pIC50=6.35
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682279	pIC50=6.35
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(Cl)c1O	CHEMBL2425548	pKi=6.35
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccccc4O1	CHEMBL3677410	pIC50=6.36
COCCN(C)C1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cc2NC1=O	CHEMBL3682393	pIC50=6.36
O[C@@H]1Cc2cccc(NC(=O)N[C@@H]3C[C@H](C3)c4ccccc4)c2C1	CHEMBL3644114	pIC50=6.36
CC(C)(C)c1ccc(cc1)C2CCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644092	pIC50=6.37
FCC1(CF)C[C@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682305	pIC50=6.37
CCC1(CC)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3cccc(F)c3O1	CHEMBL3698466	pIC50=6.38
FC(F)(F)Sc1cccc(NC(=O)Nc2cccc3cccnc23)c1	CHEMBL193090	pIC50=6.38
O[C@H]1CC2(CCN(CC2)C(=O)Nc3ccc(OC(F)(F)F)cc3)Oc4c(Br)cccc14	CHEMBL2443062	pIC50=6.38
CC(C)(C)c1ccc(OCC(=O)Nc2ccc(nc2)N3CCCC3)cc1	CHEMBL2380431	pIC50=6.39
CC(C)N(c1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F)S(=O)(=O)c3ccccc3	CHEMBL3769847	pKi=6.39
CC1CCN(CC1)c2nc(ccc2CNC(=O)NCc3ccc(CNS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3823968	pKi=6.39
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCOc4ccc(F)cc34)cc12	CHEMBL3682370	pIC50=6.39
FC(F)(F)c1csc(n1)[C@@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646668	pIC50=6.39
CC(=O)Nc1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)C(C)(C)C)nc3c2	CHEMBL3426345	pIC50=6.4
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3677405	pIC50=6.4
CCc1ccccc1NC(=O)CCCNC(=O)C(C)c2ccc(CC(C)C)cc2	CHEMBL3753090	pIC50=6.4
CN1Cc2ccc(NC(=O)N[C@@H]3CC4(CCCC4)Oc5ccccc35)cc2NC1=O	CHEMBL3682293	pIC50=6.4
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O	CHEMBL184618	pIC50=6.4
O=C(Nc1cccc2cnccc12)\C=C\c3ccccc3	CHEMBL106391	pKi=6.4
CC(C(=O)NCc1ccc(nc1C)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL3314379	pKi=6.41
CCCCCCCCC(=O)NCc1cc(OC)c(O)c(C=C)c1	CHEMBL190051	pIC50=6.41
CCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL260448	pIC50=6.41
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c3cccc4C(F)(F)F)cc12	CHEMBL3682344	pIC50=6.41
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCC(=O)Nc2cc(Cl)ccc2C	CHEMBL3753376	pIC50=6.42
CC1(C)C[C@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3677355	pIC50=6.42
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4ccc(Cl)c(Cl)c4O1	CHEMBL3682271	pIC50=6.42
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccc(F)cc34)cc12	CHEMBL3682355	pIC50=6.42
COc1ccccc1NC(=O)CCCNC(=O)C(C)c2ccc(CC(C)C)cc2	CHEMBL3752744	pIC50=6.43
C[C@H]1Oc2c(NC(=O)N[C@@H]3CC[C@H](C3)c4ccccc4)cccc2NC1=O	CHEMBL3644073	pIC50=6.43
OB(O)c1ccc(CC(=O)NCCCCCCCc2ccccc2)cc1	CHEMBL3770697	pEC50=6.43
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677344	pIC50=6.44
C[C@@]1(C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccccc4O1)C(F)F	CHEMBL3682221	pIC50=6.44
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3cc4ccccc4cn3	CHEMBL175638	pIC50=6.44
O=C(N[C@@H]1CC[C@@H](C1)c2ccccc2)Nc3cccc4CCCc34	CHEMBL3646650	pIC50=6.44
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccc(cc3)[N+](=O)[O-]	CHEMBL3752745	pIC50=6.45
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(F)c(Cl)c3O1	CHEMBL3698476	pIC50=6.45
CCCCCCCCC(=O)NCc1cc(CC)c(O)c(OC)c1	CHEMBL190452	pIC50=6.45
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccccc3[N+](=O)[O-]	CHEMBL3754239	pIC50=6.46
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(F)c(Cl)c4O1	CHEMBL3682321	pIC50=6.46
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc34)cc2NC1=O	CHEMBL3682286	pIC50=6.46
C[C@]1(CF)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(cc3O1)C(F)(F)F	CHEMBL3698488	pIC50=6.46
Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)c(Cl)ccc2cn1	CHEMBL3326913	pIC50=6.46
CC(C(=O)NCc1ccc(nc1OCC2CCN(CC2)C(=O)OC(C)(C)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385219	pIC50=6.47
CCCCc1ccc(COc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F)cc1	CHEMBL2385227	pIC50=6.47
O[C@@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@H](C3)c4cccc(F)c4)c2C1	CHEMBL3644146	pIC50=6.47
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3677349	pIC50=6.48
CCC1(CC)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(Cl)c(Cl)c3O1	CHEMBL3698462	pIC50=6.48
CCCCc1ccc(NC(=O)Nc2cccc3cnccc23)cc1	CHEMBL105694	pKi=6.48
CN1Cc2ccc(NC(=O)N[C@@H]3C[C@@](C)(Oc4ccccc34)C(F)F)cc2NC1=O	CHEMBL3682295	pIC50=6.48
C[C@]1(C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccccc4O1)C(F)(F)F	CHEMBL3677423	pIC50=6.48
FC(F)(F)c1ccc(NC(=O)N2CCN(CC2)c3ccccc3C(F)(F)F)cn1	CHEMBL176065	pIC50=6.48
O[C@@H]1Cc2cccc(NC(=O)N[C@@H]3C[C@@H](C3)c4ccccc4)c2C1	CHEMBL3644115	pIC50=6.48
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)Nc4ccc(cc4)C(F)(F)F	CHEMBL2312052	pIC50=6.48
COc1ccc(NC(=O)C2CCN(CC2)C(=O)C(C)c3ccc(CC(C)C)cc3)c(c1)[N+](=O)[O-]	CHEMBL3752106	pIC50=6.49
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CCc3cc(ccc23)C(F)(F)F)cc1F	CHEMBL3698459	pIC50=6.49
Cc1csc(n1)[C@H]2CC[C@H](C2)NC(=O)Nc3c(F)ccc4cnc(C)cc34	CHEMBL3646671	pIC50=6.49
Brc1ccc(COC(=O)Nc2cccc3cnccc23)cc1	CHEMBL192114	pIC50=6.5
Cc1ccc(COC(=O)Nc2cccc3cnccc23)cc1	CHEMBL193279	pIC50=6.5
Cc1ccc(cc1C)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL456333	pKi=6.5
OB(O)c1ccc(CNC(=O)CCc2ccccc2)cc1	CHEMBL3769611	pEC50=6.5
CC(C(=O)NCc1ccc(nc1SCCCN2CCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442903	pIC50=6.51
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3677398	pIC50=6.51
FC(F)(F)c1ccc(cc1)[C@H]2CC[C@@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644096	pIC50=6.51
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccccc34)cccc12	CHEMBL3677308	pIC50=6.52
CS(=O)(=O)Nc1ccccc1c2ccc3[nH]c(\C=C\c4ccc(OCC(F)(F)F)cc4)nc3c2	CHEMBL3426355	pIC50=6.52
Cc1cc(Cl)nnc1N2CCN(CC2)C(=O)Nc3ccc(cc3)C(C)(C)C	CHEMBL426258	pIC50=6.52
CC(C(=O)NCc1ccc(nc1OC2CCN(CC2)C(=O)OC(C)(C)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385244	pIC50=6.53
CN(C)c1ccc(cc1)[C@H]2CCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644102	pIC50=6.54
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(F)ccc34)cc2NC1=O	CHEMBL3682297	pIC50=6.54
CN1Cc2ccc(NC(=O)N[C@@H]3CC4(CCC4)Oc5ccc(F)cc35)cc2NC1=O	CHEMBL3682277	pIC50=6.54
Cc1cccnc1N2CCN(CC2)C(=O)Nc3ccc(cc3)C(F)(F)F	CHEMBL440749	pIC50=6.54
O=C(N[C@H]1CCC[C@@H](C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644090	pIC50=6.54
O[C@@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)c2C1	CHEMBL3644078	pIC50=6.54
CC(C)(C)OC(=O)Nc1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)C(C)(C)C)nc3c2	CHEMBL3426343	pIC50=6.55
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)c(Cl)ccc34)cc2NC1=O	CHEMBL3682280	pIC50=6.55
CN1Cc2ccc(NC(=O)N[C@@H]3CCOc4cc(OC(F)(F)F)ccc34)cc2NC1=O	CHEMBL3682283	pIC50=6.55
COc1ccc(CSc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F)cc1	CHEMBL2442923	pIC50=6.55
