OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3	quercetin	pKd=7.6	pKd=7.6	pKd=7.6	pKd=7.6
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N3CCOCC3	CHEMBL3684932	pIC50=7.53
C[C@@H]1CN([C@@H](C)CN1)c2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3684944	pIC50=7.99
CC(C)(CN)COc1c(Br)ccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660055	pIC50=8.0
CC(C)(CNC(=O)CF)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3664631	pIC50=8.0
CCCC(Oc1cccc2ccc(nc12)c3nnc4ccccn34)[C@H](CC)CN	CHEMBL3660040	pIC50=8.0
CCOc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3	CHEMBL2048869	pIC50=8.0
CN1C[C@@H]2C[C@H]1CN2CC3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035635	pIC50=8.0
CNC(=O)c1cccc2c3cnccc3c(Nc4cccc(OC)c4Cl)nc12	CHEMBL1915645	pIC50=8.0
FC(F)(F)Oc1cccc(c1)n2nnc3ccc(nc23)N4CC5(CCNCC5)C4	CHEMBL1952124	pIC50=8.0
Fc1ccc(Cl)cc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915639	pIC50=8.0
N#Cc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017355	pIC50=8.0
NCCNc1ccn2ncc(c3cccc(c3)c4ccccc4)c2n1	CHEMBL2442307	pIC50=8.0
NC[C@@H](NC(=O)C[C@H]1CNC(=O)c2cc(cn12)c3cccc(F)c3)c4ccccc4	CHEMBL3298891	pIC50=8.0
N[C@@H]1CCCN(C1)c2c(Br)cccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048867	pIC50=8.0
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)[C@@H]4CC[C@H](O)CC4	CHEMBL3651949	pIC50=8.0
OC1CN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2035638	pIC50=8.0
c1ccc(cc1)c2n[nH]c3cnc(cc23)c4cccnc4	CHEMBL3634790	pKi=8.0
c1ccc(nc1)c2n[nH]c3cnc(cc23)c4cccnc4	CHEMBL3634791	pKi=8.0
CCCn1c(nc2c(Br)c(Br)c(Br)c(Br)c12)N3CCNCC3	CHEMBL3639838	pIC50=8.03
FC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CNC1	CHEMBL3660097	pIC50=8.03
NCCNc1ccn2ncc(c3ccc4cn[nH]c4c3)c2n1	CHEMBL2442305	pIC50=8.03
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)CN4CCC4	CHEMBL2035632	pIC50=8.05
CN(C)CC1=Nc2c(sc3ccc(C=C)cc23)C(=O)N1	CHEMBL573470	pKi=8.05
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4cccc(F)c4)C5CCCCC5)CC1	CHEMBL3297761	pIC50=8.05
C[C@@H]1CN(C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676291	pIC50=8.05
FC(F)(F)c1cccc(c1)n2nnc3ccc(NCC4CC5(CCNCC5)C4)nc23	CHEMBL1952136	pIC50=8.05
Fc1cc(F)cc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017344	pIC50=8.05
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL2017342	pIC50=8.05
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1F	CHEMBL2017349	pIC50=8.05
NCCCCNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1	CHEMBL2159218	pIC50=8.05
N[C@@H]1CCCN(C1)c2ccccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048865	pIC50=8.05
O=Cc1cn2CCCCCn3c4ccccc4c5ccc1c2c35	CHEMBL3627997	pIC50=8.05
OC[C@@H]1CC(CCN1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660053	pIC50=8.05
O[C@@H]1CCN(CC2=Nc3c(sc4ccc(Cl)cc34)C(=O)N2)C1	CHEMBL574819	pKi=8.05
Oc1ccc(cc1)c2ccc3c(n[nH]c3n2)c4ccc(cc4)N5CCNCC5	CHEMBL1910893	pIC50=8.05
FCCN1CCC(F)(COc2cccc3ccc(nc23)c4nnc5ccccn45)CC1	CHEMBL3660095	pIC50=8.06
C1COC(C1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634762	pKi=8.07
COC(=O)N(C)[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687462	pIC50=8.07
COCCOc1ccc2nnc(c3ccc4cccc(OCC5(F)CCNCC5)c4n3)n2c1	CHEMBL3664614	pIC50=8.08
CC(C)COc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3	CHEMBL2048870	pIC50=8.1
CC(C)Oc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394171	pIC50=8.1
CCNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915646	pIC50=8.1
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(Cl)c(F)c4)C(=O)N1	CHEMBL575675	pKi=8.1
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc[nH]4)C(=O)N1	CHEMBL572783	pKi=8.1
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cocc4)C(=O)N1	CHEMBL572784	pKi=8.1
CN(C)CCN(C)c1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264261	pIC50=8.1
COc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1Cl	CHEMBL1915633	pIC50=8.1
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651985	pIC50=8.1
Clc1cccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c1Cl	CHEMBL2035623	pIC50=8.1
Clc1ccccc1Nc2nc3c(cccc3c4scnc24)c5nnc[nH]5	CHEMBL2017329	pIC50=8.1
Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCSC(=N)N)c4ccccc34)c5ccccc15	CHEMBL6291	pKd=8.1
FC1CNCCC1Oc2cc(F)cc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660084	pIC50=8.1
FC1CNCCC1Oc2cccc3ccc(nc23)c4nnc5ccc(Br)cn45	CHEMBL3660074	pIC50=8.1
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CCNCC5)n4)c3c2	CHEMBL3393701	pIC50=8.1
Fc1ccccc1Nc2nc3c(cccc3n4cccc24)c5nnc[nH]5	CHEMBL2017332	pIC50=8.1
Nc1ccc(nc1C(=O)Nc2cnccc2c3ccncc3)c4ccccc4F	CHEMBL3793440	pKi=8.1
O=Cc1cn2CCCCn3c4ccccc4c5ccc1c2c35	CHEMBL1950228	pIC50=8.1
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4ccccn4	CHEMBL3634766	pKi=8.11
CN1CCC(CC1)c2c(NC(=O)c3nc(sc3N)c4c(F)cccc4F)cnn2C	CHEMBL3652642	pKi=8.12
Fc1cc(OCC2(F)CNC2)c3nc(ccc3c1)c4nnc5ccccn45	CHEMBL3664611	pIC50=8.14
NCCNc1ccn2ncc(c3ccc4NC(=O)Nc4c3)c2n1	CHEMBL2442304	pIC50=8.14
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)c4ccc(NCC5CCNCC5)cc4	CHEMBL2035630	pIC50=8.16
CC(C)Oc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394167	pIC50=8.16
CN(C)CCNc1ccn2ncc(c3cn[nH]c3)c2n1	CHEMBL2442287	pIC50=8.16
CN(C)CCOc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(F)c1	CHEMBL1915642	pIC50=8.16
CN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1.OS(=O)(=O)O	CHEMBL1952141	pIC50=8.16
COc1ccccc1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017350	pIC50=8.16
CSc1ncc2ccc3c(cn(C4CCNCC4)c3c2n1)C(=O)N	CHEMBL3703185	pIC50=8.16
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4ccc(O)cc4F	CHEMBL3651935	pIC50=8.16
Cc1cc(F)ccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915634	pIC50=8.16
Cc1ccccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915443	pIC50=8.16
Clc1ccccc1Nc2nc3c(cccc3c4cscc24)c5nnc[nH]5	CHEMBL2017326	pIC50=8.16
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CC5(CCNC5)C4	CHEMBL3648765	pKi=8.16
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CCCNC5)n4)c3c2	CHEMBL3393702	pIC50=8.16
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(n4)N5CCNCC5)c3c2	CHEMBL3393695	pIC50=8.16
NC1CCCCC1Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689320	pIC50=8.16
NCCNc1ccn2ncc(c3ccc4scnc4c3)c2n1	CHEMBL2442303	pIC50=8.16
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(F)cc(F)c4F	CHEMBL3651944	pIC50=8.16
Brc1cccc2[nH]c3c(ccc4c(C=O)c[nH]c34)c12	CHEMBL1240961	pIC50=8.17
C1CN(CCN1)c2ccn3ncc(c4ccc5ccccc5c4)c3n2	CHEMBL2442295	pIC50=8.17
CC(C)n1c(nc2c(Br)c(Br)c(Br)c(Br)c12)N3CCNCC3	CHEMBL3684943	pIC50=8.17
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1N=[N+]=[N-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687439	pIC50=8.17
NC(=N)N1CCN(CC1)c2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3684951	pIC50=8.17
Brc1c(Br)c(Br)c2[nH]c(NC3CCNCC3)nc2c1Br	CHEMBL3689342	pIC50=8.18
CCn1c(nc2c(Br)c(Br)c(Br)c(Br)c12)N3CCNCC3	CHEMBL3684952	pIC50=8.18
N[C@H]1CCCN(C1)c2[nH]ncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3652621	pKi=8.19
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1OCCC#N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687473	pIC50=8.2
C#Cc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017356	pIC50=8.22
CCOc1ccc2C(=O)\C(=C\c3c[nH]c4ccccc34)\Oc2c1CN5CCNCC5	CHEMBL2147764	pIC50=8.22
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(F)c4)C(=O)N1	CHEMBL573705	pKi=8.22
COc1ccc2C(=O)\C(=C\c3n[nH]c4ccccc34)\Oc2c1CN5CCNCC5	CHEMBL2147845	pIC50=8.22
Cc1ccc(F)cc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915635	pIC50=8.22
Cc1n[nH]c2cnc(cc12)c3cncc(n3)N4CCC(N)CC4	CHEMBL3634778	pKi=8.22
Clc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017339	pIC50=8.22
FC(F)(F)Oc1cccc(c1)n2nnc3cc(Cl)c(NCC4CCNCC4)nc23	CHEMBL1952144	pIC50=8.22
FC(F)(F)Oc1cccc(c1)n2nnc3ccc(NCC4CCNCC4)nc23	CHEMBL1952113	pIC50=8.22
N[C@@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030388	pIC50=8.22
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676293	pIC50=8.22
N[C@@H]1C[C@H](CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F)C(F)(F)F	CHEMBL3676282	pIC50=8.22
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)cc(F)c4F	CHEMBL3651910	pIC50=8.22
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cccc4F	CHEMBL3651976	pIC50=8.22
Nc1ccc(nc1C(=O)Nc2cnccc2c3ccnc(N)n3)c4c(F)cccc4F	CHEMBL3793267	pKi=8.22
C[C@@H]1C[C@@H](C[C@H](N)C12OCCO2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687453	pIC50=8.23
NCCCNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1	CHEMBL2159217	pIC50=8.23
CCC(CO)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3664627	pIC50=8.24
CN1CCCC(CC1)Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689337	pIC50=8.24
CC(C)(CNCC(F)(F)F)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3664633	pIC50=8.26
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccnc(n3)c4c(F)cccc4F	CHEMBL3687514	pIC50=8.27
N[C@@H]1CCCC[C@H]1Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689321	pIC50=8.28
OC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCNCC1	CHEMBL3660068	pIC50=8.28
NCCCNc1ccn2ncc(c3ccc4ccccc4c3)c2n1	CHEMBL2442299	pIC50=8.29
C1CC2CC(CC1N2)Oc3cccc4ccc(nc34)c5nnc6ccccn56	CHEMBL3660034	pIC50=8.3
C1C[C@H](CN1)Nc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660010	pIC50=8.3
CCCNc1nc2c(cccc2nc1C)c3cc4C(=O)NCCc4[nH]3	CHEMBL3808459	pIC50=8.3
CC[C@H](CN)C(C)Oc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660038	pIC50=8.3
CCc1ccc(cc1)c2ccc3sc4C(=O)NC(=Nc4c3c2)CN(C)C	CHEMBL572550	pKi=8.3
CN(C)CC1=Nc2c(sc3ccc(Br)cc23)C(=O)N1	CHEMBL575470	pKi=8.3
CN(C)CC1=Nc2c(sc3ccc(cc23)C#C)C(=O)N1	CHEMBL574168	pKi=8.3
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(cc4)C#N)C(=O)N1	CHEMBL573702	pKi=8.3
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(OC(F)(F)F)c4)C(=O)N1	CHEMBL573923	pKi=8.3
CN(C)CCNc1ccn2ncc(c3ccc4ccccc4c3)c2n1	CHEMBL2442300	pIC50=8.3
CN(C)c1cccc(c1)n2nnc3ccc(NCC4CCNCC4)nc23	CHEMBL1952134	pIC50=8.3
CN1CCCN(CC1)C(=O)c2cccc(c2)c3oc(\C=C/4\C(=O)Nc5ccc(Cl)cc45)cc3	CHEMBL2037200	pIC50=8.3
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4cccc(Cl)c4)C(C)(C)C)CC1	CHEMBL3297767	pIC50=8.3
CNC(=O)c1cccc2c1nc(Nc3ccccc3Cl)c4ccsc24	CHEMBL2017360	pIC50=8.3
COC1CCN(CC1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676263	pIC50=8.3
COc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1Cl	CHEMBL2017343	pIC50=8.3
CSc1ncc2CCc3c(cn([C@@H]4CC[C@H](N)CC4)c3c2n1)C(=O)N	CHEMBL3703183	pIC50=8.3
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676299	pIC50=8.3
Clc1ccc2NC(=O)\C(=C\c3oc(cc3)c4cccc(c4)C(=O)N5CCCNCC5)\c2c1	CHEMBL2037201	pIC50=8.3
Clc1ccccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915438	pIC50=8.3
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CC[C@@](C)(N)CC(F)(F)C4	CHEMBL3623162	pKi=8.3
Fc1cc(OCCN2CCCC2)ccc1Nc3nc4c(cccc4c5cnccc35)c6nnc[nH]6	CHEMBL1915641	pIC50=8.3
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3O[C@H]4CCNC4	CHEMBL3354511	pIC50=8.3
Fc1ccccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915442	pIC50=8.3
NC(=O)c1cccc2c1nc(Nc3ccccc3Cl)c4ccsc24	CHEMBL2017359	pIC50=8.3
NC1CN(CCC1Cl)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676274	pIC50=8.3
NCCCNc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660012	pIC50=8.3
N[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4cccc(OC(F)(F)F)c4)c3n2	CHEMBL3355542	pIC50=8.3
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3652000	pIC50=8.3
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(n4)N5CCOCC5)c3c2	CHEMBL3394073	pIC50=8.3
OCC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CC1	CHEMBL3660027	pIC50=8.3
O[C@H]1CCN(CC2=Nc3c(sc4ccc(Cl)cc34)C(=O)N2)C1	CHEMBL572513	pKi=8.3
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccsc5)C(=O)N2)C1	CHEMBL573012	pKi=8.3
Oc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL1915445	pIC50=8.3
FC1CCNCCC1Oc2cccc3ccc(nc23)c4nnc5ccc(F)cn45	CHEMBL3660092	pIC50=8.31
NCC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCCC1	CHEMBL3664626	pIC50=8.31
COc1ccc2nnc(c3ccc4cccc(OCC5(F)CCNCC5)c4n3)n2c1	CHEMBL3664612	pIC50=8.33
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1NCC4CCNCC4	CHEMBL3652622	pKi=8.34
NCCNc1ccn2ncc(c3cccc(c3)c4occc4)c2n1	CHEMBL2442290	pIC50=8.35
Cc1onc(C)c1c2nc(C(=O)Nc3cnn(C)c3N4CCC[C@H](N)CC4)c(N)s2	CHEMBL3648802	pKi=8.36
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1OC4CCNCC4	CHEMBL3652629	pKi=8.36
Fc1cc(OC2CCNCC2(F)F)c3nc(ccc3c1)c4nnc5ccccn45	CHEMBL3660087	pIC50=8.36
Cn1ncc(NC(=O)c2nc(sc2N)c3cncc(F)c3)c1N4CCC[C@H](N)CC4	CHEMBL3648801	pKi=8.37
C(Nc1nc2c(cccc2c3sccc13)c4nnc[nH]4)c5ccccc5	CHEMBL2017336	pIC50=8.4
C1CC(CCN1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660014	pIC50=8.4
C1COCC(C1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634763	pKi=8.4
CCCOc1ccc(F)c(c1)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651980	pIC50=8.4
CC[C@@H](CN)C(C)Oc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660037	pIC50=8.4
CC[C@H](CN)C(CC)Oc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660036	pIC50=8.4
CN(C)CC(C)(C)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660026	pIC50=8.4
CN(C)CC1=Nc2c(sc3ccc(cc23)N4CCCC4)C(=O)N1	CHEMBL573957	pKi=8.4
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cc(Cl)cc(Cl)c4)C(=O)N1	CHEMBL575471	pKi=8.4
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(cc4)N(C)C)C(=O)N1	CHEMBL575255	pKi=8.4
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccccc4)C(=O)N1	CHEMBL583273	pKi=8.4
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccsc4)C(=O)N1	CHEMBL575263	pKi=8.4
COC[C@@H]1CC(CCN1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660054	pIC50=8.4
COc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017352	pIC50=8.4
CSc1ncc2ccc3c(C(=O)N)c(C)n(C(C)C)c3c2n1	CHEMBL3703181	pIC50=8.4
C[C@@H]1CN(C[C@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652007	pIC50=8.4
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccnc4	CHEMBL3652012	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676297	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1F)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676311	pIC50=8.4
Clc1cc(CNC2CCNCC2)ccc1C3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035628	pIC50=8.4
Clc1cc(ccc1C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C(=O)NCCN5CCCCC5	CHEMBL2035627	pIC50=8.4
Clc1ccccc1Nc2nc3c(cccc3c4ccsc24)c5nnc[nH]5	CHEMBL2017328	pIC50=8.4
FC(F)(F)Oc1cccc(c1)n2nnc3ccc(NCC4CC5(CCNCC5)C4)nc23	CHEMBL1952126	pIC50=8.4
F[C@H]1CNCCC1Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660030	pIC50=8.4
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017347	pIC50=8.4
Fc1cccc(F)c1c2cccc(n2)C(=O)Nc3cnccc3OC4CCNCC4	CHEMBL3354521	pIC50=8.4
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3OC4CCOCC4	CHEMBL3354515	pIC50=8.4
Fc1cccnc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393710	pIC50=8.4
Fc1cnccc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393712	pIC50=8.4
N(c1ccccc1)c2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017322	pIC50=8.4
NC(=O)CN1CCC(F)(COc2cccc3ccc(nc23)c4nnc5ccccn45)CC1	CHEMBL3660079	pIC50=8.4
NCC(F)(F)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660043	pIC50=8.4
N[C@@H]1CCCN(C1)c2c(\C=C\3/SC(=O)NC3=O)cccc2c4ccncc4	CHEMBL2048873	pIC50=8.4
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651979	pIC50=8.4
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(Oc4ccccc4)ccc3N	CHEMBL3103859	pKi=8.4
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4cc(O)ccc4F	CHEMBL3651930	pIC50=8.4
N[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030387	pIC50=8.4
N[C@H]1C[C@@H](F)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676267	pIC50=8.4
N[C@H]1C[C@H](F)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676273	pIC50=8.4
Nc1cc(ncn1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3793221	pKi=8.4
Nc1ccc(cn1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3793600	pKi=8.4
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(NC5CCCCC5)n4)c3c2	CHEMBL3394165	pIC50=8.4
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccc(cc5)C#N)C(=O)N2)C1	CHEMBL573045	pKi=8.4
Oc1ccc(cc1)c2ccc3c(c[nH]c3c2)c4ccc(cc4)N5CCNCC5	CHEMBL1910894	pIC50=8.4
CCN1CCC(F)(COc2cccc3ccc(nc23)c4nnc5ccccn45)CC1	CHEMBL3660094	pIC50=8.41
COc1nccc(C)c1c2nc(C(=O)Nc3cnn(C)c3N4CCC[C@H](N)CC4)c(N)s2	CHEMBL3648808	pKi=8.43
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1C4CCCCCC4	CHEMBL3648778	pKi=8.43
Brc1c(Br)c(Br)c2[nH]c(NC3CCCNCC3)nc2c1Br	CHEMBL3689338	pIC50=8.46
CN(C)CCNc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264257	pIC50=8.47
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1OCCC(=O)O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687454	pIC50=8.47
Fc1ccccc1c2n[nH]c3cnc(cc23)c4cnccc4O[C@@H]5CCCNC5	CHEMBL3634777	pKi=8.47
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)N5CCOCC5	CHEMBL3634765	pKi=8.48
CC(C)(COc1cc(F)cc2ccc(nc12)c3nnc4ccccn34)[C@@H](O)CO	CHEMBL3664615	pIC50=8.48
CC(C)NC(=O)c1ccc(F)c(c1)c2nc(cs2)C(=O)Nc3cnccc3N4CCC[C@H](N)C4	CHEMBL3676304	pIC50=8.5
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687496	pIC50=8.51
N[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4ccc5ccccc5c4)c3n2	CHEMBL2442316	pIC50=8.51
