C[C@H]1C[C@H](C[C@@H](N)[C@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687446	pIC50=7.53
Clc1ccccc1Nc2nc3c(cccc3c4scnc24)c5nnc[nH]5	CHEMBL2017329	pIC50=8.05
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL2017342	pIC50=8.05
NC1C=C(CCC1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651987	pIC50=8.05
NC1CCN(CC1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393692	pIC50=8.05
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(O)ccc4F	CHEMBL3651929	pIC50=8.05
C1CC1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915428	pIC50=8.1
C1CC2(CC2)[C@H](CN1)Oc3cncc(n3)c4n[nH]c5ccc(cc45)c6nccs6	CHEMBL3393715	pIC50=8.1
CC1CCN(CC1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676275	pIC50=8.1
CCCOc1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651964	pIC50=8.1
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccccc4)C(=O)N1	CHEMBL583273	pKi=8.1
COc1ccccc1c2ccc(N)c(n2)C(=O)Nc3cnccc3N4CCC[C@H](N)C4	CHEMBL3103864	pKi=8.1
CS[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687445	pIC50=8.1
C[C@@H]1CN(C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651997	pIC50=8.1
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(C)ccc4F	CHEMBL3651954	pIC50=8.1
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(C)ccc4F	CHEMBL3651969	pIC50=8.1
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3651971	pIC50=8.1
Cc1cc(F)ccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915634	pIC50=8.1
Cc1ccc(F)cc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915635	pIC50=8.1
Clc1ccccc1Nc2nc3c(cccc3c4cscc24)c5nnc[nH]5	CHEMBL2017326	pIC50=8.1
NC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915643	pIC50=8.1
N[C@@H]1C=C(CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651988	pIC50=8.1
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676258	pIC50=8.1
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(O)cc4F	CHEMBL3651905	pIC50=8.1
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(O)ccc4F	CHEMBL3651903	pIC50=8.1
Nc1cc(ccn1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3793927	pKi=8.1
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3687517	pIC50=8.11
O=C(Nc1c[nH]c2ncccc12)c3cnn4ccc(NCC5CCNCC5)nc34	CHEMBL2387470	pKi=8.11
C[C@H]1CN(C[C@@H](N)[C@H]1NC(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687433	pIC50=8.12
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3691964	pIC50=8.13
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687522	pIC50=8.13
Cc1oc(nn1)c2cccc(c2)c3cnn4ccc(NCCN)nc34	CHEMBL2442291	pIC50=8.14
CC(=O)O[C@H]1CC[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651995	pIC50=8.16
CCCOc1ccc(F)c(c1)c2nc(C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4)c(N)cc2F	CHEMBL3651963	pIC50=8.16
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cscc4C)C(=O)N1	CHEMBL584563	pKi=8.16
CSc1ncc2CCc3c(cn([C@@H]4CC[C@H](N)CC4)c3c2n1)C(=O)N	CHEMBL3703183	pIC50=8.16
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccc(O)cc4F	CHEMBL3651933	pIC50=8.16
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651958	pIC50=8.16
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676300	pIC50=8.16
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cccc4F	CHEMBL3651965	pIC50=8.16
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652024	pIC50=8.16
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651927	pIC50=8.16
Cc1ccc(F)c(c1)c2cccc(n2)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)C[C@H](C4)C(F)(F)F	CHEMBL3652002	pIC50=8.16
Cc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4CCC[C@H](N)C4	CHEMBL3651916	pIC50=8.16
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017347	pIC50=8.16
NC1CCCC(=C1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3652001	pIC50=8.16
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3651961	pIC50=8.16
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4C(F)(F)F	CHEMBL3103865	pKi=8.16
C[C@H]1C[C@H](C[C@@H](N)/C/1=N\O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687419	pIC50=8.17
COCCS(=O)(=O)[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687432	pIC50=8.18
C[C@H]1CN(C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687467	pIC50=8.19
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(O[C@@H]5CCCNC5)n4	CHEMBL3634755	pKi=8.21
CC1CC(O)C=C(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651999	pIC50=8.22
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(OCCCN)cc4)C(=O)N1	CHEMBL576388	pKi=8.22
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cocc4)C(=O)N1	CHEMBL572784	pKi=8.22
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691951	pIC50=8.22
COc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017352	pIC50=8.22
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)ccc4F	CHEMBL3651957	pIC50=8.22
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(O)ccc4F	CHEMBL3651931	pIC50=8.22
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4cc(O)ccc4F	CHEMBL3651939	pIC50=8.22
C[C@H]1C[C@H](C[C@@H](O)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652011	pIC50=8.22
Cc1cc2c(Nc3ccccc3F)nc4c(cccc4c2s1)c5nnc[nH]5	CHEMBL2017361	pIC50=8.22
Cc1ccccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915443	pIC50=8.22
Clc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017339	pIC50=8.22
Clc1ccccc1Nc2nc3c(cccc3c4ccsc24)c5nnc[nH]5	CHEMBL2017328	pIC50=8.22
Clc1ccccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915438	pIC50=8.22
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCNCC5)n4)c3c2	CHEMBL3393697	pIC50=8.22
Fc1cccnc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393710	pIC50=8.22
Fc1cnccc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393712	pIC50=8.22
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccn4	CHEMBL3103860	pKi=8.22
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccncc4	CHEMBL3103862	pKi=8.22
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(NC5CCCC5)n4)c3c2	CHEMBL3394164	pIC50=8.22
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3687530	pIC50=8.23
F[C@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387478	pKi=8.23
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687526	pIC50=8.24
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)n5ccnc5	CHEMBL3634773	pKi=8.27
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691952	pIC50=8.28
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2cc(nn2)C(C)(C)O)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3691972	pIC50=8.28
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3N4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691981	pIC50=8.29
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3691983	pIC50=8.29
C#Cc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017356	pIC50=8.3
CC(C)CNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915648	pIC50=8.3
CN(C)CC1=Nc2c(sc3ccc(cc23)N4CCCC4)C(=O)N1	CHEMBL573957	pKi=8.3
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(O)c(F)c4)C(=O)N1	CHEMBL572514	pKi=8.3
CN1CCCN(CC1)C(=O)c2ccc(F)c(c2)c3oc(\C=C/4\C(=O)Nc5ccc(Cl)cc45)cc3	CHEMBL2037204	pIC50=8.3
CNC(=O)c1cccc2c3cnccc3c(Nc4cccc(OC)c4Cl)nc12	CHEMBL1915645	pIC50=8.3
CNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915644	pIC50=8.3
COc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3	CHEMBL2048868	pIC50=8.3
C[C@@H]1C[C@@H](C[C@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651990	pIC50=8.3
C[C@@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651992	pIC50=8.3
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccc(F)c4F	CHEMBL3651956	pIC50=8.3
C[C@@H]1C[C@H](O)C[C@@H](C1)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676288	pIC50=8.3
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651919	pIC50=8.3
C[C@H]1C[C@H](C[C@@H](N)[C@H]1F)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652031	pIC50=8.3
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652025	pIC50=8.3
Cc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)CC(C)(C)C4	CHEMBL3651907	pIC50=8.3
Fc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017346	pIC50=8.3
Fc1ccccc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915442	pIC50=8.3
Fc1ccncc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393711	pIC50=8.3
N[C@@H]1CCCN(C1)c2c(Cl)cccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048866	pIC50=8.3
N[C@@H]1CCCN(C1)c2c(\C=C\3/SC(=O)NC3=O)cccc2c4ccccc4	CHEMBL2048872	pIC50=8.3
N[C@@H]1C[C@@H](C[C@@H](C1)C(F)(F)F)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3652005	pIC50=8.3
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651993	pIC50=8.3
FC1(CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2)CCNCC1	CHEMBL2387462	pKi=8.31
CO\N=C/1\[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687426	pIC50=8.32
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687502	pIC50=8.33
C[C@H]1CN(C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687464	pIC50=8.33
CN[C@H]1CCCN(CC1)c2c(NC(=O)c3nc(sc3N)c4c(F)cccc4F)cnn2C	CHEMBL3652645	pKi=8.36
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691976	pIC50=8.36
C1CC2(CC2)[C@H](CN1)Oc3cncc(n3)c4n[nH]c5ccc(cc45)c6ccccc6	CHEMBL3393709	pIC50=8.37
C[C@H]1CN(C[C@@H](N)[C@H]1n2cc(nn2)c3ccsc3)c4ccncc4NC(=O)c5ccc(F)c(n5)c6c(F)cccc6F	CHEMBL3687417	pIC50=8.37
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2cc(nn2)C3CC3)c4ccncc4NC(=O)c5ccc(F)c(n5)c6c(F)cccc6F	CHEMBL3691970	pIC50=8.39
CC1CC(N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676270	pIC50=8.4
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(O)c4)C(=O)N1	CHEMBL583913	pKi=8.4
CNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4F)nc12	CHEMBL1915650	pIC50=8.4
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](OC)[C@H](N)C4	CHEMBL3687533	pIC50=8.4
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)CC(C)(C)C4	CHEMBL3652017	pIC50=8.4
COc1cc(cc(N)n1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3794146	pKi=8.4
COc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](O)[C@H](N)C4	CHEMBL3651943	pIC50=8.4
COc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676305	pIC50=8.4
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(O)cc4F	CHEMBL3651934	pIC50=8.4
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3651953	pIC50=8.4
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cc(O)cc4F	CHEMBL3676310	pIC50=8.4
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3651947	pIC50=8.4
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccncc4F	CHEMBL3652013	pIC50=8.4
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651909	pIC50=8.4
Cc1cc(cc(N)n1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3792742	pKi=8.4
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3C4C[C@@H](N)C[C@@H](N)C4	CHEMBL3651925	pIC50=8.4
Fc1ncccc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393713	pIC50=8.4
NC(=O)c1cccc2c3cnccc3c(Nc4c(F)cccc4F)nc12	CHEMBL1915651	pIC50=8.4
N[C@@H]1CC[C@@H](CC1)Nc2cc(Br)cc3cc(oc23)C(=O)O	CHEMBL1782530	pIC50=8.4
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4ccccc4F	CHEMBL3651962	pIC50=8.4
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651996	pIC50=8.4
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676294	pIC50=8.4
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3747207	pKi=8.4
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3651928	pIC50=8.4
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cc(O)cc4F	CHEMBL3651904	pIC50=8.4
Oc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL2017341	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687531	pIC50=8.42
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3N4C[C@H](C)[C@H](NC(=O)OC)[C@H](N)C4	CHEMBL3687515	pIC50=8.43
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OC)[C@H](N)C4	CHEMBL3687503	pIC50=8.43
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)CCO)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3639862	pIC50=8.45
Cn1ncc(NC(=O)c2nc(cnc2N)c3ccccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652639	pKi=8.45
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687485	pIC50=8.47
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OC)[C@H](N)C4	CHEMBL3687510	pIC50=8.48
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(O)CCOCC6	CHEMBL3691963	pIC50=8.5
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCC[C@H](N)CC4	CHEMBL3652640	pKi=8.5
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3691967	pIC50=8.51
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651945	pIC50=8.52
CC[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676281	pIC50=8.52
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(O)cc4)C(=O)N1	CHEMBL585182	pKi=8.52
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc[nH]4)C(=O)N1	CHEMBL572783	pKi=8.52
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccnc4)C(=O)N1	CHEMBL575461	pKi=8.52
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC)cc4F	CHEMBL3691927	pIC50=8.52
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC(C)C)cc4F	CHEMBL3687511	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(C)c4F	CHEMBL3651923	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(F)c4F	CHEMBL3652023	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(C)ccc4F	CHEMBL3651955	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cc(O)cc4F	CHEMBL3651932	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651959	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651912	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676292	pIC50=8.52
C[C@H]1CN(C[C@@H](O)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3652008	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3651900	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651946	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651948	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(C)c4F	CHEMBL3651936	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651981	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651972	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651989	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687447	pIC50=8.52
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CNCCC56CC6)n4)c3c2	CHEMBL3393704	pIC50=8.52
NC1CC(CF)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676272	pIC50=8.52
NC1CC(CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F)C(F)(F)F	CHEMBL3676271	pIC50=8.52
NC1CCN(CC1)c2cncc(n2)c3cc4c(n[nH]c4cn3)c5ccccc5F	CHEMBL3634779	pKi=8.52
NCCNc1cccc(n1)c2n[nH]c3cnc(cc23)c4cccnc4	CHEMBL3634780	pKi=8.52
N[C@@H]1CN(CC[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676262	pIC50=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676289	pIC50=8.52
N[C@H]1C[C@H](CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F)C(F)(F)F	CHEMBL3676283	pIC50=8.52
