CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKi=7.6
NCCCCNCCCN	CHEMBL19612	pKi=6.0
NS(=O)(=O)c1cccc(c1)n2cc(CNC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)nn2	CHEMBL3740300	pKi=7.27
CCOc1ccncc1S(=O)(=O)N	CHEMBL1165319	pKi=7.28
NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl	furosemide	pKi=7.28
CCCOc1cccc(CCNC(=O)c2ccc(cc2)S(=O)(=O)N)c1	CHEMBL2048923	pKi=7.29
Cc1cc2c(SC(=NS2(=O)=O)NNc3ccncc3S(=O)(=O)N)cc1Cl	CHEMBL1165822	pKi=7.29
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092814	pKi=7.3
COc1cccc(CCNC(=O)c2ccc(cc2)S(=O)(=O)N)c1	CHEMBL2048921	pKi=7.3
NS(=O)(=O)c1ccc(cc1)c2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL270990	pKi=7.3
CC1=CC(=C\C(=N/O)\O1)C	CHEMBL1956578	pKi=7.32
COc1cccc2C=C(C(=O)O)C(=O)Oc12	CHEMBL568348	pKi=7.32
NNC(=O)c1[nH]c2ccc(cc2c1c3ccccc3)S(=O)(=O)N	CHEMBL262628	pKi=7.32
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)NCCc2ccccc2)cc1	CHEMBL3360590	pKi=7.32
NS(=O)(=O)c1ccc2CC(Cc2c1)NC(=O)C3CCCCC3	CHEMBL204990	pKi=7.32
NS(=O)(=O)c1nc2ccc(O)cc2s1	CHEMBL6685	pKi=7.32
O=C1Oc2ccccc2C=C1	CHEMBL6466	pKi=7.32
NS(=O)(=O)c1ccc(cc1)C2=NCCc3cc(O)ccc23	CHEMBL2048928	pKi=7.33
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092937	pKi=7.34
NCc1ccc2OC(=O)C=Cc2c1	CHEMBL567139	pKi=7.34
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)cc1	CHEMBL574782	pKi=7.34
NS(=O)(=O)c1cccc(c1)c2cn(nn2)[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O	CHEMBL3092815	pKi=7.35
NS(=O)(=O)c1ccc(CNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956772	pKi=7.36
CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N	CHEMBL19	pKi=7.37
COC(=O)C1=Cc2cc(CO)ccc2OC1=O	CHEMBL567896	pKi=7.38
NS(=O)(=O)c1ccc(CCNc2nc(F)nc(F)n2)cc1	CHEMBL2443314	pKi=7.38
CCOC(=O)C1=Cc2cc(CO)ccc2OC1=O	CHEMBL568173	pKi=7.39
NS(=O)(=O)c1ccc(CNC(=S)Nc2ccc(C3=C4C=CC(=O)C=C4Oc5cc(O)ccc35)c(c2)C(=O)O)cc1	CHEMBL3741011	pKi=7.39
NS(=O)(=O)c1ccc(NC(=S)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956759	pKi=7.39
CC(C)CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@@H]1OC(=O)CC(C)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092940	pKi=7.4
CCCCC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL208531	pKi=7.4
[Cl-].O=C1Oc2ccc(C[N+]34CN5CN(CN(C5)C3)C4)cc2C=C1	CHEMBL578167	pKi=7.4
NS(=O)(=O)c1ccc(cc1)C(=O)N2CCCc3ccccc23	CHEMBL3613783	pKi=7.41
O=C1Nc2ccccc2C=C1	CHEMBL186422	pKi=7.44
CCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H]1OC(=O)CCC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092818	pKi=7.45
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1	CHEMBL366069	pKi=7.47
NS(=O)(=O)c1ccc(CCNC(=S)Nc2ccc(C3=C4C=CC(=O)C=C4Oc5cc(O)ccc35)c(c2)C(=O)O)cc1	CHEMBL1232755	pKi=7.48
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1	CHEMBL73962	pKi=7.48
[Cl-].CN(C)c1ccc2C(=C3C=CC(=[N+](C)C)C=C3Oc2c1)c4ccc(NC(=S)NCc5cn(nn5)c6cccc(c6)S(=O)(=O)N)cc4C(=O)O	CHEMBL3740484	pKi=7.5
COc1ccc(CCNS(=O)(=O)N)cc1OC	CHEMBL2387068	pKi=7.51
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NCCCCO)n2)cc1	CHEMBL1813211	pKi=7.56
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N	CHEMBL218490	pKi=7.57
NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC2CCCCCCC2	CHEMBL3359179	pKd=7.59
CC(C)CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@H]1OC(=O)CC(C)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092810	pKi=7.6
CC1(C)O[C@@H]2CO[C@@]3(CNS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL283695	pKi=7.6
NS(=O)(=O)N1CCc2cc(O)ccc2C1c3ccc(cc3)S(=O)(=O)N	CHEMBL2048936	pKi=7.61
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N	CHEMBL220491	pKi=7.62
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(Cl)n2)cc1	CHEMBL187901	pKi=7.62
NS(=O)(=O)c1ccc2CC(Cc2c1)NC(=O)c3c(F)c(F)c(F)c(F)c3F	CHEMBL184361	pKi=7.62
COC(=O)CNc1nc(Cl)nc(NCCc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL190733	pKi=7.63
NS(=O)(=O)c1cccc(c1)c2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL3092939	pKi=7.63
COC(=O)CCNS(=O)(=O)NCc1ccc(F)cc1	CHEMBL3752196	pKi=7.64
NS(=O)(=O)c1ccc(cc1)C(=O)NCCc2cccc(O)c2	CHEMBL2048924	pKi=7.65
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4F)S(=O)(=O)Nc5nnc(s5)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL395981	pKi=7.68
Nc1ccc(cc1Cl)S(=O)(=O)N	CHEMBL7092	pKi=7.68
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(cc3)C#N	CHEMBL1923677	pKi=7.7
NS(=O)(=O)c1ccc(cc1)c2cn(nn2)[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O	CHEMBL272877	pKi=7.7
NS(=O)(=O)Cc1ccc(NS(=O)(=O)c2ccc(Br)cc2Cl)cc1	CHEMBL3098849	pKi=7.71
CCOc1ccc2C(=NCCc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048926	pKi=7.75
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(NCCC(=O)O)n2)cc1	CHEMBL190024	pKi=7.75
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(NCCC(=O)O)n2)cc1	CHEMBL1813215	pKi=7.77
NS(=O)(=O)c1ccc(cc1)c2ccc(Cc3ccccc3)cc2	CHEMBL3632834	pKi=7.79
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL437092	pKi=7.8
CC(C)CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@H]1OC(=O)CC(C)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092816	pKi=7.8
NS(=O)(=O)c1ccc(CNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956760	pKi=7.8
O\N=C\1/Oc2ccccc2C=C1	CHEMBL1956579	pKi=7.8
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(Cl)n2)cc1	CHEMBL187274	pKi=7.81
CCCOc1ccc2C(NCCc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048931	pKi=7.82
Nc1ccc(cc1Br)S(=O)(=O)N	CHEMBL6724	pKi=7.82
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(CCc5ccc(cc5)S(=O)(=O)N)C(=O)c6ccccc46)N(CC)CC)c1	CHEMBL1822702	pKi=7.84
NC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N	CHEMBL3632828	pKi=7.86
Cc1cc(C)[n+](CCc2ccc(cc2)S(=O)(=O)N)c(C)c1.[O-]Cl(=O)(=O)=O	CHEMBL352535	pKi=7.89
NS(=O)(=O)Oc1ccc2C=C(CC3CCCCCC3)S(=O)(=O)c2c1	CHEMBL476937	pKi=7.89
NS(=O)(=O)c1ccc(cc1)n2cc(CNC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)nn2	CHEMBL3741975	pKi=7.89
Nc1ccc(cc1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	CHEMBL268439	pKi=7.89
NS(=O)(=O)c1ccc(cc1)C(=O)NCC#C	CHEMBL386542	pKi=7.95
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL387076	pKi=7.96
CCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@H]1OC(=O)CC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092819	pKi=7.96
NS(=O)(=O)c1ccc(cc1)C(=O)OCc2cn(nn2)[C@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O	CHEMBL392485	pKi=7.96
CC(=O)OC[C@H]1O[C@@H](NC(=S)NNC(=O)c2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL1956750	pKi=7.97
COC(=O)[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL216312	pKi=7.97
NS(=O)(=O)c1ccc(cc1)C(=O)OCc2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O	CHEMBL217288	pKi=7.97
CC(=O)OC[C@H]1O[C@@H](NC(=S)NNC(=O)c2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@@H]3O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956758	pKi=7.98
CC(=O)OC[C@H]1O[C@@H](NC(=S)NNC(=O)c2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@H]3O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956754	pKi=7.98
CO[C@H]1O[C@H](Cn2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2)[C@@H](O)[C@H](O)[C@H]1O	CHEMBL216245	pKi=7.98
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(NCC(=O)O)n2)cc1	CHEMBL189526	pKi=7.98
CC(=O)OC[C@H]1O[C@@H](NC(=S)NNC(=O)c2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL1956746	pKi=7.99
CC(Nc1nc(Cl)nc(Nc2ccc(cc2)S(=O)(=O)N)n1)C(=O)O	CHEMBL1813209	pKi=8.0
NS(=O)(=O)c1ccc(cc1)C(=O)NCc2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL385152	pKi=8.0
NS(=O)(=O)c1ccc(NC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956767	pKi=8.01
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(cc3)[N+](=O)[O-]	CHEMBL1923681	pKi=8.02
NS(=O)(=O)c1ccc(cc1)C(=O)N2CCc3ccccc3C2	CHEMBL3613780	pKi=8.02
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(NCC(=O)O)n2)cc1	CHEMBL191045	pKi=8.03
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@@H]3O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956757	pKi=8.04
CCCOc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048935	pKi=8.04
COC(=O)CNc1nc(NCC(=O)OC)nc(NCc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL1813213	pKi=8.04
CC(Nc1nc(NCc2ccc(cc2)S(=O)(=O)N)nc(NC(C)C(=O)O)n1)C(=O)O	CHEMBL1813214	pKi=8.05
COc1ccc2C(=NCCc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048925	pKi=8.05
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL1956745	pKi=8.06
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@H]3O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956753	pKi=8.06
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL1956749	pKi=8.06
CC(Nc1nc(NCCc2ccc(cc2)S(=O)(=O)N)nc(NC(C)C(=O)O)n1)C(=O)O	CHEMBL1813218	pKi=8.06
CCCOc1ccc2C(=NCCc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048927	pKi=8.06
CCOc1ccc2C(NCCc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048930	pKi=8.06
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL1956744	pKi=8.07
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@@H]3O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956756	pKi=8.07
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@H]3O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956752	pKi=8.07
CC(=O)OC[C@H]1O[C@@H](NC(=S)Nc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@@H]3O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956755	pKi=8.07
CCOc1cccc(CCNC(=O)c2ccc(cc2)S(=O)(=O)N)c1	CHEMBL2048922	pKi=8.07
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(N)cc3	CHEMBL1923683	pKi=8.07
COc1ccc2C(NCCc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048929	pKi=8.07
NS(=O)(=O)c1ccc(CNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956768	pKi=8.07
NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O	CHEMBL1956774	pKi=8.07
NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O	CHEMBL1956770	pKi=8.07
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(O)c3ccc(cc3)[N+](=O)[O-]	CHEMBL3632842	pKi=8.07
CC(=O)OC[C@H]1O[C@@H](NC(=S)Nc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL1956743	pKi=8.08
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(C(=O)c5ccccc45)c6cccc(c6)S(=O)(=O)N)N(CC)CC)c1	CHEMBL1822700	pKi=8.08
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(Br)cc3	CHEMBL1923675	pKi=8.08
NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956773	pKi=8.08
NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=S)N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O	CHEMBL1956766	pKi=8.09
CC(=O)OC[C@H]1O[C@@H](NC(=S)Nc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@H]3O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C	CHEMBL1956751	pKi=8.1
COC(=O)CCNS(=O)(=O)NC12CC3CC(CC(C3)C1)C2	CHEMBL3754723	pKi=8.1
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccccc3	CHEMBL1923674	pKi=8.1
COc1ccc2N(CCCc2c1)C(=O)c3ccc(cc3)S(=O)(=O)N	CHEMBL3613781	pKi=8.1
NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956761	pKi=8.1
NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	CHEMBL1956762	pKi=8.1
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(C(=O)c5ccccc45)c6ccc(cc6)S(=O)(=O)N)N(CC)CC)c1	CHEMBL1822699	pKi=8.11
COC(=O)[C@@H](NS(=O)(=O)NCC(C)C)C(C)C	CHEMBL3754636	pKi=8.11
COC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)NCC(C)C	CHEMBL3752037	pKi=8.11
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(C)cc3	CHEMBL1923679	pKi=8.11
NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956769	pKi=8.11
NS(=O)(=O)Cc1ccc(NC(=O)C2CCC=CC2)cc1	CHEMBL3098848	pKi=8.12
NS(=O)(=O)c1ccc(CCNc2nc(NC(CO)C(=O)O)nc(NC(CO)C(=O)O)n2)cc1	CHEMBL1813219	pKi=8.12
COC(=O)CCNS(=O)(=O)NC(C)c1ccccc1	CHEMBL3754060	pKi=8.13
COC(=O)[C@@H](NS(=O)(=O)NCc1ccc(F)cc1)C(C)C	CHEMBL3752046	pKi=8.13
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NC(CO)C(=O)O)n2)cc1	CHEMBL1813210	pKi=8.13
NS(=O)(=O)c1nnc(NC(=O)C23CC4CC(CC(C4)C2)C3)s1	CHEMBL1209038	pKi=8.13
CC(C)C(C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C	CHEMBL1085093	pKi=8.14
COC(=O)CCNS(=O)(=O)NCCc1ccccc1	CHEMBL3752390	pKi=8.14
COc1cc2CCN(Cc2cc1OC)C(=O)c3ccc(cc3)S(=O)(=O)N	CHEMBL3613776	pKi=8.14
NS(=O)(=O)c1ccc(NC(=O)CCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCC(=O)Nc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL3823514	pKi=8.14
NS(=O)(=O)c1ccc(Nc2nc(NCC(=O)O)nc(NCC(=O)O)n2)cc1	CHEMBL1813206	pKi=8.14
NS(=O)(=O)c1ccc2C(CCc2c1)NC(=O)c3c(F)c(F)c(F)c(F)c3F	CHEMBL205867	pKi=8.14
CC1(C)OB(OC1(C)C)c2ccc(NS(=O)(=O)N)cc2	CHEMBL190447	pKi=8.15
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3cccc(N)c3	CHEMBL1923682	pKi=8.15
CCC(C)C(CC)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1083381	pKi=8.16
COC(=O)CNc1nc(NCC(=O)OC)nc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL1813207	pKi=8.16
COc1ccc(CCNS(=O)(=O)N)cc1	CHEMBL2387069	pKi=8.16
CCOc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048934	pKi=8.17
COC(=O)c1ccc(cc1)C(=O)c2ccc(cc2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3632835	pKi=8.17
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(F)cc3	CHEMBL1923678	pKi=8.17
NS(=O)(=O)c1nnc(NC(=O)CCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCC(=O)Nc2nnc(s2)S(=O)(=O)N)s1	CHEMBL3822655	pKi=8.17
[Na+].[O-]S(=O)(=O)NC1CCCCC1	CHEMBL273977	pKi=8.18
CCCC(CC)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1084063	pKi=8.19
COC(=O)CNc1nc(Cl)nc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL1738792	pKi=8.19
COC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)NCc2ccc(F)cc2	CHEMBL3752328	pKi=8.19
NS(=O)(=O)c1ccc2CCCc2c1	CHEMBL364869	pKi=8.19
COC(=O)CCNS(=O)(=O)NCC(C)C	CHEMBL3752852	pKi=8.2
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3cccc(c3)[N+](=O)[O-]	CHEMBL1923680	pKi=8.2
NS(=O)(=O)c1ccc(NC(=O)CCC(=O)NCCOCCOCCNC(=O)CCC(=O)Nc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL3824097	pKi=8.21
CCCCCCNS(=O)(=O)NCCC(=O)OC	CHEMBL3754185	pKi=8.22
NS(=O)(=O)c1ccc(NC(=O)CCC(=O)O)cc1	CHEMBL2107036	pKi=8.22
NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL457996	pKi=8.24
NS(=O)(=O)c1ccc(cc1)C(=O)N2CCc3cc(O)c(O)cc3C2	CHEMBL3613777	pKi=8.24
COc1ccc(Cl)cc1C(=O)NC2Cc3ccc(cc3C2)S(=O)(=O)N	CHEMBL500454	pKi=8.25
CCCCC(CC)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1085034	pKi=8.26
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(cc3)S(=O)(=O)N	CHEMBL2048933	pKi=8.28
NS(=O)(=O)c1nnc(NC(=O)CC23CC4CC(CC(C4)C2)C3)s1	CHEMBL1209039	pKi=8.29
CCCC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL205743	pKi=8.3
NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCO	CHEMBL2333417	pKd=8.3
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(Cc5ccc(cc5)S(=O)(=O)N)C(=O)c6ccccc46)N(CC)CC)c1	CHEMBL1822701	pKi=8.31
COC(=O)c1ccc(Cc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N)cc1	CHEMBL3632837	pKi=8.34
NS(=O)(=O)c1nnc(NC(=O)CCC(=O)NCCOCCOCCNC(=O)CCC(=O)Nc2nnc(s2)S(=O)(=O)N)s1	CHEMBL3822486	pKi=8.34
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=O)CCC(=O)NCCOCCOCCNC(=O)CCC(=O)Nc3ccc(cc3)S(=O)(=O)Nc4nnc(s4)S(=O)(=O)N)cc2)s1	CHEMBL3823200	pKi=8.34
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=O)CCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCC(=O)Nc3ccc(cc3)S(=O)(=O)Nc4nnc(s4)S(=O)(=O)N)cc2)s1	CHEMBL3822883	pKi=8.36
