NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O	dichlorphenamide	pKi=7.301	pKi=7.301	pKi=7.301	pKi=7.25
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKd=6.48
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=7.66	pKi=7.66	pKi=7.66	pKi=7.25
CC(C)CSc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N	CHEMBL385451	pKi=6.0
NS(=O)(=O)c1cc(c(NC(=O)Nc2ccccc2)cc1Cl)S(=O)(=O)N	CHEMBL363168	pKi=6.46
NS(=O)(=O)c1ccc(\N=C\c2occc2)c(F)c1	CHEMBL3343265	pKi=6.46
Cc1cc(c(SCC2=CC(=O)Nc3ccccc23)cc1Cl)S(=O)(=O)NC(=N)NNc4ccc(cc4)S(=O)(=O)N	CHEMBL3104159	pKi=6.47
Oc1ccc2OC(=S)C=Cc2c1	CHEMBL1957177	pKi=6.47
CC(C)(C)C1=CC(=O)NC(=N1)SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N	CHEMBL2443200	pKd=6.48
CC1=CC(=O)NC(=N1)SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N	CHEMBL2443194	pKd=6.48
COc1ccc(CNc2c(F)c(F)c(F)c(F)c2S(=O)(=O)N)cc1	CHEMBL3799945	pKd=6.48
NS(=O)(=O)c1c(F)c(F)c(NCc2ccccc2)c(F)c1F	CHEMBL2333404	pKd=6.48
NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1	CHEMBL2333401	pKd=6.48
NS(=O)(=O)c1cnccc1N2CCN(CC2)c3ccccc3F	CHEMBL2436879	pKi=6.49
Cc1cc(c(SCC2=CC(=O)Nc3ccccc23)cc1Cl)S(=O)(=O)NC(=N)NCc4ccc(cc4)S(=O)(=O)N	CHEMBL3104160	pKi=6.5
Cc1cc(c(SCc2cccc(c2)C(F)(F)F)cc1Cl)S(=O)(=O)NC(=N)Nc3ccccc3S(=O)(=O)N	CHEMBL3104051	pKi=6.5
NS(=O)(=O)c1ccc(cc1)C(=O)Cn2cnc3ccccc23	CHEMBL3797385	pKd=6.5
OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O	zoledronic acid	pIC50=6.5
Oc1ccc2C=CC(=S)Oc2c1	CHEMBL1955879	pKi=6.5
CC(C)(C)[Si](C)(C)Oc1ccc2OC(=S)C=Cc2c1	CHEMBL1957176	pKi=6.51
NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F	CHEMBL2333416	pKd=6.51
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl	CHEMBL1054	pKi=6.51
NS(=O)(=O)c1ccc(CC\N=C\c2ccc(cc2)c3ccccc3)cc1	CHEMBL3343267	pKi=6.51
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCCN(CC)CC	CHEMBL3586216	pKi=6.52
CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F	nilotinib	pKi=6.52
NS(=O)(=O)c1ccc(NC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956767	pKi=6.52
CC1=C(Cc2ccccc2)C(=O)NC(=N1)SCC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N	CHEMBL2010989	pKd=6.53
CC1CN(C)S(=O)(=O)c2ccc(N)cc12	CHEMBL2333967	pKi=6.53
NS(=O)(=O)c1cnccc1N2CCN(CC2)c3ccc(Cl)c(Cl)c3	CHEMBL2436880	pKi=6.53
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NC	CHEMBL3310911	pKi=6.54
CCc1cnc(SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N)nc1	CHEMBL2443206	pKd=6.54
Cc1cc(C)nc(Sc2c(F)c(F)c(c(F)c2F)S(=O)(=O)N)n1	CHEMBL2333410	pKd=6.54
CC(C)(C)[Si](C)(C)Oc1ccc2OC(=O)C=Cc2c1	CHEMBL1957175	pKi=6.55
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)N(CC)CC	CHEMBL3357169	pKi=6.55
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(C#N)c(n3)c4ccc(Cl)cc4	CHEMBL3356272	pKi=6.55
Oc1ccccc1\C=N\CC\N=C\c2ccccc2O	CHEMBL594100	pKi=6.55
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O.OC(=O)C(F)(F)F	CHEMBL3604413	pKi=6.56
OP(=O)(O)C(NC(=O)c1ccc(Br)cc1)P(=O)(O)O	CHEMBL3291003	pIC50=6.56
OP(=O)(O)C(Nc1ccc(F)cc1)P(=O)(O)O	CHEMBL2440581	pIC50=6.57
CN(c1ccccc1)S(=O)(=O)c2ccc(C)cc2	CHEMBL1372946	pIC50=6.58
Cc1ccc(cc1)c2nn(cc2C=O)c3nc4ccc(cc4s3)S(=O)(=O)N	CHEMBL3356258	pKi=6.58
NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl	furosemide	pKi=6.58
CC(=O)c1ccc(cc1)S(=O)(=O)Nc2ccccc2	CHEMBL3310985	pIC50=6.59
CC(C)(C)C1=CC(=O)NC(=N1)SCC(=O)c2ccc(cc2)S(=O)(=O)N	CHEMBL2010994	pKd=6.59
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NC2CCC(C)CC2	CHEMBL3586213	pKi=6.59
Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc2ccc(cc2)C3C4=C(CC(C)(C)CC4=O)N(C5=C3C(=O)CC(C)(C)C5)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623639	pKi=6.59
CC(C)(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL23285	pKi=6.6
CCCC1=CC(=O)NC(=N1)SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N	CHEMBL2443198	pKd=6.6
CCOC(=O)C1=CN=C(NC1=O)SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N	CHEMBL2443202	pKd=6.6
COS(=O)(=O)c1ccc2OS(=O)(=O)C=Cc2c1	CHEMBL2326507	pKi=6.6
NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCO	CHEMBL2333417	pKd=6.6
OCc1ccccc1S(=O)(=O)NCc2ccccc2[N+](=O)[O-]	CHEMBL3125556	pKi=6.6
CC(C)(C)[Si](C)(C)OCCOc1nc(Cl)nc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL1813212	pKi=6.61
CCCC(C)NS(=O)(=O)c1ccc(C)cc1	CHEMBL3310984	pIC50=6.61
Cc1ccc2NC(=O)\C(=N/NC(=O)c3cc(c4ccccc4)n(n3)c5ccc(cc5)S(=O)(=O)N)\c2c1	CHEMBL3633382	pKi=6.61
Cc1oc(cn1)c2ccc(C)c(c2)S(=O)(=O)N	CHEMBL3608875	pKi=6.61
NS(=O)(=O)c1ccc(NC(=O)N2CCN(CC2)c3ncccc3C(F)(F)F)cc1	CHEMBL3609479	pKi=6.61
CSc1ccc(\C=N\CCc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL3343274	pKi=6.62
C\C(=N/O)\CN1C(=O)c2ccccc2S1(=O)=O	CHEMBL3125554	pKi=6.62
NS(=O)(=O)c1ccc(s1)c2cn(nn2)c3ccc(C#N)c(c3)C(F)(F)F	CHEMBL2414076	pKi=6.62
OP(=O)(O)C(Nc1ccc(Br)cc1)P(=O)(O)O	CHEMBL2440441	pIC50=6.62
[O-][N+](=O)c1ccc(cc1)c2cc(CN3C(=O)c4ccccc4S3(=O)=O)on2	CHEMBL3125553	pKi=6.62
COC(=O)c1ccc(Cc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N)cc1	CHEMBL3632837	pKi=6.63
COc1ccc(\C=C\C(=O)C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1OC	CHEMBL3329930	pKi=6.63
COc1ccc2cc(\C=C\C(=O)C[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2c1	CHEMBL3329928	pKi=6.63
Oc1ccc2OS(=O)(=O)C=Cc2c1	CHEMBL2326506	pKi=6.63
OC(=O)c1ccccc1NC(=O)c2ccc3C(=O)OC(=O)c3c2	CHEMBL3739554	pKi=6.64
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2c3ccccc3	CHEMBL1382128	pIC50=6.65
OP(=O)(O)C(P(=O)(O)O)S(=O)(=O)c1ccc(Br)cc1	CHEMBL3291004	pIC50=6.65
COc1cc(ccc1O)C2=C(O)C(=O)c3c(O)cc(O)cc3O2	CHEMBL379064	pKi=6.66
Cc1cc(c(SCc2cccc3ccccc23)cc1Cl)S(=O)(=O)NC(=N)Nc4ccccc4S(=O)(=O)N	CHEMBL3104063	pKi=6.66
NS(=O)(=O)c1ccc(CO)cc1	CHEMBL6919	pKi=6.66
O=S1(=O)Oc2ccc(OCc3ccccc3)cc2C=C1	CHEMBL2326508	pKi=6.66
NS(=O)(=O)c1ccc(CNC(=O)Cc2ccccc2)cc1	CHEMBL574783	pKi=6.67
NS(=O)(=O)c1ccc(NCc2cc(Br)ccc2O)cc1	CHEMBL3760099	pKi=6.67
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(C=O)c(n3)c4ccccc4	CHEMBL3356257	pKi=6.67
CC(=O)OC[C@H]1OC(NS(=O)(=O)NO)C=C[C@H]1OC(=O)C	CHEMBL3343178	pKi=6.68
C\C=C\CN1C(=O)c2ccccc2S1(=O)=O	CHEMBL3125562	pKi=6.68
NN1C=Nc2c(C1=N)c(cn2c3ccc(cc3)S(=O)(=O)N)c4ccc(Br)cc4	CHEMBL3298345	pKi=6.68
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccc(cc2)[N+](=O)[O-]	CHEMBL3586221	pKi=6.69
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2cccc(c2)[N+](=O)[O-]	CHEMBL3311026	pKi=6.7
CCOC(=O)C1=CN=C(NC1=O)SCC(=O)c2ccc(Cl)c(c2)S(=O)(=O)N	CHEMBL2010995	pKd=6.7
COc1ccc(c(C)c1)c2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3	CHEMBL3233393	pKi=6.7
NS(=O)(=O)c1c(F)c(F)c(NCCCCCC(=O)O)c(F)c1F	CHEMBL2333814	pKd=6.7
NS(=O)(=O)c1c(F)c(F)c(Sc2nc3ccccc3s2)c(F)c1F	CHEMBL2333411	pKd=6.7
NS(=O)(=O)c1ccccc1N2C(=O)c3c(Br)c(Br)c(Br)c(Br)c3C2=O	CHEMBL2424826	pKi=6.71
NCCCNCCCCNCCCNC(=O)Cc1cccc2ccccc12	CHEMBL25101	pKi=6.72
NS(=O)(=O)c1cc(C(=O)N2CCCC2)c(Cl)cc1SSc3cc(Cl)c(cc3S(=O)(=O)N)C(=O)N4CCCC4	CHEMBL214993	pKi=6.72
CCOC(=O)Cc1nc2c3c(cn(c4ccc(cc4)S(=O)(=O)N)c3ncn2n1)c5ccc(Br)cc5	CHEMBL3298348	pKi=6.74
COc1ccc(cc1)N2CCN(CC2)C(=O)Nc3ccc(cc3)S(=O)(=O)N	CHEMBL1714980	pKi=6.74
C[C@@H]1O[C@@H](Oc2ccc3C(=CC(=O)Oc3c2)C)[C@H](O)[C@H](O)[C@H]1O	CHEMBL1938469	pKi=6.74
CC1=CC(=NS(=O)(=O)O1)OCC#C	CHEMBL3322438	pKi=6.75
CC1=CC(=NS(=O)(=O)O1)OCc2ccccc2Br	CHEMBL3322448	pKi=6.75
CC1=CC(=O)N(Cc2cccc(c2)[N+](=O)[O-])S(=O)(=O)O1	CHEMBL3322446	pKi=6.75
CC1=CC(=O)N(Cc2ccccc2F)S(=O)(=O)O1	CHEMBL3322450	pKi=6.75
COc1ccc(cc1OC)S(=O)(=O)Nc2ccccc2	CHEMBL1533910	pIC50=6.75
NS(=O)(=O)c1ccc(NC(=O)N2CCN(CC2)c3ccc(cn3)C(F)(F)F)cc1	CHEMBL3609480	pKi=6.75
COc1ccc(cc1)c2nn(cc2C=O)c3nc4ccc(cc4s3)S(=O)(=O)N	CHEMBL3356259	pKi=6.76
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc2ccccc2	CHEMBL362436	pIC50=6.76
CC1=CC(=O)N(Cc2c(F)cccc2F)S(=O)(=O)O1	CHEMBL3322453	pKi=6.77
CC1=CC(=O)N(Cc2cccc(Br)c2)S(=O)(=O)O1	CHEMBL3322449	pKi=6.77
OC[C@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL250450	pKi=6.77
Oc1ccccc1CNCCCCCNCc2ccccc2O	CHEMBL3092748	pKi=6.77
Oc1ccccc1CNCCNCc2ccccc2O	CHEMBL256208	pKi=6.77
[Na+].[S-]C(=S)N1CCC(CC1)(C#N)c2ccccc2	CHEMBL2023729	pKi=6.77
NS(=O)(=O)c1ccc(NC(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)cc1	CHEMBL3609196	pKi=6.78
NS(=O)(=O)c1cnccc1N2CCC(Cc3ccccc3)CC2	CHEMBL2436869	pKi=6.78
CC(=O)CN1C(=O)C=C(C)OS1(=O)=O	CHEMBL3322440	pKi=6.8
CC(=O)COC1=NS(=O)(=O)OC(=C1)C	CHEMBL3322441	pKi=6.8
NS(=O)(=O)c1c(F)c(F)c(NCCc2ccc(O)cc2)c(F)c1F	CHEMBL2333405	pKd=6.81
COc1cccc(c1)N2CCN(CC2)C(=O)Nc3ccc(cc3)S(=O)(=O)N	CHEMBL3609476	pKi=6.82
O=C1N(Cc2ccc(cc2)C#N)S(=O)(=O)c3ccccc13	CHEMBL3125564	pKi=6.82
CCCCC(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL283097	pKi=6.83
NS(=O)(=O)c1ccc(NC(=O)N2CCN(Cc3ccccc3)CC2)cc1	CHEMBL1736901	pKi=6.83
NS(=O)(=O)c1ccc(cc1)C(=O)OCc2ccc(CO[N+](=O)[O-])cc2	CHEMBL1778432	pKi=6.83
CC(=O)OC[C@H]1O[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@H]2O[C@H](COS(=O)(=O)N)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]2OC(=O)C	CHEMBL1688311	pKi=6.84
NC(=O)CN1C=CC(=O)C(=C1)S(=O)(=O)N	CHEMBL1240574	pKi=6.84
NS(=O)(=O)c1ccc(CC\N=C(/S)\NNc2ccc(cc2)C(=O)O)cc1	CHEMBL180195	pKi=6.84
NS(=O)(=O)c1ccc(NC(=O)N2CCN(CC2)c3ccccn3)cc1	CHEMBL3609478	pKi=6.84
OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3	CHEMBL150	pKi=6.84
NS(=O)(=O)c1ccc(CC\N=C\c2ccc(Br)cc2O)cc1	CHEMBL3343271	pKi=6.85
CC(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL23417	pKi=6.86
NS(=O)(=O)OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL1688316	pKi=6.86
NS(=O)(=O)c1ccc(NCc2cc(Cl)cc(Cl)c2O)cc1	CHEMBL3758586	pKi=6.86
CC1=CC(=NS(=O)(=O)O1)OCc2cccc(c2)[N+](=O)[O-]	CHEMBL3322447	pKi=6.87
CC1=CC(=O)N(Cc2ccc(cc2)C#N)S(=O)(=O)O1	CHEMBL3322522	pKi=6.87
Cc1cc(c(SCC2=CC(=O)Nc3ccccc23)cc1Cl)S(=O)(=O)NC(=N)Nc4ccc(cc4)S(=O)(=O)N	CHEMBL3104156	pKi=6.87
O[C@@H]1[C@@H](COC(=O)\C=C\c2ccc(O)cc2)O[C@@H](OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)[C@H](O)[C@H]1O	CHEMBL266564	pKi=6.87
Cc1cccc(CNc2ccc(cc2)S(=O)(=O)N)c1O	CHEMBL3758537	pKi=6.88
COc1ccc2C(=CC(=O)Oc2c1)CC(=O)Nc3ccccc3S(=O)(=O)N	CHEMBL514556	pKi=6.89
NS(=O)(=O)c1ccc(NC(=O)N2CCN(CC2)c3ccc(Cl)c(Cl)c3)cc1	CHEMBL3609201	pKi=6.89
CC1=CC(=NS(=O)(=O)O1)OCC(=O)c2ccccc2	CHEMBL3322524	pKi=6.9
COc1ccc(\C=C\C(=O)C[C@@H]2O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]2OC(=O)C)cc1OC	CHEMBL3329922	pKi=6.9
NS(=O)(=O)C1=CN(CC(=O)c2ccc3ccccc3c2)C=CC1=O	CHEMBL1242794	pKi=6.9
Nc1cccc(c1)S(=O)(=O)N	CHEMBL6852	pKi=6.9
NS(=O)(=O)c1ccc(CC\N=C\c2ccc(cc2)C#N)cc1	CHEMBL3343275	pKi=6.91
CC(C)(C)c1ccc(cc1)N2CCN(CC2)C(=O)Nc3ccc(cc3)S(=O)(=O)N	CHEMBL3609477	pKi=6.92
Cc1ccc(CNc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL3758188	pKi=6.92
NS(=O)(=O)c1ccc(CN2C(=O)c3ccc(cc3C2=O)[N+](=O)[O-])cc1	CHEMBL2377772	pKi=6.92
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1S	CHEMBL215916	pKi=6.93
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](C)C(=O)N	CHEMBL3604417	pKi=6.94
NS(=O)(=O)c1ccc(OCCCCCO[N+](=O)[O-])cc1	CHEMBL1778439	pKi=6.94
Nc1ccc(nc1)S(=O)(=O)N	CHEMBL3099281	pKi=6.94
COc1ccccc1N2CCN(CC2)C(=O)Nc3ccc(cc3)S(=O)(=O)N	CHEMBL3609475	pKi=6.95
NS(=O)(=O)C1=CN(C=CC1=O)c2ncnc3[nH]cnc23	CHEMBL1240620	pKi=6.95
NNC(=O)c1[nH]c2ccc(cc2c1c3ccccc3)S(=O)(=O)N	CHEMBL262628	pKi=6.96
NS(=O)(=O)c1c(F)c(F)c(SC2=S=Nn3c2nc4ccccc34)c(F)c1F	CHEMBL2333398	pKd=6.96
NS(=O)(=O)c1c(F)c(F)c(SCCc2ccccc2)c(F)c1F	CHEMBL2333406	pKd=6.96
NS(=O)(=O)c1ccc(CNC(=S)N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956764	pKi=6.96
CSc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N	CHEMBL215917	pKi=6.97
NS(=O)(=O)c1ccc(s1)c2cn(nn2)c3ccc(cc3)C(F)(F)F	CHEMBL2413089	pKi=6.97
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(\C=N\O)c(n3)c4ccc(Cl)cc4	CHEMBL3356278	pKi=6.97
CC1=CC(=O)Oc2cc(O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)ccc12	CHEMBL1938471	pKi=6.98
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccccc2C	CHEMBL3586218	pKi=6.98
Cc1ccc(cc1)C#Cc2ccc(cc2)S(=O)(=O)N	CHEMBL1836400	pKi=6.98
CC1=CC(=O)N(CC=C)S(=O)(=O)O1	CHEMBL3321764	pKi=6.99
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL1956748	pKi=7.0
CC1=CC(=O)Oc2cc(O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)ccc12	CHEMBL1938472	pKi=7.0
CCCC1=CC(=O)NC(=N1)SCC(=O)c2ccc(Cl)c(c2)S(=O)(=O)N	CHEMBL2010991	pKd=7.0
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)N	CHEMBL3604418	pKi=7.0
CNc1c(F)c(c(F)c(F)c1S(=O)(=O)CCc2ccccc2)S(=O)(=O)N	CHEMBL3799577	pKd=7.0
Cc1cc(C)c(CSc2c(F)c(F)c(c(F)c2F)S(=O)(=O)N)c(C)c1	CHEMBL2333409	pKd=7.0
Cc1cc(c(SCC2=CC(=O)Nc3ccccc23)cc1Cl)S(=O)(=O)NC(=N)Nc4cccc(c4)S(=O)(=O)N	CHEMBL3104157	pKi=7.01
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(C(=O)O)c(n3)c4ccc(cc4)[N+](=O)[O-]	CHEMBL3356267	pKi=7.01
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(\C=N\O)c(n3)c4ccc(cc4)[N+](=O)[O-]	CHEMBL3356279	pKi=7.01
CCC(=O)O[C@@H]1O[C@H](COS(=O)(=O)N)[C@@H](OC(=O)CC)[C@H](OC(=O)CC)[C@H]1OC(=O)CC	CHEMBL1688307	pKi=7.02
NS(=O)(=O)c1cc(NC(=O)N2CCN(Cc3ccc4OCOc4c3)CC2)c(Cl)cc1Cl	CHEMBL3291104	pKi=7.02
NS(=O)(=O)c1ccc(cc1)c2cn(c3ccccc23)S(=O)(=O)c4ccccc4	CHEMBL3765197	pKi=7.02
NS(=O)(=O)c1cccc(c1)N2C(=O)c3ccc(cc3C2=O)[N+](=O)[O-]	CHEMBL3113926	pKi=7.02
Nc1ccc(cc1)S(=O)(=O)NCC(=C)Cl	CHEMBL2333976	pKi=7.02
C=CCN1C(=O)c2ccccc2S1(=O)=O	CHEMBL3125561	pKi=7.03
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)S(=O)(=O)NCCCOS(=O)(=O)N	CHEMBL3342248	pKi=7.03
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(Cl)cc4)S(=O)(=O)N5CCNCC5	CHEMBL3585758	pKi=7.03
CO[C@H]1O[C@H](COS(=O)(=O)N)[C@@H](O)[C@H](O)[C@H]1O	CHEMBL1688317	pKi=7.03
C[C@@H]1OC(NS(=O)(=O)NO)C=C[C@H]1OC(=O)C	CHEMBL3343181	pKi=7.03
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(O)c3ccc(cc3)C(=O)O	CHEMBL3632839	pKi=7.03
NS(=O)(=O)c1ccc(cc1)c2ccccc2	CHEMBL3764182	pKi=7.03
O=C1Nc2ccccc2C=C1	CHEMBL186422	pKi=7.03
OC[C@H]1OC(NS(=O)(=O)NO)C=C[C@@H]1O	CHEMBL3343322	pKi=7.03
[Na+].[S-]C(=S)N[C@@H]1CN2CCC1CC2	CHEMBL3400803	pKi=7.03
CC1=CC(=NS(=O)(=O)O1)OCc2cccc(F)c2	CHEMBL3322452	pKi=7.04
CCCC1=CC(=O)NC(=N1)SCC(=O)c2ccc(cc2)S(=O)(=O)N	CHEMBL2010992	pKd=7.04
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)NCCO	CHEMBL3585751	pKi=7.04
NS(=O)(=O)[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O	CHEMBL3613287	pKi=7.04
NS(=O)(=O)c1c(F)c(F)c(SCCC(=O)O)c(F)c1F	CHEMBL2333420	pKd=7.04
NS(=O)(=O)c1ccc(CCNCc2ccccc2O)cc1	CHEMBL3423259	pKi=7.04
NS(=O)(=O)c1ccc(NC(=O)N2CCN(CC2)c3cccc(Cl)c3)cc1	CHEMBL3609199	pKi=7.04
NS(=O)(=O)c1ccc(cc1)N2C(=O)c3ccc(cc3C2=O)[N+](=O)[O-]	CHEMBL2377773	pKi=7.04
NS(=O)(=O)c1ccc(cc1)c2ccc(Cc3ccc(cc3)C(=O)O)cc2	CHEMBL3632840	pKi=7.04
NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3ccccc3)C(=O)N\N=C\4/C(=O)Nc5ccccc45	CHEMBL3633379	pKi=7.04
NS(=O)(=O)c1ccc(cc1)n2ncc(C(=O)N\N=C\3/C(=O)Nc4ccc(Br)cc34)c2c5ccccc5	CHEMBL3633385	pKi=7.04
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])P(=O)(O)O	CHEMBL3291007	pIC50=7.04
OP(=O)(O)C(Nc1cccc(c1)C(F)(F)F)P(=O)(O)O	CHEMBL2440435	pIC50=7.04
[Na+].CC1COCCN1C(=S)[S-]	CHEMBL3400812	pKi=7.04
[Na+].[S-]C(=S)NC1CN2CCC1CC2	CHEMBL3400801	pKi=7.04
COc1ccc2cc(\C=C\C(=O)C[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)ccc2c1	CHEMBL3329931	pKi=7.05
NS(=O)(=O)c1ccc(OCC[NH3+])cc1.[O-]C(=O)C(F)(F)F	CHEMBL3359169	pKi=7.05
OP(=O)(O)C(Nc1ccc(cc1)C(F)(F)F)P(=O)(O)O	CHEMBL2440440	pIC50=7.05
[Na+].[S-]C(=S)N[C@H]1CN2CCC1CC2	CHEMBL3400802	pKi=7.05
CCCC(=O)O[C@@H]1O[C@H](COS(=O)(=O)N)[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]1OC(=O)CCC	CHEMBL1688308	pKi=7.06
COc1cc(\C=C\C(=O)OCCCCO[N+](=O)[O-])ccc1OC(=O)CCc2ccc(cc2)S(=O)(=O)N	CHEMBL1778437	pKi=7.06
C[C@@H]1OC(NS(=O)(=O)NO)C=C[C@H]1O	CHEMBL3343326	pKi=7.06
NS(=O)(=O)c1cnccc1N2CCN(CC2)c3ccccn3	CHEMBL2436883	pKi=7.06
O=C1NS(=O)(=O)c2cc(ccc12)n3cc(nn3)c4ccccc4	CHEMBL3233388	pKi=7.06
ONS(=O)(=O)NC1OC[C@@H](O)C=C1	CHEMBL3343324	pKi=7.06
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2cccs2)P(=O)(O)O	CHEMBL3291010	pIC50=7.06
OP(=O)(O)C(Nc1cccc(c1)[N+](=O)[O-])P(=O)(O)O	CHEMBL450938	pIC50=7.06
CC(=O)O[C@@H]1COC(NS(=O)(=O)NO)C=C1	CHEMBL3343179	pKi=7.07
CC(=O)O[C@@H]1O[C@H](COS(=O)(=O)N)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL1688306	pKi=7.07
CC1=CC(=NS(=O)(=O)O1)OCC=C	CHEMBL3322437	pKi=7.07
CCCC(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL23591	pKi=7.07
COC(=O)[C@H](CS(=O)(=O)N)NS(=O)(=O)[C@@H]1O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL3342253	pKi=7.07
Cc1ccc(cc1)C#Cc2ccccc2S(=O)(=O)N	CHEMBL1836409	pKi=7.07
