CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	icosapent ethyl
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(Br)cc3	CHEMBL3235290	pIC50=6.68
Cc1oc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)nn1	CHEMBL2414671	pIC50=6.68
OC(=O)c1ccc(cc1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2	CHEMBL2036741	pIC50=6.68
CCCc1c(c2onc(n2)c3ccccc3)c(C(=O)OCC)c4c(cc(nn14)N5CCOCC5)c6ccccc6	CHEMBL1258601	pIC50=6.7
C[C@H](C(=O)O)c1ccc(cc1)c2ccc(cc2)c3nc(C(=O)N)c(C)nc3C	CHEMBL3133089	pIC50=6.7
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)C34CCC(CC(=O)O)(CC3)CC4	CHEMBL2178372	pIC50=6.7
OC(=O)C12CC3CC(C1)C(Oc4ccc(cc4)C(=O)NCCNC(=O)Nc5ccccc5)C(C3)C2	CHEMBL3613336	pIC50=6.7
OC(=O)COC1CN(C1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766885	pIC50=6.7
Cc1c(oc2ccc(cc12)c3nccs3)C(=O)Nc4ccc(nc4)N5CCC(COc6cccc(c6)C(=O)O)CC5	CHEMBL2334077	pIC50=6.71
COC(=O)N1CCN(CC1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cc2	CHEMBL1766893	pEC50=6.72
Clc1ccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)cc1	CHEMBL2036593	pIC50=6.72
Cn1c(cc2ccccc12)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334087	pIC50=6.72
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCCCC4	CHEMBL2036573	pIC50=6.72
Cc1nnc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)s1	CHEMBL2414672	pIC50=6.73
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCCc4ccc(F)cc4)s3	CHEMBL2012620	pIC50=6.74
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](O)CC4	CHEMBL3235311	pIC50=6.75
CCOC(=O)CC1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)c4ccccc4)cn2	CHEMBL2441013	pIC50=6.75
CN1CCN(CC1=O)C(=O)C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O	CHEMBL2414655	pIC50=6.75
Clc1ccc(cc1)C2(CCCC2)C(=O)Nc3oc(nn3)C(=O)Nc4ccc(cc4)N5CCOCC5	CHEMBL2036739	pIC50=6.75
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)c4ccccc4)N5CCCCC5	CHEMBL2441211	pIC50=6.75
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(c[nH]c4c3)C(=O)Nc5ccccc5	CHEMBL3233878	pIC50=6.75
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCc4ccc(F)cc4)s3	CHEMBL2012619	pIC50=6.76
Cc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1	CHEMBL2036733	pIC50=6.77
Cc1nc(C)c(nc1C(=O)N)c2ccc3c(CC[C@@]34CC[C@H](CC4)C(=O)O)c2	CHEMBL2178948	pIC50=6.77
OC(=O)[C@@]12CC3CC(C1)[C@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(cc5)c6c(F)cccc6F)C(C3)C2	CHEMBL3613357	pIC50=6.77
Cn1c(CCC(=O)O)nnc1c2ccc(NC(=O)c3ccc4ccccc4c3)cc2	CHEMBL1939619	pIC50=6.78
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(cc2)N3CCN(CC3)C(=O)C4CC4)c5ccccc5	CHEMBL1766892	pEC50=6.78
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc(cn3)c4nc5cc(Cl)ccc5[nH]4	CHEMBL3037924	pIC50=6.78
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(s3)C4(CC4)c5ccccc5	CHEMBL2012600	pIC50=6.79
CCCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCOCC3)c4ccccc4	CHEMBL1257917	pIC50=6.8
CCc1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235298	pIC50=6.8
OC(=O)CC1C2CC3CC1CC(C3)(C2)Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(cc5)c6ccccc6	CHEMBL3613344	pIC50=6.8
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCCc4c3)C(=O)Nc5ccccc5	CHEMBL3233879	pIC50=6.8
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(Cc4cc(F)cc(F)c4)s3	CHEMBL3741896	pIC50=6.8
CC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OC5CCC(CC5)C(=O)O)nc4	CHEMBL3670336	pIC50=6.81
CCCCc1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235300	pIC50=6.82
COc1ccccc1NC(=O)Nc2ccc(cc2)c3cnc(s3)C(=O)N[C@@H]4CC[C@H](CC4)C(=O)O	CHEMBL3235426	pIC50=6.82
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CC[C@@H](COc6cccc(c6)C(=O)O)C5	CHEMBL2334069	pIC50=6.82
Cc1nc(oc1C(=O)Nc2ccc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922684	pIC50=6.82
Fc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1	CHEMBL2036588	pIC50=6.82
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)N5CC[C@@H](O)C5)CC4	CHEMBL2414653	pIC50=6.83
OC(=O)c1cccc(OCC2CCN(CC2)c3ccc(NC(=O)c4ccc(OCc5ccccc5)cc4)cn3)c1	CHEMBL2334084	pIC50=6.83
CC(Oc1nnc(c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)n1C)C(=O)O	CHEMBL1939617	pIC50=6.84
CC1(C)CN(C(=O)c2c(N)ncnc2O1)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL2414685	pIC50=6.84
Fc1ccccc1NC(=O)N2CCN(CC2)c3ccc(NC(=O)c4oc5ccccc5c4)cn3	CHEMBL2334090	pIC50=6.84
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCC4CCCO4)s3	CHEMBL3741427	pIC50=6.84
CC(C)c1ccccc1NC(=O)N2CCOc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287877	pIC50=6.85
CCCc1c(c2onc(n2)N(C)C)c(C(=O)OCC)c3c(cc(nn13)N4CCOCC4)c5ccccc5	CHEMBL1257329	pIC50=6.85
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccc(OCC)cc3	CHEMBL1092318	pIC50=6.85
OC(=O)c1cccc(Oc2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cc2)c1	CHEMBL3133083	pIC50=6.85
CC(C)(COc1ccc(cn1)c2ccc3N(CCOc3c2)C(=O)Nc4ccccc4)C(=O)O	CHEMBL3670340	pIC50=6.86
CS(=O)(=O)c1ccc2[nH]c(nc2c1)c3ccc(nc3)c4ccc(O[C@@H]5CC[C@H](CC5)C(=O)O)nc4	CHEMBL2408625	pIC50=6.86
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)C4CC4)c5ccccc5	CHEMBL1766886	pEC50=6.86
CC(C)(C)c1ccc(cc1)N2CCOc3ncnc(N)c3C2=O	CHEMBL2414691	pIC50=6.87
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3741723	pIC50=6.87
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3287894	pIC50=6.88
C[C@@H]1CN(C(=O)Nc2ccc(Cl)cc2F)c3ccc(cc3O1)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3670346	pIC50=6.88
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CCC(=O)O)CC4	CHEMBL2414696	pIC50=6.88
CC(Sc1nnc(c2ccc(NC(=O)c3ccc(C)cc3)cc2)n1C)C(=O)O	CHEMBL1939474	pIC50=6.89
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)N4CCCCC4	CHEMBL3235307	pIC50=6.89
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4	CHEMBL2036571	pIC50=6.89
OC(=O)[C@@H]1CC[C@H](CC1)C(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cn3	CHEMBL1766808	pIC50=6.89
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCC(CC5)OCc6cccc(c6)C(=O)O	CHEMBL2334068	pIC50=6.9
Cc1cc(ccc1c2ccc(CC(=O)O)cc2)c3nc(C(=O)N)c(C)nc3C	CHEMBL3133096	pIC50=6.9
Cc1nc(C)c(nc1C(=O)N)c2ccc(c(F)c2)c3ccc(CC(=O)O)cc3	CHEMBL3133095	pIC50=6.9
Cc1cc(C(=O)Nc2ccccc2)c3ccc(cc3n1)c4ccc(OCC(C)(C)C(=O)O)[n+]([O-])c4	CHEMBL3233891	pIC50=6.91
O=C(C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3)NCCN5CCOCC5	CHEMBL3742222	pIC50=6.91
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C45CC6CC(CC(CC(=O)O)(C6)C4)C5	CHEMBL473386	pIC50=6.92
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C4CCC(=O)CC4	CHEMBL3235310	pIC50=6.92
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@H](CC4)C(=O)O	CHEMBL3235313	pIC50=6.92
CC1CN(C(=O)Nc2ccc(F)c(Cl)c2)c3ccc(cc3O1)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3670343	pIC50=6.92
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCCC3)c4ccccc4	CHEMBL1257328	pIC50=6.92
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCOCC3)c4ccccc4	CHEMBL1257556	pIC50=6.92
CCCc1c(c2onc(Cc3ccccc3)n2)c(C(=O)OCC)c4c(cc(nn14)N5CCOCC5)c6ccccc6	CHEMBL1258709	pIC50=6.92
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCC(COc6cccc(CC(=O)O)c6)CC5	CHEMBL2334071	pIC50=6.92
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CC[C@H](COc6cccc(c6)C(=O)O)C5	CHEMBL2334070	pIC50=6.92
Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@H](CC(=O)O)CC3)c(F)c2	CHEMBL2178945	pIC50=6.92
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CCC(=O)O)CC3	CHEMBL2178941	pIC50=6.92
Cc1nc(C)c(nc1C(=O)N)c2ccc3c(CC[C@@]34CC[C@@H](CC4)c5nnn[nH]5)c2	CHEMBL2178370	pIC50=6.92
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(cc3)c4ccccc4	CHEMBL2036580	pIC50=6.92
CCC1CN(C(=O)Nc2ccc(Cl)cc2F)c3ccc(cc3O1)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3670342	pIC50=6.93
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4cnc(OCC(C)(C)C(=O)O)cn4	CHEMBL1939627	pIC50=6.93
CCOC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)c4ccccc4)cn2	CHEMBL2441015	pIC50=6.94
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4cnc(OCC(C)(C)C(=O)O)nc4	CHEMBL1939625	pIC50=6.94
OC(=O)c1cccc(OCC2CCN(CC2)c3ccc(NC(=O)c4ccc5ccccc5c4)cn3)c1	CHEMBL2334079	pIC50=6.94
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL473967	pIC50=6.95
OC(=O)CC1CCC(CC1)c2ccc(cc2)c3nc4cc(NC(=O)c5nc(oc5C(F)(F)F)c6ccccc6)ccc4[nH]3	CHEMBL2409564	pIC50=6.95
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287867	pIC50=6.96
CCCCCc1noc(n1)c2c(CCC)n3nc(cc(c4ccccc4)c3c2C(=O)OCC)N5CCOCC5	CHEMBL1258488	pIC50=6.96
CCCc1c(c2onc(CC)n2)c(C(=O)OCC)c3c(cc(nn13)N4CCOCC4)c5ccccc5	CHEMBL1258030	pIC50=6.96
CCOC(=O)c1c(CCC(F)(F)F)n2nc(cc(c3ccccc3)c2c1C(=O)OCC)N4CCOCC4	CHEMBL1257800	pIC50=6.96
CCc1ccccc1NC(=O)N2CC(C)Oc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287896	pIC50=6.96
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)NC(C)(C)C(=O)O)CC3	CHEMBL2178937	pIC50=6.96
Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3)C(=S)N	CHEMBL2178384	pIC50=6.96
Cn1c(OCC(C)(C)C(=O)Nc2ccccc2)nnc1c3ccc(NC(=O)c4ccc5ccccc5c4)cc3	CHEMBL1939623	pIC50=6.96
Nc1c(cnc2ccnn12)c3ccc(cc3)C4CCCCC4	CHEMBL2165816	pIC50=6.96
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)N5CCCC5)CC4	CHEMBL2414652	pIC50=6.96
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(COc4ccccc4)s3	CHEMBL2012610	pIC50=6.97
Cc1cccc(C)c1c2ccc(cc2)C(=O)NCCNC(=O)c3ccc(O[C@@H]4C5CC6CC4C[C@@](C6)(C5)C(=O)O)cc3	CHEMBL3613355	pIC50=6.98
CC(C)(COc1ccc(cc1)c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)C(=O)O	CHEMBL1939632	pIC50=6.99
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCN(CC5)C(=O)Nc6ccccc6F	CHEMBL2334096	pIC50=6.99
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)Nc4ccccc4Cl)c5ccccc5	CHEMBL2441016	pIC50=6.99
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccc(F)cc3)nc2)C(=O)O	CHEMBL1834437	pIC50=7.0
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CCC(=O)O)CC4	CHEMBL3235314	pIC50=7.0
CCC(CC)(C#N)c1ccc(cc1)C(=O)Nc2ccc(cc2)c3cnc(s3)C(=O)N[C@@H](C(C)C)C(=O)O	CHEMBL2403629	pIC50=7.0
CCCc1c(c2onc(n2)N3CCCC3)c(C(=O)OCC)c4c(cc(nn14)N5CCOCC5)c6ccccc6	CHEMBL1257209	pIC50=7.0
CS(=O)(=O)c1ccc2[nH]c(nc2c1)c3ccc(nc3)c4ccc(O[C@@H]5CC[C@@H](CC5)C(=O)O)nc4	CHEMBL2408624	pIC50=7.0
Cc1nc(C)c(nc1C(=O)N)c2ccc(c(Cl)c2)c3ccc(CC(=O)O)cc3	CHEMBL3133094	pIC50=7.0
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)NS(=O)(=O)C)CC3	CHEMBL2178939	pIC50=7.0
FC(F)(F)c1oc(nc1C(=O)Nc2cnc(s2)N3CCOCC3)c4ccccc4	CHEMBL1922679	pIC50=7.0
Nc1ccnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL2414684	pIC50=7.0
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)c3ccc(cc3)C(C)(C)C#N)cc2)C(=O)O	CHEMBL2403628	pIC50=7.01
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccccc3O	CHEMBL1089208	pIC50=7.01
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL1939628	pIC50=7.01
NC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)[C@H]3COc4ncnc(N)c4O3	CHEMBL1834555	pIC50=7.01
OC(=O)[C@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccccc4)cc3	CHEMBL255036	pIC50=7.01
OC(=O)[C@H]1CCC[C@@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccccc4)cc3	CHEMBL254824	pIC50=7.02
CCNC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414701	pIC50=7.03
CCOC(=O)C1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCCCC4C)cn2	CHEMBL2441020	pIC50=7.03
CCOC(=O)N1CCN(CC1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766888	pEC50=7.03
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccc(Cl)cc3	CHEMBL1092009	pIC50=7.03
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)N5CCOCC5)CC4	CHEMBL2414654	pIC50=7.03
CC(C)(O)CNC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3742053	pIC50=7.04
CC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287864	pIC50=7.04
Clc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1	CHEMBL2036592	pIC50=7.04
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCC4CCC4)s3	CHEMBL2012613	pIC50=7.04
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(COc4ccc(F)cc4)s3	CHEMBL2012622	pIC50=7.04
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)NCCCCc5ccccc5	CHEMBL3287882	pIC50=7.04
CC(C)c1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235301	pIC50=7.05
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CS(=O)(=O)N)CC4	CHEMBL3235320	pIC50=7.05
CCCc1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235299	pIC50=7.05
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL1835919	pIC50=7.05
OC(=O)C12CC3CC(C1)C(Oc4ccc(cc4)C(=O)NCCNC(=O)c5nc(oc5C(F)(F)F)c6ccccc6)C(C3)C2	CHEMBL3613341	pIC50=7.05
OC(=O)CC1CCC(CC1)c2ccc(cc2)c3nc4cc(NC(=O)c5noc(n5)c6ccccc6)ccc4[nH]3	CHEMBL2409563	pIC50=7.05
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3)nc2)C(=O)O	CHEMBL1834434	pIC50=7.06
CCCCCCNC(=O)N1CC(C)Oc2cc(ccc12)c3ccc(OCC(C)(C)C(=O)O)nc3	CHEMBL3670345	pIC50=7.06
COCCNC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3740571	pIC50=7.06
CC(C)[C@H](CO)NC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414651	pIC50=7.07
CCc1ccccc1NC(=O)N2C[C@H](C)Oc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287897	pIC50=7.07
COCCN(C)c1ccc(NC(=O)c2oc(nc2C(F)(F)F)c3ccccc3)cn1	CHEMBL2441213	pIC50=7.07
OC(=O)C1CCC(CC1)Oc2ccc(cn2)c3ccc4N(CCOc4c3)C(=O)Nc5ccc(F)cc5C(F)(F)F	CHEMBL3670339	pIC50=7.07
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)C(=O)Nc3nnc(Cc4cccc(Cl)c4)s3	CHEMBL3741943	pIC50=7.07
CCOC(=O)C1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)c4ccccc4)cn2	CHEMBL2441218	pIC50=7.08
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)C3CCC(F)(F)CC3)cc2)C(=O)O	CHEMBL2403626	pIC50=7.09
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccccc3)N4CCOCC4)c5ccccc5	CHEMBL1258374	pIC50=7.09
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4Cl)s3	CHEMBL2012632	pIC50=7.09
OCC(O)CNC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3741306	pIC50=7.09
CC1CCCN(C1)c2oc(C(=O)Nc3ccc(nc3)N4CCC(COc5cccc(c5)C(=O)O)CC4)c(n2)C(F)(F)F	CHEMBL2334078	pIC50=7.1
CCOC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCCC(C)C4)cn2	CHEMBL2441024	pIC50=7.1
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)C34CCC(CC3)(CC4)C(=O)O	CHEMBL2178371	pIC50=7.1
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3	CHEMBL2178953	pIC50=7.1
Cl.FC(F)(F)c1nn(cc1C(=O)NCCNC(=O)c2ccc(cc2)n3cccn3)c4ccccc4	CHEMBL1090842	pIC50=7.1
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)OC4CCCC4)N5CCCCC5	CHEMBL2441201	pIC50=7.1
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)c5oncc5	CHEMBL2414665	pIC50=7.1
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CN5C=CC=NC5=O)cc4Cl	CHEMBL3222240	pIC50=7.1
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4cccc(Cl)c4Cl	CHEMBL3222251	pIC50=7.1
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ncccc4Cl	CHEMBL3222260	pIC50=7.1
OC(=O)Cc1ccc(cc1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2	CHEMBL2036743	pIC50=7.1
Nc1c(cnc2ccnn12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL2165819	pIC50=7.11
Nc1ncnc2OC[C@H](Oc12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL1833980	pIC50=7.11
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)c4cc(F)cc(F)c4)cc3	CHEMBL3235423	pIC50=7.12
CCOC(=O)c1c(CC=C)n2nc(cc(c3ccccc3)c2c1C(=O)OCC)N4CCOCC4	CHEMBL1257799	pIC50=7.13
CCCCc1noc(n1)c2c(CCC)n3nc(cc(c4ccccc4)c3c2C(=O)OCC)N5CCOCC5	CHEMBL1258263	pIC50=7.14
C[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3)nc2)C(=O)O	CHEMBL1834432	pIC50=7.14
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(Nc4nc5ccc(F)cc5s4)c(F)c3	CHEMBL1834206	pIC50=7.14
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(Nc4nc5ccc(OC(F)(F)F)cc5s4)c(F)c3	CHEMBL401117	pIC50=7.14
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cc3	CHEMBL3235422	pIC50=7.14
Nc1ncnc2CCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL1952025	pIC50=7.15
CC(C)(N)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414669	pIC50=7.16
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C45CCCC(CC4)(CC5)C(=O)O	CHEMBL473385	pIC50=7.16
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)N)CC4	CHEMBL3235318	pIC50=7.16
CCOc1ccc(NC(=O)N2CCOc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5)cc1	CHEMBL3287874	pIC50=7.16
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCN(CC5)C(=O)Nc6ccccc6C(=O)O	CHEMBL2334098	pIC50=7.16
Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@H](CC(=O)O)CC3)c(Cl)c2	CHEMBL2178946	pIC50=7.16
Cc1noc(CC[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)n1	CHEMBL2414675	pIC50=7.16
