COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=7.66	pKd=7.66	pKd=7.66	pKd=7.66
Clc1cnc(Nc2ccc(cc2)N3CCOCC3)nc1NCc4cccc(NC(=O)C=C)c4	CHEMBL3601231	pIC50=7.54
OC1C[C@@H]2COC[C@@H](C1)N2c3ccc(cc3)c4n[nH]c5ccc(cc45)C(=O)N[C@H](C6CCCC6)c7ccccn7	CHEMBL3422102	pIC50=8.66
CC(C)[C@H](NC(=O)c1ccc2[nH]nc(c3ccc(cc3)N4C5CCC4COC5)c2c1)c6ccccc6Cl	CHEMBL3422083	pIC50=8.7
COc1cc(ccc1Nc2nc(NC3CCCCC3)c4nc[nH]c4n2)N5CCN(CC5)S(=O)(=O)C	CHEMBL2047959	pIC50=8.7
COc1cc(ccc1Nc2nc(NC3CCCCC3)c4nc[nH]c4n2)N5CCN(CC5)S(=O)(=O)CCCN6CCOCC6	CHEMBL2047960	pIC50=8.7
COc1cc(ccc1Nc2ncc3cccc(NC4CCCCC4)c3n2)N5CCN(CC5)S(=O)(=O)C	CHEMBL3092039	pIC50=8.7
O=C(N[C@H](C1CC1)c2ccccn2)c3ccc4[nH]nc(c5ccc(cc5)N6C7CCC6COC7)c4c3	CHEMBL3422085	pIC50=8.7
CC[C@@H](NC(=O)c1ccc2[nH]nc(c3ccc(OC4CCN(C)CC4)cc3)c2c1)c5ccccc5Cl	CHEMBL3422063	pIC50=8.72
CC(C)C[C@H](NC(=O)c1ccc2[nH]nc(c3ccc(cc3)N4[C@H]5CC[C@H]4CC(O)C5)c2c1)c6ccccn6	CHEMBL3422097	pIC50=8.77
Clc1cc(ccc1C(=O)NC2CC2)c3cnn4c(NCC5CCOCC5)nc(Oc6ccccc6)nc34	CHEMBL3818403	pIC50=8.77
OC1C[C@@H]2CC[C@@H](C1)N2c3ccc(cc3)c4n[nH]c5ccc(cc45)C(=O)N[C@@H](C6CC6)c7ccccn7	CHEMBL3422091	pIC50=8.8
OC1C[C@@H]2CC[C@@H](C1)N2c3ccc(cc3)c4n[nH]c5ccc(cc45)C(=O)N[C@H](CC6CC6)c7ccccn7	CHEMBL3422099	pIC50=8.82
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c(NCC5CCOCC5)nc(Oc6ccccc6)nc34	CHEMBL3819210	pIC50=8.85
O=C(N[C@@H](C1CC1)c2ccccn2)c3ccc4[nH]nc(c5ccc(cc5)N6C7CCC6COC7)c4c3	CHEMBL3422084	pIC50=8.85
O=C(N[C@@H](C1CCCC1)c2ccccn2)c3ccc4[nH]nc(c5ccc(cc5)N6C7CCC6COC7)c4c3	CHEMBL3422086	pIC50=8.92
O=C(NCC1(CCCCC1)N2CCOCC2)c3ccc4[nH]nc(c5ccc(cc5)N6C7CCC6COC7)c4c3	CHEMBL3422080	pIC50=8.96
OC1C[C@@H]2CC[C@@H](C1)N2c3ccc(cc3)c4n[nH]c5ccc(cc45)C(=O)N[C@@H](C6CCCC6)c7ncccn7	CHEMBL3422095	pIC50=8.96
CC(C)CNc1nc(cn2c(cnc12)c3ccc(cc3)C(=O)NC4CC4)c5cccc6ncccc56	CHEMBL3422104	pIC50=9.0
CCOc1cc(ccc1Nc2nc(NC3CCCCC3)c4nc[nH]c4n2)N5CCOCC5	CHEMBL2047956	pIC50=9.0
COc1cc(ccc1Nc2nc(NC3CCCCC3)c4nc[nH]c4n2)N5CCNCC5	CHEMBL2047958	pIC50=9.0
Cc1cc(ccc1Nc2nc(NC3CCC(O)CC3)c4nc[nH]c4n2)N5CCOCC5	CHEMBL2047951	pIC50=9.0
FC(F)(F)Oc1cc(ccc1Nc2nc(NC3CCCCC3)c4nc[nH]c4n2)N5CCOCC5	CHEMBL2047952	pIC50=9.0
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c(NCC5CCOCC5)nc(Nc6ccccc6F)nc34	CHEMBL3819328	pIC50=9.03
Cc1cc(ccc1C(=O)NC2CC2)c3cnc4c(NCCC(F)(F)F)cc(nn34)C(F)(F)c5cccc(F)c5	CHEMBL3354569	pIC50=9.16
Cc1cc(ccc1C(=O)NC2CC2)c3cnc4c(NCCC(F)(F)F)cc(nn34)C5(CC5)c6cccc(F)c6F	CHEMBL3354996	pIC50=9.16
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c(NCC5CCOCC5)nc(Nc6cccc(F)c6)nc34	CHEMBL3819019	pIC50=9.16
COc1ccc(cc1)C(F)(F)c2cc(NCCC(F)(F)F)c3ncc(c4ccc(C(=O)NC5CC5)c(C)c4)n3n2	CHEMBL3354995	pIC50=9.22
COc1ccc(cc1F)C(=O)c2cc(NCCC(F)(F)F)c3ncc(c4ccc(C(=O)NC5CC5)c(C)c4)n3n2	CHEMBL3354567	pIC50=9.4
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c(NCC5CCOCC5)nc(Oc6cccc(F)c6F)nc34	CHEMBL3818646	pIC50=9.4
Cc1cc(ccc1C(=O)NC2CC2)c3cnc4c(NCCC(F)(F)F)cc(nn34)C(C)(O)c5cccc(F)c5O	CHEMBL3354568	pIC50=9.52
