CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1	dabrafenib	pIC50=9.1549015	pIC50=9.1549015	pIC50=9.1549015	pIC50=7.96
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=7.66	pKi=7.66	pKi=7.66	pIC50=7.58
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F	vemurafenib	pIC50=7.68	pIC50=7.68	pIC50=7.68	pIC50=7.64
CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=CC=N1	regorafenib	pIC50=7.55	pIC50=7.55	pIC50=7.55	pIC50=7.55
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C#N	CHEMBL3352837	pIC50=7.53
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccc5C#N)C(F)(F)F)c3n2	CHEMBL3641146	pIC50=7.89
COc1ccc(cc1C(F)(F)F)C(=O)Nc2ccc(C)c(Nc3ncnc4cnc(OC)nc34)c2	CHEMBL3641241	pIC50=7.89
COc1ccc(cc1C(F)(F)F)C(=O)Nc2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2	CHEMBL3641213	pIC50=7.89
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@H](F)C4)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F	CHEMBL3697834	pIC50=7.89
Oc1cc(ccc1Cl)c2[nH]c(nc2c3ccncc3)c4occc4	CHEMBL371952	pIC50=7.89
CC(C)(C)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccncc3	CHEMBL200172	pIC50=7.92
CN1CCC(CN2CCN(CC2)c3ccc4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(on6)C(C)(C)C)c4n3)CC1	CHEMBL3659919	pIC50=7.92
CN1CCN(CC1)c2ccc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3659917	pIC50=7.92
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3694029	pIC50=7.92
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)c3n2	CHEMBL3641215	pIC50=7.92
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccc5n6ccnn6)C(F)(F)F)c3n2	CHEMBL3641152	pIC50=7.92
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3641048	pIC50=7.92
COc1c(CNC(C)C)cc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[C@H](F)C5)c2)C(F)(F)F	CHEMBL3641157	pIC50=7.92
COc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN(CC5CCN(C)CC5)CC4)C(=O)Nc6cccc(c6)C(F)(F)F	CHEMBL3689932	pIC50=7.92
COc1cccc(c1)c2c(nn3c(ccnc23)c4ccc(cc4)N5C[C@@H]6C[C@H]5CN6)c7ccncc7	CHEMBL1080651	pIC50=7.92
CS(=O)(=O)Nc1cc(F)cc(c1Cl)c2[nH]c(nc2c3ccnc(N)n3)C4CC4	CHEMBL3651673	pIC50=7.92
FC(F)(F)c1cc(NC(=O)Nc2cccc(Nc3ncccc3c4ncnc5[nH]cnc45)c2)ccc1Cl	CHEMBL3354377	pIC50=7.92
Fc1ccc(NS(=O)(=O)c2ccccc2F)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3800226	pIC50=7.92
COC(=O)N[C@@H](C)CNc1nccc(n1)c2nc([nH]c2c3cc(NS(=O)(=O)C(C)C)cc(OC(F)F)c3)C(C)(C)C	CHEMBL3651620	pIC50=7.95
CC(C)(C)c1onc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)c1	CHEMBL3694139	pIC50=7.96
CC(C)CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3694041	pIC50=7.96
CC(CNc1nccc(n1)c2nc([nH]c2c3cccc(NS(=O)(=O)C)c3Cl)C4CC4)C#N	CHEMBL3651641	pIC50=7.96
CCCS(=O)(=O)Nc1ccc(F)c(c1Cl)c2cc3cnc4[nH]ncc4c3cc2OC	CHEMBL3752457	pIC50=7.96
CCN1C(=O)C(=Cc2cnc(NC)cc12)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577116	pIC50=7.96
CCNc1nccc(n1)c2nc([nH]c2c3cc(F)cc(NS(=O)(=O)C)c3Cl)C4CC4	CHEMBL3651647	pIC50=7.96
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(C)(C)C#N)c2n1	CHEMBL3697744	pIC50=7.96
CNc1ncc2cc(ccc2n1)c3c(C)ccc(C(=O)Nc4ccc(OC)c(c4)C(F)(F)F)c3N	CHEMBL3407847	pIC50=7.96
COC(=O)N[C@H](C)CNc1nccc(n1)c2nc([nH]c2c3cc(F)cc(NS(=O)(=O)C)c3Cl)C4CC4	CHEMBL3651652	pIC50=7.96
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3697867	pIC50=7.96
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(nc34)N5CCOCC5)c2)cc1C(F)(F)F	CHEMBL3659908	pIC50=7.96
COc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(nn4C)C(C)(C)C)c2n1	CHEMBL3641179	pIC50=7.96
C\C(=N/O)\c1ccc(cc1)c2[nH]c(nc2c3ccncc3)c4ccccc4	CHEMBL200637	pKd=7.96
Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc3ncnc4ccc(nc34)N5CC[C@H](F)C5	CHEMBL3659966	pIC50=7.96
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@@H](F)C4)C(=O)NCc5cccc(c5)C(F)(F)F	CHEMBL3697753	pIC50=7.96
Cn1cc(c2ccc3c(Cc4n[nH]nc34)c2)c(n1)c5ccncc5	CHEMBL1780151	pIC50=7.96
Fc1ccc(cc1)c2n[nH]c3ncc(cc23)C#Cc4c(F)ccc(NS(=O)(=O)c5cccnc5)c4F	CHEMBL3582400	pIC50=7.96
FC(F)(F)c1cc(NC(=O)c2ccc(Cl)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2)ccc1Cl	CHEMBL3354388	pIC50=7.97
Oc1c(Br)cc(\C=C\2/C(=O)Nc3ccc(I)cc23)cc1Br	CHEMBL72365	pIC50=7.97
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5cccc(Cl)c5)c4	CHEMBL497484	pIC50=7.98
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C(F)(F)F	CHEMBL3354381	pIC50=7.98
C(N1C[C@@H]2C[C@H]1CO2)c3ccc(cc3)c4ccnc5c(c6cccc7[nH]ncc67)c(nn45)c8ccncc8	CHEMBL1277056	pIC50=8.0
CCN1C(=O)C(=Cc2cnc(NC)cc12)c3ccc(F)c(NC(=O)Nc4onc(c4)C(C)(C)C)c3	CHEMBL3577115	pIC50=8.0
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(nc45)N6CC[C@H](F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3694045	pIC50=8.0
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)CC5CCCCO5)c2)cc(c1)C(F)(F)F	CHEMBL3641034	pIC50=8.0
CN(C)S(=O)(=O)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)c1	CHEMBL3697878	pIC50=8.0
CN(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)c1	CHEMBL3697817	pIC50=8.0
CN1CCC(CC1)C(=O)Nc2cc(Oc3ccc4c(c3)nc(Nc5cccc(c5)C(C)(C)C)n4C)ccn2	CHEMBL3335383	pIC50=8.0
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(c4ccccc4Cl)c23)c1	CHEMBL3613176	pIC50=8.0
COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(cc(c4)C(F)(F)F)n5cnc(C)c5)ccc3C)cnc2[nH]1	CHEMBL3808884	pIC50=8.0
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccc5n6cccn6)C(F)(F)F)c3n2	CHEMBL3641153	pIC50=8.0
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)C(C)(C)C	CHEMBL3697795	pIC50=8.0
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F	CHEMBL3697875	pIC50=8.0
Clc1ccc(Cl)c(c1)c2nc([nH]c2c3ccnc(NCCN4CCNC4=O)n3)C5CC5	CHEMBL401710	pIC50=8.0
FC(F)(F)c1cccc(c1)C(=O)Nc2cccc(Nc3cc4C(=O)NC(=O)c4cc3Cl)c2	CHEMBL1922476	pIC50=8.0
Fc1ccc(NS(=O)(=O)CC(F)(F)F)c(F)c1Nc2ncccc2c3ncnc4[nH]cnc34	CHEMBL3800014	pIC50=8.0
Fc1ccc(NS(=O)(=O)c2cccnc2)c(F)c1C#Cc3cnc4[nH]nc(C5CC5)c4c3	CHEMBL3582394	pIC50=8.0
Fc1ccc(NS(=O)(=O)c2cccnc2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798195	pIC50=8.0
Oc1cc(ccc1Cl)c2nc([nH]c2c3ccncc3)c4ccccc4	CHEMBL373011	pIC50=8.0
COc1cc(ccc1Cl)c2c(nn3c(ccnc23)c4ccc(cc4)N5CC6CCC(C5)N6C)c7ccncc7	CHEMBL1088288	pIC50=8.01
CN1C[C@@H]2C[C@H]1CN2c3c(F)cc(cc3F)c4ccnc5c(c6cccc7[nH]ncc67)c(nn45)c8ccncc8	CHEMBL1276180	pIC50=8.02
COc1cccc(NC(=O)Nc2cccc(c2)c3csc4c(cnc(N)c34)c5cccnc5)c1	CHEMBL2315077	pIC50=8.02
FC(F)(F)c1cc(cc(c1)c2cc[nH]n2)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3	CHEMBL3765074	pIC50=8.02
CC(=O)N1C2CCC1CC(C2)c3ccnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL570458	pIC50=8.04
CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc4ccc(cc4)C(C)(C)C)n3C)ccn1	CHEMBL3335376	pIC50=8.05
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(nc45)N6CCCC6)c3)cc(c2)C(F)(F)F	CHEMBL3694044	pIC50=8.05
CCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F)c3n2	CHEMBL3641176	pIC50=8.05
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(F)(F)CC5)c2)cc(c1)C(F)(F)F	CHEMBL3694225	pIC50=8.05
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(NC(=O)c4cc(cc(c4)C(F)(F)F)N5CCN(C)CC5)ccc3C)c2n1	CHEMBL3641223	pIC50=8.05
CN(C)c1ccc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3659924	pIC50=8.05
CN1CC2CC1CN2c3nc(N)c4ncnc(Nc5cc(NC(=O)c6cccc(c6)C(F)(F)F)ccc5C)c4n3	CHEMBL3694062	pIC50=8.05
CN1CCCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(cc5)C(F)(F)F)c3n2	CHEMBL3639887	pIC50=8.05
CN1CCCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4Cl)C(=O)Nc5cccc(c5)C(F)(F)F)c3n2	CHEMBL3689923	pIC50=8.05
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(Br)cc(c5)C(F)(F)F)c3n2	CHEMBL3689902	pIC50=8.05
CNc1nccc(n1)c2[nH]c(nc2c3cccc(NC(=O)Cc4ccc(Cl)cc4)c3)C5CC5	CHEMBL403854	pIC50=8.05
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)CC5CCCCO5)c2)cc1C(F)(F)F	CHEMBL3641036	pIC50=8.05
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)cc1C(F)(F)F	CHEMBL3694076	pIC50=8.05
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)C(F)(F)F	CHEMBL3697808	pIC50=8.05
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3ncnc4c(N)nc(nc34)N5CCNCC5	CHEMBL3694063	pIC50=8.05
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN(CC4)C5CC5)C(=O)Nc6cc(n[nH]6)C(C)(C)C	CHEMBL3689941	pIC50=8.05
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCN(CC5CCOC5)CC4)C(=O)Nc6cc(n[nH]6)C(C)(C)C	CHEMBL3641206	pIC50=8.05
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCOCC4)C(=O)Nc5ccc(F)c(c5)C(F)(F)F	CHEMBL3697859	pIC50=8.05
O[C@H]1CCN(C1)S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2F	CHEMBL3800002	pIC50=8.05
O\N=C\1/CCc2cc(ccc12)c3cn(nc3c4ccncc4)C5CCNCC5	CHEMBL526479	pIC50=8.05
CCCS(=O)(=O)Nc1ccc(F)c(c1F)c2ccc3cc(N)ncc3c2	CHEMBL2023335	pIC50=8.06
COc1cc(ccc1F)c2c(nn3c(ccnc23)c4ccc(cc4)N5C[C@@H]6C[C@H]5CN6)c7ccncc7	CHEMBL1079785	pIC50=8.06
COc1cc(ccc1Cl)c2c(nn3c(ccnc23)C4CC5CCC(C4)N5)c6ccncc6	CHEMBL583678	pIC50=8.07
CCOC(=O)N1C2CCC1CC(C2)c3c(C)cnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL585335	pIC50=8.08
CNc1cc2nc(C)c(cc2cn1)c3ccc(F)c(NC(=O)NCCC(C)(C)C)c3	CHEMBL3577120	pIC50=8.08
CC(C)c1cccc(NC(=O)c2ccc(Cl)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2)c1	CHEMBL3354390	pIC50=8.09
COc1cccc(c1)c2c(nn3c(ccnc23)c4ccc(cc4)N5C[C@@H]6C[C@H]5CN6C)c7ccncc7	CHEMBL1080615	pIC50=8.09
CC(C)(C)c1onc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCCCCC5)c2)c1	CHEMBL3694131	pIC50=8.1
CC(C)CN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3641078	pIC50=8.1
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(nc34)N(C)C)c2)cc(c1)C(F)(F)F	CHEMBL3694035	pIC50=8.1
CN(C)S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3798256	pIC50=8.1
CN1CCC(CC1)n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780166	pIC50=8.1
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc6N(CCN7CCCC7)C(=O)C(C)(C)c6c5)c3n2	CHEMBL3697798	pIC50=8.1
CN1CCN(CC1)c2ccc3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(C)(C)C#N)ccc4C)c3n2	CHEMBL3659964	pIC50=8.1
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(Cl)cc(c4)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3697919	pIC50=8.1
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(cc(C)c4C)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3697914	pIC50=8.1
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3641074	pIC50=8.1
CNS(=O)(=O)c1ccc(N2CCOCC2)c(Nc3ncnc4[nH]c(Br)cc34)c1	CHEMBL3613308	pIC50=8.1
CNS(=O)(=O)c1ccc(N2CCOCC2)c(Nc3ncnc4[nH]ccc34)c1	CHEMBL3613196	pIC50=8.1
CNc1ncc2ccc(Oc3cc(ccc3C)C(=O)C4=C(N(C)N(C4=O)c5ccccc5)c6ccccc6)cc2n1	CHEMBL3407849	pIC50=8.1
COC(=O)N[C@@H](C)CNc1nccc(n1)c2nc([nH]c2c3cccc(NS(=O)(=O)C)c3)C4CC4	CHEMBL3651705	pIC50=8.1
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(cc(c5)C(F)(F)F)n6cnc(C)c6)c3n2	CHEMBL3641117	pIC50=8.1
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)n5cnc(C)c5)c2)cc1C(F)(F)F	CHEMBL3641164	pIC50=8.1
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCN(C)CC5)c2)C(F)(F)F	CHEMBL3697765	pIC50=8.1
COc1ccc(cc1Nc2ncnc3cnc(NCCN(C)C)nc23)C(=O)Nc4ccc(OC)c(c4)C(F)(F)F	CHEMBL3694090	pIC50=8.1
COc1ccc(cc1Nc2ncnc3cnc(nc23)N(C)C)C(=O)Nc4cc(on4)C(C)(C)C	CHEMBL3694146	pIC50=8.1
Cc1cc(F)c(NC(=O)NCCC(C)(C)C)cc1c2cc3cnc(N)nc3nc2C	CHEMBL3577122	pIC50=8.1
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5cc(ccn5)C(F)(F)F	CHEMBL3697879	pIC50=8.1
Clc1cc2C(=O)NC(=O)c2cc1Nc3cccc(NC(=O)c4cccc(I)c4)c3	CHEMBL1922475	pIC50=8.1
Clc1cc2C(=O)NNC(=O)c2cc1Nc3cccc(NC(=O)c4cccc(I)c4)c3	CHEMBL1922596	pIC50=8.1
NCc1ccc(cc1)c2nc(c3ccc(Cl)c(O)c3)c([nH]2)c4ccncc4	CHEMBL200320	pIC50=8.1
Oc1cccc(c1)c2nc([nH]c2c3ccncc3)c4ccccc4	CHEMBL304624	pKd=8.1
CC(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncccc3c4ncnc5c4ncn5C)c2)c1	CHEMBL3354841	pIC50=8.13
CN(C)c1cc(ccc1c2ccnc3c(c4cccc5[nH]ncc45)c(nn23)c6ccncc6)N7C[C@@H]8C[C@H]7CN8C	CHEMBL1276173	pIC50=8.14
O\N=C\1/CCc2cc(ccc12)c3cc(CN4CCOCC4)oc3c5ccncc5	CHEMBL476732	pKd=8.14
COc1cc(ccc1O)c2ccc3ncnc(Nc4cc(O)c(F)cc4F)c3c2	CHEMBL3665859	pIC50=8.15
CC(C)(C)c1onc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCCCCC5)c2)c1	CHEMBL3694148	pIC50=8.16
CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(c3cncc(OC)c3)c4nc(ncc24)N(C)C5CCN(C)CC5	CHEMBL3702560	pIC50=8.16
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCCC5)c2)cc(c1)C(F)(F)F	CHEMBL3694220	pIC50=8.16
CN(C)S(=O)(=O)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2)c1	CHEMBL3697848	pIC50=8.16
CN(C)S(=O)(=O)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCNCC5)c2)c1	CHEMBL3697888	pIC50=8.16
CN(C)S(=O)(=O)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[C@H](F)C5)c2)c1	CHEMBL3697838	pIC50=8.16
CN1CCC(CN2CCN(CC2)c3ncc4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(nn6C)C(C)(C)C)c4n3)CC1	CHEMBL3641041	pIC50=8.16
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(C#N)c(c5)C(F)(F)F)c3n2	CHEMBL3694028	pIC50=8.16
COC(=O)N[C@@H](C)CNc1nccc(n1)c2nc([nH]c2c3cc(Cl)cc(NS(=O)(=O)c4ccc(cc4)C(F)(F)F)c3F)C5CC5	CHEMBL3651670	pIC50=8.16
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3641052	pIC50=8.16
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc6c(OC(F)(F)OC6(F)F)c5)c3n2	CHEMBL3641212	pIC50=8.16
COc1cc2c(cnc3[nH]nc(C4CC4)c23)cc1c5c(F)ccc(NS(=O)(=O)CCCF)c5Cl	CHEMBL3751896	pIC50=8.16
COc1cc2c(cnc3[nH]ncc23)cc1c4c(F)ccc(NS(=O)(=O)CCCF)c4Cl	CHEMBL3752478	pIC50=8.16
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(CC5)N6CCCC6)c2)cc1C(F)(F)F	CHEMBL3641175	pIC50=8.16
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(CC5)N6CCCCC6)c2)cc1C(F)(F)F	CHEMBL3641171	pIC50=8.16
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CC5)C6CC6)c2)cc1C(F)(F)F	CHEMBL3641060	pIC50=8.16
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCCCCC5)c2)cc1C(F)(F)F	CHEMBL3694069	pIC50=8.16
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2)cc1C(F)(F)F	CHEMBL3694072	pIC50=8.16
COc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694086	pIC50=8.16
C[C@H]1CN([C@H](C)CN1)c2nc(N)c3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)c3n2	CHEMBL3694058	pIC50=8.16
Cc1c[nH]nc1c2ccc(cc2)c3cn(C)nc3c4ccncc4	CHEMBL498468	pIC50=8.16
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3ncnc4c(N)nc(nc34)N5CCCN(CC5)c6ccncc6	CHEMBL3694057	pIC50=8.16
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN5CCCC5C4)C(=O)Nc6cc(nn6C)C(C)(C)C	CHEMBL3694042	pIC50=8.16
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCNCC4)C(=O)Nc5ccc(cc5)C(F)(F)F	CHEMBL3689903	pIC50=8.16
Cc1ccc(cc1Nc2ncnc3ccc(nc23)N4CCOCC4)C(=O)Nc5cc(n[nH]5)C(C)(C)C	CHEMBL3659912	pIC50=8.16
Cc1ccc(cc1Nc2ncnc3ccc(nc23)N4CCOCC4)C(=O)Nc5cccc(c5)C(C)(C)[N+]#[C-]	CHEMBL3659910	pIC50=8.16
Cc1ccc(cc1Nc2ncnc3cnc(NCc4ccccc4)nc23)C(=O)Nc5cccc(c5)C(C)(C)C#N	CHEMBL3641057	pIC50=8.16
Clc1ccc(CC(=O)Nc2cccc(c2)c3nc([nH]c3c4ccnc(NCCN5CCNC5=O)n4)C6CC6)cc1	CHEMBL429498	pIC50=8.16
Cn1c(Nc2cccc(c2)C(C)(C)C)nc3cc(Oc4ccnc(NC(=O)C5CCNCC5)c4)ccc13	CHEMBL3335382	pIC50=8.16
Cn1nc(cc1NC(=O)c2cc(Cl)cc(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)C(C)(C)C	CHEMBL3697917	pIC50=8.16
Fc1ccc(NS(=O)(=O)c2cccs2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798780	pIC50=8.16
CCNC(=O)N1C2CCC1CC(C2)c3ccnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL570658	pIC50=8.17
CN(C)C(=O)N1C2CCC1CC(C2)c3ccnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL584942	pIC50=8.19
CN(C)c1cccc(c1)C(=O)Nc2ccc(C)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2	CHEMBL3354840	pIC50=8.2
CNS(=O)(=O)c1ccc(N(C)C)c(Nc2ncnc3[nH]c(Br)cc23)c1	CHEMBL3613306	pIC50=8.2
COCCN1CCC(CC1)c2nc(c3ccc4\C(=N\O)\CCc4c3)c([nH]2)c5ccncc5	CHEMBL477774	pKd=8.2
CC(C)(C)CS(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3799342	pIC50=8.22
CC(C)(CN)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccncc3	CHEMBL200889	pIC50=8.22
CC(C)N1CCN(CC(=O)Nc2cc(Oc3ccc4c(c3)nc(Nc5cc(ccc5F)C(F)(F)F)n4C)ccn2)CC1	CHEMBL3335386	pIC50=8.22
CC1=Nc2ccc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCC(CN7CCCC7)CC6)c3)cc2C1(C)C	CHEMBL3641205	pIC50=8.22
CCN1CCN(CC(=O)Nc2cc(Oc3ccc4c(c3)nc(Nc5cc(ccc5F)C(F)(F)F)n4C)ccn2)CC1	CHEMBL3335387	pIC50=8.22
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCN(CCOC)CC6)c3)cc(c2)C(F)(F)F	CHEMBL3641051	pIC50=8.22
