NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)[C@@H]1CCCN(C1)C(=O)C=C	ibrutinib	pKi=9.14266777	pKi=9.14266777	pKi=9.14266777	pIC50=7.85
COc1ccc(cc1)c2ccc(C(=O)N)c3[nH]c4ccc(cc4c23)C(=O)N5CCN(C)CC5	CHEMBL3621460	pIC50=7.54
CN(C)C\C=C\C(=O)N1CC[C@@]2(C[C@@H](C2)n3nc(c4ccc(Oc5ccccc5)cn4)c6c(N)ncnc36)C1	CHEMBL3647530	pIC50=8.15
CN1CCN(CC1)c2ccc(NC3=CC(=NN(C)C3=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO)nc2	CHEMBL3670134	pIC50=8.15
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(F)c5F)c34)C(=O)N	CHEMBL3621512	pIC50=8.16
CN1N=C(C=C(Nc2cc(n(C)n2)C(C)(C)O)C1=O)c3cccc(N4CCc5c6CCCCc6sc5C4=O)c3CO	CHEMBL3670090	pIC50=8.16
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Nc3cc(F)ccc3C)c4cncn24	CHEMBL1916893	pIC50=8.17
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Oc3ccc(F)cc3C)c4cncn4c2c1	CHEMBL1916902	pIC50=8.18
COCCOc1ccc(Nc2ncc(SC)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1	CHEMBL3787531	pIC50=8.18
CCN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CC(C)(C)Cc7sc6C5=O)c4CO)nc2	CHEMBL3670102	pIC50=8.19
CN1C=C(C=C(Nc2ccc(cn2)N3CCN(CCF)CC3)C1=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO	CHEMBL3639689	pIC50=8.2
CN1C=C(C=C(Nc2ccncn2)C1=O)c3cccc(N4CCn5c6CCCCc6cc5C4=O)c3CO	CHEMBL3670086	pIC50=8.21
CN1C=C(N=C(Nc2ccc(cc2)C(=O)NCCCNC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)C1=O)c7cccc(NC(=O)c8ccc(cc8)C(C)(C)C)c7C	CHEMBL3400826	pKd=8.21
CN1C=C(C=C(Nc2cc3CN(CCn3n2)C(=O)C)C1=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO	CHEMBL3670085	pIC50=8.22
CN1C=C(C=C(Nc2ccc(cn2)N3CCNCC3)C1=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO	CHEMBL3670129	pIC50=8.22
CN1C=C(N=C(Nc2ccc(cc2)C(=O)NCCNC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)C1=O)c7cccc(NC(=O)c8ccc(cc8)C(C)(C)C)c7C	CHEMBL3400825	pKd=8.22
CN1C=C(N=C(Nc2cnn(CCO)c2)C1=O)c3cccc(N4CCc5c6CCCCc6sc5C4=O)c3CO	CHEMBL3670089	pIC50=8.22
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4)cc2	CHEMBL3745795	pIC50=8.22
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4Cl)cc2	CHEMBL3747554	pIC50=8.22
CN1CCN(C)C(=O)[C@@H]1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(C)c(NC(=O)c5cc6CCCCc6s5)c4F)cc2	CHEMBL3747161	pIC50=8.22
CN1CCN(C)C(=O)[C@H]1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(C)c(NC(=O)c5cc6CCCCc6s5)c4F)cc2	CHEMBL3747315	pIC50=8.22
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H]1Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CC7(COC7)C6	CHEMBL3702846	pIC50=8.25
CNC(=O)c1cc(Oc2ccc(Nc3ncc([S+](C)[O-])c(Nc4cccc(NC(=O)C=C)c4)n3)cc2)ccn1	CHEMBL3787055	pIC50=8.25
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Oc3ccccc3C)c4cncn24	CHEMBL1916899	pIC50=8.26
CN1C=C(N=C(Nc2ccc(cc2)C(=O)NCCCCNC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)C1=O)c7cccc(NC(=O)c8ccc(cc8)C(C)(C)C)c7C	CHEMBL3402353	pKd=8.26
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Nc3ccc(F)cc3C)c4cncn24	CHEMBL1916894	pIC50=8.27
CC(C)(CN1CCOCC1)\C=C(/C#N)\C(=O)N2CCC[C@H]2Cn3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702853	pIC50=8.28
CN1C=C(C=C(Nc2ccc(cn2)N3CCN(CC3)C4COC4)C1=O)c5cccc(N6CCn7c8CC(C)(C)Cc8cc7C6=O)c5CO	CHEMBL3670138	pIC50=8.28
CN1CC(C1)c2ccc(NC3=NC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CC(C)(C)Cc7sc6C5=O)c4CO)cc2	CHEMBL3670126	pIC50=8.28
CN1CCC(CC1)c2ccc(NC3=NC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CCCCc7sc6C5=O)c4CO)cc2	CHEMBL3670110	pIC50=8.28
CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1	CHEMBL2179804	pIC50=8.3
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(\C=C\c5ncc(N)cn5)s4)\Nc3c2	CHEMBL500517	pIC50=8.3
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1Cl)nc(Nc3ccccc3Cl)c4cncn24	CHEMBL1916896	pIC50=8.3
CN1C=C(C=C(Nc2cc3COCCn3n2)C1=O)c4cc(F)cc(N5CCn6c7CCCCc7cc6C5=O)c4CO	CHEMBL3670093	pIC50=8.3
CN1C=C(C=C(Nc2ccc(cn2)N3CCOCC3)C1=O)c4cc(F)cc(N5CCc6c7CCCCc7sc6C5=O)c4CO	CHEMBL3670118	pIC50=8.3
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(C)c(NC(=O)c5cc6CCCCc6s5)c4Cl)cc2	CHEMBL3747742	pIC50=8.3
CN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO)nc2	CHEMBL3670088	pIC50=8.3
Cc1c(cccc1C2=NNC(=O)C(=C2)Nc3cc(CN4CC(F)(F)C4)n(C)n3)N5Cc6cc(sc6C5=O)C(C)(C)C	CHEMBL3699647	pIC50=8.3
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pIC50=8.3
CN1C=C(C=C(Nc2ccc(cn2)C3CCN(CC3)C4COC4)C1=O)c5cc(F)cc(N6CCc7c8CCCCc8sc7C6=O)c5CO	CHEMBL3670131	pIC50=8.31
CN1CCn2nc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CC(C)(C)Cc7sc6C5=O)c4CO)cc2C1	CHEMBL3670108	pIC50=8.31
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1Cl)nc(Nc3ccccc3C)c4cncn24	CHEMBL1916895	pIC50=8.32
CN1C=C(N=C(Nc2ccc(cc2)C(=O)N3CCOC(CNC(=S)Nc4ccc(C5=C6C=CC(=O)C=C6Oc7cc(O)ccc57)c(c4)C(=O)O)C3)C1=O)c8cccc(NC(=O)c9ccc(cc9)C(C)(C)C)c8C	CHEMBL3402356	pIC50=8.32
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	bosutinib	pKd=8.32
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H]1Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCNCC6	CHEMBL3702835	pIC50=8.33
CN1CC(C1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO)nc2	CHEMBL3670101	pIC50=8.33
COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1	CHEMBL3301625	pIC50=8.34
CN(C)CCOc1ccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCn5c6CCCCc6cc5C4=O)c3CO)nc1	CHEMBL3670125	pIC50=8.38
CN1C=C(C=C(Nc2ccc3CN(CCc3n2)C4COC4)C1=O)c5cc(F)cc(N6CCc7c8CC(C)(C)Cc8sc7C6=O)c5CO	CHEMBL3670109	pIC50=8.38
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccccc45	CHEMBL3652650	pIC50=8.39
CC(C)(\C=C(/C#N)\C(=O)N1CCC1Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCOCC6	CHEMBL3702843	pIC50=8.39
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCC6	CHEMBL3702828	pIC50=8.39
COCCOc1ccc(Nc2ncc3N(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)cc1	CHEMBL3787191	pIC50=8.39
CC#CC(=O)N1CC[C@@]2(C[C@@H](C2)n3nc(c4ccc(Oc5ccccc5)cn4)c6c(N)ncnc36)C1	CHEMBL3647527	pIC50=8.4
CC(C)\C=C(/C#N)\C(=O)N1CCC1Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25	CHEMBL3702838	pIC50=8.4
CCN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CCCCc7sc6C5=O)c4CO)nc2	CHEMBL3670099	pIC50=8.4
CCN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO)nc2	CHEMBL3352876	pIC50=8.4
CN(C)CCN(C)c1ccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCc5c6CC(C)(C)Cc6sc5C4=O)c3CO)nc1	CHEMBL3670100	pIC50=8.4
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1Cl)nc(Nc3cc(F)ccc3C)c4cncn24	CHEMBL1916897	pIC50=8.4
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3ccccc3C)c4cncn4c2c1	CHEMBL1916718	pIC50=8.4
CN1CCC(CC1)c2ccc(NC3=NC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CCCCc7cc6C5=O)c4CO)cc2	CHEMBL3670111	pIC50=8.4
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(F)c(NC(=O)c5cc6CCCCc6s5)c4F)cc2	CHEMBL3745934	pIC50=8.4
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(F)c(NC(=O)c5ccc(cc5)C(C)(C)C)c4C)cc2C1	CHEMBL3747417	pIC50=8.4
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(F)c(NC(=O)c5cnc(cn5)C(C)(C)C)c4C)cc2C1	CHEMBL3746333	pIC50=8.4
CN1CCn2nc(NC3=CC(=NNC3=O)c4cccc(NC(=O)c5cc6ccccc6s5)c4C)cc2C1	CHEMBL3746115	pIC50=8.4
Cc1c(cccc1C2=NNC(=O)C(=C2)Nc3cc([nH]n3)C4CC4)N5Cc6cc(sc6C5=O)C(C)(C)C	CHEMBL3699641	pIC50=8.4
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)C5CCCN(C5)C(=O)C=C	CHEMBL3657237	pIC50=8.4
CN1C=C(C=C(Nc2ccc(cn2)N3CCN(CC3)C4COC4)C1=O)c5cc(F)cc(N6CCn7c8CCCCc8cc7C6=O)c5CO	CHEMBL3670095	pIC50=8.41
CN1CCC(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CCCCc7sc6C5=O)c4CO)nc2	CHEMBL3670097	pIC50=8.42
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(NC(=O)c6ccc(F)cc6)c5C)c34)C(=O)N	CHEMBL3622189	pIC50=8.42
CN1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H]2Cn3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702834	pIC50=8.42
COCCOc1ccc(Nc2ncc([S+](C)[O-])c(Nc3cccc(NC(=O)C=C)c3)n2)cc1	CHEMBL3786656	pIC50=8.43
CCN1CCn2nc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO)cc2C1	CHEMBL3670114	pIC50=8.44
Nc1ncnc2c1c(nn2C3CCN(CC3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647973	pIC50=8.44
CC(C)Oc1cc(n[nH]1)n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc23	CHEMBL2151321	pIC50=8.46
CN(C)c1ccc(cc1)C(=O)Nc2cccc(c2C)c3ccc(C(=O)N)c4[nH]c5cc(ccc5c34)C(=O)N6CCN(C)CC6	CHEMBL3622190	pIC50=8.46
CC(C)N(C)Cc1ccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCc5c6CCCCc6sc5C4=O)c3CO)nc1	CHEMBL3670106	pIC50=8.47
CN(C)CCN(C)c1ccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCc5c6CCCCc6sc5C4=O)c3CO)nc1	CHEMBL3670115	pIC50=8.47
COc1nccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCn5c6CC(C)(C)Cc6cc5C4=O)c3CO)n1	CHEMBL3670128	pIC50=8.47
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Nc3ccccc3C)c4cncn24	CHEMBL1916891	pIC50=8.48
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3cc(F)ccc3C)c4cncn4c2c1	CHEMBL1916880	pIC50=8.48
CN1CCC(C1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CCCCc7sc6C5=O)c4CO)nc2	CHEMBL3670135	pIC50=8.48
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5cccnc45	CHEMBL3649461	pIC50=8.5
CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25	CHEMBL3707348	pIC50=8.51
CC1(COC1)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702827	pIC50=8.51
CN(C)C(=O)Cn1ccc(Nc2cc3[nH]nc(N)c3c(n2)c4ccc(Oc5ccccc5)cc4)n1	CHEMBL3657241	pIC50=8.52
CN(C)CCOc1ccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCc5c6CC(C)(C)Cc6sc5C4=O)c3CO)nc1	CHEMBL3670124	pIC50=8.52
CN(C)c1ccc(cc1)C(=O)Nc2cccc(c2F)c3ccc(C(=O)N)c4[nH]c5cc(ccc5c34)C(=O)N6CCN(C)CC6	CHEMBL3622193	pIC50=8.52
CN1C=C(C=C(Nc2cc(n[nH]2)C3CC3)C1=O)c4cccc(N5CCc6c7CCCCc7sc6C5=O)c4CO	CHEMBL3670091	pIC50=8.52
CN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5N=Cc6cc(cc(F)c6C5=O)C(C)(C)C)c4CO)nc2	CHEMBL3358346	pIC50=8.52
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(F)c(NC(=O)c5cc6ccccc6s5)c4C)cc2C1	CHEMBL3746293	pIC50=8.52
Cc1c(cccc1C2=NNC(=O)C(=C2)Nc3cc(C)n(C)n3)N4Cc5cc(sc5C4=O)C(C)(C)C	CHEMBL3699640	pIC50=8.52
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)C5CCCN(C5)C(=O)Nc6ccccc6	CHEMBL3657236	pIC50=8.52
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3ccc(F)cc3C)c4cncn4c2c1	CHEMBL1916881	pIC50=8.53
CCN1CCc2nc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO)ccc2C1	CHEMBL3670113	pIC50=8.55
CN1C=C(C=C(Nc2ccc(cn2)C3CCN(CC3)C4COC4)C1=O)c5cc(F)cc(N6CCn7c8CCCCc8cc7C6=O)c5CO	CHEMBL3670096	pIC50=8.55
CN1CCN(CC1)c2ccc3c(cn(c4cccc(N5N=Cc6cc(cc(F)c6C5=O)C(C)(C)C)c4CO)c3n2)C(=O)N	CHEMBL3652672	pIC50=8.55
CN1CCC(CC1)c2ccc(NC3=NC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CC(C)(C)Cc7sc6C5=O)c4CO)cc2	CHEMBL3670107	pIC50=8.59
CN(C)C\C=C\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3)c5c(N)ncnc25	CHEMBL3647970	pIC50=8.6
CN1C=C(N=C(Nc2ccc(cc2)C(=O)N3CCN(CC3)C(=S)Nc4ccc(C5=C6C=CC(=O)C=C6Oc7cc(O)ccc57)c(c4)C(=O)O)C1=O)c8cccc(NC(=O)c9ccc(cc9)C(C)(C)C)c8C	CHEMBL3402355	pKd=8.6
COc1cc2nc(Nc3ccccc3C)c4cncn4c2cc1NC(=O)C(=C)CN5CCOCC5	CHEMBL1916714	pIC50=8.6
Cn1cc(cc1C(=O)N)c2cccc(N3N=Cc4cc(cc(F)c4C3=O)C(C)(C)C)c2CO	CHEMBL3649455	pIC50=8.6
Nc1ncnc2c1c(nn2C3CC4(C3)CN(C4)C(=O)C=C)c5ccc(Oc6ccccc6)nc5	CHEMBL3647521	pIC50=8.62
CN1C=C(C=C(Nc2ccc(CN3CCOCC3)cn2)C1=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO	CHEMBL3670103	pIC50=8.63
CN1C=C(C=C(Nc2cc(C)n[nH]2)C1=O)c3cc(F)cc(N4CCn5c6CC(C)(C)Cc6cc5C4=O)c3CO	CHEMBL3670105	pIC50=8.66
CN1CCC(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CC(C)(C)Cc7sc6C5=O)c4CO)nc2	CHEMBL3670123	pIC50=8.66
CN(C1COC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H]2Cn3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702836	pIC50=8.68
CN1CCCC1c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CCCCc7sc6C5=O)c4CO)nc2	CHEMBL3670117	pIC50=8.68
CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1C	CHEMBL2179805	pIC50=8.7
CCN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5N=Cc6cc(cc(F)c6C5=O)C(C)(C)C)c4CO)nc2	CHEMBL3358345	pIC50=8.7
CCn1cc(NC2=NC(=CN(C)C2=O)c3cccc(N4CCc5c6CC(C)(C)Cc6sc5C4=O)c3CO)cn1	CHEMBL3670092	pIC50=8.7
CN(C)CCOc1ccc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCc5c6CCCCc6sc5C4=O)c3CO)nc1	CHEMBL3670098	pIC50=8.7
CN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CCCCc7cc6C5=O)c4CO)nc2	CHEMBL3670094	pIC50=8.7
CN1CCn2nc(NC3=CC(=NNC3=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4C)cc2C1	CHEMBL3670078	pIC50=8.7
CNC(=O)c1ccc(cc1)c2cc3[nH]nc(N)c3c(n2)c4ccc(Oc5ccccc5)cc4	CHEMBL3657232	pIC50=8.7
COC(=O)C(=O)N1CCCC(C1)c2cc3[nH]nc(N)c3c(n2)c4ccc(Oc5ccccc5)cc4	CHEMBL3657238	pIC50=8.7
COC(=O)N1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702856	pIC50=8.7
COc1cc(ccc1Oc2ccc(Cl)c(Cl)c2)c3c(Cl)c(C4CCCN(C4)C(=O)C=C)n5ncnc(N)c35	CHEMBL2057913	pIC50=8.7
COc1cc(ccc1Oc2cccc(Cl)c2)c3c(Cl)c(C4CCCN(C4)C(=O)C=C)n5ncnc(N)c35	CHEMBL2216828	pIC50=8.7
Nc1n[nH]c2cc(nc(c3ccc(Oc4cccc(F)c4)cc3)c12)c5ccc(cc5)C(=O)O	CHEMBL3657244	pIC50=8.7
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)C5CCN(CC5)C(=O)Nc6ccccc6	CHEMBL3657239	pIC50=8.7
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)c5ccc(cc5)c6nnn[nH]6	CHEMBL3657234	pIC50=8.7
CC(=O)N1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702855	pIC50=8.72
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H]1Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCCC6	CHEMBL3702831	pIC50=8.72
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3cccc(F)c3C)c4cncn4c2c1	CHEMBL1916882	pIC50=8.72
Nc1ncnc2c1c(nn2C3CCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3669312	pIC50=8.72
Nc1ncnc2c1c(nn2[C@H]3CCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647965	pIC50=8.72
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Nc3ccccc3Cl)c4cncn24	CHEMBL1916892	pIC50=8.74
CN(C)C\C=C\C(=O)N1CC2(CC(C2)n3nc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36)C1	CHEMBL3647515	pIC50=8.75
CN1CCC[C@@H]1c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO)nc2	CHEMBL3670119	pIC50=8.76
Nc1ncnc2c1c(nn2C3CC4(C3)CN(C4)C(=O)C=C)c5ccc(Oc6ccccc6)cn5	CHEMBL3647524	pIC50=8.8
Nc1ncnc2c1c(nn2[C@@H]3CCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647966	pIC50=8.8
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3cc(O)ccc3C)c4cncn4c2c1	CHEMBL1916888	pIC50=8.81
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CC7(COC7)C6	CHEMBL3702845	pIC50=8.82
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCN(CC6)C7COC7	CHEMBL3702854	pIC50=8.82
CN(C)c1ccc(Nc2ncc([S+](C)[O-])c(Nc3cccc(NC(=O)C=C)c3)n2)cn1	CHEMBL3786931	pIC50=8.83
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCN(CC6)S(=O)(=O)C	CHEMBL3702852	pIC50=8.85
CN1CCCC1c2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCc6c7CC(C)(C)Cc7sc6C5=O)c4CO)nc2	CHEMBL3670116	pIC50=8.85
Nc1ncnc2c1c(nn2[C@H]3CCCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647964	pIC50=8.85
CCN1CCN(CC1=O)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702857	pIC50=8.89
CN1CCN(CC1=O)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702851	pIC50=8.92
Cc1ccc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(ccc5C4=O)C(C)(C)C)c3CO)nc1	CHEMBL3652666	pIC50=8.95
CC#CC(=O)N1CC2(CC(C2)n3nc(c4ccc(Oc5ccccc5)nc4)c6c(N)ncnc36)C1	CHEMBL3647520	pIC50=8.96
CSc1cnc(Nc2ccc(cc2)N3CCOCC3)nc1Nc4cccc(NC(=O)C=C)c4	CHEMBL3787615	pIC50=8.97
CC#CC(=O)N1CC2(CC(C2)n3nc(c4ccc(Oc5ccccc5)cn4)c6c(N)ncnc36)C1	CHEMBL3647525	pIC50=9.0
CN1C=C(C=C(Nc2cc(n[nH]2)C3CC3)C1=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO	CHEMBL3670083	pIC50=9.0
CN1CCN(CC1)c2ccc(Nc3nc(Oc4cccc(NC(=O)C=C)c4)c5sccc5n3)cc2	CHEMBL3786343	pIC50=9.0
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(F)c(NC(=O)c5cc6ccccc6s5)c4F)cc2C1	CHEMBL3745935	pIC50=9.0
CNC(=O)c1cc(Oc2ccc(Nc3ncc(F)c(Nc4cccc(NC(=O)C=C)c4)n3)cc2)ccn1	CHEMBL2216827	pIC50=9.0
COCCN1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702850	pIC50=9.0
Nc1n[nH]c2c(cnc(c3ccc(Oc4ccccc4)cc3)c12)c5ccccn5	CHEMBL3657235	pIC50=9.0
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)c5ccc(C(=O)O)c(F)c5	CHEMBL3657240	pIC50=9.0
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)c5ccc(cc5)C(=O)NCC(=O)O	CHEMBL3657233	pIC50=9.0
