[H][C@@]1(CN(C)C)CCN2C=C(C3=CC=CC=C23)C2=C(C(=O)NC2=O)C2=CN(CCO1)C1=CC=CC=C21	ruboxistaurin	pKd=7.92	pKd=7.92	pKd=7.92
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5COC5	CHEMBL3691966	pIC50=7.53
C[C@@H]1C[C@H](O)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651898	pIC50=8.22
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652025	pIC50=8.22
FC(F)(F)c1cccc2c3ccc4c(C=O)c[nH]c4c3[nH]c12	CHEMBL1243129	pIC50=8.22
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CNC5)n4)c3c2	CHEMBL3393700	pIC50=8.22
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(n4)N5CCNCC5)c3c2	CHEMBL3393695	pIC50=8.22
NC1CCCC(=C1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3652001	pIC50=8.22
NC1CCN(C1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393693	pIC50=8.22
N[C@@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030388	pIC50=8.22
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3651961	pIC50=8.22
N[C@H]1CCCN(C1)c2ccncc2c3cc4c(n[nH]c4cn3)c5ccccc5F	CHEMBL3634793	pKi=8.22
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4cc(O)ccc4F	CHEMBL3651930	pIC50=8.22
Nc1cncc(n1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3792474	pKi=8.22
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(n4)N5CCOCC5)c3c2	CHEMBL3394067	pIC50=8.22
C[C@H]1CN(C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687467	pIC50=8.24
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3687518	pIC50=8.24
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1NCC4CCNCC4	CHEMBL3652622	pKi=8.24
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3691913	pIC50=8.26
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3687460	pIC50=8.27
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ncc3N)c4c(F)cccc4F	CHEMBL3687489	pIC50=8.27
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3687517	pIC50=8.27
Oc1cc(nc2c(cnn12)C(=O)Nc3ccc(F)cc3)C4CCNCC4	CHEMBL2387466	pKi=8.27
CN1CCC(CC1)c2c(NC(=O)c3nc(sc3N)c4c(F)cccc4F)cnn2C	CHEMBL3652642	pKi=8.28
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687528	pIC50=8.28
CS[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687445	pIC50=8.28
CO\N=C/1\[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687426	pIC50=8.29
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(O)CCOCC6	CHEMBL3691963	pIC50=8.29
CC(=O)O[C@H]1CC[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651995	pIC50=8.3
CC(C)Nc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394068	pIC50=8.3
CC1CC(N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676270	pIC50=8.3
CC1CCN(CC1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676275	pIC50=8.3
CCCOc1ccc(F)c(c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651960	pIC50=8.3
CC[C@H](N)COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2	CHEMBL1910911	pIC50=8.3
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](O)[C@H](N)C4	CHEMBL3651913	pIC50=8.3
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3687506	pIC50=8.3
C[C@@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651992	pIC50=8.3
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccc(O)cc4F	CHEMBL3651933	pIC50=8.3
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)ccc(F)c4F	CHEMBL3676308	pIC50=8.3
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651989	pIC50=8.3
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687447	pIC50=8.3
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651937	pIC50=8.3
Clc1cc(NC(=O)CCN2CCCCC2)ccc1C3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035629	pIC50=8.3
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1OC4CCNCC4	CHEMBL3652629	pKi=8.3
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CCCNC5)n4)c3c2	CHEMBL3393702	pIC50=8.3
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3OC4CCOCC4	CHEMBL3354515	pIC50=8.3
Fc1cccc(F)c1c2nc(cs2)c3ccc4nccc(N5CCNCC5)c4c3	CHEMBL3354523	pIC50=8.3
NC1C=C(CCC1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651987	pIC50=8.3
N[C@@H](COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2)c5ccccc5	CHEMBL1910915	pIC50=8.3
N[C@@H]1C=C(CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651988	pIC50=8.3
N[C@@H]1CC[C@H](CC1)Oc2cncc(n2)c3ccc4[nH]cc(c5ccc(N)nc5F)c4c3	CHEMBL1910907	pIC50=8.3
N[C@@H]1CN(CC[C@H]1F)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676260	pIC50=8.3
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651984	pIC50=8.3
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3651983	pIC50=8.3
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651979	pIC50=8.3
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccncc4	CHEMBL3103862	pKi=8.3
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)ccc4F	CHEMBL3651977	pIC50=8.3
N[C@H]1CCN(C1)c2cc(Cl)ccc2\C=C\3/SC(=O)NC3=O	CHEMBL2046468	pIC50=8.3
N[C@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651998	pIC50=8.3
Nc1cc(ncn1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3793221	pKi=8.3
Nc1ccc(nc1C(=O)Nc2cnccc2c3ccnc(N)n3)c4c(F)cccc4F	CHEMBL3793267	pKi=8.3
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(NC5CCCC5)n4)c3c2	CHEMBL3394069	pIC50=8.3
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(OC5CCCC5)n4)c3c2	CHEMBL3394168	pIC50=8.3
c1ccc(cc1)c2n[nH]c3cnc(cc23)c4cccnc4	CHEMBL3634790	pKi=8.3
N[C@H]1CCCN(C1)c2[nH]ncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3652621	pKi=8.31
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691939	pIC50=8.32
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3687536	pIC50=8.35
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)N5CCOCC5	CHEMBL3634765	pKi=8.36
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687522	pIC50=8.38
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4ccccc4F	CHEMBL3676303	pIC50=8.38
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3687537	pIC50=8.39
CC1CC(O)C=C(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651999	pIC50=8.4
CCCOc1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651964	pIC50=8.4
COc1ccc2C(=O)\C(=C\c3n[nH]c4ncccc34)\Oc2c1CN5CCN[C@H](C)C5	CHEMBL3736117	pIC50=8.4
C[C@@H]1CN(C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651997	pIC50=8.4
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)ccc4F	CHEMBL3651957	pIC50=8.4
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676300	pKi=8.4
C[C@@H]1C[C@H](O)C[C@@H](C1)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676288	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651926	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1F)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652031	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(C)ccc4F	CHEMBL3651969	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651927	pIC50=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4cc(C)ccc4F	CHEMBL3651970	pIC50=8.4
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)CC(C)(C)C4	CHEMBL3651908	pIC50=8.4
Cc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)CC(C)(C)C4	CHEMBL3651907	pIC50=8.4
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CNCCC5=C)n4)c3c2	CHEMBL3393703	pIC50=8.4
NC1CC(CF)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676272	pIC50=8.4
NC1CC(CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F)C(F)(F)F	CHEMBL3676271	pIC50=8.4
NC1CCCN(C1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393722	pIC50=8.4
N[C@@H]1CCCN(C1)c2c(\C=C\3/SC(=O)NC3=O)cccc2c4ccncc4	CHEMBL2048873	pIC50=8.4
N[C@@H]1CN(CC(F)(F)C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676280	pIC50=8.4
N[C@@H]1CN(CC[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676259	pIC50=8.4
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651996	pIC50=8.4
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4cccnc4	CHEMBL3103861	pKi=8.4
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676290	pIC50=8.4
Nc1ccc(c(F)n1)c2c[nH]c3ccc(cc23)c4cncc(n4)N5CCNCC5	CHEMBL1910908	pIC50=8.4
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(n4)N5CCOCC5)c3c2	CHEMBL3394073	pIC50=8.4
O[C@@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030386	pIC50=8.4
Oc1cccc(NCC2=Nc3c(sc4ccc(Br)cc34)C(=O)N2)c1	CHEMBL584161	pKi=8.4
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687531	pIC50=8.42
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CC[C@@H](N)C4	CHEMBL3652635	pKi=8.42
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OC)[C@H](N)C4	CHEMBL3687510	pIC50=8.43
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687502	pIC50=8.43
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4ccccn4	CHEMBL3634766	pKi=8.43
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3691982	pIC50=8.45
CN1C(=O)CN(C1=O)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634776	pKi=8.48
C[C@H]1CN(C[C@@H](N)[C@H]1NS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687431	pIC50=8.49
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3639863	pIC50=8.51
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687485	pIC50=8.51
CC(C)Oc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676306	pIC50=8.52
CC(C)Oc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394171	pIC50=8.52
CC1(C)CCNCC1Oc2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393705	pIC50=8.52
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676301	pIC50=8.52
CCCOc1ccc(F)c(c1)c2nc(C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4)c(N)cc2F	CHEMBL3651963	pIC50=8.52
CCOc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676307	pIC50=8.52
CCOc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394166	pIC50=8.52
CC[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676281	pIC50=8.52
COC(=O)N(C)[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687456	pIC50=8.52
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3639908	pIC50=8.52
COCCOc1ccc2C(=O)\C(=C\c3n[nH]c4ncccc34)\Oc2c1C(C)N5CCNCC5	CHEMBL3735657	pIC50=8.52
COc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](O)[C@H](N)C4	CHEMBL3651943	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(F)cc4F	CHEMBL3651973	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(O)cc4F	CHEMBL3651934	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccc(F)c4F	CHEMBL3651956	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cc(O)cc4F	CHEMBL3651932	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(C)ccc4F	CHEMBL3651954	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(O)ccc4F	CHEMBL3651931	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651958	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)ccc(Cl)c4F	CHEMBL3676309	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651912	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(C)c4F	CHEMBL3651918	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651909	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651919	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676292	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3651971	pIC50=8.52
Cc1ccc(F)c(c1)c2cccc(n2)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)C[C@H](C4)C(F)(F)F	CHEMBL3652002	pIC50=8.52
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3C4C[C@@H](N)C[C@@H](N)C4	CHEMBL3651925	pIC50=8.52
Cc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4CCC[C@H](N)C4	CHEMBL3651916	pIC50=8.52
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCNC5)n4)c3c2	CHEMBL3393699	pIC50=8.52
NC1CCCN(C1)c2cncc(n2)c3ccc4[nH]cc(c5ccc(N)nc5F)c4c3	CHEMBL1910909	pIC50=8.52
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651974	pIC50=8.52
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676294	pIC50=8.52
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3747207	pKi=8.52
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4C(F)(F)F	CHEMBL3103865	pKi=8.52
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccn4	CHEMBL3103860	pKi=8.52
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccnc(N)n4	CHEMBL3103863	pKi=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3651928	pIC50=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651993	pIC50=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(O)ccc4F	CHEMBL3651929	pIC50=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccc(F)c4F	CHEMBL3651975	pIC50=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccc(O)cc4F	CHEMBL3651902	pIC50=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676289	pIC50=8.52
N[C@H]1C[C@H](CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F)C(F)(F)F	CHEMBL3676283	pIC50=8.52
Nc1cc(ccn1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3792428	pKi=8.52
Nc1sc(nc1C(=O)Nc2cnccc2N3CCC(F)CC3)c4c(F)cccc4F	CHEMBL3676286	pIC50=8.52
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3691961	pIC50=8.53
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2cc(nn2)C3CC3)c4ccncc4NC(=O)c5ccc(F)c(n5)c6c(F)cccc6F	CHEMBL3691970	pIC50=8.54
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5CCS(=O)(=O)CC5	CHEMBL3687504	pIC50=8.55
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(O)CCC6	CHEMBL3691956	pIC50=8.57
CCO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687501	pIC50=8.58
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3)c1N4CCC(N)CC4	CHEMBL3652624	pKi=8.58
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691922	pIC50=8.59
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](OC)[C@H](N)C4	CHEMBL3691920	pIC50=8.6
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691959	pIC50=8.6
COc1cc(NCC2CCNCC2)nc3c1nnn3c4cccc(c4)N(C)C	CHEMBL1952143	pIC50=8.6
COc1ccc2C(=O)\C(=C\c3n[nH]c4ncccc34)\Oc2c1C(C)N5CCNCC5	CHEMBL3735890	pIC50=8.6
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(OC6CCOCC6)cc5F	CHEMBL3691955	pIC50=8.6
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687414	pIC50=8.6
Cn1ncc(NC(=O)c2ccc(F)c(n2)c3c(F)cccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652643	pKi=8.61
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3687534	pIC50=8.62
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4ccccc4	CHEMBL3676302	pIC50=8.64
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(O)CCOCC6	CHEMBL3691944	pIC50=8.65
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC)cc4F	CHEMBL3691927	pIC50=8.66
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C(C)(C)O	CHEMBL3687507	pIC50=8.66
