CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1	parecoxib	pIC50=8.30103016	pIC50=8.30103016	pIC50=8.30103016
OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	aceclofenac
NC1=CC(O)=C(C=C1)C(O)=O	aminosalicylic acid
Nc1ccc(O)c(c1)C(=O)O	mesalazine
COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1	nabumetone
COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	naproxen	pIC50=5.6	pIC50=5.6	pIC50=5.6
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1	loxoprofen	pIC50=5.0	pIC50=5.0	pIC50=5.0
C[C@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	dexketoprofen	pIC50=7.57	pIC50=7.57	pIC50=7.57	pIC50=6.64
CC(C(O)=O)C1=CC2=C(C=C1)C1=CC(Cl)=CC=C1N2	carprofen	pIC50=7.0	pIC50=7.0	pIC50=7.0	pIC50=6.99
CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O	etodolac	pIC50=5.7	pIC50=5.7	pIC50=5.7	pIC50=6.25
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	lumiracoxib	pKi=6.49	pKi=6.49	pKi=6.49	pKi=6.5
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1	oxyphenbutazone
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N	valdecoxib	pIC50=8.3	pIC50=8.3	pIC50=8.3	pIC50=6.18
CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	tolmetin	pIC50=6.84	pIC50=6.84	pIC50=6.84
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	suprofen	pIC50=5.06	pIC50=5.06	pIC50=5.06
C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1	sulindac	pIC50=4.25	pIC50=4.25	pIC50=4.25
CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1	rofecoxib	pIC50=6.51	pIC50=6.51	pIC50=6.51	pIC50=6.12
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	piroxicam	pIC50=4.7	pIC50=4.7	pIC50=4.7
OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	oxaprozin	pIC50=4.44000006	pIC50=4.44000006	pIC50=4.44000006
Cc1cccc(Nc2ccccc2C(=O)O)c1C	mefenamic acid	pIC50=6.83	pIC50=6.83	pIC50=6.83	pIC50=6.22
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=6.7	pIC50=6.7	pIC50=6.7	pIC50=6.16
OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	ketorolac	pIC50=6.9	pIC50=6.9	pIC50=6.9	pIC50=6.37
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	ketoprofen	pIC50=6.62	pIC50=6.62	pIC50=6.62	pIC50=6.11
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3	indomethacin	pIC50=6.33	pIC50=6.33	pIC50=6.33	pIC50=6.02
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	ibuprofen	pIC50=5.14	pIC50=5.14	pIC50=5.14	pIC50=7.0
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	flurbiprofen	pIC50=8.39	pIC50=8.39	pIC50=8.39	pIC50=6.45
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	fenoprofen	pIC50=5.23	pIC50=5.23	pIC50=5.23
CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O	etoricoxib	pIC50=6.1	pIC50=6.1	pIC50=6.1	pIC50=6.09
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F	diflunisal	pIC50=5.09	pIC50=5.09	pIC50=5.09
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	diclofenac	pIC50=7.7	pIC50=7.7	pIC50=7.7	pIC50=6.2
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	celecoxib	pIC50=7.24	pIC50=7.24	pIC50=7.24	pIC50=6.0
NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=C(Br)C=C1	bromfenac	pIC50=8.4	pIC50=8.4	pIC50=8.4
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1	nepafenac	pIC50=6.82	pIC50=6.82	pIC50=6.82
CC(=O)OC1=CC=CC=C1C(O)=O	acetylsalicylic acid	pIC50=5.12	pIC50=5.12	pIC50=5.12
CC(=O)NC1=CC=C(O)C=C1	paracetamol	pIC50=4.31	pIC50=4.31	pIC50=4.31
CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1	tiaprofenic acid	pIC50=7.1	pIC50=7.1	pIC50=7.1
OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	flufenamic acid	pIC50=6.93	pIC50=6.93	pIC50=6.93	pIC50=7.7
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	fenbufen
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=CC=CC=C2S1(=O)=O	meloxicam	pIC50=6.8	pIC50=6.8	pIC50=6.8	pIC50=6.03
OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
O[Bi]1OC(=O)C2=CC=CC=C2O1	bismuth subsalicylate
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O	acemetacin
OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1	felbinac
OCC(O)COC(=O)C1=C(NC2=CC=NC3=C(C=CC=C23)C(F)(F)F)C=CC=C1	floctafenine	pIC50=5.9586072	pIC50=5.9586072	pIC50=5.9586072
CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	piketoprofen
CC(C)OC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)c3ccc(F)cc3	CHEMBL18089	pIC50=6.1
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)C(=O)c3ccccc3	CHEMBL325370	pIC50=6.1
CCCCC#CCSc1ccccc1OC(=O)C	CHEMBL345018	pIC50=6.1
COC(=O)c1[nH]c2cc(ccc2c1Sc3ccc(F)cc3)S(=O)(=O)C	CHEMBL184039	pIC50=6.1
COc1ccc(cc1)c2cnsc2c3ccc(OC)cc3	CHEMBL473946	pIC50=6.1
COc1ccccc1c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL45139	pIC50=6.1
CS(=O)(=O)c1ccc(cc1)c2cc(cnc2N3CCCC(CO)C3)C(F)(F)F	CHEMBL49394	pIC50=6.1
C\C\1=C/CC[C@@]2(C)O[C@H]2[C@H]3OC(=O)C(=C)[C@@H]3CC1	CHEMBL540445	pIC50=6.1
Cc1ccc(cc1)N2C(=O)OC=C2c3ccc(cc3)S(=O)(=O)N	CHEMBL70588	pIC50=6.1
Cc1ccccc1c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL44466	pIC50=6.1
NS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccc(F)cc3	CHEMBL431546	pIC50=6.1
NS(=O)(=O)c1ccc(cc1)c2nc(NCC3CCCCC3)cc(n2)C(F)(F)F	CHEMBL408897	pIC50=6.1
CC(C(=O)OCCO[N+](=O)[O-])c1cccc(c1)C(=O)c2ccccc2	CHEMBL444396	pIC50=6.11
COc1ccc(cc1Cl)N2C(=O)OC=C2c3ccc(cc3)S(=O)(=O)N	CHEMBL72515	pIC50=6.11
Cc1[nH]c2cc(ccc2c1Sc3ccc(F)cc3F)S(=O)(=O)C	CHEMBL363767	pIC50=6.11
Cc1cc(c2ccc(NS(=O)(=O)C)cc2)n(n1)c3ccc(Br)cc3	CHEMBL45331	pIC50=6.11
COc1ccc(cc1)c2cc(nn2c3ccc(Cl)cc3)C(F)(F)F	CHEMBL30011	pIC50=6.12
COc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C(F)(F)F	CHEMBL29204	pIC50=6.12
CS(=O)(=O)Nc1ccc(cc1)c2cc(nn2c3ccc(F)cc3)C(F)(F)F	CHEMBL442548	pIC50=6.12
CS(=O)(=O)c1ccc(cc1)C2=C(CCC2)c3ccc(c(F)c3)C(F)(F)F	CHEMBL323732	pIC50=6.12
Cc1c(cc(c2ccc(cc2)S(=O)(=O)C)n1c3ccc(F)cc3)C#N	CHEMBL43366	pIC50=6.12
Cc1ccc(cc1)c2cc(nn2c3ccc(c(CO)c3)S(=O)(=O)N)C(F)(F)F	CHEMBL357543	pIC50=6.12
NS(=O)(=O)c1ccc(cc1)c2cc(Cl)cc3C=C(C(Oc23)C(F)(F)F)C(=O)O	CHEMBL1290433	pIC50=6.12
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1cccc(c1)C(=O)c2ccccc2	CHEMBL497859	pIC50=6.13
NS(=O)(=O)c1ccc(cc1)\N=C\c2ccc(O)c(c2)C(=O)O	CHEMBL405744	pIC50=6.13
OC(=O)c1cccc(Nc2ccc(cc2)[N+](=O)[O-])c1	CHEMBL1682200	pIC50=6.13
CC(C(=O)O)c1ccc(cc1)c2cccc(C=C)c2	CHEMBL432782	pIC50=6.14
CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O	CHEMBL175	pIC50=6.14
CC(C)c1ccc(cc1)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917098	pIC50=6.14
CC(COC(=O)C(C)c1cccc(c1)C(=O)c2ccccc2)O[N+](=O)[O-]	CHEMBL497858	pIC50=6.14
CCCCCCNC(=O)Oc1cccc(c1)c2ccc(cc2Cl)C(C)C(=O)O	CHEMBL3774941	pIC50=6.14
CCCCCNc1cc(nc(n1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F	CHEMBL257491	pIC50=6.14
COc1c(C)cc(cc1C)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL43331	pIC50=6.14
CS(=O)(=O)Nc1ccncc1Nc2cccc(Cl)c2	CHEMBL1078090	pIC50=6.14
CS(=O)(=O)c1ccc(cc1)c2cnc(Cc3ccccc3)[n+]([O-])c2c4ccc(F)cc4	CHEMBL560013	pIC50=6.14
Cc1ccc(nc1)c2nc(cn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL327078	pIC50=6.14
Cc1cccc(c1)c2cc(nn2c3ccc(c(CO)c3)S(=O)(=O)N)C(F)(F)F	CHEMBL342770	pIC50=6.14
NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3ccnc(Cl)c3)C(F)(F)F	CHEMBL507398	pIC50=6.14
OC(=O)C1=Cc2cc(C=O)ccc2OC1C(F)(F)F	CHEMBL1288469	pIC50=6.14
CN(C)c1ccc(cc1)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL42996	pIC50=6.15
Fc1ccc(cc1)\N=C\c2cn(Cc3ccccc3)c4ccccc24	CHEMBL1957880	pIC50=6.15
NS(=O)(=O)c1ccc(cc1CO)n2nc(cc2c3ccc(Cl)cc3)C(F)(F)F	CHEMBL148428	pIC50=6.15
CC(C)(O)CSc1ncc(cc1c2ccc(cc2)S(=O)(=O)C)C(F)(F)F	CHEMBL300710	pIC50=6.16
CC(C1CC1)N2N=CC(=C(C2=O)c3ccc(F)cc3)c4ccc(cc4)S(=O)(=O)C	CHEMBL155247	pIC50=6.16
CC1(C)CC1CN2N=CC(=C(C2=O)c3ccc(F)cc3)c4ccc(cc4)S(=O)(=O)C	CHEMBL154480	pIC50=6.16
CC1(CN2N=CC(=C(C2=O)c3ccc(F)cc3)c4ccc(cc4)S(=O)(=O)C)CC1	CHEMBL154253	pIC50=6.16
CC1=NN(C(=O)/C/1=C\c2cn(CCCOc3cc(O)c4C(=O)C=C(Oc4c3)c5ccccc5)c6ccccc26)c7cccc(Cl)c7	CHEMBL3100129	pIC50=6.16
CCCCCCNC(=O)Oc1cccc(c1)c2ccc(cc2)C(C)C(=O)O	CHEMBL3774686	pIC50=6.16
CCc1ccc(cc1)N2C(=O)OC=C2c3ccc(cc3)S(=O)(=O)C	CHEMBL306716	pIC50=6.16
CCn1nccc1NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c4ccc(OC)cc24	CHEMBL317321	pIC50=6.16
CNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c3ccc(OC)cc13	CHEMBL318495	pIC50=6.16
COc1ccc(O)c(O)c1\C=C\2/[C@@H](C)CC[C@H]3C(C)(C)CCC[C@]23C	CHEMBL456619	pIC50=6.16
COc1ccc2c(c1)c(CC(=O)N)c(C)n2C(=O)c3ccc(Cl)cc3	CHEMBL95921	pIC50=6.16
COc1ccc2c(c1)c(CC(=O)NOCCCO)c(C)n2C(=O)c3ccc(Cl)cc3	CHEMBL393127	pIC50=6.16
CS(=O)(=O)Nc1ccc(cc1Oc2ccccc2)[N+](=O)[O-]	CHEMBL56367	pIC50=6.16
CS(=O)(=O)c1ccc(cc1)c2c(Br)sc(Br)c2c3ccc(F)cc3	CHEMBL319072	pIC50=6.16
CS(=O)(=O)c1ccc(cc1)c2cnc(NCc3ccccc3)nc2c4ccc(F)cc4	CHEMBL562768	pIC50=6.16
C[C@@H]1[C@@H](C)C1CN2N=CC(=C(C2=O)c3ccc(F)cc3)c4ccc(cc4)S(=O)(=O)C	CHEMBL440001	pIC50=6.16
NS(=O)(=O)c1ccc(cc1)n2nc(CCCNC(=O)Nc3cccc(c3)C(F)(F)F)cc2c4ccccc4	CHEMBL1766299	pIC50=6.16
NS(=O)(=O)c1ccc(cc1)n2nc(cc2C3=CC(=O)N(C=C3)C(F)F)C(F)(F)F	CHEMBL516680	pIC50=6.16
CC(C)Cc1ccc(cc1)C(C)C(=O)OCCN2c3ccccc3C(=O)c4ccccc24	CHEMBL2315014	pIC50=6.17
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3cccc4cnccc34	CHEMBL323267	pIC50=6.17
CC1=CC(=O)C(=C(O1)c2ccc(cc2)S(=O)(=O)C)c3ccc(Cl)c(Cl)c3	CHEMBL127190	pIC50=6.17
COc1cc(OC(F)(F)F)cc2C=C(C(Oc12)C(F)(F)F)C(=O)O	CHEMBL1290683	pIC50=6.17
COc1ccc(cc1Cl)c2ccccc2c3oc4ccccc4n3	CHEMBL3287567	pIC50=6.17
COc1ccc2c(c1)c(CC(=O)OCCN3CCOCC3)c(C)n2C(=O)c4ccc(Cl)cc4	CHEMBL97040	pIC50=6.17
CSc1ccc(cc1)C2=C3c4cc(C)ccc4CCC3(O)OC2=O	CHEMBL288423	pIC50=6.17
C[S+]([O-])c1ccc(cc1)C2=C(Oc3ccc(Cl)cc3F)C(=O)C=C(C)O2	CHEMBL210897	pIC50=6.17
C\C=C\c1cncc(c1)c2ccc(cc2)C(C)C(=O)O	CHEMBL104336	pIC50=6.17
NS(=O)(=O)c1ccc(cc1)c2sccc2c3ccc(F)cc3	CHEMBL67447	pIC50=6.17
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ccc4ccccc4n3	CHEMBL321597	pIC50=6.18
CNc1ccc(cc1Cl)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL416250	pIC50=6.18
COc1ccc(C2=Cc3ccccc3CC2)c(OC)c1OC	CHEMBL229245	pIC50=6.18
CS(=O)(=O)c1ccc(cc1)C2=COC(=O)N2c3ccccc3F	CHEMBL70158	pIC50=6.18
Cc1[nH]c2cc(ccc2c1C(=O)c3ccc(F)cc3)S(=O)(=O)C	CHEMBL361055	pIC50=6.18
Cc1ccc2CCC3OC(=O)C(=C3c2c1)c4ccc(cc4)S(=O)(=O)C	CHEMBL289447	pIC50=6.18
NS(=O)(=O)c1ccc(cc1)n2nc(nc2c3ccccc3)C(=O)NC4CCCCC4	CHEMBL3290204	pIC50=6.18
CC1(O)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)c3cc4ccccc4s3	CHEMBL277519	pIC50=6.19
CCOc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL283388	pIC50=6.19
CCOc1cccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c4ccc(OC)cc24)c1	CHEMBL319766	pIC50=6.19
CN(C)\C=N\S(=O)(=O)c1ccc(cc1)n2cc(\C=N/N=C/3\SCC(=O)N3c4ccc(Cl)cc4)c(n2)c5ccccc5	CHEMBL467837	pIC50=6.19
CS(=O)(=O)c1ccc(cc1)C2=C(C#Cc3ccccc3)C(=O)CC2	CHEMBL278336	pIC50=6.19
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3cccnc3	CHEMBL24429	pIC50=6.19
Cc1c(CCOCCO[N+](=O)[O-])cc(c2ccc(cc2)S(=O)(=O)C)n1c3ccc(F)cc3	CHEMBL2337402	pIC50=6.19
Cc1ccc(cc1)n2nc(c3CCCCCc23)c4ccc(Cl)cc4	CHEMBL157886	pIC50=6.19
OC(=O)c1cn2ccccc2n1	CHEMBL2324850	pKd=6.19
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl	CHEMBL496	pIC50=6.19
CC(=C(c1ccccc1)c2ccccc2)c3ccc(cc3)S(=O)(=O)C	CHEMBL2283150	pIC50=6.2
CONS(=O)(=O)CCOC(=O)C(C)c1ccc(CC(C)C)cc1	CHEMBL1689434	pIC50=6.2
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3cc(Br)ccn3	CHEMBL282242	pIC50=6.2
CS(=O)(=O)c1ccc(cc1)c2nc(NCc3ccc(O)cc3)cc(n2)C(F)(F)F	CHEMBL257300	pIC50=6.2
CS(=O)(=O)c1ccc(cc1)n2cc(nc2c3cnc4ccccc4c3)C(F)(F)F	CHEMBL110446	pIC50=6.2
C[C@]1(CO)Oc2ccc(O)cc2C=C1	CHEMBL232615	pIC50=6.2
OC(=O)Cc1ccccc1Nc2c(F)cccc2C(F)(F)F	CHEMBL408156	pIC50=6.2
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3cc(F)cc(F)c3	CHEMBL24009	pIC50=6.21
CS(=O)(=O)c1ccc(cc1)n2cc(nc2c3ccc(Cl)cc3)C(F)F	CHEMBL46636	pIC50=6.21
Clc1ccc(cc1)c2nn(c3CCCCc23)c4ccccc4	CHEMBL156256	pIC50=6.21
Clc1ccc2oc(nc2c1)N3CCC(CC3)C(=O)N[C@H]4CCC[C@H]4OCc5ccccc5	CHEMBL2315855	pIC50=6.21
FC(F)(F)S(=O)(=O)Nc1ccncc1Oc2ccccc2	CHEMBL147165	pIC50=6.21
CC(C)c1oc(c2ccc(c(F)c2)S(=O)(=O)N)c(n1)C3CCCCC3	CHEMBL36815	pIC50=6.22
CCOC(=O)c1nc(c2ccc(F)cc2)c(s1)c3ccc(cc3)S(=O)(=O)C	CHEMBL279133	pIC50=6.22
CCOc1cnc(cc1CC)C(=O)c2[nH]c3cc(Cl)ccc3c2CC(=O)O	CHEMBL1950021	pIC50=6.22
COC(=O)\C\1=C\CC[C@@]2(C)O[C@@H]2[C@H]3OC(=O)C(=C)[C@@H]3[C@H](OC(=O)[C@@]4(C)O[C@H]4C)[C@H]1OC(=O)C	CHEMBL206765	pIC50=6.22
COc1ccc(cc1OC)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL282360	pIC50=6.22
COc1ccc2c(c1)c(CC(=O)Nc3cc(C)c(cc3OC)C(=O)Nc4ccccc4)c(C)n2C(=O)c5ccc(Cl)cc5	CHEMBL97219	pIC50=6.22
COc1ccc2c(c1)c(CC(=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-])c(C)n2C(=O)c3ccc(Cl)cc3	CHEMBL466447	pIC50=6.22
CS(=O)(=O)Nc1cc2COC(=O)c2cc1Sc3nccs3	CHEMBL287909	pIC50=6.22
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(Cc3nccs3)N=C2)c4ccc(F)cc4	CHEMBL157720	pIC50=6.22
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccc(F)cc3	CHEMBL51434	pIC50=6.22
CS(=O)(=O)c1ccc(cc1)C2=C(C=N[Se]2)c3ccc(F)cc3	CHEMBL452744	pIC50=6.22
CS(=O)(=O)c1ccc(cc1)c2cccnc2c3cccnc3	CHEMBL329419	pIC50=6.22
FC(F)(F)c1ccc(cc1)S(=O)(=O)OCCN2c3ccccc3C(=O)c4ccccc24	CHEMBL2315017	pIC50=6.23
NS(=O)(=O)c1ccc(cc1CO)n2nc(cc2c3ccc(Br)cc3)C(F)(F)F	CHEMBL147607	pIC50=6.23
C1CCc2c(C1)c(nn2c3ccccc3)c4ccccc4	CHEMBL433892	pIC50=6.24
CCC(=O)OCc1cc(ccc1S(=O)(=O)N)n2nc(cc2c3ccc(C)cc3)C(F)(F)F	CHEMBL2112872	pIC50=6.24
CONC1=NC(=O)\C(=C\c2cc(C(C)C)c(O)c(c2)C(C)C)\S1	CHEMBL276506	pIC50=6.24
COc1ccc(cc1)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL264300	pIC50=6.24
CS(=O)(=O)c1ccc(cc1)n2cc(nc2c3cccc(c3)[N+](=O)[O-])C(F)(F)F	CHEMBL42549	pIC50=6.24
CS(=O)(=O)c1ccc2c(Sc3ccccc3Cl)c(C#N)[nH]c2c1	CHEMBL183294	pIC50=6.24
C[S+]([O-])c1ccc(cc1)C2=C(Oc3ccc(Br)cc3F)C(=O)C=C(C)O2	CHEMBL212463	pIC50=6.24
N(c1ccccc1)c2ccc(Nc3ccccc3)cc2	CHEMBL1333512	pIC50=6.24
CCCCCCNC(=O)Nc1cccc(c1)c2ccc(cc2F)C(C)C(=O)O	CHEMBL3775653	pIC50=6.25
CS(=O)(=O)c1ccc(cc1)C2=C3C(CCc4ccccc34)OC2=O	CHEMBL44141	pIC50=6.25
NS(=O)(=O)c1ccc(cc1)N2N=C(CC2c3ccc(cc3)C(F)(F)F)c4occc4	CHEMBL3747206	pIC50=6.25
CC(=O)Nc1ccc(cc1)c2cc(C)nn2c3ccc(Br)cc3	CHEMBL47447	pIC50=6.26
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)NC3CC3	CHEMBL119170	pIC50=6.26
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3cnccn3	CHEMBL320273	pIC50=6.26
CC1(O)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(F)c3	CHEMBL416363	pIC50=6.26
C[Se](=O)(=O)c1ccc(cc1)c2ccsc2c3ccc(F)cc3	CHEMBL69053	pIC50=6.26
Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1C	CHEMBL3113231	pIC50=6.26
Cc1nn(c2ccccc2)c3c4cc(ccc4nc(O)c13)[N+](=O)[O-]	CHEMBL345108	pIC50=6.26
CS(=O)(=O)c1ccc(cc1)c2nc(sc2c3ccc(F)cc3)c4ccccc4	CHEMBL280496	pIC50=6.27
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c4ccccc24	CHEMBL3576976	pIC50=6.27
N1c2ccccc2Sc3ccccc13	CHEMBL828	pIC50=6.27
NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3cccc(Cl)c3)C(=O)N\N=C\C4=C(Cl)c5ccccc5OC4=O	CHEMBL3823208	pIC50=6.27
Oc1c(Cl)cc(Cl)cc1C(=O)Nc2ccc(Cl)c(Cl)c2	CHEMBL291338	pIC50=6.27
CC(C)Cc1ccc(cc1)[C@H](CF)C(=O)O	CHEMBL1945285	pIC50=6.28
CC(Nc1cc(nc(n1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)c3ccccc3	CHEMBL271312	pIC50=6.28
CC1(C)C(O)C(=C1c2ccc(cc2)S(=O)(=O)C)c3ccccc3	CHEMBL328521	pIC50=6.28
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3cccnc3	CHEMBL110514	pIC50=6.28
CN(C)c1ccc(cc1)n2nc(cc2c3ccc(NS(=O)(=O)C)cc3)C(F)(F)F	CHEMBL418516	pIC50=6.28
COc1c(O)c(c(OC)c2ccoc12)c3cc(nn3c4ccc(cc4)S(=O)(=O)N)C(F)(F)F	CHEMBL3127309	pIC50=6.28
CS(=O)(=O)Nc1cc2CCC(=O)c2cc1Sc3ncccc3Cl	CHEMBL41739	pIC50=6.28
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3cc(Cl)ccn3	CHEMBL428710	pIC50=6.28
CS(=O)(=O)c1ccc(cc1)c2nc(SCc3ccccc3)cc(n2)C(F)(F)F	CHEMBL270723	pIC50=6.28
CS(=O)(=O)c1ccc(cc1)c2nn(CCc3ccccc3)cc2c4ccc(F)cc4	CHEMBL67519	pIC50=6.28
CS(=O)(=O)c1ccc(cc1)c2sc(CCCc3ccccc3)nc2c4ccc(F)cc4	CHEMBL16797	pIC50=6.28
Cc1ccc(c2ccc(cc2)S(=O)(=O)C)n1C3CCC(F)CC3	CHEMBL320998	pIC50=6.28
Cc1ccc(c2ccc(cc2)S(=O)(=O)C)n1C3CCCCC3	CHEMBL43864	pIC50=6.28
Cc1ccc(cc1)S(=O)(=O)N2N=C(CC2c3ccc4OCOc4c3)C(F)(F)F	CHEMBL3309830	pIC50=6.28
Cc1ccnc(c1)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL321216	pIC50=6.28
Cc1ccsc1CNc2cc(nc(n2)c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL403099	pIC50=6.28
Cc1nc(cs1)c2nc(cn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL109143	pIC50=6.28
Clc1ccc(NNC(=O)c2ccccc2)cc1	CHEMBL347267	pIC50=6.28
FC(F)(F)S(=O)(=O)Nc1ccncc1Sc2ccccc2	CHEMBL224612	pIC50=6.28
OC(=O)C1=Cc2c(OC1C(F)(F)F)ccc(Cl)c2Oc3ccccc3	CHEMBL1630223	pIC50=6.28
CC1=C(N(C(=O)O1)c2ccc(F)cc2)c3ccc(cc3)S(=O)(=O)N	CHEMBL71372	pIC50=6.29
CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ncc(C)s3	CHEMBL367739	pIC50=6.29
CS(=O)(=O)c1ccc(cc1)C2=COC(=O)N2c3ccc(F)cc3	CHEMBL302771	pIC50=6.29
CS(=O)(=O)c1ccc(cc1)n2cccc2c3ccc(F)cc3	CHEMBL43957	pIC50=6.29
