CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=6.21	pKd=6.21	pKd=6.21
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=7.03	pKd=7.03	pKd=7.03
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(F)c(N)n4	CHEMBL3690515	pIC50=7.53
COc1cc(ncn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690535	pIC50=8.38
Cc1cnnc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690495	pIC50=8.38
Nc1nc(ncc1OCCO)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694706	pIC50=8.38
Cc1nccc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690424	pIC50=8.39
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nnc(s4)C(F)(F)F	CHEMBL3690382	pIC50=8.4
NC\C=C\C(=N)c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690374	pIC50=8.4
COc1cnc(nc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690525	pIC50=8.41
Nc1nc(ncc1C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690530	pIC50=8.41
CC(O)c1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694670	pIC50=8.42
CC(F)(F)c1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694685	pIC50=8.43
CN1CCN(CC1)c2ncc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690442	pIC50=8.43
CN1N=C(C=CC1=O)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690425	pIC50=8.43
Cc1nc(ccc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690524	pIC50=8.43
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(OCC6(C)COC6)cc5[nH]4)c3N	CHEMBL3676325	pIC50=8.43
Cn1c(CO)cnc1C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694714	pIC50=8.43
Fc1ccnc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690466	pIC50=8.43
Cc1cc(nnc1Cl)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690493	pIC50=8.45
Cc1cc(C)nc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690503	pIC50=8.46
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(CN6CCOCC6)cc5[nH]4)c3N	CHEMBL3681278	pIC50=8.46
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(Cl)nn4	CHEMBL3639892	pIC50=8.46
Nc1cc(nc(n1)C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690560	pIC50=8.46
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cc(ncn4)C(F)(F)F	CHEMBL3690576	pIC50=8.47
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncns4	CHEMBL3647352	pIC50=8.48
Fc1ccc(cc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647337	pIC50=8.48
CN(C)S(=O)(=O)n1ccnc1c2ccnc(n2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690565	pIC50=8.5
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5cc(ccc5[nH]4)C(=O)N6CCCC(F)(F)C6)c3N	CHEMBL3676320	pIC50=8.51
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O	CHEMBL522892	pIC50=8.52
CNC(=O)c1ccnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690569	pIC50=8.52
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccncn4	CHEMBL3690398	pIC50=8.52
Nc1nc(ncc1C#N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690517	pIC50=8.52
CN(C(=O)OC(C)(C)C)c1ncc(cc1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690504	pIC50=8.54
CC(C)(O)c1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694651	pIC50=8.55
CC(C)c1nc(C)cc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690575	pIC50=8.55
CCN(CC)CCNC(=O)C(C)(C)\N=C\C(C=N)c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690431	pIC50=8.55
COc1cccc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690464	pIC50=8.55
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cccnc4	CHEMBL3690441	pIC50=8.55
OCCN1N=C(C=CC1=O)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690488	pIC50=8.57
OCCc1cccc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690470	pIC50=8.57
Cc1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647351	pIC50=8.59
Cc1cccc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690461	pIC50=8.59
Nc1nc(ncc1C(=O)O)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694669	pIC50=8.59
Nc1cc(ncc1C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690582	pIC50=8.6
CNc1ncc(cc1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690513	pIC50=8.61
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C4=NNC(=O)C=C4	CHEMBL3690415	pIC50=8.61
CN(C)CCCOc1ccc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690500	pIC50=8.62
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(OC5CCNCC5)nn4	CHEMBL3690489	pIC50=8.64
NC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(F)cc4	CHEMBL3690507	pIC50=8.64
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(nc4)N5CCCCC5	CHEMBL3690413	pIC50=8.65
Nc1nc(ncc1CN2CCC2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3694653	pIC50=8.65
CC(=O)c1cnc(nc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694698	pIC50=8.66
Cc1cn(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647350	pIC50=8.66
Cc1nc2cc(ccc2s1)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690568	pIC50=8.68
CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2.OP(=O)(O)O	CHEMBL1834657	pIC50=8.7
CN(C)Cc1cnc(nc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694654	pIC50=8.7
C[C@@H](Oc1ccc2[nH]nc(c3nc4cc(ccc4[nH]3)N5CCN(C)CC5)c2c1)c6c(Cl)cncc6Cl	CHEMBL3827178	pIC50=8.7
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nncs4	CHEMBL3647344	pIC50=8.72
CC(C)(O)c1cccc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694709	pIC50=8.75
COc1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690414	pIC50=8.76
Fc1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690459	pIC50=8.76
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(OC5CCCNC5)nn4	CHEMBL3690490	pIC50=8.78
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(nn4)C#N	CHEMBL3694650	pIC50=8.78
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(cc5[nH]4)N6CCOCC6)c3N	CHEMBL3681284	pIC50=8.8
NCCn1cc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647353	pIC50=8.8
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccncc4	CHEMBL3690446	pIC50=8.81
Cc1nc(N)cc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690558	pIC50=8.82
CC(C)(\N=C\C(C=N)c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3)C(=O)N	CHEMBL3690435	pIC50=8.84
Nc1cccc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690469	pIC50=8.86
CC(C)(C)OC(=O)N1CCCC(C1)n2cc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690403	pIC50=8.89
CSc1nc(N)cc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690555	pIC50=8.89
Cc1ccnc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690460	pIC50=8.89
Nc1ccnc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690471	pIC50=8.89
Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cc(F)cc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694696	pIC50=8.89
CC(C)(C)OC(=O)N1CCc2nc(sc2C1)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690417	pIC50=8.9
CNC(=O)C(C)(C)\N=C\C(C=N)c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690432	pIC50=8.9
Cc1nc(c(C)n1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647349	pIC50=8.91
CC(=O)N1CCN(Cc2ccc3cc([nH]c3c2)C(=O)c4cnn(c4N)c5ccc6[nH]c(C)nc6c5)CC1	CHEMBL3681290	pIC50=8.92
Cc1cn2nc(sc2n1)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690574	pIC50=8.92
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccccn4	CHEMBL3686062	pIC50=8.92
FC(F)(F)CNC(=O)Nc1cncc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CNC5	CHEMBL3690485	pIC50=8.92
CC(C)(C(=O)O)n1cc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3686064	pIC50=8.94
CC(C)(C(=O)NC1CC1)n2cc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690434	pIC50=8.96
CN1CCN(CC1)c2ccc(nn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690377	pIC50=8.96
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nc5CCCc5s4	CHEMBL3690373	pIC50=8.96
NC(=O)c1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690557	pIC50=8.96
CN1CC(C1)n2cc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690405	pIC50=8.98
CNc1cc(nc(SC)n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690567	pIC50=9.0
COCc1cc(nc(N)n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694722	pIC50=9.0
COc1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690554	pIC50=9.0
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nnc(Nc5cccnc5)s4	CHEMBL3694681	pIC50=9.0
OCCc1nnc(s1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694656	pIC50=9.0
CC(C)Oc1cc(NC(=O)NCC(F)(F)F)cc(c1)c2cnc3cc(ccn23)c4nn5cc(C)nc5s4	CHEMBL3694645	pIC50=9.02
FC(F)(F)CNC(=O)Nc1cncc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CCNCC5	CHEMBL3690506	pIC50=9.03
OCc1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690455	pIC50=9.03
COCCNc1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690443	pIC50=9.05
OCCc1ccc(cc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690474	pIC50=9.05
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(c(N)n4)C(F)(F)F	CHEMBL3690583	pIC50=9.06
CCOC(=O)C(C)(C)n1cc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3686061	pIC50=9.07
CC(C)c1cnc(N)nc1c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690590	pIC50=9.08
Cc1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690454	pIC50=9.08
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nnc(s4)C5CCCO5	CHEMBL3686060	pIC50=9.08
CN(C)C1CCN(CC1)c2ccc(nn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690400	pIC50=9.09
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CNC5	CHEMBL3690401	pIC50=9.09
Cc1c(nnn1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647343	pIC50=9.1
Nc1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690486	pIC50=9.1
Cc1nnc(s1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647338	pIC50=9.11
CN(C)C(=O)C(C)(C)\N=C\C(C=N)c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690433	pIC50=9.13
CN1CCC(CC1)Nc2ccc(nn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690439	pIC50=9.14
CNc1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690491	pIC50=9.15
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(nn4)N5CCC5	CHEMBL3690445	pIC50=9.15
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nnc(CCN5CCCCC5)s4	CHEMBL3690387	pIC50=9.15
OCCc1ccc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690484	pIC50=9.15
OCCn1cc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647347	pIC50=9.15
COc1cc(OC)cc(c1)C#Cc2cn(C3CN(C3)C(=O)\C=C\CN(C)C)c4ncnc(N)c24	CHEMBL3701267	pIC50=9.16
COc1cc(OC)cc(c1)C#Cc2cn(C3CN(C3)C(=O)\C=C\CN4CC[C@H](O)C4)c5ncnc(N)c25	CHEMBL3701274	pIC50=9.16
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nc5CCNCc5s4	CHEMBL3690416	pIC50=9.17
COCCc1nnc(s1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694708	pIC50=9.19
N\C(=C/CC(=N)N1CCOCC1)\c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690380	pIC50=9.19
CC(C)N1CC(C1)\N=C\C(C=N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690397	pIC50=9.21
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CCCNC5	CHEMBL3690404	pIC50=9.21
CN(C)c1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690475	pIC50=9.22
CN1CCCC(C1)\N=C\C(C=N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690402	pIC50=9.22
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CCNC5	CHEMBL3690409	pIC50=9.22
CCN1CCC(C1)\N=C\C(C=N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690408	pIC50=9.24
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CCNCC5	CHEMBL3686063	pIC50=9.24
CC(=O)N1CCN(CC1)c2ccc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690501	pIC50=9.25
OCCNc1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690430	pIC50=9.25
CN1CCC(CC1)n2cc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3686065	pIC50=9.26
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(nn4)N5CCCCC5	CHEMBL3686066	pIC50=9.26
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnn(c4)C5CCOC5	CHEMBL3690411	pIC50=9.27
NC1CCN(CC1)c2ccc(nn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690438	pIC50=9.27
Nc1nnc(s1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3639935	pIC50=9.27
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(nn4)N5CCNC(=O)C5	CHEMBL3690458	pIC50=9.28
COc1cc(OC)cc(c1)C#Cc2cn([C@H]3CCN(C3)C(=O)C#CC(C)(C)O)c4ncnc(N)c24	CHEMBL3701262	pIC50=9.3
COc1cc(OC)cc(c1)C#Cc2nn([C@H]3CCN(C3)C(=O)C=C)c4ncnc(N)c24	CHEMBL3701238	pIC50=9.3
Cn1cnc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647342	pIC50=9.31
OC1CCCN(C1)c2ccc(nn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690492	pIC50=9.32
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nccc(n4)n5ccnc5	CHEMBL3690562	pIC50=9.34
CC(C)(CO)Nc1ccc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690444	pIC50=9.35
COc1cc(OC)cc(c1)C#Cc2nn(C3CN(C3)C(=O)C=C)c4ncnc(N)c24	CHEMBL3701241	pIC50=9.52
COc1cc(OC)cc(c1)C#Cc2nn([C@H]3CCN(C3)C(=O)C#C)c4ncnc(N)c24	CHEMBL3701239	pIC50=9.7
COc1cc(OC)cc(c1)C#CC2=CN(C3CN(C3)C(=O)C=C)C4N=CN=C(N)C24	CHEMBL3701266	pIC50=10.0
