NC(N)=N	guanidine
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	sotalol	pKi=4.0	pKi=4.0	pKi=4.0
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3	amiodarone	pIC50=5.0	pIC50=5.0	pIC50=5.0	pIC50=5.0
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	dofetilide	pKi=8.19	pKi=8.19	pKi=8.19	pIC50=7.31
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
COC(=O)N(Cc1ccc2OCC(=O)Nc2n1)C34CCC(CCc5c(F)cnc6ccc(OC)nc56)(CC3)OC4	CHEMBL3604804	pIC50=5.22
COC(=O)c1c(C)noc1c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2	CHEMBL1822865	pIC50=5.22
CO[C@@H](Cc1c(F)cnc2ccc(OC)nc12)C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5	CHEMBL3752587	pIC50=5.22
COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4(C)CCc5ccccc5N(CC(F)(F)F)C4=O	CHEMBL3608322	pIC50=5.22
COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCCN(C)CC4	CHEMBL2409398	pIC50=5.22
COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC	CHEMBL184014	pIC50=5.22
COc1ccc2SCC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1	CHEMBL1916536	pIC50=5.22
COc1ccc2ncc(F)c(CC(C)(O)C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1	CHEMBL3753613	pIC50=5.22
COc1ccc2ncc(F)c(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1	CHEMBL1927162	pIC50=5.22
CSc1ncc(s1)[C@@]2(O)CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F	CHEMBL2204267	pIC50=5.22
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(Cl)n(C)nc4c5ccccc5	CHEMBL1085397	pIC50=5.22
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccnc5	CHEMBL1082606	pIC50=5.22
C[C@H]1CCCN1CCCOc2ccc(cc2)N3C(=Nc4ccccc4C3=O)C	CHEMBL477360	pIC50=5.22
Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4cccc(F)c4n5nccn5	CHEMBL3586433	pIC50=5.22
Cc1cccc(c1C)c2noc([C@H]3CNCC[C@]3(O)c4ccc(F)c(F)c4)c2Br	CHEMBL2017098	pKi=5.22
Cc1nc2ccccc2n1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C(C)(C)CO)c6ccccc6	CHEMBL1784471	pIC50=5.22
Cc1ncc(OC[C@]2(C[C@H]2C(=O)Nc3ccc(F)cn3)c4cccc(F)c4)c(C)n1	CHEMBL3545367	pIC50=5.22
Clc1ccc(cc1Cl)C2CCCCNC2	CHEMBL2326692	pIC50=5.22
FC(F)(F)CN1C(=O)[C@H](NC(=O)Cc2ccc(cc2C(F)(F)F)C(F)(F)F)N=C(c3ccccc3)c4ccccc14	CHEMBL16900	pIC50=5.22
FC(F)(F)c1ccccc1c2noc(n2)C3CCN(CC3)C(=O)NC4CC4c5ccccc5	CHEMBL561788	pIC50=5.22
Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5[nH]ccc5c4)CC3	CHEMBL216180	pIC50=5.22
Fc1ccc2c(noc2c1)C3CCN(CCCOc4ccc(Cc5oc6ccccc6n5)cc4)CC3	CHEMBL3634821	pIC50=5.22
NC1CCN(CC1)c2nc(N)nc3cc(sc23)c4ccc(cc4)C(F)(F)F	CHEMBL3617456	pIC50=5.22
N[C@@H]([C@@H]1CC[C@H](CC1)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3CC[C@@H](F)C3	CHEMBL281561	pKi=5.22
N[C@H]1CN(C[C@@H]1c2cc(F)c(F)cc2F)c3ccc(cn3)N4C=CC(=CC4=O)OCc5ccccc5	CHEMBL2011534	pIC50=5.22
O=C(NC1CCc2ccccc2C1)N3CCC(CC3)c4onc(n4)c5ccccn5	CHEMBL550242	pIC50=5.22
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45	CHEMBL2368925	pIC50=5.22
O=C1NN=C([C@@H]2C[C@H]12)c3ccc(OC4CCN(CC4)C5CCC5)cc3	CHEMBL3121096	pIC50=5.22
OC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N	CHEMBL523305	pIC50=5.22
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCc4scnc34)cc2)N1)c5cccnc5	CHEMBL3128178	pIC50=5.22
Oc1cc(O)c2CC(OC(=O)c3cc(O)c(O)c(O)c3)C(Oc2c1)c4cc(O)c(O)c(O)c4	CHEMBL311663	pIC50=5.22
CC(C)(C)Cc1c[nH]c(n1)C(C)(O)Cc2ccc(cc2)c3ccc(F)cn3	CHEMBL1672351	pKi=5.23
CC(C)N(CCc1c[nH]c2ccccc12)Cc3ccc(\C=C\C(=O)NO)cc3	CHEMBL142992	pIC50=5.23
CCCC1(CCCN1)C(=O)c2cc(F)c3[nH]ccc3c2	CHEMBL1224165	pIC50=5.23
CCCOc1ccccc1CC(N2CCNCC2)c3ccccc3	CHEMBL213754	pIC50=5.23
CCN(CC)CCOCCC1=CCC2CC1C2(C)C	CHEMBL1630579	pIC50=5.23
CCN(CCc1c[nH]c2ccccc12)Cc3ccc(\C=C\C(=O)NO)cc3	CHEMBL1819137	pIC50=5.23
CN1CCCC(C1)c2nc3ccccc3n2CCOc4ccccc4	CHEMBL1094510	pKi=5.23
CN1CCN(CCc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1	CHEMBL390353	pIC50=5.23
CNCc1ccccc1Oc2ccc(Cl)cc2F	CHEMBL407815	pKi=5.23
COc1cc(OC2CNC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45	CHEMBL1809052	pIC50=5.23
COc1ccc2ncc(C(F)F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1	CHEMBL3422758	pIC50=5.23
COc1ccc2ncc(CO)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1	CHEMBL3422760	pIC50=5.23
C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4onc(n4)C(F)(F)F	CHEMBL2087086	pIC50=5.23
Cc1c(CCC2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)ccc5C(=O)OCc15	CHEMBL3792542	pIC50=5.23
Cc1cc(CC(C)(C)O)cc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)cnc2C(=O)N)n1	CHEMBL3415595	pIC50=5.23
Cc1ncc(OC[C@]2(C[C@H]2C(=O)Nc3ccc(F)cn3)c4ccccc4F)c(C)n1	CHEMBL3585953	pIC50=5.23
Cl.Cc1nc(cc(n1)C(C)(C)C)C(=O)NCCCN2CCN(CC2)c3cccc(C)c3C	CHEMBL1271816	pIC50=5.23
Fc1ccc2OC(=CC(=O)c2c1)C(=O)NC3CCN(CC3)C4CCc5c6OCOc6ccc45	CHEMBL425257	pIC50=5.23
NC(=O)c1cnc(c2cnc3c(Nc4ccc(cn4)C(F)(F)F)ccnc3n2)c(c1)C(F)(F)F	CHEMBL1214402	pIC50=5.23
N[C@@H]([C@@H]1CC[C@H](CC1)NC(=O)c2ccc(F)c(F)c2)C(=O)N3CCSC3	CHEMBL22359	pKi=5.23
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@@H](C1)N2CC3=O)C4CNc5ccccc45	CHEMBL319742	pIC50=5.23
OC1CN2C3CC(CC2CC1C3)OC(=O)c4c[nH]c5ccccc45	CHEMBL498572	pIC50=5.23
C1CC(CCN1)c2c([nH]c3ccccc23)c4ccccc4	CHEMBL295559	pKi=5.24
CC(=O)C1=NN(\C(=C/2\S\C(=N/c3nc(cc(c4ccccc4)c3C#N)c5ccccc5)\N(C2=O)c6ccccc6)\S1)c7ccccc7	CHEMBL3408394	pIC50=5.24
CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1	CHEMBL2338409	pIC50=5.24
CC(C)(C)c1onc(NC(=O)n2ccc3cc(Oc4ncnc5CNCc45)cnc23)c1	CHEMBL3810154	pIC50=5.24
CC(C)(N)C(=O)N1CCn2c(C1)nc(c3cccc(F)c3)c2Nc4ccc(F)cc4	CHEMBL1800768	pIC50=5.24
CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c3ccccc23)C(=O)c4ccc(OCCCN5CCOCC5)cc4	CHEMBL601873	pIC50=5.24
CC(CC(c1ccccc1)c2ccccc2)NC(C)(C)C	CHEMBL363295	pIC50=5.24
CC1(Oc2ccccc2C(=N1)N)c3cccc(c3)c4cncnc4	CHEMBL2380461	pIC50=5.24
CCN(C1CCN(CC[C@H](N2CCN(CC2)S(=O)(=O)CC(F)(F)F)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C	CHEMBL1951899	pIC50=5.24
CCOC(=O)C(N)c1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3	CHEMBL402911	pIC50=5.24
CCOc1cncc(c1)c2ccc3OCC4(CC4)C5(COC(=N5)N)c3c2	CHEMBL3703300	pIC50=5.24
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC5CCC5)cc4)nn3CC)[C@H](C1)c6cccc(F)c6)C(=O)O	CHEMBL176571	pKi=5.24
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	CHEMBL71	pIC50=5.24
CN(C)C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4sc(nc4c3s2)C(C)(C)C	CHEMBL3609521	pIC50=5.24
CN1C=CC(=CC1=O)[C@H]2CCNC[C@@H]2c3ccc(cc3Cl)c4ccccc4CCNC(=O)C	CHEMBL1957790	pIC50=5.24
CNC(=O)c1c(NCC2CCC3(CC2)OCCO3)nc(nc1OCC4CCN(C)CC4)C#N	CHEMBL513921	pIC50=5.24
CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc4ccc(F)c(c4)C(F)(F)F)c2)ncn1	CHEMBL3746204	pIC50=5.24
CNCc1cnc(C)cc1Oc2ccccc2Oc3ccccc3	CHEMBL273208	pKi=5.24
COc1cc(nc(C)c1C#N)C(O)CN2CCN(C[C@H](O)c3ccc4C(=O)OCc4c3C)CC2	CHEMBL3612925	pIC50=5.24
COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccc(C(=O)O)c(Cl)c6	CHEMBL2043172	pIC50=5.24
COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5nc6NC(=O)COc6cc5Cl)c2n1	CHEMBL3604687	pIC50=5.24
C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3F)n4cnnn4)cn2)c5oc(nn5)C(F)(F)F	CHEMBL3358000	pIC50=5.24
Cc1[nH]c2ccccc2c1CCN(CCF)Cc3ccc(\C=C\C(=O)NO)cc3	CHEMBL1819138	pIC50=5.24
Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCN(CC(O)c4ncc(cc4Cl)C#N)CC3	CHEMBL3612923	pIC50=5.24
Cl.Cl.CN(CCO)CCN1CCCc2cc(NC(=N)c3cccs3)ccc12	CHEMBL3216120	pEC50=5.24
Clc1cccc(c1)C(=O)N2CC[C@@H](C2)NCc3cncn3Cc4ccc(cc4)C#N	CHEMBL317520	pIC50=5.24
Clc1cccc(c1)C(=O)N2CC[C@H](NCc3cncn3Cc4ccc(cc4)C#N)C2=O	CHEMBL483964	pIC50=5.24
FC(F)(F)Oc1ccc(OC2CC2)c(CNC3CCC4NC3(CC4C5=NC(=O)NN5)c6ccccc6)c1	CHEMBL379010	pKi=5.24
FC(F)(F)c1cnc2CCN(Cc2c1)C(=O)[C@@]34CCO[C@@H]3C[C@H](C4)N5CCC(CC5)c6ccccc6	CHEMBL3263282	pIC50=5.24
Fc1cc2CO[C@@]3(CCNC[C@@H]3C(=O)N(Cc4cccc5ccccc45)C6CC6)c2cc1F	CHEMBL1923120	pKi=5.24
Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCC(=O)Nc5c4)CC3	CHEMBL217233	pIC50=5.24
Fc1ccc2CCC(=O)N(CCCN3CCC(CC3)N4C(=O)Nc5ccccc45)c2c1	CHEMBL2059319	pIC50=5.24
NC1=NC(c2ccncc2)(c3cccc(c3)c4cncnc4)c5cccc(F)c15	CHEMBL2177309	pIC50=5.24
NC1=NC2(CO1)c3cc(ccc3OCC24CC4)c5cncc(OCC(F)(F)F)c5	CHEMBL3703259	pIC50=5.24
N[C@@H]([C@@H]1CC[C@H](CC1)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3CCCC3	CHEMBL23979	pKi=5.24
O=C(NCC1(CCCC1)N2CCCCC2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5	CHEMBL1822442	pIC50=5.24
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	CHEMBL726	pIC50=5.24
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24	CHEMBL716	pIC50=5.24
O[C@@H]1CC[C@H](CC1)c2ccc(OCCCN3CCCCC3)cc2	CHEMBL2375587	pKi=5.24
CC(C)(N)C(=O)N1CCn2c(C1)nc(c2Nc3ccc(Cl)c(F)c3)c4ccc(F)cc4	CHEMBL1800776	pIC50=5.25
CC(C)(N)C(=O)N1CCn2c(C1)nc(c3ccc(F)cc3)c2Nc4ccc(F)cc4	CHEMBL1800137	pIC50=5.25
CC(C)N1CCN[C@@H](CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1	CHEMBL2036777	pIC50=5.25
CC1CCN(CC1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2	CHEMBL1085337	pKi=5.25
CCCCN(CC)CC#CCCc1ccc(C)cc1	CHEMBL3093977	pIC50=5.25
CCOC(=O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3noc4ccc(cc34)C(F)(F)F	CHEMBL1834720	pIC50=5.25
CCOC[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nn(C)c4ccc(cc34)C(F)(F)F	CHEMBL1834644	pIC50=5.25
CC[C@@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC(C)(C)C)cc4)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O	CHEMBL366328	pKi=5.25
CN1C(=O)c2ccccc2N=C1c3ccc(OC4CCN(CC4)C5CCC5)cc3	CHEMBL488249	pIC50=5.25
CN1C[C@@H]2CCC[C@@]2(C1)c3ccc(Cl)c(Cl)c3	CHEMBL1813478	pIC50=5.25
CNCc1cc(F)ccc1Oc2ccc(Cl)c(Cl)c2	CHEMBL488060	pIC50=5.25
COc1cc(N2CC[C@H](C2)N(C)C)c(NC(=O)C=C)cc1Nc3ncc(Cl)c(n3)c4cnn5ccccc45	CHEMBL3353403	pIC50=5.25
COc1cc2C(=O)OCc2cc1CCN3CCN(CC3)C(=O)Cc4ccc(cc4)n5cnnn5	CHEMBL2441425	pIC50=5.25
COc1ccc(cc1)[C@H]2CN(NS(=O)(=O)C)C(=O)N2CCc3ccc(OC(F)(F)F)cc3	CHEMBL583047	pIC50=5.25
COc1ncc(cn1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2	CHEMBL1082489	pKi=5.25
Cc1cccc2C(=O)N(CCc3ccccn3)C(C(=O)NCc4ccc(OC(F)(F)F)cc4)c12	CHEMBL2164369	pIC50=5.25
Cc1nc(nc2ccc(NC(=O)\C=C\c3ccc(Cl)cc3)cc12)N4CCC(O)(CC4)C5CC5	CHEMBL2017593	pIC50=5.25
Cl.Cl.CCNCc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3765509	pIC50=5.25
Cl.OC(C1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F	CHEMBL535650	pIC50=5.25
Fc1ccc(cc1)S(=O)(=O)C2(F)CCN(CCc3ccc(F)cc3F)CC2	CHEMBL175832	pKi=5.25
Fc1ccc(cc1)[C@@H](OC(=O)c2ccccc2)C(=O)N3N=CC[C@H]3C(=O)NCc4cc(Cl)ccc4n5cnnn5	CHEMBL3786094	pIC50=5.25
Fc1cccc2C(=O)N(CCc3ccccn3)C(C(=O)NCc4ccc(OC(F)(F)F)cc4)c12	CHEMBL2164368	pIC50=5.25
NC1=N[C@@]2(CO1)c3cc(ccc3Oc4c(F)nc(cc24)N5CCC(F)(F)C5)c6cccnc6F	CHEMBL3394226	pKi=5.25
N[C@@H](C1CC1)C(=O)N2CC(=C[C@H]2c3cccc(O)c3)c4cc(F)ccc4F	CHEMBL206115	pIC50=5.25
Nc1nc2[C@@H](CCc2s1)C(=O)Nc3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5ccc(F)cc5)cc3	CHEMBL3128200	pIC50=5.25
O=C1N=CC=C2N=C(C(=CC12)c3ccccc3)c4ccc(CN5CCC(CC5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL262341	pIC50=5.25
O=C1NC=Cc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cc12)c7ccccc7	CHEMBL507130	pIC50=5.25
OC(C1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F	CHEMBL416956	pIC50=5.25
CC(C)(C)Oc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F	CHEMBL2204252	pIC50=5.26
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)C)n2	CHEMBL477567	pIC50=5.26
CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)C7=NN(CC8CC8)C(=O)O7	CHEMBL3582341	pIC50=5.26
CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7oc(nn7)N(C)C	CHEMBL3582332	pIC50=5.26
CN(C)CCC1=C(Cc2cnccn2)c3ccccc3C1	CHEMBL559251	pIC50=5.26
CNCc1cc(ccc1Oc2ccc(Cl)c(Cl)c2)C(=O)N	CHEMBL455426	pIC50=5.26
CONC(=O)N(Cc1ccsc1)C2CCN(CC2)[C@H](C)CCNC(=O)c3c(C)cc(Cl)nc3C	CHEMBL2164206	pIC50=5.26
COc1cc(ccc1OCCN2CCCC2)N3C=Nn4cc(cc4C3=O)c5ccc(Cl)cc5	CHEMBL3618324	pIC50=5.26
COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)[C@H]4C[C@H](CCN(Cc5ccccc5)C4=O)C(F)(F)F	CHEMBL2017580	pIC50=5.26
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCCC5)cc4	CHEMBL3786169	pIC50=5.26
Cc1onc(n1)[C@@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccn6)c7cnn(C)c7	CHEMBL3775760	pIC50=5.26
Cl.CC(C)N(CC1CNC1)Cc2ccc(Cl)c(Cl)c2	CHEMBL3331503	pIC50=5.26
Cl.CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@@H](C1)C(=O)N(C2CC2)c3cc(OCCCOC)c(cc3F)C(C)C	CHEMBL3318939	pIC50=5.26
Clc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4	CHEMBL3786375	pIC50=5.26
FC(F)(F)Oc1ccc(CNC(=O)C2N(CCc3cccnc3)C(=O)c4ccccc24)cc1	CHEMBL2164382	pIC50=5.26
FC(F)(F)c1cc(COCC2(CCNCC2)c3ccccc3)nc(c1)C4CC4	CHEMBL2333605	pIC50=5.26
Fc1cnc(CCN2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O)nc1	CHEMBL2164366	pIC50=5.26
Fc1cnc2ccc(OCC3(CC3)C#N)nc2c1CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6	CHEMBL3605025	pIC50=5.26
NC1=NC(c2cccc(c2)c3cncnc3)(c4ccnc(c4)C(F)(F)F)c5ccccc15	CHEMBL2177308	pIC50=5.26
N[C@@H]([C@@H]1CC[C@H](CC1)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3CC[C@H](F)C3	CHEMBL281178	pKi=5.26
Nc1ncc(cc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CCNCC4	CHEMBL2181298	pIC50=5.26
CC(=O)N1CCC(CC1)n2cc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)cn2	CHEMBL3823659	pIC50=5.27
CC(C)(C)C1CCC2(CC1)CCN(C(=O)N2Cc3ccc(cc3)C(=O)Nc4nn[nH]n4)c5ccc(OC(F)(F)F)cc5	CHEMBL198387	pIC50=5.27
CC1=Nc2ccc(Cl)cc2C(=O)N1c3ccc(OC4CCN(CC4)C5CCC5)cc3	CHEMBL458359	pIC50=5.27
CCCC1Oc2ccc(cc2C3(COC(=N3)N)C14COC4)c5cncc(c5)C#CC	CHEMBL3703289	pIC50=5.27
CCOC(=O)Nc1cccc(c1)[C@H](N2CCN(Cc3cscn3)CC2)c4ccc(cc4)C(=O)N(CC)CC	CHEMBL1939746	pIC50=5.27
CN(C)Cc1ccccc1c2ccc(NC(=O)Nc3cccnc3Oc4ccccc4C(C)(C)C)c(F)c2	CHEMBL2381898	pIC50=5.27
CN1C[C@H]2CCC[C@]2(C1)c3ccc(Cl)c(Cl)c3	CHEMBL1813484	pIC50=5.27
COc1cc(ccc1n2cnc(C)c2)c3cn(Cc4cccc5cccnc45)nn3	CHEMBL1818830	pIC50=5.27
COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4C5CCC(C5)NC4=O	CHEMBL2017569	pIC50=5.27
COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)[C@H]4C[C@H](CCN(CC(F)(F)F)C4=O)C(C)(C)C	CHEMBL2017586	pIC50=5.27
COc1ccc2ncc(F)c(C\C(=N\O)\C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1	CHEMBL3754022	pIC50=5.27
C[C@@H](O[C@H]1C[C@@H](C)C(=O)N(C)C[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F	CHEMBL378663	pKi=5.27
Cc1cnc(cn1)N2CCC(CC2)C3CCN(CC3)c4cc(nc(C)n4)C#N	CHEMBL1771095	pIC50=5.27
Cc1ncn(n1)c2cc(Cl)c(C(=O)NC[C@@H](c3cccc(F)c3)c4nc5ccc(Cl)cc5[nH]4)c(Cl)c2	CHEMBL3627895	pIC50=5.27
Cl.CC(C)c1cc(nc(C)n1)C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl	CHEMBL1271756	pIC50=5.27
FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)NC(Cc4cnccn4)c5ccccc5)c2	CHEMBL562285	pIC50=5.27
F[C@@H]1CCNC[C@H]1c2c([nH]c3cc(F)ccc23)C4CCCCC4	CHEMBL507898	pKi=5.27
NC(=O)N1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1	CHEMBL225261	pIC50=5.27
Nc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL499555	pIC50=5.27
O=C(Cc1ccc(nc1)n2cnnn2)N3CCC(CCc4ccc5C(=O)OCc5c4)CC3	CHEMBL3792423	pIC50=5.27
O=C(N1CCCN(CC1)C2CCC2)c3ccc(Oc4cccc(c4)C#N)nc3	CHEMBL1171756	pIC50=5.27
CC#Cc1cncc(c1)c2ccc3OC(CC4CC4)C5(COC5)C6(COC(=N6)N)c3c2	CHEMBL3650834	pIC50=5.28
CC(=O)N1CCC(CC1)n2cc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c(C)n2	CHEMBL3823278	pIC50=5.28
CC(C)(C)NC(=O)NCCN1CCCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1	CHEMBL2338407	pIC50=5.28
CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)[C@H](COc3ccccc3)C1	CHEMBL3577941	pIC50=5.28
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1	CHEMBL457614	pIC50=5.28
CC(C)Oc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)C4CCNCC4	CHEMBL2403845	pIC50=5.28
CCc1nn(cc1Nc2ncc(Cl)c(n2)c3cnn4ccccc34)C5CCN(CC5)C(=O)C	CHEMBL3822619	pIC50=5.28
CN(C)Cc1ccc2C[C@H](CCc2c1)N(C)C(=O)c3ccc(cn3)c4ccc(F)cc4	CHEMBL215660	pIC50=5.28
CNC(C)c1cc(F)ccc1Oc2ccc(Cl)cc2	CHEMBL444203	pIC50=5.28
CNCc1cc(Cl)ccc1Oc2ccc(C)c(C)c2	CHEMBL462225	pIC50=5.28
CN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642896	pIC50=5.28
COCCN1CC=CC[C@@H](C1)c2ccc(Cl)c(Cl)c2	CHEMBL2326694	pIC50=5.28
COc1cc(F)ccc1c2cncc(NCc3ccccc3)c2	CHEMBL1779010	pIC50=5.28
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CC6CNCC(C5)O6	CHEMBL1809058	pIC50=5.28
COc1ccc2C(=O)N(C)C(=C(c3ccccc3)c2c1)CN(C)C	CHEMBL214742	pIC50=5.28
CS(=O)(=O)N1CCC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1	CHEMBL470582	pKi=5.28
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn5ncnc5n4	CHEMBL1084616	pKi=5.28
C[C@H]1CCCN(CCCOc2ccc(cc2)N3C(=Nc4ccccc4C3=O)C)C1	CHEMBL478395	pIC50=5.28
Cc1[nH]nc2c3cc(C4CCCCC4)c(cc3N(CCCN)C(=O)c12)C5CCCCC5	CHEMBL250481	pIC50=5.28
Cc1c[nH]nc1C(=O)N[C@@H]2CC(C)(C)Oc3nc(c4ccc(Cl)cc4Cl)c(cc23)c5ccc(Cl)cc5	CHEMBL1095158	pIC50=5.28
Cc1cc(C)nc(Nc2cc(NC[C@@H](N)CC(F)F)cnc2C(=O)N)c1	CHEMBL3415585	pIC50=5.28
Cc1cn(cn1)c2ccc(Nc3cccc4c3nc(c5ccc(F)cc5)n4C)nc2	CHEMBL2178522	pIC50=5.28
