C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=5.43	pKi=5.43	pKi=5.43
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pEC50=6.7	pEC50=6.7	pEC50=6.7	pKi=7.25
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=8.4685	pEC50=8.4685	pEC50=8.4685	pKi=7.08
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=6.38999987	pKi=6.38999987	pKi=6.38999987	pEC50=7.26
NC[C@H](O)c1ccc(O)c(O)c1	norepinephrine	pKi=7.2	pKi=7.2	pKi=7.2	pKi=7.2
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pKi=8.15	pKi=8.15	pKi=8.15	pKi=7.51
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.44855	pKi=6.44855	pKi=6.44855
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=6.79317412	pKi=6.79317412	pKi=6.79317412
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=7.52	pKi=7.52	pKi=7.52	pKi=7.52
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.08	pKi=8.08	pKi=8.08	pKi=7.1
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=9.3	pKi=9.3	pKi=9.3	pIC50=7.44
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)C(=O)NCC(C)(C)N)Cc2cc1OC	CHEMBL247664	pKi=8.38
CN1CCN(CC1(C)C)c2ccc(Nc3c(CO)c(C)nc4ccccc34)cc2	CHEMBL218675	pKi=8.42
COc1cccc(c1)N(NC2=NCCN2)c3ccc(C)cc3	CHEMBL362954	pKi=8.42
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(C=C(Cl)C5=N1)C(F)(F)F	CHEMBL162147	pIC50=8.44
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)C(=O)N5CCC(CC5)N6CCCC6)Cc2cc1OC	CHEMBL247665	pKi=8.46
COc1cc2OCC3C(CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL94129	pKi=8.51
O=C(NCCN1CCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL478026	pKi=8.52
O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC2[C@H]1C(=O)NCCCC(=O)O	CHEMBL195925	pKi=8.52
CC(C)(C)OC(=O)NCCCNC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC12	CHEMBL196064	pKi=8.55
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccccc5F)CC4)ON=C3c2cc1OC	CHEMBL319573	pKi=8.55
C[C@]12C[C@]1(Cc3ccccc23)c4c[nH]cn4	CHEMBL1255771	pKi=8.55
O=C1N2C=CC=CC2=NC(=C1CCN3CCc4oc5ccccc5c4C3)Cc6ccccc6	CHEMBL162436	pIC50=8.57
C(CN1CCCN(CC2COc3ccccc3O2)CC1)OCc4cccnc4Oc5ccccc5	CHEMBL491419	pKi=8.6
CNC(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	CHEMBL1627	pKi=8.62
COc1ccc2OCC3C(CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2c1	CHEMBL422597	pKi=8.64
Cc1nc2ccccc2c(Nc3ccc(cc3)N4CCN5CCCCC5C4)c1C	CHEMBL425983	pKi=8.64
CC1=C(CCN2CCc3oc4c(Cl)cccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL164612	pIC50=8.65
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccnc5)\C)CC4)ON=C3c2cc1OC	CHEMBL98889	pKi=8.68
COc1cccc2[C@H](CN(C)CCc3ccc4ccoc4c3)CCCc12	CHEMBL268258	pKi=8.68
CC(Oc1ccccc1CC2CC2)C3=NCCN3	CHEMBL1956195	pEC50=8.7
C[C@H](Oc1ccccc1CC2CC2)C3=NCCN3	CHEMBL2089156	pEC50=8.7
Oc1cc2OCC3NCc4ccccc4C3c2cc1O	CHEMBL217299	pKi=8.7
C(C1COc2ccccc2O1)N3CCCN(Cc4onc(n4)c5cccnc5Oc6ccccc6)CC3	CHEMBL491420	pKi=8.72
COc1cc2OCC3C(CN4CCN(CCCc5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL90419	pKi=8.72
COc1ccc2C3=NOC(CN4CCN(C\C=C\c5ccccc5)CC4)C3COc2c1	CHEMBL90247	pKi=8.72
Fc1ccc2c(noc2c1)C3CCN(CCCCNS(=O)(=O)c4cc5ccccc5s4)CC3	CHEMBL3290012	pKi=8.72
C(\C=C\c1ccccc1)N2CCN(CC3ON=C4C3COc5ccccc45)CC2	CHEMBL90943	pKi=8.77
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL162501	pIC50=8.77
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=C(O)C5=N1	CHEMBL162826	pIC50=8.79
CCCO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256566	pKi=8.81
CCC[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1255616	pKi=8.83
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL91157	pKi=8.85
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Cl)C=C(Cl)C5=N1	CHEMBL163247	pIC50=8.87
CC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3	CHEMBL351200	pIC50=8.88
CC1=CN2C(=O)C(=C(C)N=C2C=C1)CCN3CCc4oc5ccccc5c4C3	CHEMBL162370	pIC50=8.89
CC[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256610	pKi=8.9
CC1=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N2C=C1)C	CHEMBL165796	pIC50=8.92
CC1(C)[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255770	pKi=8.93
O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC2[C@H]1C(=O)NCCCNC(=O)OCc6ccccc6	CHEMBL369938	pKi=8.96
CC1=CC=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N12)C	CHEMBL163190	pIC50=8.97
COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL10347	pKi=9.0
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccccc5OC)CC4)ON=C3c2cc1OC	CHEMBL101361	pKi=9.05
O=C(NCCN1CCCN(C[C@H]2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL524153	pKi=9.05
CC1=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N2C(=C1)C)C	CHEMBL162232	pIC50=9.07
CCCCOc1ncccc1C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL514837	pKi=9.1
COC1(COc2ccccc2O1)C3=NCCN3	CHEMBL10332	pKi=9.1
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)C(=O)NC5CN6CCC5CC6)Cc2cc1OC	CHEMBL394218	pKi=9.1
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccc(F)cc5F)CC4)ON=C3c2cc1OC	CHEMBL328631	pKi=9.1
COc1cccc(OC)c1OCCNCC2COc3ccccc3O2	CHEMBL25554	pKi=9.1
O=C(NCCN1CCCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5cccc(c5)C#N	CHEMBL515331	pKi=9.1
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Cl)C=CC5=N1	CHEMBL351483	pIC50=9.14
COC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3	CHEMBL162490	pIC50=9.15
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Br)C=CC5=N1	CHEMBL165350	pIC50=9.16
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccc(F)c5F)\C)CC4)ON=C3c2cc1OC	CHEMBL419336	pKi=9.16
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5cccc(F)c5)CC4)ON=C3c2cc1OC	CHEMBL95218	pKi=9.16
O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC2[C@H]1C(=O)NCCCC(=O)OCc6ccccc6	CHEMBL196451	pKi=9.19
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(I)C=CC5=N1	CHEMBL162682	pIC50=9.21
CCCCOc1cccc(n1)C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL476569	pKi=9.22
COc1cc2OCC3C(CN4CCN(C\C=C(/C)\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL327875	pKi=9.22
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccc(O)cc5)CC4)ON=C3c2cc1OC	CHEMBL329065	pKi=9.22
C[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256609	pKi=9.27
CC(C)(C)Nc1ncccc1C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL477608	pKi=9.3
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5occc5)\C)CC4)ON=C3c2cc1OC	CHEMBL99916	pKi=9.3
CCC[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255724	pKi=9.36
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccccc5OC)\C)CC4)ON=C3c2cc1OC	CHEMBL99868	pKi=9.4
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5occc5)CC4)ON=C3c2cc1OC	CHEMBL319530	pKi=9.4
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL98541	pKi=9.52
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccsc5)CC4)ON=C3c2cc1OC	CHEMBL328195	pKi=9.52
C[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1256378	pKi=9.53
C1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1256414	pKi=9.58
COc1cc2OCC3C(CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL93171	pKi=9.7
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cc(F)ccc5F)\C)CC4)ON=C3c2cc1OC	CHEMBL319119	pKi=9.7
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccc(F)c5)\C)CC4)ON=C3c2cc1OC	CHEMBL263424	pKi=9.7
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5cccs5)\C)CC4)ON=C3c2cc1OC	CHEMBL98646	pKi=9.7
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccsc5)\C)CC4)ON=C3c2cc1OC	CHEMBL101596	pKi=9.7
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5cccs5)CC4)ON=C3c2cc1OC	CHEMBL100879	pKi=9.7
CC[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255723	pKi=9.77
