CCO[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OCC(F)(F)F)cc3	CHEMBL3643712	pIC50=6.0
FC(F)(F)c1ccc(Oc2ccc(OC(=O)N3CCCC3)cc2)nc1	CHEMBL238293	pIC50=7.64
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC[C@@H](C)C2	CHEMBL108270	pIC50=7.7
CC(Oc1ccc(cc1)N2CCC3(CCN(CC3O)S(=O)(=O)c4ccccc4Cl)C2=O)C(F)(F)F	CHEMBL3644857	pIC50=7.7
CC1(O)CN(CCC12CCN(C2=O)c3ccc(OC(F)(F)F)cc3)S(=O)(=O)c4ccccc4Cl	CHEMBL3644847	pIC50=7.7
COCCC1=C(C)N(OC1=O)C(=O)N2CCC(CC2)c3cccc(F)c3	CHEMBL106375	pIC50=7.7
CSc1nc(nn1C(=O)N(C)C)c2ccc(Cl)cc2	CHEMBL130098	pIC50=7.7
FC(F)(F)Oc1ccc(cc1)N2CCC3(CCN(CC3=O)S(=O)(=O)c4ccccc4Cl)C2=O	CHEMBL3644858	pIC50=7.7
OC1CN(CCC12CCN(C2=O)c3ccc(CC(F)(F)F)cc3)S(=O)(=O)c4ccccc4Cl	CHEMBL3644854	pIC50=7.7
OC1CN(CCC12CCN(C2=O)c3ccc(OC(F)(F)F)cc3)S(=O)(=O)c4cccnc4Cl	CHEMBL3644850	pIC50=7.7
Clc1ccc(OC(=O)NN2CCc3ccccc3C2)cc1	CHEMBL48987	pIC50=7.72
CCC1=C(C)N(OC1=O)C(=O)N2CCCCC2	CHEMBL105774	pIC50=7.75
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)c2ccc(Cl)cc2	CHEMBL107235	pIC50=7.77
CN(CC1=C(C)N(OC1=O)C(=O)N2CCCCC2)c3cc4ccccc4[nH]3	CHEMBL323173	pIC50=7.77
CC(C)Oc1ccc(cc1)N2CC[C@@]3(CC[C@](O)(COCC(F)F)CC3)C2=O	CHEMBL3690097	pIC50=7.79
CC(C)[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OC(F)(F)F)cc3	CHEMBL3643703	pIC50=7.79
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCCC2	CHEMBL320525	pIC50=7.82
CC1=C(C(=O)ON1C(=O)N2CCCCC2)C(C)(C)C	CHEMBL110322	pIC50=7.85
CC1=C(C(=O)ON1C(=O)N2CCCCC2)c3ccccc3	CHEMBL107712	pIC50=7.85
CC(C)Oc1ccc(cn1)N2CC[C@@]3(CC[C@](O)(COCC(F)(F)F)CC3)C2=O	CHEMBL3690099	pIC50=7.86
CC1=C(C)C(=O)ON1C(=O)N2CCCCC2	CHEMBL322780	pIC50=7.89
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC(CC2)c3cccc(F)c3	CHEMBL108523	pIC50=7.92
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC(CC2)c3ccccc3	CHEMBL106504	pIC50=7.92
CC1=C(C2CCCCC2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL323458	pIC50=7.96
CC1=C(C2CCSCC2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL323419	pIC50=7.96
COCCC1=C(C)N(OC1=O)C(=O)N2CCC(CC2)c3ccccc3	CHEMBL320249	pIC50=7.96
CC(C)CC1=C(C)N(OC1=O)C(=O)N2CCC(CC2)c3ccccc3	CHEMBL106784	pIC50=8.0
COCCC1=C(C)N(OC1=O)C(=O)N2CCCCC2	CHEMBL109182	pIC50=8.0
C[C@H](Oc1ccc(cn1)N2CC[C@@]3(CC[C@](O)(COCCF)CC3)C2=O)C(F)(F)F	CHEMBL3690102	pIC50=8.0
O=C(NN1CCOCC1)Oc2ccc(NC(=O)C3CCCCC3)cc2	CHEMBL49896	pIC50=8.0
OC1CN(CCC12CCN(C2=O)c3ccc(OC(F)(F)F)cc3)S(=O)(=O)c4ccccc4OC(F)(F)F	CHEMBL3644851	pIC50=8.0
OC1CNCCC12CCN(C2=O)c3ccc(OC(F)(F)F)cc3	CHEMBL3644849	pIC50=8.0
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)C2CCCCC2	CHEMBL322051	pIC50=8.05
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCSCC2	CHEMBL324436	pIC50=8.1
O[C@@]1(CN2CCCC2=O)CC[C@]3(CCN(C3=O)c4ccc(cc4)C(F)(F)F)CC1	CHEMBL3690093	pIC50=8.11
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)c2ccccc2	CHEMBL110597	pIC50=8.16
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCCC(C)(C)C2	CHEMBL321483	pIC50=8.16
CCCCC1=C(C)N(OC1=O)C(=O)N2CCCCC2	CHEMBL108207	pIC50=8.16
OB(O)c1ccccc1OCc2ccc(Oc3ccc(cn3)C(F)(F)F)cc2	CHEMBL3814077	pIC50=8.16
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC(C)CC2	CHEMBL108519	pIC50=8.22
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCN(CC2)c3ccccc3	CHEMBL110655	pIC50=8.22
CC1=C(C2CCCC2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL321903	pIC50=8.22
CC1=C(Sc2ccc(Cl)cc2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL316549	pIC50=8.22
CC1=C(Sc2ccccc2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL106200	pIC50=8.22
CC1CCN(CC1)C(=O)N2OC(=O)C(=C2C)C3CCSCC3	CHEMBL108325	pIC50=8.22
CCOC(=O)C1CCN(CC1)C(=O)N2OC(=O)C(=C2C)C(C)C	CHEMBL110716	pIC50=8.22
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)Cc2cccc(F)c2	CHEMBL107365	pIC50=8.3
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)Cc2ccccc2	CHEMBL106314	pIC50=8.3
CC(C)CC1=C(C)N(OC1=O)C(=O)N2CCCCC2	CHEMBL110653	pIC50=8.3
CC1=C(Cc2ccccc2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL106045	pIC50=8.3
O=C(Cc1ccc(OC(=O)NN2CCOCC2)cc1)OCc3ccccc3	CHEMBL49417	pIC50=8.3
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)Cc2ccccc2F	CHEMBL105834	pIC50=8.4
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)Cc2occc2	CHEMBL106756	pIC50=8.4
CC1=C(CCOc2ccccc2)C(=O)ON1C(=O)N3CCCCC3	CHEMBL110343	pIC50=8.4
CC1CCN(CC1)C(=O)N2OC(=O)C(=C2C)C3CCCCC3	CHEMBL110763	pIC50=8.4
CCC[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OCC(F)(F)F)cc3	CHEMBL3643709	pIC50=8.43
CC(C)(C)OC(=O)Nc1ccc(OC(=O)NN2CCc3ccccc3C2)cc1	CHEMBL295166	pIC50=8.52
CC(C)CC1=C(C)N(OC1=O)C(=O)N2CCC(C)CC2	CHEMBL106581	pIC50=8.52
CCOCCC1=C(C)N(OC1=O)C(=O)N2CCC(C)CC2	CHEMBL320813	pIC50=8.52
CC(C)[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OCC(F)(F)F)cc3	CHEMBL3643710	pIC50=8.62
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)Cc2cccs2	CHEMBL107197	pIC50=8.7
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCCCC2	CHEMBL109116	pIC50=8.7
CC(C)(C)C1CCC(CC1)C(=O)Nc2ccc(OC(=O)NN3CCOCC3)cc2	CHEMBL49895	pIC50=9.0
CCCCC1=C(C)N(OC1=O)C(=O)N2CCC(C)CC2	CHEMBL322794	pIC50=9.0
COc1cccc(c1)N2CCN(CC2)C(=O)N3OC(=O)C(=C3C)C(C)C	CHEMBL419197	pIC50=9.0
