O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKd=7.11	pKd=7.11	pKd=7.11
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.72124624	pIC50=7.72124624	pIC50=7.72124624
Nc1cc(CN2CCCC(C2)Nc3ccc4[nH]ncc4c3)ccc1Cl	CHEMBL3689429	pIC50=7.53
NCCCC[C@@H](NC(=O)CCCCCCCN1CCCN(CC1)S(=O)(=O)c2cccc3cnccc23)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL2023843	pIC50=7.99
CN(C)C(=O)Oc1cccc(NC(=O)C2(CN)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1	CHEMBL3356433	pIC50=8.0
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5sc(nc5C)c6ccncc6)sc2C1	CHEMBL3700940	pIC50=8.0
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5ccnc5)c3)cc2C1	CHEMBL3680717	pIC50=8.0
COCCN(Cc1cccc(OC)c1)C(=O)c2nc3ccc(cc3s2)c4cn[nH]c4	CHEMBL1081001	pIC50=8.0
COc1ccc2CN[C@@H](Cc2c1)C(=O)Nc3ccc(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL1215237	pIC50=8.0
COc1cccc(CN(CCCN(C)C)C(=O)c2cc3ccc(cc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922033	pIC50=8.0
C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccnc3[nH]ccc23	CHEMBL3793353	pIC50=8.0
Cc1ccc(CN2C3CCC2CC(C3)Nc4ccc5[nH]ncc5c4)cc1OCCO	CHEMBL3647977	pKi=8.0
Cc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(cc3)c4cn[nH]c4	CHEMBL482309	pIC50=8.0
NC(C1=Nc2ccc(cc2C(=O)N1)c3cn[nH]c3)c4ccc(Cl)cc4	CHEMBL2333893	pIC50=8.0
N[C@@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cccnc5)c3)sc2C1	CHEMBL3680718	pIC50=8.0
N[C@H](Cc1cccc(F)c1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333914	pIC50=8.0
OC[C@@H](NC(=O)Nc1nc(cs1)c2ccncc2)c3ccccc3	CHEMBL3218278	pIC50=8.0
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5cccnc5)c3)cc2C1	CHEMBL3680706	pIC50=8.01
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5nnnc5C)c3)sc2C1	CHEMBL3680697	pIC50=8.01
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H](NC(=O)Nc4cccc(c4)C#N)C5CC5)sc2C1	CHEMBL3704396	pIC50=8.01
COc1ccc(cc1C)C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6	CHEMBL3704370	pIC50=8.01
CN1CCc2ccc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5cccc(c5)C#N)cc2C1	CHEMBL3700979	pIC50=8.02
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cnc(s4)c5ccnc(C)c5)c3)sc2C1	CHEMBL3680782	pIC50=8.02
C[C@@H](NC(=O)Nc1ccc(cc1)C(=O)N)c2cccc(c2)C(=O)Nc3ccc4CCN(C)Cc4c3	CHEMBL3704394	pIC50=8.02
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nnn(c4C)c5nonc5N)c3)sc2C1	CHEMBL3680720	pIC50=8.03
CCN1Cc2ccc(OC)cc2C[C@@H]1C(=O)Nc3cc(F)c(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL1215594	pIC50=8.05
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1	CHEMBL3613600	pIC50=8.05
COc1cc(cc2C(=O)NC(=Nc12)C(N)c3ccc(Cl)cc3)c4cn[nH]c4	CHEMBL2333895	pIC50=8.05
COc1ccc(cc1OC)C(=O)N[C@H](C)c2cccc(c2)C(=O)Nc3ccc4CCN(C)Cc4c3	CHEMBL3704384	pIC50=8.05
COc1cccc(CN(C)C(=O)c2cn(CCN(C)C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922130	pIC50=8.05
COc1cccc(CNC(=O)c2[nH]c3cc(ccc3c2CN(C)C)c4cn[nH]c4)c1	CHEMBL1922138	pIC50=8.05
COc1cccc(c1)[C@@H](C)NC(=O)Nc2nc(cs2)c3ccncc3	CHEMBL3218282	pIC50=8.05
COc1ccccc1CNC(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4	CHEMBL1923169	pIC50=8.05
Cc1[nH]ncc1c2ccc3nc([nH]c3c2)C4COc5ccccc5C4	CHEMBL453635	pIC50=8.05
Cc1[nH]ncc1c2ccc3nc(oc3c2)C4COc5ccccc5C4	CHEMBL508975	pIC50=8.05
Fc1ccc(cc1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1084110	pIC50=8.05
N[C@@H](Cc1ccc(F)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333905	pIC50=8.05
Nc1nccc(n1)c2ccc3nc(sc3c2)C4COc5ccccc5C4	CHEMBL1079782	pIC50=8.05
Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CCC4)C3)c5cccc(O)c5	CHEMBL3787112	pIC50=8.05
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5nnn(c6nonc6N)c5c7ccccc7)sc2C1	CHEMBL3700941	pIC50=8.06
CN1CCc2nc(NC(=O)c3cccc(c3)C4CCCN4C(=O)Nc5cccc(c5)C#N)sc2C1	CHEMBL3700945	pIC50=8.06
COC(=O)c1cccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1F	CHEMBL3426641	pIC50=8.06
NCc1ccc(cc1c2cccc(c2)C(=O)OC3CCCOC3)C(=O)Nc4ccncc4F	CHEMBL2440736	pIC50=8.06
CN(C)CCN(C)c1cc(ccc1NC(=O)NCc2ccccc2)c3cn[nH]c3	CHEMBL3402474	pIC50=8.07
O=C(COc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)Nc5ccc(cc5)C#N	CHEMBL3700911	pIC50=8.07
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc(cc6)n7ccnc7	CHEMBL3704374	pIC50=8.08
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5cc(ccc5n4C)C#N)c3)cc2C1	CHEMBL3680745	pIC50=8.09
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5ccc(cc5[nH]4)C#N)c3)cc2C1	CHEMBL3680725	pIC50=8.09
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5cc[nH]n5)c3)cc2C1	CHEMBL3680783	pIC50=8.09
CC(C)N(Cc1ccccc1)C(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL3402475	pIC50=8.1
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5cccnc5)c3)sc2C1	CHEMBL3680699	pIC50=8.1
COC(=O)COc1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1	CHEMBL3613603	pIC50=8.1
COc1cc(cc2C(=O)NC(=Nc12)C(N)c3cccc(Cl)c3)c4cn[nH]c4	CHEMBL2333896	pIC50=8.1
COc1cc(cc2C(=O)NC(=Nc12)[C@@H](N)Cc3cccc(F)c3)c4cn[nH]c4	CHEMBL2333907	pIC50=8.1
COc1ccc(cc1Cl)C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6	CHEMBL3700983	pIC50=8.1
COc1cccc(CN(C)C(=O)Nc2ccc(cc2N(C)CCN(C)C)c3cn[nH]c3)c1	CHEMBL3402461	pIC50=8.1
COc1cccc(CN(C2CC2)C(=O)c3cc4ccc(nc4[nH]3)c5cn[nH]c5)c1	CHEMBL1922043	pIC50=8.1
COc1cccc(CNC(=O)c2[nH]c3nc(ccc3c2CN4CCN(C)CC4)c5cn[nH]c5)c1	CHEMBL1922142	pIC50=8.1
COc1cccc(CNC(=O)c2cn(CCN3CCCC3)c4nc(ccc24)c5cn[nH]c5)c1	CHEMBL1922137	pIC50=8.1
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCC3c4cccnc4	CHEMBL1084104	pIC50=8.1
Clc1ccc(C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl)c(Cl)c1	CHEMBL1083799	pIC50=8.1
Fc1ccc(CNC(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4)cc1F	CHEMBL1923172	pIC50=8.1
N[C@H](Cc1ccc(F)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333906	pIC50=8.1
Nc1nccc(n1)c2ccc3nc([nH]c3c2)C4COc5ccccc5C4	CHEMBL454654	pIC50=8.1
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6csc(n6)c7ccncc7	CHEMBL3704373	pIC50=8.1
COC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3F	CHEMBL2440749	pIC50=8.11
N[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5csnn5)c3)sc2C1	CHEMBL3680705	pIC50=8.12
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cn6cc(ccc6n5)C(=O)N)sc2C1	CHEMBL3700954	pIC50=8.13
COC(=O)c1ccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(C)c34)cc1	CHEMBL3613605	pIC50=8.14
COCCN(C)C1CCc2nc(NC(=O)c3cccc(OCC(=O)Nc4ccc(cc4)C#N)c3)sc2C1	CHEMBL3704397	pIC50=8.14
N[C@H]1CC[C@H](C1)C(=O)Nc2cc3C=CNC(=O)c3cc2Cl	CHEMBL1222573	pIC50=8.14
O=C(Nc1nc(cs1)c2ccncc2)C3COc4ccccc4O3	CHEMBL510515	pIC50=8.14
CC(C)OC(=O)c1cccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426630	pIC50=8.16
CCn1c(nc2cncc(C(=O)N3CC[C@H](N)C3)c12)c4nonc4N	CHEMBL1956071	pIC50=8.16
CN(C)CCOc1cc(ccc1NC(=O)[C@@H]2Cc3ccccc3CN2)c4cn[nH]c4	CHEMBL1215093	pIC50=8.16
CN(C)CCOc1cc(ccc1NC(=O)[C@H]2Cc3cc(Cl)ccc3CN2)c4cn[nH]c4	CHEMBL1215169	pIC50=8.16
CN(C)CCOc1cc(ccc1NC(=O)[C@H]2Cc3ccccc3CN2)c4cn[nH]c4	CHEMBL1215092	pIC50=8.16
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)N4CCc5c(cccc45)C#N)c3)cc2C1	CHEMBL3680802	pIC50=8.16
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)N5CCc6c(cccc56)C#N)sc2C1	CHEMBL3700936	pIC50=8.16
COc1cc(NC(=O)C2COc3ccc(F)cc3C2)ccc1c4cn[nH]c4	CHEMBL482337	pIC50=8.16
COc1cc(NC(=O)C2COc3ccccc3C2)ccc1c4cn[nH]c4	CHEMBL480585	pIC50=8.16
COc1cc(cc2C(=O)NC(=Nc12)[C@H](N)Cc3cccc(F)c3)c4cn[nH]c4	CHEMBL2333908	pIC50=8.16
COc1ccc2OC[C@@H](Cc2c1)C(=O)Nc3ccc(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL3221808	pIC50=8.16
COc1cccc(CNC(=O)N(C)c2nc(cs2)c3ccncc3)c1	CHEMBL3218275	pIC50=8.16
COc1cccc(CNC(=O)c2c[nH]c3nc(ccc23)c4ccncc4)c1	CHEMBL1923168	pIC50=8.16
Cc1n[nH]cc1c2ccc3N=C(NC(=O)c3c2)[C@@H]4CNC[C@H]4c5ccccc5	CHEMBL2334291	pIC50=8.16
FC(F)(F)Oc1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1084800	pIC50=8.16
NCCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL297394	pKd=8.16
N[C@H](Cc1ccc(F)c(F)c1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333912	pIC50=8.16
O=C(Nc1ccc(cc1)c2cn[nH]c2)OCc3ccccc3	CHEMBL2332080	pIC50=8.16
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc(cc6)c7ocnc7	CHEMBL3704372	pIC50=8.16
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc7NC(=O)C=Cc7c6	CHEMBL3704376	pIC50=8.16
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6csc(n6)c7cccnc7	CHEMBL3704381	pIC50=8.16
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5cccc(c5)C#N)sc2C1	CHEMBL3700973	pIC50=8.17
COc1ccc(cc1OC)C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6	CHEMBL3700982	pIC50=8.17
NC(=O)c1ccc2nc(cn2c1)C(=O)N3CCC[C@@H]3c4cccc(c4)C(=O)Nc5nc6CC[C@@H](Cc6s5)N7CCOCC7	CHEMBL3704375	pIC50=8.17
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(OC(=O)c4ccccc4)cc3	CHEMBL3794435	pKi=8.17
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3cccc(c3)C(=O)O)C(=O)Nc4ccncc4F	CHEMBL3426626	pIC50=8.18
CN1CCN(CC1)C2CCc3nc(NC(=O)c4cccc(OCC(=O)Nc5ccc(cc5)C#N)c4)sc3C2	CHEMBL3704395	pIC50=8.19
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5ocnc5)c3)cc2C1	CHEMBL3680798	pIC50=8.19
NC(=N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CNCC(=O)NCCNS(=O)(=O)c1cccc2cnccc12)C(=O)N	CHEMBL2023840	pKd=8.19
Oc1ccc2cc(ccc2c1)C(=O)N3CCC[C@@H]3c4cccc(c4)C(=O)Nc5nc6CC[C@@H](Cc6s5)N7CCOCC7	CHEMBL3704378	pIC50=8.2
NCc1ccc(cc1c2cccc(c2)C(=O)Oc3ccccc3)C(=O)Nc4ccncc4F	CHEMBL2440752	pIC50=8.21
CC(C)c1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1085773	pIC50=8.22
CCN(Cc1cccc(OC)c1)C(=O)Nc2ccc(cc2N(C)CCN(C)C)c3cn[nH]c3	CHEMBL3402464	pIC50=8.22
CN(C)CCOc1cc(ccc1NC(=O)C2COc3ccccc3C2)c4cn[nH]c4	CHEMBL474425	pIC50=8.22
CN(C)CCSc1nc(nc2ccc(cc12)c3cn[nH]c3)C4COc5ccc(cc5C4)C(=O)NC6CC6	CHEMBL1684218	pIC50=8.22
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5nnn(c5c6ccccc6)c7nonc7N)sc2C1	CHEMBL3700923	pIC50=8.22
COC(=O)c1ccc2OCC(Cc2c1)c3nc4ccc(cc4[nH]3)c5ccnc(N)n5	CHEMBL462194	pIC50=8.22
COc1cc(c(F)cc1NC(=O)C2COc3ccccc3C2)c4cn[nH]c4	CHEMBL481731	pIC50=8.22
COc1cc(ccc1NC(=O)C2COc3ccccc3C2)c4cn[nH]c4	CHEMBL480586	pIC50=8.22
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(cc3OCCN4CCCC4)c5cn[nH]c5	CHEMBL1215305	pIC50=8.22
COc1ccc2OCC(Cc2c1)c3nc(SCCN(C)C)c4cc(ccc4n3)c5cn[nH]c5	CHEMBL1684214	pIC50=8.22
COc1cccc(CN(C2CC2)C(=O)c3c[nH]c4nc(ccc34)c5cn[nH]c5)c1	CHEMBL1922133	pIC50=8.22
Cc1ccc2OCC(Cc2c1)C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL1684203	pIC50=8.22
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCC3c4ccccc4	CHEMBL1084597	pIC50=8.22
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCCC3c4ccccc4	CHEMBL1084324	pIC50=8.22
Clc1ccc(cc1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1082819	pIC50=8.22
NCCC(=O)NC(C1=Nc2ccc(cc2C(=O)N1)c3cn[nH]c3)c4ccc(Cl)cc4	CHEMBL2333883	pIC50=8.22
N[C@@H](Cc1ccc(Cl)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2334293	pIC50=8.22
Nc1nccc(n1)c2ccc3N=C(NC(=O)c3c2)[C@@H]4CNC[C@H]4c5ccccc5	CHEMBL2334290	pIC50=8.22
Nc1nccc(n1)c2ccc3nc([nH]c3c2)C4COc5ccc(F)cc5C4	CHEMBL518825	pIC50=8.22
Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218011	pIC50=8.22
c1ccc(cc1)c2c(nc3ncccn23)c4ccc5[nH]ncc5c4	CHEMBL1682541	pKi=8.22
CC[C@@H](NC(=O)Nc1cccc(c1)C#N)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700908	pIC50=8.24
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5cncn5)c3)cc2C1	CHEMBL3680794	pIC50=8.24
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5ccncc5)c3)sc2C1	CHEMBL3680703	pIC50=8.24
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc(cc5)c6ccncc6)sc2C1	CHEMBL3700922	pIC50=8.24
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(F)c34)c1	CHEMBL3613621	pIC50=8.24
COc1ccc(cc1OC)C(=O)N[C@H](C)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700970	pIC50=8.24
CN(C)CCSc1cc(ccc1NC(=O)NCc2ccccc2)c3cn[nH]c3	CHEMBL3402473	pIC50=8.25
CCCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440746	pIC50=8.26
CC[C@H](C)OC(=O)c1ccc(F)c(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426635	pIC50=8.26
C[C@@H](NC(=O)Nc1cccc(c1)C#N)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700957	pIC50=8.26
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(O)c(O)c3	CHEMBL3794254	pKi=8.26
CN1CCc2nc(NC(=O)c3cccc(c3)C4CCCN4C(=O)Nc5ccc(cc5)C(=O)N)sc2C1	CHEMBL3700955	pIC50=8.27
CCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3F	CHEMBL2440750	pIC50=8.29
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cn[nH]c5)c3)cc2C1	CHEMBL3680695	pIC50=8.29
FC(F)(F)CCN[C@H]1CCc2nc(NC(=O)c3cccc(COC(=O)Nc4ccc(cc4)C#N)c3)sc2C1	CHEMBL3704388	pIC50=8.29
CN(C)CCOc1cc(ccc1NC(=O)C2COc3ccc(Cl)cc3C2)c4cn[nH]c4	CHEMBL481553	pIC50=8.3
COc1cc(cc2C(=O)NC(=Nc12)C3COc4ccc(C)cc4C3)c5cn[nH]c5	CHEMBL1684226	pIC50=8.3
COc1ccc(cc1)[C@@H]2CN(C)C[C@H]2C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL2333887	pIC50=8.3
COc1cccc(CN(CCCN2CCCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332070	pIC50=8.3
COc1cccc(CN(CCN2CCCCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332073	pIC50=8.3
COc1cccc(CNC(=O)Nc2ccc(cc2)c3ccncc3)c1	CHEMBL3402448	pIC50=8.3
COc1cccc(CNC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4C)c1	CHEMBL1923165	pIC50=8.3
COc1cccc(CNC(=O)c2cn(c3ccccc3)c4cc(ccc24)c5cn[nH]c5)c1	CHEMBL1922125	pIC50=8.3
COc1ccccc1CNC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4	CHEMBL1923179	pIC50=8.3
Cc1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1083749	pIC50=8.3
Clc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(cc3)c4cn[nH]c4	CHEMBL475613	pIC50=8.3
NCc1ccc(cc1c2cccc(c2)C(=O)OCC3CCCC3)C(=O)Nc4ccncc4	CHEMBL2440753	pIC50=8.3
CCCCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440747	pIC50=8.31
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nnn(c4c5ccccc5)c6nonc6N)c3)sc2C1	CHEMBL3680721	pIC50=8.31
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6cccc(c6)c7cn[nH]c7	CHEMBL3704383	pIC50=8.31
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cnc(s4)c5cccnc5)c3)cc2C1	CHEMBL3680799	pIC50=8.32
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(OC(=O)c4cccnc4)cc3	CHEMBL3792612	pKi=8.32
N[C@@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5ccncc5)c3)sc2C1	CHEMBL3680711	pIC50=8.32
CN1CCC(CC1)OC(=O)Cc2ccc(NC(=O)c3cccc(c3)c4cc(ccc4CN)C(=O)Nc5ccncc5F)cc2	CHEMBL3426729	pIC50=8.34
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)C5CSN=N5)c3)cc2C1	CHEMBL3680710	pIC50=8.34
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ccnc(C)c5)c3)sc2C1	CHEMBL3680776	pIC50=8.36
NCc1ccc(cc1c2cccc(c2)C(=O)OCC3CCC3)C(=O)Nc4ccncc4F	CHEMBL2440756	pIC50=8.37
Cc1ccc(C(=O)OCc2ccc(cc2)C(CN)C(=O)Nc3ccc4cnccc4c3)c(C)c1	CHEMBL3794389	pKi=8.38
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6cc([nH]n6)c7ccncc7	CHEMBL3704382	pIC50=8.38
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cc([nH]n5)c6ccncc6)sc2C1	CHEMBL3700950	pIC50=8.39
COC(=O)c1ccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)cc1	CHEMBL3426624	pIC50=8.39
CCc1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1084051	pIC50=8.4
CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N	CHEMBL220241	pIC50=8.4
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc6cc(O)ccc6c5)sc2C1	CHEMBL3700935	pIC50=8.4
COc1cc(ccc1NC(=O)C2COc3ccc(C)cc3C2)c4cn[nH]c4	CHEMBL519269	pIC50=8.4
COc1ccc(C[C@H](N)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4)cc1	CHEMBL2333909	pIC50=8.4
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(cc3SCCC(=O)N(C)C)c4cn[nH]c4	CHEMBL1215452	pIC50=8.4
COc1cccc(CN(C)C(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922042	pIC50=8.4
COc1cccc(CN(CCCN2CCCCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332074	pIC50=8.4
COc1cccc(CN(CCCN2CCOCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332072	pIC50=8.4
COc1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1083748	pIC50=8.4
C[N+]1(C)C[C@H]([C@@H](C1)c2ccccc2)C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL2333886	pIC50=8.4
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCC3c4ccc(Br)cc4	CHEMBL1084653	pIC50=8.4
Clc1ccc(cc1)[C@@H]2CNC[C@H]2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1082821	pIC50=8.4
FC(F)(F)c1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1083276	pIC50=8.4
Fc1cc(ccc1NC(=O)C2COc3ccccc3C2)c4cn[nH]c4	CHEMBL519101	pIC50=8.4
Fc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(cc3)c4cn[nH]c4	CHEMBL475612	pIC50=8.4
NC(=O)c1ccc(NC(=O)NCc2cccc(c2)C(=O)Nc3ccc4CCNCc4c3)cc1	CHEMBL600852	pIC50=8.4
N[C@H](Cc1ccc(Cl)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2334294	pIC50=8.4
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4nnn(c4c5ccccc5)c6nonc6N)c3)cc2C1	CHEMBL3680762	pIC50=8.41
