COC1=CC2=C(C=C1C(N)=O)C(OC1=CC=C(NC(=O)NC3CC3)C(Cl)=C1)=CC=N2	lenvatinib	pIC50=7.0	pIC50=7.0	pIC50=7.0
COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC	cabozantinib	pIC50=8.33724213	pIC50=8.33724213	pIC50=8.33724213
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=9.68	pKd=9.68	pKd=9.68	pIC50=7.82
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.74	pKd=8.74	pKd=8.74	pKd=8.19
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKd=7.8	pKd=7.8	pKd=7.8	pKd=7.55
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.24	pKd=9.24	pKd=9.24	pIC50=7.89
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKd=7.89	pKd=7.89	pKd=7.89	pIC50=7.67
Cc1ccc(cc1C#Cc2cnc3ccnn3c2)C(=O)Nc4ccc(Cl)cc4	CHEMBL2336038	pIC50=7.53
Fc1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1C(F)(F)F	CHEMBL491628	pIC50=7.96
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3	CHEMBL411903	pIC50=7.96
Nc1noc2cccc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12	CHEMBL270086	pIC50=7.96
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4cncc(N)c4	CHEMBL1289467	pIC50=7.97
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)NCCCN5CCCC5	CHEMBL2430249	pIC50=7.97
CCN(CC)CCCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc12	CHEMBL2430247	pIC50=8.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(Cl)cc23)c1C	CHEMBL13485	pIC50=8.0
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(C)(C)C)n3C)ccn1	CHEMBL470808	pIC50=8.0
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c4nccs4	CHEMBL1908396	pKd=8.0
C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4	CHEMBL2062935	pKi=8.0
Cc1cc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)ccc1F	CHEMBL374044	pIC50=8.0
Cc1cccc(NC(=O)Nc2ccc(cc2)c3ccc(C)c4[nH]nc(N)c34)c1	CHEMBL219887	pIC50=8.0
Cc1cn(cn1)c2cc(F)cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)c2	CHEMBL2311807	pIC50=8.0
Nc1nc(Nc2cccc(c2)C(=O)N3CCOCC3)nn1c4ccccn4	CHEMBL1835864	pKi=8.0
Nc1noc2cccc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12	CHEMBL271600	pIC50=8.0
[O-][N+](=O)c1ccccc1c2n[nH]cc2\C=C\3/C(=O)Nc4ccccc34	CHEMBL2347053	pIC50=8.0
Cc1ccc(CNC(=O)Nc2ccccc2)cc1NC(=O)c3cnc4ccccn34	CHEMBL3608785	pIC50=8.01
COc1cc(O)c2C(=O)O[C@@H](C)C\C=C/C(=O)[C@@H](O)[C@H](O)C\C=C\c2c1	CHEMBL1668411	pIC50=8.02
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6	CHEMBL1230609	pKd=8.02
COc1cc2c(Oc3ccc(NC(=O)c4cn(nn4)c5ccccc5Cl)cc3F)ccnc2cc1OCCCN6CCCCC6	CHEMBL3823520	pIC50=8.03
COc1ccc(NC(=O)c2ccc(C)c(c2)C#Cc3cnc4ccnn4c3)cc1	CHEMBL2336018	pIC50=8.03
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccc(NC(=O)CCN5CCOCC5)cc34)cc2)n(n1)c6cccc(N)c6	CHEMBL2403821	pIC50=8.04
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4ccc(N)cc4	CHEMBL3319472	pIC50=8.04
CCN(CC)CCN1CCCCc2[nH]c(\C=C\3/C(=O)Nc4ccc(F)cc34)c(C)c2C1=O	CHEMBL1277161	pIC50=8.05
COc1ccc(Nc2nc(N)n(n2)c3ccccn3)cc1OC	CHEMBL1835740	pKi=8.05
Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)NCCCC3CCCCC3	CHEMBL520718	pIC50=8.05
Cc1cccc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1	CHEMBL371329	pIC50=8.05
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(ccn4c3N)c5cnn(C)c5)c1	CHEMBL453057	pIC50=8.05
Clc1ccc(NC(=O)Nc2ccc3\C(=C\c4ccc[nH]4)\C(=O)Nc3c2)cc1	CHEMBL1172886	pIC50=8.05
OCCCNc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL395700	pIC50=8.05
OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)nncc3c2	CHEMBL253968	pIC50=8.05
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4cc(OC)c(OC)c(OC)c4	CHEMBL3319468	pIC50=8.06
CN1CCN(CC1)[C@H]2CCc3cc(ccc23)C(=O)Nc4ccc(C)c(Nc5nccc(n5)c6cccnc6)c4	CHEMBL3690082	pIC50=8.07
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4ccc(C(=O)N5CCOCC5)c(N)c4	CHEMBL3319467	pIC50=8.07
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)N5CCC[C@H]5CN6CCCC6	CHEMBL2430253	pIC50=8.07
CCCCNc1ncc2c(cn([C@@H]3CC[C@@H](O)CC3)c2n1)c4ccc(CN5CCN(C)CC5)cc4	CHEMBL3326006	pIC50=8.09
CC(C)(C)c1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1	CHEMBL490407	pIC50=8.1
CCN1CCC(CC1)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2203434	pIC50=8.1
CN1C(C)(C)CC(CC1(C)C)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2206277	pIC50=8.1
Cc1c(\C=C\2/C(=O)Nc3ccc(F)cc23)[nH]c4CCCN(C[C@H](O)CN5CCOCC5)C(=O)c14	CHEMBL1277072	pIC50=8.1
OCCNc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL398052	pIC50=8.1
OC[C@@H](O)C(=O)N1CCC(CC1)c2ccc(OC(=O)c3ncc(C#N)[nH]3)c(c2)C4=CCCCC4	CHEMBL3680625	pIC50=8.1
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)N5CCC(CC5)N6CCCCC6	CHEMBL2430252	pIC50=8.11
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)n(n1)c5cccc(N)c5	CHEMBL2403815	pIC50=8.12
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3cn4c5ccccc5sc4n3)cc2)c1	CHEMBL575925	pKd=8.13
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)NCCN5CCCC5	CHEMBL2430260	pIC50=8.13
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(n1)c5cccc(c5)[N+](=O)[O-]	CHEMBL2403814	pIC50=8.14
O=C(Nc1ccc(cc1)c2ccccc2)Nc3ccc4\C(=C\c5ccc[nH]5)\C(=O)Nc4c3	CHEMBL1172837	pIC50=8.14
CCCc1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1	CHEMBL489786	pIC50=8.16
CCN(CC)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(cc34)[N+](=O)[O-])\CCCc12	CHEMBL2430254	pIC50=8.16
CCNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247793	pIC50=8.16
CCc1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1	CHEMBL489579	pIC50=8.16
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4ccc(NC(=O)Nc5cc(nn5c6cccc(N)c6)C(C)(C)C)cc4)c3c2)CC1	CHEMBL2403820	pIC50=8.16
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3nsc4ncnc(N)c34)c1	CHEMBL262433	pIC50=8.16
Cc1ccc(cc1C(=O)Nc2ccc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL470483	pIC50=8.16
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1	CHEMBL404367	pIC50=8.16
Nc1n[nH]c2nccc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12	CHEMBL255955	pIC50=8.16
Nc1noc2cccc(c3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12	CHEMBL406660	pIC50=8.16
Nc1noc2cccc(c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12	CHEMBL272802	pIC50=8.16
Oc1ccc(cc1)c2ccc3c(n[nH]c3n2)c4ccc(cc4)N5CCNCC5	CHEMBL1910893	pIC50=8.16
CN(C)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc12	CHEMBL2430261	pIC50=8.18
CC(C)(C)c1onc(NC(=O)Nc2ccc(cc2)c3cn4c5ccc(OCCN6CCOCC6)cc5sc4n3)c1	CHEMBL576982	pKd=8.2
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4cccc(N)c4	CHEMBL2152262	pIC50=8.2
Brc1cccc(NC(=O)Nc2ccc(Nc3ncnc4sc5CCCCc5c34)cc2)c1	CHEMBL3628799	pIC50=8.22
CC1=C(C(=O)N(C=C1)c2ccc3c(NCC3(C)C)c2)c4ccc5nc(N)ncc5c4	CHEMBL493986	pIC50=8.22
COCCN1CCN(CC1)C(C)(C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085834	pIC50=8.22
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)CC6)cc5)ncc4C1=O	CHEMBL505830	pIC50=8.22
COc1cc2c(ncnc2cc1OCCCN3CCCCC3C)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N	CHEMBL126699	pIC50=8.22
Cc1[nH]c(\C=C\2/C(=O)Nc3cc(NC(=O)Nc4ccccc4)ccc23)c(C)c1C(=O)O	CHEMBL1173107	pIC50=8.22
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1	CHEMBL196363	pIC50=8.22
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3	CHEMBL260092	pIC50=8.22
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)NCCCN5CCOCC5	CHEMBL2430248	pIC50=8.24
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)NCCN5CCCCC5	CHEMBL2430259	pIC50=8.24
O=C(Nc1ccccc1)Nc2ccc3\C(=C\c4ccc[nH]4)\C(=O)Nc3c2	CHEMBL1173482	pIC50=8.29
CC(C)(C)c1cccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)c1	CHEMBL519520	pIC50=8.3
CC(C)(N)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158300	pIC50=8.3
CCN(CC)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc12	CHEMBL2180602	pIC50=8.3
CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1908842	pIC50=8.3
CNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL394503	pIC50=8.3
CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)cn1	CHEMBL247250	pIC50=8.3
CNC(=O)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247437	pIC50=8.3
COc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)cc1	CHEMBL269885	pIC50=8.3
Cc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)cc1	CHEMBL272645	pIC50=8.3
Cc1ccc(cc1C(=O)Nc2cnc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL272902	pIC50=8.3
Cc1cccc(NC(=O)Nc2ccc(cc2)c3ccc(F)c4[nH]nc(N)c34)c1	CHEMBL374752	pIC50=8.3
CN1CCN(CC2=CC=C(NC(=O)C3=CC=C(C)C(=C3)C#CC3=CN=C4C=CC=NN34)C=C2C(F)(F)F)CC1	ponatinib	pIC50=8.31
Cc1ccc(cc1C#Cc2cnc3ccnn3c2)C(=O)Nc4cccc(Cl)c4	CHEMBL2336037	pIC50=8.31
COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3)c2cc1OC	CHEMBL2105717	pIC50=8.34
COc1ccc(NC(=O)Nc2ccc3\C(=C\c4[nH]c(C)c(CCC(=O)O)c4C)\C(=O)Nc3c2)cc1	CHEMBL1173541	pIC50=8.35
[O-][N+](=O)c1ccc2ncnc(Nc3ccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)cc3)c2c1	CHEMBL2403878	pIC50=8.35
Cc1cn(cn1)c2cccc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)c2	CHEMBL2311808	pKd=8.36
COc1cc2c(Oc3ccc(NC(=O)C4=NN(C(=O)C=C4C)c5ccccc5C(F)(F)F)cc3F)ccnc2cc1OCCCN6CCOCC6	CHEMBL3290931	pIC50=8.37
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1	CHEMBL1969102	pIC50=8.37
CCN(CC)CC(O)CNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc12	CHEMBL2430250	pIC50=8.39
CCN(CC)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(C)cc34)\CCCc12	CHEMBL2430266	pIC50=8.39
CC(=O)Nc1ncc(NC(=O)c2c(Cl)ccc3c(Nc4cccc(c4)C(F)(F)F)noc23)cn1	CHEMBL488985	pIC50=8.4
CCN(CC)CCN1CCCc2[nH]c(\C=C\3/C(=O)Nc4ccc(F)cc34)c(C)c2C1=O	CHEMBL1276981	pIC50=8.4
CCN(CC)CCN1CCc2[nH]c(\C=C\3/C(=O)Nc4ccc(Br)cc34)c(C)c2C1=O	CHEMBL1278233	pIC50=8.4
CCN(CC)CCN1CCc2[nH]c(\C=C\3/C(=O)Nc4ccc(Cl)cc34)c(C)c2C1=O	CHEMBL1278147	pIC50=8.4
CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)cn1	CHEMBL247798	pIC50=8.4
CN1C(=O)N(Cc2cnc(N)nc12)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C	CHEMBL459850	pEC50=8.4
CN1CCC(CC1)c2ccc(Nc3nc(N)n(n3)c4ccccn4)cc2	CHEMBL1835867	pIC50=8.4
COc1cc2c(Oc3ccc(NC(=O)c4nnn(c5ccc(F)cc5)c4C(F)(F)F)cc3F)ccnc2cc1OCCCN6CCCC6	CHEMBL3343366	pIC50=8.4
COc1cc2c(ncnc2cc1OCCCN3CCC(C)CC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N	CHEMBL445636	pIC50=8.4
COc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1	CHEMBL269894	pIC50=8.4
Cc1c(\C=C\2/C(=O)Nc3ccc(F)cc23)[nH]c4CCCN(CCN5CCOCC5)C(=O)c14	CHEMBL1277071	pIC50=8.4
FC(F)(F)Oc1cccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)c1	CHEMBL484885	pIC50=8.4
Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL400109	pIC50=8.4
Nc1nc(Nc2ccc(cc2)[C@@H]3CC[C@H](CC3)N4CCOCC4)nn1c5ccccn5	CHEMBL1835870	pIC50=8.4
OCCOCCNc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247423	pIC50=8.4
COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccccc5C4=O)c6ccccc6C(F)(F)F)cc3F)ccnc2cc1OCCCN7CCCC7	CHEMBL2385195	pIC50=8.41
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=8.43
CC1CCN(CC1)c2cc(ccc2NC(=O)c3cc(c[nH]3)C#N)N4CCN(C)CC4	CHEMBL254702	pIC50=8.46
CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1	axitinib	pKd=8.46
COc1ccc(NC(=O)Nc2ccc3\C(=C\c4[nH]c(C)c(C(=O)O)c4C)\C(=O)Nc3c2)cc1	CHEMBL1173174	pIC50=8.48
COc1ccc(NC(=O)Nc2ccc3\C(=C\c4[nH]cc(C(=O)O)c4C)\C(=O)Nc3c2)cc1	CHEMBL1173411	pIC50=8.51
CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(C)(C)C)n3C)ccn1	CHEMBL3335371	pIC50=8.52
CNC(=O)c1cc(CNc2ccsc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247618	pIC50=8.52
CNc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL399534	pIC50=8.52
CNc1nccc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)n1	CHEMBL246424	pIC50=8.52
COc1cc2ncnc(Nc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c2cc1OC	CHEMBL3628796	pIC50=8.52
Cc1c(\C=C\2/C(=O)Nc3ccc(F)cc23)[nH]c4CCN(CCN5CCCC5)C(=O)c14	CHEMBL1276890	pIC50=8.52
Cc1cccc(NC(=O)c2ccc(C)c(c2)C#Cc3cnc4ccnn4c3)c1	CHEMBL2331602	pIC50=8.52
FC(F)(F)c1cccc(Nc2noc3c(C(=O)Nc4cccnc4)c(Cl)ccc23)c1	CHEMBL489196	pIC50=8.52
FC(F)(F)c1cccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)c1	CHEMBL491429	pIC50=8.52
Cc1nc(Nc2nc3ccc(nc3s2)c4cccc(c4)C(=O)Nc5cccc(c5)C(F)(F)F)cc(n1)N6CCNCC6	CHEMBL2148120	pKd=8.54
CCN(CC)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(Cl)cc34)\CCCc12	CHEMBL2430264	pIC50=8.57
CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4cc(nn4c5cccc(N)c5)C(C)(C)C)cc3)c2c1	CHEMBL2403819	pIC50=8.57
Cc1ccc(NC(=O)c2ccc(C)c(c2)C#Cc3cnc4ccnn4c3)cc1	CHEMBL2336035	pIC50=8.58
Cc1ccc(cc1c2ccc3c(nncc3c2)c4ccccc4F)C(=O)NC5CC5	CHEMBL1088796	pKd=8.62
CCN(CC)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(Br)cc34)\CCCc12	CHEMBL2430265	pIC50=8.64
COc1cc2c(Oc3ccc(NC(=O)C4=NN(C(=O)c5ccccc45)c6ccc(F)cc6)cc3F)ccnc2cc1OCCCN7CCCC7	CHEMBL3309402	pIC50=8.66
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL504075	pKd=8.66
COc1ccc(cc1OC)c2cnc3[nH]cc(c4ccc(OC)c(OC)c4)c3c2	CHEMBL3102948	pIC50=8.68
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)N5CCOCC5	CHEMBL2430251	pIC50=8.68
CC(=O)Nc1ccc(NC(=O)c2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F)cn1	CHEMBL487864	pIC50=8.7
CCN(CC)CCN1CCc2[nH]c(\C=C\3/C(=O)Nc4ccc(F)cc34)c(C)c2C1=O	CHEMBL1278146	pIC50=8.7
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C(F)(F)F)c3)c2cc1OC	CHEMBL2029988	pKd=8.7
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)NCCN5CCOCC5	CHEMBL2430258	pIC50=8.7
NC(=O)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL248051	pIC50=8.7
Nc1ccc(NC(=O)c2c(Cl)ccc3c(Nc4cccc(c4)C(F)(F)F)noc23)cn1	CHEMBL523816	pIC50=8.7
COc1cccc(NC(=O)c2ccc(C)c(c2)C#Cc3cnc4ccnn4c3)c1	CHEMBL2336040	pIC50=8.72
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3cc4ccccc4cn3)cc2)c1	CHEMBL1081509	pKd=8.75
COc1ccc(NC(=O)Nc2ccc3\C(=C\c4ccc[nH]4)\C(=O)Nc3c2)cc1	CHEMBL1173149	pIC50=8.82
Cc1[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc2c1C(=O)NCCO	CHEMBL2430262	pIC50=8.85
CCN1C(C)(C)CC(CC1(C)C)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2206278	pIC50=8.92
Brc1cccc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)c1	CHEMBL3628797	pIC50=9.0
Brc1cccc(NC(=O)Nc2ccc(Nc3ncnc4sccc34)cc2)c1	CHEMBL3628798	pIC50=9.0
CC(=O)Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL248256	pIC50=9.0
CC(=O)Nc1ccc(NC(=O)c2c(Cl)ccc3c(Nc4cccc(c4)C(F)(F)F)noc23)cn1	CHEMBL490823	pIC50=9.0
CC1=C(C(=O)N(CCC2CCCC2)C=C1)c3ccc4nc(N)ncc4c3	CHEMBL494821	pIC50=9.0
CN(C)CCN1CCc2[nH]c(\C=C\3/C(=O)Nc4ccc(F)cc34)c(C)c2C1=O	CHEMBL1278234	pIC50=9.0
Cc1c(\C=C\2/C(=O)Nc3ccc(F)cc23)[nH]c4CCN(CCN5CCOCC5)C(=O)c14	CHEMBL1276891	pIC50=9.0
Cc1c(\C=C\2/C(=O)Nc3ccc(F)cc23)[nH]c4CCN(C[C@H](O)CN5CCOCC5)C(=O)c14	CHEMBL1276980	pIC50=9.0
Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)cc3)c2c1	CHEMBL2403879	pIC50=9.0
Nc1ncc(NC(=O)c2c(Cl)ccc3c(Nc4cccc(c4)C(F)(F)F)noc23)cn1	CHEMBL488984	pIC50=9.0
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3ncccc3O)cc2)c1	CHEMBL1079545	pKd=9.02
Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NC[C@H](O)CN4CCOCC4	CHEMBL1721885	pKd=9.17
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN5CCCC5	CHEMBL491473	pKd=9.27
CN[C@@H]1CC2OC([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL3683258	pIC50=9.75
