CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib
COc1ccc(cc1)[C@H]2C[C@@H]2C(=O)Nc3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL3086533	pKi=8.6
CCC(O)(CC)c1ccc2cc([nH]c2c1)c3n[nH]c4ccsc34	CHEMBL2017553	pIC50=8.62
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(Nc3cc([nH]n3)c4ccccc4)n2)S(=O)(=O)c5ccccc5	CHEMBL3355730	pKi=8.64
CC(C)(O)CN1\C(=N\C(=O)c2ccc(s2)c3cn[nH]c3)\Nc4cc(CN5CCC(O)C5)ccc14	CHEMBL494743	pIC50=8.7
CC(C)(O)CN1\C(=N\C(=O)c2ccc(s2)c3cn[nH]c3)\Nc4cc(CN5CCOCC5)ccc14	CHEMBL494027	pIC50=8.7
CC(C)(O)CN1\C(=N\C(=O)c2ccc(s2)c3cn[nH]c3)\Nc4cc(CNc5ccccc5)ccc14	CHEMBL493319	pIC50=8.7
CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1C	CHEMBL2179805	pIC50=8.7
CCC(C)NCc1ccc2N(CC(C)(C)O)\C(=N\C(=O)c3ccc(s3)c4cn[nH]c4)\Nc2c1	CHEMBL495026	pIC50=8.7
CN(C(=O)c1ccc(F)cc1)c2ccc3c(c2)nc(NC(=O)c4ccc(cc4)C#N)n3CCC(=O)N	CHEMBL483581	pIC50=8.7
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(s4)c5ccncc5)\Nc3c2	CHEMBL519960	pIC50=8.7
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(s4)c5cn[nH]c5)\Nc3c2	CHEMBL481720	pIC50=8.7
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(s4)c5cncc(c5)C#N)\Nc3c2	CHEMBL481900	pIC50=8.7
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(s4)c5ocnc5)\Nc3c2	CHEMBL481884	pIC50=8.7
CN(C)CCN(C)Cc1ccc2N(CC(C)(C)O)\C(=N\C(=O)c3ccc(s3)c4cn[nH]c4)\Nc2c1	CHEMBL492990	pIC50=8.7
CN(Cc1ccc2N(CC(C)(C)O)\C(=N\C(=O)c3ccc(s3)c4cn[nH]c4)\Nc2c1)C5CCCCC5	CHEMBL522849	pIC50=8.7
CNCc1ccc2N(CC(C)(C)O)\C(=N\C(=O)c3ccc(s3)c4cn[nH]c4)\Nc2c1	CHEMBL494135	pIC50=8.7
Cc1cnc(Nc2cc(Cc3ccccc3)nc(N[C@@H]4CC[C@@H](O)CC4)n2)s1	CHEMBL2441267	pKi=8.7
CC(C)(O)c1ccc2cc([nH]c2c1)c3n[nH]c4ccsc34	CHEMBL2017552	pIC50=8.72
CN(C)Cc1cccc(c1)[C@H]2C[C@@H]2C(=O)Nc3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL3086537	pKi=8.72
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(Nc3cc([nH]n3)c4ccc(F)cc4)n2)S(=O)(=O)c5ccccc5	CHEMBL3355733	pKi=8.75
O=C(Nc1cnc(Cc2ccccc2)s1)c3n[nH]c4ccccc34	CHEMBL3263039	pKi=8.77
CCc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]5CC[C@@H](O)CC5)n3)sc2n1	CHEMBL2441277	pKi=8.8
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(Nc3cc([nH]n3)C4CCC4)n2)S(=O)(=O)c5ccccc5	CHEMBL3355736	pKi=8.8
Nc1ccc(cn1)c2ccc3c(n[nH]c3c2)C(=O)Nc4cnn(Cc5cccc(c5)C#N)c4	CHEMBL3263035	pKi=8.85
CN(C)CC[C@@H](c1cccc(Cl)c1)n2cc(NC(=O)c3n[nH]c4CC(C)(C)CCc34)cn2	CHEMBL3298376	pKi=8.92
COc1ccc(cc1)c2cc(Nc3cc(cc(N[C@@H]4CC[C@@H](O)CC4)n3)S(=O)(=O)c5ccccc5)n[nH]2	CHEMBL3355732	pKi=8.92
O=C(Nc1cnn(Cc2cccc(c2)C#N)c1)c3n[nH]c4cc(ccc34)c5cn[nH]c5	CHEMBL3263036	pKi=8.96
CC(C)(O)CN1\C(=N\C(=O)c2ccc(s2)c3cn[nH]c3)\Nc4cc(CNC5CCCCC5)ccc14	CHEMBL493928	pIC50=9.0
CC(C)(O)CN1\C(=N\C(=O)c2ccc(s2)c3cn[nH]c3)\Nc4cc(CNCc5ccccc5)ccc14	CHEMBL493537	pIC50=9.0
CC(C)CNCc1ccc2N(CC(C)(C)O)\C(=N\C(=O)c3ccc(s3)c4cn[nH]c4)\Nc2c1	CHEMBL522871	pIC50=9.0
CC1COCC(C)N1Cc2ccc3N(CC(C)(C)O)\C(=N\C(=O)c4ccc(s4)c5cn[nH]c5)\Nc3c2	CHEMBL522682	pIC50=9.0
CC[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4cc(ccc34)c5cn[nH]c5)cn2	CHEMBL3263049	pKi=9.0
CN(Cc1cccnc1)Cc2ccc3N(CC(C)(C)O)\C(=N\C(=O)c4ccc(s4)c5cn[nH]c5)\Nc3c2	CHEMBL521695	pIC50=9.0
CN(C)CC[C@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4cc(ccc34)c5cn[nH]c5)cn2	CHEMBL3263052	pKi=9.03
CC(C)(O)[C@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4cc(ccc34)c5cn[nH]c5)cn2	CHEMBL3263054	pKi=9.1
CN(C)C[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4CC(C)(C)CCc34)cn2	CHEMBL3298370	pKi=9.1
CN(C)CC[C@@H](c1cccc(C)c1)n2cc(NC(=O)c3n[nH]c4CC(C)(C)CCc34)cn2	CHEMBL3298375	pKi=9.16
CN(C)CC[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4CC(C)(C)CCc34)cn2	CHEMBL3298371	pKi=9.16
CN(C)Cc1ccc(cc1)[C@H]2C[C@@H]2C(=O)Nc3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL3086536	pKi=9.16
CCc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]5CC[C@@H](O)CC5)n3)sc2c1	CHEMBL2441273	pKi=9.2
CN(C)Cc1ccc(cc1)C2CC2C(=O)Nc3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL3086535	pKi=9.22
OC[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4cc(ccc34)c5cn[nH]c5)cn2	CHEMBL3263050	pKi=9.25
CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(c3)[C@@H](CS(=O)(=O)C)c4ccccc4	CHEMBL3426306	pKi=9.3
CCN(CC)Cc1cc(ccc1OC)[C@H]2C[C@@H]2C(=O)Nc3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL3086538	pKi=9.3
Cc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]5CC[C@@H](O)CC5)n3)sc2c1	CHEMBL2441270	pKi=9.4
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(Nc3cc([nH]n3)C4CCCCC4)n2)S(=O)(=O)c5ccccc5	CHEMBL3355738	pKi=9.42
O[C@@H]1CC[C@H](CC1)Nc2nc(Cc3ccccc3)cc(Nc4nc5ccc(Cl)cc5s4)n2	CHEMBL2441271	pKi=9.5
CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(c3)C(C4CN(CCF)C4)c5ccccc5	CHEMBL3287196	pKi=9.52
CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(c3)[C@@H](C4CCS(=O)(=O)CC4)c5ccccc5	CHEMBL3426304	pKi=9.52
CC12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3CC1C2(F)F	CHEMBL3426307	pKi=9.52
CCC(O)(CC)c1ccc2cc([nH]c2c1)c3n[nH]c4cc(sc34)C(F)F	CHEMBL2017556	pIC50=9.52
Cc1cnc(Nc2cc(cc(N[C@@H]3CC[C@@H](O)CC3)n2)S(=O)(=O)c4ccccc4)s1	CHEMBL3355728	pKi=9.57
O[C@@H]1CC[C@H](CC1)Nc2nc(Cc3ccccc3)cc(Nc4nc5ccc(cc5s4)C#N)n2	CHEMBL2441274	pKi=9.6
O[C@@H]1CC[C@H](CC1)Nc2nc(Cc3ccccc3)cc(Nc4nc5cccnc5s4)n2	CHEMBL2441276	pKi=9.6
CC(C)(O)[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4cc(ccc34)c5cn[nH]c5)cn2	CHEMBL3263055	pKi=9.64
CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(c3)[C@@H](C4CCNCC4)c5ccccc5	CHEMBL3298373	pKi=9.7
COc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]5CC[C@@H](O)CC5)n3)sc2n1	CHEMBL2441275	pKi=9.7
C[C@]12C[C@H]1Cc3c(C2)[nH]nc3C(=O)Nc4cnn(c4)[C@@H](C5CCS(=O)(=O)CC5)c6ccccc6	CHEMBL3426308	pKi=9.7
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(Nc3cc([nH]n3)C4CCCC4)n2)S(=O)(=O)c5ccccc5	CHEMBL3355737	pKi=9.77
