COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O	eluxadoline	pKi=8.76955128	pKi=8.76955128	pKi=8.76955128	pEC50=9.0
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=7.01772881	pKi=7.01772881	pKi=7.01772881
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N	dezocine	pEC50=7.42	pEC50=7.42	pEC50=7.42
CCOC(=O)C1(CCN(C)CC1)c2ccccc2	pethidine	pKi=6.04	pKi=6.04	pKi=6.04
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2C	levorphanol	pKi=9.68	pKi=9.68	pKi=9.68	pKi=9.68
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	tramadol	pKi=5.8	pKi=5.8	pKi=5.8
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2CC=C	levallorphan	pKi=9.32	pKi=9.32	pKi=9.32	pKi=8.77
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3O	hydromorphone	pKi=9.55	pKi=9.55	pKi=9.55	pKi=9.55
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC	hydrocodone	pKi=8.02	pKi=8.02	pKi=8.02	pKi=8.02
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])C=C[C@@H]2O)=CC=C3OC	codeine	pKi=6.14	pKi=6.14	pKi=6.14
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC	dihydrocodeine
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	methylnaltrexone	pKi=7.55	pKi=7.55	pKi=7.55
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	sufentanil	pEC50=8.13	pEC50=8.13	pEC50=8.13
CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC	remifentanil
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O	oxymorphone	pKi=9.4437	pKi=9.4437	pKi=9.4437
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC	oxycodone	pKi=7.7959	pKi=7.7959	pKi=7.7959
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	naloxone	pKi=8.81	pKi=8.81	pKi=8.81	pIC50=7.7
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O	nalbuphine	pKi=8.8	pKi=8.8	pKi=8.8	pIC50=7.62
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	morphine	pEC50=7.86	pEC50=7.86	pEC50=7.86	pKi=7.42
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	naltrexone	pKi=9.38	pKi=9.38	pKi=9.38	pIC50=7.81
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2	methadone	pKi=8.78	pKi=8.78	pKi=8.78	pIC50=8.39
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	loperamide	pKi=8.8239	pKi=8.8239	pKi=8.8239	pIC50=8.84
CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2	levomethadyl acetate
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	fentanyl	pEC50=9.0014	pEC50=9.0014	pEC50=9.0014
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	diphenoxylate	pIC50=7.1674	pIC50=7.1674	pIC50=7.1674
[H][C@@](C)(CN(C)C)[C@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1	dextropropoxyphene
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56	buprenorphine	pKi=8.29	pKi=8.29	pKi=8.29	pKi=8.82
CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1	anileridine
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1	alvimopan	pKi=9.3979	pKi=9.3979	pKi=9.3979	pKi=9.33
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	alfentanil	pEC50=8.5	pEC50=8.5	pEC50=8.5
[H]C1(C=CCCC1(C(=O)OCC)C1=CC=CC=C1)N(C)C	tilidine	pEC50=5.1	pEC50=5.1	pEC50=5.1
CCC(=O)N(C(C)CN1CCCCC1)C1=CC=CC=N1	propiram
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1	meptazinol	pEC50=8.06	pEC50=8.06	pEC50=8.06
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1	butorphanol	pKi=9.92	pKi=9.92	pKi=9.92	pKi=9.66
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C	nalmefene	pKd=9.53	pKd=9.53	pKd=9.53	pKi=9.04
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC	naloxegol
OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	difenoxin
[H][C@@]1(CCCC[C@H]1O)[C@@H](N(C)C)C1=CC(O)=CC=C1	ciramadol
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	acetylmethadol
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CC(C(=O)NC(C)(C)C1=NC(=NO1)C1=CC=CC=C1)=C2O	naldemedine
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccc(F)cc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3c(C)cc(O)cc3C)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCc6cc(cc(c6)C(F)(F)F)C(F)(F)F	CHEMBL3736013	pIC50=7.23
CC1(C)CCC(N2CCC3(CC2)N(CN(CCO)C3=O)c4ccccc4)c5ccccc15	CHEMBL474283	pKi=7.23
CC1(C)CCC(N2CCC3(CC2)N(CNC3=O)c4ccccc4)c5ccc(F)cc15	CHEMBL241087	pKi=7.23
CCCCCCCCN1CC[C@@]2(C)[C@@H](C)C1Cc3ccc(O)cc23	CHEMBL116738	pKi=7.23
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3c4cccn4C)c5ccccc5	CHEMBL63563	pKi=7.23
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)Nc4ccccc34)C(C)C)c1	CHEMBL427683	pKi=7.23
COc1ccc(cc1)C2(CC3CCC(C2)N3C(c4ccccc4Cl)c5ccccc5Cl)C(=O)N	CHEMBL512612	pKi=7.23
C[C@H]1CN(CCc2ccccc2)[C@H](CCNC(=O)c3ccccc3)C[C@@]1(C)c4cccc(O)c4	CHEMBL201845	pKi=7.23
Cc1nc(Nc2[nH]nc3c2CN(C(=O)N[C@@H]4C[C@H]4c5ccccc5)C3(C)C)c6sccc6n1	CHEMBL3664542	pKi=7.23
O[C@H]1[C@H]2CCC[C@@]1(CCN2CCc3ccccc3)c4cccc(O)c4	CHEMBL243300	pKi=7.23
CC(=O)Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC6CC6)cc2s1	CHEMBL1766028	pKi=7.24
CC(C)(C)NC[C@@H](O)CN1CN(c2ccccc2)C3(CCN(CCc4ccccc4c5cccs5)CC3)C1=O	CHEMBL3394752	pIC50=7.24
CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)[C@H]3Cc4ccc(OCCCF)cc4CN3	CHEMBL3397596	pKi=7.24
CC(O)CNC(=O)C1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	CHEMBL466694	pKi=7.24
CC1(C)N(Cc2c(Nc3ncnc4ccoc34)n[nH]c12)C(=O)N[C@H]5C[C@@H]5c6ccccc6	CHEMBL3664512	pKi=7.24
CCNC(=O)c1ccc(Oc2ccc(CNCCc3ccccc3)cc2)nc1	CHEMBL238283	pKi=7.24
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4ccccc4Cl)c5cccc(OC)c5	CHEMBL304214	pKi=7.24
CN1Cc2ccccc2CC1CN3CCC4(CC3)CCc5ccccc45	CHEMBL3786338	pKi=7.24
COCCN([C@H]1[C@@H](C=Cc2ccccc12)N3CCN(CC3)c4ccccc4)C(=O)c5sccc5Cl	CHEMBL461050	pIC50=7.24
COc1ccc(Cl)c(OC(CCN2CCC(CC2)n3c(O)nc4ccccc34)C(C)C)c1	CHEMBL262104	pKi=7.24
C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c3cccc(O)c3	CHEMBL403325	pKi=7.24
Cc1ccc(C(N2C3CCC2CC(O)(C3)c4cccc(F)c4)c5ccccc5Cl)c(Cl)c1	CHEMBL467488	pKi=7.24
Cc1ccc(Cl)c(OC2(CCCCC2)C(O)CN3CCC(CC3)n4c(O)nc5ccccc45)c1	CHEMBL424971	pKi=7.24
Oc1ccc2C[C@]34CCC(=O)C[C@]3(CCN(CC5CC5)C4)c2c1	CHEMBL3287466	pKi=7.24
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4cc(F)ccc4Cl	CHEMBL182995	pKi=7.25
CC1=C(CCCCNC(=O)[C@@H](N)Cc2c(C)cc(O)cc2C)NC(=O)C=N1	CHEMBL236868	pKi=7.25
CCCCCCC\N=C(/N)\Cc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL432403	pKi=7.25
CO[C@@]1(CCCC[C@@H]1CN(C)C)c2cccc(O)c2	CHEMBL270642	pIC50=7.25
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4c(C)onc4C)c5ccccc35)C(C)C)c1	CHEMBL259120	pKi=7.25
C[C@@H]1[C@H]2c3cc(Nc4ccccc4)ccc3C[C@H](N1C)c5ccc(Nc6ccccc6)cc25	CHEMBL3707095	pIC50=7.25
Fc1cccc(CN2CCC[C@@H]2C\N=C(/S)\N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5)c1	CHEMBL290463	pKi=7.25
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)NCC(=O)NCc5ccccc5	CHEMBL570634	pKi=7.25
CN1[C@H](CCNC(=O)c2cccs2)CN=C(c3ccccc3)c4ccccc14	CHEMBL2448128	pKi=7.26
Cl.NC(=O)COc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1	CHEMBL497108	pKi=7.26
NC(=O)C1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(Cl)cc5	CHEMBL467131	pKi=7.26
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC(=O)\C(=C/c6ccccc6)\C[C@@]35O)c2c1	CHEMBL3785265	pEC50=7.26
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc8ccccc8c7	CHEMBL493846	pKi=7.26
CNC(=O)CN1C(=O)N(C2CCN(CCC(Oc3cc(OC)ccc3C)C(C)C)CC2)c4ccccc14	CHEMBL391487	pKi=7.27
CNC(=O)CN1C(=O)N(C2CCN(CC[C@H](Oc3cc(OC)ccc3C)C(C)C)CC2)c4ccccc14	CHEMBL260767	pKi=7.27
C[C@H]1C2Cc3ccc(O)cc3[C@@]1(C)CCN2	CHEMBL114203	pKi=7.27
O[C@H]1[C@@H]2CCC[C@]1(CCN2CCc3ccccc3)c4cccc(O)c4	CHEMBL243301	pKi=7.27
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]2CC[C@@H]3SC[C@@H](N3C2=O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NC(Cc4ccc(Cl)cc4)C(=O)N	CHEMBL358403	pKi=7.28
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H]2CC[C@@H]3SC[C@H](N3C2=O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NC(Cc4ccc(Cl)cc4)C(=O)N	CHEMBL3144471	pKi=7.28
CC(C)NC(=O)c1ccc(Oc2ccc(CNCCc3ccccc3)cc2)nc1	CHEMBL238305	pKi=7.28
CC1(C)CN(Cc2ccc(Oc3ccc(cn3)C(=O)N)cc2)C1c4ccccc4	CHEMBL1921849	pKi=7.28
CCN(C)C(=O)c1ccc(cc1)C2(CCCN(CC3CC3)C2)c4cccc(O)c4	CHEMBL592908	pKi=7.28
CN(C(CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(Cl)c(Cl)c3	CHEMBL320882	pKi=7.28
CN([C@H](CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(Cl)c(Cl)c3	CHEMBL38576	pKi=7.28
CNC(=O)c1ccc(Oc2ccc(CNCCc3ccccc3)cc2)nc1	CHEMBL396392	pKi=7.28
COC(=O)[C@@H]1C[C@H](OC(=O)\C=C\c2ccccc2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5	CHEMBL3330670	pKi=7.28
COc1cc(CC(=O)N(C)[C@H](CN2CCCC2)c3ccccc3)c(cc1OC)S(=O)(=O)N4CCN(C)CC4	CHEMBL437784	pKi=7.28
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ccccn4)c5ccccc35)C(C)C)c1	CHEMBL408909	pKi=7.28
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8[C@@H]9Oc%10c(O)ccc%11C[C@H]%12N(C)CC[C@@]9(c%10%11)[C@@]%12(O)Cc8c7C[C@@]36O	CHEMBL610524	pKi=7.28
C[C@@H]1[C@H]2c3cc(ccc3C[C@H](N1C)c4ccc(cc24)N5CCN(C)CC5)N6CCN(C)CC6	CHEMBL3707094	pIC50=7.28
C[C@H]1CN(CC2CC2)CC[C@@]1(C)c3cccc(c3)C(=O)N	CHEMBL334700	pKi=7.28
Cc1c(c2C[C@@]3(O)C4Cc5ccc(O)c6O[C@@H](c2n1Cc7ccccc7)[C@]3(CCN4CC8CC8)c56)c9ccccc9	CHEMBL348268	pKi=7.28
NC(=O)[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccn5	CHEMBL3084528	pKi=7.28
O=C(Nc1nccs1)c2ccc(cc2)C(=C3CC4CCC(C3)N4CCc5ccccc5)c6ccccc6	CHEMBL67428	pKi=7.28
Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CCCCCCN5CC[C@]67CCCC[C@H]6[C@H]5Cc8ccc(O)cc78)c2c1	CHEMBL356889	pKi=7.28
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC(=O)\C(=C/c6ccccc6)\CC[C@@]35O)c2c1	CHEMBL3786083	pKi=7.28
Oc1ccc2O[C@H]3CN(CC=C)CC[C@@]3(CCCc4ccccc4)c2c1	CHEMBL3409105	pKi=7.28
Oc1cccc(c1)[C@@]23CCN(CCc4ccccc4)[C@@H](C[C@@H](C2)c5ccccc5)C3	CHEMBL2418732	pKi=7.28
CC(=O)N[C@H](Cc1c[nH]c2ccc(cc12)[N+](=O)[O-])C(=O)N[C@@H](Cc3ccccc3)C(=O)NCC(=O)N	CHEMBL3319089	pKi=7.29
CC(C)c1nnc(C)n1C2CC3CCC(C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccc(NC(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N[C@@H]6CC[C@@]7(O)[C@H]8Cc9ccc(O)c%10O[C@@H]6[C@]7(CCN8CC%11CC%11)c9%10)cc5	CHEMBL3219777	pKi=7.29
CCCCC(=O)N[C@]12Cc3c([nH]c4ccccc34)[C@@H]5Oc6c(O)ccc7CC1N(C)CC[C@@]25c67	CHEMBL2113381	pKi=7.29
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7ncc(cc7C[C@@]36O)c8ccc(Cl)cc8	CHEMBL610261	pKi=7.29
CCCCNCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5cc(Cl)ccc45)C1=O	CHEMBL471880	pKi=7.3
CNC(=O)C1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	CHEMBL467497	pKi=7.3
COc1ccsc1CNCC[C@]2(CCOC3(CCCC3)C2)c4ccccn4	CHEMBL2443262	pEC50=7.3
Cc1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6cccc4c56	CHEMBL75676	pKi=7.3
Clc1cccc(CNCC[C@]2(CCOC3(CCCC3)C2)c4ccccn4)c1	CHEMBL2443272	pEC50=7.3
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4cccc(c4)C#N)Nc5ccccc5	CHEMBL290240	pKi=7.3
Oc1ccc2C[C@@H]3[C@@H]4CNCC[C@]4(CCN3CC5CC5)c2c1	CHEMBL3695676	pKi=7.3
C(C1COc2ccccc2C1)N3CCC4(CC3)CCc5ccccc45	CHEMBL3785605	pKi=7.31
CC1(C)CCC(N2CCC3(CC2)N(CNC3=O)c4ccccc4)c5ccc(Cl)cc15	CHEMBL393807	pKi=7.31
CCN1\C(=C\C=C\C=C\C2=[N+](CCCCCC(=O)NCCCCCCNC(=O)[C@H]3C[C@]45CC[C@]3(OC)[C@@H]6Oc7c(O)ccc8C[C@H]4N(C)CC[C@@]56c78)c9ccc(cc9C2(C)C)S(=O)(=O)O)\C(C)(C)c%10cc(ccc1%10)S(=O)(=O)O	CHEMBL3747555	pKd=7.31
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c(cn(Cc7ccccc7)c46)c8ccccc8)c35	CHEMBL151476	pKi=7.31
Oc1ccc2O[C@H]3CN(CCCc4ccccc4)CC[C@@]3(CCc5ccccc5)c2c1	CHEMBL2386897	pKi=7.31
Oc1cccc2c1O[C@@H]3CC[C@H]4C[C@@]23CCN4CCc5ccccc5	CHEMBL515842	pKi=7.31
CC(C)CC(=N)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL323726	pKi=7.32
CC1(C)CCC(N2CCC3(CC2)N(CNC3=O)c4ccccc4)c5ccccc15	CHEMBL239822	pKi=7.32
CCC(=O)N([C@@H]1CCN(C[C@H](O)c2ccccc2)C[C@@H]1C)c3ccccc3	CHEMBL435380	pKi=7.32
CC[C@@]12CCNC[C@@H]1Oc3ccc(O)cc23	CHEMBL567855	pKi=7.32
CNC[C@H]1CCCC[C@]1(OC)c2cccc(O)c2	CHEMBL402116	pIC50=7.32
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4cccnc4)c5ccccc35)C(C)C)c1	CHEMBL258781	pKi=7.32
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncnn4C)c5ccccc35)C(C)C)c1	CHEMBL260555	pKi=7.32
C[C@H]1[C@H]2Cc3cc4sc(N)nc4cc3[C@]1(C)CCN2CC5CC5	CHEMBL56356	pKi=7.32
Cl.Cl.CCOc1ccc(Cc2nc3cc(NC(=N)C)ccc3n2CCN(CC)CC)cc1	CHEMBL3217211	pKi=7.32
Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CCCN5CC[C@]67CCCC[C@H]6[C@H]5Cc8ccc(O)cc78)c2c1	CHEMBL424327	pKi=7.32
Oc1nc2ccccc2n1[C@H]3CCN4[C@H](CCC[C@H]4c5ccccc5)C3	CHEMBL291901	pKi=7.32
CC(C)(CCCCCCC(C)(C)C(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)C(=O)O	CHEMBL573918	pKi=7.33
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4cc(N)ccc4C	CHEMBL181389	pKi=7.33
CCCCCCN1C[C@H](C)[C@@](C)(C[C@H]1CCC)c2cccc(O)c2	CHEMBL202327	pKi=7.33
CCCCN(C[C@@H](O)CN1CN(c2ccccc2)C3(CCN(CCc4ccccc4c5cccs5)CC3)C1=O)Cc6ccccc6	CHEMBL3394746	pIC50=7.33
CN(C)C[C@H]1CCCC[C@]1(O)c2cccc(O)c2	CHEMBL1400	pIC50=7.33
CN(C)S(=O)(=O)c1cc2OCOc2cc1CC(=O)N(C)[C@H](CN3CCCC3)c4ccccc4	CHEMBL402135	pKi=7.33
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)Cc6c4[nH]c7ccc(Cl)cc67)c35	CHEMBL248840	pKi=7.33
CNC(=O)CN1C(=O)N(C2CCN(CC2)C3CCC(C)(C)CC3(C)C)c4ccccc14	CHEMBL1087276	pKi=7.33
CO[C@]12CC[C@@]3(C[C@@H]1COCc4cocc4)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CC[N+]5(C)CC8CC8)c67	CHEMBL3678971	pKi=7.33
Cl.Oc1cccc(c1)[C@]23CCC[C@H](C2)N(C[C@@H]4C[C@H]4c5ccccc5)CC3	CHEMBL1672181	pKi=7.33
O=C1CCc2ccccc2N1C3CCN(CC3)C4CCCCCCC4	CHEMBL2387199	pKi=7.33
O=C1NCN(c2ccccc2)C13CCN(CC3)[C@@H]4CC[C@H]5CCCc6cccc4c56	CHEMBL412098	pKi=7.33
Oc1ccc2O[C@H]3CN(CCc4ccc(F)cc4)CC[C@@]3(CCCc5ccccc5)c2c1	CHEMBL3409101	pKi=7.33
Oc1nc2ccccc2n1[C@@H]3CCN4[C@H](CCC[C@H]4C5CCCCC5)C3	CHEMBL54735	pKi=7.33
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3c(C)cc(O)cc3C)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCc6cc(cc(c6)C(F)(F)F)C(F)(F)F	CHEMBL3736364	pIC50=7.34
CN(C)[C@@]1(CC[C@@]2(CC1)OCCc3c2[nH]c4ccc(F)cc34)c5ccccc5.OC(=O)CC(O)(CC(=O)O)C(=O)O	CHEMBL3325958	pKi=7.34
CNCCN1C(=O)N(C2CCN(CCC(Oc3cc(OC)ccc3C)C(C)C)CC2)c4ccccc14	CHEMBL240084	pKi=7.34
NC(=O)[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(Br)nc5	CHEMBL3084561	pKi=7.34
NC(=O)c1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccccc8c7C[C@@]36O	CHEMBL511795	pKi=7.34
CC1(CCCCCCC1)N2CCC(CC2)n3c(nc4ccccc34)c5ccc(F)c(Cl)c5	CHEMBL481547	pKi=7.35
CCC(Oc1cc(C)ccc1Cl)C(O)CN2CCC(CC2)n3c(O)nc4ccccc34	CHEMBL183323	pKi=7.35
CN(C)[C@@]1(CC[C@](O)(CC1)c2ccccc2)c3ccccc3	CHEMBL3325745	pKi=7.35
CN1CC[C@@]23c4c5C[C@@H]1[C@]2(CCCc6ccccc6)Cc7c([nH]c8ccccc78)[C@]3(C)Oc4c(O)cc5	CHEMBL3759489	pEC50=7.35
CN1CC[C@]2(CCCCc3ccccc3)[C@H](C1)Oc4ccc(O)cc24	CHEMBL2386822	pKi=7.35
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4cccs4)c5ccccc35)C(C)C)c1	CHEMBL260169	pKi=7.35
COc1cccc(CNc2ccc3C[C@@H]4[C@@H]5C=C[C@H](O)[C@@H]6Oc2c3[C@]56CCN4C)c1	CHEMBL2048783	pKi=7.35
O[C@@H]1[C@@H]2CCC[C@]1(CCN2CCc3ccccc3)c4cccc(O)c4	CHEMBL243092	pKi=7.35
CN1CC[C@@]23c4c5CC1[C@]2(C\C=C\c6ccccc6)Cc7c([nH]c8ccccc78)[C@]3(C)Oc4c(O)cc5	CHEMBL110461	pKi=7.36
CN1CC[C@]23[C@H]4Oc5c(NCc6ccc(O)cc6)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35	CHEMBL2048787	pKi=7.36
C[C@@H]1[C@H]2c3cc(OC(=O)C)ccc3C[C@H](N1CC4CC4)c5ccc(OC(=O)C)cc25	CHEMBL3707080	pIC50=7.36
C[C@H]1C2Cc3ccc4c(NCc5ccccc5)ncnc4c3[C@@]1(C)CCN2CC6CC6	CHEMBL511243	pKi=7.36
Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccc(cc8c7C[C@@]36O)C(=O)NCc9ccccc9	CHEMBL111530	pKi=7.36
CC(N1CCC(CC1)n2c(O)nc3ccccc23)c4ccccc4Cl	CHEMBL146054	pIC50=7.37
CC1(C)CN(Cc2ccc(Oc3ccc(cn3)C(=O)N)cc2)[C@@H]1c4ccccc4	CHEMBL1921850	pKi=7.37
CCCNCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O	CHEMBL473272	pKi=7.37
CCNC(=O)c1ccc(cc1)\C(=C/2\C[C@H]3CC[C@@H](C2)N3C)\c4ccccc4	CHEMBL67893	pKi=7.37
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ccncc4)c5ccccc35)C(C)C)c1	CHEMBL409351	pKi=7.37
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4cscn4)c5ccccc35)C(C)C)c1	CHEMBL259263	pKi=7.37
[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c2cccc(O)c2)C([2H])([2H])[2H]	CHEMBL201556	pIC50=7.37
