CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.68999958	pKi=9.68999958	pKi=9.68999958	pIC50=9.9
CN1[C@H]2C[C@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	scopolamine	pKi=9.0	pKi=9.0	pKi=9.0	pKi=8.13
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphenonium
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.0	pKi=9.0	pKi=9.0
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	profenamine
OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1	cycrimine
CC1OC2(CS1)CN1CCC2CC1	cevimeline	pEC50=7.6383	pEC50=7.6383	pEC50=7.6383
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pKi=9.6364	pKi=9.6364	pKi=9.6364	pIC50=9.26
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=9.31	pKi=9.31	pKi=9.31	pKi=8.7
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1	procyclidine	pKi=8.33724213	pKi=8.33724213	pKi=8.33724213
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	octatropine methylbromide
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.69999981	pKi=9.69999981	pKi=9.69999981
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1	hexocyclium	pKi=8.60000038	pKi=8.60000038	pKi=8.60000038
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3	diphenidol	pKi=7.1079054	pKi=7.1079054	pKi=7.1079054	pKi=7.11
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pKi=9.07883395	pKi=9.07883395	pKi=9.07883395	pIC50=8.46
C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1	diphemanil
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3	trihexyphenidyl	pIC50=8.89	pIC50=8.89	pIC50=8.89	pIC50=8.25	pIC50=8.89
CN1CCCC(CC2C3=CC=CC=C3SC3=C2C=CC=C3)C1	metixene
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354071	pKi=7.35
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c2ccc(O)cc2	CHEMBL37372	pKi=7.36
CN(C)CCC1=C(C(c2ccccc2)c3ccccn3)c4ccccc4C1	CHEMBL171102	pKi=7.36
Cl.Clc1cc(CO\N=C\C2CN3CCC2C3)on1	CHEMBL100209	pIC50=7.36
[Br-].[Br-].CCCCN(CCCC)c1ccc(\C=C\c2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1	CHEMBL257431	pKi=7.36
CN1CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4	CHEMBL571123	pKi=7.37
CCCC(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL72551	pKi=7.38
CN1CCC=C(C1)c2nsnc2OCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354068	pEC50=7.38
CCCOC(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL74352	pKi=7.39
CN(C)CCCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL285440	pKi=7.39
Cn1cc(cn1)c2ccc(CN3C=C(C(=O)O)C(=O)c4c(F)cccc34)c(F)c2	CHEMBL2063422	pEC50=7.39
CCCCCCOC(=O)C1CN(CC)CC=C1c2ccccc2.OC(C(O)C(=O)O)C(=O)O	CHEMBL1160977	pIC50=7.4
CN1CCCC(C1)c2nc3ccccc3n2CCOc4ccccc4	CHEMBL1094510	pKi=7.4
Cc1ccc(cc1)N(Cc2ccccc2)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779042	pIC50=7.4
CCN1CCC(=C(C1)C(=O)OCCC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL120472	pIC50=7.41
COc1ccc2Nc3ccccc3N=C(N4CCN(C)CC4)c2c1	CHEMBL72794	pIC50=7.41
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL496915	pKi=7.42
CN1CCN(CC1)C2=Nc3cc(OS(=O)(=O)C)ccc3Nc4ccccc24	CHEMBL70609	pIC50=7.42
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN4CCCC5CCCCC45)[C@@H]12	CHEMBL354636	pKi=7.42
C1CN2CCC1C(=C2)c3csc4ccccc34	CHEMBL359027	pKi=7.43
CC(C)(N)CC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL71483	pKi=7.43
CN1CCC=C(C1)c2nsnc2OCC#Cc3ccccc3	CHEMBL291351	pIC50=7.43
CN1CCN(CC1)C2=Nc3ccccc3Nc4ccc(O)cc24	CHEMBL308090	pIC50=7.43
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)S(=O)(=O)c5ccccc5	CHEMBL72494	pKi=7.43
CN(C)C1(CNCCC2CCOCC2)COc3ccc(F)cc3OC1	CHEMBL392186	pKi=7.44
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pKi=7.44
CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(cc4)C(F)(F)F)c3c2)\C	CHEMBL3616500	pEC50=7.44
Cc1cccc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)n1	CHEMBL343659	pKi=7.44
O=C(CCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCCC(=O)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112959	pKi=7.44
CCN1\C(=C\C=C\C2N(CCCCCC(=O)NCCOCCOCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CC3)c7ccc(cc7C2(C)C)S(=O)(=O)O)\C(C)(C)c8cc(ccc18)S(=O)(=O)O	CHEMBL1161713	pKd=7.45
CN(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042554	pKi=7.45
CN1CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4	CHEMBL576663	pKi=7.45
CC(C1=C(CN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL434684	pKi=7.46
CCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL122354	pIC50=7.46
CN1CCN(CC1)C2=Nc3cc(OS(=O)(=O)C(F)(F)F)ccc3Nc4ccccc24	CHEMBL310712	pIC50=7.46
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4COCC[C@@H]4O)c5ncccc35)cn2	CHEMBL3608420	pEC50=7.46
Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3	CHEMBL490	pKi=7.46
O=C(N[C@H]1CN2CCC1CC2)C(c3cccs3)c4cccs4	CHEMBL3401642	pIC50=7.46
[Br-].CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c3ccccc3)CCCCC1	CHEMBL1909073	pIC50=7.46
C1CN2CCC1C(=C2)c3coc4ccccc34	CHEMBL144385	pKi=7.47
[Br-].[Br-].CCN(CC)c1ccc(\C=C\c2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1	CHEMBL257643	pKi=7.47
CCCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL327754	pIC50=7.48
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)S(=O)(=O)Cc5ccccc5	CHEMBL422770	pKi=7.48
[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1	CHEMBL334255	pIC50=7.48
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)c4ccccc4	CHEMBL1779134	pIC50=7.48
Br.CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(O)c3ccccc3	CHEMBL1319362	pKi=7.5
COc1ccc(CCN2C3C4C5CC6C7C5C3C7C2(O)C46)cc1	CHEMBL2205812	pKi=7.5
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)S(=O)(=O)C(C)C	CHEMBL73893	pKi=7.5
C[C@H]1CCC[C@H](CC[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL355854	pKi=7.5
CCCN(CCC)CC1CCCCN1CCNC(=O)N2c3ccccc3C(=O)Nc4cccnc24	CHEMBL279453	pKi=7.51
CN(C)C1(CNCC2CCCCC2)COc3ccccc3OC1	CHEMBL234257	pKi=7.51
CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(Cl)cc4)c3c2)\C	CHEMBL3618450	pEC50=7.51
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=O)C3CCN(CC3)C4CCCCC4	CHEMBL71531	pKi=7.51
CCCCCCCCCOC(=O)C1CN(CC)CC=C1c2ccccc2	CHEMBL120972	pIC50=7.52
CCCCCCOc1nccnc1OC2CN3CCC2C3	CHEMBL300998	pKi=7.52
CCCCCCSc1nccnc1SC2CN3CCC2C3	CHEMBL297690	pKi=7.52
CN([C@H]1CN2CCC1CC2)C(=O)C3c4ccccc4Oc5ccccc35	CHEMBL3401647	pIC50=7.52
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4COCC[C@@H]4O)c5ncccc35)c(F)c2	CHEMBL3608417	pEC50=7.52
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)N2CCNCC2)c3ccccc3	CHEMBL67814	pKi=7.52
O=C1CCc2ccccc2N1CCCN3CCC(CCCCCCCCCC4CCN(CCCN5C(=O)CCc6ccccc56)CC4)CC3	CHEMBL3354078	pKi=7.53
[I-].CCN1\C(=C\C=C\c2ccc3cc(NC(=O)CCCCC(=O)NCCOCCOCCN4CCN(CC(=O)N5c6ccccc6C(=O)Nc7cccnc57)CC4)ccc3[n+]2CC)\C=Cc8ccccc18	CHEMBL269117	pKi=7.53
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL539373	pKi=7.53
OCCCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1	CHEMBL3354073	pIC50=7.54
[O-][N+](=O)c1ccc(cc1)C(=O)OC2CC3CCCC2N3	CHEMBL315428	pKi=7.54
CCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL101054	pIC50=7.55
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@H]4O)c5ncccc35)c(F)c2	CHEMBL3608414	pEC50=7.55
CCCCCCOC(=O)C1CN(CC)CC=C1c2ccccc2.OC(=O)C(=O)O	CHEMBL333065	pIC50=7.56
CCCN(C(=O)O[C@H]1CN2CCC1CC2)c3ccccc3	CHEMBL1779035	pIC50=7.57
CN1CCN(CC1)C2=Nc3cc(O)ccc3Nc4ccccc24	CHEMBL70377	pIC50=7.57
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c2ccccc2	CHEMBL26505	pKi=7.58
CC(=O)OCC[N+](C)(C)C	acetylcholine	pEC50=7.59
CCCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL421113	pKi=7.59
CN1C(=O)N(Cc2nccc3ccccc23)C(=O)c4c1nc(N5CCC[C@H](N)C5)n4CC=C(C)C	CHEMBL391089	pIC50=7.59
Cc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)n1	CHEMBL147778	pKi=7.59
OC(C1CCCC1)(C(=O)NC2CCN(Cc3ccccn3)CC2)c4ccccc4	CHEMBL346194	pKi=7.59
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(N4CCC[C@@H](N)C4)n3CC=C(C)C	CHEMBL237488	pIC50=7.6
Cn1cc(cn1)c2ccc(Cn3nc(C(=O)N[C@H]4CCCC[C@@H]4O)c5ncccc35)c(F)c2	CHEMBL3608415	pEC50=7.6
[I-].CCOC(=O)C1=C(C)[N+](C)(C)c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL3349343	pIC50=7.61
CN1CCCC[C@H]1CC=C2c3ccccc3Cc4ccccc24	CHEMBL415037	pKd=7.62
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4	CHEMBL569729	pKi=7.63
CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(cc4)c5ccccc5)c3c2)\C	CHEMBL3616501	pEC50=7.64
CN1CCC[C@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL571341	pKi=7.64
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(N3CCN(CC3)C4CCCCC4)C(F)(F)F	CHEMBL70464	pKi=7.64
Cl.Clc1cc(CO\N=C\2/CN3CCC2C3)on1	CHEMBL320221	pIC50=7.64
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NCC2CCNCC2)c3ccccc3	CHEMBL306903	pKi=7.64
CN(C)[C@@H]1CCCC[C@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021476	pKi=7.65
CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3)C	CHEMBL150219	pKi=7.66
CCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL120080	pIC50=7.66
CCCCCCSc1cncc(OC2CN3CCC2C3)n1	CHEMBL56106	pKi=7.66
[I-].C[N+](C)(C)C[C@@H]1C[S+]([O-])[C@](O1)(C2CCCCC2)c3ccccc3	CHEMBL557808	pKi=7.66
CN(C)C1(CNCCC2CCCC2)COc3ccccc3OC1	CHEMBL394254	pKi=7.68
C\C(=N/c1ccc2C[C@@H](O)[C@H](NC(=O)c3ccc(Br)cc3)c2c1)\NCc4ccc(F)cc4	CHEMBL3618440	pEC50=7.68
NCC(=O)N1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL69402	pKi=7.68
CN1CCC=C(C1)c2nsnc2OCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354067	pEC50=7.69
CCN(CC)CCOCOC(=O)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL75217	pKi=7.7
CN1CCC=C(C1)c2nsnc2SCCSc3nsnc3C4=CCCN(C)C4	CHEMBL343055	pKi=7.7
COc1ccc(CCOC(=O)C2=C(CCN(C)C2)c3ccccc3)cc1	CHEMBL2312358	pKi=7.7
COc1ccccc1CN2CCC(CC2)C3CCN(CCCCCCCCN4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5)CC3	CHEMBL127273	pKi=7.7
COc1ccccc1CNCCCCCCN2CCC(CCC3CCN(CCCCCCNCc4ccccc4OC)CC3)CC2	CHEMBL242345	pKi=7.7
Cc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CC4	CHEMBL205654	pKi=7.7
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL541671	pKi=7.71
CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)(C2CCCC2)c3ccccc3)C	CHEMBL59836	pKi=7.72
CN(C)C1(CNCCC2CCC(O)CC2)COc3ccccc3OC1	CHEMBL391977	pKi=7.72
CN(C)CCC1=C(Cc2cnccn2)c3ccccc3C1	CHEMBL559251	pKi=7.72
COc1ccc2Nc3ccccc3C(=Nc2c1)N4CCN(C)CC4	CHEMBL73074	pIC50=7.72
CN(C(c1ccc(F)cc1)c2ccc(F)cc2)[C@H]3C[C@H]4CC[C@@H](C3)N4C	CHEMBL3085033	pKi=7.73
CCN1CCC(=C(C1)C(=O)OC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL332980	pIC50=7.74
CN(C)C1(CNCCC2CCC(CO)CC2)COc3ccccc3OC1	CHEMBL234258	pKi=7.75
CN(C)C1(CNCCC2CCCCC2)COc3ccccc3OC1	CHEMBL234438	pKi=7.75
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(c3ccc(Cl)c(Cl)c3)c4ccc(Cl)c(Cl)c4	CHEMBL3085032	pKi=7.75
CCN1CC=C(C(C1)C(=O)OC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL324936	pIC50=7.77
CN1CCC=C(C1)c2nsnc2SCCCCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL336933	pKi=7.77
O=C1CCCN1CC#CCN2CCCC2	CHEMBL7634	pKi=7.77
OCc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)c1	CHEMBL147554	pKi=7.77
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(C#N)C3CCN(CC3)C4CCCCC4	CHEMBL69595	pKi=7.79
[I-].C[N+](C)(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042406	pKi=7.79
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	CHEMBL516	pIC50=7.8
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4COCC[C@@H]4O)c5ncccc35)cc2F	CHEMBL3608421	pEC50=7.81
O=C(O[C@H]1CN2CCC1CC2)C3c4ccccc4CCc5ccccc35	CHEMBL551525	pIC50=7.82
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NC2CCN(Cc3ccccn3)CC2)c4ccccc4	CHEMBL147105	pKi=7.82
[Br-].O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)N(Cc4ccccc4)c5ccccc5	CHEMBL1779048	pIC50=7.82
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)C(=O)OC(C)C	CHEMBL72957	pKi=7.83
CCN1CCC(=C(C1)C(=O)OCC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL121520	pIC50=7.84
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	CHEMBL643	pIC50=7.85
CCCCCCOc1nccnc1O[C@@H]2CN3CCC2C3	CHEMBL292408	pKi=7.85
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](CN3CC[C@H](C3)N4Cc5ccccc5NC4=O)C2	CHEMBL3633184	pEC50=7.85
CN1CCC=C(C1)c2nsnc2SCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL140746	pKi=7.85
COC(=O)C1=CCCN(C)C1	CHEMBL7303	pKi=7.85
Nc1ccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)nc1	CHEMBL148404	pKi=7.85
O=C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)N4CCC[C@H]4C(=O)N5CCC[C@@H]5C(=O)NC[C@H]6CCCN(CC7CCCCC7)C6	CHEMBL2112957	pKi=7.85
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)N2CCCNCC2)c3ccccc3	CHEMBL424416	pKi=7.85
CN1CCCC1c2oc(cc2)C(C3CCCCC3)c4ccccc4	CHEMBL576707	pKi=7.87
Cl.CCN1CC=C(C(C1)C(=O)OCc2ccccc2)c3ccccc3	CHEMBL541584	pIC50=7.87
O=C(N[C@H]1CN2CCC1CC2)C3c4ccccc4Oc5ccccc35	CHEMBL3401646	pIC50=7.87
F[B-]1(F)[N+]2=C(CCC(=O)NCCCCCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CC3)C=CC2=Cc7ccc(c8cccs8)n17	CHEMBL2368393	pKd=7.89
CN(C)[C@H]1CCCC[C@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021479	pKi=7.9
CN(C)C1(CNCCC2CCCCCC2)COc3ccccc3OC1	CHEMBL234439	pKi=7.92
[Br-].CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1	CHEMBL2107687	pIC50=7.92
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL539120	pKi=7.92
CCCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2	CHEMBL121059	pIC50=7.94
CN1C2CCC1CC(C2)OC(c3ccc(F)cc3)c4ccc(F)cc4	CHEMBL317757	pKi=7.94
CN1CCCC[C@@H]1CC=C2c3ccccc3Cc4ccccc24	CHEMBL279712	pKd=7.94
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4	CHEMBL583027	pKi=7.94
CC(N1CCN(CC1)C2CCCCC2)c3ccc(cc3)S(=O)(=O)c4ccc(C)cc4	CHEMBL72455	pKi=7.96
CN(C)CCC=C1c2ccccc2CCc3ccccc13	CHEMBL629	pIC50=7.96
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354070	pKi=7.96
CN[C@H](C(C)C)C(=O)N(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@]45CN(C)[C@@H](C)[C@H]4CC[C@H]5[C@@H]3CC=C2C1	CHEMBL451821	pKi=7.96
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4COCC[C@@H]4O)c5ncccc35)cc2	CHEMBL3608419	pEC50=7.96
NCC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL66322	pKi=7.96
NCCN1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL69582	pKi=7.96
CC[C@H](C)C(C(=O)OCCCN(CC)CC)c1ccccc1	CHEMBL2377392	pKi=7.97
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)C(=O)OCc5ccccc5	CHEMBL70860	pKi=7.97
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)C(=O)OCC(C)C	CHEMBL440491	pKi=7.98
CN1CCC[C@H]1[C@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL493980	pKi=8.0
CCCCOC(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL72408	pKi=8.01
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4CCCC[C@@H]4O)c5ncccc35)c(F)c2	CHEMBL3608413	pEC50=8.01
OC1(C(=O)N[C@H]2CN3CCC2CC3)c4ccccc4c5ccccc15	CHEMBL3401645	pIC50=8.01
C1CN2CCC1C(=C2)c3oc4ccccc4c3	CHEMBL109405	pKi=8.02
CCN1CCC(=C(C1)C(=O)OCCc2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL262198	pIC50=8.02
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(c3ccccc3)c4ccc(Cl)cc4	CHEMBL3085025	pKi=8.03
CNC(=O)c1ccc(Cn2cc(C(=O)N[C@H]3COCC[C@@H]3O)c4ncccc24)cc1	CHEMBL3608422	pEC50=8.04
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCNCC4	CHEMBL420008	pKi=8.04
[Br-].C[N+]12CCC(CC1)[C@H](C2)OC(=O)N(Cc3cccs3)c4ccccc4	CHEMBL1779130	pIC50=8.04
[I-].C[N+]1(C)CCC[C@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL568870	pKi=8.04
Cc1ccnc2c(cn(Cc3ccc(cc3)c4ccn(C)n4)c12)C(=O)N[C@H]5CCOC[C@@H]5O	CHEMBL3746869	pEC50=8.05
F[B-]1(F)[N+]2=C(CCC(=O)NCCOCCOCCOCCOCCOCCOCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CC3)C=CC2=Cc7ccc(c8cccs8)n17	CHEMBL2368392	pKi=8.05
OC(C1CCCC1)(C(=O)NC2CCN(Cc3ccsc3)CC2)c4ccccc4	CHEMBL358193	pKi=8.05
CCN1CCC(=C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3	CHEMBL1180285	pIC50=8.06
CCN1CCC(=C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL120119	pIC50=8.06
F[B-]1(F)[N+]2=C(CCC(=O)NCCCCCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CC3)C=CC2Cc7ccc(c8cccs8)n17	CHEMBL2172285	pKi=8.06
O=C(O[C@H]1CN2CCC1CC2)N(Cc3ccccc3)Cc4cccs4	CHEMBL1779039	pIC50=8.06
COc1cccc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)c1	CHEMBL148450	pKi=8.07
Fc1ccc(cc1)N(Cc2ccccc2)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779043	pIC50=8.08
CC(N1CCN(CC1)C2CCCCC2)c3ccc(cc3)S(=O)(=O)c4ccc(Cl)cc4	CHEMBL75448	pKi=8.1
CN1CCC=C(C1)c2nsnc2OCCOCCOCCOCCOc3nsnc3C4=CCCN(C)C4	CHEMBL335542	pEC50=8.1
CCN(CC)CCOC(=O)C(c1ccccc1)C2(O)CCCCC2	CHEMBL2377269	pKi=8.11
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(c3ccc(F)cc3)c4ccc(F)cc4	CHEMBL3350391	pKi=8.11
CN1CCC=C(C1)c2nsnc2SCCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL140985	pKi=8.12
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pIC50=8.15
CCCCCCSc1nccnc1OC2CN3CCC2C3	CHEMBL54002	pKi=8.16
CCNCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1	CHEMBL355874	pKi=8.16
NC(CCCNC(=N)N)C(=O)CCCCCCCCNC(=N)N	CHEMBL477542	pIC50=8.16
NCCC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL410890	pKi=8.18
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(C3CCCCC3)c4ccccc4	CHEMBL569712	pKi=8.18
