[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC	tacrolimus	pKd=9.398	pKd=9.398	pKd=9.398	pIC50=6.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(O)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	sirolimus	pKd=8.96	pKd=8.96	pKd=8.96	pIC50=8.8
[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@H](Cl)[C@@H](C1)OC	pimecrolimus	pKd=9.0	pKd=9.0	pKd=9.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OCCO)[C@@H](C1)OC)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	everolimus	pIC50=8.25964	pIC50=8.25964	pIC50=8.25964
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OC(=O)C(C)(CO)CO)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	temsirolimus
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5c(Cl)cccc5C34	CHEMBL202465	pKi=6.82
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5cc(Cl)ccc5Cl)C3=O)c2c(OC)c1	CHEMBL381359	pKi=6.82
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C(C)C)c3ccccc3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL275506	pIC50=6.82
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)c3cc(OC)c(OC)c(OC)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2059027	pIC50=6.82
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5ccc(F)c(F)c5)C(=O)N3CCc2c1	CHEMBL202123	pKi=6.82
[O-][N+](=O)c1cccc(c1)S(=O)(=O)N2CCCCC2C(=O)OCCCc3cccnc3	CHEMBL1650948	pIC50=6.82
COc1ccc2C3C4CCCC(N4C(=O)C(=O)c5cc(OC)c(OC)c(OC)c5)C(=O)N3CCc2c1	CHEMBL202180	pKi=6.85
CC[C@@H](C(=O)N1CCCC[C@H]1C(=O)OC(CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4ccccc4	CHEMBL276303	pIC50=6.88
COc1ccc(cc1)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5cc(OC)cc(OC)c5C34	CHEMBL203250	pKi=6.88
O=C(OCCCc1cccnc1)C2CCCN2C(=S)NC3CCCCC3	CHEMBL148621	pKi=6.88
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc2cccnc2	CHEMBL108247	pKi=6.89
C[C@H]1C\C(=C\[C@@H](CC=C)C(=O)OCCCOC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O)\C	CHEMBL419576	pKi=6.89
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5ccc(Cl)cc5C34	CHEMBL201201	pKi=6.9
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@H](CC3CC3)c4cc(OC)c(OC)c(OC)c4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL274241	pIC50=6.9
CCc1ccc(cc1)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5cc(OC)cc(OC)c5C34	CHEMBL202009	pKi=6.91
COc1ccc2C3C4CCCC(N4S(=O)(=O)N5C[C@@H](C)O[C@@H](C)C5)C(=O)N3CCc2c1	CHEMBL414675	pKi=6.91
CC1(CNC(=O)N2CCCC[C@H]2C(=O)OCCCCc3ccccc3)CCCCC1	CHEMBL57087	pKi=6.92
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCc2cc(OC)c(OC)c(OC)c2	CHEMBL341856	pKi=6.92
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3)cc(OC)c1	CHEMBL285080	pKi=6.92
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccccc3)cc(OC)c1OC	CHEMBL1650947	pIC50=6.92
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccncc5)C3=O)c2c(OC)c1	CHEMBL381509	pKi=6.94
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cc(Cl)c(O)c(Cl)c3)c4cccc(OCCN5CCOCC5)c4)cc1OC	CHEMBL2058794	pIC50=6.94
O=C(OCCCc1cccnc1)C2CCCN2C(=S)NC3C4CC5CC(CC3C5)C4	CHEMBL149669	pKi=6.94
COC(\C=C/C)[C@@H]1CC[C@@H](C)[C@@](O)(C1)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3	CHEMBL79747	pKi=6.95
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccc(F)cc5)C3=O)c2c(OC)c1	CHEMBL202088	pKi=6.96
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5cccnc5)C3=O)c2c(OC)c1	CHEMBL372288	pKi=6.96
O=C(NCCCCc1ccccc1)[C@@H]2CCCCN2S(=O)(=O)Cc3ccccc3	CHEMBL33299	pKi=6.96
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5cccs5)C3=O)c2c(OC)c1	CHEMBL202655	pKi=6.97
O=C(OC(CCCc1ccccc1)Cc2ccccc2)C3CCCCN3S(=O)(=O)Cc4ccccc4	CHEMBL346171	pKi=6.97
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5cccc(C)c5)C3=O)c2c(OC)c1	CHEMBL373206	pKi=6.98
COc1cccc2C3C4CCCC(N4C(=O)C(=O)c5cc(OC)c(OC)c(OC)c5)C(=O)N3CCc12	CHEMBL382052	pKi=6.98
COc1ccc(CCCCOC(=O)C2CCCCN2C(=O)C(=O)C3CCCCC3)cc1	CHEMBL146203	pKi=6.99
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(N)c3	CHEMBL2059026	pIC50=7.0
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCCN4CCOCC4)c3	CHEMBL2059024	pIC50=7.0
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccccc5)C3=O)c2c(OC)c1	CHEMBL201850	pKi=7.0
CC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2ccccc2	CHEMBL148516	pKi=7.02
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)c3ccccc3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL14903	pIC50=7.03
COc1cc2CCN3C(C4CCCC(N4C(=O)C(F)(F)c5cc(OC)c(OC)c(OC)c5)C3=O)c2c(OC)c1	CHEMBL381637	pKi=7.04
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccc(Br)cc5)C3=O)c2c(OC)c1	CHEMBL383204	pKi=7.04
COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3)cc1	CHEMBL286230	pKi=7.04
CCC(C)C1N(C)C(=O)C[C@H](C)C[C@@H](CCSCCC(=O)C(=O)N2CCC[C@H](C2)C(=O)O[C@H](CCc3cccnc3)[C@H](C)CCC1=O)OC	CHEMBL77154	pKd=7.05
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C3CCCCC3)c4cc(OC)c(OC)c(OC)c4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL3623612	pKi=7.05
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccc(cc5)c6ccccc6)C3=O)c2c(OC)c1	CHEMBL201714	pKi=7.06
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)SCCC(c2ccccc2)c3ccccc3	CHEMBL119580	pKi=7.07
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5ccc(C)cc5C34	CHEMBL381422	pKi=7.07
COc1ccc(CCCOC(=O)[C@@H]2CCCN2\C(=N\C3CCCCC3)\S)cc1OC	CHEMBL30416	pKi=7.07
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccc(C)cc5)C3=O)c2c(OC)c1	CHEMBL203358	pKi=7.08
COC(C)[C@@H]1CC[C@@H](C)[C@@](O)(C1)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3	CHEMBL82511	pKi=7.09
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccc(cc5)C#N)C3=O)c2c(OC)c1	CHEMBL201214	pKi=7.09
O=C(OCCCc1ccccc1)C2CCCN2C(=O)C(=O)C3CCCCC3	CHEMBL149373	pKi=7.09
CC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OC2C3CC4CC(CC2C4)C3	CHEMBL151327	pKi=7.11
CC[C@@H]1\C=C(/C)\C[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](Oc5ccc6ccccc6c5)[C@@H](C4)OC)\C	CHEMBL302040	pIC50=7.13
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccc(Cl)cc5)C3=O)c2c(OC)c1	CHEMBL201849	pKi=7.14
O=C(OCCCc1cccnc1)C2CCCN2S(=O)(=O)Cc3ccccc3	CHEMBL150229	pKi=7.14
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(C)cc5)[C@@H](C4)OC)\C	CHEMBL295945	pIC50=7.15
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccc(Br)cc5)C3=O)c2c(OC)c1	CHEMBL202227	pKi=7.15
CCC(C)CNC(=O)N1CCCCC1C(=O)OCCCc2cccnc2	CHEMBL343212	pKi=7.16
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3cccc(c3)[N+](=O)[O-])cc(OC)c1OC	CHEMBL1650949	pIC50=7.16
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5cc(OC)c(OC)c(OC)c5)C3=O)c2c(OC)c1	CHEMBL202012	pKi=7.16
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCCC3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)OCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL296160	pIC50=7.17
COC(C=C(C)C)[C@@H]1CC[C@@H](C)[C@@](O)(C1)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3	CHEMBL81439	pKi=7.17
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C3CCCCC3)c4ccccc4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL277755	pIC50=7.18
CCC(CC)NC(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3	CHEMBL107774	pIC50=7.19
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@H](C(C)C)c3cc(OC)c(OC)c(OC)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL276912	pIC50=7.19
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCCc2ccc(OC)cc2	CHEMBL52541	pKi=7.22
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccc(OC)c(OC)c5)C3=O)c2c(OC)c1	CHEMBL201970	pKi=7.22
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@@]3(O)CCCC[C@H]3C)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2059239	pIC50=7.22
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]3(O)CCCC[C@@H]3C)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2059237	pIC50=7.22
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]3(O)CCCC[C@H]3C)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2059029	pIC50=7.22
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]3(O)CCCC[C@H]3C)c4cccc(OCCN5CCOCC5)c4)cc1OC	CHEMBL2057227	pIC50=7.22
COc1cc(OC)cc(c1)N2C=C3C4CCCC(N4C(=O)C(=O)c5cc(OC)c(OC)c(OC)c5)C(=O)N3CC2=O	CHEMBL381691	pKi=7.27
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5cccc(Br)c5)C3=O)c2c(OC)c1	CHEMBL371424	pKi=7.27
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O[C@H](CCc2ccccc2)c3ccccc3	CHEMBL126031	pKi=7.28
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(OC)cc5)[C@@H](C4)OC)\C	CHEMBL266263	pIC50=7.3
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@@]3(O)CCCC[C@@H]3C)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2059238	pIC50=7.3
O=C(OC(CCCc1ccccc1)CCCc2ccccn2)C3CCCCN3C(=O)C(=O)c4ccccc4	CHEMBL357727	pKi=7.3
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)NCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL51523	pIC50=7.32
COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3)cc1OC	CHEMBL30694	pKi=7.33
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(F)cc5)[C@@H](C4)OC)\C	CHEMBL51334	pIC50=7.34
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5cccc(Cl)c5)C3=O)c2c(OC)c1	CHEMBL202102	pKi=7.34
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@@H](O)c5cccc(c5)C(F)(F)F)[C@@H](C4)OC)\C	CHEMBL405917	pEC50=7.35
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@H](O)c5cccc(c5)C(F)(F)F)[C@@H](C4)OC)\C	CHEMBL412791	pEC50=7.35
CCC[C@@H](C(=O)N1CCCC[C@H]1C(=O)OC(CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4	CHEMBL277084	pIC50=7.37
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2ccccc2	CHEMBL149314	pKi=7.38
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc2ccccc2	CHEMBL338562	pKi=7.38
CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4ccccc4	CHEMBL108383	pIC50=7.4
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OCCCCC3CCCCC3	CHEMBL148982	pKi=7.4
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OC\C=C\c5cccc(c5)[N+](=O)[O-])[C@@H](C4)OC)\C	CHEMBL406510	pEC50=7.47
COc1cc(OC)cc(c1)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5cc(OC)cc(OC)c5C34	CHEMBL202048	pKi=7.47
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccc(Cl)c(Cl)c5)C3=O)c2c(OC)c1	CHEMBL370367	pKi=7.47
O=C(OCCCCc1ccccc1)C2CCCCN2S(=O)(=O)Cc3ccccc3	CHEMBL148494	pKi=7.47
CC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCC2CCCCC2	CHEMBL149707	pKi=7.5
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCCCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL263032	pEC50=7.5
COc1ccc(CCCOC(=O)C2CCCCN2C(=O)NC34CC5CC(CC(C5)C3)C4)cc1OC	CHEMBL440799	pKi=7.5
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OC(CCCc2ccccc2)CCCc3ccccc3	CHEMBL298173	pKi=7.52
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OC\C=C\c5ccccc5)[C@@H](C4)OC)\C	CHEMBL262667	pEC50=7.52
CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4ccc5OCOc5c4	CHEMBL324646	pIC50=7.59
CC1(C)CCC(=O)CCCCC(=O)OCC(C)(C)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]1CCc3ccccc3	CHEMBL325145	pKi=7.6
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc2cc(OC)c(OC)c(OC)c2	CHEMBL299152	pKi=7.6
COc1ccc(CCCCOC(=O)C2CCCCN2C(=O)C(=O)C(C)(C)C)cc1	CHEMBL51710	pKi=7.62
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OC\C=C\c5ccc(Br)cc5)[C@@H](C4)OC)\C	CHEMBL262492	pEC50=7.64
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCc5nc(c[nH]5)c6ccccc6)[C@@H](C4)OC)\C	CHEMBL428499	pEC50=7.66
COc1ccc(CCCOC(=O)[C@@H]2CCCN2S(=O)(=O)Cc3ccccc3)cc1	CHEMBL432085	pKi=7.66
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@@H](O)c5ccc6ccccc6c5)[C@@H](C4)OC)\C	CHEMBL407332	pEC50=7.68
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3ccc4NC(=O)Sc4c3)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL2058787	pIC50=7.68
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OC\C=C\c5ccc(O)cc5)[C@@H](C4)OC)\C	CHEMBL384325	pEC50=7.69
CC1(C)COC(=O)CCCCCCCCC(=O)c2cccc(c2)C(CCc3ccccc3)OC(=O)[C@@H]4CCCCN4C(=O)C1=O	CHEMBL323633	pKi=7.7
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OC(CCc2ccccc2)CCc3ccccc3	CHEMBL417908	pKi=7.7
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(cc5)N6CCOCC6)[C@@H](C4)OC)\C	CHEMBL385686	pIC50=7.72
COc1cc(cc(OC)c1OC)C(F)(F)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc3ccccc3)CCCc4cccnc4	CHEMBL2205015	pKi=7.72
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@H](C(C)C)c3ccccc3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL278890	pIC50=7.72
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@H](CC=C)c3cc(OC)c(OC)c(OC)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL14756	pIC50=7.72
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@H](O)c5ccc6ccccc6c5)[C@@H](C4)OC)\C	CHEMBL264568	pEC50=7.75
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OCc3cccc(Oc4ccccc4)c3	CHEMBL150062	pKi=7.75
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)O[C@H](CCc2ccccc2)c3ccccc3	CHEMBL148435	pKi=7.77
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)c3ccccc3	CHEMBL126568	pKi=7.77
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OCCCc3c[nH]c4ccccc34	CHEMBL148446	pKi=7.77
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc3cccnc3)CCCc4cccnc4	CHEMBL350775	pIC50=7.77
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(O)cc5)[C@@H](C4)OC)\C	CHEMBL52055	pIC50=7.8
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCc5occc5)[C@H](O)C4)\C	CHEMBL176774	pEC50=7.81
CCC(OC(=O)C1CCCCN1C(=O)C(=O)C(C)(C)CC)C(CCc2ccccc2)c3ccc(OC)cc3	CHEMBL146919	pKi=7.82
CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2cccnc2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4	CHEMBL108296	pIC50=7.82
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OC(C)C=C)[C@H](O)C4)\C	CHEMBL174029	pEC50=7.83
CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](O)C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)CC[C@H]1O	CHEMBL281297	pIC50=7.85
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@H](O)c5ccc(F)c(F)c5)[C@@H](C4)OC)\C	CHEMBL431368	pEC50=7.87
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)NCCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL264789	pIC50=7.89
