Cc1ccc(CN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL241708	pIC50=7.53
O=C(Nc1ccc(cc1)C(=O)N2CCC(CC2)N3CCCC3)Nc4ccc(cc4)c5nc(nc(n5)N6CCOCC6)N7CCOCC7	CHEMBL592461	pIC50=8.0
O=C(Nc1ccc(cc1)C(=O)N2CCC(CC2)N3CCCCC3)Nc4ccc(cc4)c5nc(nc(n5)N6CCOCC6)N7CCOCC7	CHEMBL592619	pIC50=8.0
CN1CCN(CC1)C(=O)c2ccc(NC(=O)Nc3ccc(cc3)c4nc(OC5COC5)nc(n4)N6CCOCC6)cc2	CHEMBL1808984	pIC50=8.02
CNCCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)c3nc(OC)nc(n3)N4CCOCC4)cc1	CHEMBL1808981	pIC50=8.02
CC(=O)Nc1nc(C)c(s1)c2csc(Nc3cccc(c3)c4nnn[nH]4)n2	CHEMBL3646796	pIC50=8.05
CCn1nnc2c(nc(nc12)c3ccc(NC(=O)Nc4ccc(cc4)C(=O)NCCCN(C)C)cc3)N5CCOCC5	CHEMBL590594	pIC50=8.05
COCc1cnc(Nc2ccc(OC)nc2)c(c1)c3nc(C)nc(N)n3	CHEMBL2165027	pKi=8.05
COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c4ccc(NC(=O)c5ccc(C)c(OC)c5)cc4)cc(OC)c1	CHEMBL3349370	pIC50=8.05
COc1ccc(Nc2cc(nc(n2)N3CCOCC3)c4cnc(N)nc4)cn1	CHEMBL1672328	pIC50=8.05
COc1ccc(Nc2ncc(CN3CCC(CC3)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165019	pKi=8.05
COc1ccc(Nc2ncc(CN3CCN(CC3)S(=O)(=O)N(C)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165018	pKi=8.05
COc1cnc(Nc2ccc(OC)nc2)c(c1)c3nc(C)nc(N)n3	CHEMBL2165025	pKi=8.05
COc1cncc(c1)c2ccc3nc(NC(=O)N(C)C)sc3c2	CHEMBL3356892	pKi=8.05
COc1ncc(Nc2ncc(CN3CCN(C[C@@H]3C)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cc1F	CHEMBL2170083	pKi=8.05
COc1ncc(Nc2ncc(CN3CCN(C[C@H]3C)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cc1F	CHEMBL2170082	pKi=8.05
COc1ncc(Nc2ncc(cc2c3nc(C)nc(N)n3)C(C)(C)N4CCN(CC4)S(=O)(=O)C)cc1F	CHEMBL2170090	pKi=8.05
COc1ncc(Nc2ncc(cc2c3nc(C)nc(N)n3)[C@H](C)N4CCN(C[C@@H]4C)S(=O)(=O)C)cc1F	CHEMBL2170089	pKi=8.05
Cc1ccc(CCN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL239374	pIC50=8.05
Cl.CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)c3nc(nc(n3)N4CCOCC4)N5CCOCC5)cc1	CHEMBL1204015	pIC50=8.05
Cl.CN1CCN(CC1)C(=O)c2ccc(NC(=O)Nc3ccc(cc3)c4nc(nc(n4)N5CCOCC5)N6CCOCC6)cc2	CHEMBL1204014	pIC50=8.05
O=C1NC(=O)\C(=C\c2ccc3nccnc3c2)\S1	CHEMBL568150	pIC50=8.05
CC(C)n1ncnc1c2nc3c(CCOc4cc(CO)ccc34)s2	CHEMBL2381261	pIC50=8.08
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)C5CCNCC5)s2	CHEMBL2381268	pIC50=8.08
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cnc(N)nc5)CC1	CHEMBL1083192	pIC50=8.08
CC(=O)Nc1cn2cc(ccc2n1)c3cnc(N)c(c3)C(F)(F)F	CHEMBL2418954	pIC50=8.09
CN(Cc1nc2c(nc(nc2n1C)c3cnc(N)nc3)N4CCOCC4)c5ncc(cn5)C(=O)NO	CHEMBL3827894	pIC50=8.09
FC(F)(F)c1ccc(CCN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL393121	pIC50=8.09
Fc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nccc(N5CCOCC5)c4c3	CHEMBL1738719	pIC50=8.09
CC(=O)Nc1nc2ccc(cn2n1)c3cncc(CS(=O)(=O)N)c3	CHEMBL2064501	pIC50=8.1
CCN(CC)S(=O)(=O)c1cncc(c1)c2ccn3nc(N)nc3c2	CHEMBL2205771	pIC50=8.1
CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(cc2)c3nc(nc(n3)N4CCOCC4)N5CCOCC5)cc1	CHEMBL592615	pIC50=8.1
CNC(=O)c1nc(cnc1N)c2ccc(Cl)c(c2)S(=O)(=O)Nc3ccc(Cl)cc3Cl	CHEMBL2152150	pIC50=8.1
COc1ccc(Nc2ncc(CC3CCN(CC3)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165020	pKi=8.1
COc1ccc(Nc2ncc(CN3CCN(CC3)C(=O)N(C)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165016	pKi=8.1
COc1ccc(Nc2ncc(CN3CCN(CC3)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165017	pKi=8.1
COc1ccc(Nc2ncc(cc2c3nc(C)nc(N)n3)c4ccc(C)nc4)cn1	CHEMBL2165032	pKi=8.1
COc1ncc(Nc2ncc(cc2c3nc(C)nc(N)n3)[C@@H](C)N4CCN(C[C@@H]4C)S(=O)(=O)C)cc1F	CHEMBL2170088	pKi=8.1
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4nc(N)c(nc4c3)c5ccccc5	CHEMBL3121333	pIC50=8.1
Cc1nc(CCNC(=O)Nc2nc3ccc(cn3n2)c4cncc(c4)S(=O)(=O)NC(C)(C)C)cs1	CHEMBL2057365	pIC50=8.1
Cc1nc(N)nc(n1)n2c(Nc3cccc(O)c3)nc4ccccc24	CHEMBL1762788	pIC50=8.1
Cn1ncc2c(Oc3ccc(cc3)S(=O)(=O)C)cc(nc12)c4cccc5[nH]ncc45	CHEMBL1257653	pIC50=8.1
Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)Nc4cccc5ccccc45	CHEMBL2064507	pIC50=8.1
O=C(Nc1ccc(cc1)C(=O)NCCN2CCCCC2)Nc3ccc(cc3)c4nc(O[C@H]5CCOC5)nc(n4)N6CCOCC6	CHEMBL1808989	pIC50=8.1
Fc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nccc(c5cccnc5)c4c3	CHEMBL1914726	pIC50=8.11
CC(=O)Nc1nc(C)c(s1)c2onc(CC(C)(C)CO)n2	CHEMBL3092373	pIC50=8.14
Clc1ccc(CN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL393276	pIC50=8.15
CCNC(=O)Nc1nc2ccc(cc2s1)c3cncc(OC)c3	CHEMBL3356893	pKi=8.16
COc1ccc(Nc2ncc(Cc3ccc(cc3)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165007	pKi=8.16
COc1cncc(Nc2ncc(CN3CCN(CC3)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)c1	CHEMBL2170098	pKi=8.16
COc1cncc(c1)c2ccc3nc(NC(=O)NCCc4cn(C)cn4)sc3c2	CHEMBL3356898	pKi=8.16
COc1nc(nc(n1)c2ccc(NC(=O)Nc3ccc(cc3)C(=O)N(C)CCN(C)C)cc2)N4CCOCC4	CHEMBL1808979	pIC50=8.16
COc1ncc(Nc2ncc(cc2c3nc(C)nc(N)n3)[C@H](C)N4CCN(CC4)S(=O)(=O)C)cc1F	CHEMBL2170099	pKi=8.16
C[C@@H](O)C(=O)N1CCN(Cc2sc3c(nc(nc3c2C)c4cnc(N)nc4)N5CCOCC5)CC1	CHEMBL1921986	pIC50=8.17
CN(C)C1CCN(CC1)C(=O)c2ccc(NC(=O)Nc3ccc(cc3)c4nc(O[C@H]5CCOC5)nc(n4)N6CCOCC6)cc2	CHEMBL1808988	pIC50=8.19
Fc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nccc(N5CCN(Cc6ccncc6)CC5)c4c3	CHEMBL1914724	pIC50=8.19
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2	CHEMBL2057371	pIC50=8.2
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCCc4cnccn4)nn3c2	CHEMBL2057366	pIC50=8.2
COc1ncc(cc1NS(=O)(=O)c2cccnc2)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5	CHEMBL3121323	pIC50=8.2
Nc1nc2ccc(cn2n1)c3cncc(NS(=O)(=O)c4ccc(Cl)cc4)c3	CHEMBL2064508	pIC50=8.2
CCOc1cncc(c1)c2ccc3nc(NC(=O)C)sc3c2	CHEMBL3356885	pKi=8.22
COc1ccc(Nc2ncc(cc2c3nc(C)nc(N)n3)c4cnn(C)c4)cn1	CHEMBL2165033	pKi=8.22
COc1cncc(c1)c2ccc3nc(NC(=O)NCC(=O)NCC(F)(F)F)sc3c2	CHEMBL3356895	pKi=8.22
Nc1ncc(c(OCC(F)(F)F)n1)c2ccc(Cl)c(c2)S(=O)(=O)Nc3cccc(F)c3F	CHEMBL2152257	pIC50=8.22
O=C(Nc1ccc(cc1)C(=O)NCCN2CCCC2)Nc3ccc(cc3)c4nc(O[C@H]5CCOC5)nc(n4)N6CCOCC6	CHEMBL1808990	pIC50=8.22
Oc1cccc2c1nc(C(F)F)n2c3nc(nc(n3)N4CCOCC4)N5CCOCC5	CHEMBL1910998	pIC50=8.22
Nc1ccc(cn1)c2ccc3ncc4C=CC(=O)N(c5cccc(c5)C(F)(F)F)c4c3c2	CHEMBL1765602	pIC50=8.25
COc1ncc(Nc2nc3ccc(cn3c2c4nc(C)nc(N)n4)C(C)(C)O)cc1F	CHEMBL3618245	pKi=8.28
Cc1nc(N)ncc1c2nc(N3CCOCC3)c4sc(CN5CCN(CC5)S(=O)(=O)C)cc4n2	CHEMBL1085177	pIC50=8.28
Nc1nc(N)c2nc(c3cccc(O)c3)c(nc2n1)c4cccc(O)c4	CHEMBL230011	pKd=8.28
CC(=O)Nc1nc(C)c(s1)c2ccc(Cl)c(c2)S(=O)(=O)Nc3ccc(O)cc3	CHEMBL3787013	pIC50=8.3
CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5	CHEMBL1879463	pIC50=8.3
CNC(=O)c1ccc2c(OCCc3cc(sc23)C(=O)N(C)c4ccc(cc4Cl)C(=O)N(C)C)c1	CHEMBL1796761	pIC50=8.3
CNC(=O)c1nc(cnc1N)c2ccc(Cl)c(c2)S(=O)(=O)Nc3ccc(F)cc3Cl	CHEMBL2152148	pIC50=8.3
COc1ccc(Nc2ncc(CN3CCC(C3)S(=O)(=O)C)cc2c4nc(C)nc(N)n4)cn1	CHEMBL2165004	pKi=8.3
COc1cncc(c1)c2ccc3nc(NC(=O)NCCc4c[nH]cn4)sc3c2	CHEMBL3356897	pKi=8.3
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C	CHEMBL3609525	pIC50=8.3
Cc1nc(N)nc(n1)n2c(Nc3cc(O)cc(O)c3)nc4ccccc24	CHEMBL1762790	pIC50=8.3
FC(F)c1nc2ccccc2n1c3nc(nc(n3)N4CCOCC4)N5CCOCC5	CHEMBL586702	pIC50=8.3
Nc1oc2ccc(cc2n1)c3nn(CC4CCCC4)c5ncnc(N)c35	CHEMBL3797933	pIC50=8.3
CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)c3nc(O[C@H]4CCOC4)nc(n3)N5CCOCC5)cc1	CHEMBL1808977	pIC50=8.32
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3	CHEMBL1615189	pKi=8.33
COc1ccc(cn1)c2cc(CNc3ccc(cc3)S(=O)(=O)Nc4nnc(C)s4)cc(c2)C(=O)NCCc5ccccc5F	CHEMBL3582350	pIC50=8.36
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)C5CCNC5)s2	CHEMBL2381266	pIC50=8.37
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2	CHEMBL2057372	pIC50=8.4
CCOC(=O)N1CCN(CC#Cc2ccnc3ccc(cc23)c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5F)c4)CC1	CHEMBL3765587	pIC50=8.4
CN1CCN(CC1)c2nc3ccccc3cc2Cn4nc(c5ccc6nc(N)sc6c5)c7c(N)ncnc47	CHEMBL1213118	pIC50=8.4
COc1ccc(Nc2ncc(cc2c3nc(C)nc(N)n3)N4CCOCC4)cn1	CHEMBL2165029	pKi=8.4
COc1cncc(c1)c2ccc3nc(NC(=O)C)sc3c2	CHEMBL3356884	pKi=8.4
COc1nc(nc(n1)c2ccc(NC(=O)Nc3ccc(cc3)C(=O)N4CCNC(C)(C)C4)cc2)N5CCOCC5	CHEMBL1808983	pIC50=8.4
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5	CHEMBL3121334	pIC50=8.4
Cc1ncnc(n1)n2c(Nc3cccc(O)c3)nc4ccccc24	CHEMBL2165051	pKi=8.4
Cc1nnc(NS(=O)(=O)c2ccc(NCc3cc(cc(c3)c4ccc5OCOc5c4)C(=O)O)cc2)s1	CHEMBL3582357	pIC50=8.4
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5ccc(N)nc5)s2	CHEMBL2381273	pIC50=8.43
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)C5CNC5)s2	CHEMBL2381265	pIC50=8.46
CN(C)C(=O)CNC(=O)Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)NC(C)(C)C	CHEMBL2057363	pIC50=8.5
CC(=O)Nc1nc(C)c(s1)c2oc(nc2)C(C)(C)C	CHEMBL2204791	pIC50=8.52
CC(=O)Nc1nc(C)c(s1)c2oc(nc2)c3cccnc3	CHEMBL2204786	pIC50=8.52
CC(C)n1ncnc1c2nc3c(CCOc4ccccc34)s2	CHEMBL2381253	pIC50=8.52
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4nccc(C#CCN5CCN(CC5)S(=O)(=O)C)c4c3	CHEMBL3763244	pIC50=8.57
COc1ccc(cn1)c2cc(CNc3ccc(cc3)S(=O)(=O)Nc4nnc(C)s4)cc(c2)C(=O)O	CHEMBL3582354	pIC50=8.59
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCCn4nnc(n4)C5CC5)nn3c2	CHEMBL2057368	pIC50=8.6
CN1CCN(CC1)C(=O)CNC(=O)Nc2nc3ccc(cn3n2)c4cncc(c4)S(=O)(=O)NC(C)(C)C	CHEMBL2057373	pIC50=8.6
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4ncnc(N5CCOCC5)c4c3	CHEMBL3121327	pIC50=8.6
COc1cc(F)c2[nH]c(c(\C=C/3\Oc4ccc(NC(=O)Nc5ccc(cc5)C(=O)N(C)CCN(C)C)cc4C3=O)c2c1)c6c(C)nn(C)c6C	CHEMBL1082621	pIC50=8.62
Cc1nc(N)nc(n1)c2cccnc2Nc3cnc(Cl)c(NS(=O)(=O)C)c3	CHEMBL2206913	pKi=8.62
Fc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4ncc(nc4c3)N5CCOCC5	CHEMBL1914743	pIC50=8.62
O=C1NC(=S)S/C/1=C\c2ccc3ncccc3c2	CHEMBL3774448	pIC50=8.64
O=C1NC(=S)S/C/1=C\c2ccc3ncsc3c2	CHEMBL3775393	pIC50=8.64
CC(C)n1ncnc1c2cc3CCOc4cc(ccc4c3s2)C(=O)N	CHEMBL2322764	pIC50=8.66
COc1cnc(Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)c(c1)c3nc(C)nc(N)n3	CHEMBL2206904	pKi=8.66
CCCn1cnc(CCNC(=O)Nc2nc3ccc(cc3s2)c4cncc(OC)c4)c1	CHEMBL3356900	pKi=8.7
CCn1cnc(CCNC(=O)Nc2nc3ccc(cc3s2)c4cncc(OC)c4)c1	CHEMBL3356899	pKi=8.7
COc1ccc(Nc2ncc(cc2c3nc(C)nc(N)n3)C4=CCOCC4)cn1	CHEMBL2165030	pKi=8.7
Cc1nnc(NS(=O)(=O)c2ccc(NCc3cc(cc(c3)c4ccc5OCCOc5c4)C(=O)O)cc2)s1	CHEMBL3582356	pIC50=8.7
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3	CHEMBL1822054	pKi=8.72
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5ncc[nH]5)s2	CHEMBL2381270	pIC50=8.82
CC(C)(O)Cn1cc(cn1)c2ccc3c(OCCc4sc(nc34)c5ncnn5CC(F)(F)F)c2	CHEMBL2381379	pIC50=8.85
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1	CHEMBL521851	pKi=8.85
CN(C)S(=O)(=O)Nc1cc(Nc2ncc(Cl)cc2c3nc(C)nc(N)n3)cnc1Cl	CHEMBL2206921	pKi=9.0
COc1cc(cnc1OC)c2ccc3nc(NC(=O)C)sc3c2	CHEMBL3356889	pKi=9.0
COc1cncc(c1)c2ccc3nc(NC(=O)NCCC(=O)NCC(F)(F)F)sc3c2	CHEMBL3356896	pKi=9.0
COc1ncc(Nc2ncc(cc2c3nc(C)nc(N)n3)[C@@H](C)N4CCN(CC4)S(=O)(=O)C)cc1F	CHEMBL2170081	pKi=9.0
CC(C)n1nc(C)nc1c2cn3CCOc4cc(ccc4c3n2)c5cnn(c5)C(C)(C)C(=O)N	CHEMBL2387080	pKi=9.01
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5cn[nH]c5)s2	CHEMBL2381269	pIC50=9.16
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5cn(C)cn5)s2	CHEMBL2381271	pIC50=9.22
COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4nccc(c5ccnnc5)c4c3	CHEMBL1236962	pIC50=9.22
CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5cnn(CCO)c5)s2	CHEMBL2381373	pKi=9.26
COc1ccc(cn1)N2CCc3nc(NC(=O)C)sc3C2	CHEMBL3586667	pKi=9.48
CC(=O)Nc1nc2CCN(Cc2s1)c3cccnc3	CHEMBL3586665	pKi=9.8
C[C@H](O)C(=O)N1CCC(CC1)N2C(=O)N(C)c3cnc4ccc(nc4c23)c5ccc(C)nc5	CHEMBL2331664	pKi=9.96
CCNC(=O)Nc1nc2CCN(Cc2s1)c3cncc(OC)c3	CHEMBL3586671	pKi=10.18
COc1cncc(c1)N2CCc3nc(NC(=O)C)sc3C2	CHEMBL3586666	pKi=10.32
COc1cncc(c1)N2CCc3nc(NC(=O)NCCc4cn(CC(C)C)cn4)sc3C2	CHEMBL3586675	pKi=10.47
COc1cncc(c1)N2CCc3nc(NC(=O)NCCc4cn(CCO)cn4)sc3C2	CHEMBL3586680	pKi=10.6
COc1cc(cnc1Cl)N2CCc3nc(NC(=O)C)sc3C2	CHEMBL3586669	pKi=10.62
COc1cncc(n1)N2CCc3nc(NC(=O)C)sc3C2	CHEMBL3586670	pKi=10.77
COc1cncc(c1)N2CCc3nc(NC(=O)NCCc4cn(cn4)C(C)C)sc3C2	CHEMBL3586673	pKi=10.8
COc1cc(cnc1OC)N2CCc3nc(NC(=O)C)sc3C2	CHEMBL3586668	pKi=10.89
CCCOCCNC(=O)Nc1nc2CCN(Cc2s1)c3cncc(OC)c3	CHEMBL3586672	pKi=10.96
CCCn1cnc(CCNC(=O)Nc2nc3CCN(Cc3s2)c4cncc(OC)c4)c1	CHEMBL3586674	pKi=11.0
