CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1	amperozide	pIC50=6.34	pIC50=6.34	pIC50=6.34
CCCCCCCC\C=C/CCCCCCCC(=O)CBr	CHEMBL157736	pIC50=6.0
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccn5ccnc5n4)c2)cc1	CHEMBL2207359	pIC50=6.85
Fc1ccc(c(F)c1)c2cncc(c2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113267	pIC50=6.85
Fc1cccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)c1	CHEMBL472534	pIC50=6.85
O=C([C@@H]1Cc2ccc(cc2C1)c3ccccc3)c4occn4	CHEMBL1765098	pKi=6.85
Oc1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220066	pKi=6.85
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(cc4)C(F)(F)F	CHEMBL3423101	pIC50=6.88
CCCCCCCCCC(=O)C(F)(F)F	CHEMBL90258	pKi=6.89
CCCCCCCC\C=C/CCCCCCC(=O)c1cccnn1	CHEMBL459162	pKi=6.89
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4ccccc4F)c5ccccc15	CHEMBL1761293	pIC50=6.89
CCOC(=O)CC(C)CCCCCn1c(C)nc(c2ccccc2)c1c3ccccc3	CHEMBL392067	pIC50=6.89
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3Cc4ccc(OCc5ccccc5)cc4C3	CHEMBL1765980	pKi=6.89
COC(=O)c1cccnc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220612	pKi=6.89
COc1ccc(CN2CCC(CCCC(=O)c3occn3)CC2)cc1	CHEMBL403360	pIC50=6.89
Clc1ccc(CN2CCN(CC2)C(=O)Nc3ccccc3)cc1	CHEMBL1895507	pIC50=6.89
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3ccccc3C#N	CHEMBL220728	pKi=6.89
[O-][N+](=O)c1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL375573	pKi=6.89
Cc1ccncc1NC(=O)N2CC3(CCN(Cc4cccc(Oc5ccc(Cl)cc5)c4)CC3)C2	CHEMBL3112956	pIC50=6.9
Clc1ccc(Oc2cccc(CN3CC4(C3)CN(C4)C(=O)Nc5cccnc5)c2)cc1	CHEMBL3112774	pIC50=6.9
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(Cl)cc4Cl	CHEMBL3423103	pIC50=6.91
Clc1ccc(Oc2cccc(CN3CC4(CCN(CC4)C(=O)Nc5noc6ccccc56)C3)c2)cc1	CHEMBL3112940	pIC50=6.91
CCCCOc1ccc(NC(=O)Oc2ccc(F)cc2)cc1	CHEMBL591826	pIC50=6.92
COC1=NN(C(C)c2ccc(cc2)N(c3ccccc3)c4ccccc4)C(=O)O1	CHEMBL3087191	pIC50=6.92
COc1cc(Br)cc(CN2CCN(CC2)C(=O)Nc3ccccc3)c1O	CHEMBL2164605	pIC50=6.92
Clc1ccc(Sc2c[nH]nc2c3ccc4OCCOc4c3)cc1	CHEMBL3287926	pIC50=6.92
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5Cc6ccncc6C5	CHEMBL3217938	pIC50=6.92
O=C(Nc1ccccn1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL2326191	pIC50=6.92
O=C([C@@H]1CCc2cc(OCc3ccccc3)ccc2C1)c4oc(cn4)C#N	CHEMBL1765854	pKi=6.92
CCCCCCCC\C=C/CCCCCCC(=O)c1ccncn1	CHEMBL459161	pKi=6.96
CSc1ccc(cc1)C(O)CNc2cc(ncn2)c3ccc(c(Cl)c3)C(F)(F)F	CHEMBL3121122	pIC50=6.96
Cc1nc(c2ccccc2)c(c3ccccc3)n1CCCCCC(NC(=O)Oc4ccccc4F)c5ccccc5	CHEMBL393155	pIC50=6.96
Fc1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL223693	pKi=6.96
O=C(Nc1noc2ccccc12)N3CCN(CC3)c4cc(cs4)c5ccccc5	CHEMBL2326182	pIC50=6.96
O=C([C@@H]1Cc2ccc(OCc3ccccc3)cc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765979	pKi=6.96
OC(=O)c1cccc(n1)c2onc(n2)C(=O)CCCCCCc3ccccc3	CHEMBL468220	pKi=6.96
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(OC)cc4	CHEMBL3422945	pIC50=6.99
Cc1oc(c2cccc(OC(=O)NCCCCCCc3ccccc3)c2)c(c1)C(=O)N	CHEMBL2165094	pIC50=6.99
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4nn[nH]n4)c2)cc1	CHEMBL2207363	pIC50=6.99
CCCCCCCC\C=C/CCCCCCCC(=O)c1occn1	CHEMBL39412	pKi=7.0
CCCCCCNC(=O)Oc1cccc(c1)c2cc(nn2c3ccccc3)C(=O)OCCC	CHEMBL3423132	pIC50=7.0
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(CC)n1	CHEMBL3422942	pIC50=7.0
COC1=NN(Cc2ccc(Oc3ccccc3)cc2)C(=O)O1	CHEMBL3087178	pIC50=7.0
COC1=NN([C@@H](C)c2ccc(cc2)N(c3ccccc3)c4ccccc4)C(=O)O1	CHEMBL3087170	pIC50=7.0
COc1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220309	pKi=7.0
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccc5nccn5c4)c2)cc1	CHEMBL2207355	pIC50=7.0
Cn1ccc2cc(ccc12)c3ccc4oc(Nc5ccc(F)cc5)nc4c3	CHEMBL3222180	pIC50=7.0
FC(F)(F)C(=O)CCCCCCc1ccccc1	CHEMBL91416	pKi=7.0
O=C(CC1CCCCC1)N2CCC(CCCC(=O)c3occn3)CC2	CHEMBL270186	pIC50=7.0
O=C(CCCCCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL366959	pIC50=7.0
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219942	pIC50=7.0
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3Cc4ccc(Oc5ccccc5)cc4C3	CHEMBL1765867	pKi=7.01
C[C@@H](OC(=O)CCC=C)[C@@H]1CN(C(=O)CCC=C)C1=O	CHEMBL576713	pIC50=7.01
CCCCCCCc1ccc(CCCCCCC(=O)C(F)(F)F)cc1	CHEMBL91077	pKi=7.02
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5Cc6ccccc6C5	CHEMBL3222191	pIC50=7.02
Fc1ccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)cc1	CHEMBL518812	pIC50=7.02
Clc1ccc(Oc2cccc(CN3CCC4(CCN(CC4)C(=O)Nc5cccnc5)C3)c2)cc1	CHEMBL3112762	pIC50=7.03
O=S(=O)(C1CCCCC1)N2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4	CHEMBL3220526	pIC50=7.03
CCOC(=O)CCCOc1cccc(c1)n2cnc(c3ccccc3)c2c4ccccc4	CHEMBL428727	pIC50=7.04
CCn1ccc2cc(ccc12)c3ccc4oc(Nc5ccccc5)nc4c3	CHEMBL3217947	pIC50=7.04
COC1=NN(Cc2ccc(CC(C)C)cc2)C(=O)O1	CHEMBL3087173	pIC50=7.04
C[C@@H](OC(=O)CCCCc1ccccc1)[C@@H]2CN(C(=O)CCc3ccccc3)C2=O	CHEMBL569405	pIC50=7.04
CC(C)(C)CC(=O)N1CCC(CCCC(=O)c2occn2)CC1	CHEMBL402546	pIC50=7.05
CCCCCCCCCCCCSCC(=O)C(F)(F)F	CHEMBL270375	pIC50=7.05
Cc1cccc(CN2CCC(CCCC(=O)c3occn3)CC2)c1	CHEMBL257226	pIC50=7.05
Nc1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219955	pKi=7.05
O=C(N1CCN(Cc2cccc(Oc3ccccc3)c2)CC1)n4nnc5ccccc45	CHEMBL3356974	pIC50=7.05
[O-][N+](=O)c1ccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)cc1	CHEMBL2159804	pIC50=7.05
CCCCCCNC(=O)Oc1cccc(c1)c2cc(nn2c3ccccc3)C(=O)OCC	CHEMBL3423128	pIC50=7.06
O=C(NCCc1ccc2OCOc2c1)c3cc(on3)c4ccc(cc4)c5ccccc5	CHEMBL1798048	pIC50=7.06
O=C(Nc1noc2ccccc12)N3CCN(CC3)c4onc(n4)c5ccccc5	CHEMBL2326180	pIC50=7.06
O=C([C@@H]1CCc2cc(OCc3ccccc3)ccc2C1)c4occn4	CHEMBL1765852	pKi=7.06
CCOC(=O)c1cc(c2ccc(OC(=O)NC3CCCCC3)cc2)n(C)n1	CHEMBL3423105	pIC50=7.09
CCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL599470	pIC50=7.09
CN1CCN(CC1)C(=O)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220680	pKi=7.1
Cc1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220938	pKi=7.1
Clc1ccc(Oc2cccc(CN3CC4(CCN(CC4)C(=O)Nc5cccnc5)C3)c2)cc1	CHEMBL3112772	pIC50=7.1
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3ccccc3	CHEMBL173992	pKi=7.1
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(cc4)[N+](=O)[O-]	CHEMBL3423102	pIC50=7.11
CN(CCCCCl)C(=O)n1cnc(c1)c2ccccc2	CHEMBL1812720	pIC50=7.11
COC1=NN(C(=O)O1)c2ccc(NC(=O)OCc3ccccc3)c(C)c2	CHEMBL570812	pIC50=7.11
FC(F)(F)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL373606	pIC50=7.11
O=C(CCCC1CCN(CC1)C(=O)c2ccccc2)c3occn3	CHEMBL257945	pIC50=7.11
C(N1CCc2c(C1)ccnc2Nc3cnc4ccccc4c3)c5ccccc5	CHEMBL3220519	pIC50=7.12
O=C(Nc1ccccc1)N2CCN(Cc3cccc(Oc4ccccc4)c3)CC2	CHEMBL2164594	pIC50=7.13
CC(C)(C)c1ccc(cc1)c2cc(NCC(O)c3ccccc3)ncn2	CHEMBL3121137	pIC50=7.14
CCCCCCCC\C=C/CCCCCCCC(=O)c1oc2ccccc2n1	CHEMBL285678	pKi=7.14
COCCOc1cccc(c1)c2ccc(OC3CN(C3)C(=O)Nc4cnccn4)nc2	CHEMBL3677690	pIC50=7.14
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3cccc(F)c3	CHEMBL3121120	pIC50=7.14
C[C@@H](OC(=O)COCc1ccccc1)[C@@H]2CN(C(=O)NCC=C)C2=O	CHEMBL2313941	pIC50=7.15
NC(=O)c1cc(c2ccc(OC(=O)NC3CCCCC3)cc2)n(n1)c4ccccc4	CHEMBL3423116	pIC50=7.15
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3Cc4ccc(Oc5ccccc5)cc4C3	CHEMBL1765868	pKi=7.15
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(Cc4ccccc4)n1	CHEMBL3423104	pIC50=7.16
Cc1cccc(c1)c2nsc(n2)N3CCN(CC3)C(=O)Nc4ccccc4	CHEMBL472188	pIC50=7.16
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnc5cc[nH]c5c4)c2)cc1	CHEMBL2207345	pIC50=7.16
O=C(Nc1ccccc1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL460273	pIC50=7.16
O=C(Nc1ccon1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL488867	pIC50=7.16
CN(c1ccccc1)c2oc3ccc(cc3n2)c4ccc5c(ccn5C)c4	CHEMBL3222179	pIC50=7.17
Clc1ccc(CN2CCC(CCCC(=O)c3occn3)CC2)cc1	CHEMBL269975	pIC50=7.18
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cnc6[nH]ccc6c5)c2)cc1	CHEMBL3112943	pIC50=7.18
CCCCCCCC\C=C/CCCCCCC(=O)c1nnn(C)n1	CHEMBL457892	pKi=7.19
CCOC(=O)CCCCCCn1c(C)nc(c2ccc(F)cc2)c1c3ccc(F)cc3	CHEMBL232785	pIC50=7.19
CCOC(=O)CCCOc1ccc(cc1)n2cnc(c3ccccc3)c2c4ccccc4	CHEMBL234879	pIC50=7.19
CCOC(=O)CCCc1ccc(cc1)n2c(CC)nc(c3ccccc3)c2c4ccccc4	CHEMBL458988	pIC50=7.19
COC1=NN(C(=O)O1)c2ccc(Oc3ccccc3)cc2	CHEMBL2171700	pIC50=7.19
FC(F)(F)C(=O)c1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220326	pKi=7.19
CCCCCOc1cccc(c1)c2onc(c2)C(=O)NC34CC5CC(CC(C5)C3)C4	CHEMBL2414026	pIC50=7.2
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5CCN(CC5)c6ccccc6	CHEMBL3222189	pIC50=7.2
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3nnn[nH]3	CHEMBL220730	pKi=7.2
O=C(NC1CCCCC1)Oc2cccc(c2)c3ccccc3	CHEMBL431202	pIC50=7.2
Clc1ccc(Oc2ccc(CN3CCN(CC3)C(=O)Nc4ccccc4)cc2)cc1	CHEMBL2164597	pIC50=7.21
Fc1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL222614	pKi=7.21
O=C([C@@H]1CCc2cc(ccc2C1)c3ccccc3)c4oc(cn4)C#N	CHEMBL1765842	pKi=7.21
CCCCCCCC\C=C/CCCCCCC(=O)c1oc(cn1)c2cccnc2	CHEMBL458941	pKi=7.22
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4ccc(Cl)s4)c5ccccc15	CHEMBL1761298	pIC50=7.22
COC(=O)c1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL223435	pKi=7.22
Clc1cccc(CN2CCC(CCCC(=O)c3occn3)CC2)c1	CHEMBL255801	pIC50=7.22
Cn1ncc2cc(ccc12)c3ccc4oc(NC5CCCCC5)nc4c3	CHEMBL3222175	pIC50=7.22
OC(=O)c1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL222613	pKi=7.22
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3ccccc3F	CHEMBL3121121	pIC50=7.22
COC(=O)c1oc(nc1)C(=O)[C@@H]2CCc3cc(Oc4ccccc4)ccc3C2	CHEMBL1765847	pKi=7.23
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3ccc(Cl)c(F)c3	CHEMBL3121128	pIC50=7.23
CCCCCCCC\C=C/CCCCCCCNC(=O)Oc1cccc(c1)c2cccc(c2)C(=O)N	CHEMBL458987	pIC50=7.24
C[C@@H](OC(=O)CCc1ccccc1)[C@@H]2CN(C(=O)CCCc3ccccc3)C2=O	CHEMBL570347	pIC50=7.24
O=C(N1CCCCC1)c2cccc(CN3CCN(CC3)C(=O)n4nnc5ccccc45)c2	CHEMBL2159809	pIC50=7.24
O=C([C@H]1CCc2cc(ccc2C1)c3ccccc3)c4occn4	CHEMBL1765822	pKi=7.24
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)C3Cc4ccc(cc4C3)c5ccccc5	CHEMBL1765864	pKi=7.24
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3ccc(cc3)C#N	CHEMBL3121125	pIC50=7.24
CCCCCCCC\C=C/CCCCCCC(=O)c1oc(cn1)c2ccncc2	CHEMBL515533	pKi=7.25
COC(=O)c1oc(nc1)C(=O)[C@H]2CCc3cc(ccc3C2)c4ccccc4	CHEMBL1765823	pKi=7.26
CSc1ccc(cc1)c2cc(NCC(O)c3ccccc3)ncn2	CHEMBL3121142	pIC50=7.26
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5CCc6ccccc6C5	CHEMBL3222190	pIC50=7.26
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cccs3	CHEMBL178071	pKi=7.26
O=C(CCCCOCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL229483	pKi=7.26
O[C@@H](CNc1cc(ncn1)c2ccc(Cl)c(c2)C(F)(F)F)c3ccccc3	CHEMBL3121118	pIC50=7.26
CCCCCCCC\C=C/CCCCCCC(=O)c1oc(cn1)c2occc2	CHEMBL457518	pKi=7.27
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2cccc(c2)N(C)C	CHEMBL599283	pIC50=7.27
CCOc1ccc(cc1)c2cc(NCC(O)c3ccccc3)ncn2	CHEMBL3121140	pIC50=7.27
O=C([C@@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4oc(cn4)C#N	CHEMBL1765848	pKi=7.27
Oc1ccc(cc1C#N)c2ccc3oc(NC4CCCCC4)nc3c2	CHEMBL3222168	pIC50=7.27
COC(=O)c1oc(nc1)C(=O)[C@@H]2CCc3cc(OCc4ccccc4)ccc3C2	CHEMBL1765853	pKi=7.28
Cn1ncc2c(cccc12)c3ccc4oc(NC5CCCCC5)nc4c3	CHEMBL3222176	pIC50=7.28
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2cccc(c2)C(F)(F)F	CHEMBL599489	pIC50=7.29
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3Cc4ccc(OCc5ccccc5)cc4C3	CHEMBL1765872	pKi=7.29
CCCCC(=O)c1oc2cccnc2n1	CHEMBL402740	pKi=7.3
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4cccc(F)c4)c5ccccc15	CHEMBL1761294	pIC50=7.3
CCN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4ccccc4)c5ncccc15	CHEMBL1761292	pIC50=7.3
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3CN(C(=O)CCc4ccccc4)C3=O	CHEMBL569642	pIC50=7.3
Clc1ccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)nn1	CHEMBL488709	pIC50=7.3
Clc1ccc(Oc2cccc(CN3CC4(CCN(CC4)C(=O)Nc5ccc(nc5)n6nccn6)C3)c2)cc1	CHEMBL3112939	pIC50=7.3
FC(F)(F)c1ccc(CN2CCN(CC2)C(=O)Nc3ccccc3)cc1	CHEMBL2164591	pIC50=7.3
Fc1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL387376	pKi=7.3
OC(=O)c1ccc(nc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219953	pIC50=7.3
OC(=O)c1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220892	pKi=7.3
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3cccc(c3)C#N	CHEMBL3121126	pIC50=7.3
Oc1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL222463	pKi=7.3
[O-][N+](=O)c1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL373814	pKi=7.3
COc1ccc(cc1C)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121111	pIC50=7.31
COc1ccccc1N2CCN(CCCCNC(=O)Oc3cccc4ccccc34)CC2	CHEMBL3800489	pIC50=7.31
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)CCc3ccccc3)C2=O	CHEMBL569404	pIC50=7.31
OCCOc1cccc(c1)c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677694	pIC50=7.31
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3nc(C4CC4)n(C)c3Sc5ccc(Cl)cn5	CHEMBL2386556	pIC50=7.32
COC1=NN(C(C)c2ccc(cc2)c3ccccc3)C(=O)O1	CHEMBL3087183	pIC50=7.32
Cn1ccc2cc(ccc12)c3ccc4oc(Nc5ccccc5)nc4c3	CHEMBL3222177	pIC50=7.32
O=C(CCCCCCc1ccccc1)c2occn2	CHEMBL220125	pKi=7.32
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)Nc5cnc6[nH]ccc6c5)c2)cc1	CHEMBL3112776	pIC50=7.33
CC(C)(C)c1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccccc4)c2)cc1	CHEMBL2164600	pIC50=7.34
CCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL592871	pIC50=7.34
C[C@@H](OC(=O)CCCCc1ccccc1)[C@@H]2CN(C(=O)CCCc3ccccc3)C2=O	CHEMBL570579	pIC50=7.34
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnc5ccccn45)c2)cc1	CHEMBL2207351	pIC50=7.34
Brc1ccc(CN2CCC(CCCC(=O)c3occn3)CC2)cc1	CHEMBL272098	pIC50=7.35
CN(C)C(=O)Oc1noc2ccc(Cl)cc12	CHEMBL2326179	pIC50=7.35
Cc1sccc1S(=O)(=O)N2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4	CHEMBL3220528	pIC50=7.35
O=C(CCCC1CCN(CC1)C(=O)C2CCCCC2)c3occn3	CHEMBL271446	pIC50=7.35
O=S(=O)(C1CCC1)N2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4	CHEMBL3220527	pIC50=7.35
O=C(NC1CCCCC1)c2cccc(CN3CCN(CC3)C(=O)n4nnc5ccccc45)c2	CHEMBL2159811	pIC50=7.36
O=C(NCCCCCCc1ccccc1)Oc2cccc(c2)N3CCNCC3	CHEMBL2326500	pIC50=7.36
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5ccc(nc5)n6cccn6)c2)cc1	CHEMBL3112942	pIC50=7.37
O=C(Nc1noc2ccccc12)N3CCC(CC3)c4nc(cs4)c5ccccc5	CHEMBL2326184	pIC50=7.37
[O-][N+](=O)c1cccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)c1	CHEMBL2159806	pIC50=7.37
Cc1cc(C)cc(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)c1	CHEMBL3800617	pIC50=7.38
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5CCn6cccc6C5	CHEMBL3217939	pIC50=7.38
Fc1ccccc1c2ccc(OC3CN(C3)C(=O)Nc4cnccn4)nc2	CHEMBL3677701	pIC50=7.38
O=C([C@@H]1Cc2ccc(Oc3ccccc3)cc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765875	pKi=7.38
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccncn4)c2)cc1	CHEMBL2164604	pIC50=7.39
CCCCCCCC\C=C/CCCCCCC=O	CHEMBL1812584	pKi=7.4
CCCCCCCC\C=C/CCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL35925	pIC50=7.4
CCCCOc1ccc(CNC(=O)Oc2cccc(c2)C(F)(F)F)cc1	CHEMBL597272	pIC50=7.4
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4ccc(C)cc4)c5ccccc15	CHEMBL1761297	pIC50=7.4
COC(=O)c1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220005	pKi=7.4
COc1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220518	pKi=7.4
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3ccc(cc3)C#N	CHEMBL220376	pKi=7.4
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cccc(n3)c4nnn[nH]4	CHEMBL270284	pKi=7.4
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3CCc4cc(ccc4C3)c5ccccc5	CHEMBL1765827	pKi=7.41
CN(C)C(=O)n1nnnc1Cc2ccc(cc2)c3ccccc3	CHEMBL509860	pIC50=7.42
O=C(Nc1cccnn1)N2CC(C2)Oc3ccc(cn3)c4ccccc4	CHEMBL3677697	pIC50=7.42
OC(=O)c1cccc(n1)c2oc(nn2)C(=O)CCCCCCc3ccccc3	CHEMBL461163	pKi=7.43
Fc1ccc(c(F)c1)c2cccc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113265	pIC50=7.44
NC(=O)c1cccc(c1)c2cccc(OC(=O)NCCCCCCc3ccccc3)c2	CHEMBL451909	pIC50=7.44
Cc1ccc(C)c(OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5)c1	CHEMBL3798265	pIC50=7.46
O=C(Nc1ccccc1)c2cccc(CN3CCN(CC3)C(=O)n4nnc5ccccc45)c2	CHEMBL2159812	pIC50=7.46
COC1=NN(C(C)c2ccc(Oc3ccccc3)cc2)C(=O)O1	CHEMBL3087185	pIC50=7.47
COc1cccc(CN2CCC(CCCC(=O)c3occn3)CC2)c1	CHEMBL257024	pIC50=7.47
Cc1ccc2nc(sc2c1)c3ccc(NC(=O)C4CCN(CC4)S(=O)(=O)c5cccs5)cc3	CHEMBL460340	pIC50=7.47
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3CCc4cc(OCc5ccccc5)ccc4C3	CHEMBL1765839	pKi=7.47
[O-][N+](=O)c1ccc(cc1)N2CCN(CC2)C(=O)n3nnc4ccccc34	CHEMBL2159788	pIC50=7.47
C[C@@H](OC(=O)NCCc1ccccc1)[C@@H]2CN(C(=O)CCC=C)C2=O	CHEMBL2313943	pIC50=7.48
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccn5ccnc5c4)c2)cc1	CHEMBL2207354	pIC50=7.48
O=C(Nc1ccccc1)N2CCC(Cc3cnc4ccccc4c3)CC2	CHEMBL560590	pIC50=7.48
O=C(Nc1ccccc1)N2CCN(Cc3ccc4ccccc4n3)CC2	CHEMBL513789	pIC50=7.48
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3ccc(F)c(Cl)c3	CHEMBL3121129	pIC50=7.48
CC(C)(O)c1cnc(cn1)c2nn(cc2Sc3ccc(Cl)cc3)c4ccc(F)cc4	CHEMBL3287930	pIC50=7.5
CCOC(=O)CCCCCn1c(CC)nc(c2ccccc2)c1c3ccccc3	CHEMBL237043	pIC50=7.5
CCc1ccc(cc1)c2cc(NCC(O)c3ccccc3)ncn2	CHEMBL3121135	pIC50=7.5
C[C@@H](OC(=O)CCCC=C)[C@@H]1CN(C(=O)CCC=C)C1=O	CHEMBL571724	pIC50=7.5
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3CN(C(=O)CCCc4ccccc4)C3=O	CHEMBL571727	pIC50=7.5
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cc[nH]n4)c2)cc1	CHEMBL2207362	pIC50=7.5
Clc1ccccc1NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL461935	pIC50=7.5
O=C(N1CCN(Cc2ccccc2c3ccccc3)CC1)n4nnc5ccccc45	CHEMBL2159778	pIC50=7.5
CCCCCCCC\C=C/CCCCCCC(=O)c1occ(n1)c2ccccn2	CHEMBL456447	pKi=7.51
