Cc1cccc(n1)c2nc(NCc3cccc(F)c3F)sc2c4ccc5ncnn5c4	CHEMBL2087982	pIC50=7.53
COc1ccccc1Nc2cc(Oc3cc(C)c(C)nc3c4ccccn4)ccn2	CHEMBL575492	pIC50=8.16
CSc1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260589	pIC50=8.16
Cc1cccc(n1)c2[nH]c(CNc3ccccc3Br)nc2c4ccc5ncnn5c4	CHEMBL3260569	pIC50=8.16
Cc1cccc(n1)c2[nH]c(CNc3cc(ccc3CN4CCCC4)C#N)nc2c5ccc6ncnn6c5	CHEMBL3260906	pIC50=8.17
Cc1cccc(n1)c2[nH]c(CNc3cccc(CN4CCOCC4)c3F)nc2c5ccc6ncnn6c5	CHEMBL3260631	pIC50=8.17
Cc1ccc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)cc1	CHEMBL1835528	pIC50=8.18
Cc1cccc(n1)n2ncc(C)c2c3cc4cnccc4s3	CHEMBL3640035	pIC50=8.18
CCc1cccc(c1)C2=C(N(C)N(C)C2=O)c3ccc4nccnc4c3	CHEMBL594371	pKi=8.22
Cc1cc(Oc2ccnc(Nc3cccc(c3)N4CCOCC4)c2)c(nc1C)c5ccccn5	CHEMBL574413	pIC50=8.22
Cc1cccc(n1)c2[nH]c(CNc3cc(F)cc(F)c3)nc2c4ccc5ncnn5c4	CHEMBL3260623	pIC50=8.22
Cc1cccc(n1)c2[nH]c(CNc3cccc(Cl)c3)nc2c4ccc5ncnn5c4	CHEMBL3260582	pIC50=8.22
Cc1cccc(n1)n2nccc2c3ccc4N=CNC(=O)c4c3	CHEMBL2024690	pIC50=8.22
Cc1cccnc1c2nc(N)sc2c3ccc4ncccc4n3	CHEMBL576062	pIC50=8.22
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C(F)(F)F	CHEMBL2207996	pIC50=8.24
COc1ccccc1NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5	CHEMBL1835620	pIC50=8.25
Cc1cccc(n1)c2[nH]c(CNc3cccc(C#N)c3CN4CCCC4)nc2c5ccc6ncnn6c5	CHEMBL3260898	pIC50=8.25
CC(C)COC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208237	pIC50=8.26
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccccc5F	CHEMBL1835534	pIC50=8.27
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cc(Cl)cc(Cl)c5	CHEMBL1835625	pIC50=8.29
CN1N(C)C(=C(C1=O)c2cccc(C)n2)c3ccc4nccnc4c3	CHEMBL606632	pKi=8.3
Cc1cccc(n1)c2[nH]c(CNc3cccc(Br)c3)nc2c4ccc5ncnn5c4	CHEMBL3260583	pIC50=8.3
Cc1cccc(n1)c2[nH]c(CNc3cccc(c3)C#N)nc2c4ccc5ncnn5c4	CHEMBL3260591	pIC50=8.3
Cc1cccc(n1)n2nc3CCCc3c2c4ccc5N=CNC(=O)c5c4	CHEMBL2024693	pIC50=8.3
CN(C)Cc1cc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)cc(c1)C#N	CHEMBL3260901	pIC50=8.31
Cc1cccc(n1)c2[nH]c(CNc3cc(ccc3CN4CCOCC4)C#N)nc2c5ccc6ncnn6c5	CHEMBL3260907	pIC50=8.32
CCOC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208016	pIC50=8.35
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cccc(F)c5	CHEMBL1835518	pIC50=8.35
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cccc(c5)C#N	CHEMBL1835524	pIC50=8.35
CCc1cnn(c2cccc(C)n2)c1c3cc4cnccc4s3	CHEMBL3704651	pIC50=8.36
COc1ccc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)cc1OC	CHEMBL1835629	pIC50=8.36
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F	CHEMBL1835628	pIC50=8.39
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(F)cc5	CHEMBL1835526	pIC50=8.39
CN1C=Nc2ccc(cc2C1=O)c3c(C)cnn3c4cccc(C)n4	CHEMBL2024686	pIC50=8.4
COc1cccc(Nc2cc(Oc3cc(C)c(C)nc3c4ccccn4)ccn2)c1	CHEMBL575721	pIC50=8.4
Cc1cc(C)cc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)c1	CHEMBL1835627	pIC50=8.4
Cc1cccc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)c1	CHEMBL1835520	pIC50=8.4
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccccc5C	CHEMBL1835536	pIC50=8.4
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccccc5OC(F)(F)F	CHEMBL1835621	pIC50=8.4
Cc1cccc(n1)n2nccc2c3ccc4N=CN(C=C)C(=O)c4c3	CHEMBL2024685	pIC50=8.4
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(Cl)cc5	CHEMBL1835527	pIC50=8.41
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(Cl)c(Cl)c5	CHEMBL1835624	pIC50=8.42
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(C)c(C)c5	CHEMBL1835626	pIC50=8.45
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cccc(c5)C(=O)N	CHEMBL1835525	pIC50=8.46
Cc1cccc(n1)c2[nH]c(CNc3cc(CN4CCOCC4)cc(c3)C#N)nc2c5ccc6ncnn6c5	CHEMBL3260903	pIC50=8.48
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(OC(F)(F)F)cc5	CHEMBL1835531	pIC50=8.48
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cc(F)cc(F)c5	CHEMBL1835623	pIC50=8.5
Fc1ccc(Br)cc1c2nc(Nc3ccncc3C(=O)NCCCN4CCCC4=O)c5nccnc5n2	CHEMBL234655	pIC50=8.5
CN(C)Cc1ccc(cc1NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)C#N	CHEMBL3260905	pIC50=8.51
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCCN(C)C)C(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1271736	pIC50=8.52
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCN(C)C)C(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1272238	pIC50=8.52
CN1C=Nc2ccc(cc2C1=O)c3cc(C)nn3c4cccc(C)n4	CHEMBL2024687	pIC50=8.52
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(cc5)C(F)(F)F	CHEMBL1835529	pIC50=8.52
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cccc(c5)C(F)(F)F	CHEMBL1835521	pIC50=8.52
Cc1nc(ccc1F)c2nc([nH]c2c3ccc4ncnn4c3)N5CCN(CC5)S(=O)(=O)C	CHEMBL480583	pKi=8.52
CC(=O)Nc1nc(c2cccc(C)n2)c([nH]1)c3ccc4ncnn4c3	CHEMBL450161	pKi=8.53
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(cc5)C#N	CHEMBL1835532	pIC50=8.53
CN(C)c1ccc(F)c(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260627	pIC50=8.54
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccccc5	CHEMBL1835112	pIC50=8.55
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccccc5Cl	CHEMBL1835535	pIC50=8.55
CN(C)c1cc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)cc(c1)C#N	CHEMBL3260900	pIC50=8.59
COc1cc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)cc(OC)c1	CHEMBL1835630	pIC50=8.6
CN(C)Cc1c(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)cccc1C#N	CHEMBL3260897	pIC50=8.62
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cccc(Cl)c5	CHEMBL1835519	pIC50=8.63
COc1cccc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)c1	CHEMBL1835522	pIC50=8.65
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(F)c(F)c5	CHEMBL1835622	pIC50=8.67
CC(=O)Nc1nc(c2ccc(F)c(C)n2)c([nH]1)c3ccc4ncnn4c3	CHEMBL517068	pKi=8.68
CCc1cnn(c2cccc(C)n2)c1c3ccc4N=CNC(=O)c4c3	CHEMBL2024691	pIC50=8.7
Clc1cnc2OCOc2c1Nc3ccnc(NC(=O)C4CC4)c3	CHEMBL3818173	pIC50=8.72
CN(C)c1ccc(cc1NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)C#N	CHEMBL3260904	pIC50=8.89
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCN(C)C)S(=O)(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1272128	pIC50=9.0
CCc1cc(c2ccc3N=CN(C)C(=O)c3c2)n(n1)c4cccc(C)n4	CHEMBL2024689	pIC50=9.0
Cc1cccc(n1)n2ncc(C)c2c3ccc4N=CNC(=O)c4c3	CHEMBL2024688	pIC50=9.0
Cc1nc(ccc1F)c2nc(N)[nH]c2c3ccc4nccnc4c3	CHEMBL480742	pKi=9.16
COc1ccc(NC(=S)n2cc(c3ccc4ncnn4c3)c(n2)c5cccc(C)n5)cc1	CHEMBL1835530	pIC50=9.24
Cc1cccc(n1)c2nc(N)sc2c3ccc4nccnc4c3	CHEMBL519948	pKi=9.48
