CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	ceritinib	pIC50=9.69896984	pIC50=9.69896984	pIC50=9.69896984	pIC50=7.54
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	alectinib	pIC50=8.72124672	pIC50=8.72124672	pIC50=8.72124672	pIC50=7.72
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl	crizotinib	pKi=9.13	pKi=9.13	pKi=9.13	pIC50=7.55
CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)cc2C	CHEMBL2403827	pIC50=7.53
C[C@H]1Oc2cc(cnc2N)c3c(C)nn(C)c3CN(C)C(=O)c4ccc(F)cc14	CHEMBL3286820	pIC50=7.85
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5c(F)ccc(F)c5Cl)c34	CHEMBL1922973	pIC50=7.85
Cn1cc(\C=C\2/C(=O)NN=C2c3nccs3)c4c(OCc5cccc(F)c5F)cccc14	CHEMBL1922986	pIC50=7.85
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC[C@H]5C(C)(C)O)cc24	CHEMBL2172309	pIC50=7.89
CC(C)Oc1cc(C2CCN(CC2)C(=O)CN(C)C)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c[nH]nc5n3	CHEMBL3651844	pIC50=7.89
CC(C)Oc1cc(C2CCN(CC2)C(=O)[C@@H]3CCCN3)c(C)cc1Nc4ncc(Cl)c(Nc5ccccc5S(=O)(=O)C(C)C)n4	CHEMBL3651831	pIC50=7.89
CC(C)Oc1cc(C2CNC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604645	pIC50=7.89
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C#N)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3604644	pIC50=7.89
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CCN(C)C\C(=C\C)\c4c3)ncc2Cl	CHEMBL3263976	pIC50=7.89
COc1ncc(F)cc1c2c(sc3cnc(Nc4cc(nn4C(C)C)C5CCOCC5)nc23)C(=O)N	CHEMBL3669148	pIC50=7.89
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5ccccc5F)c34	CHEMBL1922967	pIC50=7.89
Cn1cc(\C=C\2/C(=O)NN=C2c3nccs3)c4c(OCc5c(F)cccc5Cl)cccc14	CHEMBL1922985	pIC50=7.89
CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(nc4S(=O)(=O)C(C)C)C5CC5)n3	CHEMBL3786976	pIC50=7.92
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)C4CN(C)C4)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5	CHEMBL3651840	pIC50=7.92
CCC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC(C)C)C4CCNCC4)ncc2Cl	CHEMBL3785232	pIC50=7.92
CCN(CC)[C@@H]1CC[C@H](CC1)c2cc(OC3CC3)c(Nc4ncc(Cl)c(Nc5cn(C)nc5S(=O)(=O)C(C)C)n4)cc2C	CHEMBL3785934	pIC50=7.92
CN1CCN(CC1)c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC6CCOCC6)c2	CHEMBL1983268	pIC50=7.92
COCCN1CCC(CC1)c2cc(OC(C)C)c(Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3)cc2C	CHEMBL3651858	pIC50=7.92
COc1cc(C2CCNCC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651863	pIC50=7.92
COc1cc2CCCNC(=O)c2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608520	pIC50=7.92
COc1cc2CN(C3CN(C3)C(=O)[C@@H]4CCCN4)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5	CHEMBL3651842	pIC50=7.92
COc1ccc(c(OC)c1)c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(CC(=O)N)CC5)nn23	CHEMBL2158512	pIC50=7.92
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5c(F)cccc5F)c34	CHEMBL1922970	pIC50=7.92
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5ccc(F)cc5)c34	CHEMBL1922969	pIC50=7.92
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5ccc(F)cc5F)c34	CHEMBL1922971	pIC50=7.92
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1c5cnn(c5)C6CCOC6	CHEMBL3735859	pIC50=7.93
CC(=O)NCCOc1ccc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2c1	CHEMBL1779194	pIC50=7.94
CC(C)Oc1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL2403849	pIC50=7.94
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCC(O)CC5	CHEMBL1779198	pIC50=7.94
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1C5=CCN(CC6CCOCC6)CC5	CHEMBL3735386	pIC50=7.95
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1c5cnn(c5)C6CCOCC6	CHEMBL3734844	pIC50=7.95
CC(C)Oc1cc(C2CCN(CCO)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651857	pIC50=7.96
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)S(=O)(=O)C)ncc2Cl	CHEMBL3604654	pIC50=7.96
CCN1C(=O)CCCc2c(OC)c(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)ccc12	CHEMBL2042827	pIC50=7.96
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(C)CC3)c(F)c2)nc1NC4CCOCC4	CHEMBL3687222	pIC50=7.96
CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1NC4CCOCC4	CHEMBL3687219	pIC50=7.96
CN1CCC(CC1)c2cc(OC3CC3)c(Nc4ncc(Cl)c(Nc5cn(C)nc5C#N)n4)cc2C	CHEMBL3786148	pIC50=7.96
CN1CCN(CC1)c2ccc(cn2)c3cnc4NCCN(Cc5c(F)ccc(F)c5Cl)c4c3	CHEMBL1164265	pIC50=7.96
CN1CCN(CC1)c2ccc(cn2)c3cnc4NCCN(Cc5cc(Cl)ccc5Cl)c4c3	CHEMBL1164181	pIC50=7.96
COCCNC1CCc2cc(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)c(OC)cc2CC1	CHEMBL2064664	pIC50=7.96
COc1cc(ccc1Nc2ncc3c(O)cc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCN(CC(=O)N)CC5	CHEMBL2158517	pIC50=7.96
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(CC5)C(=O)C6CCN6)nn23	CHEMBL2158587	pIC50=7.96
C[C@H](Oc1cc(cnc1N)c2c[nH]nc2C)c3cc(F)ccc3C#N	CHEMBL3128072	pKi=7.96
CC(C)Oc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)C4CCNCC4	CHEMBL2403845	pIC50=7.98
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCN(CC5)C(=O)C6CNC6	CHEMBL3735113	pIC50=7.98
Cc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6	CHEMBL1823219	pIC50=7.98
CC(C)N[C@@H]1CC[C@@H](CC1)c2cc(OC3CC3)c(Nc4ncc(Cl)c(Nc5cn(C)nc5S(=O)(=O)C(C)C)n4)cc2C	CHEMBL3785825	pIC50=8.0
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC(F)(F)F)C4CCN(C)CC4)ncc2Cl	CHEMBL3604638	pIC50=8.0
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5COC5)ncc2Cl	CHEMBL3604651	pIC50=8.0
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(Cl)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3604643	pIC50=8.0
CCN1CCC(C1)c2ccc(Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3)cc2	CHEMBL3651872	pIC50=8.0
CN1CCN(CC1)c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(N[C@@H]6CC[C@@H](O)CC6)c2	CHEMBL3805123	pIC50=8.0
CN1CCN(CC1)c2ccc(cn2)c3cnc4NCCN(Cc5cc(Cl)ccc5C(F)(F)F)c4c3	CHEMBL1164180	pIC50=8.0
CNC(=O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5ccccc5OC)n4n3)c(OC)c2	CHEMBL2158511	pIC50=8.0
COc1cc(N2CCN(C)CC2)c3CCc4ccc(N(C)S(=O)(=O)C)c(Nc5nc(Nc1c3)ncc5Cl)c4	CHEMBL1946804	pIC50=8.0
COc1cc(Nc2nccc(n2)N3CCC[C@@H](C3)C(=O)NCc4ccc(OC(F)(F)F)cc4)cc(OC)c1OC	CHEMBL2023990	pIC50=8.0
COc1cc(ccc1Nc2ncc(Cl)c(N[C@@H]3CCCC[C@H]3NS(=O)(=O)C)n2)N4CCOCC4	CHEMBL1796242	pIC50=8.0
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3824185	pIC50=8.0
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCNCC5	CHEMBL2158527	pIC50=8.0
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C[C@H](C)O)CC5	CHEMBL1822525	pIC50=8.0
COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCC(CC6)N7CCN(C)CC7	CHEMBL3218857	pIC50=8.0
COc1cc2CCN(CCS(=O)(=O)C)CCc2cc1Nc3ncc(Cl)c(Nc4ccc(cc4OC)N5CCOCC5)n3	CHEMBL1642257	pIC50=8.0
COc1cc2c(CCC(NC(=O)CO)C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3786402	pIC50=8.0
FC(F)(F)c1ccc(Cl)cc1CN2CCNc3ncc(cc23)c4ccc(cc4)C(=O)N5CCC(CC5)N6CCCC6	CHEMBL1163559	pIC50=8.0
FC(F)(F)c1ccc(Cl)cc1CN2CCNc3ncc(cc23)c4ccnc(c4)N5CCNCC5	CHEMBL1163566	pIC50=8.0
COc1ncccc1c2cnc(N)c(O[C@H](C)c3cc(F)ccc3n4nccn4)n2	CHEMBL3286811	pIC50=8.01
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N(C)C6COC6	CHEMBL3735531	pIC50=8.02
CC(C)N[C@@H]1CC[C@H](CC1)c2cc(OC3CC3)c(Nc4ncc(Cl)c(Nc5cn(C)nc5S(=O)(=O)C(C)C)n4)cc2C	CHEMBL3785928	pIC50=8.05
CC(C)Oc1cc(C2CCN(C)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)c[nH]c5n3	CHEMBL3651881	pIC50=8.05
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCN(CC4)C(=O)CO)c3)ncc2Cl	CHEMBL3357459	pIC50=8.05
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCS(=O)(=O)CC5)ncc2Cl	CHEMBL3785607	pIC50=8.05
CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C)n3)cc2CC1	CHEMBL1796253	pIC50=8.05
CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C)n3)cc2CC1	CHEMBL1796244	pIC50=8.05
CCc1nc(C(=O)N)c(Nc2ccc(cc2OC)N3CCC(CC3)N4CCN(C)CC4)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687190	pIC50=8.05
CN1CCC(CC1)Oc2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC6CCOCC6)c2	CHEMBL3806122	pIC50=8.05
COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C)n3)cc2CC1	CHEMBL1796245	pIC50=8.05
COCCN[C@@H]1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)c(OC)c2CC1	CHEMBL2064663	pIC50=8.05
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C)CC5	CHEMBL1822524	pIC50=8.05
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4OC)n3n2)N5CCN(C)CC5	CHEMBL1822519	pIC50=8.05
COc1cc(ccc1Nc2ncc3ccc(c4ccncc4OC)n3n2)C5CCN(CC(=O)N)CC5	CHEMBL2158515	pIC50=8.05
COc1ccccc1c2c(sc3cnc(Nc4ccc(CN5CCN(C)CC5)cc4OC(C)C)nc23)C(=O)N	CHEMBL3669146	pIC50=8.05
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)N5CCN(CC5)N6CCOCC6)nn23	CHEMBL1822522	pIC50=8.05
C[C@@H](Oc1cc(cnc1N)c2cnnn2C)c3cc(F)ccc3n4nccn4	CHEMBL3128060	pKi=8.05
Cn1cc(\C=C\2/C(=O)NN=C2c3nccs3)c4c(OCc5c(F)cccc5F)cccc14	CHEMBL1922984	pIC50=8.05
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)N5CCN(CC5)N6CCN(C)CC6)nn23	CHEMBL1822523	pIC50=8.06
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(Oc5ccccn5)cc24	CHEMBL2172337	pIC50=8.08
COc1cc2c(CC\C(=N/N3CCN(C)CC3)\C2(C)C)cc1Nc4ncc(Cl)c(Nc5ccccc5S(=O)(=O)C(C)C)n4	CHEMBL3785774	pIC50=8.08
CC(C)Oc1cc(C2CCN(CCO)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL2403836	pIC50=8.09
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC6COC6)CC5	CHEMBL3735064	pIC50=8.09
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC(C5)C(C)(C)O)cc24	CHEMBL2172310	pIC50=8.1
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC(CN)CC5)cc24	CHEMBL2172335	pIC50=8.1
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC[C@H]5C(=O)N)cc24	CHEMBL2172307	pIC50=8.1
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCS(=O)(=O)CC5)cc24	CHEMBL2172331	pIC50=8.1
CC(C)Oc1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604632	pIC50=8.1
CCN(CC)CCOc1ccc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2c1	CHEMBL1779192	pIC50=8.1
CCN1C(=O)CCCc2c(OC)c(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)ccc12	CHEMBL2042831	pIC50=8.1
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CCNCC(C)c4c3)ncc2Cl	CHEMBL3263979	pIC50=8.1
COc1cc(C2CCN(CC2)C(=O)CN(C)C)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3651827	pIC50=8.1
COc1cc(CN2CCN(C)CC2)ccc1c3nc4c(N[C@@H]5[C@@H]6C[C@@H](C=C6)[C@@H]5C(=O)N)c(Cl)cnc4[nH]3	CHEMBL3218859	pIC50=8.1
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4OC)n3n2)[C@@H]5CCNC[C@@H]5O	CHEMBL3397057	pIC50=8.1
COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCN(C)CC6	CHEMBL3218855	pIC50=8.1
CCCCC1CN(C)CCc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)cc12	CHEMBL3263972	pIC50=8.11
CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCC(CC3)N4CCN(C)CC4)nc1NC5CCOCC5	CHEMBL3687220	pIC50=8.11
CN(c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN)c3)ncc2Cl)S(=O)(=O)C	CHEMBL3357442	pIC50=8.11
C[C@@H](Oc1cc(cnc1N)c2ccnn2C)c3cc(F)ccc3n4nccn4	CHEMBL3128059	pKi=8.13
CC1CN(C)CCc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C5CC5)n3)cc12	CHEMBL3263991	pIC50=8.15
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=8.15
CC(C)CS(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC(C)C)C4CCNCC4)ncc2Cl	CHEMBL3785711	pIC50=8.16
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccccc24	CHEMBL2172329	pIC50=8.16
CC(C)Oc1cc(C2CCN(C)C2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604648	pIC50=8.16
CC(C)Oc1cc(C2CCN(CC(=O)N)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)c[nH]c5n3	CHEMBL3651880	pIC50=8.16
CC(C)Oc1cc(C2CCN(CC2)C(=O)CN(C)C)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651848	pIC50=8.16
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCCN(C)C5)ncc2Cl	CHEMBL3604656	pIC50=8.16
CCN1C(=O)CCCc2cc(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)c(OC)cc12	CHEMBL2042830	pIC50=8.16
CCNC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172325	pIC50=8.16
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC6(CO)COC6)CC5	CHEMBL3736021	pIC50=8.16
CN(c1ccccc1c2ccc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nn23)S(=O)(=O)C	CHEMBL1821735	pIC50=8.16
COCCN1CCc2cc(Nc3ncc(Cl)c(Nc4ccc(cc4OC)N5CCOCC5)n3)c(OC)cc2CC1	CHEMBL1642255	pIC50=8.16
COCCc1cc(OC2CC2)c(Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3)cc1C	CHEMBL3604650	pIC50=8.16
COc1cc(N2CCN(C)CC2)c3\C=C/c4ccc(N(C)S(=O)(=O)C)c(Nc5nc(Nc1c3)ncc5Cl)c4	CHEMBL1947001	pIC50=8.16
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCC(CC5)N6CCOCC6	CHEMBL1822527	pIC50=8.16
COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCOCC6	CHEMBL3218854	pIC50=8.16
COc1cc2CCN(CC(=O)N(C)C)CCc2cc1Nc3ncc(Cl)c(Nc4ccc(cc4OC)C#N)n3	CHEMBL1642264	pIC50=8.16
COc1ccccc1c2c(sc3cnc(Nc4ccc(cc4OC(C)C)C5CCN(C)CC5)nc23)C(=O)N	CHEMBL3669136	pIC50=8.16
COc1ccccc1c2c(sc3cnc(Nc4cnc(cc4OC(C)C)C5CCN(C)CC5)nc23)C(=O)N	CHEMBL3669138	pIC50=8.16
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(CC5)C(=O)C(C)(C)N)nn23	CHEMBL2158586	pIC50=8.16
COc1cc(CN2CCOCC2)ccc1c3nc4c(N[C@@H]5[C@@H]6C[C@@H](C=C6)[C@@H]5C(=O)N)c(Cl)cnc4[nH]3	CHEMBL3218858	pIC50=8.17
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CC6CC5CN6CC7CCOCC7	CHEMBL3734855	pIC50=8.18
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)[C@](C)(O)CO)c3cc(F)ccc3n4nccn4	CHEMBL3128069	pIC50=8.18
CN1Cc2c(c(C)nn2C)c3cnc(N)c(OCc4cc(F)ccc4C1=O)c3	CHEMBL3286822	pIC50=8.19
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCNC(=O)C5)cc24	CHEMBL2172334	pIC50=8.22
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cccnc3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172318	pIC50=8.22
CC(C)Oc1cc(C2CCN(CCO)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)c[nH]c5n3	CHEMBL3651882	pIC50=8.22
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)CN(C)C)C(=O)c2cc1Nc4ncc(Cl)c(Nc5ccccc5S(=O)(=O)C(C)C)n4	CHEMBL3651833	pIC50=8.22
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2C	CHEMBL3785722	pIC50=8.22
CCNC(=O)c1cc(OC2CC2)c(Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3)cc1C	CHEMBL3604655	pIC50=8.22
CNC(=O)CN1CCc2cc(Nc3ncc(Cl)c(Nc4ccc(cc4OC)N5CCOCC5)n3)c(OC)cc2CC1	CHEMBL1642262	pIC50=8.22
COCCN1CCc2cc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(=O)(=O)C)n3)c(OC)cc2CC1	CHEMBL1796254	pIC50=8.22
COc1cc(C2CCOCC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651875	pIC50=8.22
COc1cc(ccc1Nc2ncc3c(C)cc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCN(CC(=O)N)CC5	CHEMBL2158518	pIC50=8.22
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCN(CCO)CC5	CHEMBL2158525	pIC50=8.22
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCN(C[C@@H](C)O)CC5	CHEMBL2158526	pIC50=8.22
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)[C@@]5(O)CCNC[C@@H]5O	CHEMBL3398168	pIC50=8.22
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4OC)n3n2)C5CCN(C)CC5	CHEMBL2158529	pIC50=8.22
COc1cc2CCN(CC(=O)N(C)C)CCc2cc1Nc3ncc(Cl)c(Nc4ccc(cc4OC)C(=O)N)n3	CHEMBL1642261	pIC50=8.22
COc1cc2CN(C3CN(C3)C(=O)CN(C)C)C(=O)c2cc1Nc4ncc(Cl)c(Nc5ccccc5S(=O)(=O)C(C)C)n4	CHEMBL3651841	pIC50=8.22
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(CC(=O)N)CC5)nn23	CHEMBL1934334	pIC50=8.22
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)[C@@]5(O)CCN(CC(=O)N)C[C@@H]5O)nn23	CHEMBL3398171	pIC50=8.22
C[C@@H](Oc1cc(cnc1N)c2ccc(nc2C)C(C)(C)O)c3cc(F)ccc3n4nccn4	CHEMBL3128063	pKi=8.22
Cc1nn(Cc2cccc(F)c2)cc1c3c[nH]c4ncc(cc34)c5cnn(C)c5	CHEMBL2418746	pIC50=8.22
Cn1cc(cn1)c2cnc3[nH]cc(c4cnn(Cc5cc(F)cc(F)c5)c4)c3c2	CHEMBL2418763	pIC50=8.22
COc1cc2OCCNCc2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608525	pIC50=8.24
C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)n(C)nc3C5CC5	CHEMBL3286829	pIC50=8.24
Cn1cc(cn1)c2cnc3[nH]cc(c4cnn(Cc5cccc(F)c5)c4)c3c2	CHEMBL2418752	pIC50=8.25
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)C(C)(C)N)c3)ncc2Cl	CHEMBL3357447	pIC50=8.26
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CC5CNCC5C4)c3)ncc2Cl	CHEMBL3357464	pIC50=8.26
