O=C(N[C@@H]1CCN(C1)C#N)Nc2ccccc2	CHEMBL1672424	pIC50=6.0
CN1C(=O)C(C)(C)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658601	pIC50=7.41
CN1CCCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658492	pIC50=7.41
CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@H]4N[C@H]5C[C@@H]4[C@@H]6C[C@H]56)C#N)c(F)c3	CHEMBL3662663	pIC50=7.41
CNS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662664	pIC50=7.41
COCCN1CCC(C1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667398	pIC50=7.41
Fc1cc(ccc1C#N)c2ccc3oc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3c2	CHEMBL3657566	pKi=7.41
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(c4)C5CCOCC5	CHEMBL3662630	pIC50=7.41
CN1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)s2	CHEMBL3657579	pKi=7.42
CN1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658485	pIC50=7.42
CN1Cc2ccc(cc2C1)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)c(F)c3	CHEMBL3702583	pIC50=7.42
OC(=O)c1ccc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662629	pIC50=7.42
CC(C)(O)c1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658502	pIC50=7.43
CCS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662665	pIC50=7.43
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4CCN(Cc5ccccc5)CC4	CHEMBL3667269	pIC50=7.43
O=C(N[C@@H](Cc1ccc(cc1)C2=CCOCC2)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658475	pIC50=7.43
O=C(N[C@@H](Cc1ccc(cc1)n2cc(nn2)C3CC3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658509	pIC50=7.43
CCc1ncc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662627	pIC50=7.44
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662655	pIC50=7.44
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cc[nH]n4	CHEMBL3662628	pIC50=7.44
Brc1ccc2sc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2c1	CHEMBL3657569	pKi=7.45
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)cc2	CHEMBL3702569	pIC50=7.45
CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	CHEMBL567341	pIC50=7.46
CN(C)c1ccc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658562	pIC50=7.47
CN1CCO[C@H]2CN(CC[C@H]12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667405	pIC50=7.47
O=C(N[C@@H](Cc1ccc(cc1)c2cnc(nc2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658571	pIC50=7.47
CCOc1cc(cc(c1)S(=O)(=O)C)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667325	pIC50=7.48
COCCOCc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662626	pIC50=7.48
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4CC5)C#N)cc3	CHEMBL3695332	pIC50=7.49
COCc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662625	pIC50=7.5
NC1(CCOCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccccc3)C#N	CHEMBL3261925	pIC50=7.5
COc1cc(ccn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658529	pIC50=7.51
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3OCCOc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658564	pIC50=7.51
CN1C(=O)C(C)(O)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658600	pIC50=7.52
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)c(F)c2	CHEMBL3695330	pIC50=7.52
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc6C(=O)NCCc6c5	CHEMBL3662662	pIC50=7.52
NC(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662660	pIC50=7.52
O=C(N[C@@H](Cc1ccc(cc1)n2cc(nn2)c3ccncc3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658582	pIC50=7.52
Cc1cn(C)c(n1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662721	pIC50=7.53
CCc1cc(nn1CC(C)C)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667323	pIC50=7.54
CCn1nccc1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662624	pIC50=7.54
CS[C@@H]1CN[C@@H](C1)C(=O)N[C@@H](Cc2ccccc2)C#N	CHEMBL1081149	pIC50=7.54
Fc1ccc2c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3NC(=O)c2c1	CHEMBL3662720	pIC50=7.54
O=C(N[C@@H](Cc1ccc(cc1)N2CCc3sccc3C2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658495	pIC50=7.54
O=C(N[C@@H](Cc1ccc(cc1)c2cccc(n2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658547	pIC50=7.54
O=C1O[C@@H]2CN1CC[C@@H]2Oc3ccccc3	CHEMBL230474	pIC50=7.54
CN1C(=O)Oc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658599	pIC50=7.55
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4CCN(CC4)C5CCOC5	CHEMBL3667385	pIC50=7.55
CS(=O)(=O)c1ccc(cc1C#N)c2ccc(C[C@H](NC(=O)C3NC4CCC3CC4)C#N)c(F)c2	CHEMBL3695352	pIC50=7.56
CC(C)C(O)Cc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662623	pIC50=7.57
O=C(N[C@@H](Cc1ccc(cc1)n2cc(nn2)c3ccc4occc4c3)C#N)[C@H]5N[C@@H]6CC[C@H]5C6	CHEMBL3658575	pIC50=7.57
O=C(N[C@@H](Cc1ccc(s1)c2cnn(CC3CCOCC3)c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3657577	pKi=7.57
CN(C)CCN1C=CC(=CC1=O)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667306	pIC50=7.58
CN1C(=O)c2cc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)ccc2c5ccccc15	CHEMBL3662719	pIC50=7.58
CS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662658	pIC50=7.58
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(Cl)nn4	CHEMBL3662622	pIC50=7.58
CN1C(=O)Oc2cc(ccc12)c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662621	pIC50=7.59
COc1ccc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658525	pIC50=7.59
Cc1oc2ccc(cc2n1)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658539	pIC50=7.59
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCOCC4	CHEMBL3662718	pIC50=7.59
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(COC(=O)N5CCCC5)nn4	CHEMBL3662620	pIC50=7.59
CC(=O)c1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658578	pIC50=7.6
CCOCc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662619	pIC50=7.6
CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@@H]4CCCCN4)C#N)cc3	CHEMBL3261921	pIC50=7.6
COc1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658521	pIC50=7.6
Cc1n[nH]cc1c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662618	pIC50=7.6
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cocc4	CHEMBL3662617	pIC50=7.6
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3cc[nH]c3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658530	pIC50=7.6
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnc(Cl)cn4	CHEMBL3662616	pIC50=7.61
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN(CC4)C5CCOCC5	CHEMBL3667384	pIC50=7.61
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCNCC4	CHEMBL3662717	pIC50=7.61
CC(O)Cc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662615	pIC50=7.62
COc1ccc(cc1OC)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658577	pIC50=7.62
CS(=O)(=O)c1ccc(nc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658554	pIC50=7.62
O=C(N[C@@H](Cc1ccc(cc1)c2cnc(cn2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658563	pIC50=7.62
O=C(NC(Cc1ccc2c(c1)[nH]c3ccccc23)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3662716	pIC50=7.63
CS(=O)(=O)c1ccc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658558	pIC50=7.64
Cn1ncc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658538	pIC50=7.64
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(cc4)C(=O)N5CCOCC5	CHEMBL3662715	pIC50=7.64
O=C(N[C@@H](Cc1ccc(cc1)c2ccc(nc2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658511	pIC50=7.64
CN1CCO[C@@H]2CN(C[C@H]12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667403	pIC50=7.65
Cn1nc(cc1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2)C(F)(F)F	CHEMBL3662614	pIC50=7.65
CC1(C)OC(=O)c2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657583	pKi=7.66
CN1CCC2(CC1)CC(C2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667406	pIC50=7.66
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5N(C6CCNCC6)C(=O)Cc5c4	CHEMBL3667383	pIC50=7.66
CC(C)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667330	pIC50=7.67
CS(=O)(=O)Nc1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662654	pIC50=7.67
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(CCN5CCOCC5)nn4	CHEMBL3662613	pIC50=7.68
O=C(N[C@@H](Cc1ccc(cc1)c2ccc(cn2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658546	pIC50=7.68
O=C(N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658542	pIC50=7.68
CN1CCC2CN(CC12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667397	pIC50=7.69
Fc1cc(OCc2ccccc2)ccc1C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N	CHEMBL3667339	pIC50=7.69
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ncc(Cl)cn4	CHEMBL3662612	pIC50=7.69
CCN1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662714	pIC50=7.7
CN1CCO[C@@H]2CCN(C[C@H]12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667404	pIC50=7.7
COCCn1cc(cn1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662611	pIC50=7.7
Fc1cc(ccc1C[C@H](NC(=O)C23CCC(CC2)CN3)C#N)c4cnn(CC5CCOCC5)c4	CHEMBL3702593	pIC50=7.7
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4onc(c4)c5ccccc5	CHEMBL3662610	pIC50=7.7
O=C(N[C@@H](Cc1ccc(cc1)c2ccc(cc2)n3ccnc3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658567	pIC50=7.7
CN(C)S(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658510	pIC50=7.72
Fc1c(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)ccc(c1F)c4cnn(CC5CCOCC5)c4	CHEMBL3667268	pIC50=7.72
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5CNC(=O)c5c4	CHEMBL3662609	pIC50=7.72
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc(C#N)c(F)c5	CHEMBL3662646	pIC50=7.72
COc1cccc(c1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662608	pIC50=7.73
CN(C)CC1CCCN(C1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667393	pIC50=7.74
Cc1ncc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662607	pIC50=7.74
CN1C(=O)Cc2c1cccc2c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658598	pIC50=7.75
CN1Cc2cc(ccc2S1(=O)=O)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)c(F)c3	CHEMBL3702584	pIC50=7.75
COc1ccc(cc1OC)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658531	pIC50=7.75
Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C	CHEMBL390474	pIC50=7.75
Cc1occc1c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662606	pIC50=7.75
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CC5CCN(C6CCOC6)C5C4	CHEMBL3667396	pIC50=7.75
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCC5C(CCNC5=O)C4	CHEMBL3667298	pIC50=7.75
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc6NC(=O)Cc6c5	CHEMBL3662648	pIC50=7.75
CN1CCC(CC1)Oc2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667368	pIC50=7.76
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)s2	CHEMBL3657561	pKi=7.76
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCC5COCC5C4	CHEMBL3667400	pIC50=7.76
CCn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)s2	CHEMBL3657575	pKi=7.77
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)cc3	CHEMBL3702568	pIC50=7.77
CNS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658512	pIC50=7.77
CS(=O)(=Nc1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2)C5CCOCC5	CHEMBL3667314	pIC50=7.77
CS(=O)(=O)N1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662605	pIC50=7.77
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)c(F)c2	CHEMBL3702585	pIC50=7.77
N[C@@H](Cc1cccs1)C(=O)NCC#N	CHEMBL1078120	pIC50=7.77
N[C@@H](Cc1cccs1)C(=O)N[C@]2(C[C@H]2c3ccccc3)C#N	CHEMBL1080786	pIC50=7.77
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3OCOc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658523	pIC50=7.77
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3[nH]ncc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658565	pIC50=7.77
O=C(N[C@@H](Cc1ccc(cc1)c2cccc(c2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658522	pIC50=7.77
CS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)s2	CHEMBL3657585	pKi=7.78
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(cc4)C(=O)NC5CCOCC5	CHEMBL3662713	pIC50=7.78
COC(=O)c1cc(cs1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662647	pIC50=7.79
CC(=O)c1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662604	pIC50=7.8
CN1C(=O)C(C)(C)c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662712	pIC50=7.8
COC(=O)c1cc(C)c(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662711	pIC50=7.8
COCCCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658597	pIC50=7.8
CS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658526	pIC50=7.8
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3cncnc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658555	pIC50=7.8
O=C(N[C@@H](Cc1ccc(cc1)c2ccnc(c2)C#N)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658548	pIC50=7.8
CCC(O)Cc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662603	pIC50=7.81
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCCCC4	CHEMBL3662710	pIC50=7.81
CC1CN(C(C)CN1C)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662709	pIC50=7.82
CCS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658476	pIC50=7.82
CN1C2CCC1CN(C2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667382	pIC50=7.82
CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658587	pIC50=7.82
CS(=O)(=O)c1ccc(cc1C#N)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)c(F)c2	CHEMBL3702582	pIC50=7.82
CS(=O)(=O)c1cccc(c1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662602	pIC50=7.82
O=C(N[C@@H](Cc1ccc(cc1)C2=CCCCC2)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658474	pIC50=7.82
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3ncsc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658550	pIC50=7.82
CC1(C)CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662708	pIC50=7.83
CN1C(=O)Cc2ccc(cc12)c3cnc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)s3	CHEMBL3657571	pKi=7.83
CCn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662652	pIC50=7.84
COCC(=O)n1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662601	pIC50=7.85
CS(=O)(=O)c1cc(OCC(F)(F)F)cc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667326	pIC50=7.85
CS(=O)(=O)c1ccc(c(F)c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662600	pIC50=7.85
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccsc4C#N	CHEMBL3662599	pIC50=7.85
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4oc(cc4)C(=O)N5CCN6CCOCC6C5	CHEMBL3667288	pIC50=7.85
N[C@@H](Cc1cccs1)C(=O)N[C@@]2(C[C@@H]2c3ccccc3)C#N	CHEMBL1078411	pIC50=7.85
N[C@@H](Cc1cccs1)C(=O)N[C@@]2(C[C@@H]2c3ccccc3)C#N.OC(=O)C(F)(F)F	CHEMBL516292	pIC50=7.85
Nc1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667363	pIC50=7.85
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CCC(=O)Nc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658559	pIC50=7.85
O[C@H]1C[C@H]2C[C@@H]1N[C@@H]2C(=O)N[C@@H](Cc3ccc(cc3)c4ccc(C#N)c(F)c4)C#N	CHEMBL3639573	pIC50=7.85
