CCOCCN1C(=NC2=C1C=CC=C2)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1	bilastine	pKi=7.19382	pKi=7.19382	pKi=7.19382
CC(OCCN1CCCCCC1)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	setastine
CN(C)CCN1N=C(CC2=CC=CC=C2)C2=C(C=CC=C2)C1=O	talastine
CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=C1	moxastine
CCOCCN1C(=NC2=C1C=CC=C2)N1CCCN(C)CC1	emedastine	pKi=8.8860569	pKi=8.8860569	pKi=8.8860569
CCC(=O)C1=CC=C2SC3=CC=CC=C3N(CC(C)N(C)C)C2=C1	propiomazine
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pKi=9.6198	pKi=9.6198	pKi=9.6198	pIC50=8.27
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pKi=7.9586	pKi=7.9586	pKi=7.9586
CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2	olopatadine	pKi=8.284	pKi=8.284	pKi=8.284
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1	loratadine	pKi=6.97	pKi=6.97	pKi=6.97	pKi=7.43
OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1	levocetirizine	pKi=7.95	pKi=7.95	pKi=7.95	pKi=7.3
[H][C@@]1(C)CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@@]1([H])CC[C@](CC1)(C#N)C1=CC=C(F)C=C1	levocabastine	pKi=7.279	pKi=7.279	pKi=7.279
CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1	ketotifen	pKi=9.5086	pKi=9.5086	pKi=9.5086	pIC50=8.93
OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	hydroxyzine	pKi=8.699	pKi=8.699	pKi=8.699
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	fexofenadine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.11
[H]C12CN=C(N)N1C1=C(CC3=C2C=CC=C3)C=CC=C1	epinastine	pKi=8.9	pKi=8.9	pKi=8.9
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKi=9.75	pKi=9.75	pKi=9.75	pIC50=9.24
CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1	diphenylpyraline	pKi=8.0757	pKi=8.0757	pKi=8.0757
CN(C)CCOC(c1ccccc1)c2ccccc2	diphenhydramine	pKi=7.81	pKi=7.81	pKi=7.81	pKi=7.7
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=9.4	pKi=9.4	pKi=9.4	pIC50=8.0
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pKi=10.2218	pKi=10.2218	pKi=10.2218	pIC50=8.43
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pKi=8.585	pKi=8.585	pKi=8.585	pIC50=9.38
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2	chlorphenamine	pKi=8.15	pKi=8.15	pKi=8.15	pIC50=7.18
OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	cetirizine	pKi=7.91	pKi=7.91	pKi=7.91	pKi=7.3
CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1	bromazine	pKi=8.8861	pKi=8.8861	pKi=8.8861
CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O	azelastine	pKi=8.1675	pKi=8.1675	pKi=8.1675
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1	acrivastine	pIC50=7.16	pIC50=7.16	pIC50=7.16
NCCc1c[nH]cn1	histamine	pKi=4.1	pKi=4.1	pKi=4.1	pEC50=7.89
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2	brompheniramine	pKi=8.21752739	pKi=8.21752739	pKi=8.21752739
CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1	dexbrompheniramine
OC(=O)CCCN1CCC(CC1)O[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1	bepotastine
CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2	azatadine
CN1CCN(CC1)C(c2ccccc2)c3ccccc3	cyclizine	pKi=8.35261703	pKi=8.35261703	pKi=8.35261703	pIC50=7.42
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O	dimenhydrinate	pKi=7.43179828	pKi=7.43179828	pKi=7.43179828	pKi=7.43
[H]C(CCN(C)C)(C1=CC=CC=C1)C1=NC=CC=C1	pheniramine
CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1	tripelennamine	pIC50=7.4	pIC50=7.4	pIC50=7.4	pIC50=7.4
C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1	antazoline
CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1	doxylamine
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1	triprolidine	pKi=9.9	pKi=9.9	pKi=9.9	pKi=8.8
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	mepyramine	pKi=9.1	pKi=9.1	pKi=9.1	pIC50=7.9
[H]C(OCCN(C)C)(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	carbinoxamine
CN1CCC(CN2C3=CC=CC=C3SC3=C2C=CC=C3)C1	methdilazine
CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	alimemazine
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4	terfenadine	pKi=8.699	pKi=8.699	pKi=8.699	pKi=7.24
O=C1NC2=C(C=CC=C2)N1CCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	oxatomide	pKi=7.699	pKi=7.699	pKi=7.699
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5	mizolastine	pKi=8.84	pKi=8.84	pKi=8.84	pKi=8.57
CN1CCC2=C(C1)C1=C(C=CC=C1)N2CC1=CC=CC=C1	mebhydrolin	pKi=7.1192	pKi=7.1192	pKi=7.1192
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	ebastine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.55
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1	astemizole	pIC50=7.85
CNCCC=C1c2ccccc2CCc3ccccc13	CHEMBL445	pIC50=7.3
Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4cc(ccc34)S(=O)(=O)C)CC2)c1Cl	CHEMBL2207672	pKi=7.3
Cc1cc(OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl	CHEMBL2158792	pKi=7.3
Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171038	pKi=7.3
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)Cc4ccccc4)cc1Cl	CHEMBL2171215	pKi=7.3
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4Cl)cc1Cl	CHEMBL2171039	pKi=7.3
Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171034	pKi=7.3
NC(=O)N(O)CCC#C[C@@H]1CC[C@@H](CN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)O1	CHEMBL305662	pKi=7.3
NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCC(=C3c4ccc(Cl)cc4CCc5cccnc35)CC2)cc1	CHEMBL360202	pKi=7.3
OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4	CHEMBL2158819	pKi=7.3
OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158841	pKi=7.3
OC(=O)[C@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158835	pKi=7.3
OC(=O)[C@H](Cc1ccccc1Cl)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158837	pKi=7.3
OC(=O)[C@H](Cc1ccccc1F)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158839	pKi=7.3
OC(=O)c1cccc(CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)c1	CHEMBL2158832	pKi=7.3
OCCNS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207281	pKi=7.3
FC1CN(CCC2=C(Cc3cnccn3)c4ccccc4C2)C1	CHEMBL1669414	pKi=7.31
CN(C)CC1CC2N(O1)c3ccccc3Cc4cccc(c24)C(F)(F)F	CHEMBL84810	pIC50=7.32
CN1CCc2c(C1)c3cccc4Cc5ccccc5Cn2c34	CHEMBL3104092	pKi=7.32
CNCCC1c2ccccc2Cc3ccccc13	CHEMBL595158	pKi=7.32
C[C@H](C1=C(CCN(C)Cc2nccs2)Cc3ccccc13)c4cnccn4	CHEMBL1669420	pKi=7.32
FC(F)(F)c1ccc(SC[C@H](C2CCNCC2)c3c[nH]cn3)cc1	CHEMBL1243395	pKi=7.32
C(C1C[C@H]2[C@H](O1)c3ccccc3Sc4ccccc24)N5CCC(CC5)c6ccccc6	CHEMBL314968	pKi=7.33
Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45	ziprasidone	pKi=7.33
CN1C(=O)C=C(NCCCN2CCC(CN3c4ccccc4Sc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL563520	pIC50=7.34
Clc1ccc(cc1)N2CCN(CCCCC(=O)c3nc4ccccc4s3)CC2	CHEMBL2037528	pKi=7.34
CN(C)C[C@H]1CC2[C@H](O1)c3cc(Br)ccc3Oc4ccccc24	CHEMBL193435	pKi=7.38
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2	trazodone	pKi=7.38
CCC(C(=O)O)c1ccc2Sc3ccccc3N(CCCN4CCCN(CC4)C5=CC(=O)N(C)C(=O)N5C)c2c1	CHEMBL563647	pIC50=7.39
CCCN(C)CCC1=C(Cc2cnccn2)c3ccccc3C1	CHEMBL1669406	pKi=7.39
CN1C(=O)C=C(N(C)C1=O)C2=CCN(CCCN3c4ccccc4Sc5ccc(CC(=O)O)cc35)CC2	CHEMBL551394	pIC50=7.39
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4COc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL1774491	pIC50=7.39
CN(CCCC12CCC(c3ccccc13)c4ccccc24)Cc5ccc(OCCCN6CCCCC6)cc5	CHEMBL517244	pKi=7.4
CN1C(=O)C=C(N2CCN(CCCN3c4ccccc4Sc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL559664	pIC50=7.4
Cc1c(Cl)ccc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)c1Cl	CHEMBL2158783	pKi=7.4
Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2)c1Cl	CHEMBL2207660	pKi=7.4
Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2158814	pIC50=7.4
FC(F)(F)c1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171045	pKi=7.4
OC(=O)CCCCn1nnc(n1)c2ccc(cc2)C(=O)N3CCC(CC3)N4CCC(CC4)Oc5ccc(Cl)c(Cl)c5	CHEMBL2171029	pKi=7.4
OC(=O)COc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158830	pKi=7.4
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	fluphenazine	pIC50=7.4
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24	quetiapine	pIC50=7.4
Cc1ccc(CCCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)cc1	CHEMBL571389	pKi=7.41
CC(c1cccc(F)n1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1091793	pKi=7.42
CN(C)CC1CC2N(O1)c3ccccc3Cc4c2cccc4C(F)(F)F	CHEMBL83073	pIC50=7.43
CN1C(=O)C=C(N2CCN(CCCN3c4ccccc4Sc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL551457	pIC50=7.43
CC(c1nccs1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092767	pKi=7.46
CN(C)CCC1=C(Cc2cnc(C)cn2)c3ccccc3C1	CHEMBL1088899	pKi=7.46
CN1C(=O)C=C(N2CCN(CCCCN3c4ccccc4Sc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL552057	pIC50=7.46
CN(C)C[C@@H]1CC2[C@H](O1)c3cc(F)ccc3Oc4ccccc24	CHEMBL195706	pKi=7.48
CN(C)CC1C[C@@H]2[C@H](O1)c3ccccc3Oc4ccccc24	CHEMBL330713	pKi=7.49
C[C@H](C1=C(CCN(C)CC#N)Cc2ccccc12)c3cnccn3	CHEMBL1669409	pKi=7.5
Cc1c(Cl)c(Cl)ccc1OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2	CHEMBL2158784	pKi=7.5
Cc1c(Cl)c(Cl)ccc1OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2	CHEMBL2158790	pKi=7.5
Cc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171042	pKi=7.5
Cc1ccccc1C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O	CHEMBL2158772	pKi=7.5
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4)cc1Cl	CHEMBL2171033	pKi=7.5
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(cc4)c5nn[nH]n5)cc1Cl	CHEMBL2171026	pKi=7.5
OC(=O)[C@H](Cc1ccc(Cl)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158838	pKi=7.5
O[C@H](CNC(=O)c1c[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208430	pKi=7.5
NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL186125	pKi=7.52
C(C1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24)N5CCC(CC5)c6ccccc6	CHEMBL96471	pKi=7.53
CC(C1=C(CN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL434684	pKi=7.54
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL481153	pKi=7.54
C[C@H](C1=C(CCN(C)Cc2nccn2C)Cc3ccccc13)c4cnccn4	CHEMBL1669423	pKi=7.55
CCOC(=O)N1CCN(CCCOc2ccc(cc2)c3ccc(cc3C)C#N)CC1	CHEMBL105669	pKi=7.56
CN(C)CC1C[C@@H]2[C@H](O1)c3ccccc3Cc4ccccc24	CHEMBL96732	pKi=7.57
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pIC50=7.57
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1	CHEMBL395110	pIC50=7.57
C(C1CC2N(O1)c3ccccc3Cc4ccccc24)N5CCOCC5	CHEMBL79249	pIC50=7.58
COc1cc(Cl)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3	CHEMBL408868	pKi=7.59
NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL444083	pKi=7.59
CC1(O)CN(C1)S(=O)(=O)c2ccc3C(=CNC(=O)c3c2)C(=O)NC[C@@H](O)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5	CHEMBL2207655	pKi=7.6
CN(C)CC1c2ccccc2Cc3ccccc13	CHEMBL160933	pKi=7.6
CN(C)c1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171041	pKi=7.6
CNS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207284	pKi=7.6
Cc1c(Cl)ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(c4)S(=O)(=O)C)c1Cl	CHEMBL2171021	pKi=7.6
Cc1c(Cl)ccc(OC2CCN(CC2)C3CCN(CC3)S(=O)(=O)NC(=O)c4ccccc4)c1Cl	CHEMBL2171016	pKi=7.6
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2	CHEMBL2207659	pKi=7.6
Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4C	CHEMBL2171048	pKi=7.6
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CNC(=O)c5ccccc45)cc1Cl	CHEMBL2171020	pKi=7.6
OC(=O)[C@@H](N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4	CHEMBL2158820	pKi=7.6
OC(=O)[C@H](Cc1cccc(c1)C#N)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158770	pKi=7.6
OC(=O)c1ccccc1C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171023	pKi=7.6
C[C@H](C1=C(CCN(C)Cc2cnccn2)Cc3ccccc13)c4cnccn4	CHEMBL1669426	pKi=7.61
CN(CCF)CCC1=C(Cc2cnccn2)c3ccccc3C1	CHEMBL1669407	pKi=7.62
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	prochlorperazine	pIC50=7.62
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4Sc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL559665	pIC50=7.64
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4Sc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL564370	pIC50=7.64
Cc1cc2C(=Nc3ccccc3Nc2s1)N4CCNCC4	CHEMBL1125	pKi=7.66
Cn1ccc2C(=C3CCNCC3)c4nccn4CCc12	CHEMBL360953	pKi=7.66
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3OCc4ccccc24	CHEMBL328209	pKi=7.69
CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl	CHEMBL2171014	pKi=7.7
CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171037	pKi=7.7
CN1CCN(CC1)c2nc(NCc3cccs3)c4cc(Cl)ccc4n2	CHEMBL452847	pKi=7.7
COC(=O)c1ccc(CCCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)cc1	CHEMBL568892	pKi=7.7
COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171036	pKi=7.7
COc1cccc(SC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)c1	CHEMBL2208421	pKi=7.7
COc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171040	pKi=7.7
CS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207671	pKi=7.7
Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl	CHEMBL2171047	pKi=7.7
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4cccc(c4)C#N)cc1Cl	CHEMBL2171044	pKi=7.7
Clc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171035	pKi=7.7
NS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207282	pKi=7.7
OC(=O)C(N1CCO[C@@H](CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C1)c4ccccc4	CHEMBL2158817	pKi=7.7
OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158827	pKi=7.7
OC(=O)Cc1ccc2OCc3ccccc3\C(=C/CN4CCCC(Cc5ccccc5)C4)\c2c1	CHEMBL2178582	pKi=7.7
OC(=O)Cc1ccc2OCc3ccccc3\C(=C\CN4CCC(Cc5ccccc5)CC4)\c2c1	CHEMBL372588	pKi=7.7
O[C@H](CNC(=O)N1C(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208432	pKi=7.7
O[C@H](CNC(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2208423	pKi=7.7
CC1=C([C@H](CC(=O)N1)c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)c4ccc(F)cc4	CHEMBL43860	pKi=7.72
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pKi=7.72
Cl.Cl.NC(=O)c1cnc2n1CCc3ccccc3C24CCNCC4	CHEMBL539843	pKi=7.72
NC(=O)N(O)CCC#Cc1ccc(OCCN2CCC(=C3c4ccc(Cl)cc4CCc5cccnc35)CC2)cc1	CHEMBL185905	pKi=7.72
CC1NC(=Nc2ccc(Cl)c(Cl)c12)NCC(F)F	CHEMBL429136	pKi=7.74
Fc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)n5cccn5)cc1	CHEMBL551347	pKi=7.74
Fc1ccc(cc1)C(N2CCN(C\C=C\c3ccccc3)CC2)c4ccc(F)cc4	flunarizine	pKi=7.75
ON(CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1)C(=O)OCc5ccccc5	CHEMBL360666	pKi=7.75
CN(C)CC1CC2N(O1)c3cc(F)ccc3Cc4ccc(F)cc24	CHEMBL314107	pIC50=7.77
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pIC50=7.77
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.77
C[C@H](c1cccnc1C)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092813	pKi=7.77
CN(C)CC1CC2N(O1)c3ccccc3Cc4ncccc24	CHEMBL331188	pIC50=7.78
CN(C)CC1CC2N(O1)c3ccccc3Cc4cc(C)ccc24	CHEMBL85155	pIC50=7.8
CN(C)CCN(Cc1cccs1)c2ccccn2	CHEMBL1411979	pIC50=7.8
Cc1ccc(CN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)cc1	CHEMBL571390	pKi=7.8
Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl	CHEMBL2171046	pKi=7.8
Cc1cccc(C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O)c1	CHEMBL2158773	pKi=7.8
Clc1ccc(CC2=NN(C[C@H]3CCCN3CCCCc4ccc(OCCCN5CCCCCC5)cc4)C(=O)c6ccccc26)cc1	CHEMBL1767164	pKi=7.8
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(cc4)C5=NOC(=O)N5)cc1Cl	CHEMBL2171025	pKi=7.8
OC(=O)CCNc1ccccc1C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171028	pKi=7.8
OC(=O)COc1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158828	pKi=7.8
OC(=O)Cc1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158825	pKi=7.8
OC(=O)[C@H](Cc1ccc(cc1)C#N)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158771	pKi=7.8
OC(=O)[C@H](Cc1ccccc1C#N)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158769	pKi=7.8
O[C@H](CNC(=O)c1c[nH]nc1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2207658	pKi=7.8
O[C@H](CNC(=O)c1cn2cc(F)ccc2n1)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208425	pKi=7.8
CN(C)CC1CC2N(O1)c3c(Cl)cccc3Cc4ccccc24	CHEMBL313604	pIC50=7.81
CN(C)CCC1=C(Cc2ncccn2)c3ccccc3C1	CHEMBL1090198	pKi=7.82
CN1CCN(CC1)[C@H]2Cc3ccccc3Sc4ccc(Cl)cc24	CHEMBL303313	pKi=7.82
C[C@H](C1=C(CCN(C)CC2CCOCC2)Cc3ccccc13)c4cnccn4	CHEMBL1669427	pKi=7.82
COc1ccc2Cc3ccccc3N4OC(CN(C)C)CC4c2c1	CHEMBL315044	pIC50=7.84
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3Oc4ccccc24	CHEMBL96158	pKi=7.85
CN(C)C[C@@H]1CC2[C@H](O1)c3cc(Cl)ccc3Oc4ccccc24	CHEMBL364270	pKi=7.85
COc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)N(C)CC5CCOCC5)cc1	CHEMBL558663	pKi=7.85
COc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)NCC5CCOCC5)cc1	CHEMBL563055	pKi=7.85
